1da543f715b151f597be375a9fed3f74b579ee4a31bb5285ea390b200e2ee94d,80e1ef3ea5bf8616b9294d4ccf1c23ff7c34ea242d219bec4b842d73b92dc4b3,ec6b9d3f7dd0f32ad1574e4ca877e338c9e062f8dbe657f6edd62dc57f48e9c8,5ea2ab1e53152ab5a2904962d5ece1c1fc609e22e7d50015384c757bdd72c278,4b2237032e88becd3b9eb1c102dcdcbcdd32f477a6b8501782401a4503d10eae,5a8f705173f8afd57f975b7ef0d1ded04cf7a9dd5b95368f0e4cb16edf38d3eb,4d46a6bf4f85b669c55a00756241534e5dd850007b1b5a61fbcd088ad0a87bb1,041c3845be4aac8ab7ae8e1ac823059bb8632bcf6d22d24bea6ff6308e2ae141,859c5bda9e902eb409b6391dc48b0039d46bd35afe623ab96b40da7129b09559,b6b2b9c83175af20424a1e64bd6a1b107cd52d5adcf82a30a7418478fa5c64e3,829dfbc9b0efce1016360f16f623299f36a04435c1a946f6ea36df8a88c37ba0
"104631","11","","203","12030033","優花梨\n在做什麼喵…","","","10","",""
"0","91","","203","12030034","","","","","",""
"3","3","","203","12030035","nyx_203_yukari_03","","0.5","1","",""
"103431","3","","203","12030036","nyx_203_yukari_03","","0.5","1","",""
"103431","11","","203","12030037","嘿咻～多喝一點～\n嗯呵呵～麥酒可是\n無所不能的啦～♪","","","10","",""
"0","91","","203","12030038","","","","","",""
"0.1","93","","203","12030039","","","","","",""
"3","3","nyx_203_yukari_05","203","12030040","nyx_203_yukari_06","","0.2","0","","1"
"103431","3","nyx_203_yukari_05","203","12030041","nyx_203_yukari_06","","0.2","0","","1"
"0.5","93","","203","12030042","","","","","",""
"103231","3","nyx_cmn_05","203","12030043","nyx_lookup","","0.2","0","0.2","1"
"2","93","","203","12030044","","","","","",""
"103231","12","","203","12030045","1","","","1","",""
"3","4","","203","12030046","1","","","","",""
"103431","4","","203","12030047","1","","","","",""
"3","3","","203","12030048","nyx_203_yukari_04","","0.2","0","",""
"103431","3","","203","12030049","nyx_203_yukari_04","","0.2","0","",""
"3","2","0.67","203","12030050","-245","","","-10","","0"
"103431","2","0.67","203","12030051","-245","","","-10","","0"
"0.67","93","","203","12030052","","","","","",""
"0.83","93","","203","12030053","","","","","",""
"3","2","0.5","203","12030054","-265","","","-10","","0"
"103431","2","0.5","203","12030055","-265","","","-10","","0"
"0.5","93","","203","12030056","","","","","",""
"3","2","0.67","203","12030057","-328","","","-10","","0"
"103431","2","0.67","203","12030058","-328","","","-10","","0"
"103231","3","","203","12030059","nyx_cmn_04","","0.2","1","",""
"104831","3","nyx_idle_sad","203","12030060","nyx_lookup","","0.2","0","0.2","1"
"0.67","93","","203","12030061","","","","","",""
"3","2","0.67","203","12030062","-330","","","-10","","0"
"103431","2","0.67","203","12030063","-330","","","-10","","0"
"0.67","93","","203","12030064","","","","","",""
"3","3","nyx_203_yukari_06","203","12030065","nyx_203_yukari_05","","0.2","0","","1"
"103431","3","nyx_203_yukari_06","203","12030066","nyx_203_yukari_05","","0.2","0","","1"
"0.66","93","","203","12030067","","","","","",""
"104831","12","","203","12030068","12","","","1","",""
"2","93","","203","12030069","","","","","",""
"103431","12","","203","12030070","9","","","1","",""
"104631","3","nyx_talk_sad","203","12030071","nyx_lookup","","0.2","0","0.2","1"
"3","4","","203","12030072","0","","","","",""
"103431","4","","203","12030073","0","","","","",""
"3","3","","203","12030074","nyx_203_yukari_04","","0.2","0","",""
"103431","3","","203","12030075","nyx_203_yukari_04","","0.2","0","",""
"3","2","0.67","203","12030076","-285","","","-10","","0"
"103431","2","0.67","203","12030077","-285","","","-10","","0"
"0.67","93","","203","12030078","","","","","",""
"0.83","93","","203","12030079","","","","","",""
"3","2","0.5","203","12030080","-265","","","-10","","0"
"103431","2","0.5","203","12030081","-265","","","-10","","0"
"0.5","93","","203","12030082","","","","","",""
"3","2","0.67","203","12030083","-202","","","-10","","0"
"103431","2","0.67","203","12030084","-202","","","-10","","0"
"104631","12","","203","12030085","5","","","1","",""
"0.67","93","","203","12030086","","","","","",""
"3","2","0.67","203","12030087","-200","","","-10","","0"
"103431","2","0.67","203","12030088","-200","","","-10","","0"
"0.67","93","","203","12030089","","","","","",""
"3","3","","203","12030090","nyx_203_yukari_05","","0.2","1","",""
"103431","3","","203","12030091","nyx_203_yukari_05","","0.2","1","",""
"0.66","93","","203","12030092","","","","","",""
"104631","3","","203","12030093","nyx_idle_sad","","0.2","1","",""
"103431","12","","203","12030094","6","","","1","",""
"3","4","","203","12030095","0","","","","",""
"103431","4","","203","12030096","0","","","","",""
"1","93","","203","12030097","","","","","",""
"12030039","101","","203","12030098","","","","","",""
"1","1","121.8","204","12040001","104831","nyx_204_mifuyu_01","1.2","110","1","28.5"
"2","5","121.8","204","12040002","2","nyx_204_mifuyu_01","1.2","120","1","28.5"
"1","1","-278","204","12040003","103431","nyx_idle_normal","1.2","110","0","-286.1"
"1","1","283.5","204","12040004","104631","nyx_idle_normal","1.2","140","1","-286.1"
"1","1","-413","204","12040005","103231","nyx_idle_normal","1.2","110","0","-286.1"
"2","31","0","204","12040006","1","","1","0","","1"
"3","5","109","204","12040007","3","nyx_yagura_up_harf","1.2","130","0","-278"
"14","31","34","204","12040008","2","","1","-111","","1"
"bgm_M347","25","","204","12040009","bgm_M347","","","","",""
"2","93","","204","12040010","","","","","",""
"104831","3","","204","12040011","nyx_204_mifuyu_01","","0.2","1","",""
"2","3","","204","12040012","nyx_204_mifuyu_01","","0.2","1","",""
"104831","11","","204","12040013","終於……\n完成了呢……","","0","10","",""
"0.2","93","","204","12040014","","","","","",""
"104631","3","nyx_204_akino_01_loop","204","12040015","nyx_lookup","","0.2","0","0.2","1"
"0.5","93","","204","12040016","","","","","",""
"104831","3","","204","12040017","nyx_204_mifuyu_02","","0.2","1","",""
"2","3","","204","12040018","nyx_204_mifuyu_02","","0.2","1","",""
"12040013","91","","204","12040019","","","","","",""
"104831","11","","204","12040020","比起設計階段\n很明顯地增加了\n許多功能呢……","","0","10","",""
"1.5","93","","204","12040021","","","","","",""
"103431","3","nyx_lookup_loop","204","12040022","nyx_lookup","","0.2","0","0.2","1"
"12040020","91","","204","12040023","","","","","",""
"0.2","93","","204","12040024","","","","","",""
"103231","3","","204","12040025","nyx_204_akino_01","","0.2","0","",""
"103231","11","","204","12040026","很驚訝對吧！\n這正是我們點子的\n心血結晶！","","","10","",""
"1","93","","204","12040027","","","","","",""
"103231","3","","204","12040028","nyx_204_akino_02","","0.2","1","",""
"12040026","91","","204","12040029","","","","","",""
"0.5","93","","204","12040030","","","","","",""
"104831","11","","204","12040031","是啊，我是很驚訝……\n沒想到妳們竟然會\n恣意妄為成這樣子","","0","10","",""
"0.2","93","","204","12040032","","","","","",""
"104831","3","","204","12040033","nyx_204_mifuyu_03","","0.2","1","0.2",""
"2","3","","204","12040034","nyx_204_mifuyu_03","","0.2","1","0.2",""
"3","93","","204","12040035","","","","","",""
"12040031","91","","204","12040036","","","","","",""
"104631","3","","204","12040037","nyx_talk_sad","","","1","",""
"104631","11","","204","12040038","為、為什麼\n妳在發抖喵？\n美冬…","","","10","",""
"0","91","","204","12040039","","","","","",""
"104831","3","nyx_204_mifuyu_05","204","12040040","nyx_204_mifuyu_04","","0.3","0","0.3","1"
"2","3","nyx_204_mifuyu_05","204","12040041","nyx_204_mifuyu_04","","0.3","0","0.3","1"
"104831","11","","204","12040042","這不是當然的嗎！\n這一堆毫無用處的\n功能是怎麼回事！","","0","10","",""
"0.6","93","","204","12040043","","","","","",""
"104631","3","nyx_idle_surprise2","204","12040044","cmn_shock_def_N","","0.3","0","0.2","1"
"103431","3","nyx_idle_sad","204","12040045","cmn_shock_def_N","","0.3","0","0.2","1"
"103231","3","nyx_idle_surprise1","204","12040046","cmn_shock_def_N","","0.3","0","0.2","1"
"1.5","93","","204","12040047","","","","","",""
"12040042","91","","204","12040048","","","","","",""
"104831","11","","204","12040049","不管怎麼看都是\n滿滿的浪費……\n太沒有效率了……！","","0","10","",""
"0","91","","204","12040050","","","","","",""
"103431","3","","204","12040051","nyx_talk_sad","","0.3","1","0.3",""
"103431","11","","204","12040052","冷、冷靜一點\n美冬……\n這也沒有辦法嘛……","","","10","",""
"0","91","","204","12040053","","","","","",""
"104831","11","","204","12040054","看到這個\n我怎麼可能還\n冷靜得下來啦～！","","0","10","",""
"2.7","93","","204","12040055","","","","","",""
"103431","3","","204","12040056","nyx_cmn_03","","0.3","1","0.3",""
"104831","3","nyx_204_mifuyu_06","204","12040057","nyx_204_mifuyu_07","","0.3","0","0.3","1"
"2","3","nyx_204_mifuyu_06","204","12040058","nyx_204_mifuyu_07","","0.3","0","0.3","1"
"12040052","91","","204","12040059","","","","","",""
"0.5","93","","204","12040060","","","","","",""
"103431","4","","204","12040061","0","","","1","",""
"0.5","93","","204","12040062","","","","","",""
"103431","12","","204","12040063","2","","","1","",""
"1.5","93","","204","12040064","","","","","",""
"104631","12","","204","12040065","17","","","1","",""
"104631","3","","204","12040066","nyx_talk_sad","","0.3","1","0.3",""
"1.5","93","","204","12040067","","","","","",""
"103431","4","","204","12040068","1","","","1","",""
"104631","3","","204","12040069","nyx_idle_sad","","0.3","1","0.3",""
"0.2","93","","204","12040070","","","","","",""
"103231","12","","204","12040071","7","","","1","",""
"103231","3","cmn_pose02_def_N","204","12040072","nyx_talk_joy1","","0.3","0","0.2","1"
"0.1","93","","204","12040073","","","","","",""
"103431","3","","204","12040074","nyx_talk_sad","","0.3","1","0.3",""
"2","93","","204","12040075","","","","","",""
"104831","12","","204","12040076","15","","","1","",""
"2","93","","204","12040077","","","","","",""
"12040061","101","","204","12040078","1","","","","",""
"1","1","-135","301","13010001","111031","nyx_301_yuni_01","1.2","110","0","-277"
"3","31","0","301","13010002","1","","1","0","","1"
"17","31","-195","301","13010003","2","","1","40","","1"
"18","31","-195","301","13010004","3","","0","40","","1"
"19","31","-195","301","13010005","4","","0","40","","1"
"bgm_M347","25","","301","13010006","bgm_M347","","","","",""
"2","93","","301","13010007","","","","","",""
"111031","11","","301","13010008","好朋友X……\n那個真的是\n浪漫的結晶啊……","","","10","",""
"0","91","","301","13010009","1","","","","",""
"111031","11","","301","13010010","由那創新之中所獲得\n的刺激應該以有形的\n方式留存下來才對…","","","10","",""
"0","91","","301","13010011","1","","","","",""
"0.6","93","","301","13010012","","","","","",""
"111031","3","","301","13010013","nyx_103_yuni_02","","0.2","1","",""
"111031","11","","301","13010014","綜上所述\n本來我是打算來蒐集\n好朋友X的殘骸的","","","10","",""
"0","91","","301","13010015","1","","","","",""
"111031","3","nyx_idle_normal","301","13010016","cmn_pose02_def_N","","0.2","0","0.2",""
"111031","11","","301","13010017","但如果只是修理這些\n並單純組裝起來的話\n也不過是仿造品罷了","","","10","",""
"0","91","","301","13010018","1","","","","",""
"111031","3","nyx_103_yuni_04","301","13010019","nyx_103_yuni_03","","0.2","0","","1"
"111031","11","","301","13010020","我要做些個人修改\n像是將機體縮小及\n改良各種功能","","","10","",""
"0","91","","301","13010021","1","","","","",""
"111031","3","","301","13010022","cmn_pose02_def_N","","0.2","1","",""
"111031","11","","301","13010023","嗯，也就是說\n鯛魚燒加上\n麥酒……","","","10","",""
"0","91","","301","13010024","","","","","",""
"0.5","93","","301","13010025","","","","","",""
"111031","3","","301","13010026","nyx_301_yuni_03","","0.2","1","",""
"111031","11","","301","13010027","不對，說到底\n為什麼鯛魚燒和麥酒\n會被裝進去呢","","","10","",""
"0","91","","301","13010028","1","","","","",""
"111031","11","","301","13010029","……真是令人費解啊\n看來似乎有必要先從\n這點開始思考起呢","","","10","",""
"0","91","","301","13010030","1","","","","",""
"111031","3","","301","13010031","nyx_301_yuni_01","","0.2","1","",""
"111031","11","","301","13010032","這是何等的難題啊\n我那對知識的探求心\n蠢蠢欲動了起來","","","10","",""
"0","91","","301","13010033","","","","","",""
"2","93","","301","13010034","","","","","",""
"111031","4","","301","13010035","1","","","","",""
"111031","3","","301","13010036","cmn_walk_def_N","","0.2","1","",""
"111031","2","1.5","301","13010037","-230","","","-277","",""
"1.5","93","","301","13010038","","","","","",""
"111031","3","nyx_idle_normal","301","13010039","nyx_301_yuni_02","","0.2","0","0.2","1"
"3","93","","301","13010040","","","","","",""
"111031","4","","301","13010041","0","","","","",""
"111031","3","","301","13010042","cmn_walk_def_N","","0.2","1","",""
"111031","2","1.5","301","13010043","-95","","","-277","",""
"1.5","93","","301","13010044","","","","","",""
"111031","12","","301","13010045","12","","","1","",""
"111031","3","nyx_idle_normal","301","13010046","nyx_301_yuni_02","","0.2","0","0.2","1"
"0.4","93","","301","13010047","","","","","",""
"3","32","","301","13010048","1","","","","",""
"2.6","93","","301","13010049","","","","","",""
"111031","4","","301","13010050","1","","","","",""
"111031","3","","301","13010051","cmn_walk_def_N","","0.2","1","",""
"111031","2","1.5","301","13010052","-230","","","-277","",""
"1.5","93","","301","13010053","","","","","",""
"111031","12","","301","13010054","13","","","1","",""
"111031","3","nyx_idle_normal","301","13010055","nyx_301_yuni_02","","0.2","0","0.2","1"
"3","93","","301","13010056","","","","","",""
"111031","4","","301","13010057","0","","","","",""
"111031","3","","301","13010058","cmn_walk_def_N","","0.2","1","",""
"111031","2","1.5","301","13010059","-95","","","-277","",""
"1.5","93","","301","13010060","","","","","",""
"111031","3","nyx_idle_normal","301","13010061","nyx_301_yuni_02","","0.2","0","0.2","1"
"0.4","93","","301","13010062","","","","","",""
"4","32","","301","13010063","1","","","","",""
"2.6","93","","301","13010064","","","","","",""
"111031","4","","301","13010065","1","","","","",""
"111031","3","","301","13010066","cmn_walk_def_N","","0.2","1","",""
"111031","2","1.5","301","13010067","-230","","","-277","",""
"1.5","93","","301","13010068","","","","","",""
"111031","3","nyx_idle_normal","301","13010069","nyx_301_yuni_02","","0.2","0","0.2","1"
"3","93","","301","13010070","","","","","",""
"111031","4","","301","13010071","0","","","","",""
"111031","3","","301","13010072","cmn_walk_def_N","","0.2","1","",""
"111031","2","4","301","13010073","165","","","-277","",""
"4","93","","301","13010074","","","","","",""
"111031","12","","301","13010075","12","","","1","",""
"111031","3","nyx_idle_normal","301","13010076","nyx_301_yuni_02","","0.2","0","0.2","1"
"3","93","","301","13010077","","","","","",""
"111031","4","","301","13010078","1","","","","",""
"111031","3","","301","13010079","cmn_walk_def_N","","0.2","1","",""
"111031","2","4","301","13010080","-230","","","-277","",""
"4","93","","301","13010081","","","","","",""
"111031","12","","301","13010082","17","","","1","",""
"111031","3","nyx_idle_normal","301","13010083","cmn_pose02_def_N","","0.2","0","0.2","1"
"4","93","","301","13010084","","","","","",""
"111031","4","","301","13010085","0","","","","",""
"111031","3","","301","13010086","cmn_walk_def_N","","0.2","1","",""
"111031","2","4","301","13010087","165","","","-277","",""
"4","93","","301","13010088","","","","","",""
"111031","3","nyx_303_yuni_01","301","13010089","nyx_301_yuni_02","","0.2","0","0.2","0"
"2.4","93","","301","13010090","","","","","",""
"111031","12","","301","13010091","7","","","1","",""
"1.6","93","","301","13010092","","","","","",""
"111031","4","","301","13010093","1","","","","",""
"111031","3","","301","13010094","cmn_walk_def_N","","0.2","1","",""
"111031","2","4","301","13010095","-230","","","-277","",""
"4","93","","301","13010096","","","","","",""
"111031","12","","301","13010097","2","","","1","",""
"111031","3","cmn_pose02_def_N","301","13010098","nyx_301_yuni_02","","0.2","0","0.2","1"
"4","93","","301","13010099","","","","","",""
"13010071","101","","301","13010100","","","","","",""
"1","1","4000","302","13020001","111031","nyx_idle_normal","1.2","110","1","-277"
"2","5","-200","302","13020002","2","NoItem","1.2","120","1","-277"
"3","31","0","302","13020003","1","","1","0","","1"
"20","31","-240","302","13020004","3","","0","-110","","1"
"21","31","-195","302","13020005","4","","1","40","","1.2"
"bgm_M347","25","","302","13020006","bgm_M347","","","","",""
"2","93","","302","13020007","","","","","",""
"111031","3","nyx_idle_normal","302","13020008","nyx_302_yuni_01","","","0","0.2","1"
"111031","2","0","302","13020009","-200","","","-277","",""
"2","2","0","302","13020010","-200","","","-279","",""
"111031","11","","302","13020011","……噗哈～！","","","10","",""
"0","93","","302","13020012","","","","","",""
"3","32","","302","13020013","1","","","","",""
"13020011","91","","302","13020014","","","","","",""
"111031","11","","302","13020015","不行不行\n差一點就要被埋在\n這堆材料山裡了","","","10","",""
"0","91","","302","13020016","","","","","",""
"2","3","NoItem","302","13020017","nyx_302_yuni_02","","0.2","0","","1"
"111031","3","nyx_idle_normal","302","13020018","nyx_302_yuni_02","","0.2","0","0.2","1"
"111031","11","","302","13020019","只不過因禍得福，\n竟然讓我意外地找到\n一直在找的零件","","","10","",""
"5","93","","302","13020020","","","","","",""
"111031","4","","302","13020021","0","","","","",""
"111031","3","","302","13020022","nyx_cmn_03","","0.2","1","",""
"111031","11","","302","13020023","唔嗯…還真是僥倖\n事已至此，那我就\n再潛航看看吧……","","","10","",""
"0","91","","302","13020024","","","","","",""
"111031","3","","302","13020025","nyx_301_yuni_01","","0.2","1","",""
"111031","11","","302","13020026","這種名為素材潛水的\n全新探索之旅意外的\n是件挺有意義的事呢","","","10","",""
"0","91","","302","13020027","1","","","","",""
"111031","11","","302","13020028","反正萬一溺水的話\n一定會有學弟妹\n注意到我的吧","","","10","",""
"0","91","","302","13020029","1","","","","",""
"111031","3","nyx_302_yuni_04","302","13020030","nyx_302_yuni_03","","0.2","0","","1"
"111031","11","","302","13020031","沒有辦法了\n我要上啦！","","","10","",""
"0","91","","302","13020032","1","","","","",""
"1.5","93","","302","13020033","","","","","",""
"111031","11","","302","13020034","唔。鑽得太深了\n看來……要出不去了！\n快來人！快來人啊！","","","10","",""
"0","91","","302","13020035","","","","","",""
"6","93","","302","13020036","","","","","",""
"111031","12","","302","13020037","2","","","1","",""
"4","93","","302","13020038","","","","","",""
"111031","12","","302","13020039","4","","","1","",""
"4","93","","302","13020040","","","","","",""
"13020036","101","","302","13020041","","","","","",""
"1","1","49","303","13030001","111031","nyx_303_yuni_07","1.2","110","1","-221.5"
"4","31","0","303","13030002","1","","1","0","","1"
"bgm_M347","25","","303","13030003","bgm_M347","","","","",""
"2","93","","303","13030004","","","","","",""
"111031","11","","303","13030005","唔嗯，整個過程雖然\n一波三折……但最後\n總算順利完成了呢","","","10","",""
"0","91","","303","13030006","","","","","",""
"111031","3","","303","13030007","nyx_303_yuni_01_noshadow","","0.2","1","",""
"111031","11","","303","13030008","哼哼哼……最終成果\n真是讓我心滿意足……","","","10","",""
"0","91","","303","13030009","","","","","",""
"111031","11","","303","13030010","外觀的完成度\n自然是無需多言\n值得一提的是功能面","","","10","",""
"0","91","","303","13030011","","","","","",""
"111031","3","","303","13030012","nyx_303_yuni_03","","0.2","1","",""
"111031","11","","303","13030013","來試著進行一下\n動作的測試吧","","","10","",""
"0","91","","303","13030014","","","","","",""
"111031","3","nyx_303_yuni_04","303","13030015","nyx_303_yuni_02","","0.2","0","0.2","1"
"3","93","","303","13030016","","","","","",""
"111031","3","","303","13030017","nyx_303_yuni_07","","0.2","1","",""
"111031","11","","303","13030018","嗯……\n映出表情的功能\n似乎沒有問題呢","","","10","",""
"0","91","","303","13030019","","","","","",""
"111031","3","nyx_303_yuni_04","303","13030020","nyx_303_yuni_09","","0.2","0","0.2","1"
"111031","11","","303","13030021","接下來要測試\n哪一個功能呢……","","","10","",""
"0","91","","303","13030022","","","","","",""
"0.5","93","","303","13030023","","","","","",""
"111031","11","","303","13030024","總而言之先隨便按\n幾個開關……哎呀\n這個按鈕可不行呢","","","10","",""
"1.5","93","","303","13030025","","","","","",""
"111031","3","","303","13030026","nyx_303_yuni_02","","0.2","0","",""
"1","93","","303","13030027","","","","","",""
"111031","3","nyx_303_yuni_05","303","13030028","nyx_303_yuni_06","","0.2","0","","1"
"2","93","","303","13030029","","","","","",""
"111031","11","","303","13030030","……好險好險\n差一點就要\n啟動自爆裝置了","","","10","",""
"0.1","93","","303","13030031","","","","","",""
"111031","3","","303","13030032","nyx_303_yuni_08","","0.2","1","",""
"13030030","91","","303","13030033","","","","","",""
"2","93","","303","13030034","","","","","",""
"111031","3","nyx_303_yuni_04","303","13030035","nyx_303_yuni_09","","0.2","0","0.2","1"
"2","93","","303","13030036","","","","","",""
"111031","3","nyx_303_yuni_03","303","13030037","nyx_303_yuni_02","","0.2","0","0.2","1"
"1.8","93","","303","13030038","","","","","",""
"111031","12","","303","13030039","6","","","1","",""
"3.2","93","","303","13030040","","","","","",""
"111031","3","nyx_303_yuni_04","303","13030041","nyx_303_yuni_09","","0.2","0","0.2","1"
"2","93","","303","13030042","","","","","",""
"111031","3","nyx_303_yuni_08","303","13030043","nyx_303_yuni_02","","0.2","0","0.2","1"
"1.8","93","","303","13030044","","","","","",""
"111031","12","","303","13030045","2","","","1","",""
"1.2","93","","303","13030046","","","","","",""
"13030034","101","","303","13030047","","","","","",""
