8ad0caf068f702efe3f46eefee007d095a4b0de5ac279b28127fbe8ad4f5e9ec,4e0f7a16b4009d48f5be6f61c9d3bf4b1f1560690c979f6d33d84ed96aa6fb77,3bd68a4b9047a29cc70e558103d85e9f66a60b4e74f98a9bd30b10df4e25137a,3ca9df59171e668f577119f077aafcd64072669c874bc659c192d73316b35eb2,a800b7dfdc25b464ced337efb0435e1444f1ac96f9256d14d5b0424e5dca92e5,4a71086678e98313159e382d445bac9466b0ff4c67b7d6a54dcdbaafe6739313,720b0ee6ee6640d961be8059d71cf80642dcb8be494f59bfc5ccd207d466c89c,3c43a088934c64236860fade2755700cbcf3254e3ebeaf4da7fd279fd8f5d420,77bfb6f0661783184da95347cb2a2b9589e813d059cda036c3fbbddadaf86af8,b46c01dafdb7433ba964fdc3b696a86230327e55dfa5c88f8e0ce2fa951e834d,0fa0dea3381b79792d30977799af0edf5902d4c768c53c5734919e76682da2bf
"33","pkb_idle_shock","","0.2","2","1330015","1","","3","0","pkb_shock"
"33","","","","1330011","1330016","","","91","",""
"33","","","0.2","2","1330017","","","3","1","pkb_idle_normal"
"34","170","1","1.6","1","1340001","-150","pkb_idle_normal","1","100","106531"
"34","-20","0","1.6","1","1340002","-150","pkb_idle_normal","1","100","113411"
"34","pkb_idle_arm_crossed","0.2","0.2","106531","1340003","1","","3","0","pkb_talk_arm_crossed"
"34","0","","","vo_minigame_1006","1340004","","","21","0","vo_minigame_1006_top_talk_13_301"
"34","0","0","0","106531","1340005","0","-1","11","8","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？"
"34","","","","3.4","1340006","","","93","",""
"34","","","0.2","106531","1340007","","","3","1","pkb_talk_normal"
"34","","","","1340005","1340008","","","91","",""
"34","","","0.2","106531","1340009","","","3","1","pkb_idle_normal"
"34","","","0.2","113411","1340010","","","3","1","pkb_talk_normal"
"34","0","","","vo_minigame_1006","1340011","","","21","0","vo_minigame_1006_top_talk_13_202"
"34","0","0","0","113411","1340012","0","1","11","8","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。"
"34","","","","1.2","1340013","","","93","",""
"34","pkb_talk_surprise1","0.2","0.2","113411","1340014","1","","3","0","pkb_surprise"
"34","","","","1","1340015","","","93","",""
"34","","","0.2","113411","1340016","","","3","1","pkb_talk_joy3"
"34","","","","1340012","1340017","","","91","",""
"34","","","0.2","113411","1340018","","","3","1","pkb_idle_normal"
"35","-20","0","1.6","1","1350001","-150","pkb_idle_normal","1","100","113511"
"35","170","1","1.6","1","1350002","-150","pkb_idle_normal","1","100","102311"
"35","","","0.2","113511","1350003","","","3","1","pkb_talk_joy3"
"35","0","","","vo_minigame_1006","1350004","","","21","0","vo_minigame_1006_top_talk_14_101"
"35","0","0","0","113511","1350005","0","0.5","11","6","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！"
"35","","","","5.2","1350006","","","93","",""
"35","","","0.2","113511","1350007","","","3","1","pkb_talk_wish"
"35","","","","1350005","1350008","","","91","",""
"35","","","0.2","113511","1350009","","","3","1","pkb_idle_normal"
"35","","","0.2","102311","1350010","","","3","1","pkb_talk_joy1"
"35","0","","","vo_minigame_1006","1350011","","","21","0","vo_minigame_1006_top_talk_14_402"
"35","0","0","0","102311","1350012","0","-1","11","8","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！"
"35","","","","3.2","1350013","","","93","",""
"35","pkb_idle_doya","","0.2","102311","1350014","1","","3","0","pkb_talk_doya"
"35","","","","1350012","1350015","","","91","",""
"35","","","0.2","102311","1350016","","","3","1","pkb_idle_normal"
"36","170","1","55","3","1360001","-130","pkb_idle_normal_l","5","100","3"
"36","-20","0","55","1","1360002","-130","pkb_idle_normal","5","100","1"
"36","pkb_idle_arm_crossed_l","0.2","0.2","3","1360003","1","","3","0","pkb_talk_arm_crossed_l"
"36","0","","","vo_minigame_1006","1360004","","","21","0","vo_minigame_1006_top_talk_15_601"
"36","0","0","0","3","1360005","0","-0.5","11","8","喂，旭！\n讓我看看\n你進步了多少！"
"36","","","","1360005","1360006","","","91","",""
"36","","","0.2","3","1360007","","","3","1","pkb_idle_normal_l"
"36","pkb_idle_guts","","0.2","1","1360008","1","","3","0","pkb_talk_guts"
"36","0","","","vo_minigame_1006","1360009","","","21","0","vo_minigame_1006_top_talk_15_702"
"36","0","0","0","1","1360010","0","0","11","8","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！"
"36","","","","1360010","1360011","","","91","",""
"36","","","0.2","1","1360012","","","3","1","pkb_idle_normal"
"37","-20","0","55","1","1370001","-130","pkb_idle_normal","5","100","1"
"37","170","1","55","3","1370002","-130","pkb_idle_normal_l","5","100","3"
"37","pkb_idle_guts","","0.2","1","1370003","1","","3","0","pkb_talk_guts"
"37","0","","","vo_minigame_1006","1370004","","","21","0","vo_minigame_1006_top_talk_16_701"
"37","0","0","0","1","1370005","0","-0.5","11","8","我們絕對要參加\n全國大賽，\n實現我們的夢想！"
"37","","","","3.2","1370006","","","93","",""
"37","pkb_idle_normal","0.2","0.2","1","1370007","1","","3","0","pkb_talk_handsup"
"37","","","","1370005","1370008","","","91","",""
"37","","","0.2","1","1370009","","","3","1","pkb_idle_normal"
"37","pkb_idle_arm_crossed_l","0.2","0.2","3","1370010","1","","3","0","pkb_talk_arm_crossed_l"
"37","0","","","vo_minigame_1006","1370011","","","21","0","vo_minigame_1006_top_talk_16_602"
"37","0","0","0","3","1370012","0","1","11","8","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！"
"37","","","","4.8","1370013","","","93","",""
"37","pkb_idle_guts_l","","0.2","3","1370014","1","","3","0","pkb_talk_guts_l"
"37","","","","1370012","1370015","","","91","",""
"37","","","0.2","3","1370016","","","3","1","pkb_idle_normal_l"
"38","170","1","1.6","1","1380001","-150","pkb_idle_normal","1","100","106531"
"38","-20","0","55","2","1380002","-130","pkb_idle_normal","5","100","2"
"38","pkb_idle_arm_crossed","0.2","0.2","106531","1380003","1","","3","0","pkb_talk_arm_crossed"
"38","0","","","vo_minigame_1006","1380004","","","21","0","vo_minigame_1006_top_talk_17_301"
"38","0","0","0","106531","1380005","0","-0.5","11","8","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！"
"38","","","","3.6","1380006","","","93","",""
"38","pkb_idle_doya","","0.2","106531","1380007","1","","3","0","pkb_talk_doya"
"38","","","","2","1380008","","","93","",""
"38","pkb_idle_normal","0.2","0.2","106531","1380009","1","","3","0","pkb_talk_handsup"
"38","","","","1380005","1380010","","","91","",""
"38","","","","1","1380011","","","93","",""
"38","","","0.2","106531","1380012","","","3","1","pkb_idle_normal"
"38","pkb_idle_shock","","0.2","2","1380013","1","","3","0","pkb_shock"
"38","0","","","vo_minigame_1006","1380014","","","21","0","vo_minigame_1006_top_talk_17_802"
"38","0","0","0","2","1380015","0","1","11","7","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。"
"38","","","","1380015","1380016","","","91","",""
"38","","","0.2","2","1380017","","","3","1","pkb_idle_normal"
