ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"Mirage Game","1:09","角色歌曲\n\n時間 / 01:52\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n　　　雪菲（近藤玲奈）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 東大路憲太","bgm_M370","1:52","bgm_M370","125"
"Yes！ Precious Harmony！","0:52","角色歌曲\n\n時間 / 01:48\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","bgm_M371","1:48","bgm_M371","126"
"啾啾大恐慌！　保衛起司大作戰！","0:00","小遊戲\n-｢Heartful Place｣編曲-\n\n時間 / 00:45\n作曲 / 小野貴光\n編曲 / 澤下葵","bgm_M355_Lofi_juke","0:45","bgm_M355_Lofi","127"
"牧場的四農士　貧窮農場奮鬥記！","0:00","故事劇情主題曲\n-｢Heartful Place｣編曲-\n\n時間 / 01:00\n作曲 / 小野貴光\n編曲 / 淺田美咲（Cygames）","bgm_M351_juke","1:00","bgm_M351","128"
"忍者首領半藏","0:00","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M354_juke","1:56","bgm_M354","129"
"Heartful Place","0:46","角色歌曲\n\n時間 / 01:19\n演唱　 / 真陽（新田恵海）\n　　　鈴（小岩井ことり）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M379","1:19","bgm_M379","130"
"不可思議之國的璃乃 小小愛麗絲與希望的繪本","0:00","故事劇情主題曲\n-｢童話故事就在夢中｣編曲-\n\n時間 / 00:52\n作曲 / 篠崎あやと\n編曲 / 東大路憲太","bgm_M375_juke","0:52","bgm_M375","131"
"暗黑之王賈巴沃克","0:00","故事劇情BOSS戰\n\n時間 / 01:21\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_M378_juke","1:21","bgm_M378","132"
"童話故事就在夢中","0:51","角色歌曲\n\n時間 / 01:29\n演唱　 / 璃乃（阿澄佳奈）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","bgm_M389","1:29","bgm_M389","133"
"幽靜森林","0:00","主線冒險\n\n時間 / 01:04\n作曲 / 澤下葵\n編曲 / 澤下葵","bgm_M374_juke","1:04","bgm_M374","134"
"七夕劍客旅情譚 天際川流夏之戀","0:00","故事劇情主題曲\n-｢黃昏太平旅路歌｣編曲-\n\n時間 / 01:08\n作曲 / 渡部チェル\n編曲 / 中村早織(Cygames)","bgm_M380A_juke","1:08","bgm_M380A","135"
"覺醒‧花心星","0:00","故事劇情BOSS戰\n\n時間 / 03:16\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","bgm_M384_juke","3:16","bgm_M384","136"
"黃昏太平旅路之歌","0:49","角色歌曲\n\n時間 / 01:27\n演唱　 / 流夏（佐藤利奈）\n作詞 / 絵伊子、野村イクミ（Cygames）\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M402","1:27","bgm_M402","137"
"美里的夏日聲援！　追夢的盛夏棒球隊","0:00","故事劇情主題曲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 00:55\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 江原大介","bgm_M393_juke","0:55","bgm_M393","138"
"海岸暴君‧鮫吉","0:00","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M397_juke","2:25","bgm_M397","139"
"猛訓打擊道！　美里的全壘打訓練場","0:00","小遊戲\\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:15\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 長谷部翔(Cygames)","bgm_M399_juke","1:15","bgm_M399","140"
"目標全壘打！","0:00","小遊戲\n-｢Lost Princess｣Arrange-\n\n時間 / 01:25\n作曲 / 田中公平\n編曲 / 江原大介","bgm_M400_juke","1:25","bgm_M400","141"
"夏天的回憶","0:00","小遊戲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:05\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 中川峻彰","bgm_M401_juke","1:05","bgm_M401","142"
"那個夏天的記憶","0:55","角色歌曲\n\n時間 / 01:26\n演唱　 / 美里（國府田マリ子）\n作詞 / Manami（TRYTONELABO）\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 瀧澤俊輔（TRYTONELABO）","bgm_M412","1:26","bgm_M412","143"
"清澈的河水聲","0:00","主線冒險\n\n時間 / 01:05\n作曲 / 淺田美咲(Cygames)\n編曲 / 淺田美咲(Cygames)","bgm_M392_juke","1:05","bgm_M392","144"
"Happy‧Change‧Angels","0:00","故事劇情主題曲\n-｢吶吶Please！｣Arrange-\n\n時間 / 00:55\n作曲 / 山崎真吾\n編曲 / 田山里奈","bgm_M403_juke","0:55","bgm_M403","145"
"失控的純潔之弓","0:00","故事劇情BOSS戰\n\n時間 / 02:20\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","bgm_M406_juke","2:20","bgm_M406","146"
"吶吶Please！","0:50","角色歌曲\n\n時間 / 01:18\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","bgm_M420","1:18","bgm_M420","147"
"迴盪的尖叫！萬聖鬼怪狂歡節","0:00","故事劇情主題曲\n-「Paradox」編曲-\n\n時間 / 00:55\n作曲 / 出口遼\n編曲 / 多田彰文","bgm_M413_juke","0:55","bgm_M413","148"
"驚叫鬼魂教父","0:00","故事劇情頭目戰\n\n時間 / 02:40\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M416_juke","2:40","bgm_M416","149"
"Paradox","0:48","角色歌曲\n\n時間 / 01:35\n演唱　 / 怜（早見沙織）\n　　　紡希（木戸衣吹）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太、出口遼","bgm_M425","1:35","bgm_M425","150"
"魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","0:00","故事劇情主題曲\n-｢閃耀吧！Lovely★Dreamy｣編曲-\n\n時間 / 01:30\n作曲 / 睦月周平\n編曲 / 多田彰文","bgm_M421_juke","1:30","bgm_M421","151"
"反逆獸 de M","0:00","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M424_juke","2:35","bgm_M424","152"
"閃耀吧！Lovely★Dreamy","0:49","角色歌曲\n\n時間 / 01:27\n演唱　/ 莫妮卡（辻あゆみ）\n　　　智（茅原実里）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","bgm_M439","1:27","bgm_M439","153"
"跨越斷崖　前進山麓","0:00","主線冒險\n\n時間 / 01:35\n作曲 / 関根修平（Cygames）\n編曲 / 加藤慶久（Cygames）","bgm_M411_juke","1:35","bgm_M411","154"
"名媛初登夢想秘境　聖誕夜的戀愛遊戲","0:00","故事劇情主題曲\n-｢Holy Passion Roses｣編曲-\n\n時間 / 01:20\n作曲 / 小野貴光\n編曲 / 田山里奈","bgm_M426_juke","1:20","bgm_M426","155"
"被操控的雪人","0:00","故事劇情Boss戰\n\n時間 / 02:30\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M429_juke","2:30","bgm_M429","156"
"Holy Passion Roses","0:59","角色歌曲\n\n時間 / 01:31\n演唱　 / 咲戀（堀江由衣）\n　　　秋乃（松嵜麗）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M440","1:31","bgm_M440","157"
"新春美食家公主！　賭上關鍵一擲的少女們","0:00","故事劇情主題曲\n-｢Brand New Sunrise｣編曲-\n\n時間 / 01:06\n作曲 / 池田健仁（Cygames）\n編曲 / 多田彰文","bgm_M435_juke","1:06","bgm_M435","158"
"究極金槍鮪","0:00","故事劇情Boss戰\n\n時間 / 02:34\n作曲 / 中村博\n編曲 / 中村博","bgm_M438_juke","2:34","bgm_M438","159"
"Brand New Sunrise","0:55","角色歌曲\n\n時間 / 01:27\n演唱　 / 矛依未（潘めぐみ）\n　　　似似花（井口裕香）\n作詞 / 野村イクミ（Cygames）\n作曲 / 池田健仁（Cygames）\n編曲 / 池田健仁（Cygames）","bgm_M441","1:27","bgm_M441","160"
"無比珍貴的日常","0:00","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","bgm_M442A_juke","1:16","bgm_M442A","161"
"離別與決意","0:00","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","bgm_M442B_juke","1:16","bgm_M442B","162"
"黑風之精靈","0:00","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M447_juke","2:26","bgm_M447","163"
"心的思念 ～心的思念～","0:52","角色歌曲\n\n時間 / 01:25\n演唱　 / 可可蘿（伊藤美来）\n作詞 / 亀井博之\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 内海孝彰（TRYTONELABO）","bgm_M456","1:25","bgm_M456","164"
"灰姑娘課程　璀璨的日子有著蘋果的滋味","0:00","故事劇情主題曲\n-｢戀愛閃亮魔法☆彡｣編曲-\n\n時間 / 00:58\n作曲 / 青柳諒、内田ましろ\n編曲 / 関根修平（Cygames）","bgm_M451_juke","0:58","bgm_M451","165"
"魔物的公主","0:00","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M455_juke","1:47","bgm_M455","166"
"戀愛閃亮魔法☆彡","0:49","角色歌曲\n\n時間 / 01:29\n歌　 / 莉瑪（徳井青空）\n作詞 / 青柳諒、内田ましろ\n作曲 / 青柳諒、内田ましろ\n編曲 / 青柳諒","bgm_M465","1:29","bgm_M465","167"
"鋼鐵聖女與神聖學院的問題兒童","0:00","故事劇情主題曲\n-｢無敵DREAMING｣編曲-\n\n時間 / 01:01\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 澤下葵","bgm_M457_juke","1:01","bgm_M457","168"
"無名的藝術","0:00","故事劇情Boss戰\n\n時間 / 02:05\n作曲 / 中村博\n編曲 / 中村博","bgm_M461_juke","2:05","bgm_M461","169"
"無敵DREAMING","0:56","角色歌曲\n\n時間 / 01:32\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種崎敦美）\n　　　優妮（小原好美）\n作詞 / しらゆき美優\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）\n　　　佐藤厚仁（Dream Monster）","bgm_M466","1:32","bgm_M466","170"
"祈梨ＳＯＳ！！　踏上時空旅行的龍人族","0:00","故事劇情主題曲\n-｢Seize The Day！｣編曲-\n\n時間 / 01:10\n作曲 / 本多友紀（Arte Refact）\n編曲 / 中川峻彰","bgm_M467_juke","1:10","bgm_M467","171"
"爆裂‧時間儀","0:00","故事劇情Boss戰\n\n時間 / 02:12\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M470_juke","2:12","bgm_M470","172"
"Seize The Day！","0:52","角色歌曲\n\n時間 / 01:34\n演唱　 / 嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n　　　祈梨（藤田茜）\n作詞 / 野村イクミ（Cygames）\n作曲 / 本多友紀（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","bgm_M485","1:34","bgm_M485","173"
"心電感應！碧與玩具朋友們","0:00","故事劇情主題曲\n-｢邊緣人的朋友進行曲｣編曲-\n\n時間 / 01:46\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 下智子","bgm_M478_Lofi_juke","1:46","bgm_M478","174"
"究極機械玩具王","0:00","故事劇情Boss戰\n\n時間 / 02:35\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M481_juke","2:35","bgm_M481","175"
"邊緣人的朋友進行曲","1:01","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 山本真央樹（TRYTONELABO）","bgm_M494","1:34","bgm_M494","176"
"於飛舞的沙塵之中","0:00","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","bgm_M483_E46_juke","1:07","bgm_M483","177"
"永不完結的夏日計畫　盛夏的雙人獨佔樂園","0:00","故事劇情主題曲\n-「Only Only You」編曲-\n\n時間 / 01:57\n作曲 / ARM（IOSYS）\n編曲 / 下智子","bgm_M486_juke","1:57","bgm_M486","178"
"暑假作業","0:00","故事劇情Boss戰\n\n時間 / 02:29\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M489_juke","2:29","bgm_M489","179"
"Only Only You","0:46","角色歌曲\n\n時間 / 01:28\n歌　 / 惠理子（橋本ちなみ）\n作詞 / 夕野ヨシミ（IOSYS）\n作曲 / ARM（IOSYS）\n編曲 / ARM（IOSYS）","bgm_M495","1:28","bgm_M495","180"
"慈樂之音的夏日演唱會　Just a moment！","0:00","故事劇情主題曲\n-｢Just a Moment！｣編曲-\n\n時間 / 01:09\n作曲 / 山口朗彥\n編曲 / 關根修平（Cygames）","bgm_M496_juke","1:09","bgm_M496","181"
"女王歌唱水母","0:00","故事劇情Boss戰\n\n時間 / 01:30\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","bgm_M499_juke","1:30","bgm_M499","182"
"Just a Moment！","0:56","角色歌曲\n\n時間 / 01:39\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 野村イクミ（Cygames）\n作曲 / 山口朗彥\n編曲 / 山口朗彥","bgm_M518","1:39","bgm_M518","183"
"Shining Future（Battle Arrange Ver.）","0:53","角色歌曲\n-「Shining Future」-\n\n時間 / 01:55\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","bgm_M519","1:55","bgm_M519","184"
"大江戶的非法病歷　Dr.深月的診療室","0:00","故事劇情主題曲\n-｢Narcistration♡｣編曲-\n\n時間 / 01:55\n作曲 / 錦織孝宏\n編曲 / 中村博","bgm_M508_juke","1:55","bgm_M508","185"
"基古魯博士","0:00","故事劇情頭目戰\n\n時間 / 01:44\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M511_juke","1:44","bgm_M511","186"
"Narcistration♡","1:02","角色歌曲\n\n時間 / 01:32\n歌　 / 雪（大空直美）\n作詞 / Manami（TRYTONELABO）\n作曲 / 錦織孝宏\n編曲 / 錦織孝宏","bgm_M524","1:32","bgm_M524","187"
"軍團之戰","0:00","軍團之戰\n\n時間 / 01:00\n作曲 / 長門千晴（Cygames）\n編曲 / 田山里奈","bgm_M501_juke","1:00","bgm_M501","188"
"VS憤怒軍團　與阿澤爾德的戰鬥","0:00","軍團之戰頭目戰\n\n時間 / 02:19\n作曲 / 中川峻彰、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 中川峻彰","bgm_M504_juke","2:19","bgm_M504","189"
"VS憤怒軍團　與卡里莎的戰鬥","0:00","軍團之戰頭目戰\n\n時間 / 01:23\n作曲 / 塚越廉、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 塚越廉","bgm_M502_juke","1:23","bgm_M502","190"
"VS憤怒軍團　與贊恩的戰鬥","0:00","軍團之戰頭目戰\n\n時間 / 02:48\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M506_juke","2:48","bgm_M506","191"
"VS憤怒軍團　與美空的戰鬥","0:00","軍團之戰頭目戰\n\n時間 / 01:39\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n　　　関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M505_juke","1:39","bgm_M505","192"
"VS憤怒軍團　與蘭法的戰鬥","0:00","軍團之戰頭目戰\n\n時間 / 01:20\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M503_juke","1:20","bgm_M503","193"
"萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","0:00","故事劇情主題曲\n-｢Halloween Monster Jam ！！！｣編曲-\n\n時間 / 01:16\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 下智子","bgm_M520_juke","1:16","bgm_M520","194"
"哀暴小棉花糖","0:00","故事劇情頭目戰\n\n時間 / 01:53\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M523_juke","1:53","bgm_M523","195"
"Halloween Monster Jam ！！！","0:54","角色歌曲\n\n時間 / 01:34\n歌　 / 香織（高森奈津美）\n　　　鈴奈（上坂すみれ）\n　　　妮諾（佐藤聡美）\n作詞 / 椎名宇伊（Cygames）\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M525","1:34","bgm_M525","196"
"魔法少女外傳　黑暗魔法★三人組！","0:00","故事劇情主題曲\n-｢GREEDY LOVE｣編曲-\n\n時間 / 00:58\n作曲 / 設楽哲也\n編曲 / 長谷部翔（Cygames）","bgm_M527_juke","0:58","bgm_M527","197"
"反逆獸‧三重","0:00","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 中村博\n編曲 / 中村博","bgm_M529_juke","2:24","bgm_M529","198"
"GREEDY LOVE","1:05","角色歌曲\n\n時間 / 01:36\n歌　 / 伊緒（伊藤静）\n　　　靜流（生天目仁美）\n　　　空花（長妻樹里）\n作詞 / ミズノゲンキ\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M535","1:36","bgm_M535","199"
"聖誕布丁快樂！　飛舞的少女與飽含真心的點心","0:00","故事劇情主題曲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 01:13\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 中村早織（Cygames）","bgm_M536_juke","1:13","bgm_M536","200"
"孤伶伶的聖誕夜妖精","0:00","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M539_juke","1:56","bgm_M539","201"
"宮子廚房　通往究極之路","0:00","小遊戲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 02:05\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 關根修平（Cygames）","bgm_M540_juke","2:05","bgm_M540","202"
"布丁‧聖‧代‧聖誕節來的！","0:57","角色歌曲\n\n時間 / 01:37\n演唱 / 宮子（雨宮天）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 坪田修平（TRYTONELABO）","bgm_M550","1:37","bgm_M550","203"
"新春美食回憶　雪菲的跑腿大作戰！","0:00","故事劇情主題曲\n-「Ice Wings」編曲-\n\n時間 / 01:04\n作曲 /AJURIKA\n編曲 / 畑田浩孝（Cygames）","bgm_M543_juke","1:04","bgm_M543","204"
"邪牛神哞猛","0:00","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M546_juke","1:59","bgm_M546","205"
"Ice Wings","1:05","角色歌曲\n\n時間 / 01:36\n歌　 / 雪菲（近藤玲奈）\n作詞 / AJURIKA\n作曲 / AJURIKA\n編曲 / AJURIKA","bgm_M551","1:36","bgm_M551","206"
"尋找線索","0:00","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:25\n作曲 / 伊藤翼\n編曲 / 關根修平（Cygames）","bgm_M552_juke","1:25","bgm_M552","207"
"到大家所度過的世界","0:00","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:10\n作曲 / 伊藤翼\n編曲 / 中町友洋","bgm_M553_juke","1:10","bgm_M553","208"
"超載力量","0:00","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M559_juke","2:08","bgm_M559","209"
"Asymmetric World","0:46","角色歌曲\n\n時間 / 01:35\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n作詞 / 瀨名航\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M572","1:35","bgm_M572","210"
"大家的情感","0:00","故事劇情迷你內容\n-｢Asymmetric World｣編曲-\n\n時間 / 03:27\n作曲 / 伊藤翼\n編曲 / 中川峻彰","bgm_M558_juke","3:27","bgm_M558","211"
"Sweet Tiny Stage！ 新進女演員與小小淑女","0:00","故事劇情主題曲\n-「聽得見音樂劇嗎？」編曲-\n\n時間 / 01:43\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 下智子","bgm_M565_juke","1:43","bgm_M565","212"
"仇鼠‧怒髮衝冠的啾二","0:00","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M568_juke","1:47","bgm_M568","213"
"Happy Anniv.特別版 蘭德索爾猜謎連結！","0:00","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:02\n作曲 / 田中公平\n編曲 / 東大路憲太","bgm_M548_Top_juke","1:02","bgm_M548","214"
"Thinking Time！","0:00","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:49\n作曲 / 田中公平\n編曲 / 中村博","bgm_M569_juke","1:49","bgm_M569","215"
"聽得見音樂劇嗎？","0:55","角色歌曲\n\n時間 / 01:27\n演唱　 / 胡桃（植田佳奈）\n作詞 / 藤村鼓乃美、北川勝利（ROUND TABLE）\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 北川勝利（ROUND TABLE）","bgm_M573","1:27","bgm_M573","216"
"Crossing Truth","0:58","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　雪菲（近藤玲奈）\n作詞 / 磯谷佳江\n作曲 / 中土智博\n編曲 / 中土智博","bgm_M581","1:33","bgm_M581","217"
"交出寶物！透明怪盜雙人組","0:00","故事劇情主題曲\n-「Secret Longing」編曲-\n\n時間 / 01:04\n作曲 / 河合泰志（Arte Refact）\n編曲 / 長谷部翔（Cygames）","bgm_M574_juke","1:04","bgm_M574","218"
"貪婪暴君‧賭場王","0:00","故事劇情Boss戰\n\n時間 / 01:43\n作曲 / 中村博\n編曲 / 中村博","bgm_M577_juke","1:43","bgm_M577","219"
"Secret Longing","0:55","角色歌曲\n\n時間 / 01:31\n演唱　 / 步未（大関英里）\n作詞 / 真崎エリカ\n作曲 / 河合泰志（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","bgm_M592","1:31","bgm_M592","220"
" Episode of Pirate　海盜島上被詛咒的遺寶","0:00","故事劇情主題曲\n-「無敵海盜」編曲-\n\n時間 / 01:36\n作曲 / 鹽原大貴\n編曲 / 下智子","bgm_M582_juke","1:36","bgm_M582","221"
"受解放的寶藏守護者","0:00","故事劇情Boss戰\n\n時間 / 01:53\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M585_juke","1:53","bgm_M585","222"
"無敵海盜","0:47","角色歌曲\n\n時間 / 01:30\n演唱　 / 杏奈（高野麻美）\n　　　忍（大坪由佳）\n　　　霞（水瀨いのり）\n作詞 / 月丘りあ子\n作曲 / 鹽原大貴\n編曲 / 鹽原大貴","bgm_M593","1:30","bgm_M593","223"
"莊嚴的熱沙","0:00","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","bgm_M571_juke","1:07","bgm_M571","224"
"Enjoy＆Refresh！　天差地遠的女孩露營","0:00","故事劇情主題曲\n-｢SAN！SHINE PARTY｣編曲-\n\n時間 / 01:26\n作曲 / no_my\n編曲 / 關根修平（Cygames）","bgm_M595_juke","1:26","bgm_M595","225"
"阿斯特賴亞牛肝菌","0:00","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M598_juke","1:59","bgm_M598","226"
"SAN！SHINE PARTY","0:51","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n　　　優花梨（今井麻美）\n　　　純（川澄綾子）\n作詞 / no_my\n作曲 / no_my\n編曲 / 青柳諒","bgm_M594","1:34","bgm_M594","227"
"出發，前往靈妙的森林深處","0:00","主線冒險\n\n時間 / 01:18\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M599A_juke","1:18","bgm_M599A","228"
"破曉之星的夏日遊戲　於夏海閃耀的三份心意","0:00","故事劇情主題曲\n-「Secret Star」編曲-\n\n時間 / 01:14\n作曲 / PandaBoY\n編曲 / 畑田浩孝（Cygames）","bgm_M601_juke","1:14","bgm_M601","229"
"海將海馬指揮官","0:00","故事劇情Boss戰\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M604_juke","2:31","bgm_M604","230"
"Secret Star","0:43","角色歌曲\n\n時間 / 01:30\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","bgm_M606","1:30","bgm_M606","231"
"飛奔吧常夏！極限沙灘搶旗","0:00","小遊戲\n-｢Secret Star｣編曲-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","bgm_M605_juke","1:42","bgm_M605","232"
"小小夏日回憶錄　在海邊發現的小小幸福","0:00","故事劇情主題曲\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_M608_juke","1:08","bgm_M608","233"
"月光之門","0:00","故事劇情Boss戰\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","bgm_M611_juke","3:10","bgm_M611","234"
"滿心期待SUMMER TIME！","0:48","角色歌曲\n\n時間 / 01:31\n演唱 / 鏡華（小倉唯）\n　　　禊(諸星すみれ)\n　　　美美（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_M607","1:31","bgm_M607","235"
"小繆快快長大日記","0:00","故事劇情迷你內容\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","bgm_M612_juke","2:40","bgm_M612","236"
