fcb5f087687e889fa2424a5caaf4533626663d895432fa094e0b5751b2d246f5,d9df1c707343fec8b7d8fe76a76f1e0bb4c984568cabb0076ddc7f31f0c198f3,e1e8679d04cc2f850936cd8c02675ca80b3946c865fb63f69712533d45a4c60c,a86bb5ffd69a8c066099e42e615a4376fc8a0994e704030d3eb96e114f53efdb,45bb20aabfe74a4b1448b222bc6d283cd745ae3331d0caf7ffc9811c004f7c66,8505509e971e54d08dfb3234d3e18ac86893811a5ec8350104f699780ebf64ea,afd3a08b204cb6d6b93304140c69a9a60430ad3bf6775733a694a711ad76866c,77381cf7ba3fef8439d629cb61c06dee801d65731db6c9a91d7e09e99652e78f,3aa6a8f69cf72c780357e750dbd595f351fa19e5210d06ec5adeac1dca8c90d9,a2a9473ce3b97d9a24e1116d7779a7d7633fb54ac5aea731e6a1dd89657491f1,f939f7b2ec03e7f2c7bcb3c4e4b2f5722b0d6d6535763603376bec6c62bb37f8
"","","","12030034","0","","91","","203","",""
"nyx_203_yukari_03","","","12030035","3","0.5","3","","203","","1"
"nyx_203_yukari_03","","","12030036","103431","0.5","3","","203","","1"
"嘿咻～多喝一點～\n嗯呵呵～麥酒可是\n無所不能的啦～♪","","","12030037","103431","","11","","203","","10"
"","","","12030038","0","","91","","203","",""
"","","","12030039","0.1","","93","","203","",""
"nyx_203_yukari_06","nyx_203_yukari_05","","12030040","3","0.2","3","","203","1","0"
"nyx_203_yukari_06","nyx_203_yukari_05","","12030041","103431","0.2","3","","203","1","0"
"","","","12030042","0.5","","93","","203","",""
"nyx_lookup","nyx_cmn_05","","12030043","103231","0.2","3","0.2","203","1","0"
"","","","12030044","2","","93","","203","",""
"1","","","12030045","103231","","12","","203","","1"
"1","","","12030046","3","","4","","203","",""
"1","","","12030047","103431","","4","","203","",""
"nyx_203_yukari_04","","","12030048","3","0.2","3","","203","","0"
"nyx_203_yukari_04","","","12030049","103431","0.2","3","","203","","0"
"-245","0.67","","12030050","3","","2","","203","0","-10"
"-245","0.67","","12030051","103431","","2","","203","0","-10"
"","","","12030052","0.67","","93","","203","",""
"","","","12030053","0.83","","93","","203","",""
"-265","0.5","","12030054","3","","2","","203","0","-10"
"-265","0.5","","12030055","103431","","2","","203","0","-10"
"","","","12030056","0.5","","93","","203","",""
"-328","0.67","","12030057","3","","2","","203","0","-10"
"-328","0.67","","12030058","103431","","2","","203","0","-10"
"nyx_cmn_04","","","12030059","103231","0.2","3","","203","","1"
"nyx_lookup","nyx_idle_sad","","12030060","104831","0.2","3","0.2","203","1","0"
"","","","12030061","0.67","","93","","203","",""
"-330","0.67","","12030062","3","","2","","203","0","-10"
"-330","0.67","","12030063","103431","","2","","203","0","-10"
"","","","12030064","0.67","","93","","203","",""
"nyx_203_yukari_05","nyx_203_yukari_06","","12030065","3","0.2","3","","203","1","0"
"nyx_203_yukari_05","nyx_203_yukari_06","","12030066","103431","0.2","3","","203","1","0"
"","","","12030067","0.66","","93","","203","",""
"12","","","12030068","104831","","12","","203","","1"
"","","","12030069","2","","93","","203","",""
"9","","","12030070","103431","","12","","203","","1"
"nyx_lookup","nyx_talk_sad","","12030071","104631","0.2","3","0.2","203","1","0"
"0","","","12030072","3","","4","","203","",""
"0","","","12030073","103431","","4","","203","",""
"nyx_203_yukari_04","","","12030074","3","0.2","3","","203","","0"
"nyx_203_yukari_04","","","12030075","103431","0.2","3","","203","","0"
"-285","0.67","","12030076","3","","2","","203","0","-10"
"-285","0.67","","12030077","103431","","2","","203","0","-10"
"","","","12030078","0.67","","93","","203","",""
"","","","12030079","0.83","","93","","203","",""
"-265","0.5","","12030080","3","","2","","203","0","-10"
"-265","0.5","","12030081","103431","","2","","203","0","-10"
"","","","12030082","0.5","","93","","203","",""
"-202","0.67","","12030083","3","","2","","203","0","-10"
"-202","0.67","","12030084","103431","","2","","203","0","-10"
"5","","","12030085","104631","","12","","203","","1"
"","","","12030086","0.67","","93","","203","",""
"-200","0.67","","12030087","3","","2","","203","0","-10"
"-200","0.67","","12030088","103431","","2","","203","0","-10"
"","","","12030089","0.67","","93","","203","",""
"nyx_203_yukari_05","","","12030090","3","0.2","3","","203","","1"
"nyx_203_yukari_05","","","12030091","103431","0.2","3","","203","","1"
"","","","12030092","0.66","","93","","203","",""
"nyx_idle_sad","","","12030093","104631","0.2","3","","203","","1"
"6","","","12030094","103431","","12","","203","","1"
"0","","","12030095","3","","4","","203","",""
"0","","","12030096","103431","","4","","203","",""
"","","","12030097","1","","93","","203","",""
"","","","12030098","12030039","","101","","203","",""
"104831","121.8","nyx_204_mifuyu_01","12040001","1","1.2","1","1","204","28.5","110"
"2","121.8","nyx_204_mifuyu_01","12040002","2","1.2","5","1","204","28.5","120"
"103431","-278","nyx_idle_normal","12040003","1","1.2","1","0","204","-286.1","110"
"104631","283.5","nyx_idle_normal","12040004","1","1.2","1","1","204","-286.1","140"
"103231","-413","nyx_idle_normal","12040005","1","1.2","1","0","204","-286.1","110"
"1","0","","12040006","2","1","31","","204","1","0"
"3","109","nyx_yagura_up_harf","12040007","3","1.2","5","0","204","-278","130"
"2","34","","12040008","14","1","31","","204","1","-111"
"bgm_M347","","","12040009","bgm_M347","","25","","204","",""
"","","","12040010","2","","93","","204","",""
"nyx_204_mifuyu_01","","","12040011","104831","0.2","3","","204","","1"
"nyx_204_mifuyu_01","","","12040012","2","0.2","3","","204","","1"
"終於……\n完成了呢……","","","12040013","104831","0","11","","204","","10"
"","","","12040014","0.2","","93","","204","",""
"nyx_lookup","nyx_204_akino_01_loop","","12040015","104631","0.2","3","0.2","204","1","0"
"","","","12040016","0.5","","93","","204","",""
"nyx_204_mifuyu_02","","","12040017","104831","0.2","3","","204","","1"
"nyx_204_mifuyu_02","","","12040018","2","0.2","3","","204","","1"
"","","","12040019","12040013","","91","","204","",""
"比起設計階段\n很明顯地增加了\n許多功能呢……","","","12040020","104831","0","11","","204","","10"
"","","","12040021","1.5","","93","","204","",""
"nyx_lookup","nyx_lookup_loop","","12040022","103431","0.2","3","0.2","204","1","0"
"","","","12040023","12040020","","91","","204","",""
"","","","12040024","0.2","","93","","204","",""
"nyx_204_akino_01","","","12040025","103231","0.2","3","","204","","0"
"很驚訝對吧！\n這正是我們點子的\n心血結晶！","","","12040026","103231","","11","","204","","10"
"","","","12040027","1","","93","","204","",""
"nyx_204_akino_02","","","12040028","103231","0.2","3","","204","","1"
"","","","12040029","12040026","","91","","204","",""
"","","","12040030","0.5","","93","","204","",""
"是啊，我是很驚訝……\n沒想到妳們竟然會\n恣意妄為成這樣子","","","12040031","104831","0","11","","204","","10"
"","","","12040032","0.2","","93","","204","",""
"nyx_204_mifuyu_03","","","12040033","104831","0.2","3","0.2","204","","1"
"nyx_204_mifuyu_03","","","12040034","2","0.2","3","0.2","204","","1"
"","","","12040035","3","","93","","204","",""
"","","","12040036","12040031","","91","","204","",""
"nyx_talk_sad","","","12040037","104631","","3","","204","","1"
"為、為什麼\n妳在發抖喵？\n美冬…","","","12040038","104631","","11","","204","","10"
"","","","12040039","0","","91","","204","",""
"nyx_204_mifuyu_04","nyx_204_mifuyu_05","","12040040","104831","0.3","3","0.3","204","1","0"
"nyx_204_mifuyu_04","nyx_204_mifuyu_05","","12040041","2","0.3","3","0.3","204","1","0"
"這不是當然的嗎！\n這一堆毫無用處的\n功能是怎麼回事！","","","12040042","104831","0","11","","204","","10"
"","","","12040043","0.6","","93","","204","",""
"cmn_shock_def_N","nyx_idle_surprise2","","12040044","104631","0.3","3","0.2","204","1","0"
"cmn_shock_def_N","nyx_idle_sad","","12040045","103431","0.3","3","0.2","204","1","0"
"cmn_shock_def_N","nyx_idle_surprise1","","12040046","103231","0.3","3","0.2","204","1","0"
"","","","12040047","1.5","","93","","204","",""
"","","","12040048","12040042","","91","","204","",""
"不管怎麼看都是\n滿滿的浪費……\n太沒有效率了……！","","","12040049","104831","0","11","","204","","10"
"","","","12040050","0","","91","","204","",""
"nyx_talk_sad","","","12040051","103431","0.3","3","0.3","204","","1"
"冷、冷靜一點\n美冬……\n這也沒有辦法嘛……","","","12040052","103431","","11","","204","","10"
"","","","12040053","0","","91","","204","",""
"看到這個\n我怎麼可能還\n冷靜得下來啦～！","","","12040054","104831","0","11","","204","","10"
"","","","12040055","2.7","","93","","204","",""
"nyx_cmn_03","","","12040056","103431","0.3","3","0.3","204","","1"
"nyx_204_mifuyu_07","nyx_204_mifuyu_06","","12040057","104831","0.3","3","0.3","204","1","0"
"nyx_204_mifuyu_07","nyx_204_mifuyu_06","","12040058","2","0.3","3","0.3","204","1","0"
"","","","12040059","12040052","","91","","204","",""
"","","","12040060","0.5","","93","","204","",""
"0","","","12040061","103431","","4","","204","","1"
"","","","12040062","0.5","","93","","204","",""
"2","","","12040063","103431","","12","","204","","1"
"","","","12040064","1.5","","93","","204","",""
"17","","","12040065","104631","","12","","204","","1"
"nyx_talk_sad","","","12040066","104631","0.3","3","0.3","204","","1"
"","","","12040067","1.5","","93","","204","",""
"1","","","12040068","103431","","4","","204","","1"
"nyx_idle_sad","","","12040069","104631","0.3","3","0.3","204","","1"
"","","","12040070","0.2","","93","","204","",""
"7","","","12040071","103231","","12","","204","","1"
"nyx_talk_joy1","cmn_pose02_def_N","","12040072","103231","0.3","3","0.2","204","1","0"
"","","","12040073","0.1","","93","","204","",""
"nyx_talk_sad","","","12040074","103431","0.3","3","0.3","204","","1"
"","","","12040075","2","","93","","204","",""
"15","","","12040076","104831","","12","","204","","1"
"","","","12040077","2","","93","","204","",""
"1","","","12040078","12040061","","101","","204","",""
"111031","-135","nyx_301_yuni_01","13010001","1","1.2","1","0","301","-277","110"
"1","0","","13010002","3","1","31","","301","1","0"
"2","-195","","13010003","17","1","31","","301","1","40"
"3","-195","","13010004","18","0","31","","301","1","40"
"4","-195","","13010005","19","0","31","","301","1","40"
"bgm_M347","","","13010006","bgm_M347","","25","","301","",""
"","","","13010007","2","","93","","301","",""
"好朋友X……\n那個真的是\n浪漫的結晶啊……","","","13010008","111031","","11","","301","","10"
"1","","","13010009","0","","91","","301","",""
"由那創新之中所獲得\n的刺激應該以有形的\n方式留存下來才對…","","","13010010","111031","","11","","301","","10"
"1","","","13010011","0","","91","","301","",""
"","","","13010012","0.6","","93","","301","",""
"nyx_103_yuni_02","","","13010013","111031","0.2","3","","301","","1"
"綜上所述\n本來我是打算來蒐集\n好朋友X的殘骸的","","","13010014","111031","","11","","301","","10"
"1","","","13010015","0","","91","","301","",""
"cmn_pose02_def_N","nyx_idle_normal","","13010016","111031","0.2","3","0.2","301","","0"
"但如果只是修理這些\n並單純組裝起來的話\n也不過是仿造品罷了","","","13010017","111031","","11","","301","","10"
"1","","","13010018","0","","91","","301","",""
"nyx_103_yuni_03","nyx_103_yuni_04","","13010019","111031","0.2","3","","301","1","0"
"我要做些個人修改\n像是將機體縮小及\n改良各種功能","","","13010020","111031","","11","","301","","10"
"1","","","13010021","0","","91","","301","",""
"cmn_pose02_def_N","","","13010022","111031","0.2","3","","301","","1"
"嗯，也就是說\n鯛魚燒加上\n麥酒……","","","13010023","111031","","11","","301","","10"
"","","","13010024","0","","91","","301","",""
"","","","13010025","0.5","","93","","301","",""
"nyx_301_yuni_03","","","13010026","111031","0.2","3","","301","","1"
"不對，說到底\n為什麼鯛魚燒和麥酒\n會被裝進去呢","","","13010027","111031","","11","","301","","10"
"1","","","13010028","0","","91","","301","",""
"……真是令人費解啊\n看來似乎有必要先從\n這點開始思考起呢","","","13010029","111031","","11","","301","","10"
"1","","","13010030","0","","91","","301","",""
"nyx_301_yuni_01","","","13010031","111031","0.2","3","","301","","1"
"這是何等的難題啊\n我那對知識的探求心\n蠢蠢欲動了起來","","","13010032","111031","","11","","301","","10"
"","","","13010033","0","","91","","301","",""
"","","","13010034","2","","93","","301","",""
"1","","","13010035","111031","","4","","301","",""
"cmn_walk_def_N","","","13010036","111031","0.2","3","","301","","1"
"-230","1.5","","13010037","111031","","2","","301","","-277"
"","","","13010038","1.5","","93","","301","",""
"nyx_301_yuni_02","nyx_idle_normal","","13010039","111031","0.2","3","0.2","301","1","0"
"","","","13010040","3","","93","","301","",""
"0","","","13010041","111031","","4","","301","",""
"cmn_walk_def_N","","","13010042","111031","0.2","3","","301","","1"
"-95","1.5","","13010043","111031","","2","","301","","-277"
"","","","13010044","1.5","","93","","301","",""
"12","","","13010045","111031","","12","","301","","1"
"nyx_301_yuni_02","nyx_idle_normal","","13010046","111031","0.2","3","0.2","301","1","0"
"","","","13010047","0.4","","93","","301","",""
"1","","","13010048","3","","32","","301","",""
"","","","13010049","2.6","","93","","301","",""
"1","","","13010050","111031","","4","","301","",""
"cmn_walk_def_N","","","13010051","111031","0.2","3","","301","","1"
"-230","1.5","","13010052","111031","","2","","301","","-277"
"","","","13010053","1.5","","93","","301","",""
"13","","","13010054","111031","","12","","301","","1"
"nyx_301_yuni_02","nyx_idle_normal","","13010055","111031","0.2","3","0.2","301","1","0"
"","","","13010056","3","","93","","301","",""
"0","","","13010057","111031","","4","","301","",""
"cmn_walk_def_N","","","13010058","111031","0.2","3","","301","","1"
"-95","1.5","","13010059","111031","","2","","301","","-277"
"","","","13010060","1.5","","93","","301","",""
"nyx_301_yuni_02","nyx_idle_normal","","13010061","111031","0.2","3","0.2","301","1","0"
"","","","13010062","0.4","","93","","301","",""
"1","","","13010063","4","","32","","301","",""
"","","","13010064","2.6","","93","","301","",""
"1","","","13010065","111031","","4","","301","",""
"cmn_walk_def_N","","","13010066","111031","0.2","3","","301","","1"
"-230","1.5","","13010067","111031","","2","","301","","-277"
"","","","13010068","1.5","","93","","301","",""
"nyx_301_yuni_02","nyx_idle_normal","","13010069","111031","0.2","3","0.2","301","1","0"
"","","","13010070","3","","93","","301","",""
"0","","","13010071","111031","","4","","301","",""
"cmn_walk_def_N","","","13010072","111031","0.2","3","","301","","1"
"165","4","","13010073","111031","","2","","301","","-277"
"","","","13010074","4","","93","","301","",""
"12","","","13010075","111031","","12","","301","","1"
"nyx_301_yuni_02","nyx_idle_normal","","13010076","111031","0.2","3","0.2","301","1","0"
"","","","13010077","3","","93","","301","",""
"1","","","13010078","111031","","4","","301","",""
"cmn_walk_def_N","","","13010079","111031","0.2","3","","301","","1"
"-230","4","","13010080","111031","","2","","301","","-277"
"","","","13010081","4","","93","","301","",""
"17","","","13010082","111031","","12","","301","","1"
"cmn_pose02_def_N","nyx_idle_normal","","13010083","111031","0.2","3","0.2","301","1","0"
"","","","13010084","4","","93","","301","",""
"0","","","13010085","111031","","4","","301","",""
"cmn_walk_def_N","","","13010086","111031","0.2","3","","301","","1"
"165","4","","13010087","111031","","2","","301","","-277"
"","","","13010088","4","","93","","301","",""
"nyx_301_yuni_02","nyx_303_yuni_01","","13010089","111031","0.2","3","0.2","301","0","0"
"","","","13010090","2.4","","93","","301","",""
"7","","","13010091","111031","","12","","301","","1"
"","","","13010092","1.6","","93","","301","",""
"1","","","13010093","111031","","4","","301","",""
"cmn_walk_def_N","","","13010094","111031","0.2","3","","301","","1"
"-230","4","","13010095","111031","","2","","301","","-277"
"","","","13010096","4","","93","","301","",""
"2","","","13010097","111031","","12","","301","","1"
"nyx_301_yuni_02","cmn_pose02_def_N","","13010098","111031","0.2","3","0.2","301","1","0"
"","","","13010099","4","","93","","301","",""
"","","","13010100","13010071","","101","","301","",""
"111031","4000","nyx_idle_normal","13020001","1","1.2","1","1","302","-277","110"
"2","-200","NoItem","13020002","2","1.2","5","1","302","-277","120"
"1","0","","13020003","3","1","31","","302","1","0"
"3","-240","","13020004","20","0","31","","302","1","-110"
"4","-195","","13020005","21","1","31","","302","1.2","40"
"bgm_M347","","","13020006","bgm_M347","","25","","302","",""
"","","","13020007","2","","93","","302","",""
"nyx_302_yuni_01","nyx_idle_normal","","13020008","111031","","3","0.2","302","1","0"
"-200","0","","13020009","111031","","2","","302","","-277"
"-200","0","","13020010","2","","2","","302","","-279"
"……噗哈～！","","","13020011","111031","","11","","302","","10"
"","","","13020012","0","","93","","302","",""
"1","","","13020013","3","","32","","302","",""
"","","","13020014","13020011","","91","","302","",""
"不行不行\n差一點就要被埋在\n這堆材料山裡了","","","13020015","111031","","11","","302","","10"
"","","","13020016","0","","91","","302","",""
"nyx_302_yuni_02","NoItem","","13020017","2","0.2","3","","302","1","0"
"nyx_302_yuni_02","nyx_idle_normal","","13020018","111031","0.2","3","0.2","302","1","0"
"只不過因禍得福，\n竟然讓我意外地找到\n一直在找的零件","","","13020019","111031","","11","","302","","10"
"","","","13020020","5","","93","","302","",""
"0","","","13020021","111031","","4","","302","",""
"nyx_cmn_03","","","13020022","111031","0.2","3","","302","","1"
"唔嗯…還真是僥倖\n事已至此，那我就\n再潛航看看吧……","","","13020023","111031","","11","","302","","10"
"","","","13020024","0","","91","","302","",""
"nyx_301_yuni_01","","","13020025","111031","0.2","3","","302","","1"
"這種名為素材潛水的\n全新探索之旅意外的\n是件挺有意義的事呢","","","13020026","111031","","11","","302","","10"
"1","","","13020027","0","","91","","302","",""
"反正萬一溺水的話\n一定會有學弟妹\n注意到我的吧","","","13020028","111031","","11","","302","","10"
"1","","","13020029","0","","91","","302","",""
"nyx_302_yuni_03","nyx_302_yuni_04","","13020030","111031","0.2","3","","302","1","0"
"沒有辦法了\n我要上啦！","","","13020031","111031","","11","","302","","10"
"1","","","13020032","0","","91","","302","",""
"","","","13020033","1.5","","93","","302","",""
"唔。鑽得太深了\n看來……要出不去了！\n快來人！快來人啊！","","","13020034","111031","","11","","302","","10"
"","","","13020035","0","","91","","302","",""
"","","","13020036","6","","93","","302","",""
"2","","","13020037","111031","","12","","302","","1"
"","","","13020038","4","","93","","302","",""
"4","","","13020039","111031","","12","","302","","1"
"","","","13020040","4","","93","","302","",""
"","","","13020041","13020036","","101","","302","",""
"111031","49","nyx_303_yuni_07","13030001","1","1.2","1","1","303","-221.5","110"
"1","0","","13030002","4","1","31","","303","1","0"
"bgm_M347","","","13030003","bgm_M347","","25","","303","",""
"","","","13030004","2","","93","","303","",""
"唔嗯，整個過程雖然\n一波三折……但最後\n總算順利完成了呢","","","13030005","111031","","11","","303","","10"
"","","","13030006","0","","91","","303","",""
"nyx_303_yuni_01_noshadow","","","13030007","111031","0.2","3","","303","","1"
"哼哼哼……最終成果\n真是讓我心滿意足……","","","13030008","111031","","11","","303","","10"
"","","","13030009","0","","91","","303","",""
"外觀的完成度\n自然是無需多言\n值得一提的是功能面","","","13030010","111031","","11","","303","","10"
"","","","13030011","0","","91","","303","",""
"nyx_303_yuni_03","","","13030012","111031","0.2","3","","303","","1"
"來試著進行一下\n動作的測試吧","","","13030013","111031","","11","","303","","10"
"","","","13030014","0","","91","","303","",""
"nyx_303_yuni_02","nyx_303_yuni_04","","13030015","111031","0.2","3","0.2","303","1","0"
"","","","13030016","3","","93","","303","",""
"nyx_303_yuni_07","","","13030017","111031","0.2","3","","303","","1"
"嗯……\n映出表情的功能\n似乎沒有問題呢","","","13030018","111031","","11","","303","","10"
"","","","13030019","0","","91","","303","",""
"nyx_303_yuni_09","nyx_303_yuni_04","","13030020","111031","0.2","3","0.2","303","1","0"
"接下來要測試\n哪一個功能呢……","","","13030021","111031","","11","","303","","10"
"","","","13030022","0","","91","","303","",""
"","","","13030023","0.5","","93","","303","",""
"總而言之先隨便按\n幾個開關……哎呀\n這個按鈕可不行呢","","","13030024","111031","","11","","303","","10"
"","","","13030025","1.5","","93","","303","",""
"nyx_303_yuni_02","","","13030026","111031","0.2","3","","303","","0"
"","","","13030027","1","","93","","303","",""
"nyx_303_yuni_06","nyx_303_yuni_05","","13030028","111031","0.2","3","","303","1","0"
"","","","13030029","2","","93","","303","",""
"……好險好險\n差一點就要\n啟動自爆裝置了","","","13030030","111031","","11","","303","","10"
"","","","13030031","0.1","","93","","303","",""
"nyx_303_yuni_08","","","13030032","111031","0.2","3","","303","","1"
"","","","13030033","13030030","","91","","303","",""
"","","","13030034","2","","93","","303","",""
"nyx_303_yuni_09","nyx_303_yuni_04","","13030035","111031","0.2","3","0.2","303","1","0"
"","","","13030036","2","","93","","303","",""
"nyx_303_yuni_02","nyx_303_yuni_03","","13030037","111031","0.2","3","0.2","303","1","0"
"","","","13030038","1.8","","93","","303","",""
"6","","","13030039","111031","","12","","303","","1"
"","","","13030040","3.2","","93","","303","",""
"nyx_303_yuni_09","nyx_303_yuni_04","","13030041","111031","0.2","3","0.2","303","1","0"
"","","","13030042","2","","93","","303","",""
"nyx_303_yuni_02","nyx_303_yuni_08","","13030043","111031","0.2","3","0.2","303","1","0"
"","","","13030044","1.8","","93","","303","",""
"2","","","13030045","111031","","12","","303","","1"
"","","","13030046","1.2","","93","","303","",""
"","","","13030047","13030034","","101","","303","",""
