c40c692c5aacdf73b4272af8acd12aa7a06bb6a1d09e743f67fad991438617cd,5ec262cc0e43b406ded444c456e236c8401fef8e90c92696178b1b623fda5d85,c54ea4fb690b22e98d3b03ae1a0cdeb58e7bd5d601077274ad9892f1bfe6049f,7862902d57a327261f5fb399a4172ea19a4ef16bcc83ef37bc9faac042e388eb,1c3f329c1591afac0e29bc4e579dc5ae87f59f70439644eee7090b2d881554bc,1af256e600379b46a94f0256b0fddb79f209a5095d9d8640b1f8a31e45be7abe,6dcd4917fd096f4e1fbeb0839fafcb9ab5d3707715c9576772c091d1f75edd21,a35c9478d176cd7f0a7e9ee183adc919704bda84e18632401dc4921e00900692,4d380fe5080c1f369ee3dd9202665fc266dc14c4e64c3ffc37136b1efcf80893,f1c6ce6dc617ae03e4aa4a7bcf03e63def153ba1b3490e19ec1f87d7205ce1b1,ce44615f70e71135730386b86ef09b195037e3b9cbca9ffb0ec4a27859988226
"1","","0","33","pkb_idle_shock","1330015","3","0.2","2","pkb_shock",""
"","","","33","","1330016","91","","1330011","",""
"","","1","33","","1330017","3","0.2","2","pkb_idle_normal",""
"-150","1","100","34","170","1340001","1","1.6","1","106531","pkb_idle_normal"
"-150","0","100","34","-20","1340002","1","1.6","1","113411","pkb_idle_normal"
"1","0.2","0","34","pkb_idle_arm_crossed","1340003","3","0.2","106531","pkb_talk_arm_crossed",""
"","","0","34","0","1340004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_13_301",""
"0","0","8","34","0","1340005","11","0","106531","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","-1"
"","","","34","","1340006","93","","3.4","",""
"","","1","34","","1340007","3","0.2","106531","pkb_talk_normal",""
"","","","34","","1340008","91","","1340005","",""
"","","1","34","","1340009","3","0.2","106531","pkb_idle_normal",""
"","","1","34","","1340010","3","0.2","113411","pkb_talk_normal",""
"","","0","34","0","1340011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_13_202",""
"0","0","8","34","0","1340012","11","0","113411","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","1"
"","","","34","","1340013","93","","1.2","",""
"1","0.2","0","34","pkb_talk_surprise1","1340014","3","0.2","113411","pkb_surprise",""
"","","","34","","1340015","93","","1","",""
"","","1","34","","1340016","3","0.2","113411","pkb_talk_joy3",""
"","","","34","","1340017","91","","1340012","",""
"","","1","34","","1340018","3","0.2","113411","pkb_idle_normal",""
"-150","0","100","35","-20","1350001","1","1.6","1","113511","pkb_idle_normal"
"-150","1","100","35","170","1350002","1","1.6","1","102311","pkb_idle_normal"
"","","1","35","","1350003","3","0.2","113511","pkb_talk_joy3",""
"","","0","35","0","1350004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_14_101",""
"0","0","6","35","0","1350005","11","0","113511","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","0.5"
"","","","35","","1350006","93","","5.2","",""
"","","1","35","","1350007","3","0.2","113511","pkb_talk_wish",""
"","","","35","","1350008","91","","1350005","",""
"","","1","35","","1350009","3","0.2","113511","pkb_idle_normal",""
"","","1","35","","1350010","3","0.2","102311","pkb_talk_joy1",""
"","","0","35","0","1350011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_14_402",""
"0","0","8","35","0","1350012","11","0","102311","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","-1"
"","","","35","","1350013","93","","3.2","",""
"1","","0","35","pkb_idle_doya","1350014","3","0.2","102311","pkb_talk_doya",""
"","","","35","","1350015","91","","1350012","",""
"","","1","35","","1350016","3","0.2","102311","pkb_idle_normal",""
"-130","1","100","36","170","1360001","5","55","3","3","pkb_idle_normal_l"
"-130","0","100","36","-20","1360002","5","55","1","1","pkb_idle_normal"
"1","0.2","0","36","pkb_idle_arm_crossed_l","1360003","3","0.2","3","pkb_talk_arm_crossed_l",""
"","","0","36","0","1360004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_15_601",""
"0","0","8","36","0","1360005","11","0","3","喂，旭！\n讓我看看\n你進步了多少！","-0.5"
"","","","36","","1360006","91","","1360005","",""
"","","1","36","","1360007","3","0.2","3","pkb_idle_normal_l",""
"1","","0","36","pkb_idle_guts","1360008","3","0.2","1","pkb_talk_guts",""
"","","0","36","0","1360009","21","","vo_minigame_1006","vo_minigame_1006_top_talk_15_702",""
"0","0","8","36","0","1360010","11","0","1","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","0"
"","","","36","","1360011","91","","1360010","",""
"","","1","36","","1360012","3","0.2","1","pkb_idle_normal",""
"-130","0","100","37","-20","1370001","5","55","1","1","pkb_idle_normal"
"-130","1","100","37","170","1370002","5","55","3","3","pkb_idle_normal_l"
"1","","0","37","pkb_idle_guts","1370003","3","0.2","1","pkb_talk_guts",""
"","","0","37","0","1370004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_16_701",""
"0","0","8","37","0","1370005","11","0","1","我們絕對要參加\n全國大賽，\n實現我們的夢想！","-0.5"
"","","","37","","1370006","93","","3.2","",""
"1","0.2","0","37","pkb_idle_normal","1370007","3","0.2","1","pkb_talk_handsup",""
"","","","37","","1370008","91","","1370005","",""
"","","1","37","","1370009","3","0.2","1","pkb_idle_normal",""
"1","0.2","0","37","pkb_idle_arm_crossed_l","1370010","3","0.2","3","pkb_talk_arm_crossed_l",""
"","","0","37","0","1370011","21","","vo_minigame_1006","vo_minigame_1006_top_talk_16_602",""
"0","0","8","37","0","1370012","11","0","3","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","1"
"","","","37","","1370013","93","","4.8","",""
"1","","0","37","pkb_idle_guts_l","1370014","3","0.2","3","pkb_talk_guts_l",""
"","","","37","","1370015","91","","1370012","",""
"","","1","37","","1370016","3","0.2","3","pkb_idle_normal_l",""
"-150","1","100","38","170","1380001","1","1.6","1","106531","pkb_idle_normal"
"-130","0","100","38","-20","1380002","5","55","2","2","pkb_idle_normal"
"1","0.2","0","38","pkb_idle_arm_crossed","1380003","3","0.2","106531","pkb_talk_arm_crossed",""
"","","0","38","0","1380004","21","","vo_minigame_1006","vo_minigame_1006_top_talk_17_301",""
"0","0","8","38","0","1380005","11","0","106531","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","-0.5"
"","","","38","","1380006","93","","3.6","",""
"1","","0","38","pkb_idle_doya","1380007","3","0.2","106531","pkb_talk_doya",""
"","","","38","","1380008","93","","2","",""
"1","0.2","0","38","pkb_idle_normal","1380009","3","0.2","106531","pkb_talk_handsup",""
"","","","38","","1380010","91","","1380005","",""
"","","","38","","1380011","93","","1","",""
"","","1","38","","1380012","3","0.2","106531","pkb_idle_normal",""
"1","","0","38","pkb_idle_shock","1380013","3","0.2","2","pkb_shock",""
"","","0","38","0","1380014","21","","vo_minigame_1006","vo_minigame_1006_top_talk_17_802",""
"0","0","7","38","0","1380015","11","0","2","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","1"
"","","","38","","1380016","91","","1380015","",""
"","","1","38","","1380017","3","0.2","2","pkb_idle_normal",""
