ad961dadb938c7151c4b3a7b959c7acce6ea424040d2999749ee5c227aeb7fba,44db306c42eeca41a12197e6fc51fa7b050fb68e65f269b7b4fa0e8ab95d0ab8,a831f100ae4848ce259c15203909a1d230a11a7f1ef0ce412073ef30994b0c6f,b33f0c7b44221fafc3a070601fdd307e958f3e4ab383194e236007e80943effe,b4ce14692ca0bd87a48c7e43d458264ca9adb2014264d063f19aab044fbec9ac
"提升物理防禦力（不可降低）","74005502","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","254"
"提升魔法防禦力（不可降低）","74005502","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","255"
"降低HP吸收","74005502","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","256"
"減少降低TP","74005502","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","257"
"追加怪物","74005503","add_shadow","追加宮子、碧。","258"
"傷害值衰減","74005503","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","259"
"賦予TP上升的上限","74005503","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","260"
"提升物理防禦力（不可降低）","74005503","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","261"
"提升魔法防禦力（不可降低）","74005503","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","262"
"降低HP吸收","74005503","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","263"
"減少降低TP","74005503","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","264"
"追加怪物","74005504","add_shadow","追加露娜聚光燈。","265"
"傷害值衰減","74005504","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","266"
"賦予TP上升的上限","74005504","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","267"
"提升物理防禦力（不可降低）","74005504","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","268"
"提升魔法防禦力（不可降低）","74005504","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","269"
"降低HP吸收","74005504","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","270"
"減少降低TP","74005504","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","271"
"戰鬥時間限制","74005505","limit_time","戰鬥時間變成60秒。","272"
"傷害值衰減","74005505","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","273"
"賦予TP上升的上限","74005505","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","274"
"提升物理防禦力（不可降低）","74005505","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","275"
"提升魔法防禦力（不可降低）","74005505","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","276"
"降低HP吸收","74005505","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","277"
"減少降低TP","74005505","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","278"
"強化闇影","74006102","star6_shadow","對初音（夏日）、咲戀（夏日）、鈴奈鏡華的闇影追加專用裝備。","279"
"強化闇影","74006103","star6_shadow","鈴奈、鏡華的闇影變成★6。","280"
"編組角色人數限制","74006103","limit_chara_num","可以編組的角色變成4個。","281"
"編組角色人數限制","74006104","limit_chara_num","可以編組的角色變成4個。","282"
"物理無效護盾","74006104","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","283"
"魔法無效護盾","74006104","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","284"
"編組角色人數限制","74006105","limit_chara_num","可以編組的角色變成4個。","285"
"物理無效護盾","74006105","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","286"
"魔法無效護盾","74006105","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","287"
"強化闇影","74006202","star6_shadow","對怜（新年）、靜流（黑暗）、靜流、涅婭的闇影追加專用裝備。","288"
"強化闇影","74006203","star6_shadow","怜（新年）、靜流的闇影變成★6。","289"
"編組角色人數限制","74006203","limit_chara_num","可以編組的角色變成4個。","290"
"編組角色人數限制","74006204","limit_chara_num","可以編組的角色變成4個。","291"
"TP恢復","74006204","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","292"
"編組角色人數限制","74006205","limit_chara_num","可以編組的角色變成4個。","293"
"TP恢復","74006205","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP並賦予持續恢復TP的狀態。","294"
"提升物理防禦力（不可降低）","74006301","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","295"
"提升魔法防禦力（不可降低）","74006301","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","296"
"減少降低TP","74006301","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","297"
"魔法傷害降低","74006302","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少30％的狀態。","298"
"提升物理防禦力（不可降低）","74006302","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","299"
"提升魔法防禦力（不可降低）","74006302","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","300"
"減少降低TP","74006302","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","301"
"魔法傷害降低","74006303","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少60％的狀態。","302"
"提升物理防禦力（不可降低）","74006303","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","303"
"提升魔法防禦力（不可降低）","74006303","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","304"
"減少降低TP","74006303","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","305"
"Boss行動模式變化","74006304","boss_ub_enhance","Boss怪物的行動模式發生變化。","306"
"魔法傷害降低","74006304","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","307"
"提升物理防禦力（不可降低）","74006304","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","308"
"提升魔法防禦力（不可降低）","74006304","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","309"
"減少降低TP","74006304","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","310"
"Boss行動模式變化","74006305","boss_ub_enhance","Boss怪物的行動模式發生變化。","311"
"魔法傷害降低","74006305","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","312"
"提升物理防禦力（不可降低）","74006305","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","313"
"提升魔法防禦力（不可降低）","74006305","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","314"
"減少降低TP","74006305","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","315"
"提升物理防禦力（不可降低）","74006401","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","316"
"提升魔法防禦力（不可降低）","74006401","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","317"
"物理傷害降低","74006402","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少30％的狀態。","318"
"提升物理防禦力（不可降低）","74006402","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","319"
"提升魔法防禦力（不可降低）","74006402","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","320"
"物理傷害降低","74006403","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少60％的狀態。","321"
"提升物理防禦力（不可降低）","74006403","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","322"
"提升魔法防禦力（不可降低）","74006403","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","323"
"追加怪物","74006404","add_shadow","追加叢林護衛、真琴的闇影、惠理子的闇影、樹精。","324"
"Boss行動模式變化","74006404","boss_ub_enhance","Boss怪物的行動模式發生變化。","325"
"物理傷害降低","74006404","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","326"
"提升物理防禦力（不可降低）","74006404","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","327"
"提升魔法防禦力（不可降低）","74006404","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","328"
"Boss行動模式變化","74006405","boss_ub_enhance","Boss怪物的行動模式發生變化。","329"
"物理傷害降低","74006405","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","330"
"提升物理防禦力（不可降低）","74006405","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","331"
"提升魔法防禦力（不可降低）","74006405","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","332"
"減少降低TP","74006405","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","333"
"傷害值衰減","74006501","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","334"
"賦予TP上升的上限","74006501","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","335"
"提升物理防禦力（不可降低）","74006501","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","336"
"提升魔法防禦力（不可降低）","74006501","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","337"
"降低HP吸收","74006501","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","338"
"減少降低TP","74006501","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","339"
"全屬性獎勵特大幅度提升","74006502","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","340"
"傷害值衰減","74006502","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","341"
"賦予TP上升的上限","74006502","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","342"
"提升物理防禦力（不可降低）","74006502","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","343"
"提升魔法防禦力（不可降低）","74006502","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","344"
"降低HP吸收","74006502","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","345"
"減少降低TP","74006502","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","346"
"全屬性獎勵特大幅度提升","74006503","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","347"
"傷害值衰減","74006503","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","348"
"賦予TP上升的上限","74006503","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","349"
"提升物理防禦力（不可降低）","74006503","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","350"
"提升魔法防禦力（不可降低）","74006503","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","351"
"降低HP吸收","74006503","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","352"
"減少降低TP","74006503","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","353"
"全屬性獎勵特大幅度提升","74006504","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","354"
"傷害值衰減","74006504","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","355"
"賦予TP上升的上限","74006504","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","356"
"提升物理防禦力（不可降低）","74006504","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","357"
"提升魔法防禦力（不可降低）","74006504","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","358"
"降低HP吸收","74006504","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","359"
"減少降低TP","74006504","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","360"
"戰鬥時間限制","74006505","limit_time","戰鬥時間變成60秒。","361"
"全屬性獎勵特大幅度提升","74006505","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","362"
"傷害值衰減","74006505","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","363"
"賦予TP上升的上限","74006505","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","364"
"提升物理防禦力（不可降低）","74006505","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","365"
"提升魔法防禦力（不可降低）","74006505","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","366"
"降低HP吸收","74006505","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","367"
"減少降低TP","74006505","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","368"
"強化闇影","74007102","star6_shadow","對鈴（遊俠）、咲戀（夏日）、璃乃的闇影追加專用裝備１。","369"
"強化闇影","74007103","star6_shadow","璃乃的闇影變成★6。","370"
"編組角色人數限制","74007103","limit_chara_num","可以編組的角色變成4個。","371"
"強化闇影","74007104","star6_shadow","對咲戀（夏日）、璃乃的闇影追加專用裝備２。","372"
"編組角色人數限制","74007104","limit_chara_num","可以編組的角色變成4個。","373"
"物理無效護盾","74007104","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","374"
"魔法無效護盾","74007104","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","375"
"編組角色人數限制","74007105","limit_chara_num","可以編組的角色變成4個。","376"
"物理無效護盾","74007105","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","377"
"魔法無效護盾","74007105","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","378"
"強化闇影","74007202","star6_shadow","對茉莉、初音（夏日）、伊緒（夏日）、愛梅斯（夏日）的闇影追加專用裝備１。","379"
"強化闇影","74007203","star6_shadow","茉莉的闇影變成★6。","380"
"編組角色人數限制","74007203","limit_chara_num","可以編組的角色變成4個。","381"
"強化闇影","74007204","star6_shadow","對初音（夏日）、伊緒（夏日）的闇影追加專用裝備２。","382"
"編組角色人數限制","74007204","limit_chara_num","可以編組的角色變成4個。","383"
"TP恢復","74007204","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","384"
"戰鬥時間限制","74007205","limit_time","戰鬥時間變成60秒。","385"
"編組角色人數限制","74007205","limit_chara_num","可以編組的角色變成4個。","386"
"TP恢復","74007205","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","387"
"傷害值衰減","74007301","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","388"
"防禦力（不可降低）提升","74007301","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","389"
"傷害值衰減","74007302","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","390"
"防禦力（不可降低）提升","74007302","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","391"
"全傷害降低","74007302","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","392"
"造成傷害提升","74007302","damage_up","提升所有怪物所造成的傷害。","393"
"防禦力提升","74007302","boss_def_up","提升所有怪物的物理/魔法防禦力。","394"
"傷害值衰減","74007303","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","395"
"防禦力（不可降低）提升","74007303","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","396"
"全傷害降低","74007303","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","397"
"造成傷害提升","74007303","damage_up","提升所有怪物所造成的傷害。","398"
"防禦力提升","74007303","boss_def_up","提升所有怪物的物理/魔法防禦力。","399"
"降低暴擊","74007303","critical_down","降低所有角色的物理/魔法暴擊率。","400"
"傷害值衰減","74007304","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","401"
"防禦力（不可降低）提升","74007304","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","402"
"全傷害降低","74007304","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","403"
"造成傷害提升","74007304","damage_up","提升所有怪物所造成的傷害。","404"
"防禦力提升","74007304","boss_def_up","提升所有怪物的物理/魔法防禦力。","405"
"降低暴擊","74007304","critical_down","降低所有角色的物理/魔法暴擊率。","406"
"降低HP吸收","74007304","9","降低所有角色的ＨＰ吸收。","407"
"傷害值衰減","74007305","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","408"
"防禦力（不可降低）提升","74007305","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","409"
"全傷害降低","74007305","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","410"
"造成傷害提升","74007305","damage_up","提升所有怪物所造成的傷害。","411"
"防禦力提升","74007305","boss_def_up","提升所有怪物的物理/魔法防禦力。","412"
"降低暴擊","74007305","critical_down","降低所有角色的物理/魔法暴擊率。","413"
"降低HP吸收","74007305","9","降低所有角色的ＨＰ吸收。","414"
"減少降低TP","74007305","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","415"
"降低ＨＰ恢復量","74007305","hp_recovery_down","降低所有角色的ＨＰ恢復量。","416"
"防禦力（不可降低）提升","74007401","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","417"
"防禦力（不可降低）提升","74007402","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","418"
"防禦力（不可降低）提升","74007403","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","419"
"降低HP吸收","74007403","9","降低所有角色的ＨＰ吸收。","420"
"Boss行動模式變化","74007404","boss_ub_enhance","Boss怪物的行動模式發生變化。","421"
"防禦力（不可降低）提升","74007404","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","422"
"降低HP吸收","74007404","9","降低所有角色的ＨＰ吸收。","423"
"Boss行動模式變化","74007405","boss_ub_enhance","Boss怪物的行動模式發生變化。","424"
"防禦力（不可降低）提升","74007405","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","425"
"降低HP吸收","74007405","9","降低所有角色的ＨＰ吸收。","426"
"傷害值衰減","74007501","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","427"
"防禦力（不可降低）提升","74007501","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","428"
"傷害值衰減","74007502","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","429"
"防禦力（不可降低）提升","74007502","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","430"
"減少降低TP","74007502","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","431"
"傷害值衰減","74007503","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","432"
"防禦力（不可降低）提升","74007503","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","433"
"減少降低TP","74007503","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","434"
"降低HP吸收","74007503","9","降低所有角色的ＨＰ吸收。","435"
"追加怪物","74007504","add_shadow","追加露娜聚光燈。","436"
"傷害值衰減","74007504","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","437"
"防禦力（不可降低）提升","74007504","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","438"
"減少降低TP","74007504","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","439"
"降低HP吸收","74007504","9","降低所有角色的ＨＰ吸收。","440"
"追加怪物","74007505","add_shadow","追加紡希的闇影。","441"
"傷害值衰減","74007505","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","442"
"防禦力（不可降低）提升","74007505","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","443"
"減少降低TP","74007505","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","444"
"降低HP吸收","74007505","9","降低所有角色的ＨＰ吸收。","445"
"減少ＴＰ上升","74007505","3","降低所有角色的ＴＰ上升。","446"
"強化闇影","74008102","star6_shadow","對莉瑪、嘉夜、祈梨、咲戀（夏日）的闇影追加專用裝備。","447"
"強化闇影","74008103","star6_shadow","莉瑪、嘉夜、祈梨的闇影變成★6。","448"
"物理傷害降低","74008103","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","449"
"編組角色人數限制","74008104","limit_chara_num","可以編組的角色變成4個。","450"
"物理傷害降低","74008104","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少50％的狀態。","451"
"編組角色人數限制","74008105","limit_chara_num","可以編組的角色變成4個。","452"
"物理傷害降低","74008105","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少100％的狀態。","453"
"強化闇影","74008202","star6_shadow","對宮子、怜（新年）、優花梨、初音、美咲（萬聖節）的闇影追加專用裝備。","454"
"強化闇影","74008203","star6_shadow","宮子、怜（新年）、優花梨、初音的闇影變成★6。","455"
"魔法傷害降低","74008203","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","456"
"編組角色人數限制","74008204","limit_chara_num","可以編組的角色變成4個。","457"
"魔法傷害降低","74008204","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少50％的狀態。","458"
"編組角色人數限制","74008205","limit_chara_num","可以編組的角色變成4個。","459"
"魔法傷害降低","74008205","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少100％的狀態。","460"
"追加1隻怪物","74008302","add_shadow","追加詛咒‧遠古遺物。","461"
"強化闇影","74008303","star6_shadow","碧的闇影變成★6。","462"
"開始時魔法傷害降低","74008304","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少50%的狀態。","463"
"強化怪物","74008304","boss_ub_enhance","強化詛咒‧遠古遺物的技能。","464"
"開始時魔法傷害降低","74008305","boss_magic_cut","戰鬥開始時，詛咒‧遠古遺物將使我方全體的魔法傷害變為減少75%的狀態。","465"
"編組角色人數限制","74008305","limit_chara_num","可以編組的角色變成4個。","466"
"追加1隻怪物","74008402","add_shadow","追加治癒‧遠古遺物。","467"
"強化闇影","74008403","star6_shadow","對凱留（新年）的闇影追加專用裝備。","468"
"開始時物理傷害降低","74008404","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少50%的狀態。","469"
"強化怪物","74008404","boss_ub_enhance","強化治癒‧遠古遺物的技能。","470"
"開始時物理傷害降低","74008405","boss_physics_cut","戰鬥開始時，治癒‧遠古遺物將使我方全體的物理傷害變為減少75%的狀態。","471"
"編組角色人數限制","74008405","limit_chara_num","可以編組的角色變成4個。","472"
"傷害值衰減","74008501","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","473"
"賦予TP上升的上限","74008501","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","474"
"提升物理防禦力（不可降低）","74008501","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","475"
"提升魔法防禦力（不可降低）","74008501","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","476"
"降低HP吸收","74008501","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","477"
"追加怪物","74008502","add_shadow","追加岩龜暴君、鬼燈螢。","478"
"傷害值衰減","74008502","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","479"
"賦予TP上升的上限","74008502","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","480"
"提升物理防禦力（不可降低）","74008502","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","481"
"提升魔法防禦力（不可降低）","74008502","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","482"
"降低HP吸收","74008502","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","483"
"追加怪物","74008503","add_shadow","追加靜流（黑暗）、可可蘿（夏日）。","484"
"傷害值衰減","74008503","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","485"
"賦予TP上升的上限","74008503","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","486"
"提升物理防禦力（不可降低）","74008503","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","487"
"提升魔法防禦力（不可降低）","74008503","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","488"
"降低HP吸收","74008503","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","489"
"追加怪物","74008504","add_shadow","追加露娜聚光燈。","490"
"傷害值衰減","74008504","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","491"
