8a18da80a11f2e6278494c8003027dd1f46fc583d52738eb1e9fa44cfbf1cfef,2e0399a4faa0dcc36b3e64a871d1f58a14d2e1e648df0d001431ae8c6ff004af,194a0271bdda9db55b14d51899a55cf9e86121692f9b490d8cfd988c4fb46ccd,f41efb0dd2256bd943ffd24e0fb84adb3477df1fc66e9a68d5f5db7958671781,56dee8d424915f47277a7401995d7c724b591ec2289569e9f3e050eeb01a7e39,181482422fb2846493b7fb4a2dec071a2af16a1dd2f9216284cb39fea75da7fc,89798a8c2e538818f264ae96e460d567ab79e5691b110fbfa929b1c31e3a3aac,398dbdf48a42ed0687e5d8fe39c1f7398b529fd9f79beb1b6b7934f4d658a92f,27fcc62e884c28208725e76d2afa05999b6d7f27e0ed7f49b8ad22b7428c8062,40667edd3666db47548bfef98afb11120bdf59f945bf0dde78d4e1e21405ddd3,19e7957318011af211ebc2a1b80a5d61b2be1fd5de332bb7cd3909910e8ba9df
"","","","5712002","0.2","5712","1","wac_no_items","3","111",""
"0","","","5712003","","5712","-340","200","2","100811",""
"0","","","5712004","","5712","-340","200","2","111",""
"","","","5712005","","5712","","0","32","1",""
"","","","5712006","","5712","","1","32","2",""
"","","","5712007","","5712","","0","32","11",""
"0","","","5712008","","5712","0","vo_wac_220412_000","21","vo_wac_220412",""
"1","0.5","1","5712009","0","5712","10","啊～不管看多少次都是這麼美……\n繪畫中的我與我畫的畫，\n互相襯托下顯得更美了呢。","11","100811","0"
"","","","5712010","","5712","","","91","0",""
"0","","","5712011","","5712","0","vo_wac_220412_001","21","vo_wac_220412",""
"1","0.5","1","5712012","0","5712","10","這麼美的畫再多畫幾幅的話，\n看到的人會不會暈過去啊？\n呵呵，待會必須要放個\n注意事項的看板才行♪","11","100811","0"
"","","","5712013","","5712","","","91","0",""
"","","","5712014","","5712","","0","22","0",""
"","","","5713001","0.2","5713","1","wac_idle_wish","3","100811",""
"","","","5713002","0.2","5713","1","wac_no_items","3","111",""
"0","","","5713003","","5713","-340","200","2","100811",""
"0","","","5713004","","5713","-340","200","2","111",""
"","","","5713005","","5713","","0","32","1",""
"","","","5713006","","5713","","1","32","2",""
"","","","5713007","","5713","","0","32","11",""
"","","","5713008","","5713","","","91","0",""
"-108","wac_default_11","-212.75","5811001","2","5811","202","104511","1","1","0"
"-108","wac_default_11","-212.75","5811002","2","5811","201","111","5","1","0"
"0","","1","5811003","1","5811","0","1","31","1",""
"0","","1","5811004","0","5811","0","2","31","2",""
"0","","1","5811005","0","5811","0","11","31","11",""
"","","0","5811006","0.2","5811","0","wac_paint_11","3","104511",""
"","","0","5811007","0.2","5811","0","wac_paint_11","3","111",""
"","","","5811008","","5811","","0","93","0.3",""
"","","","5811009","","5811","","1","32","11",""
"","","","5811010","","5811","0","se_10035700_roller","23","se_10035700",""
"","","","5811011","","5811","","300","13","104511",""
"","","","5811012","","5811","","","131","1",""
"wac_talk_smile_loop","","1","5812001","0.2","5812","0","wac_talk_smile_in","3","104511",""
"","","","5812002","0.2","5812","1","wac_no_items","3","111",""
"0","","","5812003","","5812","-340","200","2","104511",""
"0","","","5812004","","5812","-340","200","2","111",""
"","","","5812005","","5812","","0","32","1",""
"","","","5812006","","5812","","1","32","2",""
"","","","5812007","","5812","","0","32","11",""
"0","","","5812008","","5812","0","vo_wac_220413_000","21","vo_wac_220413",""
"1","0.5","1","5812009","0","5812","10","啊啊，被看到了～！\n空花畫的畫被大家給……！\n嘻嘻、嘻嘻嘻嘻……！","11","104511","0"
"","","","5812010","","5812","","","91","0",""
"0","","","5812011","","5812","0","vo_wac_220413_001","21","vo_wac_220413",""
"1","0.5","1","5812012","0","5812","10","為了將空花不得體的畫\n暴露在蘭德索爾的小街小巷，\n今後也會更加……\n咦？不是這樣的嗎……？","11","104511","0"
"","","","5812013","","5812","","","91","0",""
"","","","5812014","","5812","","0","22","0",""
"","","","5813001","0.2","5813","1","wac_idle_smile","3","104511",""
"","","","5813002","0.2","5813","1","wac_no_items","3","111",""
"0","","","5813003","","5813","-340","200","2","104511",""
"0","","","5813004","","5813","-340","200","2","111",""
"","","","5813005","","5813","","0","32","1",""
"","","","5813006","","5813","","1","32","2",""
"","","","5813007","","5813","","0","32","11",""
"","","","5813008","","5813","","","91","0",""
"-108","wac_default_11","-212.75","5911001","2","5911","202","103011","1","1","0"
"-108","wac_default_11","-212.75","5911002","2","5911","201","111","5","1","0"
"0","","1","5911003","1","5911","0","1","31","1",""
"0","","1","5911004","0","5911","0","2","31","2",""
"0","","1","5911005","0","5911","0","11","31","11",""
"","","0","5911006","0.2","5911","0","wac_paint_11","3","103011",""
"","","0","5911007","0.2","5911","0","wac_paint_11","3","111",""
"","","","5911008","","5911","","0","93","0.3",""
"","","","5911009","","5911","","1","32","11",""
"","","","5911010","","5911","0","se_10035700_roller","23","se_10035700",""
"","","","5911011","","5911","","300","13","103011",""
"","","","5911012","","5911","","","131","1",""
"wac_talk_smile_loop","","1","5912001","0.2","5912","0","wac_talk_smile_in","3","103011",""
"","","","5912002","0.2","5912","1","wac_no_items","3","111",""
"0","","","5912003","","5912","-340","200","2","103011",""
"0","","","5912004","","5912","-340","200","2","111",""
"","","","5912005","","5912","","0","32","1",""
"","","","5912006","","5912","","1","32","2",""
"","","","5912007","","5912","","0","32","11",""
"0","","","5912008","","5912","0","vo_wac_220414_000","21","vo_wac_220414",""
"1","0.5","1","5912009","0","5912","10","這份簡樸嫺靜與雅趣……\n真乃我得意之作是也！","11","103011","0"
"","","","5912010","","5912","","","91","0",""
"0","","","5912011","","5912","0","vo_wac_220414_001","21","vo_wac_220414",""
"1","0.5","1","5912012","0","5912","10","藝術之道，\n唯有日日精進一途是也！\n和將軍一起以畫統一天下吧♪","11","103011","0"
"","","","5912013","","5912","","","91","0",""
"","","","5912014","","5912","","0","22","0",""
"","","","5913001","0.2","5913","1","wac_idle_smile","3","103011",""
"","","","5913002","0.2","5913","1","wac_no_items","3","111",""
"0","","","5913003","","5913","-340","200","2","103011",""
"0","","","5913004","","5913","-340","200","2","111",""
"","","","5913005","","5913","","0","32","1",""
"","","","5913006","","5913","","1","32","2",""
"","","","5913007","","5913","","0","32","11",""
"","","","5913008","","5913","","","91","0",""
"-108","wac_default_21","-100","6011001","2","6011","202","106511","1","1","0"
"-108","wac_default_23","-100","6011002","2","6011","201","111","5","1","0"
"0","","1","6011003","1","6011","0","19","31","19",""
"0","","1","6011004","0","6011","0","2","31","2",""
"0","","1","6011005","0","6011","0","20","31","20",""
"","","0","6011006","0.2","6011","0","wac_paint_21","3","106511",""
"","","0","6011007","0.2","6011","0","wac_paint_23","3","111",""
"","","","6011008","","6011","","0","93","0",""
"","","","6011009","","6011","","1","32","20",""
"","","","6011010","","6011","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","6011011","","6011","","300","13","106511",""
"","","","6011012","","6011","","","131","1",""
"wac_talk_smile_loop","","1","6012001","0.2","6012","0","wac_talk_smile_in","3","106511",""
"","","","6012002","0.2","6012","1","wac_no_items","3","111",""
"0","","","6012003","","6012","-340","200","2","106511",""
"0","","","6012004","","6012","-340","200","2","111",""
"","","","6012005","","6012","","0","32","19",""
"","","","6012006","","6012","","1","32","2",""
"","","","6012007","","6012","","0","32","20",""
"0","","","6012008","","6012","0","vo_wac_220415_000","21","vo_wac_220415",""
"1","0.5","1","6012009","0","6012","10","好了，完成了！\n嘿嘿，感覺很不錯吧。\n一不小心就畫得太起勁了。","11","106511","0"
"","","","6012010","","6012","","","91","0",""
"0","","","6012011","","6012","0","vo_wac_220415_001","21","vo_wac_220415",""
"1","0.5","1","6012012","0","6012","10","誰都想不到打手\n也會畫畫吧……\n不過也許這樣的生活，\n意外地還滿符合我的個性呢。","11","106511","0"
"","","","6012013","","6012","","","91","0",""
"","","","6012014","","6012","","0","22","0",""
"","","","6013001","0.2","6013","1","wac_idle_smile","3","106511",""
"","","","6013002","0.2","6013","1","wac_no_items","3","111",""
"0","","","6013003","","6013","-340","200","2","106511",""
"0","","","6013004","","6013","-340","200","2","111",""
"","","","6013005","","6013","","0","32","19",""
"","","","6013006","","6013","","1","32","2",""
"","","","6013007","","6013","","0","32","20",""
"","","","6013008","","6013","","","91","0",""
"-108","wac_default_21","-100","6111001","2","6111","202","106611","1","1","0"
"-108","wac_default_23","-100","6111002","2","6111","201","111","5","1","0"
"0","","1","6111003","1","6111","0","19","31","19",""
"0","","1","6111004","0","6111","0","2","31","2",""
"0","","1","6111005","0","6111","0","20","31","20",""
"","","0","6111006","0.2","6111","0","wac_paint_21","3","106611",""
"","","0","6111007","0.2","6111","0","wac_paint_23","3","111",""
"","","","6111008","","6111","","0","93","0",""
"","","","6111009","","6111","","1","32","20",""
"","","","6111010","","6111","0","se_sys_login_birthday_calendar_brush","23","se_common",""
"","","","6111011","","6111","","300","13","106611",""
"","","","6111012","","6111","","","131","1",""
"wac_talk_wish_loop","","1","6112001","0.2","6112","0","wac_talk_wish_in","3","106611",""
"","","","6112002","0.2","6112","1","wac_no_items","3","111",""
"0","","","6112003","","6112","-340","200","2","106611",""
"0","","","6112004","","6112","-340","200","2","111",""
"","","","6112005","","6112","","0","32","19",""
"","","","6112006","","6112","","1","32","2",""
"","","","6112007","","6112","","0","32","20",""
"0","","","6112008","","6112","0","vo_wac_220416_000","21","vo_wac_220416",""
"1","0.5","1","6112009","0","6112","10","家族的大家都誇獎了我的畫！\n雖然只是小嘍囉，\n但卻挺有眼光的♪","11","106611","0"
"","","","6112010","","6112","","","91","0",""
"0","","","6112011","","6112","0","vo_wac_220416_001","21","vo_wac_220416",""
"1","0.5","1","6112012","0","6112","10","啊！？像這樣累積聲望的話，\n以下剋上的日子也就近在──\n老、老大沒在附近吧？","11","106611","0"
"","","","6112013","","6112","","","91","0",""
"","","","6112014","","6112","","0","22","0",""
"","","","6113001","0.2","6113","1","wac_idle_wish","3","106611",""
"","","","6113002","0.2","6113","1","wac_no_items","3","111",""
"0","","","6113003","","6113","-340","200","2","106611",""
"0","","","6113004","","6113","-340","200","2","111",""
"","","","6113005","","6113","","0","32","19",""
"","","","6113006","","6113","","1","32","2",""
"","","","6113007","","6113","","0","32","20",""
"","","","6113008","","6113","","","91","0",""
"-167","wac_default_31","-205","6211001","2","6211","202","106611","1","1","0"
"-64","wac_default_bot_41","-350","6211002","2","6211","254","106511","1","1","0"
"230","wac_default_51","-325","6211003","2","6211","252","106711","1","1","0"
"-167","wac_default_36","-205","6211004","2","6211","201","111","5","1","0"
"-64","wac_default_41","-350","6211005","2","6211","253","112","5","1","0"
"230","wac_default_bot_56","-325","6211006","2","6211","251","113","5","1","0"
"","","","6211007","","6211","","300","13","106711",""
"","","","6211008","","6211","","300","13","106611",""
"","","","6211009","","6211","","300","13","106511",""
"0","","1","6211010","1","6211","0","5","31","5",""
"0","","1","6211011","0","6211","0","10","31","10",""
"0","","1","6211012","0","6211","0","15","31","15",""
"","","0","6211013","0.2","6211","0","wac_paint_31","3","106611",""
"","","0","6211014","0.2","6211","0","wac_paint_36","3","111",""
"","","0","6211015","0.2","6211","0","wac_paint_bot_41","3","106511",""
"","","0","6211016","0.2","6211","0","wac_paint_41","3","112",""
"","","0","6211017","0.2","6211","0","wac_paint_bot_51","3","106711",""
"","","0","6211018","0.2","6211","0","wac_paint_bot_56","3","113",""
"","","","6211019","","6211","","0","93","0",""
"","","","6211020","","6211","","1","32","15",""
"","","","6211021","","6211","0","se_sys_login_birthday_calendar_smallbrush","23","se_common",""
"","","","6211022","","6211","","","131","1",""
"","","","6212001","0","6212","1","wac_idle_smile","3","106711",""
"","","","6212002","0","6212","1","wac_idle_sad_L","3","106611",""
"","","","6212003","0","6212","1","wac_idle_smile","3","106511",""
"","","","6212004","0","6212","1","wac_no_items","3","111",""
"","","","6212005","0","6212","1","wac_no_items","3","112",""
"","","","6212006","0","6212","1","wac_no_items","3","113",""
"0","","","6212007","","6212","-335","190","2","106711",""
"0","","","6212008","","6212","-360","-190","2","106611",""
"0","","","6212009","","6212","-360","422","2","106511",""
"0","","","6212010","","6212","-335","190","2","111",""
"0","","","6212011","","6212","-360","-190","2","112",""
"0","","","6212012","","6212","-360","422","2","113",""
"","","","6212013","","6212","","0","32","5",""
"","","","6212014","","6212","","1","32","10",""
"","","","6212015","","6212","","0","32","15",""
"wac_talk_smile_loop","","1","6212016","0.2","6212","0","wac_talk_smile_in","3","106711",""
"0","","","6212017","","6212","0","vo_wac_220417_000","21","vo_wac_220417",""
"1","0.5","1","6212018","0","6212","10","完成了呢♪\n嗯嗯，畫得相當好不是嗎？\n我沒想到大家居然\n這麼有繪畫天分呢～","11","106711","0"
"","","","6212019","","6212","","","91","0",""
"","","1","6212020","0.2","6212","1","wac_idle_smile","3","106711",""
"wac_talk_sad_loop_L","","1","6212021","0.2","6212","0","wac_talk_sad_in_L","3","106611",""
"0","","","6212022","","6212","0","vo_wac_220417_001","21","vo_wac_220417",""
"1","0.5","1","6212023","0","6212","10","被、被老大很自然地誇獎了，\n這還真叫人感到害怕！\n為了避免之後被抓住弱點，\n是不是應該要先處理掉……？","11","106611","0"
"","","","6212024","","6212","","","91","0",""
"","","1","6212025","0.2","6212","1","wac_idle_sad_L","3","106611",""
"wac_talk_smile_loop","","1","6212026","0.2","6212","0","wac_talk_smile_in","3","106511",""
"0","","","6212027","","6212","0","vo_wac_220417_002","21","vo_wac_220417",""
"1","0.5","1","6212028","0","6212","10","妳就坦率地接受吧，祈梨。\n我可是很喜歡這幅畫的哦。\n嘿嘿，下次也照這個\n樣子繼續畫吧！","11","106511","0"
"","","","6212029","","6212","","","91","0",""
"","","","6212030","","6212","","0","22","0",""
"","","","6212031","","6212","","","111","",""
"","","","6213001","0.2","6213","1","wac_idle_smile","3","106711",""
"","","","6213002","0.2","6213","1","wac_idle_sad_L","3","106611",""
"","","","6213003","0.2","6213","1","wac_idle_smile","3","106511",""
"","","","6213004","0.2","6213","1","wac_no_items","3","111",""
"","","","6213005","0.2","6213","1","wac_no_items","3","112",""
"","","","6213006","0.2","6213","1","wac_no_items","3","113",""
"0","","","6213007","","6213","-335","190","2","106711",""
"0","","","6213008","","6213","-360","-190","2","106611",""
"0","","","6213009","","6213","-360","422","2","106511",""
"0","","","6213010","","6213","-335","190","2","111",""
"0","","","6213011","","6213","-360","-190","2","112",""
"0","","","6213012","","6213","-360","422","2","113",""
"","","","6213013","","6213","","0","32","5",""
"","","","6213014","","6213","","1","32","10",""
"","","","6213015","","6213","","0","32","15",""
"","","","6213016","","6213","","","91","0",""
"-108","wac_default_01","-212.75","6311001","2","6311","202","106011","1","1","0"
"-108","wac_default_01","-212.75","6311002","2","6311","201","111","5","1","0"
"0","","1","6311003","1","6311","0","1","31","1",""
"0","","1","6311004","0","6311","0","2","31","2",""
"0","","1","6311005","0","6311","0","11","31","11",""
"","","0","6311006","0.2","6311","0","wac_paint_01","3","106011",""
"","","0","6311007","0.2","6311","0","wac_paint_01","3","111",""
"","","","6311008","","6311","","0","93","0",""
"","","","6311009","","6311","","1","32","11",""
"","","","6311010","","6311","0","se_10035700_brush","23","se_10035700",""
"","","","6311011","","6311","","300","13","106011",""
"","","","6311012","","6311","","","131","1",""
"wac_talk_wish_loop","","1","6312001","0.2","6312","0","wac_talk_wish_in","3","106011",""
"","","","6312002","0.2","6312","1","wac_no_items","3","111",""
"0","","","6312003","","6312","-340","200","2","106011",""
"0","","","6312004","","6312","-340","200","2","111",""
"","","","6312005","","6312","","0","32","1",""
"","","","6312006","","6312","","1","32","2",""
"","","","6312007","","6312","","0","32","11",""
"0","","","6312008","","6312","0","vo_wac_220418_000","21","vo_wac_220418",""
"1","0.5","1","6312009","0","6312","10","好了，完成～♪\n哼哼！\n差不多掌握住訣竅了呢。","11","106011","0"
"","","","6312010","","6312","","","91","0",""
"0","","","6312011","","6312","0","vo_wac_220418_001","21","vo_wac_220418",""
"1","0.5","1","6312012","0","6312","10","像這樣能看到自己的進步，\n感覺很開心呢～♪","11","106011","0"
"","","","6312013","","6312","","","91","0",""
"","","","6312014","","6312","","0","22","0",""
"","","","6313001","0.2","6313","1","wac_idle_wish","3","106011",""
"","","","6313002","0.2","6313","1","wac_no_items","3","111",""
"0","","","6313003","","6313","-340","200","2","106011",""
"0","","","6313004","","6313","-340","200","2","111",""
"","","","6313005","","6313","","0","32","1",""
"","","","6313006","","6313","","1","32","2",""
"","","","6313007","","6313","","0","32","11",""
"","","","6313008","","6313","","","91","0",""
"-108","wac_default_01","-212.75","6411001","2","6411","202","105911","1","1","0"
"-108","wac_default_03","-212.75","6411002","2","6411","201","111","5","1","0"
"0","","1","6411003","1","6411","0","1","31","1",""
"0","","1","6411004","0","6411","0","2","31","2",""
"0","","1","6411005","0","6411","0","11","31","11",""
"","","0","6411006","0.2","6411","0","wac_paint_01","3","105911",""
"","","0","6411007","0.2","6411","0","wac_paint_03","3","111",""
"","","","6411008","","6411","","0","93","0",""
"","","","6411009","","6411","","1","32","11",""
"","","","6411010","","6411","0","se_10035700_brush","23","se_10035700",""
"","","","6411011","","6411","","300","13","105911",""
"","","","6411012","","6411","","","131","1",""
"wac_talk_wish_loop","","1","6412001","0.2","6412","0","wac_talk_wish_in","3","105911",""
"","","","6412002","0.2","6412","1","wac_no_items","3","111",""
"0","","","6412003","","6412","-340","200","2","105911",""
"0","","","6412004","","6412","-340","200","2","111",""
"","","","6412005","","6412","","0","32","1",""
"","","","6412006","","6412","","1","32","2",""
"","","","6412007","","6412","","0","32","11",""
"0","","","6412008","","6412","0","vo_wac_220419_000","21","vo_wac_220419",""
"1","0.5","1","6412009","0","6412","10","在下也開始明白\n什麼是繪畫了。","11","105911","0"
"","","","6412010","","6412","","","91","0",""
"0","","","6412011","","6412","0","vo_wac_220419_001","21","vo_wac_220419",""
"1","0.5","1","6412012","0","6412","10","主人應該也會喜歡的……\n呵呵，在下覺得\n有些樂在其中了♪","11","105911","0"
"","","","6412013","","6412","","","91","0",""
"","","","6412014","","6412","","0","22","0",""
"","","","6413001","0.2","6413","1","wac_idle_wish","3","105911",""
"","","","6413002","0.2","6413","1","wac_no_items","3","111",""
"0","","","6413003","","6413","-340","200","2","105911",""
"0","","","6413004","","6413","-340","200","2","111",""
"","","","6413005","","6413","","0","32","1",""
"","","","6413006","","6413","","1","32","2",""
"","","","6413007","","6413","","0","32","11",""
"","","","6413008","","6413","","","91","0",""
"-108","wac_default_01","-212.75","6511001","2","6511","202","106411","1","1","0"
"-108","wac_default_02","-212.75","6511002","2","6511","201","111","5","1","0"
"0","","1","6511003","1","6511","0","1","31","1",""
"0","","1","6511004","0","6511","0","2","31","2",""
"0","","1","6511005","0","6511","0","11","31","11",""
"","","0","6511006","0.2","6511","0","wac_paint_01","3","106411",""
"","","0","6511007","0.2","6511","0","wac_paint_02","3","111",""
"","","","6511008","","6511","","0","93","0",""
"","","","6511009","","6511","","1","32","11",""
"","","","6511010","","6511","0","se_10035700_brush","23","se_10035700",""
"","","","6511011","","6511","","300","13","106411",""
"","","","6511012","","6511","","","131","1",""
"wac_talk_smile_loop","","1","6512001","0.2","6512","0","wac_talk_smile_in","3","106411",""
"","","","6512002","0.2","6512","1","wac_no_items","3","111",""
"0","","","6512003","","6512","-340","200","2","106411",""
"0","","","6512004","","6512","-340","200","2","111",""
"","","","6512005","","6512","","0","32","1",""
"","","","6512006","","6512","","1","32","2",""
"","","","6512007","","6512","","0","32","11",""
"0","","","6512008","","6512","0","vo_wac_220420_000","21","vo_wac_220420",""
"1","0.5","1","6512009","0","6512","10","嗯，畫得很好♪\n雖然只是一點點，\n但感覺越來越進步了！","11","106411","0"
"","","","6512010","","6512","","","91","0",""
"0","","","6512011","","6512","0","vo_wac_220420_001","21","vo_wac_220420",""
"1","0.5","1","6512012","0","6512","10","畫出得意作品後，\n就會想讓別人看看呢。\n給媽媽──不是，\n給可可蘿小姐看看吧♪","11","106411","0"
"","","","6512013","","6512","","","91","0",""
"","","","6512014","","6512","","0","22","0",""
"","","","6513001","0.2","6513","1","wac_idle_smile","3","106411",""
"","","","6513002","0.2","6513","1","wac_no_items","3","111",""
"0","","","6513003","","6513","-340","200","2","106411",""
"0","","","6513004","","6513","-340","200","2","111",""
"","","","6513005","","6513","","0","32","1",""
"","","","6513006","","6513","","1","32","2",""
"","","","6513007","","6513","","0","32","11",""
"","","","6513008","","6513","","","91","0",""
"-108","wac_default_11","-212.75","6611001","2","6611","202","100411","1","1","0"
"-108","wac_default_11","-212.75","6611002","2","6611","201","111","5","1","0"
"0","","1","6611003","1","6611","0","1","31","1",""
"0","","1","6611004","0","6611","0","2","31","2",""
"0","","1","6611005","0","6611","0","11","31","11",""
"","","0","6611006","0.2","6611","0","wac_paint_11","3","100411",""
"","","0","6611007","0.2","6611","0","wac_paint_11","3","111",""
"","","","6611008","","6611","","0","93","0.3",""
"","","","6611009","","6611","","1","32","11",""
"","","","6611010","","6611","0","se_10035700_roller","23","se_10035700",""
"","","","6611011","","6611","","300","13","100411",""
"","","","6611012","","6611","","","131","1",""
"wac_talk_smile_loop","","1","6612001","0.2","6612","0","wac_talk_smile_in","3","100411",""
"","","","6612002","0.2","6612","1","wac_no_items","3","111",""
"0","","","6612003","","6612","-340","200","2","100411",""
"0","","","6612004","","6612","-340","200","2","111",""
"","","","6612005","","6612","","0","32","1",""
"","","","6612006","","6612","","1","32","2",""
"","","","6612007","","6612","","0","32","11",""
"0","","","6612008","","6612","0","vo_wac_220421_000","21","vo_wac_220421",""
"1","0.5","1","6612009","0","6612","10","今天的份畫好了！\n嗯～既然已經畫完了，\n那接著就來做點惡作劇……","11","100411","0"
"","","","6612010","","6612","","","91","0",""
"0","","","6612011","","6612","0","vo_wac_220421_001","21","vo_wac_220421",""
"1","0.5","1","6612012","0","6612","10","對了，哥哥！\n在這幅畫的旁邊放香蕉皮，\n讓來看畫的人跌上一跤──\n怎麼樣？咦，不行嗎？","11","100411","0"
"","","","6612013","","6612","","","91","0",""
"","","","6612014","","6612","","0","22","0",""
"","","","6613001","0.2","6613","1","wac_idle_smile","3","100411",""
"","","","6613002","0.2","6613","1","wac_no_items","3","111",""
"0","","","6613003","","6613","-340","200","2","100411",""
"0","","","6613004","","6613","-340","200","2","111",""
"","","","6613005","","6613","","0","32","1",""
"","","","6613006","","6613","","1","32","2",""
"","","","6613007","","6613","","0","32","11",""
"","","","6613008","","6613","","","91","0",""
"-108","wac_default_01","-212.75","6711001","2","6711","202","103611","1","1","0"
"-108","wac_default_01","-212.75","6711002","2","6711","201","111","5","1","0"
"0","","1","6711003","1","6711","0","1","31","1",""
"0","","1","6711004","0","6711","0","2","31","2",""
"0","","1","6711005","0","6711","0","11","31","11",""
"","","0","6711006","0.2","6711","0","wac_paint_01","3","103611",""
"","","0","6711007","0.2","6711","0","wac_paint_01","3","111",""
"","","","6711008","","6711","","0","93","0",""
"","","","6711009","","6711","","1","32","11",""
"","","","6711010","","6711","0","se_10035700_brush","23","se_10035700",""
"","","","6711011","","6711","","300","13","103611",""
"","","","6711012","","6711","","","131","1",""
"wac_talk_wish_loop","","1","6712001","0.2","6712","0","wac_talk_wish_in","3","103611",""
"","","","6712002","0.2","6712","1","wac_no_items","3","111",""
"0","","","6712003","","6712","-340","200","2","103611",""
"0","","","6712004","","6712","-340","200","2","111",""
"","","","6712005","","6712","","0","32","1",""
"","","","6712006","","6712","","1","32","2",""
"","","","6712007","","6712","","0","32","11",""
"0","","","6712008","","6712","0","vo_wac_220422_000","21","vo_wac_220422",""
"1","0.5","1","6712009","0","6712","10","這樣有畫好嗎？\n要是練習的成果\n有發揮出來就好了……\n那個，請問我的畫怎麼樣？","11","103611","0"
"","","","6712010","","6712","","","91","0",""
"","","","6712011","0.2","6712","1","wac_talk_anger","3","103611",""
"0","","","6712012","","6712","0","vo_wac_220422_001","21","vo_wac_220422",""
"1","0.5","1","6712013","0","6712","10","等、等一下！？\n你的臉不要靠得這麼近……\n感覺好難為情！\n嗚嗚～你果然是變態可疑分子～！","11","103611","0"
"","","","6712014","","6712","","","91","0",""
"","","","6712015","","6712","","0","22","0",""
"","","","6713001","0.2","6713","1","wac_idle_sad_dead","3","103611",""
"","","","6713002","0.2","6713","1","wac_no_items","3","111",""
"0","","","6713003","","6713","-340","200","2","103611",""
"0","","","6713004","","6713","-340","200","2","111",""
"","","","6713005","","6713","","0","32","1",""
"","","","6713006","","6713","","1","32","2",""
"","","","6713007","","6713","","0","32","11",""
"","","","6713008","","6713","","","91","0",""
"-108","wac_default_01","-212.75","6811001","2","6811","202","101811","1","1","0"
"-108","wac_default_01","-212.75","6811002","2","6811","201","111","5","1","0"
"0","","1","6811003","1","6811","0","1","31","1",""
"0","","1","6811004","0","6811","0","2","31","2",""
"0","","1","6811005","0","6811","0","11","31","11",""
"","","0","6811006","0.2","6811","0","wac_paint_01","3","101811",""
"","","0","6811007","0.2","6811","0","wac_paint_01","3","111",""
"","","","6811008","","6811","","0","93","0",""
"","","","6811009","","6811","","1","32","11",""
"","","","6811010","","6811","0","se_10035700_brush","23","se_10035700",""
"","","","6811011","","6811","","300","13","101811",""
"","","","6811012","","6811","","","131","1",""
"wac_talk_wish_loop","","1","6812001","0.2","6812","0","wac_talk_wish_in","3","101811",""
"","","","6812002","0.2","6812","1","wac_no_items","3","111",""
"0","","","6812003","","6812","-340","200","2","101811",""
"0","","","6812004","","6812","-340","200","2","111",""
"","","","6812005","","6812","","0","32","1",""
"","","","6812006","","6812","","1","32","2",""
"","","","6812007","","6812","","0","32","11",""
"0","","","6812008","","6812","0","vo_wac_220423_000","21","vo_wac_220423",""
"1","0.5","1","6812009","0","6812","10","繪畫能刺激想像力呢。\n今後的課程也要加入才行♪","11","101811","0"
"","","","6812010","","6812","","","91","0",""
"0","","","6812011","","6812","0","vo_wac_220423_001","21","vo_wac_220423",""
"1","0.5","1","6812012","0","6812","10","要畫些什麼樣的\n東西比較好呢？\n這個嘛～例如像是……\n我來擔任模特兒之類的……？","11","101811","0"
"","","","6812013","","6812","","","91","0",""
"","","","6812014","","6812","","0","22","0",""
"","","","6813001","0.2","6813","1","wac_idle_wish","3","101811",""
"","","","6813002","0.2","6813","1","wac_no_items","3","111",""
"0","","","6813003","","6813","-340","200","2","101811",""
"0","","","6813004","","6813","-340","200","2","111",""
"","","","6813005","","6813","","0","32","1",""
"","","","6813006","","6813","","1","32","2",""
"","","","6813007","","6813","","0","32","11",""
"","","","6813008","","6813","","","91","0",""
"-108","wac_default_01","-212.75","6911001","2","6911","202","105011","1","1","0"
"-108","wac_default_01","-212.75","6911002","2","6911","201","111","5","1","0"
"0","","1","6911003","1","6911","0","1","31","1",""
"0","","1","6911004","0","6911","0","2","31","2",""
"0","","1","6911005","0","6911","0","11","31","11",""
"","","0","6911006","0.2","6911","0","wac_paint_01","3","105011",""
"","","0","6911007","0.2","6911","0","wac_paint_01","3","111",""
"","","","6911008","","6911","","0","93","0",""
"","","","6911009","","6911","","1","32","11",""
"","","","6911010","","6911","0","se_10035700_brush","23","se_10035700",""
"","","","6911011","","6911","","300","13","105011",""
"","","","6911012","","6911","","","131","1",""
"wac_talk_smile_loop","","1","6912001","0.2","6912","0","wac_talk_smile_in","3","105011",""
"","","","6912002","0.2","6912","1","wac_no_items","3","111",""
"0","","","6912003","","6912","-340","200","2","105011",""
"0","","","6912004","","6912","-340","200","2","111",""
"","","","6912005","","6912","","0","32","1",""
"","","","6912006","","6912","","1","32","2",""
"","","","6912007","","6912","","0","32","11",""
"0","","","6912008","","6912","0","vo_wac_220424_000","21","vo_wac_220424",""
"1","0.5","1","6912009","0","6912","10","嗯嗯，感覺很棒♪\n因為我是成熟的淑女，\n畫得這麼好也是理所當然的嘛！","11","105011","0"
"","","","6912010","","6912","","","91","0",""
"0","","","6912011","","6912","0","vo_wac_220424_001","21","vo_wac_220424",""
