5a091d3544b4947d3b749daeaa1e0e389d23a38f022a23b6305356029ab41a14,2e2ae0a80bbdf4290453853ff82f8971d4b032f0a58bc21cea5cee8ca625101e,6308da6bb62e97df9da7c4ad2099185950246d5aea1f4242e6b0d59d8d378daf,0a58fc58fdc7b882b6911958129ec46fc5db6170f58cabf09736582571021569,34c7362f11006861443594c8a382166f30577398c68f60b058a2c917c805e995,a68d498d3c4fc6b7741ef6b65752a52d5c5422f785d50d346964ada19ae8a030,d2b1eb121ba6d9f39741c325fa53865fcff8a904b54cac37fad2465aea591965,c09f0f3591cff54f7db296c04b52738c98ede9a2a17a4581a2a040e0e45b80d6,73e02c4fd030f43c404f4dd2b0989fcef6321e86567a8fbf9a9ee5b1db4b6af6,8a24014b8c1527fd017b98531b9d7bf169b5bd56135e83d4159aedee35a14b86,8aad07a89b19a719b8291dd433dcb2d7ab44adea0613761b6e3f87c671d18505
"1070051","","小凜……！","","11","1","1","","10","112411","7"
"1070052","","","","91","","","","","0","7"
"1070053","","0","","4","","","","","112611","7"
"1070054","0","omp_psn_20","","3","","","","1","112411","7"
"1070055","0","omp_talk_joy1","","3","","","","1","112611","7"
"1070056","","vo_omp_7007_008","","21","0","","","0","vo_omp_7007","7"
"1070057","","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！","","11","1","1","","10","112611","7"
"1070058","","1","","93","","","","","10","7"
"1070059","","0","","4","","","","1","112611","7"
"1070060","","120","","2","0","1","","-205","112611","7"
"1070061","","420","","2","0","1","","-205","112411","7"
"1070062","0","omp_psn_13","","3","omp_psn_13_loop","1","0.1","0","112611","7"
"1070063","0","omp_psn_13","","3","omp_psn_13_loop","1","0.1","0","112411","7"
"1070064","0","omp_psn_15","","3","omp_psn_15_loop","1","0","0","112511","7"
"1070065","","1","","93","","","","","1","7"
"1070066","0","omp_surprise","","3","omp_idle_surprise1","1","","0","105831","7"
"1070067","0","omp_surprise","","3","omp_idle_surprise1","1","","0","105931","7"
"1070068","0","omp_surprise","","3","omp_idle_surprise2","1","0.2","0","106031","7"
"1070069","","","","91","","","","","1070057","7"
"1070070","","vo_omp_7007_009","","21","0","","","0","vo_omp_7007","7"
"1070071","","等等，快、快住手啦……！","","11","1","1","","10","112511","7"
"1070072","","","","91","","","","","0","7"
"1070073","","1","","4","","","","1","105831","7"
"1070074","0","omp_talk_joy1","","3","","","","1","105831","7"
"1070075","","vo_omp_7007_010","","21","0","","","0","vo_omp_7007","7"
"1070076","","小凱留，\n我們也來抱抱吧♪","","11","1","1","","10","105831","7"
"1070077","","","","91","","","","","0","7"
"1070078","0","omp_idle_joy1","","3","","","","1","105831","7"
"1070079","0","omp_talk_tsun","","3","","","","1","106031","7"
"1070080","","vo_omp_7007_011","","21","0","","","0","vo_omp_7007","7"
"1070081","","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？","","11","1","1","","10","106031","7"
"1070082","","1","","93","","","","","4","7"
"1070083","0","omp_walk","","3","","","","1","105831","7"
"1070084","","-120","","2","1","1","","-205","105831","7"
"1070085","","","","91","","","","","0","7"
"1070086","0.2","omp_idle_joy1","","3","","","","1","105831","7"
"1070087","","","","91","","","","","1070081","7"
"1070088","0","omp_idle_joy1","","3","","","","1","105831","7"
"1070089","0","omp_idle_tsun","","3","","","","1","106031","7"
"1070090","0","omp_talk_normal","","3","","","","1","105931","7"
"1070091","","vo_omp_7007_012","","21","0","","","0","vo_omp_7007","7"
"1070092","","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪","","11","1","1","","10","105931","7"
"1070093","","","","91","","","","","0","7"
"1070094","","-120","","2","0","1","","-205","105831","7"
"1070095","","-440","","2","0","1","","-205","105931","7"
"1070096","0","omp_psn_14","","3","omp_psn_14_loop","1","0.1","0","105831","7"
"1070097","0","omp_psn_14","","3","omp_psn_14_loop","1","0.1","0","105931","7"
"1070098","0","omp_psn_15","","3","omp_psn_15_loop","1","0","0","106031","7"
"1070099","","vo_omp_7007_013","","21","0","","","0","vo_omp_7007","7"
"1070100","","抱抱～♪","","11","1","1","","10","105831","7"
"1070101","","","","91","","","","","0","7"
"1070102","0","omp_psn_16_loop","","3","","","","1","106031","7"
"1070103","","vo_omp_7007_014","","21","0","","","0","vo_omp_7007","7"
"1070104","","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？","","11","1","1","","10","106031","7"
"1070105","","","","91","","","","","0","7"
"1070106","0","omp_psn_13_loop","","3","","","","1","112611","7"
"1070107","","vo_omp_7007_015","","21","0","","","0","vo_omp_7007","7"
"1070108","","哇～！\n凱留凱留～！","","11","1","1","","10","112611","7"
"1070109","","","","91","","","","","0","7"
"1070110","0","omp_psn_13_loop","","3","","","","1","112611","7"
"1070111","0","omp_psn_13_loop","","3","","","","1","112411","7"
"1070112","","vo_omp_7007_016","","21","0","","","0","vo_omp_7007","7"
"1070113","","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！","","11","1","1","","10","112411","7"
"1070114","","","","91","","","","","0","7"
"1070115","0","omp_psn_13_loop","","3","","","","1","112411","7"
"1070116","0","omp_psn_15_loop","","3","","","","1","112511","7"
"1070117","","vo_omp_7007_017","","21","0","","","0","vo_omp_7007","7"
"1070118","","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！","","11","1","1","","10","112511","7"
"1070119","","1","","93","","","","","5.5","7"
"1070120","0.1","omp_psn_16_loop","","3","","","","1","112511","7"
"1070121","","","","91","","","","","1070118","7"
"1070122","","","","93","","","","","0.4","7"
"1080001","1.8","105831","omp_idle_normal","1","200","-195","1","1600","1","8"
"1080002","1.8","105931","omp_talk_normal","1","0","-185","0","1500","1","8"
"1080003","1.8","106031","omp_idle_normal","1","-200","-205","0","1600","1","8"
"1080004","1","1","","31","0","1","","0","1","8"
"1080005","","","","93","","","","","1","8"
"1080006","","vo_omp_7008_000","","21","0","","","0","vo_omp_7008","8"
"1080007","","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。","","11","1","1","","10","105931","8"
"1080008","","","","91","","","","","0","8"
"1080009","0","omp_idle_normal","","3","","","","1","105931","8"
"1080010","0","omp_talk_joy1","","3","","","","1","105831","8"
"1080011","","vo_omp_7008_001","","21","0","","","0","vo_omp_7008","8"
"1080012","","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆","","11","1","1","","10","105831","8"
"1080013","","","","91","","","","","0","8"
"1080014","0","omp_idle_joy1","","3","","","","1","105831","8"
"1080015","0","omp_talk_sad","","3","","","","1","106031","8"
"1080016","","vo_omp_7008_002","","21","0","","","0","vo_omp_7008","8"
"1080017","","唉……妳的腦袋裡\n真的都只想著吃呢。","","11","1","1","","10","106031","8"
"1080018","","","","91","","","","","0","8"
"1080019","0","omp_idle_sad","","3","","","","1","106031","8"
"1080020","0","omp_talk_normal","","3","","","","1","105931","8"
"1080021","","vo_omp_7008_003","","21","0","","","0","vo_omp_7008","8"
"1080022","","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。","","11","1","1","","10","105931","8"
"1080023","","","","91","","","","","0","8"
"1080024","0","omp_idle_normal","","3","","","","1","105931","8"
"1080025","0","omp_talk_surprise1","","3","","","","1","106031","8"
"1080026","","vo_omp_7008_004","","21","0","","","0","vo_omp_7008","8"
"1080027","","連可蘿仔也是！？","","11","1","1","","10","106031","8"
"1080028","","","","91","","","","","0","8"
"1080029","0","omp_idle_surprise1","","3","","","","1","106031","8"
"1080030","0","omp_talk_normal","","3","","","","1","105831","8"
"1080031","","vo_omp_7008_005","","21","0","","","0","vo_omp_7008","8"
"1080032","","小凱留打算怎麼做呢～？","","11","1","1","","10","105831","8"
"1080033","","","","91","","","","","0","8"
"1080034","","1","","4","","","","","105931","8"
"1080035","0","omp_idle_normal","","3","","","","1","105831","8"
"1080036","0","omp_talk_tsun","","3","","","","1","106031","8"
"1080037","","vo_omp_7008_006","","21","0","","","0","vo_omp_7008","8"
"1080038","","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。","","11","1","1","","10","106031","8"
"1080039","","","","91","","","","","0","8"
"1080040","0","omp_idle_tsun","","3","","","","1","106031","8"
"1080041","0","omp_talk_normal","","3","","","","1","105931","8"
"1080042","","vo_omp_7008_007","","21","0","","","0","vo_omp_7008","8"
"1080043","","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪","","11","1","1","","10","105931","8"
"1080044","","","","91","","","","","0","8"
"1080045","","0","","4","","","","","105931","8"
"1080046","0","omp_idle_normal","","3","","","","1","105931","8"
"1080047","0","omp_talk_joy1","","3","","","","1","105831","8"
"1080048","","vo_omp_7008_008","","21","0","","","0","vo_omp_7008","8"
"1080049","","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！","","11","1","1","","10","105831","8"
"1080050","","","","91","","","","","0","8"
"1080051","","","","93","","","","","0.4","8"
"1090001","1.8","105831","omp_idle_normal","1","300","-270","1","1600","1","9"
"1090002","1.8","105931","omp_idle_normal","1","450","-285","1","1700","1","9"
"1090003","1.8","106031","omp_idle_normal","1","-310","-230","1","1600","1","9"
"1090004","1.8","112511","omp_idle_normal","1","-45","-190","1","1500","1","9"
"1090005","1.8","112411","omp_idle_normal","1","65","-240","1","1600","1","9"
"1090006","1.8","112611","omp_idle_normal","1","205","-192","1","1500","1","9"
"1090007","1","1","","31","0","1","","0","1","9"
"1090008","","","","93","","","","","0.2","9"
"1090009","0.1","omp_idle_normal","","3","","","","1","112611","9"
"1090010","0","omp_talk_sad","","3","","","","1","106031","9"
"1090011","0.1","omp_idle_normal","","3","","","","1","112511","9"
"1090012","0.1","omp_idle_normal","","3","","","","1","105831","9"
"1090013","","","","93","","","","","0.1","9"
"1090014","","","","93","","","","","1","9"
"1090015","","vo_omp_7009_000","","21","0","","","0","vo_omp_7009","9"
"1090016","","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！","","11","1","1","","10","106031","9"
"1090017","","","","91","","","","","0","9"
"1090018","0","omp_psn_17","","3","","","","0","106031","9"
"1090019","","vo_omp_7009_001","","21","0","","","0","vo_omp_7009","9"
"1090020","","……凱留凱留\n說笑的喵。","","11","1","1","","10","106031","9"
"1090021","","1","","93","","","","","2","9"
"1090022","0.2","omp_talk_sad","","3","","","","1","106031","9"
"1090023","","","","91","","","","","1090020","9"
"1090024","0","omp_idle_sad","","3","","","","1","106031","9"
"1090025","0","omp_psn_17","","3","omp_idle_joy1","1","0.2","0","105831","9"
"1090026","","vo_omp_7009_002","","21","0","","","0","vo_omp_7009","9"
"1090027","","凱留凱留♪","","11","1","1","","10","105831","9"
"1090028","","","","91","","","","","0","9"
"1090029","0","omp_psn_17","","3","omp_idle_normal","","0.2","1","105931","9"
"1090030","","vo_omp_7009_003","","21","0","","","0","vo_omp_7009","9"
"1090031","","凱留凱留喵。","","11","1","1","","10","105931","9"
"1090032","","","","91","","","","","0","9"
"1090033","","0","","4","","","","","106031","9"
"1090034","0","omp_surprise","","3","omp_idle_surprise1","1","0","0","106031","9"
"1090035","","vo_omp_7009_004","","21","0","","","0","vo_omp_7009","9"
"1090036","","妳、妳們幾個！？\n看、看到剛才的……！？","","11","1","1","","10","106031","9"
"1090037","","","","91","","","","","0","9"
"1090038","0","omp_psn_17_other","","3","omp_idle_joy1","","0.2","1","112611","9"
"1090039","","vo_omp_7009_005","","21","0","","","0","vo_omp_7009","9"
"1090040","","凱留凱留～♪\n華麗登場喵☆","","11","1","1","","10","112611","9"
"1090041","","","","91","","","","","0","9"
"1090042","0","omp_talk_anger2","","3","","","","1","106031","9"
"1090043","","vo_omp_7009_006","","21","0","","","0","vo_omp_7009","9"
"1090044","","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！","","11","1","1","","10","106031","9"
"1090045","","","","91","","","","","0","9"
"1090046","0","omp_idle_anger2","","3","","","","1","106031","9"
"1090047","0","omp_talk_sad","","3","","","","1","112411","9"
"1090048","","vo_omp_7009_007","","21","0","","","0","vo_omp_7009","9"
"1090049","","凱、凱留。呃，那個……","","11","1","1","","10","112411","9"
"1090050","","","","91","","","","","0","9"
"1090051","0","omp_idle_sad","","3","","","","1","112411","9"
"1090052","0","omp_talk_normal","","3","","","","1","112511","9"
"1090053","","vo_omp_7009_008","","21","0","","","0","vo_omp_7009","9"
"1090054","","妳很辛苦呢。","","11","1","1","","10","112511","9"
"1090055","","","","91","","","","","0","9"
"1090056","0","omp_idle_normal","","3","","","","1","112511","9"
"1090057","0","omp_talk_tsun","","3","","","","1","106031","9"
"1090058","","vo_omp_7009_009","","21","0","","","0","vo_omp_7009","9"
"1090059","","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！","","11","1","1","","10","106031","9"
"1090060","","","","91","","","","","0","9"
"1090061","0","omp_idle_tsun","","3","","","","1","106031","9"
"1090062","0","omp_talk_normal","","3","","","","1","112511","9"
"1090063","","vo_omp_7009_010","","21","0","","","0","vo_omp_7009","9"
"1090064","","可是我覺得那個很可愛耶。","","11","1","1","","10","112511","9"
"1090065","","","","91","","","","","0","9"
"1090066","0","omp_idle_normal","","3","","","","1","112511","9"
"1090067","0","omp_talk_joy2","","3","","","","1","112411","9"
"1090068","","vo_omp_7009_011","","21","0","","","0","vo_omp_7009","9"
"1090069","","是啊！　非常棒喔！","","11","1","1","","10","112411","9"
"1090070","","","","91","","","","","0","9"
"1090071","0","omp_psn_20","","3","","","","1","112411","9"
"1090072","0","omp_talk_tsun","","3","","","","1","106031","9"
"1090073","","vo_omp_7009_012","","21","0","","","0","vo_omp_7009","9"
"1090074","","聽到那種話我才不覺得開心啦～！？","","11","1","1","","10","106031","9"
"1090075","","","","91","","","","","0","9"
"1090076","0","omp_idle_tsun","","3","","","","1","106031","9"
"1090077","0","omp_psn_17","","3","omp_idle_joy1","1","0.2","0","105831","9"
"1090078","0","omp_psn_17","","3","omp_idle_normal","1","0.2","0","105931","9"
"1090079","0","omp_psn_17_other","","3","omp_idle_joy1","1","0.2","0","112611","9"
"1090080","","vo_omp_7009_013","","21","0","","","0","vo_omp_7009","9"
"1090081","","凱留凱留♪","","11","1","1","","10","105831","9"
"1090082","","","","91","","","","","0","9"
"1090083","0","omp_talk_anger2","","3","","","","1","106031","9"
"1090084","","vo_omp_7009_014","","21","0","","","0","vo_omp_7009","9"
"1090085","","我一定要宰了妳們～～～～～～～！","","11","1","1","","10","106031","9"
"1090086","","","","91","","","","","0","9"
"1090087","","","","93","","","","","0.4","9"
