9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410230","賦予TP上升的上限","17","357"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410230","降低HP吸收","9","358"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410240","光屬性獎勵特大幅度提升","15","359"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410240","提升物理防禦力（不可降低）","boss_def_lower_limit","360"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","361"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410240","減少降低TP","boss_tp_down_cut","362"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410240","傷害值衰減","18","363"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410240","賦予TP上升的上限","17","364"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410240","降低HP吸收","9","365"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410310","光屬性獎勵特大幅度提升","15","366"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410310","提升物理防禦力（不可降低）","boss_def_lower_limit","367"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410310","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","368"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410310","減少降低TP","boss_tp_down_cut","369"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410310","傷害值衰減","18","370"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410310","賦予TP上升的上限","17","371"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410310","降低HP吸收","9","372"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410320","光屬性獎勵特大幅度提升","15","373"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410320","提升物理防禦力（不可降低）","boss_def_lower_limit","374"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","375"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410320","減少降低TP","boss_tp_down_cut","376"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410320","傷害值衰減","18","377"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410320","賦予TP上升的上限","17","378"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410320","降低HP吸收","9","379"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410330","光屬性獎勵特大幅度提升","15","380"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410330","提升物理防禦力（不可降低）","boss_def_lower_limit","381"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410330","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","382"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410330","減少降低TP","boss_tp_down_cut","383"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410330","傷害值衰減","18","384"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410330","賦予TP上升的上限","17","385"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410330","降低HP吸收","9","386"
"編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","92410340","光屬性獎勵特大幅度提升","15","387"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92410340","提升物理防禦力（不可降低）","boss_def_lower_limit","388"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92410340","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","389"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92410340","減少降低TP","boss_tp_down_cut","390"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92410340","傷害值衰減","18","391"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92410340","賦予TP上升的上限","17","392"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92410340","降低HP吸收","9","393"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411010","火屬性獎勵特大幅度提升","12","394"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411010","提升物理防禦力（不可降低）","boss_def_lower_limit","395"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","396"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411010","賦予TP上升的上限","17","397"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411010","降低HP吸收","9","398"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411020","火屬性獎勵特大幅度提升","12","399"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411020","提升物理防禦力（不可降低）","boss_def_lower_limit","400"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","401"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411020","賦予TP上升的上限","17","402"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411020","降低HP吸收","9","403"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411030","火屬性獎勵特大幅度提升","12","404"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411030","提升物理防禦力（不可降低）","boss_def_lower_limit","405"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","406"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411030","賦予TP上升的上限","17","407"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411030","降低HP吸收","9","408"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411110","火屬性獎勵特大幅度提升","12","409"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411110","提升物理防禦力（不可降低）","boss_def_lower_limit","410"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411110","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","411"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411110","減少降低TP","boss_tp_down_cut","412"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411110","傷害值衰減","18","413"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411110","賦予TP上升的上限","17","414"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411110","降低HP吸收","9","415"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411120","火屬性獎勵特大幅度提升","12","416"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411120","提升物理防禦力（不可降低）","boss_def_lower_limit","417"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","418"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411120","減少降低TP","boss_tp_down_cut","419"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411120","傷害值衰減","18","420"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411120","賦予TP上升的上限","17","421"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411120","降低HP吸收","9","422"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411130","火屬性獎勵特大幅度提升","12","423"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411130","提升物理防禦力（不可降低）","boss_def_lower_limit","424"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411130","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","425"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411130","減少降低TP","boss_tp_down_cut","426"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411130","傷害值衰減","18","427"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411130","賦予TP上升的上限","17","428"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411130","降低HP吸收","9","429"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411140","火屬性獎勵特大幅度提升","12","430"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411140","提升物理防禦力（不可降低）","boss_def_lower_limit","431"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411140","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","432"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411140","減少降低TP","boss_tp_down_cut","433"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411140","傷害值衰減","18","434"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411140","賦予TP上升的上限","17","435"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411140","降低HP吸收","9","436"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411210","火屬性獎勵特大幅度提升","12","437"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411210","提升物理防禦力（不可降低）","boss_def_lower_limit","438"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411210","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","439"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411210","減少降低TP","boss_tp_down_cut","440"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411210","傷害值衰減","18","441"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411210","賦予TP上升的上限","17","442"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411210","降低HP吸收","9","443"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411220","火屬性獎勵特大幅度提升","12","444"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411220","提升物理防禦力（不可降低）","boss_def_lower_limit","445"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411220","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","446"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411220","減少降低TP","boss_tp_down_cut","447"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411220","傷害值衰減","18","448"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411220","賦予TP上升的上限","17","449"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411220","降低HP吸收","9","450"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411230","火屬性獎勵特大幅度提升","12","451"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411230","提升物理防禦力（不可降低）","boss_def_lower_limit","452"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411230","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","453"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411230","減少降低TP","boss_tp_down_cut","454"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411230","傷害值衰減","18","455"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411230","賦予TP上升的上限","17","456"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411230","降低HP吸收","9","457"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411240","火屬性獎勵特大幅度提升","12","458"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411240","提升物理防禦力（不可降低）","boss_def_lower_limit","459"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","460"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411240","減少降低TP","boss_tp_down_cut","461"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411240","傷害值衰減","18","462"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411240","賦予TP上升的上限","17","463"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411240","降低HP吸收","9","464"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411310","火屬性獎勵特大幅度提升","12","465"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411310","提升物理防禦力（不可降低）","boss_def_lower_limit","466"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411310","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","467"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411310","減少降低TP","boss_tp_down_cut","468"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411310","傷害值衰減","18","469"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411310","賦予TP上升的上限","17","470"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411310","降低HP吸收","9","471"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411320","火屬性獎勵特大幅度提升","12","472"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411320","提升物理防禦力（不可降低）","boss_def_lower_limit","473"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","474"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411320","減少降低TP","boss_tp_down_cut","475"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411320","傷害值衰減","18","476"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411320","賦予TP上升的上限","17","477"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411320","降低HP吸收","9","478"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411330","火屬性獎勵特大幅度提升","12","479"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411330","提升物理防禦力（不可降低）","boss_def_lower_limit","480"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411330","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","481"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411330","減少降低TP","boss_tp_down_cut","482"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411330","傷害值衰減","18","483"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411330","賦予TP上升的上限","17","484"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411330","降低HP吸收","9","485"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","92411340","火屬性獎勵特大幅度提升","12","486"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92411340","提升物理防禦力（不可降低）","boss_def_lower_limit","487"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92411340","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","488"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92411340","減少降低TP","boss_tp_down_cut","489"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92411340","傷害值衰減","18","490"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92411340","賦予TP上升的上限","17","491"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92411340","降低HP吸收","9","492"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412010","風屬性獎勵特大幅度提升","14","493"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412010","提升物理防禦力（不可降低）","boss_def_lower_limit","494"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412010","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","495"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412010","賦予TP上升的上限","17","496"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412010","降低HP吸收","9","497"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412020","風屬性獎勵特大幅度提升","14","498"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412020","提升物理防禦力（不可降低）","boss_def_lower_limit","499"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","500"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412020","賦予TP上升的上限","17","501"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412020","降低HP吸收","9","502"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412030","風屬性獎勵特大幅度提升","14","503"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412030","提升物理防禦力（不可降低）","boss_def_lower_limit","504"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","505"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412030","賦予TP上升的上限","17","506"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412030","降低HP吸收","9","507"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412110","風屬性獎勵特大幅度提升","14","508"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412110","提升物理防禦力（不可降低）","boss_def_lower_limit","509"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412110","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","510"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412110","減少降低TP","boss_tp_down_cut","511"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412110","傷害值衰減","18","512"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412110","賦予TP上升的上限","17","513"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412110","降低HP吸收","9","514"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412120","風屬性獎勵特大幅度提升","14","515"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412120","提升物理防禦力（不可降低）","boss_def_lower_limit","516"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412120","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","517"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412120","減少降低TP","boss_tp_down_cut","518"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412120","傷害值衰減","18","519"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412120","賦予TP上升的上限","17","520"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412120","降低HP吸收","9","521"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412130","風屬性獎勵特大幅度提升","14","522"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412130","提升物理防禦力（不可降低）","boss_def_lower_limit","523"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412130","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","524"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412130","減少降低TP","boss_tp_down_cut","525"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412130","傷害值衰減","18","526"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412130","賦予TP上升的上限","17","527"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412130","降低HP吸收","9","528"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412140","風屬性獎勵特大幅度提升","14","529"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412140","提升物理防禦力（不可降低）","boss_def_lower_limit","530"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412140","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","531"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412140","減少降低TP","boss_tp_down_cut","532"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412140","傷害值衰減","18","533"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412140","賦予TP上升的上限","17","534"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412140","降低HP吸收","9","535"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412210","風屬性獎勵特大幅度提升","14","536"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412210","提升物理防禦力（不可降低）","boss_def_lower_limit","537"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412210","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","538"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412210","減少降低TP","boss_tp_down_cut","539"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412210","傷害值衰減","18","540"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412210","賦予TP上升的上限","17","541"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412210","降低HP吸收","9","542"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412220","風屬性獎勵特大幅度提升","14","543"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412220","提升物理防禦力（不可降低）","boss_def_lower_limit","544"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412220","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","545"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412220","減少降低TP","boss_tp_down_cut","546"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412220","傷害值衰減","18","547"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412220","賦予TP上升的上限","17","548"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412220","降低HP吸收","9","549"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412230","風屬性獎勵特大幅度提升","14","550"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412230","提升物理防禦力（不可降低）","boss_def_lower_limit","551"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412230","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","552"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412230","減少降低TP","boss_tp_down_cut","553"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412230","傷害值衰減","18","554"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412230","賦予TP上升的上限","17","555"
"戰鬥開始時，中幅度降低全體角色的HP吸收。","92412230","降低HP吸收","9","556"
"編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。","92412240","風屬性獎勵特大幅度提升","14","557"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","92412240","提升物理防禦力（不可降低）","boss_def_lower_limit","558"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","92412240","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","559"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","92412240","減少降低TP","boss_tp_down_cut","560"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","92412240","傷害值衰減","18","561"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","92412240","賦予TP上升的上限","17","562"
