8191eb0db9a9e249845b6f021c80747fe0bd15c892723e846ee4b768af448988,6a0ddc288541d99aa0a2c4479402fa6b8c0068cdf4059b1361bad0f071fb896f,49483517755f54e8b4f43f96c194b674611bf98b94f11500074d2db393182ca8,24b1e8c069b316afea1d224eadd39b2cdc072b3fffc9297f1b70489d82dc5e5d,c40ea4e41cdfc60b2d6946464a159fc03c125fc8991920cd5fd62a8baf0506e0,da8cfd8d0531af7b83923dc23e4a4938ecc0eb97d84fa5d1bb03bbb015cd5b44,7ba51f21d2070d49c6dd265a2765becfdc8102947fc6041092aecf98a741ce4b,f74e44a59cc7f82b12f120bb98ae94ae073c51126cf45f8cc1ff2f050b04f08e,c3d1c7bd77d242de44a71ac100de18aaac6928f9dc417734e438a6fb97da41a0,e461e18f5dc70338a63f55a9981e42c557195c6deda5fca06bd41c6a2f020054,65f0790f1c6617c35bd2b7d63086d5662a2a78771b2fdfb8da0e7ce6fb2b8c47,ce47710ee3e1a7c075eb901d19a085ee55eaf2f941ce712b78a134b487625a0e,56a3746fabca9005f38617878553d3fd4dba8632b56c07ff4d7def7781d7cc30,4b8cb777dcd94ec33f9f94ed025b3f9365968f7dc4b7b802f7a2cb290de48156,0bef1f2de10fbd8183ec952037685e4fcc0ad448bb639bb049bc7f764a747338,497a85f7ada8e355cfa22d0fa3352ad729b03a2d1ecb6d6c6e45c1ddb4a11b7f,ba44eabc628e46fadd7f32e5241dddb2f93f8669f908a735da46ee6c050fb27e,dbf0124096f137e4b929ed9fd7d7e2b3b2f6ed2dcf85d1c544820273c206a464,cb303f21090af02109bf9b3fff9e83e22eaa97d0a19d48a4dd4cc4f7c2dcb81a,f5877e1d4b678eeb1297b283b0dc17395ccd99f457c400d0291fa903f049c9ed
"3","2","2211","6","6","大天使之淚","28122","20043","","22823","6","這個的名稱是什麼？","2211","1","6","22825","大天使之淚","能在「Happy‧Change‧Angels」活動中獲得的道具。","6","20351"
"2","2","2214","6","6","天氣晚來秋","31179","20358","","22825","6","空格裡該填入的是？","0","2","6","27683","天氣晚來秋","唐詩的五言律詩之一。王維的「山居秋暝」裡其中一句為「空山新雨後，□□□□□。」","6","26202"
"3","2","2216","6","6","灰化肥發黑","40657","30332","","28784","6","空格裡該填入的是？","0","2","6","21270","灰化肥發黑","著名繞口令之一。「黑化肥發灰，□□□□□。」","6","32933"
"1","2","2217","6","6","六十六頭牛","29275","38957","","20845","6","空格裡該填入的是？","0","2","6","21313","六十六頭牛","著名繞口令之一。「六十六歲的陸老頭，蓋了六十六間樓，買了六十六簍油，養了□□□□□。」","6","20845"
"2","2","2224","6","6","紅粉鳳凰花","33457","20976","","32005","6","空格裡該填入的是？","0","2","6","31881","紅粉鳳凰花","著名繞口令之一。「紅鳳凰，粉鳳凰，□□□□□鳳凰。」","6","40179"
"3","2","2227","6","6","醜媳婦總得見公婆","35211","24471","醜媳婦總得見公婆","23219","6","這句諺語是什麼？","0","2","6","23142","媳婦總得見","比喻藏不住，總要露相。","6","32317"
"3","2","2228","3","3","et cetera","97","114","et cetera","101","3","這個的名稱是什麼？","0","2","3","116","etera","「etc.」未經省略的全稱是？","3","101"
"1","2","2229","6","6","哞哞自衛隊","38538","34907","","21726","6","這個的名稱是什麼？","0","1","6","21726","哞哞自衛隊","與【王宮騎士團】總是相互對立的公會。","6","33258"
"2","2","2230","6","6","超不得了啦！","21862","20102","超不得了啦！","36229","6","這個的名稱是什麼？","2230","1","6","19981","超不得了啦","凱留的口頭禪之一。意思有好有壞，大多是在發生不妙的事情時說。","6","24471"
"1","2","2231","6","6","咲戀育幼院","38498","24188","","21682","6","這個的名稱是什麼？","0","1","6","25088","咲戀育幼院","由前【王宮騎士團】副團長咲戀所統籌與經營的公會。","6","32946"
"1","2","2232","2","2","APPLE","69","76","","65","2","這個的名稱是什麼？","0","2","2","80","APPLE","「蘋果」的英文。","2","80"
"3","2","2233","6","6","發灰會花飛","39131","33457","","30332","6","空格裡該填入的是？","0","2","6","28784","發灰會花飛","著名繞口令之一。「黑化肥揮發□□□□□；灰化肥揮發發黑會飛花」","6","26371"
"1","2","2234","6","6","吃軟不吃硬","30828","21507","","21507","6","這句諺語是什麼？","0","2","6","36575","吃軟不吃硬","比喻對態度強硬者，從不屈從。對好言好語者，容易聽從。","6","19981"
"1","2","2235","6","6","三思而後行","34892","24460","","19977","6","這句諺語是什麼？","0","2","6","24605","三思而後行","比喻再三思考後才行動。","6","32780"
"1","2","2236","6","6","日久見人心","24515","20154","","26085","6","這句諺語是什麼？","0","2","6","20037","日久見人心","比喻相處久了，便能看的出來一個人的行為是如何。","6","35211"
"1","2","2237","6","6","愛麗絲夢遊仙境","36938","22818","愛麗絲夢遊仙境","24859","6","這個的名稱是什麼？","0","2","6","40599","愛麗絲夢遊","經典的兒童文學作品之一。描述主角追著一隻兔子一起跳入樹洞後展開奇幻冒險。","6","32114"
"1","2","2238","6","6","知足者常樂","27138","24120","","30693","6","這個的名稱是什麼？","0","2","6","36275","知足者常樂","比喻為人知道滿足，不做過分的要求，心情自然常保愉快。","6","32773"
"1","2","2240","2","2","TICKET","69","75","TICKET","84","2","這個的唸法是什麼？","0","2","2","73","TICKE","「票券」的英文。","2","67"
"2","2","2241","6","6","一千零一夜","22812","19968","","19968","6","這個的名稱是什麼？","0","2","6","21315","一千零一夜","一本童話的故事集。「阿拉丁與神燈」也收錄於其中。","6","38646"
"1","2","2242","6","6","潘朵拉的盒子","23376","30418","潘朵拉的盒子","28504","6","這個的名稱是什麼？","0","2","6","26421","潘朵拉盒子","在神話中登場，裝滿所有災厄的箱子。在現代則是「不可碰觸之物」的代名詞。","6","25289"
"1","2","2243","6","6","各位先生與女士","22763","33287","各位先生與女士","21508","6","這個的名稱是什麼？","0","2","6","20301","各位生與士","在表演等活動開始前，作為問候，主持人慣例會講的台詞。","6","29983"
"1","2","2244","3","3","Merry christmas","121","114","Merry christmas","77","3","這個的名稱是什麼？","0","2","2","101","Merry","在聖誕節時，會對他人說的祝福話。(請用英文作答)","3","114"
"2","2","2245","3","3","Ready steady go！","121","100","Ready steady go！","82","3","這個的名稱是什麼？","0","2","2","101","Ready","「各就各位，預備，跑！」與此意思相近的英文台詞。","3","97"
"3","2","2246","6","6","今上岳陽樓","27155","38525","","20170","6","空格裡該填入的是？","0","2","6","19978","今上岳陽樓","唐詩的五言律詩之一。杜甫的「登岳陽樓」裡其中一句為「昔聞洞庭水，□□□□□。」","6","23731"
"1","2","2247","6","6","白雪公主與七個小矮人","19971","20027","白雪公主與七個小矮人","30333","6","這個的唸法是什麼？","0","2","6","38634","白雪公主七","經典童話之一。描述公主的母后因為忌妒公主的美麗，而製作毒蘋果讓公主吃下。","6","20844"
"2","2","2248","1","1","1200盧幣","24163","48","1200盧幣","49","1","這個的名稱是什麼？","2248","1","1","50","1200幣","在「鈴奈」的個人劇情裡，請主角幫忙計算的盧幣是多少？","6","48"
"1","2","2249","6","6","阿拉丁神燈","29128","31070","","38463","6","這個的名稱是什麼？","0","2","6","25289","阿拉丁神燈","經典童話之一。故事中有一盞神燈，只要搓一搓神燈便能出現精靈來達成三個願望。","6","19969"
"1","2","2250","6","6","冒號、分號、刪節號","34399","31680","冒號、分號、刪節號","20882","6","這個的名稱是什麼？","0","2","6","20998","冒分刪節號","請問這三個讀法為：「：」「；」「……」","6","21034"
"3","2","2251","3","3","Roger that","114","101","Roger that","82","3","這個的名稱是什麼？","0","2","2","111","Roger","以無線電交談時的規則。對方問「You copy?」的時候要回答什麼？(請用英文作答)","3","103"
"3","2","2252","3","3","Wilco","111","99","","87","3","這個的名稱是什麼？","0","2","2","105","Wilco","軍用術語。「Will comply」代表將會遵循指示進行，其縮寫為？","3","108"
"2","2","2253","6","6","行到水窮處","34389","31406","","34892","6","空格裡該填入的是？","0","2","6","21040","行到水窮處","唐詩的五言律詩之一。王維的「終南別業」裡其中一句為「□□□□□，坐看雲起時。」","6","27700"
"1","2","2254","6","6","讓心愛的孩子出去外面磨練","23376","23401","讓心愛的孩子出去外面磨練","24515","6","這個的名稱是什麼？","0","2","6","24859","心愛的孩子","表達「不過度保護，讓孩子在世上經歷各式各樣的事才是為他們好」的諺語。","6","30340"
"2","2","2255","6","6","白帝彩雲間","38291","38642","","30333","6","空格裡該填入的是？","0","2","6","24093","白帝彩雲間","唐詩的七言絕句之一。李白的「下江陵」裡其中一句為「朝辭□□□□□，千里江陵一日還。」","6","24425"
"3","2","2256","3","3","精神⇒Mental　身體⇒Physical","108","97","精神⇒Mental　身體⇒Physical","101","3","這個的名稱是什麼？","0","2","3","110","ental","","3","116"
"2","2","2257","6","6","別人是別人，我們是我們","20497","25105","","25105","6","這個的名稱是什麼？","0","2","6","20497","我們是我們","「不應拿自己和別人比較並感到嫉妒」一語。常會被拿來對鬧脾氣的孩子說。","6","26159"
"2","2","2258","6","6","什麼在二壘","22744","20108","","20160","6","空格裡該填入的是？","0","2","6","40636","什麼在二壘","有名的相聲段子。「誰在一壘，□□□□□，三壘我不知道。」","6","22312"
"2","2","2259","6","6","不見棺材不落淚","19981","26448","不見棺材不落淚","19981","6","這句諺語是什麼？","0","2","6","35211","不見棺材不","比喻不到徹底失敗的時候不肯罷休","6","26874"
"2","2","2260","6","6","百聞不如一見","35211","19968","百聞不如一見","32862","6","這個的名稱是什麼？","0","2","6","19981","聞不如一見","表示多聽不如親眼看見的可靠。","6","22914"
"2","2","2261","6","6","世紀末風格","26684","39080","","19990","6","這個的名稱是什麼？","0","2","6","32000","世紀末風格","虛構作品中很受歡迎的類別。描述遙遠的未來中荒無又無秩序的世界。是甚麼樣的風格？","6","26411"
"2","2","2262","6","6","異世界轉生風格","29983","36681","異世界轉生風格","30064","6","這個的名稱是什麼？","0","2","6","19990","異世界轉生","近年在虛構作品中很受歡迎的類別。會以主角從現代社會被帶往異世界為開端。","6","30028"
"1","2","2263","3","3","Cheers","115","114","Cheers","104","3","這個的名稱是什麼？","0","2","3","101","heers","外國人乾杯都會說的話。","3","101"
"2","2","2264","6","6","他人看不穿","31359","19981","","20182","6","空格裡該填入的是？","0","2","6","20154","他人看不穿","港片「唐伯虎點秋香」中，有句經典台詞為「世人笑我太瘋癲，我笑□□□□□。」","6","30475"
"2","2","2265","6","6","是很危險的","30340","38570","","26159","6","空格裡該填入的是？","0","2","6","24456","是很危險的","港片「少林足球」中，有句經典台詞為「你快點回火星吧，地球□□□□□。」","6","21361"
"2","2","2266","6","6","你心裡發寒","23506","30332","","20320","6","空格裡該填入的是？","0","2","6","24515","你心裡發寒","港片「賭神」中，有句經典台詞為「他好像永遠對著你笑，笑得□□□□□。」","6","35041"
"2","2","2267","6","6","殺了一個我","25105","20491","","27578","6","空格裡該填入的是？","0","2","6","20102","殺了一個我","港片「功夫」中，有句經典台詞為「我不怕，就算□□□□□，還有千千萬萬個我。」","6","19968"
"3","2","2268","6","6","戀愛的魔法","27861","39764","","25088","6","這是什麼？","2268","1","6","24859","戀愛的魔法","","6","30340"
"3","2","2269","6","6","異世界的魔法","27861","39764","異世界的魔法","30064","6","這是什麼？","2269","1","6","19990","異世界魔法","","6","30028"
"1","2","2270","6","6","疾風之冥姬","23020","20901","","30142","6","這是什麼？","2270","1","6","39080","疾風之冥姬","","6","20043"
"3","2","2271","6","6","由我來征服","26381","24449","","30001","6","這是什麼？","2271","1","6","25105","由我來征服","","6","20358"
"3","2","2272","6","6","已經傍晚了","20102","26202","","24050","6","這是什麼？","2272","1","6","32147","已經傍晚了","","6","20621"
"3","2","2273","6","6","揍扁壞蛋們","20497","34507","","25549","6","這是什麼？","2273","1","6","25153","揍扁壞蛋們","","6","22750"
"2","2","2274","6","6","時間迴圈類型","22411","22280","時間迴圈類型","26178","6","這個的名稱是什麼？","0","2","6","38291","時間迴圈型","虛構作品中頗受歡迎的類別。故事主軸是處於相同時間不停重複的世界中，查明其真相。","6","36852"
"1","2","2275","6","6","尤絲蒂亞娜","23068","20126","","23588","6","這是什麼？","2275","1","6","32114","尤絲蒂亞娜","","6","33922"
"2","2","2276","6","6","歸期未有期","26399","26377","","27512","6","空格裡該填入的是？","0","2","6","26399","歸期未有期","唐詩的七言絕句之一。李商隱的「夜雨寄北」裡其中一句為「君問□□□□□，巴山夜語漲秋池。」","6","26410"
"1","2","2277","6","6","飛舞的少女","22899","23569","","39131","6","這個活動名稱的「？」裡填入的是？","2277","1","6","33310","飛舞的少女","","6","30340"
"1","2","2278","6","6","萬聖節之夜","22812","20043","","33836","6","這個活動名稱的「？」裡填入的是？","2278","1","6","32854","萬聖節之夜","","6","31680"
"2","2","2279","6","6","禊、美美、鏡華","33775","37857","禊、美美、鏡華","31114","6","這個角色是誰？","2279","1","6","32654","禊美美鏡華","身處此活動中心\n地位的三位角色","6","32654"
"2","2","2280","6","6","莫妮卡、智、栞、霞","26654","26234","莫妮卡、智、栞、霞","33707","6","這個角色是誰？","2280","1","6","22958","莫妮卡智栞","身處此活動中心地位的\n四位角色。","6","21345"
"2","2","2281","6","6","靜流、伊緒、空花","33457","31354","靜流、伊緒、空花","27969","6","這個角色是誰？","2281","1","6","20234","流伊緒空花","身處此活動中心地位的\n三位角色。","6","32210"
"2","2","2282","6","6","帆稀、嘉夜、祈梨","26792","31048","帆稀、嘉夜、祈梨","31232","6","這是什麼？","2282","1","6","22025","稀嘉夜祈梨","身處此活動中心地位的\n三位角色。","6","22812"
"2","2","2283","6","6","王宮騎士團","22296","22763","","29579","6","這是什麼？","2283","1","6","23470","王宮騎士團","身處此活動中心地位的\n公會名稱。","6","39438"
"2","2","2284","6","6","綾音、胡桃、千歌","21315","26691","綾音、胡桃、千歌","32190","6","這是什麼？","2284","1","6","38899","綾音胡桃千","身處此活動中心地位的\n三位角色。","6","32993"
"1","2","2285","6","6","墨丘利財團","22296","36001","","22696","6","這個的名稱是什麼？","2285","1","6","19992","墨丘利財團","身處此活動中心地位的\n公會名稱。","6","21033"
"3","2","2286","6","6","可愛的莉瑪","29802","33673","","21487","6","這個的名稱是什麼？","2286","1","6","24859","可愛的莉瑪","","6","30340"
"3","2","2287","6","6","騎著白馬的天才棋士","25165","22825","騎著白馬的天才棋士","30333","6","這個的名稱是什麼？","2287","1","6","39340","白馬的天才","在初次見面時，「碧」太過緊張而亂說出口的謎之話語。","6","30340"
"3","2","2288","6","6","我要按響警報魔石囉！","30707","39764","我要按響警報魔石囉！","38911","6","這個的名稱是什麼？","2019","1","6","35686","響警報魔石","在初次見面時，保持警戒的「鏡華」所說的話。","6","22577"
"3","2","2289","6","6","也成近視者至友","21451","33267","也成近視者至友","36817","6","這個的名稱是什麼？","2289","1","6","35222","近視者至友","教給「胡桃」的咒語，該咒語能夠消除緊張。","6","32773"
"3","2","2290","6","6","有志者事竟成也","31455","20107","有志者事竟成也","26377","6","這個的名稱是什麼？","0","1","6","24535","有志者事竟","交給「胡桃」的咒語：「也成近視者至友」，實際上是從哪一句話變成的？","6","32773"
"3","2","2291","6","6","臨時升降記號","35352","38477","臨時升降記號","33256","6","這個的名稱是什麼？","0","2","6","26178","臨時升降記","在整首曲子中加入額外的升降號，這些升降號稱為？","6","21319"
"1","2","2292","2","2","TEMPO","79","80","","84","2","這個的名稱是什麼？","0","2","2","69","TEMPO","「節奏」的英文。","2","77"
"2","2","2293","6","6","放長線釣大魚","39770","22823","放長線釣大魚","38263","6","這句諺語是什麼？","0","2","6","32218","長線釣大魚","比喻做事會以長遠來打算，雖然不會立即成效，但未來能獲得更大的好處。","6","37347"
"2","2","2294","2","2","MAGNET","84","69","MAGNET","65","2","這個的名稱是什麼？","0","2","2","71","AGNET","「磁鐵」的英文。","2","78"
"1","2","2295","6","6","阿基里斯腱","33137","26031","","38463","6","這個的名稱是什麼？","0","2","6","22522","阿基里斯腱","全身最大的肌腱，位於小腿肌肉至腳跟處。","6","37324"
"1","2","2296","6","6","本是同根生","29983","26681","","26412","6","這個的名稱是什麼？","0","2","6","26159","本是同根生","曹植的「七步詩」：「□□□□□，相煎何太急。」","6","21516"
"1","2","2297","2","2","HOSPITAL","73","80","HOSPITAL","72","2","這個的名稱是什麼？","0","2","2","79","HOSPI","「醫院」的英文。","2","83"
"1","2","2298","2","2","AGAIN","78","73","","65","2","這個的名稱是什麼？","0","2","2","71","AGAIN","「再一次」的英文。","2","65"
"1","2","2299","2","2","AGREE","69","69","","65","2","這個的名稱是什麼？","0","2","2","71","AGREE","「同意」的英文。","2","82"
"1","2","2300","2","2","AIRPORT","82","79","AIRPORT","73","2","這個的唸法是什麼？","0","2","2","82","IRPOR","「機場」的英文。","2","80"
"1","2","2301","2","2","ALMOST","84","83","ALMOST","76","2","這個的唸法是什麼？","0","2","2","77","LMOST","「幾乎」的英文。","2","79"
"1","2","2302","2","2","ALWAYS","83","89","ALWAYS","76","2","這個的唸法是什麼？","0","2","2","87","LWAYS","「總是、經常」的英文。","2","65"
"1","2","2303","2","2","開心=HAPPY  生氣=ANGRY","89","82","開心=HAPPY  生氣=ANGRY","65","2","這個的唸法是什麼？","0","2","2","78","ANGRY","","2","71"
"1","2","2304","2","2","BANANA","65","78","BANANA","65","2","這個的唸法是什麼？","0","2","2","78","ANANA","「香蕉」的英文。","2","65"
"1","2","2305","2","2","BOTTLE","76","84","BOTTLE","66","2","這個的唸法是什麼？","0","2","2","79","BOTTL","「瓶子」的英文。","2","84"
"1","2","2306","2","2","HOUSE","69","83","","72","2","這個的唸法是什麼？","0","2","2","79","HOUSE","「房子」的英文。","2","85"
"1","2","2307","2","2","LEMON","78","79","","76","2","這個的唸法是什麼？","0","2","2","69","LEMON","「檸檬」的英文。","2","77"
"1","2","2308","2","2","LUNCH","72","67","","76","2","這個的唸法是什麼？","0","2","2","85","LUNCH","「午餐」的英文。","2","78"
"1","2","2309","2","2","MARCH","72","67","","77","2","這個的唸法是什麼？","0","2","2","65","MARCH","「三月」的英文。","2","82"
"2","2","2310","2","2","CONCERT","82","69","CONCERT","79","2","這個的唸法是什麼？","0","2","2","78","ONCER","「演唱會」的英文。","2","67"
"1","2","2311","2","2","MUSIC","67","73","","77","2","這個的唸法是什麼？","0","2","2","85","MUSIC","「音樂」的英文。","2","83"
"1","2","2312","2","2","DANCE","69","67","","68","2","這個的唸法是什麼？","0","2","2","65","DANCE","「跳舞」的英文。","2","78"
"2","2","2313","2","2","NEVER","82","69","","78","2","這個的唸法是什麼？","0","2","2","69","NEVER","「從未、永不」的英文。","2","86"
"1","2","2314","2","2","PENCIL","73","67","PENCIL","80","2","這個的唸法是什麼？","0","2","2","69","PENCI","「鉛筆」的英文。","2","78"
"1","2","2315","2","2","SKIRT","84","82","","83","2","這個的唸法是什麼？","0","2","2","75","SKIRT","「裙子」的英文。","2","73"
"2","2","2316","2","2","YOUNG","71","78","","89","2","這個的唸法是什麼？","0","2","2","79","YOUNG","「年輕的」的英文。","2","85"
"1","3","3001","6","6","沙羅曼達之血","34880","36948","沙羅曼達之血","27801","6","這個的名稱是什麼？","0","1","6","32645","沙羅曼達血","此為居住於火山的魔物「沙羅曼達」的血液，有著很高的融解能力。","6","26364"
"2","3","3002","6","6","熾炎戰鬼煉獄血盟暗黑團\n＝The‧Order‧Of‧Gehenna‧Immortals","22296","40657","熾炎戰鬼煉獄血盟暗黑團＝The‧Order‧Of‧Gehenna‧Immortals","34880","6","這個的唸法是什麼？","3002","1","6","30431","血盟暗黑團","「修特帕魯」前世所隸屬的暗黑騎士團。","6","26263"
"2","3","3003","6","6","第一級產業","26989","29986","","31532","6","這個的名稱是什麼？","0","2","6","19968","第一級產業","農業、林業這類生產原料或食材的產業。","6","32026"
"2","3","3005","6","6","第二級產業","26989","29986","","31532","6","這個的名稱是什麼？","0","2","6","20108","第二級產業","工業這類擔任原料加工的產業。","6","32026"
"2","3","3006","6","6","第三級產業","26989","29986","","31532","6","這個的名稱是什麼？","0","2","6","19977","第三級產業","擔任物流、分銷、中介等工作的產業，又稱為服務業。","6","32026"
"3","3","3007","6","6","深淵悠久=翠翔裂空斬（Eternal Abyss=Divider）","26028","31354","深淵悠久=翠翔裂空斬（Eternal Abyss=Divider）","32736","6","這個的名稱是什麼？","0","2","6","32724","翠翔裂空斬","揮舞寄宿在劍上的魔力，將其釋放的魔法。","6","35010"
"3","3","3008","6","6","五分制視力表","21147","35222","五分制視力表","20116","6","這個的名稱是什麼？","0","2","6","20998","五分制視力","關於視力表，數值在4.0-5.3之間稱為？","6","21046"
"3","3","3009","6","6","國際通用視力表","34920","21147","國際通用視力表","36890","6","這個的名稱是什麼？","0","2","6","29992","通用視力表","關於視力表，數值在0.1-2.0之間稱為？","6","35222"
"1","3","3010","6","6","不明飛行物體","29289","34892","不明飛行物體","19981","6","這個的名稱是什麼？","0","2","6","26126","不明飛行物","「UFO（Unidentified Flying Object）」的中文。","6","39131"
"2","3","3011","6","6","伊麗莎白圈","22280","30333","","20234","6","這個的名稱是什麼？","0","2","6","40599","伊麗莎白圈","貓狗在受傷時用以防止牠們舔舐自己的項圈。","6","33678"
"3","3","3012","6","6","惡德伊商會","26371","21830","","24801","6","這個的名稱是什麼？","0","1","6","24503","惡德伊商會","在蘭德索爾活動的邪惡商會。商會的名字同樣也是會長的名字。","6","20234"
"2","3","3016","6","6","冥想、養育動植物","29289","26893","冥想、養育動植物","39178","6","這個問題的答案是？","0","1","6","32946","養育動植物","【美食殿堂】中的「可可蘿」的興趣是什麼？","6","21205"
"2","3","3020","6","6","和貓咪玩耍","32781","29609","","21644","6","這個問題的答案是？","0","1","6","35987","和貓咪玩耍","【美食殿堂】中的「凱留」的興趣是什麼？","6","21674"
"2","3","3026","6","6","蒐集可愛的東西","35199","26481","蒐集可愛的東西","21487","6","這個問題的答案是？","0","1","6","24859","可愛的東西","【小小甜心】中的「美美」的興趣是什麼？","6","30340"
"2","3","3029","6","6","和妹妹一起玩","36215","19968","和妹妹一起玩","21644","6","這個問題的答案是？","0","1","6","22969","和妹妹一起","【森林守衛】中的「初音」的興趣，除了午睡、早睡、回籠覺之外，另一個是什麼？","6","22969"
"2","3","3050","6","6","道路交通法","27861","36890","","36947","6","這個的名稱是什麼？","0","2","6","36335","道路交通法","為防止道路的危險與障礙、實現安全且順暢的交通環境而制定的法律。","6","20132"
"2","3","3051","6","6","勞動基準法","27861","28310","","21214","6","這個的名稱是什麼？","0","2","6","21205","勞動基準法","為保護勞動者而針對契約和報酬等方面訂定最低基準的法律。","6","22522"
"2","3","3053","6","6","兒童福利法","27861","21033","","20818","6","這個的名稱是什麼？","0","2","6","31461","兒童福利法","為實現所有兒童的福祉而制定必要之兒童援助的法律。","6","31119"
"2","3","3054","6","6","建築基準法","27861","28310","","24314","6","這個的名稱是什麼？","0","2","6","31689","建築基準法","針對建築物的設備及構造等項目制定必須達到之最低基準的法律。","6","22522"
"3","3","3063","3","3","A-people","108","112","A-people","112","3","這個謎語的答案是？","0","2","3","101","peopl","腦筋急轉彎：「阿匹婆的英文名字？」","3","111"
"3","3","3064","6","6","心靜自然涼","28092","28982","","24515","6","這個謎語的答案是？","0","2","6","38748","心靜自然涼","冷笑話：「人死後為什麼變得冰涼？」","6","33258"
"3","3","3065","6","6","肘部尺骨端","31471","39592","","32920","6","這個的名稱是什麼？","0","2","6","37096","肘部尺骨端","一般人對撞到手肘時會麻痺的那個部位的稱呼。","6","23610"
"2","3","3066","6","6","交朋友的想像訓練","20687","24819","交朋友的想像訓練","20132","6","這個問題的答案是？","0","1","6","26379","交朋友想像","【森林守衛】中的「碧」的興趣是什麼？","6","21451"
"2","3","3067","6","6","兩個人一起去野餐","36215","19968","兩個人一起去野餐","20841","6","這個問題的答案是？","0","1","6","20491","兩個人一起","【森林守衛】與【伊麗莎白牧場】中的「初音&栞」，兩人的興趣是什麼？","6","20154"
"2","3","3068","6","6","和強敵之間的競爭","29229","31478","和強敵之間的競爭","20043","6","這個問題的答案是？","0","1","6","38291","之間的競爭","【王宮騎士團】中的「克莉絲提娜」的興趣是什麼？","6","30340"
"3","3","3069","6","6","英雄扮演遊戲","25138","36938","英雄扮演遊戲","33521","6","這個問題的答案是？","0","1","6","38596","英雄扮遊戲","【王宮騎士團】中的「茉莉」的興趣是什麼？","6","25198"
"3","3","3070","6","6","能在房間裡玩的遊戲","30340","29609","能在房間裡玩的遊戲","25151","6","這個問題的答案是？","0","1","6","38291","房間裡玩的","【咲戀育幼院】中的「綾音」的興趣是什麼？","6","35041"
"3","3","3073","6","6","傭兵等等的打工","24037","25171","傭兵等等的打工","20653","6","這個問題的答案是？","0","1","6","20853","傭兵的打工","【墨丘利財團】中的「美冬」的興趣是什麼？","6","30340"
"2","3","3074","6","6","和貓咪玩耍","32781","29609","","21644","6","這個問題的答案是？","0","1","6","35987","和貓咪玩耍","【墨丘利財團】中的「珠希」的興趣是什麼？","6","21674"
"2","3","3075","6","6","看戀愛小說","35498","23567","","30475","6","這個問題的答案是？","0","1","6","25088","看戀愛小說","【月光學院】中的「伊緒」，興趣除了戀愛漫畫、戀愛劇之外，另一個是什麼？","6","24859"
"3","3","3076","6","6","蒐集化妝品","21697","22941","","33936","6","這個問題的答案是？","0","1","6","38598","蒐集化妝品","【月光學院】中的「美咲」，興趣除了閱讀流行雜誌之外，另一個是什麼？","6","21270"
"1","3","3077","6","6","欣賞鏡中的自己","24049","33258","欣賞鏡中的自己","37857","6","這個問題的答案是？","0","1","6","20013","鏡中的自己","【純白之翼 蘭德索爾分部】中的「雪」的興趣是什麼？","6","30340"
"3","3","3078","3","3","The Hanged Man=倒吊人","100","101","The Hanged Man=倒吊人","97","3","這個的名稱是什麼？","0","2","3","110","anged","塔羅牌大阿爾克那的其中一張。也叫作「死刑犯」。","3","103"
"3","3","3079","6","6","淑女自行車","36554","34892","","28113","6","這個的名稱是什麼？","0","2","6","22899","淑女自行車","市面上流通最廣的腳踏車的俗稱。源於彎形把手等設計讓婦女也便於騎乘的特色。","6","33258"
"3","3","3080","6","6","蒐集漂亮的葉子","23376","33865","蒐集漂亮的葉子","28418","6","這個問題的答案是？","0","1","6","20142","漂亮的葉子","「亞里莎」的興趣是什麼？","6","30340"
"2","3","3081","6","6","日光節約時間制","38291","26178","日光節約時間制","20809","6","這個的名稱是什麼？","0","2","6","31680","光節約時間","在部分地區會採用的「夏季的時間提前一小時」的制度。也叫作「夏令時間」。","6","32004"
"1","3","3082","3","3","Piano","111","110","","80","3","這個的名稱是什麼？","0","1","2","105","Piano","「古蕾婭」的興趣是「鋼琴」，其英文為？","3","97"
"3","3","3083","3","3","Subscription","112","105","Subscription","115","3","這個的名稱是什麼？","0","2","3","99","scrip","近年很熱門的「Sub」制，未經省略的全稱是？","3","114"
"3","3","3084","6","6","UMA=未確認生物體","29289","29983","UMA=未確認生物體","26410","6","這個的寫法是什麼？","0","2","6","30906","未確認生物","意指槌之子和雪男這類存在的「UMA」，用漢字怎麼寫？","6","35469"
"1","3","3085","6","6","找「朋友」之事","20107","20043","找「朋友」之事","25214","6","這個問題的答案是？","0","1","6","26379","找朋友之事","「露娜」的興趣是什麼？","6","21451"
"2","3","3086","6","6","誰做的巧克力","21147","20811","誰做的巧克力","35504","6","這個小遊戲的「？」裡填入的是？","3086","1","6","20570","誰做巧克力","","6","24039"
"2","3","3087","6","6","空花大迴轉","36681","36852","","31354","6","這個小遊戲的「？」裡填入的是？","3087","1","6","33457","空花大迴轉","","6","22823"
"2","3","3088","6","6","香織的靈魂式","24335","39746","香織的靈魂式","39321","6","這個小遊戲的「？」裡填入的是？","3088","1","6","32340","香織靈魂式","","6","38728"
"2","3","3089","6","6","龍人們的接龍競賽","40845","25509","龍人們的接龍競賽","40845","6","這個小遊戲的「？」裡填入的是？","3089","1","6","20154","龍人們接龍","","6","20497"
