e82db369f3bbe3ba76ab5b5196e43fdb20684b46cb00a6e8dffea8c3dbbbdb1f,68827ae8d493c69735a42ba13fc8e44f7b2cf63c133e963ad4febf26e272feb9,90be7cc2709115031503338d9a84445ee4fa5963c62a618bee536201355e1bcd,ba8e9209cd67580b83e3b4afe163871fb3ec267f46556b85d4a218b22e72dc24,6db26a509b9091dfb73d933a50a3399d99345b85e4ddcbf7c38ee27cc6175bfc,bc34bed36e7b79d7bc827457327386d80b65cf7de20f440cf4084c0851b326d0,7bd236e9f196c29e094b5ea9538072772393140218996e2a380243cb68435931,6af5d6c14d8ce1a717ccec1db7bb2491916062233c7732f4e7e8d809df06ffe6,03615f436f5f7b90408aba2be1207ff87bb267a84a1281713ce667112698fb93,a3be463720792df16f2d67ba334b733fd0897b62e8692ea1e08587948b736e99,21cefaf352ec447de9ea007b945e9f3fd02102dbf99d1b1b47c03fccd7ad3651
"3","","0.2","3","131120045","","round_monster_idle","1","3112","",""
"0.4","","","93","131120046","","0","","3112","",""
"1000001","","","2","131120047","0","0","-250","3112","0",""
"1000001","","","3","131120048","","escape","1","3112","",""
"1000001","","","2","131120049","1","-600","-250","3112","0",""
"1","","","93","131120050","","0","","3112","",""
"1000001","","0.2","6","131120051","1","1","1","3112","0",""
"0.4","","","93","131120052","","0","","3112","",""
"2","","","113","131120053","","0","","3112","",""
"311300","","0","31","131130001","0","311300","345.4","3113","1",""
"0","","","91","131130002","","","","3113","",""
"1000001","","0.2","3","131130003","","wait_gradeUp","0","3113","",""
"311300","","","32","131130004","","1","","3113","",""
"0.1","","","93","131130005","","0","","3113","",""
"3","","","32","131130006","","0","","3113","",""
"0.8","","","93","131130007","","0","","3113","",""
"1.05","","0","123","131130008","1.05","1.05","1.05","3113","0",""
"5","","","122","131130009","","5","0.5","3113","",""
"1.1","","","93","131130010","","0","","3113","",""
"1.05","","0","123","131130011","1.05","1.05","1.05","3113","0",""
"10","","","122","131130012","","10","0.5","3113","",""
"0.8","","","93","131130013","","0","","3113","",""
"1000001","","0.2","3","131130014","","glad_dot_light","0","3113","",""
"0.1","","","93","131130015","","0","","3113","",""
"0.907","","5","123","131130016","0.907","0.907","0.907","3113","0.4",""
"1","","","93","131130017","","0","","3113","",""
"1000001","","0.2","3","131130018","","disappoint","0","3113","",""
"1","","","93","131130019","","0","","3113","",""
"2","","","113","131130020","","","","3113","",""
"311400","","0","31","131140001","0","311400","345.4","3114","1",""
"0","","","91","131140002","","","","3114","",""
"1.05","","0","123","131140003","1.05","1.05","1.05","3114","7.4",""
"1000001","","0.2","3","131140004","","wait","0","3114","",""
"311400","","","32","131140005","","1","","3114","",""
"0.1","","","93","131140006","","0","","3114","",""
"2","","","32","131140007","","0","","3114","",""
"3.4","","","93","131140008","","0","","3114","",""
"0.95","","5","123","131140009","0.95","0.95","0.95","3114","3.2",""
"1000001","","0.1","3","131140010","shock_short_loop","shock_short_in","0","3114","1","0"
"1.4","","","93","131140011","","0","","3114","",""
"1000001","","0.2","3","131140012","","disappoint","0","3114","",""
"0.7","","","93","131140013","","0","","3114","",""
"2","","","113","131140014","","","","3114","",""
"312100","","0","31","131210001","0","312100","345.4","3121","1",""
"0","","","91","131210002","","","","3121","",""
"1.05","","0","123","131210003","1.05","1.05","1.05","3121","7.4",""
"1000001","","0.2","3","131210004","","wait","0","3121","",""
"2","","","35","131210005","","1","","3121","",""
"se_travel","","","23","131210006","","se_travel_treasure_big_rock","0","3121","",""
"3.7","","","93","131210007","","0","","3121","",""
"312100","","","32","131210008","","1","","3121","",""
"15","","","122","131210009","","15","0.65","3121","",""
"0.5","","","93","131210010","","0","","3121","",""
"20","","","122","131210011","","20","3.2","3121","",""
"1000001","","0.2","3","131210012","","shock_jump_short","0","3121","",""
"0","","","91","131210013","","0","","3121","",""
"1000001","","0","3","131210014","","escape","1","3121","",""
"1000001","","","2","131210015","2","-880","-240","3121","0",""
"0.8","","","93","131210016","","0","","3121","",""
"2","","","113","131210017","","","","3121","",""
"1000001","","0.2","3","131220001","","idle","1","3122","",""
"312200","","0","31","131220002","-65","11","345","3122","1",""
"312201","","0","31","131220003","-65","12","345","3122","1",""
"0","","","91","131220004","","","","3122","",""
"1.05","","0","123","131220005","1.05","1.05","1.05","3122","6.8","0"
"1000001","","0.2","3","131220006","","wait","0","3122","",""
"2","","","35","131220007","","1","","3122","",""
"4","","","93","131220008","","0","","3122","",""
"0.95","","0","123","131220009","0.95","0.95","0.95","3122","0.4",""
"11","","","32","131220010","","1","","3122","",""
"12","","","32","131220011","","1","","3122","",""
"1000001","","","3","131220012","","arrow_panic","0","3122","",""
"2.7","","","93","131220013","","0","","3122","",""
"2","","","113","131220014","","0","","3122","",""
"6","","0","31","131230001","0","6","345.4","3123","1",""
"7","","0","31","131230002","0","7","345.4","3123","1",""
"310000","","0","31","131230003","0","310000","345.4","3123","1",""
"312300","","0","31","131230004","0","312300","345.4","3123","1",""
"990001","","1","31","131230005","0","990001","345.4","3123","1",""
"4","reward_loop","1.1","5","131230006","345","14","14","3123","-180","0"
"0","","","91","131230007","","","","3123","",""
"1.05","","0","123","131230008","1.05","1.05","1.05","3123","7.4",""
"1000001","","0.2","3","131230009","","wait","0","3123","",""
"2","","","35","131230010","","1","","3123","",""
"4.9","","","93","131230011","","0","","3123","",""
"30","","","122","131230012","","30","0.4","3123","",""
"312300","","","32","131230013","","1","","3123","",""
"6","","","32","131230014","","1","","3123","",""
"0.1","","","93","131230015","","0","","3123","",""
"2","","","32","131230016","","0","","3123","",""
"3","","","32","131230017","","0","","3123","",""
"1000001","","","3","131230018","","dotEyes_noEmotion","0","3123","",""
"vo_travel_round_event","","","21","131230019","0","vo_travel_round_event_3123","0","3123","",""
"2.5","","","93","131230020","","0","","3123","",""
"7","","","32","131230021","","1","","3123","",""
"0.1","","","93","131230022","","0","","3123","",""
"6","","","32","131230023","","0","","3123","",""
"0.2","","","93","131230024","","0","","3123","",""
"0.95","","0","123","131230025","0.95","0.95","0.95","3123","0.3",""
"310000","","","32","131230026","","1","","3123","",""
"0.2","","","93","131230027","","0","","3123","",""
"50","","","122","131230028","","50","0.6","3123","",""
"1.6","","","93","131230029","","0","","3123","",""
"2","","","113","131230030","","","","3123","",""
"312400","","0","31","131240001","0","312400","345.4","3124","1",""
"8","","0","31","131240002","0","8","345.4","3124","1",""
"8","","","35","131240003","","0","","3124","",""
"8","","","32","131240004","","1","","3124","",""
"990002","","1","31","131240005","0","990002","345.4","3124","1",""
"2","empty","0.5","5","131240006","345.4","3124","56","3124","-240","0"
"0","","","91","131240007","","","","3124","",""
"1.05","","0","123","131240008","1.05","1.05","1.05","3124","7.4",""
"1000001","","0.2","3","131240009","","wait","0","3124","",""
"2","","","35","131240010","","1","","3124","",""
"5.4","","","93","131240011","","0","","3124","",""
"312400","","","32","131240012","","1","","3124","",""
"0.1","","","93","131240013","","0","","3124","",""
"2","","","32","131240014","","0","","3124","",""
"0.95","","0","123","131240015","0.95","0.95","0.95","3124","0.4",""
"1000001","","0.2","3","131240016","","glad","0","3124","",""
"3124","","0","3","131240017","","drop","0","3124","",""
"0.7","","","93","131240018","","0","","3124","",""
"1000001","","0.2","3","131240019","","joy_short","0","3124","",""
"0.7","","","93","131240020","","0","","3124","",""
"3124","","0","3","131240021","","shock","0","3124","",""
"0.8","","","93","131240022","","0","","3124","",""
"1000001","","0.2","3","131240023","","shock_jump_mimic","0","3124","0",""
"2.4","","","93","131240024","","0","","3124","",""
"2","","","113","131240025","","","","3124","",""
"320000","","0","31","132000001","0","320000","345.4","3200","1",""
"110","","0","31","132000002","0","110","345.4","3200","1",""
"111","","0","31","132000003","0","111","345.4","3200","1",""
"990001","","1","31","132000004","0","990001","345.4","3200","1",""
"0","","","91","132000005","","","","3200","",""
"1.05","","0","123","132000006","1.05","1.05","1.05","3200","7.4",""
"1000001","","0.2","3","132000007","","wait","0","3200","",""
"2","","","35","132000008","","1","","3200","",""
"5.4","","","93","132000009","","0","","3200","",""
"1000001","","0.2","3","132000010","","glad","0","3200","",""
"320000","","","32","132000011","","1","","3200","",""
"1","","","93","132000012","","0","","3200","",""
"0.95","","5","123","132000013","0.95","0.95","0.95","3200","0.8",""
"110","","","32","132000014","","1","","3200","",""
"111","","","32","132000015","","1","","3200","",""
"0.1","","","93","132000016","","0","","3200","",""
"2","","","32","132000017","","0","","3200","",""
"3","","","32","132000018","","0","","3200","",""
"1.1","","","93","132000019","","0","","3200","",""
"1000001","","0.2","3","132000020","joy_round3_loop","joy_round3_in","0","3200","1","0"
"0.5","","","93","132000021","","0","","3200","",""
"998","","","32","132000022","","1","","3200","",""
"5.2","","","93","132000023","","0","","3200","",""
"1","","","113","132000024","","","","3200","",""
"320000","","0","31","132010001","0","320000","345.4","3201","1",""
"110","","0","31","132010002","0","110","345.4","3201","1",""
"111","","0","31","132010003","0","111","345.4","3201","1",""
"990002","","1","31","132010004","0","990002","345.4","3201","1",""
"0","","","91","132010005","","","","3201","",""
"1.05","","0","123","132010006","1.05","1.05","1.05","3201","7.4",""
"1000001","","0.2","3","132010007","","wait","0","3201","",""
"2","","","35","132010008","","1","","3201","",""
"5.4","","","93","132010009","","0","","3201","",""
"1000001","","0.2","3","132010010","","glad","0","3201","",""
"320000","","","32","132010011","","1","","3201","",""
"1","","","93","132010012","","0","","3201","",""
"0.95","","5","123","132010013","0.95","0.95","0.95","3201","0.8",""
"110","","","32","132010014","","1","","3201","",""
"111","","","32","132010015","","1","","3201","",""
"0.1","","","93","132010016","","0","","3201","",""
"2","","","32","132010017","","0","","3201","",""
"3","","","32","132010018","","0","","3201","",""
"1.1","","","93","132010019","","0","","3201","",""
"1000001","","0.2","3","132010020","joy_round3_loop","joy_round3_in","0","3201","1","0"
"0.5","","","93","132010021","","0","","3201","",""
"998","","","32","132010022","","1","","3201","",""
"5.2","","","93","132010023","","0","","3201","",""
"1","","","113","132010024","","","","3201","",""
"320000","","0","31","132020001","0","320000","345.4","3202","1",""
"320001","","0","31","132020002","0","320001","345.4","3202","1",""
"110","","0","31","132020003","0","110","345.4","3202","1",""
"111","","0","31","132020004","0","111","345.4","3202","1",""
"990003","","1","31","132020005","0","990003","345.4","3202","1",""
"0","","","91","132020006","","","","3202","",""
"1.05","","0","123","132020007","1.05","1.05","1.05","3202","7.4",""
"1000001","","0.2","3","132020008","","wait","0","3202","",""
"320001","","","32","132020009","","1","","3202","",""
"0.1","","","93","132020010","","0","","3202","",""
"2","","","32","132020011","","0","","3202","",""
"5.3","","","93","132020012","","0","","3202","",""
"1000001","","0.2","3","132020013","","glad","0","3202","",""
"320000","","","32","132020014","","1","","3202","",""
"1","","","93","132020015","","0","","3202","",""
"0.95","","5","123","132020016","0.95","0.95","0.95","3202","0.8",""
"110","","","32","132020017","","1","","3202","",""
"111","","","32","132020018","","1","","3202","",""
"0.1","","","93","132020019","","0","","3202","",""
"320001","","","32","132020020","","0","","3202","",""
"3","","","32","132020021","","0","","3202","",""
"1.1","","","93","132020022","","0","","3202","",""
"1000001","","0.2","3","132020023","joy_round3_loop","joy_round3_in","0","3202","1","0"
"0.5","","","93","132020024","","0","","3202","",""
"998","","","32","132020025","","1","","3202","",""
"5.2","","","93","132020026","","0","","3202","",""
"1","","","113","132020027","","","","3202","",""
"6","","0","31","132110001","0","6","345.4","3211","1",""
"7","","0","31","132110002","0","7","345.4","3211","1",""
"8","","0","31","132110003","0","8","345.4","3211","1",""
"111","","0","31","132110004","0","111","345.4","3211","1",""
"110","","0","31","132110005","0","110","345.4","3211","1",""
"321100","","0","31","132110006","0","321100","345.4","3211","1",""
"321101","","0","31","132110007","0","321101","345.4","3211","1",""
"321102","","0","31","132110008","0","321102","345.4","3211","1",""
"3","appear","1.3","5","132110009","8000","13","55","3211","0","0"
"2","03_run","0.89","1","132110010","8000","100711","56","3211","-250","1"
"0","","","91","132110011","","","","3211","",""
"13","","0","6","132110012","1","1","1","3211","0","0"
"13","","","2","132110013","0","95","-250","3211","0",""
"100711","","","2","132110014","0","1100","-250","3211","0",""
"1.05","","0","123","132110015","1.05","1.05","1.05","3211","7.4",""
"1000001","","0.2","3","132110016","","wait","0","3211","",""
"2","","","35","132110017","","1","","3211","",""
"4.9","","","93","132110018","","0","","3211","",""
"0.95","","0","123","132110019","0.95","0.95","0.95","3211","0.3",""
"se_travel","","","23","132110020","","se_travel_treasure_ghost_special_success","0","3211","",""
"8","","","32","132110021","","1","","3211","",""
"8","","","35","132110022","","0","","3211","",""
"6","","","32","132110023","","1","","3211","",""
"0.1","","","93","132110024","","0","","3211","",""
"2","","","32","132110025","","0","","3211","",""
"3","","","32","132110026","","0","","3211","",""
"1000001","","0.2","3","132110027","","dotEyes","0","3211","",""
"0.3","","","93","132110028","","0","","3211","",""
"13","","","3","132110029","","appear","0","3211","",""
"13","","0","6","132110030","1","1","1","3211","1","0"
"0.67","","","93","132110031","","0","","3211","",""
"1000001","","","3","132110032","","shock_jump","0","3211","",""
"1000001","","","2","132110033","1","70","-250","3211","0",""
"1.1","","","93","132110034","","0","","3211","",""
"1000001","","","3","132110035","","escape","1","3211","",""
"1000001","","","2","132110036","1.2","-350","-250","3211","0",""
"13","","","3","132110037","","march_pudding","0","3211","",""
"7","","","32","132110038","","1","","3211","",""
"0.1","","","93","132110039","","0","","3211","",""
"6","","","32","132110040","","0","","3211","",""
"0.3","","","93","132110041","","0","","3211","",""
"321100","","","32","132110042","","1","","3211","",""
"0.4","","","93","132110043","","0","","3211","",""
"100711","","","2","132110044","1.1","630","-250","3211","0",""
"0.9","","","93","132110045","","0","","3211","",""
"vo_travel_round_event","","","21","132110046","0","vo_travel_round_event_3211","1","3211","",""
"0.2","","","93","132110047","","0","","3211","",""
"100711","","","3","132110048","","03_idle","1","3211","","0"
"0.3","","","93","132110049","","0","","3211","",""
"100711","","0.2","3","132110050","03_idle","03_attack","0","3211","","0.2"
"321101","","","32","132110051","","1","","3211","",""
"1000001","","","3","132110052","","run","1","3211","",""
"1000001","","","4","132110053","","0","","3211","",""
"1000001","","","2","132110054","2","70","-250","3211","0",""
"0.6","","","93","132110055","","0","","3211","",""
"321102","","","32","132110056","","1","","3211","",""
"110","","","32","132110057","","1","","3211","",""
"111","","","32","132110058","","1","","3211","",""
"0.1","","","93","132110059","","0","","3211","",""
"7","","","32","132110060","","0","","3211","",""
"1.2","","","93","132110061","","0","","3211","",""
"8","","","32","132110062","","0","","3211","",""
"0.1","","","93","132110063","","0","","3211","",""
"100711","","0.2","3","132110064","","03_joy_short","0","3211","",""
"1000001","","0.2","3","132110065","joy_round3_loop","joy_round3_in","0","3211","1","0.2"
"998","","","32","132110066","","1","","3211","",""
"0.7","","","93","132110067","","0","","3211","",""
"13","","","3","132110068","","pudding_loop","1","3211","",""
"4.5","","","93","132110069","","0","","3211","",""
"1","","","113","132110070","","","","3211","",""
"1000001","","0.2","3","132120001","","idle","1","3212","",""
"301200","","0","31","132120002","0","13","0","3212","1",""
"101","","0","31","132120003","0","14","0","3212","1",""
"301204","","0","31","132120004","-150","16","260","3212","1",""
"301204","","0","31","132120005","-120","19","320","3212","1",""
"301205","","0","31","132120006","0","17","0","3212","1",""
"6","","0","31","132120007","0","18","345.4","3212","1",""
"301201","","0","31","132120008","0","20","345.4","3212","1",""
"301202","","0","31","132120009","0","21","345.4","3212","1",""
"111","","0","31","132120010","0","111","345.4","3212","1",""
"111","","","35","132120011","","0","","3212","",""
"110","","0","31","132120012","0","110","345.4","3212","1",""
"1","round_monster_walk","1","5","132120013","9340","3","55","3212","-234","0"
"0","","","91","132120014","","","","3212","",""
"3","","0","6","132120015","1","1","1","3212","0","0"
"3","","0","2","132120016","0","345","-234","3212","0","0"
"1.05","","0","123","132120017","1.05","1.05","1.05","3212","7.4","0"
"1000001","","0.2","3","132120018","","wait","0","3212","",""
"2","","","35","132120019","","1","","3212","",""
"301203","","0","31","132120020","0","15","0","3212","1",""
"2","<weapon>_run","0.89","1","132120021","9340","1000003","57","3212","-250","0"
"2","<weapon>_run","0.89","1","132120022","9340","1000004","58","3212","-290","0"
"4.3","","","93","132120023","","0","","3212","",""
"0.95","","0","123","132120024","0.95","0.95","0.95","3212","0.4",""
"21","","","32","132120025","","1","","3212","",""
"21","","","35","132120026","","0","","3212","",""
"se_travel","","","23","132120027","","se_travel_treasure_success_monster_helper_2","","3212","",""
"18","","","32","132120028","","1","","3212","",""
"0.1","","","93","132120029","","0","","3212","",""
"2","","","32","132120030","","0","","3212","",""
"3","","0.3","6","132120031","1","1","1","3212","1","0"
"13","","","32","132120032","","1","","3212","",""
"3","","","3","132120033","","round_monster_appear","0","3212","",""
"1000001","","","3","132120034","","back","0","3212","",""
"0.67","","","93","132120035","","0","","3212","",""
"3","","0.1","3","132120036","","round_monster_walk","0","3212","",""
"3","","","2","132120037","1.4","220","-234","3212","0",""
"20","","","32","132120038","","1","","3212","",""
"0.1","","","93","132120039","","0","","3212","",""
"18","","","32","132120040","","0","","3212","",""
"0.5","","","93","132120041","","0","","3212","",""
"1000003","","","4","132120042","","1","","3212","",""
"1000003","","","2","132120043","0","1545","-240","3212","0",""
"1000004","","","4","132120044","","1","","3212","",""
"1000004","","","2","132120045","0","1635","-280","3212","0",""
"0.5","","","93","132120046","","0","","3212","",""
"3","","0.3","3","132120047","","round_monster_attack","0","3212","",""
"0.5","","","93","132120048","","0","","3212","",""
"17","","","32","132120049","","1","","3212","",""
"1000001","","0.1","3","132120050","","back_loop","0","3212","",""
"0.5","","","93","132120051","","0","","3212","",""
"1000003","","","2","132120052","0","920","-240","3212","0",""
"1000003","","","2","132120053","0.16","620","-240","3212","0",""
"1000003","","0.2","3","132120054","","<weapon>_run","0","3212","",""
"0.16","","","93","132120055","","0","","3212","",""
"1000003","","0.2","3","132120056","","<weapon>_attack_skipQuest","0","3212","",""
"0.1","","","93","132120057","","0","","3212","",""
"3","","","2","132120058","0","280","-234","3212","0",""
"3","","","4","132120059","","1","","3212","",""
"3","","0","3","132120060","","round_monster_die","0","3212","",""
"16","","","32","132120061","","1","","3212","",""
"0.15","","","93","132120062","","0","","3212","",""
"1000004","","","2","132120063","0","910","-280","3212","0",""
"1000004","","","2","132120064","0.16","710","-280","3212","0",""
"1000004","","0.2","3","132120065","","<weapon>_run","0","3212","",""
"0.16","","","93","132120066","","0","","3212","",""
"1000004","","0.2","3","132120067","","<weapon>_attack_skipQuest","0","3212","",""
"0.1","","","93","132120068","","0","","3212","",""
"0.1","","","93","132120069","","0","","3212","",""
"3","","0","3","132120070","","round_monster_die","0","3212","",""
"19","","","32","132120071","","1","","3212","",""
"0.4","","","93","132120072","","0","","3212","",""
"1000001","","","2","132120073","0","20","-240","3212","0",""
"1000001","","0","3","132120074","","back_origin","0","3212","",""
"1000001","","0.2","3","132120075","","surprise","0","3212","",""
"1000003","","0.2","3","132120076","","<weapon>_idle","1","3212","",""
"0.2","","","93","132120077","","0","","3212","",""
"110","","","32","132120078","","1","","3212","",""
"111","","","32","132120079","","1","","3212","",""
"0.2","","","93","132120080","","0","","3212","",""
"1000004","","0.2","3","132120081","","<weapon>_idle","1","3212","",""
"0.46","","","93","132120082","","0","","3212","",""
"3","","0.6","6","132120083","1","1","1","3212","0",""
"18","","","32","132120084","","1","","3212","",""
"0.02","","","93","132120085","","0","","3212","",""
"20","","","32","132120086","","0","","3212","",""
"21","","","32","132120087","","0","","3212","",""
"1000001","","0.2","3","132120088","joy_round3_loop","joy_round3_in","0","3212","1",""
"0.1","","","93","132120089","","0","","3212","",""
"1000003","","0","3","132120090","","<weapon>_joy_short","0","3212","",""
"0.1","","","93","132120091","","0","","3212","",""
"1000004","","0","3","132120092","","<weapon>_joy_short","0","3212","",""
"0.9","","","93","132120093","","0","","3212","",""
"998","","","32","132120094","","1","","3212","",""
"3.8","","","93","132120095","","0","","3212","",""
"1","","","113","132120096","","0","","3212","",""
"321300","","0","31","132130001","0","321300","345.4","3213","1",""
"111","","0","31","132130002","0","111","345.4","3213","1",""
"111","","","35","132130003","","0","","3213","",""
"110","","0","31","132130004","0","110","345.4","3213","1",""
"0","","","91","132130005","","","","3213","",""
"1000001","","0.2","3","132130006","","wait_gradeUp","0","3213","",""
"321300","","","32","132130007","","1","","3213","",""
"0.1","","","93","132130008","","0","","3213","",""
"2","","","32","132130009","","0","","3213","",""
"0.8","","","93","132130010","","0","","3213","",""
"1.05","","0","123","132130011","1.05","1.05","1.05","3213","0",""
"5","","","122","132130012","","5","0.5","3213","",""
"1.1","","","93","132130013","","0","","3213","",""
"1.05","","0","123","132130014","1.05","1.05","1.05","3213","0",""
"10","","","122","132130015","","10","0.5","3213","",""
"0.8","","","93","132130016","","0","","3213","",""
"1000001","","0.2","3","132130017","","glad_dot_light","0","3213","",""
"0.1","","","93","132130018","","0","","3213","",""
"0.907","","5","123","132130019","0.907","0.907","0.907","3213","0.4",""
"1.5","","","93","132130020","","0","","3213","",""
"20","","","122","132130021","","20","0.7","3213","",""
"1.4","","","93","132130022","","0","","3213","",""
"110","","","32","132130023","","1","","3213","",""
"111","","","32","132130024","","1","","3213","",""
"1.2","","","93","132130025","","0","","3213","",""
"1000001","","0.2","3","132130026","joy_round3_loop","joy_round3_in","0","3213","1","0"
"0.3","","","93","132130027","","0","","3213","",""
"998","","","32","132130028","","1","","3213","",""
"3.8","","","93","132130029","","0","","3213","",""
"1","","","113","132130030","","","","3213","",""
"321400","","0","31","132140001","0","321400","345.4","3214","1",""
"2","05_idle","0.89","1","132140002","1088","103111","57","3214","-240","1"
"110","","0","31","132140003","0","110","345.4","3214","1",""
"111","","0","31","132140004","0","111","345.4","3214","1",""
"0","","","91","132140005","","","","3214","",""
"1.05","","0","123","132140006","1.05","1.05","1.05","3214","7.4",""
"1000001","","0.2","3","132140007","","wait","0","3214","",""
"321400","","","32","132140008","","1","","3214","",""
"0.1","","","93","132140009","","0","","3214","",""
"2","","","32","132140010","","0","","3214","",""
"3.4","","","93","132140011","","0","","3214","",""
"0.95","","5","123","132140012","0.95","0.95","0.95","3214","3.2",""
"1000001","","0.2","3","132140013","","shock_jump_aura","0","3214","",""
"0.1","","","93","132140014","","0","","3214","",""
"1000001","","","2","132140015","0.6","70","-240","3214","2",""
"0.5","","","93","132140016","","0","","3214","",""
"103111","","0","3","132140017","","05_run_gamestart","1","3214","",""
"103111","","","2","132140018","0.5","586","-240","3214","0",""
"0.5","","","93","132140019","","0","","3214","",""
"103111","","0.2","3","132140020","","05_idle","1","3214","",""
"0.5","","","93","132140021","","0","","3214","",""
"103111","","0.2","3","132140022","05_idle","shinobu_exorcise","0","3214","1","0"
"vo_travel_round_event","","","21","132140023","0","vo_travel_round_event_3214","0","3214","",""
"1","","","93","132140024","","0","","3214","",""
"110","","","32","132140025","","1","","3214","",""
"111","","","32","132140026","","1","","3214","",""
"0.1","","","93","132140027","","0","","3214","",""
"3","","","32","132140028","","0","","3214","",""
"1.1","","","93","132140029","","0","","3214","",""
"1000001","","0.2","3","132140030","joy_round3_loop","joy_round3_in","0","3214","1","0"
"103111","","0.2","3","132140031","","05_joy_short","0","3214","",""
"0.5","","","93","132140032","","0","","3214","",""
"998","","","32","132140033","","1","","3214","",""
"3.8","","","93","132140034","","0","","3214","",""
"1","","","113","132140035","","","","3214","",""
"321500","","1","31","132150001","0","321500","345.4","3215","1",""
"321501","","1","31","132150002","0","321501","345.4","3215","1",""
"120","","0","31","132150003","0","120","345.4","3215","1",""
"121","","0","31","132150004","0","121","345.4","3215","1",""
"990001","","1","31","132150005","0","990001","345.4","3215","1",""
"0","","","91","132150006","","","","3215","",""
"1.05","","0","123","132150007","1.05","1.05","1.05","3215","7.4",""
"1000001","","0.2","3","132150008","","wait_wakuwaku","0","3215","",""
"2","","","35","132150009","","1","","3215","",""
"5.2","","","93","132150010","","0","","3215","",""
"0.95","","5","123","132150011","0.95","0.95","0.95","3215","0.8",""
"120","","","32","132150012","","1","","3215","",""
"121","","","32","132150013","","1","","3215","",""
"0.1","","","93","132150014","","0","","3215","",""
"321501","","","32","132150015","","0","","3215","",""
"2","","","32","132150016","","0","","3215","",""
"3","","","32","132150017","","0","","3215","",""
"998","","","32","132150018","","1","","3215","",""
"0.4","","","93","132150019","","0","","3215","",""
"1000001","","0.2","3","132150020","","dance","1","3215","",""
"4.8","","","93","132150021","","0","","3215","",""
"1","","","113","132150022","","","","3215","",""
"6","","0","31","132160001","0","6","345.4","3216","1",""
"8","","0","31","132160002","0","8","345.4","3216","1",""
"110","","0","31","132160003","0","110","345.4","3216","1",""
"111","","0","31","132160004","0","111","345.4","3216","1",""
"301600","","0","31","132160005","-80","301600","345.4","3216","1",""
"990002","","1","31","132160006","0","990002","345.4","3216","1",""
"0","","","91","132160007","","","","3216","",""
"1.05","","0","123","132160008","1.05","1.05","1.05","3216","7.4",""
"1000001","","0.2","3","132160009","","wait","0","3216","",""
"2","","","35","132160010","","1","","3216","",""
"5.4","","","93","132160011","","0","","3216","",""
"0.95","","0","123","132160012","0.95","0.95","0.95","3216","0.4",""
"8","","","32","132160013","","1","","3216","",""
"8","","","35","132160014","","0","","3216","",""
"301600","","","32","132160015","","1","","3216","",""
"6","","","32","132160016","","1","","3216","",""
"111","","","32","132160017","","1","","3216","",""
"111","","","35","132160018","","0","","3216","",""
"0.1","","","93","132160019","","0","","3216","",""
"2","","","32","132160020","","0","","3216","",""
"3","","","32","132160021","","0","","3216","",""
"1000001","","0.1","3","132160022","","glad","0","3216","",""
"0.1","","","93","132160023","","0","","3216","",""
"8","","","35","132160024","","1","","3216","",""
"110","","","32","132160025","","1","","3216","",""
"se_travel","","","23","132160026","","se_travel_treasure_special_success_butterfly","0","3216","",""
"1.5","","","93","132160027","","0","","3216","",""
"998","","","32","132160028","","1","","3216","",""
"1000001","","0.2","3","132160029","joy_round3_loop","joy_round3_in","0","3216","1",""
"5.2","","","93","132160030","","0","","3216","",""
"1","","","113","132160031","","","","3216","",""
"310000","","0","31","132170001","0","310000","345.4","3217","1",""
"310001","","0","31","132170002","0","310001","0","3217","1",""
"301700","","0","31","132170003","0","301700","345.4","3217","1",""
"301701","","0","31","132170004","-115","301701","740","3217","1",""
"301702","","0","31","132170005","0","301702","345.4","3217","1",""
"120","","0","31","132170006","0","120","345.4","3217","1",""
"321700","","0","31","132170007","0","321700","345.4","3217","1",""
"5","empty","0.44","5","132170008","610","15","100","3217","-235","0"
"5","empty","0.44","5","132170009","610","16","55","3217","-235","0"
"0","","","91","132170010","","","","3217","",""
"1.05","","0","123","132170011","1.05","1.05","1.05","3217","7.4",""
"1000001","","0.2","3","132170012","","wait","0","3217","",""
"2","","","35","132170013","","1","","3217","",""
"5.4","","","93","132170014","","0","","3217","",""
"0.95","","0","123","132170015","0.95","0.95","0.95","3217","0.3",""
"310000","","","32","132170016","","1","","3217","",""
"310001","","","32","132170017","","1","","3217","",""
"0.2","","","93","132170018","","0","","3217","",""
"50","","","122","132170019","","50","0.6","3217","",""
"1000001","","0.2","3","132170020","","shock","0","3217","",""
"1.6","","","93","132170021","","0","","3217","",""
"301700","","","32","132170022","","1","","3217","",""
"1.2","","","93","132170023","","0","","3217","",""
"se_travel","","","23","132170024","","se_travel_treasure_croce_ui","0","3217","",""
"15","","","3","132170025","","punch","0","3217","",""
"16","","","3","132170026","","punch_B","0","3217","",""
"0.2","","","93","132170027","","0","","3217","",""
"1.05","","11","123","132170028","1.05","1.05","1.05","3217","0.1",""
"0.1","","","93","132170029","","0","","3217","",""
"0.95","","0","123","132170030","0.95","0.95","0.95","3217","0.3",""
"1","","","93","132170031","","0","","3217","",""
"se_travel","","","23","132170032","","se_travel_treasure_croce_door","0","3217","",""
"0.4","","","93","132170033","","0","","3217","",""
"301701","","","32","132170034","","1","","3217","",""
"0.9","","","93","132170035","","0","","3217","",""
