fda95f022cd37b1547df4952c17ed6fb63411b6d137dc48d30982a1247bc9820,03aa8695937f56351ce207114dd07c633867df1e304ee207a20c347805f140ff,8906b09916f261a15ea0e0d2c942a610818722f2bb19b084e5b414c1febc06d9,8f31f97f5b4cf3ee2841b4012f5e0773547e4476e6c4d771325991a5cf504e95,a2e2708704211d96565a002db2084ad74838c62b4ad8e1474e963b674f764dc7,3de58feb1513e66b30e2ccb471d624008a7238f44253b49e3b797198ec32d869,7f7a9674f0c6ac2a80b5066ba38006fd498ca9ed3b898fbaacd3c6a415f69b27,eebcdd1ea2261d00794b46347ee5e28df05d78757a0df371bb2a80bed194ea21,a6b1fd40176ab2de36e395aef23415f42219c01a0dbc1542041d3e36fe3a4af5,c48fbda622e3df7a12ec3b682e27f02c783d53949a70a81a23287b5040ab4d51,e3e8ea5887f9d15186a188b3822a021e08b516f8bc36dd71264d3222d296cc2b
"cgg_talk_surprise1","cgg_surprise","","204","0","102811","1","0","3","0.2","204020"
"","4","","204","","102811","","1.4","12","0.2","204021"
"","0","","204","","3","","","93","","204022"
"","cgg_idle_def","","204","","102811","","1","3","0.2","204023"
"","cgg_idle_reaction3","","204","","1","","1","3","0.2","204024"
"","11","","204","","1","","1.4","12","0.2","204025"
"","0","","204","","3","","","93","","204026"
"","cgg_idle_normal","","204","","1","","1","3","0.2","204027"
"","cgg_talk_joy3_blink","","204","","102811","","1","3","0.2","204028"
"","10","","204","","102811","","1.4","12","0.2","204029"
"","0","","204","","3","","","93","","204030"
"","0","","204","","204015","","","101","","204031"
"","0.5","","204","","0","","","22","","204032"
"1","1","","204","0","1","0","1","6","0.1","204033"
"1","1","","204","0","102811","0","1","6","0.1","204034"
"","0","","204","","0.1","","","93","","204035"
"","cgg_idle_normal","","204","","1","","1","3","0","204036"
"","cgg_idle_def","","204","","102811","","1","3","0","204037"
"-420","1","cgg_idle_normal","205","0","1","-230","100","5","160","205001"
"420","102511","cgg_idle_def","205","1","1","-230","100","1","1.6","205002"
"1","1","","205","0","1","1","1","6","0.1","205003"
"1","1","","205","0","102511","1","1","6","0.1","205004"
"","0","","205","","0.2","","","93","","205005"
"0","vo_minigame_1007_top_talk_11_017","","205","","vo_minigame_1007","","0","21","","205006"
"0","這是為什麼啊～！？\n從剛才起就只能抽到\n同樣的周邊～！\n是冒失造成的嗎！？","0","205","0","102511","0","5","11","0","205007"
"cgg_idle_surprise2","cgg_surprise2","","205","0","1","1","0","3","0.2","205008"
"cgg_talk_surprise1","cgg_surprise","","205","0","102511","1","0","3","0.2","205009"
"","0","","205","","5.5","","","93","","205010"
"cgg_idle_shock","cgg_shock","","205","0","1","1","0","3","0.2","205011"
"","cgg_talk_sad2","","205","0","102511","1","1","3","0.2","205012"
"","","","205","","205007","","","91","","205013"
"","0","","205","","0.5","","","93","","205014"
"","cgg_idle_def","","205","","102511","","1","3","0.2","205015"
"","cgg_idle_reaction4","","205","","1","","1","3","0.2","205016"
"","2","","205","","1","","1.4","12","0.2","205017"
"","0","","205","","3","","","93","","205018"
"","cgg_idle_normal","","205","","1","","1","3","0.2","205019"
"","cgg_idle_tsun","","205","","102511","","1","3","0.2","205020"
"","5","","205","","102511","","1.4","12","0.2","205021"
"","0","","205","","3","","","93","","205022"
"","cgg_idle_def","","205","","102511","","1","3","0.2","205023"
"","cgg_idle_surprise_sad","","205","","1","","1","3","0.2","205024"
"","1","","205","","1","","1.4","12","0.2","205025"
"","0","","205","","3","","","93","","205026"
"","cgg_idle_normal","","205","","1","","1","3","0.2","205027"
"","cgg_talk_sad2","","205","","102511","","1","3","0.2","205028"
"","15","","205","","102511","","1.4","12","0.2","205029"
"","0","","205","","3","","","93","","205030"
"","0","","205","","205015","","","101","","205031"
"","0.5","","205","","0","","","22","","205032"
"1","1","","205","0","1","0","1","6","0.1","205033"
"1","1","","205","0","102511","0","1","6","0.1","205034"
"","0","","205","","0.1","","","93","","205035"
"","cgg_idle_normal","","205","","1","","1","3","0","205036"
"","cgg_idle_def","","205","","102511","","1","3","0","205037"
"-420","1","cgg_idle_normal","206","0","1","-230","100","5","160","206001"
"420","110911","cgg_idle_def","206","1","1","-230","100","1","1.6","206002"
"1","1","","206","0","1","1","1","6","0.1","206003"
"1","1","","206","0","110911","1","1","6","0.1","206004"
"","0","","206","","0.2","","","93","","206005"
"0","vo_minigame_1007_top_talk_12_018","","206","","vo_minigame_1007","","0","21","","206006"
"0","你蒐集得差不多了呢，\n我給你個稱號：\n慈樂之音差不多武士。\n所以，繼續放空抽吧！","0","206","0","110911","0","6","11","0","206007"
"cgg_idle_doya","cgg_talk_doya","","206","0","1","1","0","3","0.2","206008"
"","cgg_talk_joy1_normal","","206","","110911","","1","3","0.2","206009"
"","0","","206","","2.3","","","93","","206010"
"","cgg_idle_surprise2","","206","","1","","1","3","0.2","206011"
"","cgg_talk_joy3_blink2","","206","","110911","","1","3","0.2","206012"
"","0","","206","","3.2","","","93","","206013"
"cgg_idle_reaction1","cgg_talk_handsup","","206","0","1","1","0","3","0.2","206014"
"cgg_idle_guts_anger","cgg_talk_guts_anger_NoBlink","","206","0","110911","1","0","3","0.2","206015"
"","","","206","","206007","","","91","","206016"
"","0","","206","","0.5","","","93","","206017"
"","cgg_idle_def","","206","","110911","","1","3","0.2","206018"
"cgg_idle_doya","cgg_talk_doya","","206","0","1","1","0","3","0.2","206019"
"","10","","206","","1","","1.4","12","0.2","206020"
"","0","","206","","3","","","93","","206021"
"","cgg_idle_normal","","206","","1","","1","3","0.2","206022"
"","cgg_talk_sad","","206","","110911","","1","3","0.2","206023"
"","5","","206","","110911","","1.4","12","0.2","206024"
"","0","","206","","3","","","93","","206025"
"","cgg_idle_def","","206","","110911","","1","3","0.2","206026"
"cgg_idle_surprise2","cgg_surprise2","","206","0","1","1","0","3","0.2","206027"
"","4","","206","","1","","1.4","12","0.2","206028"
"","0","","206","","3","","","93","","206029"
"","cgg_idle_normal","","206","","1","","1","3","0.2","206030"
"cgg_idle_guts_anger","cgg_talk_guts_anger","","206","0","110911","1","0","3","0.2","206031"
"","11","","206","","110911","","1.4","12","0.2","206032"
"","0","","206","","3","","","93","","206033"
"","0","","206","","206018","","","101","","206034"
"","0.5","","206","","0","","","22","","206035"
"1","1","","206","0","1","0","1","6","0.1","206036"
"1","1","","206","0","110911","0","1","6","0.1","206037"
"","0","","206","","0.1","","","93","","206038"
"","cgg_idle_normal","","206","","1","","1","3","0","206039"
"","cgg_idle_def","","206","","110911","","1","3","0","206040"
"-420","1","cgg_idle_normal","301","0","1","-230","100","5","160","301001"
"420","105811","cgg_idle_def","301","1","1","-230","100","1","1.6","301002"
"1","1","","301","0","1","1","1","6","0.1","301003"
"1","1","","301","0","105811","1","1","6","0.1","301004"
"","0","","301","","0.2","","","93","","301005"
"0","vo_minigame_1007_top_talk_13_019","","301","3","vo_minigame_1007","","0","21","","301006"
"0","太讚了吧☆\n全部集齊囉♪\n拍手拍手拍手～☆","0","301","0","105811","0","4","11","0","301007"
"","cgg_idle_reaction1","","301","","1","","1","3","0.2","301008"
"cgg_talk_surprise_kira","cgg_surprise_kira","","301","0","105811","1","0","3","0.2","301009"
"","0","","301","","1.7","","","93","","301010"
"cgg_idle_nod","cgg_talk_nod","","301","0","1","1","0","3","0.2","301011"
"","cgg_talk_joy1_normal","","301","","105811","","1","3","0.2","301012"
"","0","","301","","1.8","","","93","","301013"
"cgg_idle_reaction3","cgg_joy","","301","0","1","1","0","3","0.2","301014"
"cgg_idle_def","cgg_handclap_def_N","","301","0.2","105811","1","0","3","0.2","301015"
"","","","301","","301007","","","91","","301016"
"","0","","301","","0.5","","","93","","301017"
"cgg_idle_doya","cgg_talk_doya","","301","0","1","1","0","3","0.2","301018"
"","10","","301","","1","","1.4","12","0.2","301019"
"","0","","301","","3","","","93","","301020"
"","cgg_idle_normal","","301","","1","","1","3","0.2","301021"
"cgg_talk_surprise_kira","cgg_surprise_kira","","301","0","105811","1","0","3","0.2","301022"
"","7","","301","","105811","","1.4","12","0.2","301023"
"","0","","301","","3","","","93","","301024"
"","cgg_idle_def","","301","","105811","","1","3","0.2","301025"
"","cgg_idle_surprise3","","301","","1","","1","3","0.2","301026"
"","6","","301","","1","","1.4","12","0.2","301027"
"","0","","301","","3","","","93","","301028"
"","cgg_idle_normal","","301","","1","","1","3","0.2","301029"
"","cgg_idle_joy3","","301","","105811","","1","3","0.1","301030"
"","10","","301","","105811","","1.4","12","0.2","301031"
"","0","","301","","3","","","93","","301032"
"","cgg_idle_def","","301","","105811","","1","3","0.2","301033"
"","0","","301","","301018","","","101","","301034"
"","0.5","","301","","0","","","22","","301035"
"1","1","","301","0","1","0","1","6","0.1","301036"
"1","1","","301","0","105811","0","1","6","0.1","301037"
"","0","","301","","0.1","","","93","","301038"
"","cgg_idle_normal","","301","","1","","1","3","0","301039"
"","cgg_idle_def","","301","","105811","","1","3","0","301040"
"-420","1","cgg_idle_normal","302","0","1","-230","100","5","160","302001"
"420","105911","cgg_idle_def","302","1","1","-230","100","1","1.6","302002"
"1","1","","302","0","1","1","1","6","0.1","302003"
"1","1","","302","0","105911","1","1","6","0.1","302004"
"","0","","302","","0.2","","","93","","302005"
"0","vo_minigame_1007_top_talk_14_020","","302","","vo_minigame_1007","","0","21","","302006"
"0","主人……\n您的蒐集實在了得，\n真不愧是您。","0","302","0","105911","0","4","11","0","302007"
"","cgg_idle_reaction5","","302","","1","","1","3","0.2","302008"
"","cgg_talk_joy3","","302","","105911","","1","3","0.2","302009"
"","0","","302","","4.5","","","93","","302010"
"cgg_idle_doya","cgg_talk_doya","","302","0","1","1","0","3","0.2","302011"
"","cgg_talk_wish","","302","","105911","","1","3","0.2","302012"
"","","","302","","302007","","","91","","302013"
"","0","","302","","0.5","","","93","","302014"
"","cgg_idle_def","","302","","105911","","1","3","0.2","302015"
"cgg_idle_nod","cgg_talk_nod","","302","0","1","1","0","3","0.2","302016"
"","6","","302","","1","","1.4","12","0.2","302017"
"","0","","302","","3","","","93","","302018"
"","cgg_idle_normal","","302","","1","","1","3","0.2","302019"
"","cgg_talk_joy3_blink","","302","","105911","","1","3","0.2","302020"
"","7","","302","","105911","","1.4","12","0.2","302021"
"","0","","302","","3","","","93","","302022"
"","cgg_idle_def","","302","","105911","","1","3","0.2","302023"
"","cgg_idle_reaction3","","302","","1","","1","3","0.2","302024"
"","10","","302","","1","","1.4","12","0.2","302025"
"","0","","302","","3","","","93","","302026"
"","cgg_idle_normal","","302","","1","","1","3","0.2","302027"
"cgg_idle_guts","cgg_talk_guts","","302","0","105911","1","0","3","0.2","302028"
"","11","","302","","105911","","1.4","12","0.2","302029"
"","0","","302","","3","","","93","","302030"
"","0","","302","","302015","","","101","","302031"
"","0.5","","302","","0","","","22","","302032"
"1","1","","302","0","1","0","1","6","0.1","302033"
"1","1","","302","0","105911","0","1","6","0.1","302034"
"","0","","302","","0.1","","","93","","302035"
"","cgg_idle_normal","","302","","1","","1","3","0","302036"
"","cgg_idle_def","","302","","105911","","1","3","0","302037"
"-420","1","cgg_idle_normal","303","0","1","-230","100","5","160","303001"
"420","106011","cgg_idle_def","303","1","1","-230","100","1","1.6","303002"
"1","1","","303","0","1","1","1","6","0.1","303003"
"1","1","","303","0","106011","1","1","6","0.1","303004"
"","0","","303","","0.2","","","93","","303005"
"0","vo_minigame_1007_top_talk_15_021","","303","","vo_minigame_1007","","0","21","","303006"
"0","哦，居然全部收齊了，\n你也挺努力的嘛，\n嗯，就誇獎你一下吧。","0","303","0","106011","0","5","11","0","303007"
"cgg_idle_doya","cgg_talk_doya","","303","0","1","1","0","3","0.2","303008"
"cgg_talk_surprise1","cgg_surprise","","303","0","106011","1","0","3","0.2","303009"
"","0","","303","","3","","","93","","303010"
"","cgg_talk_joy1_normal","","303","","106011","","1","3","0.2","303011"
"","0","","303","","2.1","","","93","","303012"
"cgg_idle_reaction1","cgg_talk_handsup","","303","0","1","1","0","3","0.2","303013"
"cgg_idle_doya","cgg_talk_doya","","303","0","106011","1","0","3","0.2","303014"
"","","","303","","303007","","","91","","303015"
"","0","","303","","0.5","","","93","","303016"
"","cgg_idle_def","","303","","106011","","1","3","0.2","303017"
"cgg_idle_doya","cgg_talk_doya","","303","0","1","1","0","3","0.2","303018"
"","6","","303","","1","","1.4","12","0.2","303019"
"","0","","303","","3","","","93","","303020"
"","cgg_idle_normal","","303","","1","","1","3","0.2","303021"
"cgg_talk_surprise1","cgg_surprise","","303","0","106011","1","0","3","0.2","303022"
"","4","","303","","106011","","1.4","12","0.2","303023"
"","0","","303","","3","","","93","","303024"
"","cgg_idle_def","","303","","106011","","1","3","0.2","303025"
"cgg_idle_guts2","cgg_talk_guts2","","303","0","1","1","0","3","0.2","303026"
"","7","","303","","1","","1.4","12","0.2","303027"
"","0","","303","","3","","","93","","303028"
"","cgg_idle_normal","","303","","1","","1","3","0.2","303029"
"","cgg_idle_bitter","","303","","106011","","1","3","0.2","303030"
"","1","","303","","106011","","1.4","12","0.2","303031"
"","0","","303","","3","","","93","","303032"
"","0","","303","","303017","","","101","","303033"
"","0.5","","303","","0","","","22","","303034"
"1","1","","303","0","1","0","1","6","0.1","303035"
"1","1","","303","0","106011","0","1","6","0.1","303036"
"","0","","303","","0.1","","","93","","303037"
"","cgg_idle_normal","","303","","1","","1","3","0","303038"
"","cgg_idle_def","","303","","106011","","1","3","0","303039"
"-420","1","cgg_idle_normal","304","0","1","-230","100","5","160","304001"
"420","106411","cgg_idle_def","304","1","1","-230","100","1","1.6","304002"
"1","1","","304","0","1","1","1","6","0.1","304003"
"1","1","","304","0","106411","1","1","6","0.1","304004"
"","0","","304","","0.2","","","93","","304005"
"0","vo_minigame_1007_top_talk_16_022","","304","","vo_minigame_1007","","0","21","","304006"
"0","好驚人喔……\n把所有周邊\n擺出來後，\n看起來很壯觀呢。","0","304","0","106411","0","5","11","0","304007"
"cgg_idle_doya","cgg_talk_doya","","304","0","1","1","0","3","0.2","304008"
"cgg_talk_surprise_dere","cgg_surprise_dere","","304","0","106411","2","0","3","0.2","304009"
"","0","","304","","5.2","","","93","","304010"
"","cgg_talk_joy3","","304","","106411","","1","3","0.2","304011"
"","","","304","","304007","","","91","","304012"
"","0","","304","","0.5","","","93","","304013"
"","cgg_idle_def","","304","","106411","","1","3","0.2","304014"
"","cgg_idle_surprise3","","304","","1","","1","3","0.2","304015"
"","6","","304","","1","","1.4","12","0.2","304016"
"","0","","304","","3","","","93","","304017"
"","cgg_idle_normal","","304","","1","","1","3","0.2","304018"
"","cgg_talk_joy1","","304","","106411","","1","3","0.2","304019"
"","10","","304","","106411","","1.4","12","0.2","304020"
"","0","","304","","3","","","93","","304021"
"","cgg_idle_def","","304","","106411","","1","3","0.2","304022"
"cgg_idle_doya","cgg_talk_doya","","304","0","1","1","0","3","0.2","304023"
"","6","","304","","1","","1.4","12","0.2","304024"
"","0","","304","","3","","","93","","304025"
"","cgg_idle_normal","","304","","1","","1","3","0.2","304026"
"cgg_talk_surprise_kira","cgg_surprise_kira","","304","0","106411","1","0","3","0.2","304027"
"","7","","304","","106411","","1.4","12","0.2","304028"
"","0","","304","","3","","","93","","304029"
"","0","","304","","304015","","","101","","304030"
"","0.5","","304","","0","","","22","","304031"
"1","1","","304","0","1","0","1","6","0.1","304032"
"1","1","","304","0","106411","0","1","6","0.1","304033"
"","0","","304","","0.1","","","93","","304034"
"","cgg_idle_normal","","304","","1","","1","3","0","304035"
"","cgg_idle_def","","304","","106411","","1","3","0","304036"
"-420","1","cgg_idle_normal","305","0","1","-230","100","5","160","305001"
"420","110911","cgg_idle_def","305","1","1","-230","100","1","1.6","305002"
"1","1","","305","0","1","1","1","6","0.1","305003"
"1","1","","305","0","110911","1","1","6","0.1","305004"
"","0","","305","","0.2","","","93","","305005"
"0","vo_minigame_1007_top_talk_17_023","","305","","vo_minigame_1007","","0","21","","305006"
"0","恭喜全部收齊！\n學長無盡漫長的\n慈樂之音好棒棒之道\n終於開始了呢。","0","305","0","110911","0","5","11","0","305007"
"cgg_idle_doya","cgg_talk_doya","","305","0","1","1","0","3","0.2","305008"
"","cgg_talk_joy1","","305","","110911","","1","3","0.2","305009"
"","0","","305","","1.9","","","93","","305010"
"","cgg_idle_nod","","305","","1","","1","3","0.2","305011"
"","cgg_talk_joy3_dere","","305","","110911","","1","3","0.2","305012"
"","","","305","","305007","","","91","","305013"
"","0","","305","","0.5","","","93","","305014"
"","cgg_idle_def","","305","","110911","","1","3","0.2","305015"
"cgg_idle_doya","cgg_talk_doya","","305","0","1","1","0","3","0.2","305016"
"","6","","305","","1","","1.4","12","0.2","305017"
"","0","","305","","3","","","93","","305018"
"","cgg_idle_normal","","305","","1","","1","3","0.2","305019"
"","cgg_talk_joy3","","305","","110911","","1","3","0.2","305020"
"","10","","305","","110911","","1.4","12","0.2","305021"
"","0","","305","","3","","","93","","305022"
"","cgg_idle_def","","305","","110911","","1","3","0.2","305023"
"","cgg_idle_reaction3","","305","","1","","1","3","0.2","305024"
"","10","","305","","1","","1.4","12","0.2","305025"
"","0","","305","","3","","","93","","305026"
"","cgg_idle_normal","","305","","1","","1","3","0.2","305027"
"cgg_idle_arm_crossed","cgg_talk_arm_crossed","","305","0","110911","1","0","3","0.2","305028"
"","7","","305","","110911","","1.4","12","0.2","305029"
"","0","","305","","3","","","93","","305030"
"","0","","305","","305015","","","101","","305031"
"","0.5","","305","","0","","","22","","305032"
"1","1","","305","0","1","0","1","6","0.1","305033"
"1","1","","305","0","110911","0","1","6","0.1","305034"
"","0","","305","","0.1","","","93","","305035"
"","cgg_idle_normal","","305","","1","","1","3","0","305036"
"","cgg_idle_def","","305","","110911","","1","3","0","305037"
"-420","1","cgg_idle_normal","306","0","1","-230","100","5","160","306001"
"290","117211","cgg_idle_def","306","1","1","-230","100","1","1.6","306002"
"405","117311","cgg_idle_def","306","1","1","-230","101","1","1.6","306003"
"520","117411","cgg_idle_def","306","1","1","-230","102","1","1.6","306004"
"1","1","","306","0","1","1","1","6","0.1","306005"
"1","1","","306","0","117211","1","1","6","0.1","306006"
"1","1","","306","0","117311","1","1","6","0.1","306007"
"1","1","","306","0","117411","1","1","6","0.1","306008"
"","0","","306","","0.2","","","93","","306009"
"0","vo_minigame_1007_top_talk_18_024","","306","","vo_minigame_1007","","0","21","","306010"
"0","謝謝你蒐集了\n我們所有的周邊♪","0","306","0","117211","0","4","11","0","306011"
"","cgg_idle_reaction1","","306","","1","","1","3","0.2","306012"
"","cgg_talk_joy1_normal","","306","","117211","","1","3","0.2","306013"
"","0","","306","","2.4","","","93","","306014"
"cgg_idle_reaction3","cgg_joy","","306","0","1","1","0","3","0.2","306015"
"","cgg_talk_surprise_nozomi","","306","","117211","","1","3","0.2","306016"
"","","","306","","306011","","","91","","306017"
"","cgg_idle_def","","306","","117211","","1","3","0.2","306018"
"0","vo_minigame_1007_top_talk_18_025","","306","","vo_minigame_1007","","0","21","","306019"
"0","居然全部蒐集到了，\n我好驚訝。\n恭喜你。","0","306","0","117311","0","4","11","0","306020"
"cgg_idle_doya","cgg_talk_doya","","306","0","1","1","0","3","0.2","306021"
"","cgg_talk_surprise1","","306","","117311","","1","3","0.2","306022"
"","0","","306","","4.5","","","93","","306023"
"","cgg_idle_reaction5","","306","","1","","1","3","0.2","306024"
"","cgg_talk_wish","","306","","117311","","1","3","0.2","306025"
"","","","306","","306020","","","91","","306026"
"","cgg_idle_def","","306","","117311","","1","3","0.2","306027"
"0","vo_minigame_1007_top_talk_18_026","","306","","vo_minigame_1007","","0","21","","306028"
"0","既然好不容易集齊了，\n那個……\n你要好好珍惜喔！","0","306","0","117411","0","4","11","0","306029"
"","cgg_idle_surprise1","","306","","1","","1","3","0.2","306030"
"","cgg_idle_tsun","","306","","117411","","1","3","0.2","306031"
"","0","","306","","4.3","","","93","","306032"
"cgg_idle_guts2","cgg_talk_guts2","","306","0","1","1","0","3","0.2","306033"
"","cgg_talk_joy1","","306","","117411","","1","3","0.2","306034"
"","","","306","","306029","","","91","","306035"
"","0","","306","","0.5","","","93","","306036"
"","cgg_idle_def","","306","","117411","","1","3","0.2","306037"
"","cgg_idle_normal","","306","","1","","1","3","0.2","306038"
"","cgg_talk_joy1","","306","","117211","","1","3","0.2","306039"
"","10","","306","","117211","","1.4","12","0.2","306040"
"","0","","306","","3","","","93","","306041"
"","cgg_idle_def","","306","","117211","","1","3","0.2","306042"
"","cgg_talk_wish","","306","","117311","","1","3","0.2","306043"
"","7","","306","","117311","","1.4","12","0.2","306044"
"","0","","306","","3","","","93","","306045"
"","cgg_idle_def","","306","","117311","","1","3","0.2","306046"
"cgg_idle_guts","cgg_talk_guts","","306","0","117411","1","0","3","0.2","306047"
"","4","","306","","117411","","1.4","12","0.2","306048"
"","0","","306","","3","","","93","","306049"
"","cgg_idle_def","","306","","117411","","1","3","0.2","306050"
"","cgg_idle_reaction3","","306","","1","","1","3","0.2","306051"
"","6","","306","","1","","1.4","12","0.2","306052"
"","0","","306","","3","","","93","","306053"
"","0","","306","","306038","","","101","","306054"
"","0.5","","306","","0","","","22","","306055"
"1","1","","306","0","1","0","1","6","0.1","306056"
"1","1","","306","0","117211","0","1","6","0.1","306057"
"1","1","","306","0","117311","0","1","6","0.1","306058"
"1","1","","306","0","117411","0","1","6","0.1","306059"
"","0","","306","","0.1","","","93","","306060"
"","cgg_idle_normal","","306","","1","","1","3","0","306061"
"","cgg_idle_def","","306","","117211","","1","3","0","306062"
"","cgg_idle_def","","306","","117311","","1","3","0","306063"
"","cgg_idle_def","","306","","117411","","1","3","0","306064"
