f053414e123fda10f71a8be0ed20ab9b01a270cf7de692a905808a8a9278c9ce,abb291ff21796c847b1a4d23f514585c9ffca16e74497f05106177e9dcb7d714,b81ef1afee3eb7c125f4f5d457c3a569e0844aa466543505e7cf0d7ea5d3a877,2651805e6c44cf2e4b41101da1323112e85a59cd2cf5c5970d9af15da6df1826,4e2f20306c55f5a5418525306f989680f6b27afddd96f57ee7dec04ea1d0fb58,404ea14c3c0e4c98a5b5ac6d2b9af72d5e9823c5339b9298335ad4d5b09c3c98,48c1611a613a1ef44037261b73971ae0476df95e14a1598f6e274f4359e1f23f,9a15ef77cf37830253e9861c5de38f7c2be24099ec7a4d857e0207857e3650ed,20a7e8088726208ccf07ac2a042ccf90b9513045bd60a833fbc7c326f0dcb3c8,590bf60f567b95d886a8822d02b4bbbad59b25c1c0f951822f185c61388c6a9f,0cf37df91799813817d3a24d98a0ccfcc56934c60b1de7c6446bc50a300104d7
"100","0","1360002","10","102831","10","36","1.3","1","1","03_uek_cmn_idol_def_N"
"","","1360003","","","","36","","93","1",""
"0","0","1360004","03_uek_36_suzume_loop","03_uek_36_suzume","1","36","0","3","102531",""
"0","0","1360005","03_uek_36_saren_loop","03_uek_36_saren","1","36","0","3","102831",""
"","","1360006","","","","36","","91","0",""
"10","","1360007","0","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","0","36","","11","102531",""
"","","1360008","","","","36","","91","0",""
"10","","1360009","0","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","0","36","","11","102831",""
"100","0","1370001","-118","112531","-22","37","1.3","1","1","01_uek_cmn_idol_def_N"
"100","0","1370002","0","112431","0","37","1.3","1","1","01_uek_cmn_idol_def_N"
"100","1","1370003","179","112631","0","37","1.3","1","1","01_uek_27_tamaki_loop"
"0","","1370004","","01_uek_27_tamaki_loop","0","37","","3","112631",""
"","","1370005","","","","37","","91","0",""
"0","","1370006","","01_uek_27_tamaki_loop","0","37","","3","112631",""
"","","1370007","","","","37","","91","0",""
"0","","1370008","","01_uek_27_tamaki_loop","0","37","","3","112631",""
"","","1370009","","","","37","","91","0",""
"1","","1370010","","01_uek_cmn_pose06","0","37","0.5","3","112631",""
"10","","1370011","0","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","0","37","","11","112631",""
"","","1370012","","","","37","","91","0",""
"0","","1370013","01_uek_35_rei_loop","01_uek_35_rei","1","37","","3","112531",""
"10","","1370014","0","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","0","37","","11","112531",""
"","","1370015","","","","37","","91","0",""
"1","","1370016","","01_uek_cmn_idol_def_N","0","37","0.2","3","112631",""
"0","","1370017","01_uek_16_uduki_loop","01_uek_37_uduki","1","37","","3","112431",""
"10","","1370018","0","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","0","37","","11","112431",""
"","","1370019","","","","37","","91","0",""
"0","","11010001","30","14","1","101","1","31","101",""
"0","","11110001","150","11","1","111","1","31","111",""
"0","","11120001","150","12","1","112","1","31","112",""
"0","","11130001","125","13","1","113","1","31","113",""
