0a7d2f617f14805ab1bf53788cb113b8c1cc5780d48d6a3768824d7e9226202b,dd5a556a8030e03a05fb8631d8d31f467a54bcfdf55cf4a76c066268e64f0e9d,f5a37be1d03ae303d4967b3cde4a155eaf3eb8ed9e1a7b4dfacd11b5a4ff5701,e741cbe2fe59347759f4924f8d38544c612ab68bbe25885792d1cfb6d450a2ad,9543b4d9cebca4c215ae86db40d17db7d63e46fa06d8e6105cc70f05d4ccc24a
"201","92409010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"202","92409010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"203","92409010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"204","92409010","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"205","92409020","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"206","92409020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"207","92409020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"208","92409020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"209","92409020","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"210","92409030","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"211","92409030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"212","92409030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"213","92409030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"214","92409030","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"215","92409110","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"216","92409110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"217","92409110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"218","92409110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"219","92409110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"220","92409110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"221","92409110","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"222","92409120","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"223","92409120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"224","92409120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"225","92409120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"226","92409120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"227","92409120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"228","92409120","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"229","92409130","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"230","92409130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"231","92409130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"232","92409130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"233","92409130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"234","92409130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"235","92409130","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"236","92409140","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"237","92409140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"238","92409140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"239","92409140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"240","92409140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"241","92409140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"242","92409140","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"243","92409210","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"244","92409210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"245","92409210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"246","92409210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"247","92409210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"248","92409210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"249","92409210","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"250","92409220","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"251","92409220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"252","92409220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"253","92409220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"254","92409220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"255","92409220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"256","92409220","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"257","92409230","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"258","92409230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"259","92409230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"260","92409230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"261","92409230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"262","92409230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"263","92409230","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"264","92409240","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"265","92409240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"266","92409240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"267","92409240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"268","92409240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"269","92409240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"270","92409240","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"271","92409310","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"272","92409310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"273","92409310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"274","92409310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"275","92409310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"276","92409310","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"277","92409320","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"278","92409320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"279","92409320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"280","92409320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"281","92409320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"282","92409320","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"283","92409330","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"284","92409330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"285","92409330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"286","92409330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"287","92409330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"288","92409330","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"289","92409340","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。","16","闇屬性獎勵特大幅度提升"
"290","92409340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"291","92409340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"292","92409340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"293","92409340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"294","92409340","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"295","92410010","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"296","92410010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"297","92410010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"298","92410010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"299","92410010","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"300","92410020","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"301","92410020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"302","92410020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"303","92410020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"304","92410020","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"305","92410030","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"306","92410030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"307","92410030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"308","92410030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"309","92410030","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"310","92410110","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"311","92410110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"312","92410110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"313","92410110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"314","92410110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"315","92410110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"316","92410110","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"317","92410120","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"318","92410120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"319","92410120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"320","92410120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"321","92410120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"322","92410120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"323","92410120","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"324","92410130","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"325","92410130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"326","92410130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"327","92410130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"328","92410130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"329","92410130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"330","92410130","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"331","92410140","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"332","92410140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"333","92410140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"334","92410140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"335","92410140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"336","92410140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"337","92410140","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"338","92410210","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"339","92410210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"340","92410210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"341","92410210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"342","92410210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"343","92410210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"344","92410210","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"345","92410220","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"346","92410220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"347","92410220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"348","92410220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"349","92410220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"350","92410220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"351","92410220","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"352","92410230","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"353","92410230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"354","92410230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"355","92410230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"356","92410230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"357","92410230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"358","92410230","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"359","92410240","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"360","92410240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"361","92410240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"362","92410240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"363","92410240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"364","92410240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"365","92410240","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"366","92410310","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"367","92410310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"368","92410310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"369","92410310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"370","92410310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"371","92410310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"372","92410310","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"373","92410320","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"374","92410320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"375","92410320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"376","92410320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"377","92410320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"378","92410320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"379","92410320","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"380","92410330","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"381","92410330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"382","92410330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"383","92410330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"384","92410330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"385","92410330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"386","92410330","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"387","92410340","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。","15","光屬性獎勵特大幅度提升"
"388","92410340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"389","92410340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"390","92410340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","boss_tp_down_cut","減少降低TP"
"391","92410340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18","傷害值衰減"
"392","92410340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"393","92410340","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"394","92411010","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"395","92411010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"396","92411010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"397","92411010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"398","92411010","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"399","92411020","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
"400","92411020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","提升物理防禦力（不可降低）"
"401","92411020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）"
"402","92411020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","17","賦予TP上升的上限"
"403","92411020","戰鬥開始時，中幅度降低全體角色的HP吸收。","9","降低HP吸收"
"404","92411030","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","12","火屬性獎勵特大幅度提升"
