972abc504891c044190d32133a9f49c72b861fbd2cfbb3692bb672b2932668f1,ba0d08a805a258564c40253c415ee6ffd85671bbdad831e52f920338e4633231,0d328b8f75964401ba962e8f80e1265d030ccd9358329b86e6b9087d7ecd6796,ddacf813e010efa5c04fc9377fab31db483bf55128f7a763e130a92e21610ae8,8c8c80338e781f69bef7c1e04c4dbe6d35d38a21dd8e19b524bf69fe40eb5221,12cd61dd1c1d4bd5f0b38f3c4909ba5f54cd49eaf26e897aeadc4e330e1195d7,4aed103bd1629dbf329c29145279ed4be74b9fc8cf7d41098bfb9ae781900779,421bcd03a1fbd4ad0f9452f9143d3a5fa9aace7371d0b642439ae6628f7d3c78,fa5a647b2a55a4f713424c26512c7c5314ba20cd702e2413b566af762e66144b,8df99ad2373586b547db04b330519a0c9b1cae493562d3e127add23f5790ef90,a1249472ec8e6f4ba8c6942de6a41857f7ff4d0b3cfc03f5f56fa68476ba8b32
"","","","1","1","0.2","","3","psy_fairy_idle","7009","7"
"","","","119931","1","0.2","","3","psy_miyako_talk3","7010","7"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0702","7011","7"
"1","1","0","119931","5","0","0","11","吵死了！別來妨礙人家！\n宮子正在思考究極的布丁，\n很忙的喲！","7012","7"
"","","","3","","","","93","1","7013","7"
"psy_miyako_arm_crossed_loop","","1","119931","0","0.2","0","3","psy_miyako_arm_crossed_in","7014","7"
"","","","7012","","","","91","","7015","7"
"","","","0","","","","22","0","7016","7"
"","","","1","1","0.2","","3","psy_fairy_talk","7017","7"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_9903","7018","7"
"1","0.5","0","1","4","0","0","11","啾～啾～！","7019","7"
"","","","0","","","","91","","7020","7"
"","","","1","1","0.2","","3","psy_fairy_idle","7021","7"
"","","","119931","1","0.2","","3","psy_miyako_anger2","7022","7"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0704","7023","7"
"1","0.5","0","119931","5","0","0","11","就算你這麼說，人家也不管喲！","7024","7"
"","","","0","","","","91","","7025","7"
"","","","0","","","","22","0","7026","7"
"","","","119931","1","0.2","","3","psy_miyako_thinking3","7027","7"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0705","7028","7"
"1","0.5","0","119931","3","0","0","11","嗯～～\n不過，好像可以嘗試看看。\n因為宮子很溫柔\n才聽你的意見的喲！","7029","7"
"","","","5","","","","93","1","7030","7"
"psy_miyako_doya_loop","","1","119931","0","0.2","0","3","psy_miyako_doya_in","7031","7"
"","","","7029","","","","91","","7032","7"
"","","","0","","","","22","0","7033","7"
"","","","1","","","","93","","7034","7"
"","","","0","","","","91","","7035","7"
"-300","psy_miyako_start","-200","1","100","1.7","0","1","119931","8001","8"
"225","psy_walk2","-210","1","100","1.7","1","1","100411","8002","8"
"480","psy_walk3","-220","1","105","1.7","1","1","103631","8003","8"
"340","psy_walk_glad","-235","1","110","1.7","1","1","102011","8004","8"
"0","","1","1","0","1","","31","11","8005","8"
"-300","psy_smoke_start","-200","1","101","1.7","0","5","1","8006","8"
"2","","0","100411","-210","","","2","110","8007","8"
"2.2","","0","103631","-220","","","2","365","8008","8"
"2.3","","0","102011","-235","","","2","225","8009","8"
"","","","2","","","","93","","8010","8"
"","","","100411","1","0.2","","3","psy_idle_normal","8011","8"
"","","","0.2","","","","93","","8012","8"
"","","","103631","1","0.2","","3","psy_idle_normal","8013","8"
"","","","0.1","","","","93","","8014","8"
"","","","102011","1","0.2","","3","psy_talk_joy1","8015","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0806","8016","8"
"1","0.5","0","102011","5","0","0","11","哥哥，我們來玩了～\n咦～？沒人在嗎？","8017","8"
"","","","0","","","","91","","8018","8"
"","","","102011","1","0.2","","3","psy_idle_joy1","8019","8"
"psy_miyako_talk1","","1","119931","0","0","0.2","3","psy_miyako_appear","8020","8"
"psy_smoke_start","","0","1","0","0","0","3","psy_smoke_appear","8021","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0801","8022","8"
"1","0.5","0","119931","4","0","0","11","嗯？妳們找他幹嘛？","8023","8"
"","","","0","","","","91","","8024","8"
"","","","0","","","","22","0","8025","8"
"","","","119931","1","0.2","","3","psy_miyako_idle","8026","8"
"","","","103631","1","0.2","","3","psy_talk_surprise2","8027","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0807","8028","8"
"1","0.5","0","103631","6","0","0","11","呀～！？幽靈！！","8029","8"
"","","","0","","","","91","","8030","8"
"","","","103631","1","0.2","","3","psy_idle_surprise2","8031","8"
"","","","100411","1","0.2","","3","psy_talk_joy2","8032","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0808","8033","8"
"1","0.5","0","100411","6","0","0","11","好厲害～！\n是哥哥設下的惡作劇嗎？\n哥哥，不要躲了，趕快出來～","8034","8"
"","","","0","","","","91","","8035","8"
"","","","100411","1","0.2","","3","psy_idle_joy2","8036","8"
"","","","119931","1","0.2","","3","psy_miyako_panic2","8037","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0802","8038","8"
"1","1","0","119931","5","0","0","11","宮子才不惡作劇喲，\n是幽靈喲。\n然後那傢伙現在不在喲。","8039","8"
"","","","3","","","","93","1","8040","8"
"","","","119931","1","0.2","","3","psy_miyako_talk2","8041","8"
"","","","8039","","","","91","","8042","8"
"","","","0","","","","22","0","8043","8"
"","","","119931","1","0.2","","3","psy_miyako_idle","8044","8"
"","","","100411","1","0.2","","3","psy_talk_wish","8045","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0809","8046","8"
"1","0.5","0","100411","6","0","0","11","不在嗎？\n那就趁現在來惡作劇……","8047","8"
"","","","0","","","","91","","8048","8"
"","","","100411","1","0.2","","3","psy_idle_wish","8049","8"
"","","","103631","1","0.2","","3","psy_talk_anger","8050","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0810","8051","8"
"1","0.5","0","103631","6","0","0","11","不能在店裡惡作劇吧！\n話說為什麼禊一點都不害怕？\n幽靈出現了唷？","8052","8"
"","","","0","","","","91","","8053","8"
"","","","103631","1","0.2","","3","psy_idle_anger","8054","8"
"","","","100411","1","0.2","","3","psy_talk_normal","8055","8"
"","","","100411","","","","4","0","8056","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0811","8057","8"
"1","0.5","0","100411","6","0","0","11","因為她就像哥哥的朋友嘛，\n而且一點都不可怕。","8058","8"
"","","","0","","","","91","","8059","8"
"","","","100411","","","","4","1","8060","8"
"","","","100411","1","0.2","","3","psy_idle_normal","8061","8"
"","","","102011","1","0.2","","3","psy_talk_joy1","8062","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0812","8063","8"
"1","0.5","0","102011","5","0","0","11","到哥哥回來之前\n一起玩吧～","8064","8"
"","","","0","","","","91","","8065","8"
"","","","102011","1","0.2","","3","psy_idle_joy1","8066","8"
"","","","119931","1","0.2","","3","psy_miyako_anger3","8067","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0803","8068","8"
"1","0.5","0","119931","4","0","0","11","不玩。\n宮子要做布丁，很忙的！","8069","8"
"","","","0","","","","91","","8070","8"
"","","","0","","","","22","0","8071","8"
"","","","119931","1","0.2","","3","psy_miyako_idle_anger","8072","8"
"","","","102011","1","0.2","","3","psy_talk_joy2","8073","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0813","8074","8"
"1","0.5","0","102011","7","0","0","11","做布丁？哇，感覺很好玩～\n美美也可以一起做嗎？","8075","8"
"","","","0","","","","91","","8076","8"
"","","","102011","1","0.2","","3","psy_idle_joy2","8077","8"
"psy_miyako_doya_loop","","1","119931","0","0.2","0","3","psy_miyako_doya_in","8078","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0804","8079","8"
"1","0.5","0","119931","5","0","0","11","如果會聽宮子的話，\n讓妳們幫忙也可以喲。","8080","8"
"","","","0","","","","91","","8081","8"
"","","","0","","","","22","0","8082","8"
"","","","119931","1","0.2","","3","psy_miyako_doya_idle","8083","8"
"psy_idle_joy1","","1","102011","0","0.2","0.4","3","psy_jump","8084","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0814","8085","8"
"1","0.5","0","102011","6","0","0","11","哇～！太好了～！","8086","8"
"","","","0","","","","91","","8087","8"
"","","","100411","1","0.2","","3","psy_talk_joy2","8088","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0815","8089","8"
"1","0.5","0","100411","5","0","0","11","來做對哥哥惡作劇用的\n布丁吧～！","8090","8"
"","","","0","","","","91","","8091","8"
"","","","100411","1","0.2","","3","psy_idle_joy2","8092","8"
"","","","103631","1","0.2","","3","psy_talk_sad","8093","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0816","8094","8"
"1","0.5","0","103631","8","0","0","11","怎、怎麼這樣……\n竟然要與幽靈一起做布丁……","8095","8"
"","","","0","","","","91","","8096","8"
"","","","103631","1","0.2","","3","psy_idle_sad","8097","8"
"","","","100411","1","0.2","","3","psy_talk_normal","8098","8"
"","","","100411","","","","4","0","8099","8"
"","","","102011","","","","4","0","8100","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0817","8101","8"
"1","0.5","0","100411","4","0","0","11","鏡華不做嗎？","8102","8"
"","","","0","","","","91","","8103","8"
"","","","100411","1","0.2","","3","psy_idle_normal","8104","8"
"","","","102011","1","0.2","","3","psy_talk_joy2","8105","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0818","8106","8"
"1","0.5","0","102011","5","0","0","11","美美想跟鏡華\n一起做布丁呢～","8107","8"
"","","","0","","","","91","","8108","8"
"","","","102011","1","0.2","","3","psy_idle_joy2","8109","8"
"","","","103631","1","0.2","","3","psy_talk_sad","8110","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0819","8111","8"
"1","0.5","0","103631","6","0","0","11","嗚嗚……知道了啦，\n我也一起做。","8112","8"
"","","","0","","","","91","","8113","8"
"","","","103631","1","0.2","","3","psy_idle_sad","8114","8"
"","","","119931","1","0.2","","3","psy_miyako_joy1","8115","8"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0805","8116","8"
"1","0.5","0","119931","5","0","0","11","太好了！\n一口氣增加了三個手下喲！","8117","8"
"","","","0","","","","91","","8118","8"
"","","","0","","","","22","0","8119","8"
"","","","1","","","","93","","8120","8"
"","","","0","","","","91","","8121","8"
"-300","psy_miyako_idle","-200","1","100","1.7","0","1","119931","9001","9"
"185","psy_idle_normal","-220","1","100","1.7","1","5","1","9002","9"
"0","","1","1","0","1","","31","11","9003","9"
"","","","1","","","","93","","9004","9"
"","","","119931","1","0.2","","3","psy_miyako_thinking4","9005","9"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0901","9006","9"
"1","1","0","119931","3","0","0","11","嗯……要做出美味的布丁\n還真是難呢。\n宮子的靈感快用完了喲！","9007","9"
"","","","6","","","","93","1","9008","9"
"","","","119931","1","0.2","","3","psy_miyako_sad2","9009","9"
"","","","9007","","","","91","","9010","9"
"","","","0","","","","22","0","9011","9"
"","","","119931","1","0.2","","3","psy_miyako_talk_joy1","9012","9"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0902","9013","9"
"1","0.5","0","119931","4","0","0","11","你有很多認識的人，\n拿些也許可以成為布丁靈感的\n東西過來吧！","9014","9"
"","","","6","","","","93","1","9015","9"
"psy_miyako_guts2_loop","","1","119931","0","0.2","0","3","psy_miyako_guts2_in","9016","9"
"","","","9014","","","","91","","9017","9"
"","","","0","","","","22","0","9018","9"
"0","0","0","1","1","0","0","12","11","9019","9"
"psy_idle_guts2","","1","1","0","0.2","0","3","psy_talk_guts2","9020","9"
"","","","2","","","","93","","9021","9"
"","","","1","","","","4","0","9022","9"
"","","","1","1","0.2","","3","psy_run","9023","9"
"3","","0","1","-220","","","2","1000","9024","9"
"","","","4","","","","93","","9025","9"
"","","","1","","","","4","1","9026","9"
"","","","1","1","0.2","","3","psy_item01_run","9027","9"
"3","","0","1","-220","","","2","185","9028","9"
"","","","3","","","","93","","9029","9"
"psy_item01_up_loop","","1","1","0","0.2","0","3","psy_item01_up","9030","9"
"","","","0.5","","","","93","","9031","9"
"","","","我拿手銬和鞭子來了。","0","","","103","9033","9032","9"
"","","","119931","1","0.2","","3","psy_miyako_anger2","9033","9"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0903","9034","9"
"1","0.5","0","119931","5","0","0","11","你、你突然拿什麼東西過來呀！\n你是變態嗎！？\n宮子看錯你了喲！","9035","9"
"","","","0","","","","91","","9036","9"
"","","","0","","","","22","0","9037","9"
"0","0","0","1","2","0","0","12","10","9038","9"
"","","","1","1","0.2","","3","psy_item01_up_loop_talk","9039","9"
"","","","3","","","","93","","9040","9"
"","","","1","1","0.2","","3","psy_item01_up_loop","9041","9"
"","","","119931","1","0.2","","3","psy_miyako_thinking4","9042","9"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_0904","9043","9"
"1","0.5","0","119931","4","0","0","11","…………咦？\n你有認識帶著手銬\n和鞭子的人？\n你真的沒問題嗎？","9044","9"
"","","","6","","","","93","1","9045","9"
"","","","119931","1","0.2","","3","psy_miyako_talk4","9046","9"
"","","","9044","","","","91","","9047","9"
"","","","0","","","","22","0","9048","9"
"","","","1","","","","93","","9049","9"
"","","","0","","","","91","","9050","9"
"-300","psy_miyako_idle","-200","1","100","1.7","0","1","119931","10001","10"
"1000","psy_idle_normal","-220","1","100","1.7","1","5","1","10002","10"
"0","","1","1","0","1","","31","11","10003","10"
"","","","2","","","","93","","10004","10"
"","","","1","1","0.2","","3","psy_item02_run","10005","10"
"3","","0","1","-220","","","2","185","10006","10"
"","","","3","","","","93","","10007","10"
"psy_item02_up_loop","","1","1","0","0.2","0","3","psy_item02_up","10008","10"
"","","","0.5","","","","93","","10009","10"
"","","","感覺這個可以給妳靈感唷。","0","","","103","10011","10010","10"
"","","","119931","1","0.2","","3","psy_miyako_anger3","10011","10"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1001","10012","10"
"1","0.5","0","119931","4","0","0","11","不准再拿怪東西過來！\n……嗯？樹果？\n你拿了正常的東西過來呢！\n宮子要誇獎你喲！","10013","10"
"","","","4","","","","93","1","10014","10"
"","","","119931","1","0.2","","3","psy_miyako_talk2","10015","10"
"","","","2.5","","","","93","1","10016","10"
"","","","119931","1","0.2","","3","psy_miyako_talk_joy1","10017","10"
"","","","10013","","","","91","","10018","10"
"","","","0","","","","22","0","10019","10"
"","","","119931","1","0.2","","3","psy_miyako_thinking1","10020","10"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1002","10021","10"
"1","0.5","0","119931","5","0","0","11","不過這是什麼果實來的？\n橡子還認得出來，\n但這個紅色的果實就不認得了。","10022","10"
"","","","0","","","","91","","10023","10"
"","","","0","","","","22","0","10024","10"
"0","0","0","1","3","0","0","12","6","10025","10"
"","","","1","1","0.2","","3","psy_item02_up_loop_talk","10026","10"
"","","","3","","","","93","","10027","10"
"","","","1","1","0.2","","3","psy_item02_up_loop","10028","10"
"","","","119931","1","0.2","","3","psy_miyako_sad1","10029","10"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1003","10030","10"
"1","0.5","0","119931","6","0","0","11","一吃下去就會噴火的果實？\n為什麼要帶這麼危險的東西過來！\n果然你還是派不上用場～！","10031","10"
"","","","3","","","","93","1","10032","10"
"","","","119931","1","0.2","","3","psy_miyako_anger2","10033","10"
"","","","10031","","","","91","","10034","10"
"","","","0","","","","22","0","10035","10"
"","","","1","","","","93","","10036","10"
"","","","0","","","","91","","10037","10"
"-300","psy_miyako_idle","-200","1","100","1.7","0","1","119931","11001","11"
"1000","psy_idle_normal","-220","1","100","1.7","1","5","1","11002","11"
"0","","1","1","0","1","","31","11","11003","11"
"","","","2","","","","93","","11004","11"
"","","","1","1","0.2","","3","psy_item03_run","11005","11"
"3","","0","1","-220","","","2","185","11006","11"
"","","","3","","","","93","","11007","11"
"psy_item03_up_loop","","1","1","0","0.2","0","3","psy_item03_up","11008","11"
"","","","0.5","","","","93","","11009","11"
"","","","感覺這個可以給妳靈感唷。","0","","","103","11011","11010","11"
"","","","119931","1","0.2","","3","psy_miyako_talk3","11011","11"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1101","11012","11"
"1","1","0","119931","5","0","0","11","三局定勝負的意思嗎？\n如果這次再不帶正常的東西過來，\n人家就把你變成布丁喲。","11013","11"
"","","","4","","","","93","1","11014","11"
"","","","119931","1","0.2","","3","psy_miyako_panic3","11015","11"
"","","","11013","","","","91","","11016","11"
"","","","0","","","","22","0","11017","11"
"","","","119931","1","0.2","","3","psy_miyako_thinking1","11018","11"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1102","11019","11"
"1","0.5","0","119931","4","0","0","11","然後呢，你手上拿的紙\n是什麼？\n是美味布丁的食譜嗎？","11020","11"
"","","","0","","","","91","","11021","11"
"","","","0","","","","22","0","11022","11"
"","","","劇本和班表","0","","","103","11024","11023","11"
"","","","119931","1","0.2","","3","psy_miyako_talk4","11024","11"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1103","11025","11"
"1","0.5","0","119931","4","0","0","11","……在製作布丁上\n完全派不上用場喲。\n宮子不該拜託你的。","11026","11"
"","","","0","","","","91","","11027","11"
"","","","0","","","","22","0","11028","11"
"","","","119931","1","0.2","","3","psy_miyako_sad1","11029","11"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1104","11030","11"
"1","0.5","0","119931","4","0","0","11","這也跟你認識的人有關係嗎？\n你認識的人\n都是一群怪咖來的！","11031","11"
"","","","0","","","","91","","11032","11"
"","","","0","","","","22","0","11033","11"
"","","","119931","1","0.2","","3","psy_miyako_talk_joy1","11034","11"
"0","","","vo_minigame_1008","0","","","21","vo_minigame_1008_drama_1105","11035","11"
"1","0.5","0","119931","5","0","0","11","不過因為宮子很溫柔，\n就算是你那派不上用場的線索，\n人家也可以做出好吃的布丁喲！\n感恩戴德吧！","11036","11"
"","","","5","","","","93","1","11037","11"
"psy_miyako_doya_loop","","1","119931","0","0.2","0","3","psy_miyako_doya_in","11038","11"
"","","","11036","","","","91","","11039","11"
"","","","0","","","","22","0","11040","11"
"","","","1.5","","","","93","","11041","11"
"","","","0","","","","91","","11042","11"
