92d593dbd7788fca0f2b3ce943843c3a747607cef14fe80f3be88e5d6ce0f95e,b023012dae889ff6590ea28587d25b6cbca002ced9537dd7c3e31cc0cf1d6808,9b96f5499df0ea5b58d8d38ec9bbe801157e79918fdc58bd3492a6f6903e54eb,341cbd214871ae572a3bd6198d1c55dbc09ae57edbffb3d465a9cc14ed2640ea,a7ce6cfb58aa31ccb2361f27f6068ac9ccb4181935891deb6b5ca63c59f5c311
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","253","74005502"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","254","74005502"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","255","74005502"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","256","74005502"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","257","74005502"
"追加怪物","add_shadow","追加宮子、碧。","258","74005503"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","259","74005503"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","260","74005503"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","261","74005503"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","262","74005503"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","263","74005503"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","264","74005503"
"追加怪物","add_shadow","追加露娜聚光燈。","265","74005504"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","266","74005504"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","267","74005504"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","268","74005504"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","269","74005504"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","270","74005504"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","271","74005504"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","272","74005505"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","273","74005505"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","274","74005505"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","275","74005505"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","276","74005505"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","277","74005505"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","278","74005505"
"強化闇影","star6_shadow","對初音（夏日）、咲戀（夏日）、鈴奈鏡華的闇影追加專用裝備。","279","74006102"
"強化闇影","star6_shadow","鈴奈、鏡華的闇影變成★6。","280","74006103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","281","74006103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","282","74006104"
"物理無效護盾","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","283","74006104"
"魔法無效護盾","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","284","74006104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","285","74006105"
"物理無效護盾","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","286","74006105"
"魔法無效護盾","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","287","74006105"
"強化闇影","star6_shadow","對怜（新年）、靜流（黑暗）、靜流、涅婭的闇影追加專用裝備。","288","74006202"
"強化闇影","star6_shadow","怜（新年）、靜流的闇影變成★6。","289","74006203"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","290","74006203"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","291","74006204"
"TP恢復","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","292","74006204"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","293","74006205"
"TP恢復","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP並賦予持續恢復TP的狀態。","294","74006205"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","295","74006301"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","296","74006301"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","297","74006301"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少30％的狀態。","298","74006302"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","299","74006302"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","300","74006302"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","301","74006302"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少60％的狀態。","302","74006303"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","303","74006303"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","304","74006303"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","305","74006303"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","306","74006304"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","307","74006304"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","308","74006304"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","309","74006304"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","310","74006304"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","311","74006305"
"魔法傷害降低","boss_magic_cut","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","312","74006305"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","313","74006305"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","314","74006305"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","315","74006305"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","316","74006401"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","317","74006401"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少30％的狀態。","318","74006402"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","319","74006402"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","320","74006402"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少60％的狀態。","321","74006403"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","322","74006403"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","323","74006403"
"追加怪物","add_shadow","追加叢林護衛、真琴的闇影、惠理子的闇影、樹精。","324","74006404"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","325","74006404"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","326","74006404"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","327","74006404"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","328","74006404"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","329","74006405"
"物理傷害降低","boss_physics_cut","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","330","74006405"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","331","74006405"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","332","74006405"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","333","74006405"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","334","74006501"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","335","74006501"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","336","74006501"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","337","74006501"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","338","74006501"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","339","74006501"
"全屬性獎勵特大幅度提升","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","340","74006502"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","341","74006502"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","342","74006502"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","343","74006502"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","344","74006502"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","345","74006502"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","346","74006502"
"全屬性獎勵特大幅度提升","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","347","74006503"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","348","74006503"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","349","74006503"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","350","74006503"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","351","74006503"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","352","74006503"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","353","74006503"
"全屬性獎勵特大幅度提升","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","354","74006504"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","355","74006504"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","356","74006504"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","357","74006504"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","358","74006504"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","359","74006504"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","360","74006504"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","361","74006505"
"全屬性獎勵特大幅度提升","33","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","362","74006505"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","363","74006505"
"賦予TP上升的上限","17","戰鬥開始時，將全體角色TP上升的上限值提升至150。","364","74006505"
"提升物理防禦力（不可降低）","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","365","74006505"
"提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","366","74006505"
"降低HP吸收","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","367","74006505"
"減少降低TP","boss_tp_down_cut","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","368","74006505"
"強化闇影","star6_shadow","對鈴（遊俠）、咲戀（夏日）、璃乃的闇影追加專用裝備１。","369","74007102"
"強化闇影","star6_shadow","璃乃的闇影變成★6。","370","74007103"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","371","74007103"
"強化闇影","star6_shadow","對咲戀（夏日）、璃乃的闇影追加專用裝備２。","372","74007104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","373","74007104"
"物理無效護盾","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","374","74007104"
"魔法無效護盾","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","375","74007104"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","376","74007105"
"物理無效護盾","27","戰鬥開始時，對所有的闇影展開物理無效的護盾。","377","74007105"
"魔法無效護盾","28","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","378","74007105"
"強化闇影","star6_shadow","對茉莉、初音（夏日）、伊緒（夏日）、愛梅斯（夏日）的闇影追加專用裝備１。","379","74007202"
"強化闇影","star6_shadow","茉莉的闇影變成★6。","380","74007203"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","381","74007203"
"強化闇影","star6_shadow","對初音（夏日）、伊緒（夏日）的闇影追加專用裝備２。","382","74007204"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","383","74007204"
"TP恢復","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","384","74007204"
"戰鬥時間限制","limit_time","戰鬥時間變成60秒。","385","74007205"
"編組角色人數限制","limit_chara_num","可以編組的角色變成4個。","386","74007205"
"TP恢復","energy_recover","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","387","74007205"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","388","74007301"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","389","74007301"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","390","74007302"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","391","74007302"
"全傷害降低","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","392","74007302"
"造成傷害提升","damage_up","提升所有怪物所造成的傷害。","393","74007302"
"防禦力提升","boss_def_up","提升所有怪物的物理/魔法防禦力。","394","74007302"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","395","74007303"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","396","74007303"
"全傷害降低","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","397","74007303"
"造成傷害提升","damage_up","提升所有怪物所造成的傷害。","398","74007303"
"防禦力提升","boss_def_up","提升所有怪物的物理/魔法防禦力。","399","74007303"
"降低暴擊","critical_down","降低所有角色的物理/魔法暴擊率。","400","74007303"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","401","74007304"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","402","74007304"
"全傷害降低","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","403","74007304"
"造成傷害提升","damage_up","提升所有怪物所造成的傷害。","404","74007304"
"防禦力提升","boss_def_up","提升所有怪物的物理/魔法防禦力。","405","74007304"
"降低暴擊","critical_down","降低所有角色的物理/魔法暴擊率。","406","74007304"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","407","74007304"
"傷害值衰減","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","408","74007305"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","409","74007305"
"全傷害降低","boss_damage_cut","將所有怪物承受的傷害減少一定數值。","410","74007305"
"造成傷害提升","damage_up","提升所有怪物所造成的傷害。","411","74007305"
"防禦力提升","boss_def_up","提升所有怪物的物理/魔法防禦力。","412","74007305"
"降低暴擊","critical_down","降低所有角色的物理/魔法暴擊率。","413","74007305"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","414","74007305"
"減少降低TP","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","415","74007305"
"降低ＨＰ恢復量","hp_recovery_down","降低所有角色的ＨＰ恢復量。","416","74007305"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","417","74007401"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","418","74007402"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","419","74007403"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","420","74007403"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","421","74007404"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","422","74007404"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","423","74007404"
"Boss行動模式變化","boss_ub_enhance","Boss怪物的行動模式發生變化。","424","74007405"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","425","74007405"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","426","74007405"
"傷害值衰減","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","427","74007501"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","428","74007501"
"傷害值衰減","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","429","74007502"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","430","74007502"
"減少降低TP","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","431","74007502"
"傷害值衰減","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","432","74007503"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","433","74007503"
"減少降低TP","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","434","74007503"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","435","74007503"
"追加怪物","add_shadow","追加露娜聚光燈。","436","74007504"
"傷害值衰減","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","437","74007504"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","438","74007504"
"減少降低TP","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","439","74007504"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","440","74007504"
"追加怪物","add_shadow","追加紡希的闇影。","441","74007505"
"傷害值衰減","34","當所有怪物在一次行動中受到的傷害值為「2000000」以上時，根據傷害值減少傷害量。","442","74007505"
"防禦力（不可降低）提升","boss_def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","443","74007505"
"減少降低TP","boss_tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","444","74007505"
"降低HP吸收","9","降低所有角色的ＨＰ吸收。","445","74007505"
"減少ＴＰ上升","3","降低所有角色的ＴＰ上升。","446","74007505"
