33207f0558e844a9369055db2e67a6415992b479b30b0e5f6671c6689aa94643,a1e6504347f9524f1b664bd9d3f97bc8b475af000fb7b83eb9151a8bd69a4620,efafa338d9463c5f068e5ae257d7285622aee42e350fc56e3b69391f959bd5d8,f472e09b8d0e83cbcead33113701614d38e9242ce0a9cd365496d6df1e34f80a,2bc4c88939c9439d0cc638cd87daa12a2aaa2de1dfd51f84ce5d1ae849856730,c1e14099239c3a3f9270096663f3dcf52703356f37b7f7414eb98f8d385bb733,25d8584bc37067012c3fc0e52ce86615c711c0d0c29fe8254919630480aa15e9,e2b9259e0dfa69b0354c65f5456b403b47ecd4176564d820afdd4a17019373f0,a5e0584a75c812ab7104a98f0d7b434ae053890a7026811696fc02b4e2098d42,679ed21a7d0c0e9f75deb4a425b9338540fd5eb8f5782c7f812c71682b139004,a722e039105ac135bc8fd583674db63ac05697d24ab6f80967c75e1c974d2e40
"102811","0.2","","cgg_surprise","204","204020","3","1","0","cgg_talk_surprise1","0"
"102811","0.2","","4","204","204021","12","","","","1.4"
"3","","","0","204","204022","93","","","",""
"102811","0.2","","cgg_idle_def","204","204023","3","","","","1"
"1","0.2","","cgg_idle_reaction3","204","204024","3","","","","1"
"1","0.2","","11","204","204025","12","","","","1.4"
"3","","","0","204","204026","93","","","",""
"1","0.2","","cgg_idle_normal","204","204027","3","","","","1"
"102811","0.2","","cgg_talk_joy3_blink","204","204028","3","","","","1"
"102811","0.2","","10","204","204029","12","","","","1.4"
"3","","","0","204","204030","93","","","",""
"204015","","","0","204","204031","101","","","",""
"0","","","0.5","204","204032","22","","","",""
"1","0.1","","1","204","204033","6","0","0","1","1"
"102811","0.1","","1","204","204034","6","0","0","1","1"
"0.1","","","0","204","204035","93","","","",""
"1","0","","cgg_idle_normal","204","204036","3","","","","1"
"102811","0","","cgg_idle_def","204","204037","3","","","","1"
"1","160","cgg_idle_normal","1","205","205001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","102511","205","205002","1","-230","1","420","100"
"1","0.1","","1","205","205003","6","1","0","1","1"
"102511","0.1","","1","205","205004","6","1","0","1","1"
"0.2","","","0","205","205005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_11_017","205","205006","21","","","0","0"
"102511","0","0","這是為什麼啊～！？\n從剛才起就只能抽到\n同樣的周邊～！\n是冒失造成的嗎！？","205","205007","11","0","0","0","5"
"1","0.2","","cgg_surprise2","205","205008","3","1","0","cgg_idle_surprise2","0"
"102511","0.2","","cgg_surprise","205","205009","3","1","0","cgg_talk_surprise1","0"
"5.5","","","0","205","205010","93","","","",""
"1","0.2","","cgg_shock","205","205011","3","1","0","cgg_idle_shock","0"
"102511","0.2","","cgg_talk_sad2","205","205012","3","1","0","","1"
"205007","","","","205","205013","91","","","",""
"0.5","","","0","205","205014","93","","","",""
"102511","0.2","","cgg_idle_def","205","205015","3","","","","1"
"1","0.2","","cgg_idle_reaction4","205","205016","3","","","","1"
"1","0.2","","2","205","205017","12","","","","1.4"
"3","","","0","205","205018","93","","","",""
"1","0.2","","cgg_idle_normal","205","205019","3","","","","1"
"102511","0.2","","cgg_idle_tsun","205","205020","3","","","","1"
"102511","0.2","","5","205","205021","12","","","","1.4"
"3","","","0","205","205022","93","","","",""
"102511","0.2","","cgg_idle_def","205","205023","3","","","","1"
"1","0.2","","cgg_idle_surprise_sad","205","205024","3","","","","1"
"1","0.2","","1","205","205025","12","","","","1.4"
"3","","","0","205","205026","93","","","",""
"1","0.2","","cgg_idle_normal","205","205027","3","","","","1"
"102511","0.2","","cgg_talk_sad2","205","205028","3","","","","1"
"102511","0.2","","15","205","205029","12","","","","1.4"
"3","","","0","205","205030","93","","","",""
"205015","","","0","205","205031","101","","","",""
"0","","","0.5","205","205032","22","","","",""
"1","0.1","","1","205","205033","6","0","0","1","1"
"102511","0.1","","1","205","205034","6","0","0","1","1"
"0.1","","","0","205","205035","93","","","",""
"1","0","","cgg_idle_normal","205","205036","3","","","","1"
"102511","0","","cgg_idle_def","205","205037","3","","","","1"
"1","160","cgg_idle_normal","1","206","206001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","110911","206","206002","1","-230","1","420","100"
"1","0.1","","1","206","206003","6","1","0","1","1"
"110911","0.1","","1","206","206004","6","1","0","1","1"
"0.2","","","0","206","206005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_12_018","206","206006","21","","","0","0"
"110911","0","0","你蒐集得差不多了呢，\n我給你個稱號：\n慈樂之音差不多武士。\n所以，繼續放空抽吧！","206","206007","11","0","0","0","6"
"1","0.2","","cgg_talk_doya","206","206008","3","1","0","cgg_idle_doya","0"
"110911","0.2","","cgg_talk_joy1_normal","206","206009","3","","","","1"
"2.3","","","0","206","206010","93","","","",""
"1","0.2","","cgg_idle_surprise2","206","206011","3","","","","1"
"110911","0.2","","cgg_talk_joy3_blink2","206","206012","3","","","","1"
"3.2","","","0","206","206013","93","","","",""
"1","0.2","","cgg_talk_handsup","206","206014","3","1","0","cgg_idle_reaction1","0"
"110911","0.2","","cgg_talk_guts_anger_NoBlink","206","206015","3","1","0","cgg_idle_guts_anger","0"
"206007","","","","206","206016","91","","","",""
"0.5","","","0","206","206017","93","","","",""
"110911","0.2","","cgg_idle_def","206","206018","3","","","","1"
"1","0.2","","cgg_talk_doya","206","206019","3","1","0","cgg_idle_doya","0"
"1","0.2","","10","206","206020","12","","","","1.4"
"3","","","0","206","206021","93","","","",""
"1","0.2","","cgg_idle_normal","206","206022","3","","","","1"
"110911","0.2","","cgg_talk_sad","206","206023","3","","","","1"
"110911","0.2","","5","206","206024","12","","","","1.4"
"3","","","0","206","206025","93","","","",""
"110911","0.2","","cgg_idle_def","206","206026","3","","","","1"
"1","0.2","","cgg_surprise2","206","206027","3","1","0","cgg_idle_surprise2","0"
"1","0.2","","4","206","206028","12","","","","1.4"
"3","","","0","206","206029","93","","","",""
"1","0.2","","cgg_idle_normal","206","206030","3","","","","1"
"110911","0.2","","cgg_talk_guts_anger","206","206031","3","1","0","cgg_idle_guts_anger","0"
"110911","0.2","","11","206","206032","12","","","","1.4"
"3","","","0","206","206033","93","","","",""
"206018","","","0","206","206034","101","","","",""
"0","","","0.5","206","206035","22","","","",""
"1","0.1","","1","206","206036","6","0","0","1","1"
"110911","0.1","","1","206","206037","6","0","0","1","1"
"0.1","","","0","206","206038","93","","","",""
"1","0","","cgg_idle_normal","206","206039","3","","","","1"
"110911","0","","cgg_idle_def","206","206040","3","","","","1"
"1","160","cgg_idle_normal","1","301","301001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","105811","301","301002","1","-230","1","420","100"
"1","0.1","","1","301","301003","6","1","0","1","1"
"105811","0.1","","1","301","301004","6","1","0","1","1"
"0.2","","","0","301","301005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_13_019","301","301006","21","","3","0","0"
"105811","0","0","太讚了吧☆\n全部集齊囉♪\n拍手拍手拍手～☆","301","301007","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction1","301","301008","3","","","","1"
"105811","0.2","","cgg_surprise_kira","301","301009","3","1","0","cgg_talk_surprise_kira","0"
"1.7","","","0","301","301010","93","","","",""
"1","0.2","","cgg_talk_nod","301","301011","3","1","0","cgg_idle_nod","0"
"105811","0.2","","cgg_talk_joy1_normal","301","301012","3","","","","1"
"1.8","","","0","301","301013","93","","","",""
"1","0.2","","cgg_joy","301","301014","3","1","0","cgg_idle_reaction3","0"
"105811","0.2","","cgg_handclap_def_N","301","301015","3","1","0.2","cgg_idle_def","0"
"301007","","","","301","301016","91","","","",""
"0.5","","","0","301","301017","93","","","",""
"1","0.2","","cgg_talk_doya","301","301018","3","1","0","cgg_idle_doya","0"
"1","0.2","","10","301","301019","12","","","","1.4"
"3","","","0","301","301020","93","","","",""
"1","0.2","","cgg_idle_normal","301","301021","3","","","","1"
"105811","0.2","","cgg_surprise_kira","301","301022","3","1","0","cgg_talk_surprise_kira","0"
"105811","0.2","","7","301","301023","12","","","","1.4"
"3","","","0","301","301024","93","","","",""
"105811","0.2","","cgg_idle_def","301","301025","3","","","","1"
"1","0.2","","cgg_idle_surprise3","301","301026","3","","","","1"
"1","0.2","","6","301","301027","12","","","","1.4"
"3","","","0","301","301028","93","","","",""
"1","0.2","","cgg_idle_normal","301","301029","3","","","","1"
"105811","0.1","","cgg_idle_joy3","301","301030","3","","","","1"
"105811","0.2","","10","301","301031","12","","","","1.4"
"3","","","0","301","301032","93","","","",""
"105811","0.2","","cgg_idle_def","301","301033","3","","","","1"
"301018","","","0","301","301034","101","","","",""
"0","","","0.5","301","301035","22","","","",""
"1","0.1","","1","301","301036","6","0","0","1","1"
"105811","0.1","","1","301","301037","6","0","0","1","1"
"0.1","","","0","301","301038","93","","","",""
"1","0","","cgg_idle_normal","301","301039","3","","","","1"
"105811","0","","cgg_idle_def","301","301040","3","","","","1"
"1","160","cgg_idle_normal","1","302","302001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","105911","302","302002","1","-230","1","420","100"
"1","0.1","","1","302","302003","6","1","0","1","1"
"105911","0.1","","1","302","302004","6","1","0","1","1"
"0.2","","","0","302","302005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_14_020","302","302006","21","","","0","0"
"105911","0","0","主人……\n您的蒐集實在了得，\n真不愧是您。","302","302007","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction5","302","302008","3","","","","1"
"105911","0.2","","cgg_talk_joy3","302","302009","3","","","","1"
"4.5","","","0","302","302010","93","","","",""
"1","0.2","","cgg_talk_doya","302","302011","3","1","0","cgg_idle_doya","0"
"105911","0.2","","cgg_talk_wish","302","302012","3","","","","1"
"302007","","","","302","302013","91","","","",""
"0.5","","","0","302","302014","93","","","",""
"105911","0.2","","cgg_idle_def","302","302015","3","","","","1"
"1","0.2","","cgg_talk_nod","302","302016","3","1","0","cgg_idle_nod","0"
"1","0.2","","6","302","302017","12","","","","1.4"
"3","","","0","302","302018","93","","","",""
"1","0.2","","cgg_idle_normal","302","302019","3","","","","1"
"105911","0.2","","cgg_talk_joy3_blink","302","302020","3","","","","1"
"105911","0.2","","7","302","302021","12","","","","1.4"
"3","","","0","302","302022","93","","","",""
"105911","0.2","","cgg_idle_def","302","302023","3","","","","1"
"1","0.2","","cgg_idle_reaction3","302","302024","3","","","","1"
"1","0.2","","10","302","302025","12","","","","1.4"
"3","","","0","302","302026","93","","","",""
"1","0.2","","cgg_idle_normal","302","302027","3","","","","1"
"105911","0.2","","cgg_talk_guts","302","302028","3","1","0","cgg_idle_guts","0"
"105911","0.2","","11","302","302029","12","","","","1.4"
"3","","","0","302","302030","93","","","",""
"302015","","","0","302","302031","101","","","",""
"0","","","0.5","302","302032","22","","","",""
"1","0.1","","1","302","302033","6","0","0","1","1"
"105911","0.1","","1","302","302034","6","0","0","1","1"
"0.1","","","0","302","302035","93","","","",""
"1","0","","cgg_idle_normal","302","302036","3","","","","1"
"105911","0","","cgg_idle_def","302","302037","3","","","","1"
"1","160","cgg_idle_normal","1","303","303001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","106011","303","303002","1","-230","1","420","100"
"1","0.1","","1","303","303003","6","1","0","1","1"
"106011","0.1","","1","303","303004","6","1","0","1","1"
"0.2","","","0","303","303005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_15_021","303","303006","21","","","0","0"
"106011","0","0","哦，居然全部收齊了，\n你也挺努力的嘛，\n嗯，就誇獎你一下吧。","303","303007","11","0","0","0","5"
"1","0.2","","cgg_talk_doya","303","303008","3","1","0","cgg_idle_doya","0"
"106011","0.2","","cgg_surprise","303","303009","3","1","0","cgg_talk_surprise1","0"
"3","","","0","303","303010","93","","","",""
"106011","0.2","","cgg_talk_joy1_normal","303","303011","3","","","","1"
"2.1","","","0","303","303012","93","","","",""
"1","0.2","","cgg_talk_handsup","303","303013","3","1","0","cgg_idle_reaction1","0"
"106011","0.2","","cgg_talk_doya","303","303014","3","1","0","cgg_idle_doya","0"
"303007","","","","303","303015","91","","","",""
"0.5","","","0","303","303016","93","","","",""
"106011","0.2","","cgg_idle_def","303","303017","3","","","","1"
"1","0.2","","cgg_talk_doya","303","303018","3","1","0","cgg_idle_doya","0"
"1","0.2","","6","303","303019","12","","","","1.4"
"3","","","0","303","303020","93","","","",""
"1","0.2","","cgg_idle_normal","303","303021","3","","","","1"
"106011","0.2","","cgg_surprise","303","303022","3","1","0","cgg_talk_surprise1","0"
"106011","0.2","","4","303","303023","12","","","","1.4"
"3","","","0","303","303024","93","","","",""
"106011","0.2","","cgg_idle_def","303","303025","3","","","","1"
"1","0.2","","cgg_talk_guts2","303","303026","3","1","0","cgg_idle_guts2","0"
"1","0.2","","7","303","303027","12","","","","1.4"
"3","","","0","303","303028","93","","","",""
"1","0.2","","cgg_idle_normal","303","303029","3","","","","1"
"106011","0.2","","cgg_idle_bitter","303","303030","3","","","","1"
"106011","0.2","","1","303","303031","12","","","","1.4"
"3","","","0","303","303032","93","","","",""
"303017","","","0","303","303033","101","","","",""
"0","","","0.5","303","303034","22","","","",""
"1","0.1","","1","303","303035","6","0","0","1","1"
"106011","0.1","","1","303","303036","6","0","0","1","1"
"0.1","","","0","303","303037","93","","","",""
"1","0","","cgg_idle_normal","303","303038","3","","","","1"
"106011","0","","cgg_idle_def","303","303039","3","","","","1"
"1","160","cgg_idle_normal","1","304","304001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","106411","304","304002","1","-230","1","420","100"
"1","0.1","","1","304","304003","6","1","0","1","1"
"106411","0.1","","1","304","304004","6","1","0","1","1"
"0.2","","","0","304","304005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_16_022","304","304006","21","","","0","0"
"106411","0","0","好驚人喔……\n把所有周邊\n擺出來後，\n看起來很壯觀呢。","304","304007","11","0","0","0","5"
"1","0.2","","cgg_talk_doya","304","304008","3","1","0","cgg_idle_doya","0"
"106411","0.2","","cgg_surprise_dere","304","304009","3","2","0","cgg_talk_surprise_dere","0"
"5.2","","","0","304","304010","93","","","",""
"106411","0.2","","cgg_talk_joy3","304","304011","3","","","","1"
"304007","","","","304","304012","91","","","",""
"0.5","","","0","304","304013","93","","","",""
"106411","0.2","","cgg_idle_def","304","304014","3","","","","1"
"1","0.2","","cgg_idle_surprise3","304","304015","3","","","","1"
"1","0.2","","6","304","304016","12","","","","1.4"
"3","","","0","304","304017","93","","","",""
"1","0.2","","cgg_idle_normal","304","304018","3","","","","1"
"106411","0.2","","cgg_talk_joy1","304","304019","3","","","","1"
"106411","0.2","","10","304","304020","12","","","","1.4"
"3","","","0","304","304021","93","","","",""
"106411","0.2","","cgg_idle_def","304","304022","3","","","","1"
"1","0.2","","cgg_talk_doya","304","304023","3","1","0","cgg_idle_doya","0"
"1","0.2","","6","304","304024","12","","","","1.4"
"3","","","0","304","304025","93","","","",""
"1","0.2","","cgg_idle_normal","304","304026","3","","","","1"
"106411","0.2","","cgg_surprise_kira","304","304027","3","1","0","cgg_talk_surprise_kira","0"
"106411","0.2","","7","304","304028","12","","","","1.4"
"3","","","0","304","304029","93","","","",""
"304015","","","0","304","304030","101","","","",""
"0","","","0.5","304","304031","22","","","",""
"1","0.1","","1","304","304032","6","0","0","1","1"
"106411","0.1","","1","304","304033","6","0","0","1","1"
"0.1","","","0","304","304034","93","","","",""
"1","0","","cgg_idle_normal","304","304035","3","","","","1"
"106411","0","","cgg_idle_def","304","304036","3","","","","1"
"1","160","cgg_idle_normal","1","305","305001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","110911","305","305002","1","-230","1","420","100"
"1","0.1","","1","305","305003","6","1","0","1","1"
"110911","0.1","","1","305","305004","6","1","0","1","1"
"0.2","","","0","305","305005","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_17_023","305","305006","21","","","0","0"
"110911","0","0","恭喜全部收齊！\n學長無盡漫長的\n慈樂之音好棒棒之道\n終於開始了呢。","305","305007","11","0","0","0","5"
"1","0.2","","cgg_talk_doya","305","305008","3","1","0","cgg_idle_doya","0"
"110911","0.2","","cgg_talk_joy1","305","305009","3","","","","1"
"1.9","","","0","305","305010","93","","","",""
"1","0.2","","cgg_idle_nod","305","305011","3","","","","1"
"110911","0.2","","cgg_talk_joy3_dere","305","305012","3","","","","1"
"305007","","","","305","305013","91","","","",""
"0.5","","","0","305","305014","93","","","",""
"110911","0.2","","cgg_idle_def","305","305015","3","","","","1"
"1","0.2","","cgg_talk_doya","305","305016","3","1","0","cgg_idle_doya","0"
"1","0.2","","6","305","305017","12","","","","1.4"
"3","","","0","305","305018","93","","","",""
"1","0.2","","cgg_idle_normal","305","305019","3","","","","1"
"110911","0.2","","cgg_talk_joy3","305","305020","3","","","","1"
"110911","0.2","","10","305","305021","12","","","","1.4"
"3","","","0","305","305022","93","","","",""
"110911","0.2","","cgg_idle_def","305","305023","3","","","","1"
"1","0.2","","cgg_idle_reaction3","305","305024","3","","","","1"
"1","0.2","","10","305","305025","12","","","","1.4"
"3","","","0","305","305026","93","","","",""
"1","0.2","","cgg_idle_normal","305","305027","3","","","","1"
"110911","0.2","","cgg_talk_arm_crossed","305","305028","3","1","0","cgg_idle_arm_crossed","0"
"110911","0.2","","7","305","305029","12","","","","1.4"
"3","","","0","305","305030","93","","","",""
"305015","","","0","305","305031","101","","","",""
"0","","","0.5","305","305032","22","","","",""
"1","0.1","","1","305","305033","6","0","0","1","1"
"110911","0.1","","1","305","305034","6","0","0","1","1"
"0.1","","","0","305","305035","93","","","",""
"1","0","","cgg_idle_normal","305","305036","3","","","","1"
"110911","0","","cgg_idle_def","305","305037","3","","","","1"
"1","160","cgg_idle_normal","1","306","306001","5","-230","0","-420","100"
"1","1.6","cgg_idle_def","117211","306","306002","1","-230","1","290","100"
"1","1.6","cgg_idle_def","117311","306","306003","1","-230","1","405","101"
"1","1.6","cgg_idle_def","117411","306","306004","1","-230","1","520","102"
"1","0.1","","1","306","306005","6","1","0","1","1"
"117211","0.1","","1","306","306006","6","1","0","1","1"
"117311","0.1","","1","306","306007","6","1","0","1","1"
"117411","0.1","","1","306","306008","6","1","0","1","1"
"0.2","","","0","306","306009","93","","","",""
"vo_minigame_1007","","","vo_minigame_1007_top_talk_18_024","306","306010","21","","","0","0"
"117211","0","0","謝謝你蒐集了\n我們所有的周邊♪","306","306011","11","0","0","0","4"
"1","0.2","","cgg_idle_reaction1","306","306012","3","","","","1"
"117211","0.2","","cgg_talk_joy1_normal","306","306013","3","","","","1"
"2.4","","","0","306","306014","93","","","",""
"1","0.2","","cgg_joy","306","306015","3","1","0","cgg_idle_reaction3","0"
"117211","0.2","","cgg_talk_surprise_nozomi","306","306016","3","","","","1"
"306011","","","","306","306017","91","","","",""
"117211","0.2","","cgg_idle_def","306","306018","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_18_025","306","306019","21","","","0","0"
"117311","0","0","居然全部蒐集到了，\n我好驚訝。\n恭喜你。","306","306020","11","0","0","0","4"
"1","0.2","","cgg_talk_doya","306","306021","3","1","0","cgg_idle_doya","0"
"117311","0.2","","cgg_talk_surprise1","306","306022","3","","","","1"
"4.5","","","0","306","306023","93","","","",""
"1","0.2","","cgg_idle_reaction5","306","306024","3","","","","1"
"117311","0.2","","cgg_talk_wish","306","306025","3","","","","1"
"306020","","","","306","306026","91","","","",""
"117311","0.2","","cgg_idle_def","306","306027","3","","","","1"
"vo_minigame_1007","","","vo_minigame_1007_top_talk_18_026","306","306028","21","","","0","0"
"117411","0","0","既然好不容易集齊了，\n那個……\n你要好好珍惜喔！","306","306029","11","0","0","0","4"
"1","0.2","","cgg_idle_surprise1","306","306030","3","","","","1"
"117411","0.2","","cgg_idle_tsun","306","306031","3","","","","1"
"4.3","","","0","306","306032","93","","","",""
"1","0.2","","cgg_talk_guts2","306","306033","3","1","0","cgg_idle_guts2","0"
"117411","0.2","","cgg_talk_joy1","306","306034","3","","","","1"
"306029","","","","306","306035","91","","","",""
"0.5","","","0","306","306036","93","","","",""
"117411","0.2","","cgg_idle_def","306","306037","3","","","","1"
"1","0.2","","cgg_idle_normal","306","306038","3","","","","1"
"117211","0.2","","cgg_talk_joy1","306","306039","3","","","","1"
"117211","0.2","","10","306","306040","12","","","","1.4"
"3","","","0","306","306041","93","","","",""
"117211","0.2","","cgg_idle_def","306","306042","3","","","","1"
"117311","0.2","","cgg_talk_wish","306","306043","3","","","","1"
"117311","0.2","","7","306","306044","12","","","","1.4"
"3","","","0","306","306045","93","","","",""
"117311","0.2","","cgg_idle_def","306","306046","3","","","","1"
"117411","0.2","","cgg_talk_guts","306","306047","3","1","0","cgg_idle_guts","0"
"117411","0.2","","4","306","306048","12","","","","1.4"
"3","","","0","306","306049","93","","","",""
"117411","0.2","","cgg_idle_def","306","306050","3","","","","1"
"1","0.2","","cgg_idle_reaction3","306","306051","3","","","","1"
"1","0.2","","6","306","306052","12","","","","1.4"
"3","","","0","306","306053","93","","","",""
"306038","","","0","306","306054","101","","","",""
"0","","","0.5","306","306055","22","","","",""
"1","0.1","","1","306","306056","6","0","0","1","1"
"117211","0.1","","1","306","306057","6","0","0","1","1"
"117311","0.1","","1","306","306058","6","0","0","1","1"
"117411","0.1","","1","306","306059","6","0","0","1","1"
"0.1","","","0","306","306060","93","","","",""
"1","0","","cgg_idle_normal","306","306061","3","","","","1"
"117211","0","","cgg_idle_def","306","306062","3","","","","1"
"117311","0","","cgg_idle_def","306","306063","3","","","","1"
"117411","0","","cgg_idle_def","306","306064","3","","","","1"
