dcf907ffda1ab7df9ee44f444e9841cd569c34ae72d328559d9a1fadf6828cde,dc24a80f10c243d461f03734aba5b4e1c572694734b590bc90f3ded7a267cff6,b7fd266bc09a8856460baa2e68abdee1a2e114476b8b7a538c5e2160ad97ba8d,b9734ed12a9b901d639763d87537c218dda6d8322ad4b3a320a452cf66e2ba45,38cd74a207b444ec63e405b55526c2260fa4d2b771c0b49a27eab793f09f5c9d,7f88be969242ef2584bd760606a80c24f595984e987807786b3137343d6d47bd,80c370894d05471d348b5bee7a1c13eed13c82a1faacd5583617487f9f786755,d9384b7ce1cfbaeb343453faf69c220d289095d4ccb2bbaa54cde9e04173f726,16970bc68fae004fa8704bfe811c44f669f31b15835c5446cf3598d61243699e,e1cada6c448a64111058cf22b2cf63203c9ebc73830e11b1c144ea0e9e0fff2d,0b76e9da4a996bc45d063fc2ed1fe0d3c09962b04561fe8409a483e51b047ba8,ae4eb04801d72fba1ffd26a5e7532d73d0114efb946569f267bf3ddb51938d0e,f7c0bbc56a279daf5488d166f0c0362354572f176e96a3d8f443f5be4b7eeaa1,982fd9506d4b66beef470ff58e7abc45bd101d2424dceb814c000ec00ecc5f57,f74b8a8aabc920928a6b42f2059d228015cc68086da56297ebcb37fd3a1da764,4e4e36448a0adf14b695c5a543c865dc302a8b48b55f9c576be2b38142cf3037,b588ca17cb4f74442033443da8879d0d91ba591156c5d4dac09cec412c53add7,a44a8a9966f36ced4b9423e35a54f1aeb30a5c54f49f7de7ce1c1c38746a50f6,be5e024034d08dc08c4b8d80eb64ad6fa4201b0fbad5d8239fdfb01fcd8374c0,86d17c6a5f0b3a54e9e7f8b9ab6ee9e10d50c76e583ab0882b43487f74dc21d1,f227d409492555932311c008bdf4f3d45f8db655495ca89952b5a8318ce6d20f,21bded07036f4a41ca6c0effba03ff61106dfa6d3a7d43e849235b1a5ebf2651,d1ad48d14eee12275f9022ff2e828e88407bee5bdec9ae2a70f64976deb5b22a,a89bd3a5d6ccd6c06cd4604fd0470f48b107eeb642dc71e54626b772ab494881,75cfa08c0ce2c8a0ecbf2e6c266eb1ae090d297a9e96e585646add1300c4ef61,1b2d4683c8a368e0440663568a05363418dbd90a58ee8c0ff5f17eb1bbbb0070,c05b2363fdf5073d321fbafd58c2825f74e82d688b10ee1463eeb5abe232d00a,2f90859c7a42ca0eb0d7a92ab3aa14036d0a46d32a7002aa34addc4db7330ab5,2f09ca28325f764ab885b1008ba66327e854a3cf839b2ee65405cc84811bd3a9,31cda6053f56b29f231eb797af036236091b11b1f1ed10d94a2ff98b493f2016,25197edec11c08b02f3e6da63d5d2073d6fc63dffe2df262793c7bbde4e456a6,60efe700c4591ce58149901121e09158dad304bc1f64fd6d348a98f93c4ba9d5,80cbf300181682c2a22c2bcfb77d0e93e2d08754c69bcd0c0225c301237af901,52b9382ba53f51c18dc565286abec55b86e9e246017c9941d54e898531baae9d,a110735c1054f1b3ef907d8b3b6733398097a413f7718927202656bc53ac674d,232e50a510f4497fcc818015e51f8e3e78e5ffc91418c9277796e748c22a7403,42b868b173f8418479b7ec76156f79ece80bbee1fdff2b6e4572d57115e0781e,ce1ea3ab1fdd0b7be83bbcffa9e6aee86d1d8c8fe89ed805ee5ac47dddf84cb3,9023b0ede5e9b5a3dbecce5ab81e9ecaffddf35dcde4a047757deb426858ff9f
"80","1004104","10250104","1025","0.03","1.2","1004102","1.5","0","1004101","1.4","10250105","1004103","0","1004202","710011","1","1004201","401044141","1001301","1","1.2","1","401044121","1.3","1","1004203","401044131","10250101","401044151","1000000","10250102","1004205","10250103","1","1004204","1","1004105","401044111"
"81","1004109","10250104","1025","0.03","1.2","1004107","1.5","0","1004106","1.4","10250105","1004108","0","1004207","710011","1","1004206","401044141","1001303","1","1.2","3","401044121","1.3","2","1004208","401044131","10250101","401044151","1000000","10250102","1004210","10250103","1","1004209","2","1004110","401044111"
"82","1004109","10250104","1025","0.06","1.6","1004107","2","0","1004106","1.9","10250105","1004108","0","1004207","710011","2","1004206","401044191","1001303","2","1.6","10","401044171","1.8","4","1004208","401044181","10250101","401044201","1000000","10250102","1004210","10250103","1","1004209","4","1004110","401044161"
"83","1004109","10250104","1025","0.06","2","1004107","2.6","0","1004106","2.4","10250105","1004108","0","1004207","710011","3","1004206","401044241","1001303","2","2","34","401044221","2.4","11","1004208","401044231","10250101","401044251","1000000","10250102","1004210","10250103","1","1004209","11","1004110","401044211"
"84","1004109","10250104","1025","0.06","3.5","1004107","4","0","1004106","3.8","10250105","1004108","0","1004207","710011","4","1004206","401044291","1001303","2","3.5","-1","401044271","3.7","35","1004208","401044281","10250101","401044301","1000000","10250102","1004210","10250103","1","1004209","35","1004110","401044261"
"85","1004104","10260104","1026","0.03","1.2","1004102","1.5","0","1004101","1.4","10260105","1004103","0","1004202","710021","1","1004201","401044491","1001301","1","1.2","1","401044471","1.3","1","1004203","401044481","10260101","401044501","1000000","10260102","1004205","10260103","1","1004204","1","1004105","401044461"
"86","1004109","10260104","1026","0.03","1.2","1004107","1.5","0","1004106","1.4","10260105","1004108","0","1004207","710021","1","1004206","401044491","1001303","1","1.2","3","401044471","1.3","2","1004208","401044481","10260101","401044501","1000000","10260102","1004210","10260103","1","1004209","2","1004110","401044461"
"87","1004109","10260104","1026","0.06","1.6","1004107","2","0","1004106","1.9","10260105","1004108","0","1004207","710021","2","1004206","401044541","1001303","2","1.6","10","401044521","1.8","4","1004208","401044531","10260101","401044551","1000000","10260102","1004210","10260103","1","1004209","4","1004110","401044511"
"88","1004109","10260104","1026","0.06","2","1004107","2.6","0","1004106","2.4","10260105","1004108","0","1004207","710021","3","1004206","401044591","1001303","2","2","34","401044571","2.4","11","1004208","401044581","10260101","401044601","1000000","10260102","1004210","10260103","1","1004209","11","1004110","401044561"
"89","1004109","10260104","1026","0.06","3.5","1004107","4","0","1004106","3.8","10260105","1004108","0","1004207","710021","4","1004206","401044641","1001303","2","3.5","-1","401044621","3.7","35","1004208","401044631","10260101","401044651","1000000","10260102","1004210","10260103","1","1004209","35","1004110","401044611"
"90","1004104","10270104","1027","0.03","1.2","1004102","1.5","0","1004101","1.4","10270105","1004103","0","1004202","710031","1","1004201","401044841","1001301","1","1.2","1","401044821","1.3","1","1004203","401044831","10270101","401044851","1000000","10270102","1004205","10270103","1","1004204","1","1004105","401044811"
"91","1004109","10270104","1027","0.03","1.2","1004107","1.5","0","1004106","1.4","10270105","1004108","0","1004207","710031","1","1004206","401044841","1001303","1","1.2","3","401044821","1.3","2","1004208","401044831","10270101","401044851","1000000","10270102","1004210","10270103","1","1004209","2","1004110","401044811"
"92","1004109","10270104","1027","0.06","1.6","1004107","2","0","1004106","1.9","10270105","1004108","0","1004207","710031","2","1004206","401044891","1001303","2","1.6","10","401044871","1.8","4","1004208","401044881","10270101","401044901","1000000","10270102","1004210","10270103","1","1004209","4","1004110","401044861"
"93","1004109","10270104","1027","0.06","2","1004107","2.6","0","1004106","2.4","10270105","1004108","0","1004207","710031","3","1004206","401044941","1001303","2","2","34","401044921","2.4","11","1004208","401044931","10270101","401044951","1000000","10270102","1004210","10270103","1","1004209","11","1004110","401044911"
"94","1004109","10270104","1027","0.06","3.5","1004107","4","0","1004106","3.8","10270105","1004108","0","1004207","710031","4","1004206","401044991","1001303","2","3.5","-1","401044971","3.7","35","1004208","401044981","10270101","401045001","1000000","10270102","1004210","10270103","1","1004209","35","1004110","401044961"
"95","1004104","10280104","1028","0.03","1.2","1004102","1.5","0","1004101","1.4","10280105","1004103","0","1004202","710041","1","1004201","401045191","1001301","1","1.2","1","401045171","1.3","1","1004203","401045181","10280101","401045201","1000000","10280102","1004205","10280103","1","1004204","1","1004105","401045161"
"96","1004109","10280104","1028","0.03","1.2","1004107","1.5","0","1004106","1.4","10280105","1004108","0","1004207","710041","1","1004206","401045191","1001303","1","1.2","3","401045171","1.3","2","1004208","401045181","10280101","401045201","1000000","10280102","1004210","10280103","1","1004209","2","1004110","401045161"
"97","1004109","10280104","1028","0.06","1.6","1004107","2","0","1004106","1.9","10280105","1004108","0","1004207","710041","2","1004206","401045241","1001303","2","1.6","10","401045221","1.8","4","1004208","401045231","10280101","401045251","1000000","10280102","1004210","10280103","1","1004209","4","1004110","401045211"
"98","1004109","10280104","1028","0.06","2","1004107","2.6","0","1004106","2.4","10280105","1004108","0","1004207","710041","3","1004206","401045291","1001303","2","2","34","401045271","2.4","11","1004208","401045281","10280101","401045301","1000000","10280102","1004210","10280103","1","1004209","11","1004110","401045261"
"99","1004109","10280104","1028","0.06","3.5","1004107","4","0","1004106","3.8","10280105","1004108","0","1004207","710041","4","1004206","401045341","1001303","2","3.5","-1","401045321","3.7","35","1004208","401045331","10280101","401045351","1000000","10280102","1004210","10280103","1","1004209","35","1004110","401045311"
"100","1004104","10290104","1029","0.03","1.2","1004102","1.5","0","1004101","1.4","10290105","1004103","0","1004202","710051","1","1004201","401045541","1001301","1","1.2","1","401045521","1.3","1","1004203","401045531","10290101","401045551","1000000","10290102","1004205","10290103","1","1004204","1","1004105","401045511"
"101","1004109","10290104","1029","0.03","1.2","1004107","1.5","0","1004106","1.4","10290105","1004108","0","1004207","710051","1","1004206","401045541","1001303","1","1.2","3","401045521","1.3","2","1004208","401045531","10290101","401045551","1000000","10290102","1004210","10290103","1","1004209","2","1004110","401045511"
"102","1004109","10290104","1029","0.06","1.6","1004107","2","0","1004106","1.9","10290105","1004108","0","1004207","710051","2","1004206","401045591","1001303","2","1.6","10","401045571","1.8","4","1004208","401045581","10290101","401045601","1000000","10290102","1004210","10290103","1","1004209","4","1004110","401045561"
"103","1004109","10290104","1029","0.06","2","1004107","2.6","0","1004106","2.4","10290105","1004108","0","1004207","710051","3","1004206","401045641","1001303","2","2","34","401045621","2.4","11","1004208","401045631","10290101","401045651","1000000","10290102","1004210","10290103","1","1004209","11","1004110","401045611"
"104","1004109","10290104","1029","0.06","3.5","1004107","4","0","1004106","3.8","10290105","1004108","0","1004207","710051","4","1004206","401045691","1001303","2","3.5","-1","401045671","3.7","35","1004208","401045681","10290101","401045701","1000000","10290102","1004210","10290103","1","1004209","35","1004110","401045661"
"105","1004104","10300104","1030","0.03","1.2","1004102","1.5","0","1004101","1.4","10300105","1004103","0","1004202","710061","1","1004201","401045891","1001301","1","1.2","1","401045871","1.3","1","1004203","401045881","10300101","401045901","1000000","10300102","1004205","10300103","1","1004204","1","1004105","401045861"
"106","1004109","10300104","1030","0.03","1.2","1004107","1.5","0","1004106","1.4","10300105","1004108","0","1004207","710061","1","1004206","401045891","1001303","1","1.2","3","401045871","1.3","2","1004208","401045881","10300101","401045901","1000000","10300102","1004210","10300103","1","1004209","2","1004110","401045861"
"107","1004109","10300104","1030","0.06","1.6","1004107","2","0","1004106","1.9","10300105","1004108","0","1004207","710061","2","1004206","401045941","1001303","2","1.6","10","401045921","1.8","4","1004208","401045931","10300101","401045951","1000000","10300102","1004210","10300103","1","1004209","4","1004110","401045911"
"108","1004109","10300104","1030","0.06","2","1004107","2.6","0","1004106","2.4","10300105","1004108","0","1004207","710061","3","1004206","401045991","1001303","2","2","34","401045971","2.4","11","1004208","401045981","10300101","401046001","1000000","10300102","1004210","10300103","1","1004209","11","1004110","401045961"
"109","1004109","10300104","1030","0.06","3.5","1004107","4","0","1004106","3.8","10300105","1004108","0","1004207","710061","4","1004206","401046041","1001303","2","3.5","-1","401046021","3.7","35","1004208","401046031","10300101","401046051","1000000","10300102","1004210","10300103","1","1004209","35","1004110","401046011"
"110","1004104","10310104","1031","0.03","1.2","1004102","1.5","0","1004101","1.4","10310105","1004103","0","1004202","710071","1","1004201","401046241","1001301","1","1.2","1","401046221","1.3","1","1004203","401046231","10310101","401046251","1000000","10310102","1004205","10310103","1","1004204","1","1004105","401046211"
"111","1004109","10310104","1031","0.03","1.2","1004107","1.5","0","1004106","1.4","10310105","1004108","0","1004207","710071","1","1004206","401046241","1001303","1","1.2","3","401046221","1.3","2","1004208","401046231","10310101","401046251","1000000","10310102","1004210","10310103","1","1004209","2","1004110","401046211"
"112","1004109","10310104","1031","0.06","1.6","1004107","2","0","1004106","1.9","10310105","1004108","0","1004207","710071","2","1004206","401046291","1001303","2","1.6","10","401046271","1.8","4","1004208","401046281","10310101","401046301","1000000","10310102","1004210","10310103","1","1004209","4","1004110","401046261"
"113","1004109","10310104","1031","0.06","2","1004107","2.6","0","1004106","2.4","10310105","1004108","0","1004207","710071","3","1004206","401046341","1001303","2","2","34","401046321","2.4","11","1004208","401046331","10310101","401046351","1000000","10310102","1004210","10310103","1","1004209","11","1004110","401046311"
"114","1004109","10310104","1031","0.06","3.5","1004107","4","0","1004106","3.8","10310105","1004108","0","1004207","710071","4","1004206","401046391","1001303","2","3.5","-1","401046371","3.7","35","1004208","401046381","10310101","401046401","1000000","10310102","1004210","10310103","1","1004209","35","1004110","401046361"
"115","1004104","10320104","1032","0.03","1.2","1004102","1.5","0","1004101","1.4","10320105","1004103","0","1004202","710081","1","1004201","401046591","1001301","1","1.2","1","401046571","1.3","1","1004203","401046581","10320101","401046601","1000000","10320102","1004205","10320103","1","1004204","1","1004105","401046561"
"116","1004109","10320104","1032","0.03","1.2","1004107","1.5","0","1004106","1.4","10320105","1004108","0","1004207","710081","1","1004206","401046591","1001303","1","1.2","3","401046571","1.3","2","1004208","401046581","10320101","401046601","1000000","10320102","1004210","10320103","1","1004209","2","1004110","401046561"
"117","1004109","10320104","1032","0.06","1.6","1004107","2","0","1004106","1.9","10320105","1004108","0","1004207","710081","2","1004206","401046641","1001303","2","1.6","10","401046621","1.8","4","1004208","401046631","10320101","401046651","1000000","10320102","1004210","10320103","1","1004209","4","1004110","401046611"
"118","1004109","10320104","1032","0.06","2","1004107","2.6","0","1004106","2.4","10320105","1004108","0","1004207","710081","3","1004206","401046691","1001303","2","2","34","401046671","2.4","11","1004208","401046681","10320101","401046701","1000000","10320102","1004210","10320103","1","1004209","11","1004110","401046661"
"119","1004109","10320104","1032","0.06","3.5","1004107","4","0","1004106","3.8","10320105","1004108","0","1004207","710081","4","1004206","401046741","1001303","2","3.5","-1","401046721","3.7","35","1004208","401046731","10320101","401046751","1000000","10320102","1004210","10320103","1","1004209","35","1004110","401046711"
"120","1004104","10330104","1033","0.03","1.2","1004102","1.5","0","1004101","1.4","10330105","1004103","0","1004202","710091","1","1004201","401046941","1001301","1","1.2","1","401046921","1.3","1","1004203","401046931","10330101","401046951","1000000","10330102","1004205","10330103","1","1004204","1","1004105","401046911"
"121","1004109","10330104","1033","0.03","1.2","1004107","1.5","0","1004106","1.4","10330105","1004108","0","1004207","710091","1","1004206","401046941","1001303","1","1.2","3","401046921","1.3","2","1004208","401046931","10330101","401046951","1000000","10330102","1004210","10330103","1","1004209","2","1004110","401046911"
"122","1004109","10330104","1033","0.06","1.6","1004107","2","0","1004106","1.9","10330105","1004108","0","1004207","710091","2","1004206","401046991","1001303","2","1.6","10","401046971","1.8","4","1004208","401046981","10330101","401047001","1000000","10330102","1004210","10330103","1","1004209","4","1004110","401046961"
"123","1004109","10330104","1033","0.06","2","1004107","2.6","0","1004106","2.4","10330105","1004108","0","1004207","710091","3","1004206","401047041","1001303","2","2","34","401047021","2.4","11","1004208","401047031","10330101","401047051","1000000","10330102","1004210","10330103","1","1004209","11","1004110","401047011"
"124","1004109","10330104","1033","0.06","3.5","1004107","4","0","1004106","3.8","10330105","1004108","0","1004207","710091","4","1004206","401047091","1001303","2","3.5","-1","401047071","3.7","35","1004208","401047081","10330101","401047101","1000000","10330102","1004210","10330103","1","1004209","35","1004110","401047061"
"125","1004104","10340104","1034","0.03","1.2","1004102","1.5","0","1004101","1.4","10340105","1004103","0","1004202","710101","1","1004201","401047291","1001301","1","1.2","1","401047271","1.3","1","1004203","401047281","10340101","401047301","1000000","10340102","1004205","10340103","1","1004204","1","1004105","401047261"
"126","1004109","10340104","1034","0.03","1.2","1004107","1.5","0","1004106","1.4","10340105","1004108","0","1004207","710101","1","1004206","401047291","1001303","1","1.2","3","401047271","1.3","2","1004208","401047281","10340101","401047301","1000000","10340102","1004210","10340103","1","1004209","2","1004110","401047261"
"127","1004109","10340104","1034","0.06","1.6","1004107","2","0","1004106","1.9","10340105","1004108","0","1004207","710101","2","1004206","401047341","1001303","2","1.6","10","401047321","1.8","4","1004208","401047331","10340101","401047351","1000000","10340102","1004210","10340103","1","1004209","4","1004110","401047311"
"128","1004109","10340104","1034","0.06","2","1004107","2.6","0","1004106","2.4","10340105","1004108","0","1004207","710101","3","1004206","401047391","1001303","2","2","34","401047371","2.4","11","1004208","401047381","10340101","401047401","1000000","10340102","1004210","10340103","1","1004209","11","1004110","401047361"
"129","1004109","10340104","1034","0.06","3.5","1004107","4","0","1004106","3.8","10340105","1004108","0","1004207","710101","4","1004206","401047441","1001303","2","3.5","44","401047421","3.7","35","1004208","401047431","10340101","401047451","1000000","10340102","1004210","10340103","1","1004209","35","1004110","401047411"
"130","1004109","10340104","1034","0.06","3.5","1004107","4","0","1004106","3.8","10340105","1004108","0","1004207","710101","5","1004206","401047491","1001303","2","3.5","-1","401047471","3.7","45","1004208","401047481","10340101","401047501","1000000","10340102","1004210","10340103","1","1004209","45","1004110","401047461"
"131","1004104","10350104","1035","0.03","1.2","1004102","1.5","0","1004101","1.4","10350105","1004103","0","1004202","710111","1","1004201","401047691","1001301","1","1.2","1","401047671","1.3","1","1004203","401047681","10350101","401047701","1000000","10350102","1004205","10350103","1","1004204","1","1004105","401047661"
"132","1004109","10350104","1035","0.03","1.2","1004107","1.5","0","1004106","1.4","10350105","1004108","0","1004207","710111","1","1004206","401047691","1001303","1","1.2","3","401047671","1.3","2","1004208","401047681","10350101","401047701","1000000","10350102","1004210","10350103","1","1004209","2","1004110","401047661"
"133","1004109","10350104","1035","0.06","1.6","1004107","2","0","1004106","1.9","10350105","1004108","0","1004207","710111","2","1004206","401047741","1001303","2","1.6","10","401047721","1.8","4","1004208","401047731","10350101","401047751","1000000","10350102","1004210","10350103","1","1004209","4","1004110","401047711"
"134","1004109","10350104","1035","0.06","2","1004107","2.6","0","1004106","2.4","10350105","1004108","0","1004207","710111","3","1004206","401047791","1001303","2","2","34","401047771","2.4","11","1004208","401047781","10350101","401047801","1000000","10350102","1004210","10350103","1","1004209","11","1004110","401047761"
"135","1004109","10350104","1035","0.06","3.5","1004107","4","0","1004106","3.8","10350105","1004108","0","1004207","710111","4","1004206","401047841","1001303","2","3.5","44","401047821","3.7","35","1004208","401047831","10350101","401047851","1000000","10350102","1004210","10350103","1","1004209","35","1004110","401047811"
"136","1004109","10350104","1035","0.06","3.5","1004107","4","0","1004106","3.8","10350105","1004108","0","1004207","710111","5","1004206","401047891","1001303","2","3.5","-1","401047871","3.7","45","1004208","401047881","10350101","401047901","1000000","10350102","1004210","10350103","1","1004209","45","1004110","401047861"
"137","1004104","10360104","1036","0.03","1.2","1004102","1.5","0","1004101","1.4","10360105","1004103","0","1004202","710121","1","1004201","401048091","1001301","1","1.2","1","401048071","1.3","1","1004203","401048081","10360101","401048101","1000000","10360102","1004205","10360103","1","1004204","1","1004105","401048061"
"138","1004109","10360104","1036","0.03","1.2","1004107","1.5","0","1004106","1.4","10360105","1004108","0","1004207","710121","1","1004206","401048091","1001303","1","1.2","3","401048071","1.3","2","1004208","401048081","10360101","401048101","1000000","10360102","1004210","10360103","1","1004209","2","1004110","401048061"
"139","1004109","10360104","1036","0.06","1.6","1004107","2","0","1004106","1.9","10360105","1004108","0","1004207","710121","2","1004206","401048141","1001303","2","1.6","10","401048121","1.8","4","1004208","401048131","10360101","401048151","1000000","10360102","1004210","10360103","1","1004209","4","1004110","401048111"
"140","1004109","10360104","1036","0.06","2","1004107","2.6","0","1004106","2.4","10360105","1004108","0","1004207","710121","3","1004206","401048191","1001303","2","2","34","401048171","2.4","11","1004208","401048181","10360101","401048201","1000000","10360102","1004210","10360103","1","1004209","11","1004110","401048161"
"141","1004109","10360104","1036","0.06","3.5","1004107","4","0","1004106","3.8","10360105","1004108","0","1004207","710121","4","1004206","401048241","1001303","2","3.5","44","401048221","3.7","35","1004208","401048231","10360101","401048251","1000000","10360102","1004210","10360103","1","1004209","35","1004110","401048211"
"142","1004109","10360104","1036","0.06","3.5","1004107","4","0","1004106","3.8","10360105","1004108","0","1004207","710121","5","1004206","401048291","1001303","2","3.5","-1","401048271","3.7","45","1004208","401048281","10360101","401048301","1000000","10360102","1004210","10360103","1","1004209","45","1004110","401048261"
"143","1004104","10370104","1037","0.03","1.2","1004102","1.5","0","1004101","1.4","10370105","1004103","0","1004202","710011","1","1004201","401048491","1001301","1","1.2","1","401048471","1.3","1","1004203","401048481","10370101","401048501","1000000","10370102","1004205","10370103","1","1004204","1","1004105","401048461"
"144","1004109","10370104","1037","0.03","1.2","1004107","1.5","0","1004106","1.4","10370105","1004108","0","1004207","710011","1","1004206","401048491","1001303","1","1.2","3","401048471","1.3","2","1004208","401048481","10370101","401048501","1000000","10370102","1004210","10370103","1","1004209","2","1004110","401048461"
"145","1004109","10370104","1037","0.06","1.6","1004107","2","0","1004106","1.9","10370105","1004108","0","1004207","710011","2","1004206","401048541","1001303","2","1.6","10","401048521","1.8","4","1004208","401048531","10370101","401048551","1000000","10370102","1004210","10370103","1","1004209","4","1004110","401048511"
"146","1004109","10370104","1037","0.06","2","1004107","2.6","0","1004106","2.4","10370105","1004108","0","1004207","710011","3","1004206","401048591","1001303","2","2","34","401048571","2.4","11","1004208","401048581","10370101","401048601","1000000","10370102","1004210","10370103","1","1004209","11","1004110","401048561"
"147","1004109","10370104","1037","0.06","3.5","1004107","4","0","1004106","3.8","10370105","1004108","0","1004207","710011","4","1004206","401048641","1001303","2","3.5","44","401048621","3.7","35","1004208","401048631","10370101","401048651","1000000","10370102","1004210","10370103","1","1004209","35","1004110","401048611"
"148","1004109","10370104","1037","0.06","3.5","1004107","4","0","1004106","3.8","10370105","1004108","0","1004207","710011","5","1004206","401048691","1001303","2","3.5","-1","401048671","3.7","45","1004208","401048681","10370101","401048701","1000000","10370102","1004210","10370103","1","1004209","45","1004110","401048661"
"149","1004104","10380104","1038","0.03","1.2","1004102","1.5","0","1004101","1.4","10380105","1004103","0","1004202","710021","1","1004201","401048891","1001301","1","1.2","1","401048871","1.3","1","1004203","401048881","10380101","401048901","1000000","10380102","1004205","10380103","1","1004204","1","1004105","401048861"
"150","1004109","10380104","1038","0.03","1.2","1004107","1.5","0","1004106","1.4","10380105","1004108","0","1004207","710021","1","1004206","401048891","1001303","1","1.2","3","401048871","1.3","2","1004208","401048881","10380101","401048901","1000000","10380102","1004210","10380103","1","1004209","2","1004110","401048861"
"151","1004109","10380104","1038","0.06","1.6","1004107","2","0","1004106","1.9","10380105","1004108","0","1004207","710021","2","1004206","401048941","1001303","2","1.6","10","401048921","1.8","4","1004208","401048931","10380101","401048951","1000000","10380102","1004210","10380103","1","1004209","4","1004110","401048911"
"152","1004109","10380104","1038","0.06","2","1004107","2.6","0","1004106","2.4","10380105","1004108","0","1004207","710021","3","1004206","401048991","1001303","2","2","34","401048971","2.4","11","1004208","401048981","10380101","401049001","1000000","10380102","1004210","10380103","1","1004209","11","1004110","401048961"
"153","1004109","10380104","1038","0.06","3.5","1004107","4","0","1004106","3.8","10380105","1004108","0","1004207","710021","4","1004206","401049041","1001303","2","3.5","44","401049021","3.7","35","1004208","401049031","10380101","401049051","1000000","10380102","1004210","10380103","1","1004209","35","1004110","401049011"
"154","1004109","10380104","1038","0.06","3.5","1004107","4","0","1004106","3.8","10380105","1004108","0","1004207","710021","5","1004206","401049091","1001303","2","3.5","-1","401049071","3.7","45","1004208","401049081","10380101","401049101","1000000","10380102","1004210","10380103","1","1004209","45","1004110","401049061"
"155","1004104","10390104","1039","0.03","1.2","1004102","1.5","0","1004101","1.4","10390105","1004103","0","1004202","710031","1","1004201","401049291","1001301","1","1.2","1","401049271","1.3","1","1004203","401049281","10390101","401049301","1000000","10390102","1004205","10390103","1","1004204","1","1004105","401049261"
"156","1004109","10390104","1039","0.03","1.2","1004107","1.5","0","1004106","1.4","10390105","1004108","0","1004207","710031","1","1004206","401049291","1001303","1","1.2","3","401049271","1.3","2","1004208","401049281","10390101","401049301","1000000","10390102","1004210","10390103","1","1004209","2","1004110","401049261"
"157","1004109","10390104","1039","0.06","1.6","1004107","2","0","1004106","1.9","10390105","1004108","0","1004207","710031","2","1004206","401049341","1001303","2","1.6","10","401049321","1.8","4","1004208","401049331","10390101","401049351","1000000","10390102","1004210","10390103","1","1004209","4","1004110","401049311"
"158","1004109","10390104","1039","0.06","2","1004107","2.6","0","1004106","2.4","10390105","1004108","0","1004207","710031","3","1004206","401049391","1001303","2","2","30","401049371","2.4","11","1004208","401049381","10390101","401049401","1000000","10390102","1004210","10390103","1","1004209","11","1004110","401049361"
"159","1004109","10390104","1039","0.06","3.5","1004107","4","0","1004106","3.8","10390105","1004108","0","1004207","710031","4","1004206","401049441","1001303","2","3.5","40","401049421","3.7","31","1004208","401049431","10390101","401049451","1000000","10390102","1004210","10390103","1","1004209","31","1004110","401049411"
"160","1004109","10390104","1039","0.06","3.5","1004107","4","0","1004106","3.8","10390105","1004108","0","1004207","710031","5","1004206","401049491","1001303","2","3.5","-1","401049471","3.7","41","1004208","401049481","10390101","401049501","1000000","10390102","1004210","10390103","1","1004209","41","1004110","401049461"
"161","1004104","10400104","1040","0.03","1.2","1004102","1.5","0","1004101","1.4","10400105","1004103","0","1004202","710041","1","1004201","401049691","1001301","1","1.2","1","401049671","1.3","1","1004203","401049681","10400101","401049701","1000000","10400102","1004205","10400103","1","1004204","1","1004105","401049661"
"162","1004109","10400104","1040","0.03","1.2","1004107","1.5","0","1004106","1.4","10400105","1004108","0","1004207","710041","1","1004206","401049691","1001303","1","1.2","3","401049671","1.3","2","1004208","401049681","10400101","401049701","1000000","10400102","1004210","10400103","1","1004209","2","1004110","401049661"
"163","1004109","10400104","1040","0.06","1.6","1004107","2","0","1004106","1.9","10400105","1004108","0","1004207","710041","2","1004206","401049741","1001303","2","1.6","10","401049721","1.8","4","1004208","401049731","10400101","401049751","1000000","10400102","1004210","10400103","1","1004209","4","1004110","401049711"
"164","1004109","10400104","1040","0.06","2","1004107","2.6","0","1004106","2.4","10400105","1004108","0","1004207","710041","3","1004206","401049791","1001303","2","2","30","401049771","2.4","11","1004208","401049781","10400101","401049801","1000000","10400102","1004210","10400103","1","1004209","11","1004110","401049761"
"165","1004109","10400104","1040","0.06","3.5","1004107","4","0","1004106","3.8","10400105","1004108","0","1004207","710041","4","1004206","401049841","1001303","2","3.5","40","401049821","3.7","31","1004208","401049831","10400101","401049851","1000000","10400102","1004210","10400103","1","1004209","31","1004110","401049811"
"166","1004109","10400104","1040","0.06","3.5","1004107","4","0","1004106","3.8","10400105","1004108","0","1004207","710041","5","1004206","401049891","1001303","2","3.5","-1","401049871","3.7","41","1004208","401049881","10400101","401049901","1000000","10400102","1004210","10400103","1","1004209","41","1004110","401049861"
"167","1004104","10410104","1041","0.03","1.2","1004102","1.5","0","1004101","1.4","10410105","1004103","0","1004202","710051","1","1004201","401050091","1001301","1","1.2","1","401050071","1.3","1","1004203","401050081","10410101","401050101","1000000","10410102","1004205","10410103","1","1004204","1","1004105","401050061"
"168","1004109","10410104","1041","0.03","1.2","1004107","1.5","0","1004106","1.4","10410105","1004108","0","1004207","710051","1","1004206","401050091","1001303","1","1.2","3","401050071","1.3","2","1004208","401050081","10410101","401050101","1000000","10410102","1004210","10410103","1","1004209","2","1004110","401050061"
"169","1004109","10410104","1041","0.06","1.6","1004107","2","0","1004106","1.9","10410105","1004108","0","1004207","710051","2","1004206","401050141","1001303","2","1.6","10","401050121","1.8","4","1004208","401050131","10410101","401050151","1000000","10410102","1004210","10410103","1","1004209","4","1004110","401050111"
