b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc
"阿澄佳奈","8","0","156","3","親人又多話的妹系少女","15","44","112901","璃乃（奇幻）","25","A","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","裁縫","人族","拉比林斯"
"大関英里","4","0","155","15","何時都會一見鍾情，純情少女","16","43","113001","步未（奇幻）","7","O","","觀察","精靈族","純白之翼 蘭德索爾分部"
"佐藤利奈","7","0","167","13","散發人情味的帥氣「大姐頭」","25","54","113101","流夏（夏日）","11","B","","釣魚","人族","暮光流星群"
"髙野麻美","7","0","159","13","相信前世的中二病患「疾風之冥姬」","17","45","113201","杏奈（夏日）","5","A","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","寫小說","魔族","暮光流星群"
"佳村はるか","8","0","166","13","宅宅暴走的魔法少女","18","55","113301","七七香（夏日）","21","O","","讀書、魔法","魔族","暮光流星群"
"大橋彩香","12","0","156","6","為了大家使用超能力的睡美人","17","46","113401","初音（夏日）","24","A","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","和妹妹一起玩、回籠覺、午睡、早睡","精靈族","森林守衛"
"國府田マリ子","9","0","165","6","充滿母性又溫柔，大家的「美里老師」","21","54","113501","美里（夏日）","5","O","","製作繪本","精靈族","森林守衛"
"川澄綾子","10","0","171","8","看不見面容的沉著女騎士","25","50","113601","純（夏日）","25","A","","格鬥技、入浴","人族","王宮騎士團"
"浅倉杏美","11","0","150","7","愛撒嬌又受大家喜歡","13","42","113701","茜里（天使）","22","O","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","薩克斯風","魔族","惡魔偽王國軍"
"原紗友里","11","0","150","7","怕生的任性女孩","13","40","113801","依里（天使）","22","O","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","所有遊戲","魔族","惡魔偽王國軍"
"木戸衣吹","9","0","153","4","最愛時尚的可愛女孩","14","45","113901","紡希（萬聖節）","7","AB","","裁縫","人族","慈樂之音"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","114001","怜（萬聖節）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"下田麻美","11","0","146","8","仰慕英雄的見習騎士少女","12","40","114101","茉莉（萬聖節）","25","O","","英雄扮演遊戲","獸人族","王宮騎士團"
"辻あゆみ","7","0","140","15","外表與內心都是孩子的異國軍人","18","33","114201","莫妮卡（魔法少女）","28","A","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","逛點心店","人族","純白之翼 蘭德索爾分部"
"茅原実里","8","0","149","8","重情義愛捉弄人的劍術少女","13","43","114301","智（魔法少女）","11","A","","劍術、戲弄長輩","人族","王宮騎士團"
"松嵜麗","3","0","157","12","目標成為頂尖商人的元氣大小姐","18","45","114401","秋乃（聖誕節）","12","AB","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","慈善事業","人族","墨丘利財團"
"堀江由衣","10","0","156","9","經營育幼院的庶民派溫柔大小姐","17","43","114501","咲戀（聖誕節）","4","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","經營、茶會","精靈族","咲戀育幼院"
"今井麻美","3","0","164","12","既純情又放心不下的成熟女性","22","55","114601","優花梨（聖誕節）","16","A","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","隨意逛街","精靈族","墨丘利財團"
"潘めぐみ","8","0","148","","徬徨的謎樣少女","16","40","114701","矛依未（新年）","11","O","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","冒險、回憶故事","人族","？？？"
"井口裕香","3","0","149","","隱居在研究所，相當文靜的大姊姊","24","??","115001","似似花（新年）","24","O","","模仿、藝術欣賞","精靈族","？？？"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","115501","可可蘿（祭服）","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","115601","優衣（祭服）","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"水瀬いのり","11","0","152","10","頭腦聰明的美少女名偵探","15","41","115701","霞（夏日）","3","AB","","讀書、推理","獸人族","哞哞自衛隊"
"徳井青空","3","0","150","11","少女心的毛茸茸生物","18","100","115801","莉瑪（灰姑娘）","14","A","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","理毛、聊天","獸人族","伊麗莎白牧場"
"小松未可子","8","0","168","10","不輸男人的狂野義氣少女","17","54","115901","真琴（灰姑娘）","9","O","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","做點心","獸人族","哞哞自衛隊"
"内田真礼","9","0","155","10","真步真步王國的公主","16","42","116001","真步（灰姑娘）","22","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","幻想、蒐集玩偶","獸人族","哞哞自衛隊"
"種﨑敦美","8","0","154","16","生長在市區的陰暗系精靈族","17","42","116201","克蘿依（聖學祭）","7","O","","飛鏢","精靈族","聖德蕾莎女子學院（好朋友社）"
"佐倉綾音","9","0","156","16","天生自由奔放的失禮現代小孩","16","46","116301","琪愛兒（聖學祭）","15","O","","跳舞、卡拉OK","人族","聖德蕾莎女子學院（好朋友社）"
"小原好美","2","0","142","16","沉睡於書庫的小小賢人","18","36","116401","優妮（聖學祭）","28","O","","讀書","人族","聖德蕾莎女子學院（好朋友社）"
"藤田茜","9","0","145","17","嘴上功夫一流的廢材龍娘","13","???","116501","祈梨（時空旅行）","29","AB","","遊戲","龍人族","龍族巢穴"
"小市眞琴","6","0","156","17","專門用拳頭來交朋友的打手龍少女","16","???","116601","嘉夜（時空旅行）","25","B","","格鬥技","龍人族","龍族巢穴"
"花澤香菜","6","0","158","6","嚮往「朋友」的精靈之森女孩","13","44","116701","碧（工作服）","6","AB","","交朋友的想像訓練","精靈族","森林守衛"
"沼倉愛美","3","0","158","12","鋤強扶弱的貓娘","18","48","116801","珠希（工作服）","1","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","與貓咪玩耍","獸人族","墨丘利財團"
"田所あずさ","11","0","163","12","公事私事都效率至上的傭兵少女","20","49","116901","美冬（工作服）","11","O","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","傭兵等等的打工","人族","墨丘利財團"
"橋本ちなみ","7","0","154","13","專情於命中注定對象的少女","16","43","117001","惠理子（夏日）","30","B","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","實驗、裁縫、料理","魔族","暮光流星群"
"生天目仁美","10","0","168","3","姐姐會照顧你的呦！","18","54","117101","靜流（夏日）","24","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","所有家事","人族","拉比林斯"
"日笠陽子","1","0","157","4","能歌善舞的超人氣偶像","17","40","117201","望（夏日）","24","B","","看舞台劇，跳舞","人族","慈樂之音"
"福原綾香","6","0","163","4","守護人們而歌唱的唱喚士少女","17","46","117301","千歌（夏日）","3","O","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","各種樂器","人族","慈樂之音"
"木戸衣吹","9","0","153","4","最愛時尚的可愛女孩","14","45","117401","紡希（夏日）","7","AB","","裁縫","人族","慈樂之音"
"三石琴乃","3","0","166","13","興趣是實驗的危險科學家","27","53","117501","深月（大江戶）","7","A","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","研究、實驗","人族","暮光流星群"
"大空直美","10","0","150","15","我比任何人都還要美麗","14","40","117601","雪（大江戶）","10","AB","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","欣賞鏡中的自己","精靈族","純白之翼 蘭德索爾分部"
"高森奈津美","7","0","158","10","隨時都「船到橋頭自然直」的天真少女","19","53","117701","香織（萬聖節）","7","A","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","跳舞、空手道","獸人族","哞哞自衛隊"
"佐藤聡美","8","0","163","15","東國的神祕，請告訴我！","16","51","117801","妮諾（萬聖節）","31","O","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","忍法開發","人族","純白之翼 蘭德索爾分部"
"上坂すみれ","4","0","167","14","天真浪漫的人氣超級名模","18","48","117901","鈴奈（萬聖節）","10","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","時尚","魔族","月光學院"
"Lynn","9","0","160","18","醒悟了忠義的女商人","26","57","118001","克蕾琪塔","19","A","","數錢、打壞主意","人族","里士滿工商會"
"原田彩楓","12","0","165","19","歌唱尋求靜寂的陰沉少女","20","53","118101","蘭法","28","O","","唱歌、看書，以及寫詩","魔族","憤怒‧軍團"
"鬼頭明里","7","0","159","","樂觀開朗，卻趨向毀滅的活潑少女","16","??","118201","美空","2","A","","無","人族","憤怒‧軍團"
"洲崎綾","9","0","152","","擔任【公會管理協會】職員的親切大姐姐","24","43","118501","花凜","12","A","","處理文件、散步、桌遊","人族","？？？"
"相坂優歌","?","0","???","","在幻霧玩耍的愛惡作劇嚮導小妖精","??","???","118601","涅比亞","?","?","","惡作劇","？？？","？？？"
"伊藤静","8","0","162","14","魅惑眾多男性的純潔女老師","23","52","119001","伊緒（黑暗）","14","B","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","看戀愛小說、戀愛劇、戀愛漫畫","魔族","月光學院"
"長妻樹里","11","0","157","15","最愛妄想！其實是個害羞少女","18","49","119101","空花（黑暗）","19","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","閱讀小說","人族","純白之翼 蘭德索爾分部"
"新田恵海","3","0","142","11","令大家歡笑的歡樂牧場主人","20","35","119201","真陽（聖誕節）","3","B","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","相聲","人族","伊麗莎白牧場"
"阿澄佳奈","8","0","156","3","親人又多話的妹系少女","15","44","119301","璃乃（聖誕節）","25","A","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","裁縫","人族","拉比林斯"
"雨宮天","1","0","130","7","最愛布丁的幽靈少女","14","32","119901","宮子（聖誕節）","23","B","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","吃布丁","魔族","惡魔偽王國軍"
"生天目仁美","10","0","168","3","姐姐會照顧你的呦！","18","54","120001","靜流（黑暗）","24","O","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","所有家事","人族","拉比林斯"
"近藤玲奈","12","0","147","1","失去記憶的龍人族少女","14","???","120701","雪菲（新年）","14","B","","讀書、伸展運動","龍人族","美食殿堂"
"佐藤利奈","7","0","167","13","散發人情味的帥氣「大姐頭」","25","54","120801","流夏（新年）","11","B","","釣魚","人族","暮光流星群"
"丹下桜","5","0","172","7","曾經支配黑夜的最強吸血鬼","??","50","120901","伊莉亞（新年）","5","A","","征服世界","魔族","惡魔偽王國軍"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","121001","貪吃佩可（超載）","31","O","","邊走邊吃、料理","人族","美食殿堂"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","121101","凱留（超載）","2","A","","和貓咪玩耍","獸人族","美食殿堂"
"沢城みゆき","7","0","160","3","祕密結社拉比林斯的「迷宮女王」","25","??","121201","拉比林斯達（超載）","25","AB","","觀察人類","人族","拉比林斯"
"植田佳奈","6","0","150","9","愛哭又膽小，令人想去保護的女孩","12","40","121301","胡桃（舞台）","9","B","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","看戲、扮家家酒","人族","咲戀育幼院"
"久野美咲","1","0","120","14","稍微有點差距的少女戀情","11","22","121401","美咲（舞台）","3","A","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","閱讀流行雜誌、蒐集化妝品","魔族","月光學院"
"大関英里","4","0","155","15","何時都會一見鍾情，純情少女","16","43","121501","步未（怪盜）","7","O","","觀察","精靈族","純白之翼 蘭德索爾分部"
"藤田茜","9","0","145","17","嘴上功夫一流的廢材龍娘","13","???","121601","祈梨（怪盜）","29","AB","","遊戲","龍人族","龍族巢穴"
"髙野麻美","7","0","159","13","相信前世的中二病患「疾風之冥姬」","17","45","121901","杏奈（海盜）","5","A","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","寫小說","魔族","暮光流星群"
"大坪由佳","12","0","157","7","擅長占卜的靈能少女","18","42","122001","忍（海盜）","22","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","占卜","魔族","惡魔偽王國軍"
"花澤香菜","6","0","158","6","嚮往「朋友」的精靈之森女孩","13","44","122101","碧（露營）","6","AB","","交朋友的想像訓練","精靈族","森林守衛"
"今井麻美","3","0","164","12","既純情又放心不下的成熟女性","22","55","122201","優花梨（露營）","16","A","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","隨意逛街","精靈族","墨丘利財團"
"釘宮理惠","?","0","149","","僕從親愛的主人","??","41","122301","班比","?","AB","","散步、做料理","魔族","？？？"
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","122401","日和（夏日）","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","122501","怜（夏日）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","122601","優衣（夏日）","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"小倉唯","2","0","118","5","端莊正直的嬌小優等生","8","21","122701","鏡華（夏日）","2","A","","讀書","精靈族","小小甜心"
"諸星すみれ","8","0","128","5","愛好冒險的搗蛋鬼","9","27","122801","禊（夏日）","10","O","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","惡作劇、探險","人族","小小甜心"
"日高里菜","4","0","117","5","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","10","21","122901","美美（夏日）","3","O","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","蒐集可愛的東西","獸人族","小小甜心"
"相坂優歌","?","0","150","","以全新樣貌繼續支持騎士冒險的妖精","??","???","123001","愛梅斯","?","?","","？？？","？？？","？？？"
"内田真礼","9","0","155","10","真步真步王國的公主","16","42","123101","真步（探險家）","22","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","幻想、蒐集玩偶","獸人族","哞哞自衛隊"
"芹澤優","5","0","148","9","永遠跟噗吉在一起！","14","38","123201","綾音（探險家）","10","B","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","能在房間裡玩的遊戲","人族","咲戀育幼院"
"和氣杏未","6","0","157","19","超喜歡正太♪辣妹系史萊姆女孩","19","55","123301","涅婭","13","B","","和可愛的正太玩、購物","魔族？","憤怒‧軍團"
"川澄綾子","10","0","171","8","看不見面容的沉著女騎士","25","50","123401","純（露營）","25","A","","格鬥技、入浴","人族","王宮騎士團"
"小岩井ことり","1","0","144","11","視玩樂與睡眠為第一的懶惰少女","17","42","123501","鈴（萬聖節）","1","B","","紅豆麵包","獸人族","伊麗莎白牧場"
"茅原実里","8","0","149","8","重情義愛捉弄人的劍術少女","13","43","123601","智（萬聖節）","11","A","","劍術、戲弄長輩","人族","王宮騎士團"
"佳村はるか","8","0","166","13","宅宅暴走的魔法少女","18","55","123701","七七香（萬聖節）","21","O","","讀書、魔法","魔族","暮光流星群"
"たかはし智秋","2","0","165","8","自視甚高的王宮騎士團副團長","27","??","123801","克莉絲提娜（狂野）","7","O","","和強敵之間的競爭","人族","王宮騎士團"
"下田麻美","11","0","146","8","仰慕英雄的見習騎士少女","12","40","123901","茉莉（狂野）","25","O","","英雄扮演遊戲","獸人族","王宮騎士團"
"浅倉杏美","11","0","150","7","愛撒嬌又受大家喜歡","13","42","124001","茜里（聖誕節）","22","O","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","薩克斯風","魔族","惡魔偽王國軍"
"原紗友里","11","0","150","7","怕生的任性女孩","13","40","124101","依里（聖誕節）","22","O","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","所有遊戲","魔族","惡魔偽王國軍"
"川澄綾子","10","0","171","8","看不見面容的沉著女騎士","25","50","124201","純（聖誕節）","25","A","","格鬥技、入浴","人族","王宮騎士團"
"大西沙織","4","0","168","17","面帶詭譎的笑容看透一切的臥龍首領。","25","???","124501","帆稀（新年）","17","O","","繪畫、讀書","龍人族","龍族巢穴"
"國府田マリ子","9","0","165","6","充滿母性又溫柔，大家的「美里老師」","21","54","124601","美里（新年）","5","O","","製作繪本","精靈族","森林守衛"
"三石琴乃","3","0","166","13","興趣是實驗的危險科學家","27","53","124701","深月（新年）","7","A","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","研究、實驗","人族","暮光流星群"
"日笠陽子","1","0","157","4","能歌善舞的超人氣偶像","17","40","124801","望（解放者）","24","B","","看舞台劇，跳舞","人族","慈樂之音"
"小市眞琴","6","0","156","17","專門用拳頭來交朋友的打手龍少女","16","???","124901","嘉夜（解放者）","25","B","","格鬥技","龍人族","龍族巢穴"
"潘めぐみ","8","0","148","","徬徨的謎樣少女","16","40","125001","矛依未（解放者）","11","O","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","冒險、回憶故事","人族","？？？"
"沼倉愛美","3","0","158","12","鋤強扶弱的貓娘","18","48","125101","珠希（咖啡廳）","1","AB","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","與貓咪玩耍","獸人族","墨丘利財團"
"辻あゆみ","7","0","140","15","外表與內心都是孩子的異國軍人","18","33","125201","莫妮卡（咖啡廳）","28","A","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","逛點心店","人族","純白之翼 蘭德索爾分部"
"伊藤美来","5","0","140","1","仰慕主人，小小嚮導","11","35","125301","可可蘿（遊俠）","11","B","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","冥想、養育動植物","精靈族","美食殿堂"
"小清水亜美","11","0","153","11","喜愛讀書的體弱少女","14","40","125401","栞（遊俠）","3","A","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","讀書、散步","獸人族","伊麗莎白牧場"
"金元寿子","3","0","156","","夢想前往天空冒險的騎空士少女","17","45","125501","吉塔（術士）","10","O","","冒險、聊天","人族","？？？"
"種﨑敦美","12","0","145","","陰陽之力兼具的鼠神宮巫女","14","39","125601","碧卡拉","4","AB","","製作老鼠耳朵","人族","？？？"
"洲崎綾","9","0","152","","擔任【公會管理協會】職員的親切大姐姐","24","43","125701","花凜（鍊金術師）","12","A","","處理文件、散步、桌遊","人族","？？？"
"鈴木みのり","4","0","154","20","懷抱贖罪之心，追求力量的妹系大和撫子","15","44","125801","莉莉（墮落）","29","A","","花藝、閱讀（經典文學）、東國畫","人族","幻變少女"
"前田佳織里","11","0","147","20","背負著難以忘懷過錯的黑色翅膀聖女","13","42","126001","可璃亞（墮落）","1","O","","做點心、照顧花朵、演奏小提琴","人族","幻變少女"
"高尾奏音","3","0","135","20","繼承正義靈魂的爆食系天才純真女孩","10","34","126101","普蕾西亞（墮落）","1","O","","吃飯","獸人族","幻變少女"
"丹下桜","5","0","172","7","曾經支配黑夜的最強吸血鬼","??","50","126201","伊莉亞（祭服）","5","A","","征服世界","魔族","惡魔偽王國軍"
"大空直美","10","0","150","15","我比任何人都還要美麗","14","40","126301","雪（祭服）","10","AB","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","欣賞鏡中的自己","精靈族","純白之翼 蘭德索爾分部"
"長谷川育美","11","0","170","","笑容滿溢！精力充沛的機械少女","??","未換裝時252","126401","克蘿茜","11","?","","午睡，幫助他人","機械人族","？？？"
"河瀨茉希","1","0","162","","兼具溫柔與傲慢的公主。","??","??","126501","萊拉耶爾","17","?","","午睡、試吃甜點新品。","天使族","吉歐‧提格尼亞"
"井口裕香","3","0","149","","隱居在研究所，相當文靜的大姊姊","24","??","126601","似似花（夏日）","24","O","","模仿、藝術欣賞","精靈族","？？？"
"松嵜麗","3","0","157","12","目標成為頂尖商人的元氣大小姐","18","45","126701","秋乃（夏日）","12","AB","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","慈善事業","人族","墨丘利財團"
"今井麻美","3","0","164","12","既純情又放心不下的成熟女性","22","55","126801","優花梨（夏日）","16","A","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","隨意逛街","精靈族","墨丘利財團"
"原田彩楓","12","0","165","19","歌唱尋求靜寂的陰沉少女","20","53","126901","蘭法（夏日）","28","O","","唱歌、看書，以及寫詩","魔族","憤怒‧軍團"
"長妻樹里","11","0","157","15","最愛妄想！其實是個害羞少女","18","49","127001","空花（夏日）","19","AB","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","閱讀小說","人族","純白之翼 蘭德索爾分部"
"大坪由佳","12","0","157","7","擅長占卜的靈能少女","18","42","127101","忍（夏日）","22","AB","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","占卜","魔族","惡魔偽王國軍"
"立花理香","9","0","152","1","倒在路旁的謎之貓耳魔法師","14","39","127201","凱留（插班生）","2","A","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","和貓咪玩耍","獸人族","美食殿堂"
"上坂すみれ","4","0","167","14","天真浪漫的人氣超級名模","18","48","127301","鈴奈（插班生）","10","O","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","時尚","魔族","月光學院"
"堀江由衣","10","0","156","9","經營育幼院的庶民派溫柔大小姐","17","43","127501","咲戀（薩拉薩利亞）","4","A","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","經營、茶會","精靈族","咲戀育幼院"
"佐藤利奈","7","0","167","13","散發人情味的帥氣「大姐頭」","25","54","127601","流夏（薩拉薩利亞）","11","B","","釣魚","人族","暮光流星群"
"豐田萌繪","2","0","145","","認真又拼命的龍女僕（姊）","12","???","127701","琳德","5","?","","與妹妹一起度過的假日","龍人族","？？？"
"關根明良","2","0","145","","不認真又倦怠的龍女僕（妹）","12","???","127801","烏爾姆","5","?","","偷懶，與姐姐一起度過的假日","龍人族","？？？"
"M・A・O","3","0","156","1","元氣滿點的空腹少女","17","46","127901","貪吃佩可（聖誕節）","31","O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","邊走邊吃、料理","人族","美食殿堂"
"Lynn","9","0","160","18","醒悟了忠義的女商人","26","57","128001","克蕾琪塔（聖誕節）","19","A","","數錢、打壞主意","人族","里士滿工商會"
"藤田茜","9","0","145","17","嘴上功夫一流的廢材龍娘","13","???","128301","祈梨（新年）","29","AB","","遊戲","龍人族","龍族巢穴"
"大橋彩香","12","0","156","6","為了大家使用超能力的睡美人","17","46","128401","初音（新年）","24","A","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","和妹妹一起玩、回籠覺、午睡、早睡","精靈族","森林守衛"
"水瀬いのり","11","0","152","10","頭腦聰明的美少女名偵探","15","41","128501","霞（新年）","3","AB","","讀書、推理","獸人族","哞哞自衛隊"
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","128701","日和（星素）","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","128801","怜（星素）","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","128901","優衣（星素）","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"桑島法子","2","0","168","","在悲劇的根源盛開的美麗黑薔薇","??","??","129001","厄莉絲","15","?","","聽騎士先生說話","人族","？？？"
"小原好美","2","0","142","16","沉睡於書庫的小小賢人","18","36","129301","優妮（冬日）","28","O","","讀書","人族","聖德蕾莎女子學院（好朋友社）"
"種﨑敦美","8","0","154","16","生長在市區的陰暗系精靈族","17","42","129401","克蘿依（冬日）","7","O","","飛鏢","精靈族","聖德蕾莎女子學院（好朋友社）"
"立花日菜","4","0","145","","繚繞孤絕香氣的花妖魔人","13","39","129601","安涅默涅","2","A","","照顧花卉、拔除棘刺","妖魔人","？？？"
