589e5f548ed912c24e10d13165dbd576cb5bc786a830ae9abc4c94074483b8df,4d2da34a628243a53b11dfa3b6e2ed39e129cfe2c27d2724b572057a5a9245c0,5216fa3b7cc2a2c520672f0c714afeb6aa4ad3273728629254fa4bac44977a79,8cd3c74b5270accf9e6192972a8bae656f4b93342a73837106da9b6f5eeba7d3,b715e2fca8620ed9239481454797db343dfb3411f62db714a92a77cb325cfb8e,66f4674ac1e7e1e32c0dbc6f005195cb3453e12dffd31b70d97c5d7af8fd8417,5b1176a3d407d08db528f90a81bc87b06e997c777acb073a4a1b2f9a1aaef796,6f48867a5c1313d63f4cf173d0a4181a81eeaf958472544fd9ca51cc2859a26a,de3216e6600962eb8322b99b794d45d0567f4445659dba6081f5c9d7dc1d129e,cf70ff89a411658c76db36cc9efd683331e2bc0b30c800728b91680f9fc60aca,10a4ddd5d17318c3e550f358ade9c0478df57e21d8b1f333d24a4b66036d7b93,c7994acc2386fbdfd60f0312d5939e522d90a10b337f49945f095d9dcced40a6,d343e316b8c0acebe239fa3f98a957c8e6427eb21d39998c308ca0a113833442
"SAN！SHINE PARTY","","1500","SAN！SHINE PARTY","","227","","-1","","2022-06-15 15:00:00","","227","20"
"出發，前往靈妙的森林深處","","1000","出發，前往靈妙的森林深處","","228","","-1","","2022-06-15 15:00:00","","228","20"
"破曉之星的夏日遊戲　於夏海閃耀的三份心意","","1000","破曉之星的夏日遊戲　於夏海閃耀的三份心意","","229","","-1","","2022-07-15 15:00:00","","229","20"
"海將海馬司令","","1000","海將海馬指揮官","","230","","-1","","2022-07-15 15:00:00","","230","20"
"Secret Star","","1500","Secret Star","","231","","-1","","2022-07-15 15:00:00","","231","20"
"飛奔吧常夏！極限沙灘搶旗！","","1000","飛奔吧常夏！極限沙灘搶旗","","232","","-1","","2022-07-15 15:00:00","","232","20"
"小小夏日回憶錄　在海岸上找到的微小幸福","","1000","小小夏日回憶錄　在海邊發現的小小幸福","","233","","-1","","2022-08-15 15:00:00","","233","20"
"月光之門","","1000","月光之門","","234","","-1","","2022-08-15 15:00:00","","234","20"
"滿心期待SUMMER TIME","","1500","滿心期待SUMMER TIME！","","235","","-1","","2022-08-15 15:00:00","","235","20"
"小繆快快長大日記","","1000","小繆快快長大日記","","236","","-1","","2022-08-15 15:00:00","","236","20"
"真步真步的神奇旅程！　旅行的少女與邊境的大樹","","1000","真步真步的神奇旅程！　旅行的少女與邊境的大樹","","237","","-1","","2022-09-15 15:00:00","","237","20"
"哀執的植物羊","","1000","哀執的植物羊","","238","","-1","","2022-09-15 15:00:00","","238","20"
"優雅少女旅程","","1500","優雅少女旅程","","239","","-1","","2022-09-15 15:00:00","","239","20"
"點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","","1000","點讚！最愛！大集合！　至高祭典與少女祕密的本命任務","","240","","-1","","2022-10-15 15:00:00","","240","20"
"瘋狂直播主‧鏡","","1000","瘋狂直播主‧輝美","","241","","-1","","2022-10-15 15:00:00","","241","20"
"O-TA-O-TA WORLD","","1500","O-TA-O-TA WORLD","","242","","-1","","2022-10-15 15:00:00","","242","20"
"部族精神　高揭之劍與榮耀和平之橋","","1000","部族精神　高揭之劍與榮耀和平之橋","","243","","-1","","2022-11-15 15:00:00","","243","20"
"黑曜魔像","","1000","黑曜魔像","","244","","-1","","2022-11-15 15:00:00","","244","20"
"Knight's Soul","","1500","Knight's Soul","","245","","-1","","2022-11-15 15:00:00","","245","20"
"Happy Happening　幸福的雙子天使與聖誕夜的禮物","","1000","Happy Happening　幸福的雙子天使與聖誕夜的禮物","","246","","-1","","2022-12-15 15:00:00","","246","20"
"不幸福的多倫多獸","","1000","不幸福的多倫多獸","","247","","-1","","2022-12-15 15:00:00","","247","20"
"初雪雙胞胎的求愛","","1500","初雪雙胞胎的求愛","","248","","-1","","2022-12-15 15:00:00","","248","20"
"煙霧繚繞忘年奇譚　為旭日初升舉杯","","1000","煙霧繚繞忘年奇譚　為旭日初升舉杯","","249","","-1","","2023-01-15 15:00:00","","249","20"
"汙穢的湯之神‧陽卵","","1000","汙穢的湯之神‧陽卵","","250","","-1","","2023-01-15 15:00:00","","250","20"
"ma.sa.yu.me.","","1500","ma.sa.yu.me.","","251","","-1","","2023-01-15 15:00:00","","251","20"
"新春每日溫泉","","1000","新春每日溫泉","","252","","-1","","2023-01-15 15:00:00","","252","20"
"終炎的理想鄉","","1000","終炎的理想鄉","","253","","2116007","","2023-01-15 15:00:00","","253","20"
"甦醒的威脅們","","1000","甦醒的威脅們","","254","","2116007","","2023-01-15 15:00:00","","254","20"
"虛偽的救贖者","","1000","虛偽的救濟者","","255","","2116007","","2023-01-15 15:00:00","","255","20"
"司掌終炎的魔術師","","1000","司掌終炎的魔術師","","256","","2116007","","2023-01-15 15:00:00","","256","20"
"追尋奧祕力量之人","","1000","追尋奧祕力量之人","","257","","2116007","","2023-01-15 15:00:00","","257","20"
"嚮往著希望的樂園","","1000","嚮往著希望的樂園","","258","","-1","","2023-02-15 15:00:00","","258","20"
"即便在充滿不確定性的未來","","1000","即便在充滿不確定性的未來","","259","","-1","","2023-02-15 15:00:00","","259","20"
"樂園守護者","","1000","樂園守護者","","260","","-1","","2023-02-15 15:00:00","","260","20"
"象徵久遠庭園之人","","1000","象徵久遠庭園之人","","261","","-1","","2023-02-15 15:00:00","","261","20"
"Never Lose Again","","1500","Never Lose Again","","262","","-1","","2023-02-15 15:00:00","","262","20"
"貓與懷舊點心的咖啡廳 歡迎光臨Café Naschkatze","","1000","貓與懷舊點心的咖啡廳　歡迎光臨Café Naschkatze","","263","","-1","","2023-03-15 15:00:00","","263","20"
"祈福託災的招財貓","","1000","祈福託災的招財貓","","264","","-1","","2023-03-15 15:00:00","","264","20"
"喵喵的奮力一擊","","1500","喵喵的奮力一擊","","265","","-1","","2023-03-15 15:00:00","","265","20"
"Dears歡迎回來與我回來了的約定","","1000","Dears　歡迎回家與我回來了的約定","","266","","-1","","2023-04-15 15:00:00","","266","20"
"大王猩猩","","1000","大王猩猩","","267","","-1","","2023-04-15 15:00:00","","267","20"
"我的色彩STORY","","1500","我的色彩STORY","","268","","-1","","2023-04-15 15:00:00","","268","20"
"魔物生態報告書","","1000","魔物生態報告書","","269","","-1","","2023-04-15 15:00:00","","269","20"
"萬花綻放的新天地","","1000","萬花綻放的新天地","","270","","-1","","2023-04-15 15:00:00","","270","20"
"吉歐提格尼亞的戰鬥","","1000","吉歐‧提格尼亞的戰鬥","","271","","-1","","2023-04-15 15:00:00","","271","20"
"Connect‧With‧Blue　直至少女前往天際","","1000","Connect‧With‧Blue　直至少女前往天際","","272","","-1","","2023-05-15 15:00:00","","272","20"
"智慧的鍊金術師‧莫夫","","1000","智慧的鍊金術師‧莫夫","","273","","-1","","2023-05-15 15:00:00","","273","20"
"羽翼的序幕","","1500","羽翼的序幕","","274","","-1","","2023-05-15 15:00:00","","274","20"
"蘭德索爾一期一會","","1000","蘭德索爾一期一會","","275","","-1","","2023-05-15 15:00:00","","275","20"
"次元斷層","","1000","次元斷層","","276","","-1","","2023-05-15 15:00:00","","276","20"
"出現於次元夾縫的威脅","","1000","出現於次元夾縫的威脅","","277","","-1","","2023-05-15 15:00:00","","277","20"
"華麗世界的強敵","","1000","華麗世界的強敵","","278","","-1","","2023-05-15 15:00:00","","278","20"
"吸血鬼傳聞錄黑夜與美麗的饗宴","","1000","吸血鬼傳聞錄　黑夜與美麗的饗宴","","279","","-1","","2023-06-15 15:00:00","","279","20"
"變貌的從者布拉德","","1000","變貌的從者‧布拉德","","280","","-1","","2023-06-15 15:00:00","","280","20"
"Gothical Radical Eternal Wedding","","1500","Gothical Radical † Eternal Wedding","","281","","-1","","2023-06-15 15:00:00","","281","20"
"雪的審美會","","1000","雪的審美會","","282","","-1","","2023-06-15 15:00:00","","282","20"
"Princess Fight","","1000","Princess Fight☆","","283","","-1","","2023-06-15 15:00:00","","283","20"
"艾爾皮斯島之戰","","1000","艾爾皮斯島之戰","","284","","-1","","2023-06-15 15:00:00","","284","20"
"大間的排光海水大作戰祕密主義者與禁斷之海","","1000","大間的排光海水大作戰　祕密主義者與禁斷之海","","285","","-1","","2023-07-15 15:00:00","","285","20"
"復活的白色島鯨","","1000","復活的白色島鯨","","286","","-1","","2023-07-15 15:00:00","","286","20"
"變身萬花筒","","1500","變身萬花筒","","287","","-1","","2023-07-15 15:00:00","","287","20"
"公主的祕密","","1000","公主的祕密","","288","","-1","","2023-07-15 15:00:00","","288","20"
"美食獵人號出發前進","","1000","美食獵人號，出發前進！","","289","","-1","","2023-07-15 15:00:00","","289","20"
"戰慄幽奇海岸夏日度假驚悚物語","","1000","戰慄幽奇海岸　～夏日度假村驚悚怪談～","","290","","-1","","2023-08-15 15:00:00","","290","20"
"怨恨亡靈","","1000","怨恨亡靈","","291","","-1","","2023-08-15 15:00:00","","291","20"
"愛的羈絆","","1500","愛的羈絆","","292","","-1","","2023-08-15 15:00:00","","292","20"
"Precious Journey","","1500","Precious Journey","","293","","2201005","","2023-08-15 15:00:00","","293","20"
"晚霞色的漫步","","1500","晚霞色的漫步","","294","","2201008","","2023-08-15 15:00:00","","294","20"
"魔法青春日子魔法學園與奇蹟之鐘","","1000","魔法師的青春時日　魔法學園與奇蹟之鐘","","295","","-1","","2023-09-15 15:00:00","","295","20"
"被解放的暴魔阿爾杰什","","1000","被解放的暴魔‧阿爾杰什","","296","","-1","","2023-09-15 15:00:00","","296","20"
"那個春天從日記的續篇開始","","1500","那個春天，從日記的續篇開始","","297","","-1","","2023-09-15 15:00:00","","297","20"
"萊拉耶爾","","1000","萊拉耶爾","","298","","2201007","","2023-09-15 15:00:00","","298","20"
"做好要學習的準備了嗎","","1000","做好要學習的準備了嗎？","","299","","-1","","2023-09-15 15:00:00","","299","20"
"放學後的讀書會","","1000","放學後的讀書會","","300","","-1","","2023-09-15 15:00:00","","300","20"
"浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","","1000","浪漫薩拉薩利亞　～沙漠的新娘與不可思議的神燈～","","301","","-1","","2023-10-15 15:00:00","","301","20"
"哈立德","","1000","哈立德","","302","","-1","","2023-10-15 15:00:00","","302","20"
"Adenium","","1500","Adenium","","303","","-1","","2023-10-15 15:00:00","","303","20"
"蠻賊三姊妹","","1000","蠻賊三姊妹","","304","","2202001","","2023-10-15 15:00:00","","304","20"
"夢幻的婚姻模擬遊戲","","1000","夢幻的婚姻模擬遊戲","","305","","-1","","2023-10-15 15:00:00","","305","20"
"有魔物！！","","1000","有魔物！！","","306","","-1","","2023-10-15 15:00:00","","306","20"
"新天地的強敵","","1000","新天地的強敵","","307","","-1","","2023-10-15 15:00:00","","307","20"
"Criminal Rookie　天使們的悖論","","1000","Criminal Rookie　天使們的悖論","","308","","-1","","2023-11-15 15:00:00","","308","20"
"最終冒險★","","1000","最終冒險★","","309","","-1","","2023-11-15 15:00:00","","309","20"
"Ylide Lotus","","1500","Ylide Lotus","","310","","-1","","2023-11-15 15:00:00","","310","20"
"旅行與成長（與反省）的記錄","","1000","旅行與成長（與反省）的記錄","","311","","-1","","2023-11-15 15:00:00","","311","20"
"幻變少女","","1000","幻變少女","","312","","2201001","","2023-11-15 15:00:00","","312","20"
"探險","","1000","探險","","313","","-1","","2023-11-15 15:00:00","","313","20"
"聖誕哭泣寶貝　為誰存在的幸福之日","","1000","聖誕哭泣寶貝　為誰存在的幸福之日","","314","","-1","","2023-12-15 15:00:00","","314","20"
"巴西利斯克‧阿洛斯","","1000","巴西利斯克‧阿洛斯","","315","","-1","","2023-12-15 15:00:00","","315","20"
"Christmas Blessing","","1500","Christmas Blessing","","316","","-1","","2023-12-15 15:00:00","","316","20"
"降臨期日曆","","1000","降臨期日曆","","317","","-1","","2023-12-15 15:00:00","","317","20"
"業火燃燒的密林","","1000","業火燃燒的密林","","318","","-1","","2023-12-15 15:00:00","","318","20"
"吉歐‧格黑納之戰","","1000","吉歐‧格黑納之戰","","319","","-1","","2023-12-15 15:00:00","","319","20"
"迎春夢想家們　新年隕石碎碎平安","","1000","迎春夢想家們！　新年隕石碎碎平安！？","","320","","-1","","2024-01-15 15:00:00","","320","20"
"夢中隕石","","1000","夢中隕石","","321","","-1","","2024-01-15 15:00:00","","321","20"
"未來的夢","","1500","未來的夢","","322","","-1","","2024-01-15 15:00:00","","322","20"
"初夢挑戰","","1000","初夢挑戰","","323","","-1","","2024-01-15 15:00:00","","323","20"
"焚燒世界的強敵","","1000","焚燒世界的強敵","","324","","-1","","2024-01-15 15:00:00","","324","20"
"天才發明家三女布武機","","1000","天才發明家三女、布武機","","325","","-1","","2024-01-15 15:00:00","","325","20"
"受難體質的次女若菜","","1000","受難體質的次女、若菜","","326","","-1","","2024-01-15 15:00:00","","326","20"
"心胸開闊的長女倭","","1000","心胸開闊的長女、倭","","327","","-1","","2024-01-15 15:00:00","","327","20"
"涅妃‧涅羅","","1000","涅妃‧涅羅","","328","","2205002","","2024-01-15 15:00:00","","328","20"
"映於鏡中的訪客","","1000","映於鏡中的訪客","","329","","-1","","2024-02-15 0:00:00","","329","20"
"再一次。並且，再也不會。","","1000","再一次。並且，再也不會。","","330","","-1","","2024-02-15 0:00:00","","330","20"
"紅霧精靈","","1000","紅霧精靈","","331","","-1","","2024-02-15 0:00:00","","331","20"
"顯露苦衷 埃拉＆志那都","","1000","顯露苦衷 埃拉＆志那都","","332","","-1","","2024-02-15 0:00:00","","332","20"
"Prayer","","1500","Prayer","","333","","-1","","2024-02-15 0:00:00","","333","20"
"Another Wish‧Log","","1000","Another Wish‧Log","","334","","-1","","2024-02-15 0:00:00","","334","20"
"穿越焚燒的世界","","1000","穿越焚燒的世界","","335","","-1","","2024-02-15 0:00:00","","335","20"
"亂入！蠻賊三姊妹","","1000","亂入！蠻賊三姊妹","","336","","-1","","2024-02-15 0:00:00","","336","20"
"厄莉絲","","1000","厄莉絲","","337","","2109008","","2024-02-15 0:00:00","","337","20"
"凜冬中的盛夏與神聖學院的問題兒童","","1000","寒冬的盛夏與神聖學院的問題兒童","","338","","-1","","2024-03-15 15:00:00","","338","20"
"地獄的聖女富美惠","","1000","地獄的聖女富美惠","","339","","-1","","2024-03-15 15:00:00","","339","20"
"妄想夏日光暈","","1500","妄想夏日光暈","","340","","-1","","2024-03-15 15:00:00","","340","20"
"【LIVE】漂漂河　白天","","1000","【LIVE】漂漂河　白天","","341","","-1","","2024-03-15 15:00:00","","341","20"
"【LIVE】漂漂河　夜晚","","1000","【LIVE】漂漂河　夜晚","","342","","-1","","2024-03-15 15:00:00","","342","20"
"公主騎士之力","","1000","公主騎士之力","","343","","-1","","2024-03-15 15:00:00","","343","20"
"抵達深奧的領域","","1000","抵達深奧的領域","","344","","-1","","2024-03-15 15:00:00","","344","20"
"紅焰的深域","","1000","紅焰的深域","","345","","-1","","2024-03-15 15:00:00","","345","20"
"蒼波的深域","","1000","蒼波的深域","","346","","-1","","2024-03-15 15:00:00","","346","20"
"翠嵐的深域","","1000","翠嵐的深域","","347","","-1","","2024-03-15 15:00:00","","347","20"
"珀天的深域","","1000","珀天的深域","","348","","-1","","2024-03-15 15:00:00","","348","20"
"紫冥的深域","","1000","紫冥的深域","","349","","-1","","2024-03-15 15:00:00","","349","20"
"CoolieFuryBootCamp魔鬼教官與鞭子與糖果","","1000","冷酷・火爆・新兵訓練營　魔鬼教官和鞭子與……糖果？","","350","","-1","","2024-04-15 15:00:00","","350","20"
"剛雷獸雷葛宏","","1000","剛雷獸‧雷葛宏","","351","","-1","","2024-04-15 15:00:00","","351","20"
"IntoTheTrust","","1500","Into The Trust","","352","","-1","","2024-04-15 15:00:00","","352","20"
"惠理子和真琴的行軍A-Go-Go","","1000","惠理子和真琴的行軍A-Go-Go！","","353","","-1","","2024-04-15 15:00:00","","353","20"
"新兵們隨我來","","1000","新兵們，隨我來","","354","","-1","","2024-04-15 15:00:00","","354","20"
"前往決鬥的舞台","","1000","前往決鬥的舞台","","355","","-1","","2024-04-15 15:00:00","","355","20"
"戰鬥試煉場開幕","","1000","戰鬥試煉場，開幕！","","356","","-1","","2024-04-15 15:00:00","","356","20"
"花開時節的真誠心意","","1000","花開季節的真心","","357","","-1","","2024-05-15 15:00:00","","357","20"
"魔物植物莫培爾培","","1000","魔物植物‧莫培爾培","","358","","-1","","2024-05-15 15:00:00","","358","20"
"映照在眼中的倒影","","1500","映照在眼中的倒影","","359","","-1","","2024-05-15 15:00:00","","359","20"
"坐鎮於煉獄之物","","1000","坐鎮於煉獄之物","","360","","-1","","2024-05-15 15:00:00","","360","20"
"大夢想樂園大遊行　寶石兔與祕密的夥伴們","","1000","大夢想樂園大遊行　寶石兔與祕密的夥伴們","","361","","-1","","2024-06-15 15:00:00","","361","20"
"捲土重來‧吉諾","","1000","捲土重來‧吉諾","","362","","-1","","2024-06-15 15:00:00","","362","20"
"神奇寶石遊行！","","1500","神奇寶石遊行！","","363","","-1","","2024-06-15 15:00:00","","363","20"
"大夢想樂園導覽","","1000","大夢想樂園導覽","","364","","-1","","2024-06-15 15:00:00","","364","20"
"集合吧，做好事社團！　美空的愉快暑假","","1000","集合吧，做好事社團！　美空的愉快暑假","","365","","-1","","2024-07-15 15:00:00","","365","20"
"盛夏的發狂史萊姆","","1000","盛夏的發狂史萊姆","","366","","-1","","2024-07-15 15:00:00","","366","20"
"Ai-愛的逃亡★","","1500","Ai-愛的逃亡★","","367","","-1","","2024-07-15 15:00:00","","367","20"
"修復夏日相片","","1000","修復夏日相片","","368","","-1","","2024-07-15 15:00:00","","368","20"
"幻惑的妖精於盛夏之園起舞的身影","","1000","幻惑的妖精　-於盛夏之園起舞的身影-","","369","","-1","","2024-08-15 15:00:00","","369","20"
"混沌發電機","","1000","混沌生成系統","","370","","-1","","2024-08-15 15:00:00","","370","20"
"回憶","","1500","Re:collection","","371","","-1","","2024-08-15 15:00:00","","371","20"
"水都的回憶","","1000","水都的回憶","","372","","-1","","2024-08-15 15:00:00","","372","20"
"煉獄之叛亂","","1000","煉獄之叛亂","","373","","2209006","","2024-09-15 15:00:00","","373","20"
"煉獄之叛亂六凶魔蜘蛛阿剌克涅","","1000","煉獄之叛亂　-六凶‧魔蜘蛛阿剌克涅-","","374","","2209006","","2024-09-15 15:00:00","","374","20"
"與魔蜘蛛僕人的戰鬥","","1000","與魔蜘蛛僕人的戰鬥","","375","","2209006","","2024-09-15 15:00:00","","375","20"
"拿不准的盜賊三姊妹","","1000","拿不准的盜賊三姊妹","","376","","2209006","","2024-09-15 15:00:00","","376","20"
"與革命少女的戰鬥","","1000","與革命少女的戰鬥","","377","","2209006","","2024-09-15 15:00:00","","377","20"
"潛藏在地底煉獄的災禍","","1000","潛藏在地底煉獄的災禍","","378","","2209006","","2024-09-15 15:00:00","","378","20"
"甦醒的六凶魔蜘蛛阿剌克涅","","1000","甦醒的六凶‧魔蜘蛛阿剌克涅","","379","","2209006","","2024-09-15 15:00:00","","379","20"
"再臨的公主造型冰龍","","1000","再臨的公主造型冰龍","","380","","2209006","","2024-09-15 15:00:00","","380","20"
"雪菲","","1000","雪菲","","381","","2104010","","2024-09-15 15:00:00","","381","20"
"芙蕾雅","","1000","芙蕾雅","","382","","2209006","","2024-09-15 15:00:00","","382","20"
"阿剌克涅","","1000","阿剌克涅","","383","","2209006","","2024-09-15 15:00:00","","383","20"
"顯現的魔蜘蛛真容","","1000","顯現的魔蜘蛛真容","","384","","2209006","","2024-09-15 15:00:00","","384","20"
"望的一日店長記　這裡是阿爾克絲鍊金堂","","1000","望的一日店長記　這裡是阿爾克絲鍊金堂","","385","","-1","","2024-10-15 15:00:00","","385","20"
"惡毒巨蛇","","1000","惡毒巨蛇","","386","","-1","","2024-10-15 15:00:00","","386","20"
"Dance in the Fragrance","","1500","Dance in the Fragrance","","387","","-1","","2024-10-15 15:00:00","","387","20"
"阿爾克絲鍊金堂　業務日誌","","1000","阿爾克絲鍊金堂　業務日誌","","388","","-1","","2024-10-15 15:00:00","","388","20"
"阿爾克絲鍊金堂","","1000","阿爾克絲鍊金堂","","389","","-1","","2024-10-15 15:00:00","","389","20"
"阿爾克絲鍊金堂　化學版本","","1000","阿爾克絲鍊金堂（化學Ver.）","","390","","-1","","2024-10-15 15:00:00","","390","20"
"蠻賊歸來　炎國的無法無天姊妹","","1000","蠻賊歸來　炎國的無法無天姊妹","","391","","-1","","2024-11-15 15:00:00","","391","20"
"超級 衝刺喬","","1000","超級 衝刺喬","","392","","-1","","2024-11-15 15:00:00","","392","20"
"狂野蠻賊表演時間","","1500","狂野蠻賊表演時間！！","","393","","-1","","2024-11-15 15:00:00","","393","20"
"衝突　破壞　非法坦克大戰","","1000","衝突！破壞！非法坦克大戰","","394","","-1","","2024-11-15 15:00:00","","394","20"
"出擊吧　戰車戰鬥","","1000","出擊吧！戰車戰鬥！","","395","","-1","","2024-11-15 15:00:00","","395","20"
"Let's　究極鍊成","","1000","Let's！「究極鍊成」！","","396","","-1","","2024-11-15 15:00:00","","396","20"
"於此地邂逅身經百戰的強敵","","1000","於此地邂逅身經百戰的強敵","","397","","-1","","2024-11-15 15:00:00","","397","20"
"Love＆Punishment惡魔送來的聖誕節","","1000","Love＆Punishment　惡魔送來的聖誕節","","398","","-1","","2024-12-15 15:00:00","","398","20"
"年幼鬼魂吐舌鬼","","1000","年幼鬼魂 吐舌鬼","","399","","-1","","2024-12-15 15:00:00","","399","20"
"今晚在槲寄生底下","","1500","今晚，在槲寄生底下","","400","","-1","","2024-12-15 15:00:00","","400","20"
"朱火深淵","","1000","朱火深淵","","401","","-1","","2024-12-15 15:00:00","","401","20"
"轟流深淵","","1000","轟流深淵","","402","","-1","","2024-12-15 15:00:00","","402","20"
"烈風深淵","","1000","烈風深淵","","403","","-1","","2024-12-15 15:00:00","","403","20"
"燦爛深淵","","1000","燦爛深淵","","404","","-1","","2024-12-15 15:00:00","","404","20"
"玄闇深淵","","1000","玄闇深淵","","405","","-1","","2024-12-15 15:00:00","","405","20"
"征戰深遠的潛魔深淵","","1000","征戰深遠的龍潭虎穴","","406","","-1","","2024-12-15 15:00:00","","406","20"
"迎春吉歐格黑納蛇少女與雙姝劍士","","1000","迎春吉歐‧格黑納　蛇少女與雙姝劍士","","407","","-1","","2025-1-15 15:00:00","","407","20"
"咒縛的大蛇梅杜希亞娜","","1000","咒縛的大蛇‧梅杜希亞娜","","408","","-1","","2025-1-15 15:00:00","","408","20"
"Tiny Twin Stars","","1500","Tiny Twin Stars！！","","409","","-1","","2025-1-15 15:00:00","","409","20"
"寂靜的永凍冥界","","1000","寂靜的永凍冥界","","410","","-1","","2025-1-15 15:00:00","","410","20"
"吉歐尼布爾黑爾之戰","","1000","吉歐‧尼布爾黑爾之戰","","411","","-1","","2025-1-15 15:00:00","","411","20"
"靜寂世界的強敵","","1000","靜寂世界的強敵","","412","","-1","","2025-1-15 15:00:00","","412","20"
"薇歐莉特","","1000","薇歐莉特","","413","","2210002","","2025-1-15 15:00:00","","413","20"
"三魔姬屬","","1000","三魔姬屬","","414","","2210002","","2025-1-15 15:00:00","","414","20"
"潛入阿斯特朗七個願望與創世之殘響","","1000","潛入‧阿斯特朗　七個願望與創世之殘響","","415","","-1","","2025-2-28 12:00:00","","415","20"
"妖狐神荒尾初始","","1000","妖狐神荒尾‧始源","","416","","-1","","2025-2-28 12:00:00","","416","20"
"始源雷格利亞斯","","1000","始源‧七重冠冕","","417","","-1","","2025-2-28 12:00:00","","417","20"
"Phosphorus","","1500","Phosphorus","","418","","-1","","2025-2-28 12:00:00","","418","20"
"阿斯特朗開發錄","","1000","阿斯特朗開發錄","","419","","-1","","2025-2-28 12:00:00","","419","20"
"穿越靜寂的世界","","1000","穿越靜寂的世界","","420","","-1","","2025-2-28 12:00:00","","420","20"
"誓約女君","","1000","誓約女君","","421","","2002002","","2025-2-28 12:00:00","","421","20"
"變貌大妃","","1000","變貌大妃","","422","","2009005","","2025-2-28 12:00:00","","422","20"
"迷宮女王","","1000","迷宮女王","","423","","2005006","","2025-2-28 12:00:00","","423","20"
"霸瞳皇帝","","1000","霸瞳皇帝","","424","","2005004","","2025-2-28 12:00:00","","424","20"
"跳躍王","","1000","跳躍王","","425","","2005003","","2025-2-28 12:00:00","","425","20"
"嚮導老君","","1000","嚮導老君","","426","","2113007","","2025-2-28 12:00:00","","426","20"
"緊緊相連","","1500","緊緊相連","","427","","2013016","","2025-2-28 12:00:00","","427","20"
"Andante‧With‧You　祈禱的雙唱響起時","","1000","Andante‧With‧You　祈禱的雙唱響起時","","428","","-1","","2025-3-31 12:00:00","","428","20"
"歪音之精靈","","1000","歪音之精靈","","429","","-1","","2025-3-31 12:00:00","","429","20"
"星詠的祈禱之歌","","1500","星詠的祈禱之歌","","430","","-1","","2025-3-31 12:00:00","","430","20"
"演唱會海報","","1000","演唱會海報","","431","","-1","","2025-3-31 12:00:00","","431","20"
"魔星獸決戰","","1000","魔星獸決戰","","432","","-1","","2025-3-31 12:00:00","","432","20"
"超鋼少女巨型克蘿茜　～大出擊！蘭德索爾爆炸4.1秒前～","","1000","超鋼少女巨型克蘿茜　～大出擊！蘭德索爾爆炸4.1秒前～","","433","","-1","","2025-4-30 12:00:00","","433","20"
"巨鋼機獸‧改造蓋登","","1000","巨鋼機獸‧改造蓋登","","434","","-1","","2025-4-30 12:00:00","","434","20"
"愛！勇氣！巨型克蘿茜","","1500","愛！勇氣！巨型克蘿茜","","435","","-1","","2025-4-30 12:00:00","","435","20"
"克蘿茜大解密","","1000","克蘿茜大解密","","436","","-1","","2025-4-30 12:00:00","","436","20"
