524e01c0e9322d8eb0ef1939444b44a481dd83b914210b5305f1ec7c1cb23e25,1967e68961505659085f6a7fa6d74b8c1ff8c5a711ddc1d7fae0ff9a5df80061,4a45bdb32674ccc458665a09d8c367ee2069e96af5128764621244bf6be85a6a,2ddfb6996797641c4839d6f72c709c08a94ee6275f4343a0ffb9ed2accc1e67b,bb8e29bcf995abc03d0a349f32e58d1c5935aedab0a418da63fd03cc3f09e14b,79d235ee1e1ce8182390fdc04e80fa2aa86848a863ab60010d3c05c3abeb23d1,7ab33f896a02c766bcddeb26bb21a03e3fa00595392346d40d9fb3f911a4cebd,3b087c96c5f0ab408ae6388c74b336188abba8322046c260bc82bc8d015c3027,3b38cd07646c3eb018cc49d08027eabf26b9a6dff65789c50ce6f00b41cc213c,21713c6933e32c5580c1aa93aff95db807784f78c6719e83c29a115bc682bec9,3739afe5ae943164534c82471c2790bbe9913b4505ad590697c0f83a0529b95b
"11","","","7911","","","","","32","1","7911009"
"se_10035700","0","","7911","","","","","23","se_10035700_roller","7911010"
"100711","","","7911","","","","","13","300","7911011"
"1","","","7911","","","","","131","","7911012"
"100711","0","","7912","1","0.2","","wac_talk_kyapi_loop","3","wac_talk_kyapi_in","7912001"
"111","1","","7912","","0.2","","","3","wac_no_items","7912002"
"100711","-340","","7912","","","","0","2","200","7912003"
"111","-340","","7912","","","","0","2","200","7912004"
"1","","","7912","","","","","32","0","7912005"
"2","","","7912","","","","","32","1","7912006"
"11","","","7912","","","","","32","0","7912007"
"vo_wac_220504","0","","7912","","","","0","21","vo_wac_220504_000","7912008"
"100711","10","0.5","7912","1","0","0","1","11","哼哼，感覺很不錯喲♪\n人家照忍所說的\n很努力地畫了來的。","7912009"
"0","","","7912","","","","","91","","7912010"
"vo_wac_220504","0","","7912","","","","0","21","vo_wac_220504_001","7912011"
"100711","10","0.5","7912","1","0","0","1","11","快把獎勵宮子的布丁交出來的！\n布丁布丁～♪","7912012"
"0","","","7912","","","","","91","","7912013"
"0","","","7912","","","","","22","0","7912014"
"100711","1","","7913","","0.2","","","3","wac_idle_kyapi","7913001"
"111","1","","7913","","0.2","","","3","wac_no_items","7913002"
"100711","-340","","7913","","","","0","2","200","7913003"
"111","-340","","7913","","","","0","2","200","7913004"
"1","","","7913","","","","","32","0","7913005"
"2","","","7913","","","","","32","1","7913006"
"11","","","7913","","","","","32","0","7913007"
"0","","","7913","","","","","91","","7913008"
"1","202","wac_default_31","8011","-205","2","0","-167","1","102211","8011001"
"1","252","wac_default_bot_41","8011","-350","2","0","-64","1","100611","8011002"
"1","204","wac_default_51","8011","-325","2","0","230","1","104411","8011003"
"1","256","wac_default_bot_81","8011","-350","2","0","-330","1","103111","8011004"
"1","254","wac_default_bot_71","8011","-350","2","0","340","1","100711","8011005"
"1","201","wac_default_31","8011","-205","2","0","-167","5","111","8011006"
"1","251","wac_default_47","8011","-350","2","0","-64","5","112","8011007"
"1","203","wac_default_bot_58","8011","-325","2","0","230","5","113","8011008"
"1","255","wac_default_88","8011","-350","2","0","-330","5","114","8011009"
"1","253","wac_default_71","8011","-350","2","0","340","5","115","8011010"
"103111","","","8011","","","","","13","300","8011011"
"100711","","","8011","","","","","13","300","8011012"
"104411","","","8011","","","","","13","300","8011013"
"102211","","","8011","","","","","13","300","8011014"
"100611","","","8011","","","","","13","300","8011015"
"8","0","","8011","1","1","","0","31","8","8011016"
"10","0","","8011","1","0","","0","31","10","8011017"
"15","0","","8011","1","0","","0","31","15","8011018"
"102211","0","","8011","0","0.2","","","3","wac_paint_31","8011019"
"111","0","","8011","0","0.2","","","3","wac_paint_31","8011020"
"100611","0","","8011","0","0.2","","","3","wac_paint_bot_41","8011021"
"112","0","","8011","0","0.2","","","3","wac_paint_47","8011022"
"104411","0","","8011","0","0.2","","","3","wac_paint_bot_51","8011023"
"113","0","","8011","0","0.2","","","3","wac_paint_bot_58","8011024"
"103111","0","","8011","0","0.2","","","3","wac_paint_bot_81","8011025"
"114","0","","8011","0","0.2","","","3","wac_paint_88","8011026"
"100711","0","","8011","0","0.2","","","3","wac_paint_bot_71","8011027"
"115","0","","8011","0","0.2","","","3","wac_paint_71","8011028"
"0","","","8011","","","","","93","0","8011029"
"15","","","8011","","","","","32","1","8011030"
"se_common","0","","8011","","","","","23","se_sys_login_birthday_calendar_smallbrush","8011031"
"1","","","8011","","","","","131","","8011032"
"103111","1","","8012","","0","","","3","wac_idle_sad_L","8012001"
"100711","1","","8012","","0","","","3","wac_idle_kyapi_L","8012002"
"104411","1","","8012","","0","","","3","wac_idle_doya","8012003"
"102211","1","","8012","","0","","","3","wac_idle_wish","8012004"
"100611","1","","8012","","0","","","3","wac_idle_smile","8012005"
"111","1","","8012","","0","","","3","wac_no_items","8012006"
"112","1","","8012","","0","","","3","wac_no_items","8012007"
"113","1","","8012","","0","","","3","wac_no_items","8012008"
"114","1","","8012","","0","","","3","wac_no_items","8012009"
"115","1","","8012","","0","","","3","wac_no_items","8012010"
"103111","-360","","8012","","","","0","2","-335","8012011"
"100711","-335","","8012","","","","0","2","-190","8012012"
"104411","-360","","8012","","","","0","2","190","8012013"
"102211","-335","","8012","","","","0","2","350","8012014"
"100611","-360","","8012","","","","0","2","500","8012015"
"111","-360","","8012","","","","0","2","-335","8012016"
"112","-335","","8012","","","","0","2","-190","8012017"
"113","-360","","8012","","","","0","2","190","8012018"
"114","-335","","8012","","","","0","2","350","8012019"
"115","-360","","8012","","","","0","2","500","8012020"
"8","","","8012","","","","","32","0","8012021"
"10","","","8012","","","","","32","1","8012022"
"15","","","8012","","","","","32","0","8012023"
"104411","0","","8012","1","0.2","","wac_talk_doya_loop","3","wac_talk_doya_in","8012024"
"vo_wac_220505","0","","8012","","","","0","21","vo_wac_220505_000","8012025"
"104411","10","0.5","8012","1","0","0","1","11","呵呵，真壯觀。\n就像征服世界有所進展般心情雀躍……\n對了！就這樣用咱們的畫\n覆滿牆壁如何？","8012026"
"0","","","8012","","","","","91","","8012027"
"104411","1","","8012","1","0.2","","","3","wac_idle_doya","8012028"
"100611","0","","8012","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","8012029"
"vo_wac_220505","0","","8012","","","","0","21","vo_wac_220505_001","8012030"
"100611","10","0.5","8012","1","0","0","1","11","哇啊，好像會很好玩～♪","8012031"
"0","","","8012","","","","","91","","8012032"
"100611","1","","8012","1","0.2","","","3","wac_idle_smile","8012033"
"100711","0","","8012","1","0.2","","wac_talk_kyapi_loop_L","3","wac_talk_kyapi_in_L","8012034"
"vo_wac_220505","0","","8012","","","","0","21","vo_wac_220505_002","8012035"
"100711","10","0.5","8012","1","0","0","1","11","那宮子要畫布丁喲！\n要畫很～多布丁，\n以布丁來征服城鎮來的！","8012036"
"0","","","8012","","","","","91","","8012037"
"100711","1","","8012","1","0.2","","","3","wac_idle_kyapi_L","8012038"
"102211","0","","8012","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8012039"
"vo_wac_220505","0","","8012","","","","0","21","vo_wac_220505_003","8012040"
"102211","10","0.5","8012","1","0","0","1","11","征服什麼的我不太懂……\n但既然如此，我想要畫很多\n喜歡的遊戲的圖，大概……！","8012041"
"0","","","8012","","","","","91","","8012042"
"102211","1","","8012","1","0.2","","","3","wac_idle_wish","8012043"
"103111","0","","8012","1","0.2","","wac_talk_sad_loop_L","3","wac_talk_sad_in_L","8012044"
"vo_wac_220505","0","","8012","","","","0","21","vo_wac_220505_004","8012045"
"103111","10","0.5","8012","1","0","0","1","11","雖然聽起來很有趣，\n但我們還是努力做些\n不會給人添麻煩的活動吧。","8012046"
"0","","","8012","","","","","91","","8012047"
"0","","","8012","","","","","22","0","8012048"
"","","","8012","","","","","111","","8012049"
"103111","1","","8013","","0.2","","","3","wac_idle_sad_L","8013001"
"100711","1","","8013","","0.2","","","3","wac_idle_kyapi_L","8013002"
"104411","1","","8013","","0.2","","","3","wac_idle_doya","8013003"
"102211","1","","8013","","0.2","","","3","wac_idle_wish","8013004"
"100611","1","","8013","","0.2","","","3","wac_idle_smile","8013005"
"111","1","","8013","","0.2","","","3","wac_no_items","8013006"
"112","1","","8013","","0.2","","","3","wac_no_items","8013007"
"113","1","","8013","","0.2","","","3","wac_no_items","8013008"
"114","1","","8013","","0.2","","","3","wac_no_items","8013009"
"115","1","","8013","","0.2","","","3","wac_no_items","8013010"
"103111","-360","","8013","","","","0","2","-335","8013011"
"100711","-335","","8013","","","","0","2","-190","8013012"
"104411","-360","","8013","","","","0","2","190","8013013"
"102211","-335","","8013","","","","0","2","350","8013014"
"100611","-360","","8013","","","","0","2","500","8013015"
"111","-360","","8013","","","","0","2","-335","8013016"
"112","-335","","8013","","","","0","2","-190","8013017"
"113","-360","","8013","","","","0","2","190","8013018"
"114","-335","","8013","","","","0","2","350","8013019"
"115","-360","","8013","","","","0","2","500","8013020"
"8","","","8013","","","","","32","0","8013021"
"10","","","8013","","","","","32","1","8013022"
"15","","","8013","","","","","32","0","8013023"
"0","","","8013","","","","","91","","8013024"
"1","202","wac_default_01","8111","-213","2","0","-108","1","103111","8111001"
"1","201","wac_default_03","8111","-213","2","0","-108","5","111","8111002"
"1","0","","8111","1","1","","0","31","1","8111003"
"2","0","","8111","1","0","","0","31","2","8111004"
"11","0","","8111","1","0","","0","31","11","8111005"
"103111","0","","8111","0","0.2","","","3","wac_paint_01","8111006"
"111","0","","8111","0","0.2","","","3","wac_paint_03","8111007"
"0","","","8111","","","","","93","0","8111008"
"11","","","8111","","","","","32","1","8111009"
"se_10035700","0","","8111","","","","","23","se_10035700_brush","8111010"
"103111","","","8111","","","","","13","300","8111011"
"1","","","8111","","","","","131","","8111012"
"103111","0","","8112","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8112001"
"111","1","","8112","","0.2","","","3","wac_no_items","8112002"
"103111","-340","","8112","","","","0","2","200","8112003"
"111","-340","","8112","","","","0","2","200","8112004"
"1","","","8112","","","","","32","0","8112005"
"2","","","8112","","","","","32","1","8112006"
"11","","","8112","","","","","32","0","8112007"
"vo_wac_220506","0","","8112","","","","0","21","vo_wac_220506_000","8112008"
"103111","10","0.5","8112","1","0","0","1","11","嗯。\n我覺得我已經畫得很棒了。\n大概是有依占卜結果去畫的緣故吧。","8112009"
"0","","","8112","","","","","91","","8112010"
"vo_wac_220506","0","","8112","","","","0","21","vo_wac_220506_001","8112011"
"103111","10","0.5","8112","1","0","0","1","11","下次我想試著邊聽你的建議邊畫……\n你的身後靈們也都這麼說喔。\n請你多指教了。","8112012"
"0","","","8112","","","","","91","","8112013"
"0","","","8112","","","","","22","0","8112014"
"103111","1","","8113","","0.2","","","3","wac_idle_wish","8113001"
"111","1","","8113","","0.2","","","3","wac_no_items","8113002"
"103111","-340","","8113","","","","0","2","200","8113003"
"111","-340","","8113","","","","0","2","200","8113004"
"1","","","8113","","","","","32","0","8113005"
"2","","","8113","","","","","32","1","8113006"
"11","","","8113","","","","","32","0","8113007"
"0","","","8113","","","","","91","","8113008"
"1","202","wac_default_01","8211","-213","2","0","-108","1","102811","8211001"
"1","201","wac_default_01","8211","-213","2","0","-108","5","111","8211002"
"1","0","","8211","1","1","","0","31","1","8211003"
"2","0","","8211","1","0","","0","31","2","8211004"
"11","0","","8211","1","0","","0","31","11","8211005"
"102811","0","","8211","0","0.2","","","3","wac_paint_01","8211006"
"111","0","","8211","0","0.2","","","3","wac_paint_01","8211007"
"0","","","8211","","","","","93","0","8211008"
"11","","","8211","","","","","32","1","8211009"
"se_10035700","0","","8211","","","","","23","se_10035700_brush","8211010"
"102811","","","8211","","","","","13","300","8211011"
"1","","","8211","","","","","131","","8211012"
"102811","0","","8212","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","8212001"
"111","1","","8212","","0.2","","","3","wac_no_items","8212002"
"102811","-340","","8212","","","","0","2","200","8212003"
"111","-340","","8212","","","","0","2","200","8212004"
"1","","","8212","","","","","32","0","8212005"
"2","","","8212","","","","","32","1","8212006"
"11","","","8212","","","","","32","0","8212007"
"vo_wac_220507","0","","8212","","","","0","21","vo_wac_220507_000","8212008"
"102811","10","0.5","8212","1","0","0","1","11","嗯，感覺很不錯。\n和孩子們一起畫圖的經驗\n似乎派上了用場，\n真令人開心♪","8212009"
"0","","","8212","","","","","91","","8212010"
"vo_wac_220507","0","","8212","","","","0","21","vo_wac_220507_001","8212011"
"102811","10","0.5","8212","1","0","0","1","11","那麼，接著就要準備\n慶祝的事了吧。\n呵呵，大家都卯足了勁，\n我也得振作才行。","8212012"
"0","","","8212","","","","","91","","8212013"
"0","","","8212","","","","","22","0","8212014"
"102811","1","","8213","","0.2","","","3","wac_idle_smile","8213001"
"111","1","","8213","","0.2","","","3","wac_no_items","8213002"
"102811","-340","","8213","","","","0","2","200","8213003"
"111","-340","","8213","","","","0","2","200","8213004"
"1","","","8213","","","","","32","0","8213005"
"2","","","8213","","","","","32","1","8213006"
"11","","","8213","","","","","32","0","8213007"
"0","","","8213","","","","","91","","8213008"
"1","202","wac_default_21","8311","-100","2","0","-108","1","102511","8311001"
"1","201","wac_default_26","8311","-100","2","0","-108","5","111","8311002"
"19","0","","8311","1","1","","0","31","19","8311003"
"2","0","","8311","1","0","","0","31","2","8311004"
"20","0","","8311","1","0","","0","31","20","8311005"
"102511","0","","8311","0","0.2","","","3","wac_paint_21","8311006"
"111","0","","8311","0","0.2","","","3","wac_paint_26","8311007"
"0","","","8311","","","","","93","0","8311008"
"20","","","8311","","","","","32","1","8311009"
"se_common","0","","8311","","","","","23","se_sys_login_birthday_calendar_brush","8311010"
"102511","","","8311","","","","","13","300","8311011"
"1","","","8311","","","","","131","","8311012"
"102511","0","","8312","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8312001"
"111","1","","8312","","0.2","","","3","wac_no_items","8312002"
"102511","-340","","8312","","","","0","2","200","8312003"
"111","-340","","8312","","","","0","2","200","8312004"
"19","","","8312","","","","","32","0","8312005"
"2","","","8312","","","","","32","1","8312006"
"20","","","8312","","","","","32","0","8312007"
"vo_wac_220508","0","","8312","","","","0","21","vo_wac_220508_000","8312008"
"102511","10","0.5","8312","1","0","0","1","11","呼……不小心出錯時\n還以為完蛋了呢……\n幸好挽救回來了。","8312009"
"0","","","8312","","","","","91","","8312010"
"vo_wac_220508","0","","8312","","","","0","21","vo_wac_220508_001","8312011"
"102511","10","0.5","8312","1","0","0","1","11","咦？說不定這樣也別有一番\n趣味……啊！不行！\n沒出錯是最好的。\n但很順利真是太好了。","8312012"
"0","","","8312","","","","","91","","8312013"
"0","","","8312","","","","","22","0","8312014"
"102511","1","","8313","","0.2","","","3","wac_idle_wish","8313001"
"111","1","","8313","","0.2","","","3","wac_no_items","8313002"
"102511","-340","","8313","","","","0","2","200","8313003"
"111","-340","","8313","","","","0","2","200","8313004"
"19","","","8313","","","","","32","0","8313005"
"2","","","8313","","","","","32","1","8313006"
"20","","","8313","","","","","32","0","8313007"
"0","","","8313","","","","","91","","8313008"
"1","202","wac_default_01","8411","-213","2","0","-108","1","102111","8411001"
"1","201","wac_default_03","8411","-213","2","0","-108","5","111","8411002"
"1","0","","8411","1","1","","0","31","1","8411003"
"2","0","","8411","1","0","","0","31","2","8411004"
"11","0","","8411","1","0","","0","31","11","8411005"
"102111","0","","8411","0","0.2","","","3","wac_paint_01","8411006"
"111","0","","8411","0","0.2","","","3","wac_paint_03","8411007"
"0","","","8411","","","","","93","0","8411008"
"11","","","8411","","","","","32","1","8411009"
"se_10035700","0","","8411","","","","","23","se_10035700_brush","8411010"
"102111","","","8411","","","","","13","300","8411011"
"1","","","8411","","","","","131","","8411012"
"102111","0","","8412","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8412001"
"111","1","","8412","","0.2","","","3","wac_no_items","8412002"
"102111","-340","","8412","","","","0","2","200","8412003"
"111","-340","","8412","","","","0","2","200","8412004"
"1","","","8412","","","","","32","0","8412005"
"2","","","8412","","","","","32","1","8412006"
"11","","","8412","","","","","32","0","8412007"
"vo_wac_220509","0","","8412","","","","0","21","vo_wac_220509_000","8412008"
"102111","10","0.5","8412","1","0","0","1","11","完、完成了……！\n向綾音請教運筆的方式後，\n畫得很不錯了……應該。\n不對，是畫得很好！","8412009"
"0","","","8412","","","","","91","","8412010"
"vo_wac_220509","0","","8412","","","","0","21","vo_wac_220509_001","8412011"
"102111","10","0.5","8412","1","0","0","1","11","但真不可思議。\n一旦順利進行，就會覺得\n應該能做得更好。\n嗯，再多努力點吧♪","8412012"
"0","","","8412","","","","","91","","8412013"
"0","","","8412","","","","","22","0","8412014"
"102111","1","","8413","","0.2","","","3","wac_idle_wish","8413001"
"111","1","","8413","","0.2","","","3","wac_no_items","8413002"
"102111","-340","","8413","","","","0","2","200","8413003"
"111","-340","","8413","","","","0","2","200","8413004"
"1","","","8413","","","","","32","0","8413005"
"2","","","8413","","","","","32","1","8413006"
"11","","","8413","","","","","32","0","8413007"
"0","","","8413","","","","","91","","8413008"
"1","204","wac_default_bot_31","8511","-325","2","0","-167","1","102111","8511001"
"1","202","wac_default_51","8511","-325","2","0","230","1","102311","8511002"
"1","256","wac_default_bot_81","8511","-350","2","0","-330","1","102511","8511003"
"1","254","wac_default_bot_91","8511","-350","2","0","340","1","102811","8511004"
"1","203","wac_default_bot_31","8511","-325","2","0","-167","5","111","8511005"
"1","201","wac_default_bot_54","8511","-325","2","0","230","5","113","8511006"
"1","255","wac_default_87","8511","-350","2","0","-330","5","114","8511007"
"1","253","wac_default_91","8511","-350","2","0","340","5","115","8511008"
"102511","","","8511","","","","","13","300","8511009"
"102811","","","8511","","","","","13","300","8511010"
"102311","","","8511","","","","","13","300","8511011"
"102111","","","8511","","","","","13","300","8511012"
"6","0","","8511","1","1","","0","31","6","8511013"
"10","0","","8511","1","0","","0","31","10","8511014"
"17","0","","8511","1","0","","0","31","17","8511015"
"102111","0","","8511","0","0.2","","","3","wac_paint_bot_31","8511016"
"111","0","","8511","0","0.2","","","3","wac_paint_bot_31","8511017"
"102311","0","","8511","0","0.2","","","3","wac_paint_bot_51","8511018"
"113","0","","8511","0","0.2","","","3","wac_paint_bot_54","8511019"
"102511","0","","8511","0","0.2","","","3","wac_paint_bot_81","8511020"
"114","0","","8511","0","0.2","","","3","wac_paint_87","8511021"
"102811","0","","8511","0","0.2","","","3","wac_paint_bot_91","8511022"
"115","0","","8511","0","0.2","","","3","wac_paint_91","8511023"
"0","","","8511","","","","","93","0","8511024"
"17","","","8511","","","","","32","1","8511025"
"se_common","0","","8511","","","","","23","se_sys_login_birthday_calendar_smallbrush","8511026"
"1","","","8511","","","","","131","","8511027"
"102511","1","","8512","","0","","","3","wac_idle_wish_L","8512001"
"102811","1","","8512","","0","","","3","wac_idle_smile_L","8512002"
"102311","1","","8512","","0","","","3","wac_idle_kyapi","8512003"
"102111","1","","8512","","0","","","3","wac_idle_wish","8512004"
"111","1","","8512","","0","","","3","wac_no_items","8512005"
"113","1","","8512","","0","","","3","wac_no_items","8512006"
"114","1","","8512","","0","","","3","wac_no_items","8512007"
"115","1","","8512","","0","","","3","wac_no_items","8512008"
"102511","-360","","8512","","","","0","2","-335","8512009"
"102811","-335","","8512","","","","0","2","-190","8512010"
"102311","-335","","8512","","","","0","2","190","8512011"
"102111","-360","","8512","","","","0","2","350","8512012"
"111","-360","","8512","","","","0","2","-335","8512013"
"113","-335","","8512","","","","0","2","-190","8512014"
"114","-335","","8512","","","","0","2","190","8512015"
"115","-360","","8512","","","","0","2","350","8512016"
"6","","","8512","","","","","32","0","8512017"
"10","","","8512","","","","","32","1","8512018"
"17","","","8512","","","","","32","0","8512019"
"102311","0","","8512","1","0.2","","wac_talk_kyapi_loop","3","wac_talk_kyapi_in","8512020"
"vo_wac_220510","0","","8512","","","","0","21","vo_wac_220510_000","8512021"
"102311","10","0.5","8512","1","0","0","1","11","完～成了！\n胡桃，妳覺得怎麼樣？\n運筆？會太大膽了嗎？","8512022"
"0","","","8512","","","","","91","","8512023"
"102311","1","","8512","1","0.2","","","3","wac_idle_kyapi","8512024"
"102111","0","","8512","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8512025"
"vo_wac_220510","0","","8512","","","","0","21","vo_wac_220510_001","8512026"
"102111","10","0.5","8512","1","0","0","1","11","不會喔，綾音……！\n這幅畫感覺很有精神，\n我超喜歡的……♪","8512027"
"0","","","8512","","","","","91","","8512028"
"102111","1","","8512","1","0.2","","","3","wac_idle_wish","8512029"
"102811","0","","8512","1","0.2","","wac_talk_smile_loop_L","3","wac_talk_smile_in_L","8512030"
"vo_wac_220510","0","","8512","","","","0","21","vo_wac_220510_002","8512031"
"102811","10","0.5","8512","1","0","0","1","11","對啊。\n這種活潑的畫法\n看了心情很舒暢。\n很有綾音的風格呢。","8512032"
"0","","","8512","","","","","91","","8512033"
"102811","1","","8512","1","0.2","","","3","wac_idle_smile_L","8512034"
"102511","0","","8512","1","0.2","","wac_talk_wish_loop_L","3","wac_talk_wish_in_L","8512035"
"vo_wac_220510","0","","8512","","","","0","21","vo_wac_220510_003","8512036"
"102511","10","0.5","8512","1","0","0","1","11","大家都畫得很好……！\n想到我的失誤會讓一切都白費，\n就讓我擔心起來了……！","8512037"
"0","","","8512","","","","","91","","8512038"
"102511","1","","8512","1","0.2","","","3","wac_idle_wish_L","8512039"
"102311","0","","8512","1","0.2","","wac_talk_kyapi_loop","3","wac_talk_kyapi_in","8512040"
"vo_wac_220510","0","","8512","","","","0","21","vo_wac_220510_004","8512041"
"102311","10","0.5","8512","1","0","0","1","11","哈哈哈！就算真的變成那樣，\n只要再重畫就好啦！\n鈴莓也想畫什麼就畫什麼吧！","8512042"
"0","","","8512","","","","","91","","8512043"
"0","","","8512","","","","","22","0","8512044"
"","","","8512","","","","","111","","8512045"
"102511","1","","8513","","0.2","","","3","wac_idle_wish_L","8513001"
"102811","1","","8513","","0.2","","","3","wac_idle_smile_L","8513002"
"102311","1","","8513","","0.2","","","3","wac_idle_kyapi","8513003"
"102111","1","","8513","","0.2","","","3","wac_idle_wish","8513004"
"111","1","","8513","","0.2","","","3","wac_no_items","8513005"
"113","1","","8513","","0.2","","","3","wac_no_items","8513006"
"114","1","","8513","","0.2","","","3","wac_no_items","8513007"
"115","1","","8513","","0.2","","","3","wac_no_items","8513008"
"102511","-360","","8513","","","","0","2","-335","8513009"
"102811","-335","","8513","","","","0","2","-190","8513010"
"102311","-335","","8513","","","","0","2","190","8513011"
"102111","-360","","8513","","","","0","2","350","8513012"
"111","-360","","8513","","","","0","2","-335","8513013"
"113","-335","","8513","","","","0","2","-190","8513014"
"114","-335","","8513","","","","0","2","190","8513015"
"115","-360","","8513","","","","0","2","350","8513016"
"6","","","8513","","","","","32","0","8513017"
"10","","","8513","","","","","32","1","8513018"
"17","","","8513","","","","","32","0","8513019"
"0","","","8513","","","","","91","","8513020"
"1","204","wac_default_bot_31","8611","-325","2","0","-167","1","106411","8611001"
"1","202","wac_default_51","8611","-325","2","0","230","1","105911","8611002"
"1","256","wac_default_bot_61","8611","-350","2","0","-330","1","106011","8611003"
"1","254","wac_default_bot_71","8611","-350","2","0","340","1","105811","8611004"
"1","203","wac_default_bot_35","8611","-325","2","0","-167","5","111","8611005"
"1","201","wac_default_bot_57","8611","-325","2","0","230","5","113","8611006"
"1","255","wac_default_65","8611","-350","2","0","-330","5","114","8611007"
"1","253","wac_default_77","8611","-350","2","0","340","5","115","8611008"
"106011","","","8611","","","","","13","300","8611009"
"105811","","","8611","","","","","13","300","8611010"
"105911","","","8611","","","","","13","300","8611011"
"106411","","","8611","","","","","13","300","8611012"
"6","0","","8611","1","1","","0","31","6","8611013"
"10","0","","8611","1","0","","0","31","10","8611014"
"17","0","","8611","1","0","","0","31","17","8611015"
"106411","0","","8611","0","0.2","","","3","wac_paint_bot_31","8611016"
"111","0","","8611","0","0.2","","","3","wac_paint_bot_35","8611017"
"105911","0","","8611","0","0.2","","","3","wac_paint_bot_51","8611018"
"113","0","","8611","0","0.2","","","3","wac_paint_bot_57","8611019"
"106011","0","","8611","0","0.2","","","3","wac_paint_bot_61","8611020"
"114","0","","8611","0","0.2","","","3","wac_paint_65","8611021"
"105811","0","","8611","0","0.2","","","3","wac_paint_bot_71","8611022"
"115","0","","8611","0","0.2","","","3","wac_paint_77","8611023"
"0","","","8611","","","","","93","0","8611024"
"17","","","8611","","","","","32","1","8611025"
"se_common","0","","8611","","","","","23","se_sys_login_birthday_calendar_smallbrush","8611026"
"1","","","8611","","","","","131","","8611027"
"106011","1","","8612","","0","","","3","wac_idle_doya_L","8612001"
"105811","1","","8612","","0","","","3","wac_idle_kyapi_L","8612002"
"105911","1","","8612","","0","","","3","wac_idle_wish","8612003"
"106411","1","","8612","","0","","","3","wac_idle_smile","8612004"
"111","1","","8612","","0","","","3","wac_no_items","8612005"
"113","1","","8612","","0","","","3","wac_no_items","8612006"
"114","1","","8612","","0","","","3","wac_no_items","8612007"
"115","1","","8612","","0","","","3","wac_no_items","8612008"
"106011","-360","","8612","","","","0","2","-335","8612009"
"105811","-335","","8612","","","","0","2","-190","8612010"
"105911","-335","","8612","","","","0","2","190","8612011"
"106411","-360","","8612","","","","0","2","350","8612012"
"111","-360","","8612","","","","0","2","-335","8612013"
"113","-335","","8612","","","","0","2","-190","8612014"
"114","-335","","8612","","","","0","2","190","8612015"
"115","-360","","8612","","","","0","2","350","8612016"
"6","","","8612","","","","","32","0","8612017"
"10","","","8612","","","","","32","1","8612018"
"17","","","8612","","","","","32","0","8612019"
"105911","0","","8612","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8612020"
"vo_wac_220511","0","","8612","","","","0","21","vo_wac_220511_000","8612021"
"105911","10","0.5","8612","1","0","0","1","11","呵呵，像這樣和各位一起畫圖\n也很開心呢。","8612022"
"0","","","8612","","","","","91","","8612023"
"105911","1","","8612","1","0.2","","","3","wac_idle_wish","8612024"
"106411","0","","8612","1","0.2","","wac_talk_smile_loop","3","wac_talk_smile_in","8612025"
"vo_wac_220511","0","","8612","","","","0","21","vo_wac_220511_001","8612026"
"106411","10","0.5","8612","1","0","0","1","11","對啊，雖然可能因為還不習慣\n所以會感到緊張，\n但與可可蘿小姐及大家在一起，\n就能平靜下來愉快地進行工作。","8612027"
"0","","","8612","","","","","91","","8612028"
"106411","1","","8612","1","0.2","","","3","wac_idle_smile","8612029"
"106011","0","","8612","1","0.2","","wac_talk_doya_loop_L","3","wac_talk_doya_in_L","8612030"
"vo_wac_220511","0","","8612","","","","0","21","vo_wac_220511_002","8612031"
"106011","10","0.5","8612","1","0","0","1","11","和獨自一人相比，\n與大家在一起就能平靜下來\n並愉快地進行啊……\n就跟我們一起圍桌吃飯一樣呢。","8612032"
"0","","","8612","","","","","91","","8612033"
"106011","1","","8612","1","0.2","","","3","wac_idle_doya_L","8612034"
"105811","0","","8612","1","0.2","","wac_talk_kyapi_loop_L","3","wac_talk_kyapi_in_L","8612035"
"vo_wac_220511","0","","8612","","","","0","21","vo_wac_220511_003","8612036"
"105811","10","0.5","8612","1","0","0","1","11","凱留說的沒錯♪\n太讚了吧☆","8612037"
"0","","","8612","","","","","91","","8612038"
"105811","1","","8612","1","0.2","","","3","wac_idle_kyapi_L","8612039"
"105911","0","","8612","1","0.2","","wac_talk_wish_loop","3","wac_talk_wish_in","8612040"
"vo_wac_220511","0","","8612","","","","0","21","vo_wac_220511_004","8612041"
"105911","10","0.5","8612","1","0","0","1","11","……能與各位以及【美食殿堂】的\n夥伴們在一起，真的很幸福。\n那麼，在工作告一段落後，\n就來享用美味的餐點吧。","8612042"
"0","","","8612","","","","","91","","8612043"
"0","","","8612","","","","","22","0","8612044"
"","","","8612","","","","","111","","8612045"
"106011","1","","8613","","0.2","","","3","wac_idle_doya_L","8613001"
