6905ef555a3d4a9dd50f2401ae008e32fb02658cf505fc6bfe1e708921508248,ab73162f00b8c818e53266287f9b2709ecec967588864cc2a58a0117bb118362,9827dae540d62e285471e963625b3ebeeab33a98348f22bbf08832830bcefdf3,fac7f69120acc9f6b191833dc4dc2aa79c192ab60e25d59b43f5ff87c4811975,5982662ec0ee4a08aaa7a034c5c320262b954cc39ea6b81ade980932bf1df1fe,c7bee54f4bb660da447393ec9957b8e3b6631972404a2d8f63a3a1deed2d70c5,2aeadf8748ca798ad11b947b51e9bae1f1894480d45541785e5cb53bea0d0561,fde1944fb8d56c3ea6a773814f02980feb6f2ec4b6a4f49068c06c0e7292d254,a89427dc6fe8247c88c5a2abf05bb7a9dfa539c75602b9725e1ae61232e07a13,95d46df1d273ddb9520c20cc6e5f9bbbc384766d281add3a6932e4a7c5a96069,6c3d6e8461669c7e494345b282cad5c9f5ffbc7972b5f5798299c2a1e9fc8ffe
"vo_alces_1201","","12","","0","21","","0","vo_alces","12019",""
"氣勢洶洶沒打算聽人說話的樣子……\n既然這樣就只能用「變透明的藥」了！","0","12","0","1","11","1.6","10","1","12020","0"
"","","12","","0","91","","0","0","12021",""
"luis_drink","0.2","12","","","3","","0","1","12022",""
"0.5","","12","","","22","","","0","12023",""
"0","","12","","","93","","","1.6","12024",""
"vo_alces_1202","","12","","0","21","","0","vo_alces","12025",""
"咕嚕！！","0","12","0","1","11","0.5","10","1","12026","0"
"0","","12","","","93","","","2","12027",""
"se_alces_invisible","","12","","","23","","","se_alces","12028",""
"1","","12","","","32","","","12","12029",""
"1","0.2","12","0","1","6","","1","1","12030","0"
"0","","12","","","93","","","1.8","12031",""
"250","","12","0","2","2","","-190","105111","12032",""
"250","","12","0","2","2","","-190","1002","12033",""
"mitsuki_run_dash_noface","0.2","12","","","3","","1","105111","12034",""
"mitsuki_run_dash","0.2","12","","","3","","1","1002","12035",""
"0","","12","","","93","","","2","12036",""
"mitsuki_anger_talk_noface","0.2","12","","","3","","1","105111","12037",""
"mitsuki_anger_talk","0.2","12","","","3","","1","1002","12038",""
"vo_alces_1203","","12","","0","21","","0","vo_alces","12039",""
"把妳逼入絕境了吧鍊金術師！","0","12","0","1","11","0.5","10","105111","12040","0"
"","","12","","0","91","","0","0","12041",""
"0.5","","12","","","22","","","0","12042",""
"mitsuki_look_in_noface","0.2","12","1","sad_talk_anger","3","","0","105111","12043","0"
"mitsuki_look_in","0.2","12","","","3","","0","1002","12044",""
"0","","12","","","93","","","1.5","12045",""
"vo_alces_1204","","12","","0","21","","0","vo_alces","12046",""
"……嘖，讓她逃走了嗎……","0","12","0","1","11","1.2","10","105111","12047","0"
"","","12","","0","91","","0","0","12048",""
"mitsuki_armcrossed_in_noface","0.2","12","1","mitsuki_armcrossed_talk_noface","3","","0","105111","12049","0"
"mitsuki_armcrossed_in","0.2","12","1","mitsuki_armcrossed_talk","3","","0","1002","12050","0"
"vo_alces_1205","","12","","0","21","","0","vo_alces","12051",""
"真是的，\n居然用這種完全沒有科學根據的東西\n在做生意……\n我可不認同。","0","12","0","1","11","2.3","10","105111","12052","0"
"","","12","","0","91","","0","0","12053",""
"mitsuki_ecstatic_talk_noface","0.2","12","","","3","","1","105111","12054",""
"mitsuki_ecstatic_talk","0.2","12","","","3","","1","1002","12055",""
"vo_alces_1206","","12","","0","21","","0","vo_alces","12056",""
"……是那個魔女婆婆的孫女嗎。\n真是大意不得呢。\n【阿爾克絲鍊金堂】……！","0","12","0","1","11","1","10","105111","12057","0"
"","","12","","0","91","","0","0","12058",""
"0.5","","12","","","22","","","0","12059",""
"mitsuki_turnR_noface","0.2","12","1","mitsuki_walkR_noface","3","","0","105111","12060","0"
"mitsuki_turnR","0.2","12","1","mitsuki_walkR","3","","0","1002","12061","0"
"1050","","12","0","5","2","","-190","105111","12062",""
"1050","","12","0","5","2","","-190","1002","12063",""
"0","","12","","","93","","","4.5","12064",""
"idle_normal_Ex0001","0.2","12","","","3","","1","1","12065",""
"se_alces_invisible","","12","","","23","","","se_alces","12066",""
"0","","12","","","32","","","12","12067",""
"1","","12","","","32","","","12","12068",""
"0","","12","","","93","","","0.1","12069",""
"1","0.3","12","1","1","6","","1","1","12070","0"
"0","","12","","","93","","","1.5","12071",""
"se_alces_breath","","12","","","23","","","se_alces","12072",""
"relief_in","0.2","12","1","relief_idle","3","","0","1","12073","0"
"relief_in","","12","","","3","","0","1001","12074",""
"0","","12","","","22","","","0","12075",""
"0","","12","","","93","","","3","12076",""
"","","12","","0","101","","0","12076","12077",""
"2","1.43","15","-130","100","5","walk_jog_talkjoy2","100","2","15001","0"
"3","1.4","15","-130","400","5","sit_readPaper","101","3","15002","1"
"0","","15","","","91","","","0","15003",""
"235","","15","0","0.8","2","","-130","2","15004",""
"0","","15","","0","93","","0","0.5","15005",""
"vo_alces_1500","","15","","0","21","","0","vo_alces","15006",""
"我去跑腿回來囉～\n苑姑姑～","0","15","0","1","11","0.5","10","2","15007","0"
"0","","15","","","93","","","0.3","15008",""
"talk_normal","0.2","15","","","3","","1","2","15009",""
"","","15","","","91","","","15007","15010",""
"0.5","","15","","","22","","","0","15011",""
"idle_normal","0.2","15","","","3","","1","2","15012",""
"0","","15","","","93","","","1","15013",""
"sit_readPaperTurn","0.2","15","1","sit_readPaper","3","","0","3","15014","0"
"0","","15","","","93","","","0.5","15015",""
"vo_alces_1501","","15","","0","21","","0","vo_alces","15016",""
"……苑姑姑～！","0","15","0","1","11","0.5","10","2","15017","0"
"0","","15","","","93","","","0.3","15018",""
"smile_normal","0.2","15","1","idle_normal","3","","0","2","15019","0"
"","","15","","0","91","","0","15017","15020",""
"0.5","","15","","","22","","","0","15021",""
"0","","15","","","93","","","0.5","15022",""
"sad_idle_surprise","0.2","15","","","3","","1","2","15023",""
"1","","15","","","93","","","1","15024",""
"sit_readPaperTurn","0.2","15","1","sit_readPaper","3","","0","3","15025","0"
"0","","15","","","93","","","1.2","15026",""
"anger_talk_pain","0.2","15","","","3","","1","2","15027",""
"vo_alces_1502","","15","","0","21","","0","vo_alces","15028",""
"苑姑姑～！！！","0","15","0","1","11","0.5","10","2","15029","0"
"","","15","","0","91","","0","0","15030",""
"0.5","","15","","","22","","","0","15031",""
"anger_idle_angerR","0.2","15","","","3","","1","2","15032",""
"1","","15","","","93","","","1.2","15033",""
"se_alces_emotion_quiet","","15","","","23","","","se_alces","15034",""
"12","10","15","0","0","12","","1","3","15035","0"
"0","","15","","","93","","","2.5","15036",""
"se_alces_emotion_notice","","15","","","23","","","se_alces","15037",""
"10","0","15","0","0","12","","0.3","2","15038","0"
"notice_in_talk2","0.2","15","1","notice_loop_talk2","3","","0","2","15039","0"
"0","","15","","","93","","","1.4","15040",""
"talk_normal_normal2","0.2","15","","","3","","1","2","15041",""
"vo_alces_1503","","15","","0","21","","0","vo_alces","15042",""
"苑姐姐。","0","15","0","1","11","0.5","10","2","15043","0"
"","","15","","0","91","","0","0","15044",""
"idle_normal","0.2","15","","","3","","1","2","15045",""
"sit_out_smile","0.2","15","","","3","","1","3","15046",""
"1","","15","","","93","","","0.5","15047",""
"sono_cool_in","0.2","15","1","sono_cool_talk","3","","0","3","15048","0"
"surprise_idle_shy","0.2","15","","","3","","1","2","15049",""
"vo_alces_1504","","15","","0","21","","0","vo_alces","15050",""
"很好，真的很謝謝妳。\n這是苑姐姐給妳的\n零用錢♪","0","15","0","1","11","2.2","10","3","15051","0"
"","","15","","0","91","","0","0","15052",""
"0.5","","15","","","22","","","0","15053",""
"sono_armcrossed_in","0.2","15","1","sono_armcrossed_idle","3","","0","3","15054","0"
"0","","15","","","93","","","0.5","15055",""
"se_alces_emotion_sweat","","15","","","23","","","se_alces","15056",""
"2","0","15","0","0","12","","1.5","2","15057","0"
"talk_normal_nervous","0.2","15","","","3","","1","2","15058",""
"0","","15","","","93","","","0.8","15059",""
"sono_armcrossed_talk","0.2","15","","","3","","1","3","15060",""
"0","","15","","","93","","","1.7","15061",""
"iroha_idle_Ex0001","0.2","15","","","3","","1","2","15062",""
"sono_armcrossed_idle","0.2","15","","","3","","1","3","15063",""
"0","","15","","","93","","","1","15064",""
"0","","15","","","22","","","0","15065",""
"0","","15","","","93","","","3","15066",""
"","","15","","0","101","","0","15066","15067",""
"5","1.45","16","-160","150","5","iroha_idle_dere_glass","103","5","16001","1"
"11","0","16","1","-160","31","","150","11","16002",""
"1001","1.45","16","-160","150","5","empty","104","10","16003","1"
"3","1.41","16","-160","1000","5","sono_walk_scare","102","3","16004","1"
"1002","1.41","16","-160","300","5","empty","103","10","16005","1"
"130","","16","","","13","","110","3","16006",""
"132211","1.42","16","-150","-50","1","idle_normal","100","1","16007","0"
"1003","1.42","16","-150","-50","5","empty","101","10","16008","0"
"0","","16","","","91","","","0","16009",""
"iroha_doya_in_glass","0.2","16","1","iroha_doya_talk_glass","3","","0","5","16010","0"
"0","","16","","","93","","","0.5","16011",""
"vo_alces_1600","","16","","0","21","","0","vo_alces","16012",""
"欸欸──我漂亮嗎？\n很成熟嗎？\n性感又豐滿？","0","16","0","1","11","4.9","10","5","16013","0"
"","","16","","0","91","","0","0","16014",""
"iroha_doya_idle_glass","0.2","16","","","3","","1","5","16015",""
"surprise_talk","0.2","16","","","3","","1","132211","16016",""
"vo_alces_1601","","16","","0","21","","0","vo_alces","16017",""
"怎……怎麼了嗎彩羽？\n……啊，難道是\n跟苑交換身體了？","0","16","0","1","11","0.8","10","132211","16018","0"
"","","16","","0","91","","0","0","16019",""
"surprise_idle","0.2","16","","","3","","1","132211","16020",""
"iroha_cool_in_glass","0.2","16","1","iroha_cool_talk_glass","3","","0","5","16021","0"
"vo_alces_1602","","16","","0","21","","0","vo_alces","16022",""
"對啊──我是苑喔。\n身材姣好對吧？","0","16","0","1","11","1.6","10","5","16023","0"
"","","16","","0","91","","0","0","16024",""
"0.5","","16","","","22","","","0","16025",""
"300","","16","0","4","2","","-160","3","16026",""
"sono_walk_scare","0.2","16","1","sono_armcrossed_idle","3","","0","3","16027","0.2"
"iroha_armcrossed_in_glass","0.2","16","1","iroha_armcrossed_talk_glass","3","","0","5","16028","0"
"0","","16","","","93","","","0.5","16029",""
"surprise2_in","0.2","16","1","surprise2_idle","3","","0","132211","16030","0"
"vo_alces_1603","","16","","0","21","","0","vo_alces","16031",""
"那麼，我出去玩一下～去抓蟲……\n不對是要去大人的社交場合♪","0","16","0","1","11","3.9","10","5","16032","0"
"","","16","","0","91","","0","16027","16033",""
"","","16","","0","91","","0","16032","16034",""
"0.5","","16","","","22","","","0","16035",""
"se_alces_surprise","","16","","","23","","","se_alces","16036",""
"iroha_shock_in","0.2","16","1","iroha_shock_loop","3","","0","5","16037","0"
"iroha_shock_in","0.2","16","","","3","","0","1001","16038",""
"0","","16","","","93","","","1","16039",""
"sono_armcrossed_talk","0.2","16","","","3","","1","3","16040",""
"vo_alces_1604","","16","","0","21","","0","vo_alces","16041",""
"……妳變成我的樣子打算去哪裡？\n彩羽？","0","16","0","1","11","1.7","10","3","16042","0"
"","","16","","0","91","","0","0","16043",""
"0.5","","16","","","22","","","0","16044",""
"sono_doya_in","0.2","16","1","sono_doya_idle","3","","0","3","16045","0"
"iroha_kyorokyoro","0.2","16","","","3","","0","5","16046",""
"0","","16","","","93","","","1.8","16047",""
"se_alces_dotabata","","16","","","23","","","se_alces","16048",""
"iroha_escape_in","0","16","1","iroha_escape","3","","0","5","16049","0"
"-1200","","16","0","3.5","2","","-160","5","16050",""
"1","","16","","","32","","","11","16051",""
"sweatR_Loop","","16","","","37","","","11","16052",""
"-1200","","16","0","3.5","33","","-160","11","16053",""
"0","","16","","","93","","","0.1","16054",""
"sono_notice_in_anger","0.2","16","","","3","","1","3","16055",""
"sono_notice_in_anger","0.2","16","","","3","","0","1002","16056",""
"0","","16","","","93","","","0.3","16057",""
"surprise2_turn","0.2","16","1","surprise2R_idle","3","","0","132211","16058","0"
"0","","16","","","93","","","0.4","16059",""
"run_chase","0.2","16","","","3","","1","3","16060",""
"-1050","","16","0","3.5","2","","-160","3","16061",""
"0","","16","","","93","","","2","16062",""
"sadR_idle_nervous","0.2","16","","","3","","1","132211","16063",""
"sad_idle_nervous_in","0.2","16","1","sad_idle_nervous","3","","0","1003","16064","0"
"0","","16","","","93","","","2","16065",""
"0","","16","","","22","","","0","16066",""
"0","","16","","","93","","","3","16067",""
"","","16","","0","101","","0","16067","16068",""
"5","1.47","17","-190","-100","5","idle_normal","100","5","17001","0"
"1101","0","17","1","-190","31","","-100","11","17002",""
"1001","1.47","17","-190","-100","5","empty","101","10","17003","0"
"130","","17","","","13","","","5","17004",""
"4","1.43","17","-190","125","5","idle_kyapi_normal","101","4","17005","1"
"1102","0","17","1","-190","31","","125","11","17006",""
"0","","17","","","91","","","0","17007",""
"se_alces_breath","","17","","","23","","","se_alces","17008",""
"sono_relief_in","0.2","17","1","sono_relief_talk","3","","0","5","17009","0"
"sono_relief_in","0.2","17","","","3","","0","1001","17010",""
"0","","17","","","93","","","0.5","17011",""
"vo_alces_1700","","17","","0","21","","0","vo_alces","17012",""
"唉……\n變回原本的模樣了……","0","17","0","1","11","2.4","10","5","17013","0"
"1","","17","","","93","","","3.5","17014",""
"","","17","","0","91","","0","17013","17015",""
"sono_ache_in","0.2","17","1","sono_tired_talk","3","","0","5","17016","0"
"vo_alces_1701","","17","","0","21","","0","vo_alces","17017",""
"嗚啊……肌肉好痛。\n妳到底到處跑了多久啊……","0","17","0","1","11","3.7","10","5","17018","0"
"","","17","","0","91","","0","0","17019",""
"sono_tired_idle","0.2","17","","","3","","1","5","17020",""
"jump_loop","0.2","17","","","3","","1","4","17021",""
"vo_alces_1702","","17","","0","21","","0","vo_alces","17022",""
"啊哈哈哈！！\n彩羽的身體，都沒在鍛鍊──！！","0","17","0","1","11","1.4","10","4","17023","0"
"","","17","","0","91","","0","0","17024",""
"joy_talk_normal2","0.2","17","","","3","","1","4","17025",""
"vo_alces_1703","","17","","0","21","","0","vo_alces","17026",""
"我去全力跑步一下──！！","0","17","0","1","11","0.3","10","4","17027","0"
"","","17","","0","91","","0","0","17028",""
"iroha_joy_to_run","0.1","17","1","iroha_run_dash","3","","0","4","17029","0"
"0.5","","17","","","22","","","0","17030",""
"1200","","17","0","2.1","2","","-190","4","17031",""
"1","","17","","","32","","","1102","17032",""
"smokeL","","17","","","37","","","1102","17033",""
"1200","","17","0","2.1","33","","-190","1102","17034",""
"0","","17","","","93","","","2","17035",""
"tired_to_sad","0.2","17","1","sad_talk_anger","3","","0","5","17036","0"
"vo_alces_1704","","17","","0","21","","0","vo_alces","17037",""
"……嗯？\n之後我又會回到那個身體裡喔？\n不行耶，會死掉的。","0","17","0","1","11","4.3","10","5","17038","0"
"","","17","","0","91","","0","0","17039",""
"run_chase_Ex0006","0.1","17","","","3","","1","5","17040",""
"1100","","17","0","3.5","2","","-190","5","17041",""
"1","","17","","","32","","","1101","17042",""
"sweatL_Loop","","17","","","37","","","1101","17043",""
"1100","","17","0","3.5","33","","-190","1101","17044",""
"vo_alces_1705","","17","","0","21","","0","vo_alces","17045",""
"給我等等──！！","0","17","0","1","11","0.5","10","5","17046","0"
"0","","17","","","93","","","3","17047",""
"","","17","","0","91","","0","0","17048",""
"0","","17","","","22","","","0","17049",""
"0","","17","","","93","","","3","17050",""
"","","17","","0","101","","0","17050","17051",""
"5","1.4","18","-130","400","5","sit_drink_loop","100","5","18001","1"
"4","1.37","18","-145","235","5","iroha_sad_lookup_surprise","101","4","18002","0"
"0","","18","","","91","","","0","18003",""
"vo_alces_1800","","18","","0","21","","0","vo_alces","18004",""
"咕嚕……咕嚕……咕嚕！","0","18","0","1","11","0.5","10","5","18005","0"
"","","18","","0","91","","0","0","18006",""
"sit_drink_handup_in","0.2","18","1","sit_drink_handup_talk","3","","0","5","18007","0"
"0","","18","","","93","","","0.2","18008",""
"iroha_surprise_in","0.2","18","1","iroha_surprise_look_idle","3","","0","4","18009","0"
"0","","18","","","93","","","0.2","18010",""
"vo_alces_1801","","18","","0","21","","0","vo_alces","18011",""
"啊啊，喉嚨超滿足的。\n雖然我也很喜歡老家的葡萄酒，\n不過這邊的麥酒也很讚～","0","18","0","1","11","4.2","10","5","18012","0"
"","","18","","0","91","","0","0","18013",""
"sit_drink_idle_in","0.2","18","1","sit_drink_idle","3","","0","5","18014","0"
"iroha_anger_talk_lookup","0.2","18","","","3","","1","4","18015",""
"vo_alces_1802","","18","","0","21","","0","vo_alces","18016",""
"欸──彩羽的喉嚨也想滿足～！\n小苑，也給彩羽喝一下～","0","18","0","1","11","3.8","10","4","18017","20"
"","","18","","0","91","","0","0","18018",""
"iroha_anger_idle_lookup","0.2","18","","","3","","1","4","18019",""
"sit_drink_idle_notice","0.2","18","1","sit_drink_idle_Jitome","3","","0","5","18020","0"
"vo_alces_1803","","18","","0","21","","0","vo_alces","18021",""
"呵，妳還早了10年呢。\n咕噗咕噗。","0","18","0","1","11","3.7","10","5","18022","0"
"","","18","","0","91","","0","0","18023",""
"sit_drink_idle_to_yareyare","0.2","18","1","sit_drink_yareyare","3","","0","5","18024","0"
"vo_alces_1804","","18","","0","21","","0","vo_alces","18025",""
"妳總有一天也會了解的，\n了解某天會有不喝麥酒\n就做不下去的日子到來。","0","18","0","1","11","3.9","10","5","18026","0"
"","","18","","0","91","","0","0","18027",""
"0","","18","","","22","","","0","18028",""
"iroha_anger_to_sad","0.2","18","1","iroha_sad_lookup_shy","3","","0","4","18029","0"
"sit_drink_yareyare_to_loop","0.2","18","1","sit_drink_loop","3","","0","5","18030","0"
"0","","18","","","93","","","2","18031",""
"sit_drink_handup_in_dead","0.2","18","1","sit_drink_handup_idle_dead","3","","0","5","18032","0"
"0","","18","","","93","","","2","18033",""
"vo_alces_1805","","18","","0","21","","0","vo_alces","18034",""
"……呼～嗝！","0","18","0","1","11","1.2","10","5","18035","0"
"","","18","","0","91","","0","0","18036",""
"iroha_sad_talk_lookup","0.2","18","","","3","","1","4","18037",""
"vo_alces_1806","","18","","0","21","","0","vo_alces","18038",""
"真是糟糕的大人……","0","18","0","1","11","0.5","10","4","18039","20"
"","","18","","0","91","","0","0","18040",""
"iroha_sad_lookup_shy","0.2","18","","","3","","1","4","18041",""
"0","","18","","","22","","","0","18042",""
"0","","18","","","93","","","3","18043",""
"","","18","","0","101","","0","18043","18044",""
"1","1.4","101","-140","-1.7","5","adv_luis","100","1","101001","0"
"1","1","101","1","87","31","","108.3","1","101002",""
"1","1.4","102","-140","-1.7","5","adv_luis","100","1","102001","0"
"1","1","102","1","87","31","","108.3","1","102002",""
"1","1.4","103","-140","-1.7","5","adv_luis","100","1","103001","0"
"1","1","103","1","87","31","","108.3","1","103002",""
"2","1.5","104","-190","90","5","adv_iroha","100","2","104001","0"
"1","1","104","1","37","31","","200","1","104002",""
"2","1.5","105","-190","90","5","adv_iroha","100","2","105001","0"
"1","1","105","1","37","31","","200","1","105002",""
"2","1.5","106","-190","90","5","adv_iroha","100","2","106001","0"
"1","1","106","1","37","31","","200","1","106002",""
"3","1.38","107","-130","350","5","adv_sono","100","3","107001","1"
"10","1","107","1","-18","31","","475","10","107002",""
"1","1","107","1","125","31","","460","1","107003",""
"3","1.38","108","-130","350","5","adv_sono","100","3","108001","1"
"10","1","108","1","-18","31","","475","10","108002",""
"1","1","108","1","125","31","","460","1","108003",""
"3","1.38","109","-130","350","5","adv_sono","100","3","109001","1"
"10","1","109","1","-18","31","","475","10","109002",""
"1","1","109","1","125","31","","460","1","109003",""
"3","1.38","110","-130","350","5","adv_sono","100","3","110001","1"
"10","1","110","1","-18","31","","475","10","110002",""
"1","1","110","1","125","31","","460","1","110003",""
"1","1.4","111","-140","-1.7","5","adv_luis","100","1","111001","0"
"1","1","111","1","87","31","","108.3","1","111002",""
"special","","111","","","37","","","1","111003",""
"3","1.38","112","-130","350","5","adv_sono","100","3","112001","1"
"10","1","112","1","-18","31","","475","10","112002",""
"1","1","112","1","125","31","","460","1","112003",""
"special","","112","","","37","","","1","112004",""
"2","1.5","113","-190","90","5","adv_iroha","100","2","113001","0"
"1","1","113","1","37","31","","200","1","113002",""
"special","","113","","","37","","","1","113003",""
"2","1.5","114","-190","90","5","adv_iroha","100","2","114001","0"
"1","1","114","1","37","31","","200","1","114002",""
"special","","114","","","37","","","1","114003",""
"1","1.4","115","-140","-1.7","5","adv_luis","100","1","115001","0"
"1","1","115","1","87","31","","108.3","1","115002",""
"special","","115","","","37","","","1","115003",""
"2","1.5","116","-190","90","5","adv_iroha","100","2","116001","0"
"1","1","116","1","37","31","","200","1","116002",""
"special","","116","","","37","","","1","116003",""
"3","1.38","117","-130","350","5","adv_sono","100","3","117001","1"
"10","1","117","1","-18","31","","475","10","117002",""
"1","1","117","1","125","31","","460","1","117003",""
"special","","117","","","37","","","1","117004",""
"4","1.48","118","-190","90","5","adv_iroha_kodomo","100","4","118001","0"
"1","1","118","1","37","31","","200","1","118002",""
"special","","118","","","37","","","1","118003",""
"3","1.38","119","-130","350","5","adv_sono","100","3","119001","1"
"10","1","119","1","-18","31","","475","10","119002",""
"1","1","119","1","125","31","","460","1","119003",""
"special","","119","","","37","","","1","119004",""
"3","1.38","120","-130","350","5","adv_sono","100","3","120001","1"
"10","1","120","1","-18","31","","475","10","120002",""
"1","1","120","1","125","31","","460","1","120003",""
"special","","120","","","37","","","1","120004",""
"1","1.4","121","-140","-1.7","5","adv_luis","100","1","121001","0"
"1","1","121","1","87","31","","108.3","1","121002",""
"special","","121","","","37","","","1","121003",""
"3","1.38","122","-130","350","5","adv_sono","100","3","122001","1"
"10","1","122","1","-18","31","","475","10","122002",""
"1","1","122","1","125","31","","460","1","122003",""
"special","","122","","","37","","","1","122004",""
"5","1.4","123","-130","350","5","adv_sono_otona","100","5","123001","1"
"10","1","123","1","-18","31","","475","10","123002",""
"1","1","123","1","125","31","","460","1","123003",""
"special","","123","","","37","","","1","123004",""
"1","1.4","125","-140","-1.7","5","adv_luis","100","1","125001","0"
"1","1","125","1","87","31","","108.3","1","125002",""
"special","","125","","","37","","","1","125003",""
"4","1.48","126","-190","90","5","adv_iroha_kodomo","100","4","126001","0"
"1","1","126","1","37","31","","200","1","126002",""
"special","","126","","","37","","","1","126003",""
"2","1.5","127","-190","90","5","adv_iroha","100","2","127001","0"
"1","1","127","1","37","31","","200","1","127002",""
"special","","127","","","37","","","1","127003",""
"1","1.4","128","-140","-1.7","5","adv_luis","100","1","128001","0"
"1","1","128","1","87","31","","108.3","1","128002",""
"special","","128","","","37","","","1","128003",""
"5","1.4","129","-130","350","5","adv_sono_otona","100","5","129001","1"
"10","1","129","1","-18","31","","475","10","129002",""
"1","1","129","1","125","31","","460","1","129003",""
"special","","129","","","37","","","1","129004",""
"3","1.38","130","-130","350","5","adv_sono","100","3","130001","1"
"10","1","130","1","-18","31","","475","10","130002",""
"1","1","130","1","125","31","","460","1","130003",""
"special","","130","","","37","","","1","130004",""
"1","1.4","131","-140","-1.7","5","adv_luis","100","1","131001","0"
"1","1","131","1","87","31","","108.3","1","131002",""
"special","","131","","","37","","","1","131003",""
"2","1.5","132","-190","90","5","adv_iroha","100","2","132001","0"
"1","1","132","1","37","31","","200","1","132002",""
"special","","132","","","37","","","1","132003",""
