a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b
"12030034","","","","91","","","","0","","203"
"12030035","","1","","3","","nyx_203_yukari_03","","3","0.5","203"
"12030036","","1","","3","","nyx_203_yukari_03","","103431","0.5","203"
"12030037","","10","","11","","嘿咻～多喝一點～\n嗯呵呵～麥酒可是\n無所不能的啦～♪","","103431","","203"
"12030038","","","","91","","","","0","","203"
"12030039","","","","93","","","","0.1","","203"
"12030040","","0","nyx_203_yukari_05","3","1","nyx_203_yukari_06","","3","0.2","203"
"12030041","","0","nyx_203_yukari_05","3","1","nyx_203_yukari_06","","103431","0.2","203"
"12030042","","","","93","","","","0.5","","203"
"12030043","","0","nyx_cmn_05","3","1","nyx_lookup","0.2","103231","0.2","203"
"12030044","","","","93","","","","2","","203"
"12030045","","1","","12","","1","","103231","","203"
"12030046","","","","4","","1","","3","","203"
"12030047","","","","4","","1","","103431","","203"
"12030048","","0","","3","","nyx_203_yukari_04","","3","0.2","203"
"12030049","","0","","3","","nyx_203_yukari_04","","103431","0.2","203"
"12030050","","-10","0.67","2","0","-245","","3","","203"
"12030051","","-10","0.67","2","0","-245","","103431","","203"
"12030052","","","","93","","","","0.67","","203"
"12030053","","","","93","","","","0.83","","203"
"12030054","","-10","0.5","2","0","-265","","3","","203"
"12030055","","-10","0.5","2","0","-265","","103431","","203"
"12030056","","","","93","","","","0.5","","203"
"12030057","","-10","0.67","2","0","-328","","3","","203"
"12030058","","-10","0.67","2","0","-328","","103431","","203"
"12030059","","1","","3","","nyx_cmn_04","","103231","0.2","203"
"12030060","","0","nyx_idle_sad","3","1","nyx_lookup","0.2","104831","0.2","203"
"12030061","","","","93","","","","0.67","","203"
"12030062","","-10","0.67","2","0","-330","","3","","203"
"12030063","","-10","0.67","2","0","-330","","103431","","203"
"12030064","","","","93","","","","0.67","","203"
"12030065","","0","nyx_203_yukari_06","3","1","nyx_203_yukari_05","","3","0.2","203"
"12030066","","0","nyx_203_yukari_06","3","1","nyx_203_yukari_05","","103431","0.2","203"
"12030067","","","","93","","","","0.66","","203"
"12030068","","1","","12","","12","","104831","","203"
"12030069","","","","93","","","","2","","203"
"12030070","","1","","12","","9","","103431","","203"
"12030071","","0","nyx_talk_sad","3","1","nyx_lookup","0.2","104631","0.2","203"
"12030072","","","","4","","0","","3","","203"
"12030073","","","","4","","0","","103431","","203"
"12030074","","0","","3","","nyx_203_yukari_04","","3","0.2","203"
"12030075","","0","","3","","nyx_203_yukari_04","","103431","0.2","203"
"12030076","","-10","0.67","2","0","-285","","3","","203"
"12030077","","-10","0.67","2","0","-285","","103431","","203"
"12030078","","","","93","","","","0.67","","203"
"12030079","","","","93","","","","0.83","","203"
"12030080","","-10","0.5","2","0","-265","","3","","203"
"12030081","","-10","0.5","2","0","-265","","103431","","203"
"12030082","","","","93","","","","0.5","","203"
"12030083","","-10","0.67","2","0","-202","","3","","203"
"12030084","","-10","0.67","2","0","-202","","103431","","203"
"12030085","","1","","12","","5","","104631","","203"
"12030086","","","","93","","","","0.67","","203"
"12030087","","-10","0.67","2","0","-200","","3","","203"
"12030088","","-10","0.67","2","0","-200","","103431","","203"
"12030089","","","","93","","","","0.67","","203"
"12030090","","1","","3","","nyx_203_yukari_05","","3","0.2","203"
"12030091","","1","","3","","nyx_203_yukari_05","","103431","0.2","203"
"12030092","","","","93","","","","0.66","","203"
"12030093","","1","","3","","nyx_idle_sad","","104631","0.2","203"
"12030094","","1","","12","","6","","103431","","203"
"12030095","","","","4","","0","","3","","203"
"12030096","","","","4","","0","","103431","","203"
"12030097","","","","93","","","","1","","203"
"12030098","","","","101","","","","12030039","","203"
"12040001","nyx_204_mifuyu_01","110","121.8","1","28.5","104831","1","1","1.2","204"
"12040002","nyx_204_mifuyu_01","120","121.8","5","28.5","2","1","2","1.2","204"
"12040003","nyx_idle_normal","110","-278","1","-286.1","103431","0","1","1.2","204"
"12040004","nyx_idle_normal","140","283.5","1","-286.1","104631","1","1","1.2","204"
"12040005","nyx_idle_normal","110","-413","1","-286.1","103231","0","1","1.2","204"
"12040006","","0","0","31","1","1","","2","1","204"
"12040007","nyx_yagura_up_harf","130","109","5","-278","3","0","3","1.2","204"
"12040008","","-111","34","31","1","2","","14","1","204"
"12040009","","","","25","","bgm_M347","","bgm_M347","","204"
"12040010","","","","93","","","","2","","204"
"12040011","","1","","3","","nyx_204_mifuyu_01","","104831","0.2","204"
"12040012","","1","","3","","nyx_204_mifuyu_01","","2","0.2","204"
"12040013","","10","","11","","終於……\n完成了呢……","","104831","0","204"
"12040014","","","","93","","","","0.2","","204"
"12040015","","0","nyx_204_akino_01_loop","3","1","nyx_lookup","0.2","104631","0.2","204"
"12040016","","","","93","","","","0.5","","204"
"12040017","","1","","3","","nyx_204_mifuyu_02","","104831","0.2","204"
"12040018","","1","","3","","nyx_204_mifuyu_02","","2","0.2","204"
"12040019","","","","91","","","","12040013","","204"
"12040020","","10","","11","","比起設計階段\n很明顯地增加了\n許多功能呢……","","104831","0","204"
"12040021","","","","93","","","","1.5","","204"
"12040022","","0","nyx_lookup_loop","3","1","nyx_lookup","0.2","103431","0.2","204"
"12040023","","","","91","","","","12040020","","204"
"12040024","","","","93","","","","0.2","","204"
"12040025","","0","","3","","nyx_204_akino_01","","103231","0.2","204"
"12040026","","10","","11","","很驚訝對吧！\n這正是我們點子的\n心血結晶！","","103231","","204"
"12040027","","","","93","","","","1","","204"
"12040028","","1","","3","","nyx_204_akino_02","","103231","0.2","204"
"12040029","","","","91","","","","12040026","","204"
"12040030","","","","93","","","","0.5","","204"
"12040031","","10","","11","","是啊，我是很驚訝……\n沒想到妳們竟然會\n恣意妄為成這樣子","","104831","0","204"
"12040032","","","","93","","","","0.2","","204"
"12040033","","1","","3","","nyx_204_mifuyu_03","0.2","104831","0.2","204"
"12040034","","1","","3","","nyx_204_mifuyu_03","0.2","2","0.2","204"
"12040035","","","","93","","","","3","","204"
"12040036","","","","91","","","","12040031","","204"
"12040037","","1","","3","","nyx_talk_sad","","104631","","204"
"12040038","","10","","11","","為、為什麼\n妳在發抖喵？\n美冬…","","104631","","204"
"12040039","","","","91","","","","0","","204"
"12040040","","0","nyx_204_mifuyu_05","3","1","nyx_204_mifuyu_04","0.3","104831","0.3","204"
"12040041","","0","nyx_204_mifuyu_05","3","1","nyx_204_mifuyu_04","0.3","2","0.3","204"
"12040042","","10","","11","","這不是當然的嗎！\n這一堆毫無用處的\n功能是怎麼回事！","","104831","0","204"
"12040043","","","","93","","","","0.6","","204"
"12040044","","0","nyx_idle_surprise2","3","1","cmn_shock_def_N","0.2","104631","0.3","204"
"12040045","","0","nyx_idle_sad","3","1","cmn_shock_def_N","0.2","103431","0.3","204"
"12040046","","0","nyx_idle_surprise1","3","1","cmn_shock_def_N","0.2","103231","0.3","204"
"12040047","","","","93","","","","1.5","","204"
"12040048","","","","91","","","","12040042","","204"
"12040049","","10","","11","","不管怎麼看都是\n滿滿的浪費……\n太沒有效率了……！","","104831","0","204"
"12040050","","","","91","","","","0","","204"
"12040051","","1","","3","","nyx_talk_sad","0.3","103431","0.3","204"
"12040052","","10","","11","","冷、冷靜一點\n美冬……\n這也沒有辦法嘛……","","103431","","204"
"12040053","","","","91","","","","0","","204"
"12040054","","10","","11","","看到這個\n我怎麼可能還\n冷靜得下來啦～！","","104831","0","204"
"12040055","","","","93","","","","2.7","","204"
"12040056","","1","","3","","nyx_cmn_03","0.3","103431","0.3","204"
"12040057","","0","nyx_204_mifuyu_06","3","1","nyx_204_mifuyu_07","0.3","104831","0.3","204"
"12040058","","0","nyx_204_mifuyu_06","3","1","nyx_204_mifuyu_07","0.3","2","0.3","204"
"12040059","","","","91","","","","12040052","","204"
"12040060","","","","93","","","","0.5","","204"
"12040061","","1","","4","","0","","103431","","204"
"12040062","","","","93","","","","0.5","","204"
"12040063","","1","","12","","2","","103431","","204"
"12040064","","","","93","","","","1.5","","204"
"12040065","","1","","12","","17","","104631","","204"
"12040066","","1","","3","","nyx_talk_sad","0.3","104631","0.3","204"
"12040067","","","","93","","","","1.5","","204"
"12040068","","1","","4","","1","","103431","","204"
"12040069","","1","","3","","nyx_idle_sad","0.3","104631","0.3","204"
"12040070","","","","93","","","","0.2","","204"
"12040071","","1","","12","","7","","103231","","204"
"12040072","","0","cmn_pose02_def_N","3","1","nyx_talk_joy1","0.2","103231","0.3","204"
"12040073","","","","93","","","","0.1","","204"
"12040074","","1","","3","","nyx_talk_sad","0.3","103431","0.3","204"
"12040075","","","","93","","","","2","","204"
"12040076","","1","","12","","15","","104831","","204"
"12040077","","","","93","","","","2","","204"
"12040078","","","","101","","1","","12040061","","204"
"13010001","nyx_301_yuni_01","110","-135","1","-277","111031","0","1","1.2","301"
"13010002","","0","0","31","1","1","","3","1","301"
"13010003","","40","-195","31","1","2","","17","1","301"
"13010004","","40","-195","31","1","3","","18","0","301"
"13010005","","40","-195","31","1","4","","19","0","301"
"13010006","","","","25","","bgm_M347","","bgm_M347","","301"
"13010007","","","","93","","","","2","","301"
"13010008","","10","","11","","好朋友X……\n那個真的是\n浪漫的結晶啊……","","111031","","301"
"13010009","","","","91","","1","","0","","301"
"13010010","","10","","11","","由那創新之中所獲得\n的刺激應該以有形的\n方式留存下來才對…","","111031","","301"
"13010011","","","","91","","1","","0","","301"
"13010012","","","","93","","","","0.6","","301"
"13010013","","1","","3","","nyx_103_yuni_02","","111031","0.2","301"
"13010014","","10","","11","","綜上所述\n本來我是打算來蒐集\n好朋友X的殘骸的","","111031","","301"
"13010015","","","","91","","1","","0","","301"
"13010016","","0","nyx_idle_normal","3","","cmn_pose02_def_N","0.2","111031","0.2","301"
"13010017","","10","","11","","但如果只是修理這些\n並單純組裝起來的話\n也不過是仿造品罷了","","111031","","301"
"13010018","","","","91","","1","","0","","301"
"13010019","","0","nyx_103_yuni_04","3","1","nyx_103_yuni_03","","111031","0.2","301"
"13010020","","10","","11","","我要做些個人修改\n像是將機體縮小及\n改良各種功能","","111031","","301"
"13010021","","","","91","","1","","0","","301"
"13010022","","1","","3","","cmn_pose02_def_N","","111031","0.2","301"
"13010023","","10","","11","","嗯，也就是說\n鯛魚燒加上\n麥酒……","","111031","","301"
"13010024","","","","91","","","","0","","301"
"13010025","","","","93","","","","0.5","","301"
"13010026","","1","","3","","nyx_301_yuni_03","","111031","0.2","301"
"13010027","","10","","11","","不對，說到底\n為什麼鯛魚燒和麥酒\n會被裝進去呢","","111031","","301"
"13010028","","","","91","","1","","0","","301"
"13010029","","10","","11","","……真是令人費解啊\n看來似乎有必要先從\n這點開始思考起呢","","111031","","301"
"13010030","","","","91","","1","","0","","301"
"13010031","","1","","3","","nyx_301_yuni_01","","111031","0.2","301"
"13010032","","10","","11","","這是何等的難題啊\n我那對知識的探求心\n蠢蠢欲動了起來","","111031","","301"
"13010033","","","","91","","","","0","","301"
"13010034","","","","93","","","","2","","301"
"13010035","","","","4","","1","","111031","","301"
"13010036","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010037","","-277","1.5","2","","-230","","111031","","301"
"13010038","","","","93","","","","1.5","","301"
"13010039","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010040","","","","93","","","","3","","301"
"13010041","","","","4","","0","","111031","","301"
"13010042","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010043","","-277","1.5","2","","-95","","111031","","301"
"13010044","","","","93","","","","1.5","","301"
"13010045","","1","","12","","12","","111031","","301"
"13010046","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010047","","","","93","","","","0.4","","301"
"13010048","","","","32","","1","","3","","301"
"13010049","","","","93","","","","2.6","","301"
"13010050","","","","4","","1","","111031","","301"
"13010051","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010052","","-277","1.5","2","","-230","","111031","","301"
"13010053","","","","93","","","","1.5","","301"
"13010054","","1","","12","","13","","111031","","301"
"13010055","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010056","","","","93","","","","3","","301"
"13010057","","","","4","","0","","111031","","301"
"13010058","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010059","","-277","1.5","2","","-95","","111031","","301"
"13010060","","","","93","","","","1.5","","301"
"13010061","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010062","","","","93","","","","0.4","","301"
"13010063","","","","32","","1","","4","","301"
"13010064","","","","93","","","","2.6","","301"
"13010065","","","","4","","1","","111031","","301"
"13010066","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010067","","-277","1.5","2","","-230","","111031","","301"
"13010068","","","","93","","","","1.5","","301"
"13010069","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010070","","","","93","","","","3","","301"
"13010071","","","","4","","0","","111031","","301"
"13010072","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010073","","-277","4","2","","165","","111031","","301"
"13010074","","","","93","","","","4","","301"
"13010075","","1","","12","","12","","111031","","301"
"13010076","","0","nyx_idle_normal","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010077","","","","93","","","","3","","301"
"13010078","","","","4","","1","","111031","","301"
"13010079","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010080","","-277","4","2","","-230","","111031","","301"
"13010081","","","","93","","","","4","","301"
"13010082","","1","","12","","17","","111031","","301"
"13010083","","0","nyx_idle_normal","3","1","cmn_pose02_def_N","0.2","111031","0.2","301"
"13010084","","","","93","","","","4","","301"
"13010085","","","","4","","0","","111031","","301"
"13010086","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010087","","-277","4","2","","165","","111031","","301"
"13010088","","","","93","","","","4","","301"
"13010089","","0","nyx_303_yuni_01","3","0","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010090","","","","93","","","","2.4","","301"
"13010091","","1","","12","","7","","111031","","301"
"13010092","","","","93","","","","1.6","","301"
"13010093","","","","4","","1","","111031","","301"
"13010094","","1","","3","","cmn_walk_def_N","","111031","0.2","301"
"13010095","","-277","4","2","","-230","","111031","","301"
"13010096","","","","93","","","","4","","301"
"13010097","","1","","12","","2","","111031","","301"
"13010098","","0","cmn_pose02_def_N","3","1","nyx_301_yuni_02","0.2","111031","0.2","301"
"13010099","","","","93","","","","4","","301"
"13010100","","","","101","","","","13010071","","301"
"13020001","nyx_idle_normal","110","4000","1","-277","111031","1","1","1.2","302"
"13020002","NoItem","120","-200","5","-277","2","1","2","1.2","302"
"13020003","","0","0","31","1","1","","3","1","302"
"13020004","","-110","-240","31","1","3","","20","0","302"
"13020005","","40","-195","31","1.2","4","","21","1","302"
"13020006","","","","25","","bgm_M347","","bgm_M347","","302"
"13020007","","","","93","","","","2","","302"
"13020008","","0","nyx_idle_normal","3","1","nyx_302_yuni_01","0.2","111031","","302"
"13020009","","-277","0","2","","-200","","111031","","302"
"13020010","","-279","0","2","","-200","","2","","302"
"13020011","","10","","11","","……噗哈～！","","111031","","302"
"13020012","","","","93","","","","0","","302"
"13020013","","","","32","","1","","3","","302"
"13020014","","","","91","","","","13020011","","302"
"13020015","","10","","11","","不行不行\n差一點就要被埋在\n這堆材料山裡了","","111031","","302"
"13020016","","","","91","","","","0","","302"
"13020017","","0","NoItem","3","1","nyx_302_yuni_02","","2","0.2","302"
"13020018","","0","nyx_idle_normal","3","1","nyx_302_yuni_02","0.2","111031","0.2","302"
"13020019","","10","","11","","只不過因禍得福，\n竟然讓我意外地找到\n一直在找的零件","","111031","","302"
"13020020","","","","93","","","","5","","302"
"13020021","","","","4","","0","","111031","","302"
"13020022","","1","","3","","nyx_cmn_03","","111031","0.2","302"
"13020023","","10","","11","","唔嗯…還真是僥倖\n事已至此，那我就\n再潛航看看吧……","","111031","","302"
"13020024","","","","91","","","","0","","302"
"13020025","","1","","3","","nyx_301_yuni_01","","111031","0.2","302"
"13020026","","10","","11","","這種名為素材潛水的\n全新探索之旅意外的\n是件挺有意義的事呢","","111031","","302"
"13020027","","","","91","","1","","0","","302"
"13020028","","10","","11","","反正萬一溺水的話\n一定會有學弟妹\n注意到我的吧","","111031","","302"
"13020029","","","","91","","1","","0","","302"
"13020030","","0","nyx_302_yuni_04","3","1","nyx_302_yuni_03","","111031","0.2","302"
"13020031","","10","","11","","沒有辦法了\n我要上啦！","","111031","","302"
"13020032","","","","91","","1","","0","","302"
"13020033","","","","93","","","","1.5","","302"
"13020034","","10","","11","","唔。鑽得太深了\n看來……要出不去了！\n快來人！快來人啊！","","111031","","302"
"13020035","","","","91","","","","0","","302"
"13020036","","","","93","","","","6","","302"
"13020037","","1","","12","","2","","111031","","302"
"13020038","","","","93","","","","4","","302"
"13020039","","1","","12","","4","","111031","","302"
"13020040","","","","93","","","","4","","302"
"13020041","","","","101","","","","13020036","","302"
"13030001","nyx_303_yuni_07","110","49","1","-221.5","111031","1","1","1.2","303"
"13030002","","0","0","31","1","1","","4","1","303"
"13030003","","","","25","","bgm_M347","","bgm_M347","","303"
"13030004","","","","93","","","","2","","303"
"13030005","","10","","11","","唔嗯，整個過程雖然\n一波三折……但最後\n總算順利完成了呢","","111031","","303"
"13030006","","","","91","","","","0","","303"
"13030007","","1","","3","","nyx_303_yuni_01_noshadow","","111031","0.2","303"
"13030008","","10","","11","","哼哼哼……最終成果\n真是讓我心滿意足……","","111031","","303"
"13030009","","","","91","","","","0","","303"
"13030010","","10","","11","","外觀的完成度\n自然是無需多言\n值得一提的是功能面","","111031","","303"
"13030011","","","","91","","","","0","","303"
"13030012","","1","","3","","nyx_303_yuni_03","","111031","0.2","303"
"13030013","","10","","11","","來試著進行一下\n動作的測試吧","","111031","","303"
"13030014","","","","91","","","","0","","303"
"13030015","","0","nyx_303_yuni_04","3","1","nyx_303_yuni_02","0.2","111031","0.2","303"
"13030016","","","","93","","","","3","","303"
"13030017","","1","","3","","nyx_303_yuni_07","","111031","0.2","303"
"13030018","","10","","11","","嗯……\n映出表情的功能\n似乎沒有問題呢","","111031","","303"
"13030019","","","","91","","","","0","","303"
"13030020","","0","nyx_303_yuni_04","3","1","nyx_303_yuni_09","0.2","111031","0.2","303"
"13030021","","10","","11","","接下來要測試\n哪一個功能呢……","","111031","","303"
"13030022","","","","91","","","","0","","303"
"13030023","","","","93","","","","0.5","","303"
"13030024","","10","","11","","總而言之先隨便按\n幾個開關……哎呀\n這個按鈕可不行呢","","111031","","303"
"13030025","","","","93","","","","1.5","","303"
"13030026","","0","","3","","nyx_303_yuni_02","","111031","0.2","303"
"13030027","","","","93","","","","1","","303"
"13030028","","0","nyx_303_yuni_05","3","1","nyx_303_yuni_06","","111031","0.2","303"
"13030029","","","","93","","","","2","","303"
"13030030","","10","","11","","……好險好險\n差一點就要\n啟動自爆裝置了","","111031","","303"
"13030031","","","","93","","","","0.1","","303"
"13030032","","1","","3","","nyx_303_yuni_08","","111031","0.2","303"
"13030033","","","","91","","","","13030030","","303"
"13030034","","","","93","","","","2","","303"
"13030035","","0","nyx_303_yuni_04","3","1","nyx_303_yuni_09","0.2","111031","0.2","303"
"13030036","","","","93","","","","2","","303"
"13030037","","0","nyx_303_yuni_03","3","1","nyx_303_yuni_02","0.2","111031","0.2","303"
"13030038","","","","93","","","","1.8","","303"
"13030039","","1","","12","","6","","111031","","303"
"13030040","","","","93","","","","3.2","","303"
"13030041","","0","nyx_303_yuni_04","3","1","nyx_303_yuni_09","0.2","111031","0.2","303"
"13030042","","","","93","","","","2","","303"
"13030043","","0","nyx_303_yuni_08","3","1","nyx_303_yuni_02","0.2","111031","0.2","303"
"13030044","","","","93","","","","1.8","","303"
"13030045","","1","","12","","2","","111031","","303"
"13030046","","","","93","","","","1.2","","303"
"13030047","","","","101","","","","13030034","","303"
