c4a454e96552798ba20a4e004894655d5ef0b053d04f735025b5f179d40cd1ae,d3bf9be29c496e4d0cb7742e7ee777d275f279d8716a70cdef80baf158b13205,77ab4123a5ffd303044392bb1405db1351eb0ba89152589618b40612967ae2d1,e33324d5f64298680ce0066a7bd461605be9ff4b09fe27b102938b822131be92,fcdf4e9267b34cdf6f13698f79d3dbc1763ef7e51b0561ebd7e0b185da1286d9,f02e35b3f7b57460852f41e4bbafd59d962aedf6b424cee4996732032217f7ef,875be4fa333bb7edd6be47d3c58487dd861d998df23b74b1c11b0a99dd357d3a,eb6f168f8319cb1685e1d5bc4d1bfbc788fe47f38c874cc1a4bae5395b73a732,24b01534d96eeb977a27632724113ed6785d574dd023557144316e6d01486da2,83306115a44d64ece64db5d6e5c43c575af13600a88445d1a94a27a6f829a9be,7eb44700315966b3600dad026ea257cd4d654e16d0c82207e8dc1177162f3ed6
"","","","33","1330016","91","","","","","1330011"
"","","pkb_idle_normal","33","1330017","3","0.2","1","","","2"
"-150","1","106531","34","1340001","1","1.6","100","170","pkb_idle_normal","1"
"-150","0","113411","34","1340002","1","1.6","100","-20","pkb_idle_normal","1"
"1","0.2","pkb_talk_arm_crossed","34","1340003","3","0.2","0","pkb_idle_arm_crossed","","106531"
"","","vo_minigame_1006_top_talk_13_301","34","1340004","21","","0","0","","vo_minigame_1006"
"0","0","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","34","1340005","11","0","8","0","-1","106531"
"","","","34","1340006","93","","","","","3.4"
"","","pkb_talk_normal","34","1340007","3","0.2","1","","","106531"
"","","","34","1340008","91","","","","","1340005"
"","","pkb_idle_normal","34","1340009","3","0.2","1","","","106531"
"","","pkb_talk_normal","34","1340010","3","0.2","1","","","113411"
"","","vo_minigame_1006_top_talk_13_202","34","1340011","21","","0","0","","vo_minigame_1006"
"0","0","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","34","1340012","11","0","8","0","1","113411"
"","","","34","1340013","93","","","","","1.2"
"1","0.2","pkb_surprise","34","1340014","3","0.2","0","pkb_talk_surprise1","","113411"
"","","","34","1340015","93","","","","","1"
"","","pkb_talk_joy3","34","1340016","3","0.2","1","","","113411"
"","","","34","1340017","91","","","","","1340012"
"","","pkb_idle_normal","34","1340018","3","0.2","1","","","113411"
"-150","0","113511","35","1350001","1","1.6","100","-20","pkb_idle_normal","1"
"-150","1","102311","35","1350002","1","1.6","100","170","pkb_idle_normal","1"
"","","pkb_talk_joy3","35","1350003","3","0.2","1","","","113511"
"","","vo_minigame_1006_top_talk_14_101","35","1350004","21","","0","0","","vo_minigame_1006"
"0","0","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","35","1350005","11","0","6","0","0.5","113511"
"","","","35","1350006","93","","","","","5.2"
"","","pkb_talk_wish","35","1350007","3","0.2","1","","","113511"
"","","","35","1350008","91","","","","","1350005"
"","","pkb_idle_normal","35","1350009","3","0.2","1","","","113511"
"","","pkb_talk_joy1","35","1350010","3","0.2","1","","","102311"
"","","vo_minigame_1006_top_talk_14_402","35","1350011","21","","0","0","","vo_minigame_1006"
"0","0","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","35","1350012","11","0","8","0","-1","102311"
"","","","35","1350013","93","","","","","3.2"
"1","","pkb_talk_doya","35","1350014","3","0.2","0","pkb_idle_doya","","102311"
"","","","35","1350015","91","","","","","1350012"
"","","pkb_idle_normal","35","1350016","3","0.2","1","","","102311"
"-130","1","3","36","1360001","5","55","100","170","pkb_idle_normal_l","3"
"-130","0","1","36","1360002","5","55","100","-20","pkb_idle_normal","1"
"1","0.2","pkb_talk_arm_crossed_l","36","1360003","3","0.2","0","pkb_idle_arm_crossed_l","","3"
"","","vo_minigame_1006_top_talk_15_601","36","1360004","21","","0","0","","vo_minigame_1006"
"0","0","喂，旭！\n讓我看看\n你進步了多少！","36","1360005","11","0","8","0","-0.5","3"
"","","","36","1360006","91","","","","","1360005"
"","","pkb_idle_normal_l","36","1360007","3","0.2","1","","","3"
"1","","pkb_talk_guts","36","1360008","3","0.2","0","pkb_idle_guts","","1"
"","","vo_minigame_1006_top_talk_15_702","36","1360009","21","","0","0","","vo_minigame_1006"
"0","0","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","36","1360010","11","0","8","0","0","1"
"","","","36","1360011","91","","","","","1360010"
"","","pkb_idle_normal","36","1360012","3","0.2","1","","","1"
"-130","0","1","37","1370001","5","55","100","-20","pkb_idle_normal","1"
"-130","1","3","37","1370002","5","55","100","170","pkb_idle_normal_l","3"
"1","","pkb_talk_guts","37","1370003","3","0.2","0","pkb_idle_guts","","1"
"","","vo_minigame_1006_top_talk_16_701","37","1370004","21","","0","0","","vo_minigame_1006"
"0","0","我們絕對要參加\n全國大賽，\n實現我們的夢想！","37","1370005","11","0","8","0","-0.5","1"
"","","","37","1370006","93","","","","","3.2"
"1","0.2","pkb_talk_handsup","37","1370007","3","0.2","0","pkb_idle_normal","","1"
"","","","37","1370008","91","","","","","1370005"
"","","pkb_idle_normal","37","1370009","3","0.2","1","","","1"
"1","0.2","pkb_talk_arm_crossed_l","37","1370010","3","0.2","0","pkb_idle_arm_crossed_l","","3"
"","","vo_minigame_1006_top_talk_16_602","37","1370011","21","","0","0","","vo_minigame_1006"
"0","0","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","37","1370012","11","0","8","0","1","3"
"","","","37","1370013","93","","","","","4.8"
"1","","pkb_talk_guts_l","37","1370014","3","0.2","0","pkb_idle_guts_l","","3"
"","","","37","1370015","91","","","","","1370012"
"","","pkb_idle_normal_l","37","1370016","3","0.2","1","","","3"
"-150","1","106531","38","1380001","1","1.6","100","170","pkb_idle_normal","1"
"-130","0","2","38","1380002","5","55","100","-20","pkb_idle_normal","2"
"1","0.2","pkb_talk_arm_crossed","38","1380003","3","0.2","0","pkb_idle_arm_crossed","","106531"
"","","vo_minigame_1006_top_talk_17_301","38","1380004","21","","0","0","","vo_minigame_1006"
"0","0","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","38","1380005","11","0","8","0","-0.5","106531"
"","","","38","1380006","93","","","","","3.6"
"1","","pkb_talk_doya","38","1380007","3","0.2","0","pkb_idle_doya","","106531"
"","","","38","1380008","93","","","","","2"
"1","0.2","pkb_talk_handsup","38","1380009","3","0.2","0","pkb_idle_normal","","106531"
"","","","38","1380010","91","","","","","1380005"
"","","","38","1380011","93","","","","","1"
"","","pkb_idle_normal","38","1380012","3","0.2","1","","","106531"
"1","","pkb_shock","38","1380013","3","0.2","0","pkb_idle_shock","","2"
"","","vo_minigame_1006_top_talk_17_802","38","1380014","21","","0","0","","vo_minigame_1006"
"0","0","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","38","1380015","11","0","7","0","1","2"
"","","","38","1380016","91","","","","","1380015"
"","","pkb_idle_normal","38","1380017","3","0.2","1","","","2"
