67179e11f4ae4c3844cc0e78d1475197ec43b4ab5c962f0f1a0f588afc5f3fe4,f52e3261abdebd0493e043f362d6118fdaf3a86c785e58dc7fdf8f99630ea42d,f905bece1f8185ba7349a05b0c0ef2cfa7ebb97e6f4a3645d8c88f45d2c97ba3,606d472965fcf1ca29a2320f00f4d0fb6079c9a2e907e063267e89eaff093266,e72dd3e5306e3d32a615e6898e3c7ba93cee4164237fdcbe0aee0ecee713314b,fd113dd2a93c4de286a508b1947301b2082c079c647ffcd393197dbc60281b0e,4bb8f612fe3b778ed3fdd3ff413f32f548aed684ef95a4c38781fd1da763ca29,c2d56f3f48c49d510a65eae20280b4f79d68b388d3fe3a68e52a16fd3b2b8ea9,9a160b0c98dbc4536b408980805c1904837ae8645cb00f6863b275954c36a2d3,a042aaceb38a9fea7449974a67b0b8bf0d3621f48717eb33036e5c304fbc1d99,133227d84e8c1389e80180d914a0bfcb806aeb1b362be43b58e9402441968715
"","","112411","1070049","7","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7007","1070050","7","","0","","","vo_omp_7007_007","21"
"","1","112411","1070051","7","1","10","","","小凜……！","11"
"","","0","1070052","7","","","","","","91"
"","","112611","1070053","7","","","","","0","4"
"","","112411","1070054","7","","1","","0","omp_psn_20","3"
"","","112611","1070055","7","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7007","1070056","7","","0","","","vo_omp_7007_008","21"
"","1","112611","1070057","7","1","10","","","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！","11"
"","","10","1070058","7","","","","","1","93"
"","","112611","1070059","7","","1","","","0","4"
"","0","112611","1070060","7","1","-205","","","120","2"
"","0","112411","1070061","7","1","-205","","","420","2"
"","omp_psn_13_loop","112611","1070062","7","1","0","0.1","0","omp_psn_13","3"
"","omp_psn_13_loop","112411","1070063","7","1","0","0.1","0","omp_psn_13","3"
"","omp_psn_15_loop","112511","1070064","7","1","0","0","0","omp_psn_15","3"
"","","1","1070065","7","","","","","1","93"
"","omp_idle_surprise1","105831","1070066","7","1","0","","0","omp_surprise","3"
"","omp_idle_surprise1","105931","1070067","7","1","0","","0","omp_surprise","3"
"","omp_idle_surprise2","106031","1070068","7","1","0","0.2","0","omp_surprise","3"
"","","1070057","1070069","7","","","","","","91"
"","0","vo_omp_7007","1070070","7","","0","","","vo_omp_7007_009","21"
"","1","112511","1070071","7","1","10","","","等等，快、快住手啦……！","11"
"","","0","1070072","7","","","","","","91"
"","","105831","1070073","7","","1","","","1","4"
"","","105831","1070074","7","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7007","1070075","7","","0","","","vo_omp_7007_010","21"
"","1","105831","1070076","7","1","10","","","小凱留，\n我們也來抱抱吧♪","11"
"","","0","1070077","7","","","","","","91"
"","","105831","1070078","7","","1","","0","omp_idle_joy1","3"
"","","106031","1070079","7","","1","","0","omp_talk_tsun","3"
"","0","vo_omp_7007","1070080","7","","0","","","vo_omp_7007_011","21"
"","1","106031","1070081","7","1","10","","","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？","11"
"","","4","1070082","7","","","","","1","93"
"","","105831","1070083","7","","1","","0","omp_walk","3"
"","1","105831","1070084","7","1","-205","","","-120","2"
"","","0","1070085","7","","","","","","91"
"","","105831","1070086","7","","1","","0.2","omp_idle_joy1","3"
"","","1070081","1070087","7","","","","","","91"
"","","105831","1070088","7","","1","","0","omp_idle_joy1","3"
"","","106031","1070089","7","","1","","0","omp_idle_tsun","3"
"","","105931","1070090","7","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7007","1070091","7","","0","","","vo_omp_7007_012","21"
"","1","105931","1070092","7","1","10","","","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪","11"
"","","0","1070093","7","","","","","","91"
"","0","105831","1070094","7","1","-205","","","-120","2"
"","0","105931","1070095","7","1","-205","","","-440","2"
"","omp_psn_14_loop","105831","1070096","7","1","0","0.1","0","omp_psn_14","3"
"","omp_psn_14_loop","105931","1070097","7","1","0","0.1","0","omp_psn_14","3"
"","omp_psn_15_loop","106031","1070098","7","1","0","0","0","omp_psn_15","3"
"","0","vo_omp_7007","1070099","7","","0","","","vo_omp_7007_013","21"
"","1","105831","1070100","7","1","10","","","抱抱～♪","11"
"","","0","1070101","7","","","","","","91"
"","","106031","1070102","7","","1","","0","omp_psn_16_loop","3"
"","0","vo_omp_7007","1070103","7","","0","","","vo_omp_7007_014","21"
"","1","106031","1070104","7","1","10","","","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？","11"
"","","0","1070105","7","","","","","","91"
"","","112611","1070106","7","","1","","0","omp_psn_13_loop","3"
"","0","vo_omp_7007","1070107","7","","0","","","vo_omp_7007_015","21"
"","1","112611","1070108","7","1","10","","","哇～！\n凱留凱留～！","11"
"","","0","1070109","7","","","","","","91"
"","","112611","1070110","7","","1","","0","omp_psn_13_loop","3"
"","","112411","1070111","7","","1","","0","omp_psn_13_loop","3"
"","0","vo_omp_7007","1070112","7","","0","","","vo_omp_7007_016","21"
"","1","112411","1070113","7","1","10","","","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！","11"
"","","0","1070114","7","","","","","","91"
"","","112411","1070115","7","","1","","0","omp_psn_13_loop","3"
"","","112511","1070116","7","","1","","0","omp_psn_15_loop","3"
"","0","vo_omp_7007","1070117","7","","0","","","vo_omp_7007_017","21"
"","1","112511","1070118","7","1","10","","","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！","11"
"","","5.5","1070119","7","","","","","1","93"
"","","112511","1070120","7","","1","","0.1","omp_psn_16_loop","3"
"","","1070118","1070121","7","","","","","","91"
"","","0.4","1070122","7","","","","","","93"
"omp_idle_normal","200","1","1080001","8","-195","1600","1","1.8","105831","1"
"omp_talk_normal","0","1","1080002","8","-185","1500","0","1.8","105931","1"
"omp_idle_normal","-200","1","1080003","8","-205","1600","0","1.8","106031","1"
"","0","1","1080004","8","1","0","","1","1","31"
"","","1","1080005","8","","","","","","93"
"","0","vo_omp_7008","1080006","8","","0","","","vo_omp_7008_000","21"
"","1","105931","1080007","8","1","10","","","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。","11"
"","","0","1080008","8","","","","","","91"
"","","105931","1080009","8","","1","","0","omp_idle_normal","3"
"","","105831","1080010","8","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7008","1080011","8","","0","","","vo_omp_7008_001","21"
"","1","105831","1080012","8","1","10","","","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆","11"
"","","0","1080013","8","","","","","","91"
"","","105831","1080014","8","","1","","0","omp_idle_joy1","3"
"","","106031","1080015","8","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7008","1080016","8","","0","","","vo_omp_7008_002","21"
"","1","106031","1080017","8","1","10","","","唉……妳的腦袋裡\n真的都只想著吃呢。","11"
"","","0","1080018","8","","","","","","91"
"","","106031","1080019","8","","1","","0","omp_idle_sad","3"
"","","105931","1080020","8","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7008","1080021","8","","0","","","vo_omp_7008_003","21"
"","1","105931","1080022","8","1","10","","","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。","11"
"","","0","1080023","8","","","","","","91"
"","","105931","1080024","8","","1","","0","omp_idle_normal","3"
"","","106031","1080025","8","","1","","0","omp_talk_surprise1","3"
"","0","vo_omp_7008","1080026","8","","0","","","vo_omp_7008_004","21"
"","1","106031","1080027","8","1","10","","","連可蘿仔也是！？","11"
"","","0","1080028","8","","","","","","91"
"","","106031","1080029","8","","1","","0","omp_idle_surprise1","3"
"","","105831","1080030","8","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7008","1080031","8","","0","","","vo_omp_7008_005","21"
"","1","105831","1080032","8","1","10","","","小凱留打算怎麼做呢～？","11"
"","","0","1080033","8","","","","","","91"
"","","105931","1080034","8","","","","","1","4"
"","","105831","1080035","8","","1","","0","omp_idle_normal","3"
"","","106031","1080036","8","","1","","0","omp_talk_tsun","3"
"","0","vo_omp_7008","1080037","8","","0","","","vo_omp_7008_006","21"
"","1","106031","1080038","8","1","10","","","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。","11"
"","","0","1080039","8","","","","","","91"
"","","106031","1080040","8","","1","","0","omp_idle_tsun","3"
"","","105931","1080041","8","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7008","1080042","8","","0","","","vo_omp_7008_007","21"
"","1","105931","1080043","8","1","10","","","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪","11"
"","","0","1080044","8","","","","","","91"
"","","105931","1080045","8","","","","","0","4"
"","","105931","1080046","8","","1","","0","omp_idle_normal","3"
"","","105831","1080047","8","","1","","0","omp_talk_joy1","3"
"","0","vo_omp_7008","1080048","8","","0","","","vo_omp_7008_008","21"
"","1","105831","1080049","8","1","10","","","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！","11"
"","","0","1080050","8","","","","","","91"
"","","0.4","1080051","8","","","","","","93"
"omp_idle_normal","300","1","1090001","9","-270","1600","1","1.8","105831","1"
"omp_idle_normal","450","1","1090002","9","-285","1700","1","1.8","105931","1"
"omp_idle_normal","-310","1","1090003","9","-230","1600","1","1.8","106031","1"
"omp_idle_normal","-45","1","1090004","9","-190","1500","1","1.8","112511","1"
"omp_idle_normal","65","1","1090005","9","-240","1600","1","1.8","112411","1"
"omp_idle_normal","205","1","1090006","9","-192","1500","1","1.8","112611","1"
"","0","1","1090007","9","1","0","","1","1","31"
"","","0.2","1090008","9","","","","","","93"
"","","112611","1090009","9","","1","","0.1","omp_idle_normal","3"
"","","106031","1090010","9","","1","","0","omp_talk_sad","3"
"","","112511","1090011","9","","1","","0.1","omp_idle_normal","3"
"","","105831","1090012","9","","1","","0.1","omp_idle_normal","3"
"","","0.1","1090013","9","","","","","","93"
"","","1","1090014","9","","","","","","93"
"","0","vo_omp_7009","1090015","9","","0","","","vo_omp_7009_000","21"
"","1","106031","1090016","9","1","10","","","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！","11"
"","","0","1090017","9","","","","","","91"
"","","106031","1090018","9","","0","","0","omp_psn_17","3"
"","0","vo_omp_7009","1090019","9","","0","","","vo_omp_7009_001","21"
"","1","106031","1090020","9","1","10","","","……凱留凱留\n說笑的喵。","11"
"","","2","1090021","9","","","","","1","93"
"","","106031","1090022","9","","1","","0.2","omp_talk_sad","3"
"","","1090020","1090023","9","","","","","","91"
"","","106031","1090024","9","","1","","0","omp_idle_sad","3"
"","omp_idle_joy1","105831","1090025","9","1","0","0.2","0","omp_psn_17","3"
"","0","vo_omp_7009","1090026","9","","0","","","vo_omp_7009_002","21"
"","1","105831","1090027","9","1","10","","","凱留凱留♪","11"
"","","0","1090028","9","","","","","","91"
"","omp_idle_normal","105931","1090029","9","","1","0.2","0","omp_psn_17","3"
"","0","vo_omp_7009","1090030","9","","0","","","vo_omp_7009_003","21"
"","1","105931","1090031","9","1","10","","","凱留凱留喵。","11"
"","","0","1090032","9","","","","","","91"
"","","106031","1090033","9","","","","","0","4"
"","omp_idle_surprise1","106031","1090034","9","1","0","0","0","omp_surprise","3"
"","0","vo_omp_7009","1090035","9","","0","","","vo_omp_7009_004","21"
"","1","106031","1090036","9","1","10","","","妳、妳們幾個！？\n看、看到剛才的……！？","11"
"","","0","1090037","9","","","","","","91"
"","omp_idle_joy1","112611","1090038","9","","1","0.2","0","omp_psn_17_other","3"
"","0","vo_omp_7009","1090039","9","","0","","","vo_omp_7009_005","21"
"","1","112611","1090040","9","1","10","","","凱留凱留～♪\n華麗登場喵☆","11"
"","","0","1090041","9","","","","","","91"
"","","106031","1090042","9","","1","","0","omp_talk_anger2","3"
"","0","vo_omp_7009","1090043","9","","0","","","vo_omp_7009_006","21"
"","1","106031","1090044","9","1","10","","","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！","11"
"","","0","1090045","9","","","","","","91"
"","","106031","1090046","9","","1","","0","omp_idle_anger2","3"
"","","112411","1090047","9","","1","","0","omp_talk_sad","3"
"","0","vo_omp_7009","1090048","9","","0","","","vo_omp_7009_007","21"
"","1","112411","1090049","9","1","10","","","凱、凱留。呃，那個……","11"
"","","0","1090050","9","","","","","","91"
"","","112411","1090051","9","","1","","0","omp_idle_sad","3"
"","","112511","1090052","9","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7009","1090053","9","","0","","","vo_omp_7009_008","21"
"","1","112511","1090054","9","1","10","","","妳很辛苦呢。","11"
"","","0","1090055","9","","","","","","91"
"","","112511","1090056","9","","1","","0","omp_idle_normal","3"
"","","106031","1090057","9","","1","","0","omp_talk_tsun","3"
"","0","vo_omp_7009","1090058","9","","0","","","vo_omp_7009_009","21"
"","1","106031","1090059","9","1","10","","","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！","11"
"","","0","1090060","9","","","","","","91"
"","","106031","1090061","9","","1","","0","omp_idle_tsun","3"
"","","112511","1090062","9","","1","","0","omp_talk_normal","3"
"","0","vo_omp_7009","1090063","9","","0","","","vo_omp_7009_010","21"
"","1","112511","1090064","9","1","10","","","可是我覺得那個很可愛耶。","11"
"","","0","1090065","9","","","","","","91"
"","","112511","1090066","9","","1","","0","omp_idle_normal","3"
"","","112411","1090067","9","","1","","0","omp_talk_joy2","3"
"","0","vo_omp_7009","1090068","9","","0","","","vo_omp_7009_011","21"
"","1","112411","1090069","9","1","10","","","是啊！　非常棒喔！","11"
"","","0","1090070","9","","","","","","91"
"","","112411","1090071","9","","1","","0","omp_psn_20","3"
"","","106031","1090072","9","","1","","0","omp_talk_tsun","3"
"","0","vo_omp_7009","1090073","9","","0","","","vo_omp_7009_012","21"
"","1","106031","1090074","9","1","10","","","聽到那種話我才不覺得開心啦～！？","11"
"","","0","1090075","9","","","","","","91"
"","","106031","1090076","9","","1","","0","omp_idle_tsun","3"
"","omp_idle_joy1","105831","1090077","9","1","0","0.2","0","omp_psn_17","3"
"","omp_idle_normal","105931","1090078","9","1","0","0.2","0","omp_psn_17","3"
"","omp_idle_joy1","112611","1090079","9","1","0","0.2","0","omp_psn_17_other","3"
"","0","vo_omp_7009","1090080","9","","0","","","vo_omp_7009_013","21"
"","1","105831","1090081","9","1","10","","","凱留凱留♪","11"
"","","0","1090082","9","","","","","","91"
"","","106031","1090083","9","","1","","0","omp_talk_anger2","3"
"","0","vo_omp_7009","1090084","9","","0","","","vo_omp_7009_014","21"
"","1","106031","1090085","9","1","10","","","我一定要宰了妳們～～～～～～～！","11"
"","","0","1090086","9","","","","","","91"
"","","0.4","1090087","9","","","","","","93"
