12a82f15c7674305a89954e95c452420e9faf6d00d10bf94a199009056f177c4,9ab0deb23895a9f10bf5fb0757c711cf3ae62973bb65c25465c1dff8bf471e48,aee8ae30b42414f26e87639a5b3708681b4a27568fc0b868be49f090df1e1731,17c9ad5b9e667215f4cea8e326d65713b2acdde9d8232ea8ec1242d2552e6706,c04bb44f5ae47ab54f50bb30b660a3601249396d99db1040e537c96b0a949ba9,960559cf6e6d70b88c988ee06d24655f3d95b75edd520dc5ebf79c46c4d41aa6,56d05251c485011f7d288cf21b8f0e4927d4edf020a5d58f16e6cbeb227252eb,d67028eafc23bea364ae6a6e777ed83f4a825595fd1b6350d4ea9bf7bcf374fe,865f4e96d8ac03fc2368419c7aa9038224ff660523926ba236aaa342acbd26a8,659d25d189f6ac8ec1593f1da03fa6c74066fbed8da56c89b847e1fb02e47206,089102589afd2272997bbbf6ae48b18e4af929a3bc2fed94f39aeadf6eb4ba3b
"","1","","33","1330015","0.2","2","pkb_idle_shock","pkb_shock","3","0"
"","","","33","1330016","","1330011","","","91",""
"","","","33","1330017","0.2","2","","pkb_idle_normal","3","1"
"1","-150","pkb_idle_normal","34","1340001","1.6","1","170","106531","1","100"
"0","-150","pkb_idle_normal","34","1340002","1.6","1","-20","113411","1","100"
"0.2","1","","34","1340003","0.2","106531","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","34","1340004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_13_301","21","0"
"0","0","-1","34","1340005","0","106531","0","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","11","8"
"","","","34","1340006","","3.4","","","93",""
"","","","34","1340007","0.2","106531","","pkb_talk_normal","3","1"
"","","","34","1340008","","1340005","","","91",""
"","","","34","1340009","0.2","106531","","pkb_idle_normal","3","1"
"","","","34","1340010","0.2","113411","","pkb_talk_normal","3","1"
"","","","34","1340011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_13_202","21","0"
"0","0","1","34","1340012","0","113411","0","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","11","8"
"","","","34","1340013","","1.2","","","93",""
"0.2","1","","34","1340014","0.2","113411","pkb_talk_surprise1","pkb_surprise","3","0"
"","","","34","1340015","","1","","","93",""
"","","","34","1340016","0.2","113411","","pkb_talk_joy3","3","1"
"","","","34","1340017","","1340012","","","91",""
"","","","34","1340018","0.2","113411","","pkb_idle_normal","3","1"
"0","-150","pkb_idle_normal","35","1350001","1.6","1","-20","113511","1","100"
"1","-150","pkb_idle_normal","35","1350002","1.6","1","170","102311","1","100"
"","","","35","1350003","0.2","113511","","pkb_talk_joy3","3","1"
"","","","35","1350004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_14_101","21","0"
"0","0","0.5","35","1350005","0","113511","0","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","11","6"
"","","","35","1350006","","5.2","","","93",""
"","","","35","1350007","0.2","113511","","pkb_talk_wish","3","1"
"","","","35","1350008","","1350005","","","91",""
"","","","35","1350009","0.2","113511","","pkb_idle_normal","3","1"
"","","","35","1350010","0.2","102311","","pkb_talk_joy1","3","1"
"","","","35","1350011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_14_402","21","0"
"0","0","-1","35","1350012","0","102311","0","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","11","8"
"","","","35","1350013","","3.2","","","93",""
"","1","","35","1350014","0.2","102311","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","35","1350015","","1350012","","","91",""
"","","","35","1350016","0.2","102311","","pkb_idle_normal","3","1"
"1","-130","pkb_idle_normal_l","36","1360001","55","3","170","3","5","100"
"0","-130","pkb_idle_normal","36","1360002","55","1","-20","1","5","100"
"0.2","1","","36","1360003","0.2","3","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","36","1360004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_15_601","21","0"
"0","0","-0.5","36","1360005","0","3","0","喂，旭！\n讓我看看\n你進步了多少！","11","8"
"","","","36","1360006","","1360005","","","91",""
"","","","36","1360007","0.2","3","","pkb_idle_normal_l","3","1"
"","1","","36","1360008","0.2","1","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","36","1360009","","vo_minigame_1006","0","vo_minigame_1006_top_talk_15_702","21","0"
"0","0","0","36","1360010","0","1","0","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","11","8"
"","","","36","1360011","","1360010","","","91",""
"","","","36","1360012","0.2","1","","pkb_idle_normal","3","1"
"0","-130","pkb_idle_normal","37","1370001","55","1","-20","1","5","100"
"1","-130","pkb_idle_normal_l","37","1370002","55","3","170","3","5","100"
"","1","","37","1370003","0.2","1","pkb_idle_guts","pkb_talk_guts","3","0"
"","","","37","1370004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_16_701","21","0"
"0","0","-0.5","37","1370005","0","1","0","我們絕對要參加\n全國大賽，\n實現我們的夢想！","11","8"
"","","","37","1370006","","3.2","","","93",""
"0.2","1","","37","1370007","0.2","1","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","37","1370008","","1370005","","","91",""
"","","","37","1370009","0.2","1","","pkb_idle_normal","3","1"
"0.2","1","","37","1370010","0.2","3","pkb_idle_arm_crossed_l","pkb_talk_arm_crossed_l","3","0"
"","","","37","1370011","","vo_minigame_1006","0","vo_minigame_1006_top_talk_16_602","21","0"
"0","0","1","37","1370012","0","3","0","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","11","8"
"","","","37","1370013","","4.8","","","93",""
"","1","","37","1370014","0.2","3","pkb_idle_guts_l","pkb_talk_guts_l","3","0"
"","","","37","1370015","","1370012","","","91",""
"","","","37","1370016","0.2","3","","pkb_idle_normal_l","3","1"
"1","-150","pkb_idle_normal","38","1380001","1.6","1","170","106531","1","100"
"0","-130","pkb_idle_normal","38","1380002","55","2","-20","2","5","100"
"0.2","1","","38","1380003","0.2","106531","pkb_idle_arm_crossed","pkb_talk_arm_crossed","3","0"
"","","","38","1380004","","vo_minigame_1006","0","vo_minigame_1006_top_talk_17_301","21","0"
"0","0","-0.5","38","1380005","0","106531","0","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","11","8"
"","","","38","1380006","","3.6","","","93",""
"","1","","38","1380007","0.2","106531","pkb_idle_doya","pkb_talk_doya","3","0"
"","","","38","1380008","","2","","","93",""
"0.2","1","","38","1380009","0.2","106531","pkb_idle_normal","pkb_talk_handsup","3","0"
"","","","38","1380010","","1380005","","","91",""
"","","","38","1380011","","1","","","93",""
"","","","38","1380012","0.2","106531","","pkb_idle_normal","3","1"
"","1","","38","1380013","0.2","2","pkb_idle_shock","pkb_shock","3","0"
"","","","38","1380014","","vo_minigame_1006","0","vo_minigame_1006_top_talk_17_802","21","0"
"0","0","1","38","1380015","0","2","0","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","11","7"
"","","","38","1380016","","1380015","","","91",""
"","","","38","1380017","0.2","2","","pkb_idle_normal","3","1"
