985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86
"33","pkb_shock","1330015","","2","0.2","0","","1","3","pkb_idle_shock"
"33","","1330016","","1330011","","","","","91",""
"33","pkb_idle_normal","1330017","","2","0.2","1","","","3",""
"34","106531","1340001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"34","113411","1340002","0","1","1.6","100","pkb_idle_normal","-150","1","-20"
"34","pkb_talk_arm_crossed","1340003","0.2","106531","0.2","0","","1","3","pkb_idle_arm_crossed"
"34","vo_minigame_1006_top_talk_13_301","1340004","","vo_minigame_1006","","0","","","21","0"
"34","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","1340005","0","106531","0","8","-1","0","11","0"
"34","","1340006","","3.4","","","","","93",""
"34","pkb_talk_normal","1340007","","106531","0.2","1","","","3",""
"34","","1340008","","1340005","","","","","91",""
"34","pkb_idle_normal","1340009","","106531","0.2","1","","","3",""
"34","pkb_talk_normal","1340010","","113411","0.2","1","","","3",""
"34","vo_minigame_1006_top_talk_13_202","1340011","","vo_minigame_1006","","0","","","21","0"
"34","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","1340012","0","113411","0","8","1","0","11","0"
"34","","1340013","","1.2","","","","","93",""
"34","pkb_surprise","1340014","0.2","113411","0.2","0","","1","3","pkb_talk_surprise1"
"34","","1340015","","1","","","","","93",""
"34","pkb_talk_joy3","1340016","","113411","0.2","1","","","3",""
"34","","1340017","","1340012","","","","","91",""
"34","pkb_idle_normal","1340018","","113411","0.2","1","","","3",""
"35","113511","1350001","0","1","1.6","100","pkb_idle_normal","-150","1","-20"
"35","102311","1350002","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"35","pkb_talk_joy3","1350003","","113511","0.2","1","","","3",""
"35","vo_minigame_1006_top_talk_14_101","1350004","","vo_minigame_1006","","0","","","21","0"
"35","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","1350005","0","113511","0","6","0.5","0","11","0"
"35","","1350006","","5.2","","","","","93",""
"35","pkb_talk_wish","1350007","","113511","0.2","1","","","3",""
"35","","1350008","","1350005","","","","","91",""
"35","pkb_idle_normal","1350009","","113511","0.2","1","","","3",""
"35","pkb_talk_joy1","1350010","","102311","0.2","1","","","3",""
"35","vo_minigame_1006_top_talk_14_402","1350011","","vo_minigame_1006","","0","","","21","0"
"35","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","1350012","0","102311","0","8","-1","0","11","0"
"35","","1350013","","3.2","","","","","93",""
"35","pkb_talk_doya","1350014","","102311","0.2","0","","1","3","pkb_idle_doya"
"35","","1350015","","1350012","","","","","91",""
"35","pkb_idle_normal","1350016","","102311","0.2","1","","","3",""
"36","3","1360001","1","3","55","100","pkb_idle_normal_l","-130","5","170"
"36","1","1360002","0","1","55","100","pkb_idle_normal","-130","5","-20"
"36","pkb_talk_arm_crossed_l","1360003","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"36","vo_minigame_1006_top_talk_15_601","1360004","","vo_minigame_1006","","0","","","21","0"
"36","喂，旭！\n讓我看看\n你進步了多少！","1360005","0","3","0","8","-0.5","0","11","0"
"36","","1360006","","1360005","","","","","91",""
"36","pkb_idle_normal_l","1360007","","3","0.2","1","","","3",""
"36","pkb_talk_guts","1360008","","1","0.2","0","","1","3","pkb_idle_guts"
"36","vo_minigame_1006_top_talk_15_702","1360009","","vo_minigame_1006","","0","","","21","0"
"36","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","1360010","0","1","0","8","0","0","11","0"
"36","","1360011","","1360010","","","","","91",""
"36","pkb_idle_normal","1360012","","1","0.2","1","","","3",""
"37","1","1370001","0","1","55","100","pkb_idle_normal","-130","5","-20"
"37","3","1370002","1","3","55","100","pkb_idle_normal_l","-130","5","170"
"37","pkb_talk_guts","1370003","","1","0.2","0","","1","3","pkb_idle_guts"
"37","vo_minigame_1006_top_talk_16_701","1370004","","vo_minigame_1006","","0","","","21","0"
"37","我們絕對要參加\n全國大賽，\n實現我們的夢想！","1370005","0","1","0","8","-0.5","0","11","0"
"37","","1370006","","3.2","","","","","93",""
"37","pkb_talk_handsup","1370007","0.2","1","0.2","0","","1","3","pkb_idle_normal"
"37","","1370008","","1370005","","","","","91",""
"37","pkb_idle_normal","1370009","","1","0.2","1","","","3",""
"37","pkb_talk_arm_crossed_l","1370010","0.2","3","0.2","0","","1","3","pkb_idle_arm_crossed_l"
"37","vo_minigame_1006_top_talk_16_602","1370011","","vo_minigame_1006","","0","","","21","0"
"37","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","1370012","0","3","0","8","1","0","11","0"
"37","","1370013","","4.8","","","","","93",""
"37","pkb_talk_guts_l","1370014","","3","0.2","0","","1","3","pkb_idle_guts_l"
"37","","1370015","","1370012","","","","","91",""
"37","pkb_idle_normal_l","1370016","","3","0.2","1","","","3",""
"38","106531","1380001","1","1","1.6","100","pkb_idle_normal","-150","1","170"
"38","2","1380002","0","2","55","100","pkb_idle_normal","-130","5","-20"
"38","pkb_talk_arm_crossed","1380003","0.2","106531","0.2","0","","1","3","pkb_idle_arm_crossed"
"38","vo_minigame_1006_top_talk_17_301","1380004","","vo_minigame_1006","","0","","","21","0"
"38","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","1380005","0","106531","0","8","-0.5","0","11","0"
"38","","1380006","","3.6","","","","","93",""
"38","pkb_talk_doya","1380007","","106531","0.2","0","","1","3","pkb_idle_doya"
"38","","1380008","","2","","","","","93",""
"38","pkb_talk_handsup","1380009","0.2","106531","0.2","0","","1","3","pkb_idle_normal"
"38","","1380010","","1380005","","","","","91",""
"38","","1380011","","1","","","","","93",""
"38","pkb_idle_normal","1380012","","106531","0.2","1","","","3",""
"38","pkb_shock","1380013","","2","0.2","0","","1","3","pkb_idle_shock"
"38","vo_minigame_1006_top_talk_17_802","1380014","","vo_minigame_1006","","0","","","21","0"
"38","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","1380015","0","2","0","7","1","0","11","0"
"38","","1380016","","1380015","","","","","91",""
"38","pkb_idle_normal","1380017","","2","0.2","1","","","3",""
