4582d7da6034650c63737a1266920b380ba22d950fc03bd85210dad9cb563e90,80f3cb2ad79f1e7b058ae484364dd5aab9e72bfdb2f141ee0b391c7e03fca030,6c13dfdb115298b271e6adabbf88c2a904bfce7b7148003bc4e672f7b73ad20f,208b8a7513db22c20804b4a5846b00f09b1415475883b9bf5bc026981761c438,6526ed1a679b441ee5b7ac7b2f05e15b494499e8b4e30726c9a8d425b05ca03b,71b93a509448a94b66361fd6811a4ced8ab755b95a1fdb6bc9bc2855a469e5e3,7eb389a3776b5240ed35f3935dcbcf57be5f76f721f03a0dc74d897691ca4503,cc9bfbf10e472910cd56dd3ba75b6b77e7d0ade781abdd8817a294373002b916
"ㄨㄢ","ㄓ","10060","1006002","圓圓的環。","2","指環","1"
"ㄠ","ㄨ","10060","1006003","以貴金屬或稀有礦物加工成的奢侈品，通常都是亮晶晶的。","2","珠寶","1"
"ㄗ","ㄥ","10061","1006100","以纖維編織而成的工具，用於捆綁。","1","繩子","1"
"ㄥ","ㄚ","10061","1006101","用麻線等編成的結實的繩子。可以綁起各式各樣的東西。","1","麻繩","1"
"ㄥ","ㄠ","10061","1006102","用草編織成的繩子，據說被蛇咬過的人會怕它十年。","2","草繩","1"
"ㄩ","ㄨㄥ","10061","1006103","嗚呵呵呵呵。","3","空花的秘密道具","1"
"ㄧㄥ","ㄩㄝ","10061","1006104","空花要，空花要～！","3","絕頂","1"
"ㄞ","ㄨㄣ","10062","1006200","用來防止攻擊的板狀的防具。","1","盾牌","1"
"ㄩ","ㄨ","10062","1006201","拿來防止什麼的東西的總稱。","2","護具","1"
"ㄩ","ㄤ","10062","1006202","保護身體的裝備。","2","防具","1"
"ㄟ","ㄨㄤ","10062","1006203","配戴在身上的功能性物品或衣物。","2","裝備","1"
"ㄨㄣ","ㄧ","10062","1006204","純的必殺技。能擋下各種攻擊！","3","地獄之盾","1"
"ㄧ","ㄧㄢ","10063","1006300","貨幣。不是食物。","1","錢幣","1"
"ㄧㄢ","ㄧㄣ","10063","1006301","「錢」的別種說法。不是食物。","1","金錢","1"
"ㄤ","ㄠ","10063","1006302","被藏起來的貴重物品。","2","寶藏","1"
"ㄨ","ㄞ","10063","1006303","指貨幣或貴重的物品。","2","財物","1"
"ㄧ","ㄨ","10063","1006304","在蘭德索爾使用的貨幣單位。不是食物。","3","盧幣","1"
"ㄩ","ㄨㄥ","10063","1006305","是盧幣主要的用途。也有可以食用的。","3","公會小屋購買家具","1"
"ㄧㄥ","ㄨ","10064","1006400","雞蛋做成的甜品。","1","布丁","1"
"ㄧㄥ","ㄠ","10064","1006401","統率所有點心的點心中的點心。","2","豪華法式布丁","1"
"ㄧㄢ","ㄧㄢ","10064","1006402","是甜的。也就是布丁。","2","甜點","1"
"ㄧㄣ","ㄨㄥ","10064","1006403","所有的布丁都是宮子一個人的。","3","宮子的點心","1"
"ㄧㄢ","ㄧㄤ","10065","1006500","裝飾在脖子上的飾品。","1","項鍊","1"
"ㄕ","ㄨㄟ","10065","1006501","掛在脖子上的飾品。","2","墜飾","1"
"ㄧㄣ","ㄕ","10065","1006502","飾品。時尚的必備道具。","2","飾品","1"
"ㄕ","ㄡ","10065","1006503","與服裝互相搭配的配件。","2","首飾","1"
"ㄧ","ㄠ","10066","1006600","稻穗。可以篩出米。","1","稻米","1"
"ㄢ","ㄧ","10066","1006601","將水稻精製後的穀物。米飯！","2","米飯","1"
"ㄗ","ㄞ","10066","1006602","麵包原料的穀物。","2","麥子","1"
"ㄨ","ㄨ","10066","1006603","人工種植的可食用植物之一，富含澱粉。","2","穀物","1"
"ㄧㄡ","ㄧㄤ","10067","1006700","由豆類製成的東國特有的醬料。","1","醬油","1"
"ㄧㄡ","ㄡ","10067","1006701","「醬油」的別種說法。豆類的醬料。","2","豆油","1"
"ㄧㄠ","ㄧㄠ","10067","1006702","用來調味。","2","調味料","1"
"ㄧㄡ","ㄞ","10067","1006703","加入鰹魚風味的醬油。","2","柴魚醬油","1"
"ㄞ","ㄨ","10068","1006800","用來進行流程作業的機器。","1","輸送帶","1"
"ㄤ","ㄨㄥ","10068","1006801","大量生產製品的設施。","2","工廠","1"
"ㄧㄢ","ㄥ","10068","1006802","工廠為了提高效率而設置的生產流水線。","2","生產線","1"
"ㄤ","ㄧㄠ","10068","1006803","賭上了墨丘利財團威望的事業。要是那時候沒有爆炸的話……","3","鯛魚燒工廠","1"
"ㄥ","ㄧㄠ","10069","1006900","炫爛奪目又豪華的照明器具。","1","吊燈","1"
"ㄞ","ㄨ","10069","1006901","照亮黑暗的光。","2","燭臺","1"
"ㄕ","ㄥ","10069","1006902","精心設計的帶有美感的照明裝置。","2","燈飾","1"
"ㄧㄢ","ㄧㄢ","10070","1007000","好鹹。","1","鹽","1"
"ㄚ","ㄩ","10070","1007001","「鹽」的別種說法。","2","氯化納","1"
"ㄧㄠ","ㄧㄠ","10070","1007002","用來調味。","2","調味料","1"
"ㄧㄢ","ㄧ","10070","1007003","鈉離子含量較低的食用鹽，據說比較健康。","2","低鈉鹽","1"
"ㄨㄛ","ㄩㄢ","10071","1007100","會捲起激烈旋渦的潮流。","1","漩渦","1"
"ㄨ","ㄨ","10071","1007101","要、要被捲進去了……咕嚕咕嚕……","2","咕嚕咕嚕","1"
"ㄢ","ㄞ","10071","1007102","船隻沉沒的事故。","2","海難","1"
"ㄢ","ㄧㄠ","10072","1007200","釣魚用的道具。要高明的操作需要技巧。","1","釣竿","1"
"ㄦ","ㄩ","10072","1007201","幾乎是釣竿的必要配備，空有釣竿卻沒有魚餌可不容易啊。","2","魚餌","1"
"ㄩ","ㄧㄡ","10072","1007202","握法跟專業級的一樣。","3","流夏的興趣","1"
"ㄗ","ㄨㄛ","10073","1007300","煮食物用的調理器具。","1","鍋子","1"
"ㄧ","ㄚ","10073","1007301","最愛大家了。聞味道的瞬間就讓人想吃的香料魔法。","2","咖哩","1"
"ㄞ","ㄨㄣ","10073","1007302","放入肉和蔬菜燉煮的料理。能不能以這個當菜來配飯，引起了眾人討論。","2","燉菜","1"
"ㄓ","ㄨ","10073","1007303","為了讓食物入味所用的液體。","2","滷汁","1"
"ㄡ","ㄨㄥ","10073","1007304","加了紅酒的燉牛肉。","2","紅酒燉牛肉","1"
"ㄢ","ㄧㄠ","10074","1007400","坐在兩邊叩咚叩咚的。","1","蹺蹺板","1"
"ㄕ","ㄦ","10074","1007401","放在公園裡的遊戲道具。","2","兒童遊樂設施","1"
"ㄨㄢ","ㄩ","10074","1007402","在公園集合哦！","2","去公園玩","1"
"ㄥ","ㄕ","10074","1007403","槓桿兩邊受力不相同的狀態，引申為相關聯的雙方差距過大。","2","失衡","1"
"ㄧ","ㄧ","10075","1007500","用來畫圖或寫字的道具。","1","筆","1"
"ㄚ","ㄨ","10075","1007501","是東國的文化！","2","書法","1"
"ㄧ","ㄠ","10075","1007502","以動物毛製成的筆。","2","毛筆","1"
"ㄗ","ㄧㄝ","10075","1007503","一定得學習。","2","寫字","1"
"ㄞ","ㄧㄢ","10075","1007504","研墨的道具。","2","硯臺","1"
"ㄨㄚ","ㄨㄥ","10075","1007505","位於蘭德索爾的遙遠東邊的國家的文化。還有忍者、武士、富士、藝妓等。是妮諾的憧憬。","3","東國文化","1"
"ㄧㄥ","ㄧㄚ","10076","1007600","訓練工具。","1","啞鈴","1"
"ㄧ","ㄦ","10076","1007601","看到隆起來的手臂肌肉了嗎？那就是二頭肌。","1","二頭肌","1"
"ㄡ","ㄧ","10076","1007602","肌肉！","2","肌肉","1"
"ㄧㄢ","ㄨㄢ","10076","1007603","主要是為了提升力量的訓練。","2","鍛鍊","1"
"ㄩㄣ","ㄨㄥ","10076","1007604","提起重物的訓練。","2","重訓","1"
"ㄨㄣ","ㄨㄟ","10077","1007700","是鬼喲。把布丁交出來喲。","1","鬼魂","1"
"ㄧㄥ","ㄧㄡ","10077","1007701","是幽靈喲。把布丁交出來喲。","1","幽靈","1"
"ㄗ","ㄨㄥ","10077","1007702","是宮子喲！把布丁交出來喲。","3","宮子","1"
"ㄧ","ㄨ","10077","1007703","是無敵的喲！把布丁交出來喲。","3","無敵","1"
"ㄜ","ㄖ","20001","2000100","【破曉之星】中最愛助人的格鬥少女。","1","日和","1"
"ㄧㄣ","ㄤ","20001","2000101","日和的口頭禪和座右銘。","3","放不下心","1"
"ㄧ","ㄧㄡ","20002","2000200","【破曉之星】中專情的純真治療師。","1","優衣","1"
"ㄩ","ㄩㄢ","20002","2000201","治癒一切是優衣的特技。","3","全體治癒","1"
"ㄢ","ㄣ","20002","2000202","似乎旁人都對此感到很意外。","3","真琴的兒時玩伴","1"
"ㄧㄥ","ㄧㄥ","20003","2000300","【破曉之星】中的冷酷劍士。釣魚是她的興趣。","1","怜","1"
"ㄚ","ㄧ","20003","2000301","怜的隱藏特技。","3","騎馬","1"
"ㄨ","ㄧㄢ","20003","2000302","她會教我她的劍術特技。在天氣好時也會去釣魚……","3","劍術","1"
"ㄧ","ㄧ","20004","2000400","【小小甜心】中的惡作劇負責人。在３人之中也是活力源頭。","1","禊","1"
"ㄨㄟ","ㄠ","20004","2000401","說到惡作劇的技巧無人能出其右，是惡作劇專家。","3","搗蛋鬼","1"
"ㄧ","ㄛ","20005","2000500","隸屬於【王宮騎士團】。憧憬英雄的少女。","1","茉莉","1"
"ㄙ","ㄨ","20005","2000501","喜愛正義英雄的火熱之心才不會輸給其他人！","3","虎虎頭號粉絲","1"
"ㄧ","ㄧㄢ","20006","2000600","【惡魔偽王國軍】的雙胞胎中，早熟的妹妹。","1","茜里","1"
"ㄟ","ㄧ","20006","2000601","雖然長得一模一樣，個性卻完全相反？","3","依里的妹妹","1"
"ㄛ","ㄧㄠ","20006","2000602","如字面上所述，她的可愛會迷惑人心。","3","小惡魔","1"
"ㄗ","ㄨㄥ","20007","2000700","【惡魔偽王國軍】中最愛布丁的幽靈。","1","宮子","1"
"ㄧㄥ","ㄧㄡ","20007","2000701","能夠飄浮或穿越牆壁等，所做之事大概就是去偷吃布丁。","3","幽靈","1"
"ㄧㄥ","ㄨㄟ","20007","2000702","了喲～！","3","最喜歡布丁","1"
"ㄩㄝ","ㄩㄝ","20008","2000800","【純白之翼 蘭德索爾分部】的美貌代表。","1","雪","1"
"ㄨㄛ","ㄟ","20008","2000801","真是罪過呀。","3","美麗的我","1"
"ㄧㄢ","ㄗ","20008","2000802","我太美了也有錯嗎？","3","自戀","1"
"ㄞ","ㄧㄥ","20009","2000900","【暮光流星群】成員的熾炎戰鬼煉獄血盟暗黑團團長。既是暗黑騎士，也是結束終焉之戰的舊世界英雄。","1","杏奈","1"
"ㄧ","ㄧ","20009","2000901","又名為！","3","疾風之冥姬","1"
"ㄧㄥ","ㄨㄥ","20009","2000902","由於是青春期，就不要管她了。","3","中二病","1"
"ㄨ","ㄣ","20010","2001000","【哞哞自衛隊】中可靠又雍容華貴的公會長。","1","真步","1"
"ㄨ","ㄨㄥ","20010","2001001","據說位於某處的謎之國度，真步真步王國……真步是那裡的公主。","3","公主","1"
"ㄛ","ㄨ","20010","2001002","將手杖轉轉轉的可愛動作喚出的魔法威力不可小看……","3","咕嚕靈波","1"
"ㄞ","ㄧ","20011","2001100","隸屬於【拉比林斯】，自稱妹妹。努力的考生。","1","璃乃","1"
"ㄟ","ㄟ","20011","2001101","就是妹妹，儘管只是自稱，還是妹妹。","3","妹妹","1"
"ㄢ","ㄧㄠ","20011","2001102","就算有點呆也沒關係，希望她能健康的長大。","3","小笨蛋","1"
"ㄧㄣ","ㄨ","20012","2001200","【森林守衛】中沉睡的超能力少女。","1","初音","1"
"ㄩ","ㄠ","20012","2001201","有超能力的事是祕密哦。","3","超能力少女","1"
"ㄧㄝ","ㄧㄠ","20012","2001202","最愛小栞了！","3","小栞的姊姊","1"
"ㄧㄤ","ㄧ","20013","2001300","【暮光流星群】中可愛到爆的最強魔法少女。","1","七七香","1"
"ㄩ","ㄛ","20013","2001301","使用魔法的少女。在知情的人之間，對於到幾歲前能自稱魔法少女，都有著不同的看法。","3","魔法少女","1"
"ㄞ","ㄨㄟ","20013","2001302","表示無敵可愛的意思。","3","最可愛","1"
"ㄧㄚ","ㄧㄚ","20014","2001400","【哞哞自衛隊】中的聰明美少女名偵探。","1","霞","1"
"ㄢ","ㄧㄥ","20014","2001401","她解開的謎團數都數不盡，難道是因為事件在呼喚名偵探嗎……","3","名偵探","1"
"ㄢ","ㄣ","20014","2001402","追求真實的高尚職業。據說偵探的身邊總會跟著助手。","3","偵探","1"
"ㄧ","ㄟ","20015","2001500","【森林守衛】的公會長。不斷湧出母性的姊姊。","1","美里","1"
"ㄕ","ㄧㄡ","20015","2001501","連魔物也會照顧。","3","幼稚園的老師","1"
"ㄞ","ㄧㄥ","20016","2001600","【月光學院】中不擅長讀書，個性天真爛漫的辣妹。好像學會九九乘法表了……？","1","鈴奈","1"
"ㄛ","ㄠ","20016","2001601","人氣爆棚的模特兒。","3","超級名模","1"
"ㄟ","ㄚ","20016","2001602","很潮的女孩子。","3","辣妹","1"
"ㄓ","ㄧㄤ","20017","2001700","【哞哞自衛隊】中熱愛唱歌與舞蹈的南國少女。","1","香織","1"
"ㄠ","ㄧㄡ","20017","2001701","琉球犬矢之拳！","3","琉球空手道","1"
"ㄜ","ㄞ","20017","2001702","香織故鄉的問候。妳好呀――！","3","嗨―呵","1"
"ㄩ","ㄧ","20018","2001800","【月光學院】中性感的新進教師。","1","伊緒","1"
"ㄕ","ㄠ","20018","2001801","雖然是新來的老師，但是跟學生很親近。","3","老師","1"
"ㄟ","ㄟ","20019","2001900","【小小甜心】裡最愛撒嬌的一個。嚕啦啦～嚕啦啦～♪","1","美美","1"
"ㄥ","ㄨㄟ","20019","2001901","蹦蹦跳～♪","3","最喜歡兔子先生","1"
"ㄠ","ㄨ","20020","2002000","讓【咲戀育幼院】裡的愛哭鬼、膽小鬼都能打起勇氣努力的女孩。","1","胡桃","1"
"ㄩㄢ","ㄓ","20020","2002001","雖然年紀尚輕，卻是知名演員。","3","知名女演員","1"
"ㄧ","ㄧ","20021","2002100","【惡魔偽王國軍】中的雙胞胎，是傲嬌害羞的姊姊。","1","依里","1"
"ㄧㄝ","ㄨㄤ","20021","2002101","雖然長相相似但個性迥異。","3","雙胞胎姊姊","1"
"ㄧㄡ","ㄞ","20021","2002102","害羞的反作用力，會讓她作出更激烈的事……","3","害羞","1"
"ㄧㄚ","ㄧㄢ","20021","2002103","有著華麗的操作。","3","天才玩家","1"
"ㄧㄣ","ㄧㄥ","20022","2002200","隸屬於【咲戀育幼院】。看起來很乖巧，不過她操作的噗吉卻意外的兇暴。","1","綾音","1"
"ㄢ","ㄨ","20022","2002201","一直和噗吉在一起，是一心同體。","3","噗吉的夥伴","1"
"ㄟ","ㄧㄥ","20023","2002300","【咲戀育幼院】中讓人喜歡的冒失鬼，奉獻型的女僕。","1","鈴莓","1"
"ㄨ","ㄩ","20023","2002301","我由衷地服侍主人。","3","女僕","1"
"ㄕ","ㄠ","20023","2002302","弄壞了好多東西，糟糕了。","3","冒冒失失","1"
"ㄧㄥ","ㄧㄥ","20024","2002400","被派遣到【伊麗莎白牧場】的護衛。並沒有在偷懶，只是在盡情享受慢活。","1","鈴","1"
"ㄢ","ㄢ","20024","2002401","雖然很散漫，該做事時還是會做……大概……一定會……","3","懶散","1"
"ㄗ","ㄨㄟ","20025","2002500","【暮光流星群】成員。愛很沉重，非常沉重。","1","惠理子","1"
"ㄜ","ㄛ","20025","2002501","惠理子的通稱。若是為了愛，可以破壞各式各樣的東西。","3","破壞者","1"
"ㄧㄢ","ㄧㄠ","20026","2002600","【咲戀育幼院】中可靠的公會長。原本是王宮騎士團副團長。","1","咲戀","1"
"ㄚ","ㄚ","20026","2002601","雖然還不到被人稱為媽媽的年紀，也沒有孩子，但媽媽就是媽媽。","3","媽媽","1"
"ㄨㄤ","ㄨㄤ","20027","2002700","【慈樂之音】裡不可動搖的中心。頂尖偶像。","1","望","1"
"ㄧㄤ","ㄠ","20027","2002701","想低調行動時很辛苦。","3","超人氣偶像","1"
"ㄨㄛ","ㄧ","20028","2002800","【純白之翼 蘭德索爾分部】中憧憬東國的戰士，目標是統一天下！","1","妮諾","1"
"ㄨㄛ","ㄨㄥ","20028","2002801","最喜歡東國文化，但時常會記錯內容。","3","憧憬東國","1"
"ㄜ","ㄠ","20028","2002802","愛讀的書是《武士道》！","3","冒牌忍者","1"
"ㄣ","ㄣ","20029","2002900","隸屬於【惡魔偽王國軍】的占卜師。身邊的骷髏頭其實是她的父親。","1","忍","1"
"ㄕ","ㄢ","20029","2002901","說中是占卜，說不中也是占卜。","3","占卜師","1"
"ㄞ","ㄧㄡ","20030","2003000","設立【墨丘利財團】的公會長，她的經商能力能改變世界。","1","秋乃","1"
"ㄧㄝ","ㄚ","20030","2003001","充滿做生意才能的大小姐。","3","大小姐","1"
"ㄧㄤ","ㄣ","20031","2003100","【伊麗莎白牧場】的會長。能夠溫和統率個性多元的公會成員的姐姐。","1","真陽","1"
"ㄣ","ㄨ","20031","2003101","經營牧場就交給我吧。","3","牧場主人","1"
"ㄨ","ㄠ","20031","2003102","那條路風險很高。","3","搞笑藝人之路","1"
"ㄧ","ㄧㄡ","20032","2003200","【墨丘利財團】中負責財務的能幹姐姐……平常是這樣沒錯。","1","優花梨","1"
"ㄠ","ㄩ","20032","2003201","像優花梨那樣的大人。","3","女中酒豪","1"
"ㄨㄚ","ㄧㄥ","20033","2003300","【小小甜心】中年紀最小的。很努力唸書，腦袋也很聰明。不敢吃紅蘿蔔和青椒。","1","鏡華","1"
"ㄥ","ㄗ","20033","2003301","是小小甜心中最認真可靠的人。","3","資優生","1"
"ㄓ","ㄓ","20034","2003400","【王宮騎士團】團員。是團長的親信？","1","智","1"
"ㄧㄡ","ㄩ","20034","2003401","智的家裡相傳著神速劍技。奧義是阿修羅。","3","御久間流","1"
"ㄢ","ㄢ","20035","2003500","【伊麗莎白牧場】的成員。儘管體弱仍一心一意努力的少女。","1","栞","1"
"ㄟ","ㄨ","20035","2003501","最喜歡姊姊了。","3","初音的妹妹","1"
"ㄧ","ㄧ","20036","2003600","【森林守衛】的孤單弓箭手。雖然能和植物對話，但那樣還是很孤單。","1","碧","1"
"ㄣ","ㄧㄢ","20036","2003601","孤單的一個人，咳嗽也一個人。","3","邊緣人","1"
"ㄜ","ㄧㄢ","20037","2003700","【慈樂之音】成員。能和精靈當朋友的風之唱喚歌姬。","1","千歌","1"
"ㄕ","ㄤ","20037","2003701","唱喚術師。會使用能以歌聲唱喚出精靈的幻之祕術。小心不要搞錯字。","3","唱喚士","1"
"ㄧ","ㄜ","20037","2003702","演唱出的歌曲能夠使所有人著迷。","3","歌姬","1"
"ㄧㄣ","ㄣ","20038","2003800","【哞哞自衛隊】的突擊隊長。愛照顧人的獸人族少女。","1","真琴","1"
"ㄢ","ㄧㄡ","20038","2003801","似乎旁人都對此感到很意外。","3","優衣的兒時玩伴","1"
"ㄧㄚ","ㄧ","20039","2003900","【惡魔偽王國軍】的會長，也是傳說中的吸血鬼。為了征服世界，今天也會加油。","1","伊莉亞","1"
"ㄨㄟ","ㄨㄢ","20039","2003901","據說以前被推進了蘭德索爾裡的可怕熔爐中。","3","傳說的吸血鬼","1"
"ㄣ","ㄨㄥ","20039","2003902","似乎統治著夜晚。","3","統領黑夜之人","1"
"ㄨㄚ","ㄨㄥ","20040","2004000","【純白之翼 蘭德索爾分部】的妄想負責人。","1","空花","1"
"ㄨㄤ","ㄟ","20040","2004001","淑女的嗜好……？","3","被虐狂","1"
"ㄧ","ㄨ","20041","2004100","【墨丘利財團】中的鯛魚燒店。但是其本尊是……喵！喵喵！","1","珠希","1"
"ㄧㄤ","ㄠ","20041","2004101","外表像貓一樣的女孩。","3","貓娘","1"
"ㄠ","ㄨㄢ","20041","2004102","在蘭德索爾造成騷動的謎之義賊。其真面目滿是謎團。","3","幻影貓","1"
"ㄨㄣ","ㄨㄣ","20042","2004200","【王宮騎士團】團長。其面具之下，無人可知，也無法為人所知。","1","純","1"
"ㄤ","ㄨㄢ","20042","2004201","是非常強大的團長。","3","團長","1"
"ㄨㄥ","ㄟ","20043","2004300","隸屬於【墨丘利財團】的打工戰士。其實是龍殺手。","1","美冬","1"
"ㄨ","ㄕ","20043","2004301","會一步步地教你哦。當然是要收費的哦。","3","師傅","1"
"ㄤ","ㄧㄠ","20043","2004302","是個貫徹始終講究效率的人。","3","效率至上","1"
"ㄧㄡ","ㄧㄥ","20044","2004400","隸屬於【拉比林斯】，自稱姐姐。交給姐姐吧。","1","靜流","1"
"ㄛ","ㄕ","20044","2004401","我是姐姐喔！！","3","是姐姐喔","1"
"ㄧㄠ","ㄟ","20045","2004500","【月光學院】的學生。好像是位成熟的淑女，也是個罪惡的女人。","1","美咲","1"
"ㄩ","ㄥ","20045","2004501","我說是成熟淑女，就是成熟淑女！","3","成熟的淑女","1"
"ㄩㄝ","ㄣ","20046","2004600","隸屬於【暮光流星群】的危險科學家。熱衷於實驗。","1","深月","1"
"ㄧㄚ","ㄥ","20046","2004601","因實驗而犧牲的人，不計其數。","3","瘋狂科學家","1"
"ㄛ","ㄨ","20046","2004602","獨眼惡魔，不接近她才是好事。","3","獨眼惡魔","1"
"ㄚ","ㄧ","20047","2004700","【伊麗莎白牧場】的莉瑪。其實是全公會裡最有少女心的人。","1","莉瑪","1"
"ㄨㄥ","ㄠ","20047","2004701","有魅惑效果的毛髮。","3","毛茸茸","1"
"ㄚ","ㄛ","20048","2004800","是【純白之翼 蘭德索爾分部】的公會長也是軍人。總是被成員耍著玩的苦幹之人，是白翼的指揮官。","1","莫妮卡","1"
"ㄡ","ㄧㄠ","20048","2004801","才，才不是小孩呢！","3","小鬼頭","1"
"ㄧ","ㄤ","20049","2004900","【慈樂之音】的成員，本業是裁縫師。她華麗的用線技巧能夠綁起各種東西。","1","紡希","1"
"ㄕ","ㄞ","20049","2004901","裁縫就交給我吧。","3","裁縫師","1"
"ㄨ","ㄧㄥ","20049","2004902","不會讓壞蟲子靠近怜大人的。","3","怜大人粉絲俱樂部","1"
"ㄨㄟ","ㄨ","20050","2005000","【純白之翼 蘭德索爾分部】的祕密負責人。到處都在，卻到處都不見人影。","1","步未","1"
"ㄨㄤ","ㄣ","20050","2005001","我、我才不是跟蹤狂呢……！","3","跟蹤狂","1"
"ㄧㄚ","ㄧㄡ","20051","2005100","【暮光流星群】的公會長。十分大方的釣客。劍術技巧也很棒。","1","流夏","1"
"ㄡ","ㄚ","20051","2005101","魔物也很仰慕大姐頭。","3","大姐頭","1"
"ㄚ","ㄧ","20052","2005200","以成為蒼空的騎空士為目標的女孩。","1","吉塔","1"
"ㄕ","ㄤ","20052","2005201","加入我所成立的騎空團吧！跟騎空士們一同在空中巡遊！","3","蒼空的騎空士","1"
"ㄜ","ㄢ","20053","2005300","【美食殿堂】的公會長。什麼都能吃得很美味。太讚了吧☆","1","貪吃佩可","1"
"ㄟ","ㄨㄤ","20053","2005301","裝備後威力會大幅提升，但是好像肚子會餓。","3","皇家裝備","1"
"ㄚ","ㄞ","20053","2005302","太讚了吧☆","3","太讚了吧","1"
"ㄨ","ㄨㄥ","20053","2005303","阿斯特賴亞王家的王女。","3","公主","1"
"ㄨㄛ","ㄜ","20054","2005400","隸屬於【美食殿堂】的精靈族少女。主人優先。","1","可可蘿","1"
"ㄠ","ㄧㄤ","20054","2005401","接受了女神愛梅斯神諭的引路人。","3","嚮導","1"
"ㄩ","ㄨ","20054","2005402","侍奉神明的女性。","3","巫女","1"
"ㄧㄡ","ㄞ","20055","2005500","順其自然地加入【美食殿堂】的謎樣貓耳少女。很不妙吧！","1","凱留","1"
"ㄧㄠ","ㄠ","20055","2005501","啥？完全聽不懂你在說什麼！","3","傲嬌","1"
"ㄨㄟ","ㄠ","20056","2005600","與世界為敵抗戰，自稱是大罪人。天樓霸斷劍可以斬斷一切！","1","矛依未","1"
"ㄨ","ㄨㄛ","20056","2005601","我是諾維姆！","3","諾維姆","1"
"ㄚ","ㄧㄚ","20057","2005700","發誓總有一天要成為森林守護者的精靈族少女。","1","亞里莎","1"
"ㄩ","ㄧㄥ","20057","2005701","女性精靈族。","3","精靈女","1"
"ㄨㄟ","ㄧㄢ","20057","2005702","要作為森林守護者獨當一面，得儘量每天投入修行。","3","見習森林守衛","1"
"ㄨㄚ","ㄙ","20058","2005800","七冠之一。千變萬化的變貌大妃。","1","似似花","1"
"ㄟ","ㄧㄢ","20058","2005801","似似花的另一個名字。變貌大妃。","3","變貌大妃","1"
"ㄣ","ㄣ","20058","2005802","另一個我。","3","分身","1"
"ㄚ","ㄜ","20059","2005900","【王宮騎士團】的副團長，也是七冠之一。極端的享樂主義者。","1","克莉絲提娜","1"
"ㄩㄣ","ㄕ","20059","2005901","克莉絲提娜的別名。","3","誓約女君","1"
"ㄤ","ㄨ","20059","2005902","又名為問題兒童。","3","副團長","1"
"ㄧ","ㄧ","20060","2006000","隸屬於【龍族巢穴】的龍人族。臉長的很可愛，卻意外的毒舌。","1","祈梨","1"
"ㄧ","ㄨㄥ","20060","2006001","祈梨的特技。","3","龍之吐息","1"
"ㄨ","ㄢ","20060","2006002","我是【龍族巢穴】的幹部，對我伏首稱臣吧！","3","幹部","1"
"ㄧㄝ","ㄧㄚ","20061","2006100","隸屬於【龍族巢穴】的龍人族打手。","1","嘉夜","1"
"ㄨㄤ","ㄣ","20061","2006101","幹架最行。","3","笨蛋打架狂","1"
"ㄧ","ㄢ","20062","2006200","充滿謎團的【龍族巢穴】公會長、老大。","1","帆稀","1"
"ㄚ","ㄤ","20062","2006201","頭目、首領的意思。","3","幫派老大","1"
"ㄧ","ㄜ","20063","2006300","【聖德蕾莎女子學院（好朋友社）】的一員。散發著一股認真的氣息。","1","克蘿依","1"
"ㄧ","ㄧㄣ","20063","2006301","好像並不是在生氣或是心情不好。","3","陰暗系","1"
"ㄣ","ㄥ","20063","2006302","聖德蕾女的狂人。那就是克蘿依。","3","聖德蕾女的狂人","1"
"ㄦ","ㄧ","20064","2006400","【聖德蕾莎女子學院（好朋友社）】中負責切嚕～☆的人。","1","琪愛兒","1"
"ㄧ","ㄧㄝ","20064","2006401","切嚕唎咧咧囉唎囉唎囉。","3","咧切嚕切嚕啵啪嗶","1"
"ㄣ","ㄥ","20064","2006402","聖德蕾女的狂人。那就是琪愛兒。","3","聖德蕾女的狂人","1"
"ㄧ","ㄧㄡ","20065","2006500","【優妮們】的公會長。天才都是孤獨的。","1","優妮","1"
"ㄨ","ㄧㄢ","20065","2006501","躲在象牙之塔裡，每天勤奮學習。","3","繭居族","1"
"ㄣ","ㄥ","20065","2006502","聖德蕾女的狂人。那就是優妮。","3","聖德蕾女的狂人","1"
"ㄧ","ㄣ","10078","3007800","代替人類勞動的機械，人型是浪漫的表現。","1","人型機器","2"
"ㄩ","ㄛ","10078","3007801","以魔法驅動的機械，可以幫助人類和戰鬥。","2","魔法機械工具","2"
"ㄨㄢ","ㄧ","10078","3007802","用齒輪等零件組合而成，能進行複雜動作的架構。","2","機關","2"
"ㄠ","ㄠ","10078","3007803","喂，那個學姊又把在地獄裡焚化的名字拿出來用了。那東西明明叫好朋友X。","3","超級優妮號","2"
"ㄨㄛ","ㄧㄡ","10078","3007804","你說醜八怪臭遜廢鐵丸我可不能當作沒聽見……適可而止啊。","3","優妮的力作","2"
"ㄨ","ㄩㄣ","10079","3007900","生長在潮濕地區，是真菌類而不是植物。","1","菌菇","2"
"ㄩㄣ","ㄣ","10079","3007901","真核生物中的一大類群，包含酵母等微生物及耳熟能詳的菇類。","2","真菌","2"
"ㄨ","ㄛ","10079","3007902","適合加進披薩和義大利麵的美味菇類。","2","蘑菇","2"
