ed45b4c0a0ca7f5721125b5952a3407f797e982a74b65f03b9987f6c53c44bfd,2729e1ad75de6b4fde52cc4a1b67f3db1ff639ac30311cfd0c90eb77121dbe57,7e63cc77d99f1d9f088e35514710b7b95eb93524694fdca4bb710e1ee7cac35f,3990d9eafaa85c82ef26efb5542d1e22eed6524f61ab1a7fa8c5bf638e1958e6,b0c9d87a23cb89acb79011335489447d4e600949d5badfe2d45f671b50ce8b4e,9cbe09ac429342df7bd6a6db4f9021163e100ae8096f3e9f838a60bb337dda61,2f7cb60832c0f1add8b644ada24f4368410a59a72601eb2c4bc866892e8e4196,5d45ebab4e2bb4b72100ba806b84392fe241f3546121f61b000e3fc07d130249,4329d48c4d920d5f6026c160df86cd2d24671d8b7b974a8d3930bba197c2bb61,e98ca55c3fc4beacf1fbbcae3b6d7e113f2764f9167434f9b457b2fd5b5f81e2,1f676c7751e8c9edba4ede215af2720dfa337f1b859c491de3cca646c493eae4,975cc20404dd9a0ac4d904f595c4c50e1094b82fcb587bef4900dc3da282020f,1f05a8c90076dd3091fcf85484cbf148de8f11d625f4e2ff7f205c2e42e37d63,8deae55a3649eb602845c37fd36284edf327cefb947640c30c14b1304bc974fc,1b4b6606cd2674f17bfa70ab3c5615fbcaad487844f879fdc4973f343cbafe14,2e508459dbdc678c0bdf1c4b67cefe5879aed127db81a66abd38e4598d64a843
"拉比林斯","15","3","156","112901","人族","8","A","44","裁縫","親人又多話的妹系少女","璃乃（奇幻）","0","阿澄佳奈","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","25"
"純白之翼 蘭德索爾分部","16","15","155","113001","精靈族","4","O","43","觀察","何時都會一見鍾情，純情少女","步未（奇幻）","0","大関英里","","7"
"暮光流星群","25","13","167","113101","人族","7","B","54","釣魚","散發人情味的帥氣「大姐頭」","流夏（夏日）","0","佐藤利奈","","11"
"暮光流星群","17","13","159","113201","魔族","7","A","45","寫小說","相信前世的中二病患「疾風之冥姬」","杏奈（夏日）","0","髙野麻美","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","5"
"暮光流星群","18","13","166","113301","魔族","8","O","55","讀書、魔法","宅宅暴走的魔法少女","七七香（夏日）","0","佳村はるか","","21"
"森林守衛","17","6","156","113401","精靈族","12","A","46","和妹妹一起玩、回籠覺、午睡、早睡","為了大家使用超能力的睡美人","初音（夏日）","0","大橋彩香","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","24"
"森林守衛","21","6","165","113501","精靈族","9","O","54","製作繪本","充滿母性又溫柔，大家的「美里老師」","美里（夏日）","0","國府田マリ子","","5"
"王宮騎士團","25","8","171","113601","人族","10","A","50","格鬥技、入浴","看不見面容的沉著女騎士","純（夏日）","0","川澄綾子","","25"
"惡魔偽王國軍","13","7","150","113701","魔族","11","O","42","薩克斯風","愛撒嬌又受大家喜歡","茜里（天使）","0","浅倉杏美","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","22"
"惡魔偽王國軍","13","7","150","113801","魔族","11","O","40","所有遊戲","怕生的任性女孩","依里（天使）","0","原紗友里","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","22"
"慈樂之音","14","4","153","113901","人族","9","AB","45","裁縫","最愛時尚的可愛女孩","紡希（萬聖節）","0","木戸衣吹","","7"
"破曉之星","18","2","163","114001","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（萬聖節）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"王宮騎士團","12","8","146","114101","獸人族","11","O","40","英雄扮演遊戲","仰慕英雄的見習騎士少女","茉莉（萬聖節）","0","下田麻美","","25"
"純白之翼 蘭德索爾分部","17","15","140","114201","人族","7","A","33","逛點心店","外表與內心都是孩子的異國軍人","莫妮卡（魔法少女）","0","辻あゆみ","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","28"
"王宮騎士團","13","8","149","114301","人族","8","A","43","劍術、戲弄長輩","重情義愛捉弄人的劍術少女","智（魔法少女）","0","茅原実里","","11"
"墨丘利財團","18","12","157","114401","人族","3","AB","45","慈善事業","目標成為頂尖商人的元氣大小姐","秋乃（聖誕節）","0","松嵜麗","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","12"
"咲戀育幼院","17","9","156","114501","精靈族","10","A","43","經營、茶會","經營育幼院的庶民派溫柔大小姐","咲戀（聖誕節）","0","堀江由衣","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","4"
"墨丘利財團","22","12","164","114601","精靈族","3","A","55","隨意逛街","既純情又放心不下的成熟女性","優花梨（聖誕節）","0","今井麻美","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","16"
"？？？","16","","148","114701","人族","8","O","40","冒險、回憶故事","徬徨的謎樣少女","矛依未（新年）","0","潘めぐみ","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","11"
"？？？","24","","149","115001","精靈族","3","O","??","模仿、藝術欣賞","隱居在研究所，相當文靜的大姊姊","似似花（新年）","0","井口裕香","","24"
"美食殿堂","11","1","140","115501","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿（祭服）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"破曉之星","17","2","158","115601","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（祭服）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"哞哞自衛隊","15","10","152","115701","獸人族","11","AB","41","讀書、推理","頭腦聰明的美少女名偵探","霞（夏日）","0","水瀬いのり","","3"
"伊麗莎白牧場","17","11","150","115801","獸人族","3","A","100","理毛、聊天","少女心的毛茸茸生物","莉瑪（灰姑娘）","0","徳井青空","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","14"
"哞哞自衛隊","17","10","168","115901","獸人族","8","O","54","做點心","不輸男人的狂野義氣少女","真琴（灰姑娘）","0","小松未可子","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","9"
"哞哞自衛隊","16","10","155","116001","獸人族","9","O","42","幻想、蒐集玩偶","真步真步王國的公主","真步（灰姑娘）","0","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","22"
"聖德蕾莎女子學院（好朋友社）","17","16","154","116201","精靈族","8","O","42","飛鏢","生長在市區的陰暗系精靈族","克蘿依（聖學祭）","0","種﨑敦美","","7"
"聖德蕾莎女子學院（好朋友社）","16","16","156","116301","人族","9","O","46","跳舞、卡拉OK","天生自由奔放的失禮現代小孩","琪愛兒（聖學祭）","0","佐倉綾音","","15"
"聖德蕾莎女子學院（好朋友社）","18","16","142","116401","人族","2","O","36","讀書","沉睡於書庫的小小賢人","優妮（聖學祭）","0","小原好美","","28"
"龍族巢穴","13","17","145","116501","龍人族","9","AB","???","遊戲","嘴上功夫一流的廢材龍娘","祈梨（時空旅行）","0","藤田茜","","29"
"龍族巢穴","16","17","156","116601","龍人族","6","B","???","格鬥技","專門用拳頭來交朋友的打手龍少女","嘉夜（時空旅行）","0","小市眞琴","","25"
"森林守衛","13","6","158","116701","精靈族","6","AB","44","交朋友的想像訓練","嚮往「朋友」的精靈之森女孩","碧（工作服）","0","花澤香菜","","6"
"墨丘利財團","19","12","158","116801","獸人族","3","AB","48","與貓咪玩耍","鋤強扶弱的貓娘","珠希（工作服）","0","沼倉愛美","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","1"
"墨丘利財團","20","12","163","116901","人族","11","O","49","傭兵等等的打工","公事私事都效率至上的傭兵少女","美冬（工作服）","0","田所あずさ","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","11"
"暮光流星群","16","13","154","117001","魔族","7","B","43","實驗、裁縫、料理","專情於命中注定對象的少女","惠理子（夏日）","0","橋本ちなみ","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","30"
"拉比林斯","18","3","168","117101","人族","10","O","54","所有家事","姐姐會照顧你的呦！","靜流（夏日）","0","生天目仁美","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","24"
"慈樂之音","17","4","157","117201","人族","1","B","40","看舞台劇，跳舞","能歌善舞的超人氣偶像","望（夏日）","0","日笠陽子","","24"
"慈樂之音","17","4","163","117301","人族","6","O","46","各種樂器","守護人們而歌唱的唱喚士少女","千歌（夏日）","0","福原綾香","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","3"
"慈樂之音","14","4","153","117401","人族","9","AB","45","裁縫","最愛時尚的可愛女孩","紡希（夏日）","0","木戸衣吹","","7"
"暮光流星群","27","13","166","117501","人族","3","A","53","研究、實驗","興趣是實驗的危險科學家","深月（大江戶）","0","三石琴乃","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","7"
"純白之翼 蘭德索爾分部","14","15","150","117601","精靈族","10","AB","40","欣賞鏡中的自己","我比任何人都還要美麗","雪（大江戶）","0","大空直美","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","10"
"哞哞自衛隊","17","10","158","117701","獸人族","7","A","53","跳舞、空手道","隨時都「船到橋頭自然直」的天真少女","香織（萬聖節）","0","高森奈津美","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","7"
"純白之翼 蘭德索爾分部","16","15","163","117801","人族","8","O","51","忍法開發","東國的神祕，請告訴我！","妮諾（萬聖節）","0","佐藤聡美","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","31"
"月光學院","17","14","167","117901","魔族","4","O","48","時尚","天真浪漫的人氣超級名模","鈴奈（萬聖節）","0","上坂すみれ","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","10"
"里士滿工商會","26","18","160","118001","人族","9","A","57","數錢、打壞主意","醒悟了忠義的女商人","克蕾琪塔","0","Lynn","","19"
"憤怒‧軍團","20","19","165","118101","魔族","12","O","53","唱歌、看書，以及寫詩","歌唱尋求靜寂的陰沉少女","蘭法","0","原田彩楓","","28"
"憤怒‧軍團","16","19","159","118201","人族","7","A","??","無","樂觀開朗，卻趨向毀滅的活潑少女","美空","0","鬼頭明里","","2"
"？？？","24","","152","118501","人族","9","A","43","處理文件、散步、桌遊","擔任【公會管理協會】職員的親切大姐姐","花凜","0","洲崎綾","","12"
"？？？","??","","???","118601","？？？","?","?","???","惡作劇","在幻霧玩耍的愛惡作劇嚮導小妖精","涅比亞","0","相坂優歌","","?"
"月光學院","23","14","162","119001","魔族","8","B","52","看戀愛小說、戀愛劇、戀愛漫畫","魅惑眾多男性的純潔女老師","伊緒（黑暗）","0","伊藤静","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","14"
"純白之翼 蘭德索爾分部","18","15","157","119101","人族","11","AB","49","閱讀小說","最愛妄想！其實是個害羞少女","空花（黑暗）","0","長妻樹里","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","19"
"伊麗莎白牧場","20","11","142","119201","人族","3","B","35","相聲","令大家歡笑的歡樂牧場主人","真陽（聖誕節）","0","新田恵海","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","3"
"拉比林斯","15","3","156","119301","人族","8","A","44","裁縫","親人又多話的妹系少女","璃乃（聖誕節）","0","阿澄佳奈","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","25"
"惡魔偽王國軍","14","7","130","119901","魔族","1","B","32","吃布丁","最愛布丁的幽靈少女","宮子（聖誕節）","0","雨宮天","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","23"
"拉比林斯","18","3","168","120001","人族","10","O","54","所有家事","姐姐會照顧你的呦！","靜流（黑暗）","0","生天目仁美","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","24"
"美食殿堂","14","1","147","120701","龍人族","12","B","???","讀書、伸展運動","失去記憶的龍人族少女","雪菲（新年）","0","近藤玲奈","","14"
"暮光流星群","25","13","167","120801","人族","7","B","54","釣魚","散發人情味的帥氣「大姐頭」","流夏（新年）","0","佐藤利奈","","11"
"惡魔偽王國軍","??","7","172","120901","魔族","5","A","50","征服世界","曾經支配黑夜的最強吸血鬼","伊莉亞（新年）","0","丹下桜","","5"
"美食殿堂","17","1","156","121001","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（超載）","0","M・A・O","","31"
"美食殿堂","14","1","152","121101","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（超載）","0","立花理香","","2"
"拉比林斯","25","3","160","121201","人族","7","AB","??","觀察人類","祕密結社拉比林斯的「迷宮女王」","拉比林斯達（超載）","0","沢城みゆき","","25"
"咲戀育幼院","12","9","150","121301","人族","6","B","40","看戲、扮家家酒","愛哭又膽小，令人想去保護的女孩","胡桃（舞台）","0","植田佳奈","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","9"
"月光學院","11","14","120","121401","魔族","1","A","22","閱讀流行雜誌、蒐集化妝品","稍微有點差距的少女戀情","美咲（舞台）","0","久野美咲","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","3"
"純白之翼 蘭德索爾分部","16","15","155","121501","精靈族","4","O","43","觀察","何時都會一見鍾情，純情少女","步未（怪盜）","0","大関英里","","7"
"龍族巢穴","13","17","145","121601","龍人族","9","AB","???","遊戲","嘴上功夫一流的廢材龍娘","祈梨（怪盜）","0","藤田茜","","29"
"暮光流星群","17","13","159","121901","魔族","7","A","45","寫小說","相信前世的中二病患「疾風之冥姬」","杏奈（海盜）","0","髙野麻美","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","5"
"惡魔偽王國軍","18","7","157","122001","魔族","12","AB","42","占卜","擅長占卜的靈能少女","忍（海盜）","0","大坪由佳","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","22"
"森林守衛","13","6","158","122101","精靈族","6","AB","44","交朋友的想像訓練","嚮往「朋友」的精靈之森女孩","碧（露營）","0","花澤香菜","","6"
"墨丘利財團","22","12","164","122201","精靈族","3","A","55","隨意逛街","既純情又放心不下的成熟女性","優花梨（露營）","0","今井麻美","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","16"
"？？？","??","","149","122301","魔族","12","AB","41","散步、做料理","僕從親愛的主人","班比","0","釘宮理惠","","6"
"破曉之星","16","2","155","122401","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和（夏日）","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"破曉之星","18","2","163","122501","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（夏日）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"破曉之星","17","2","158","122601","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（夏日）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"小小甜心","8","5","118","122701","精靈族","2","A","21","讀書","端莊正直的嬌小優等生","鏡華（夏日）","0","小倉唯","","2"
"小小甜心","9","5","128","122801","人族","8","O","27","惡作劇、探險","愛好冒險的搗蛋鬼","禊（夏日）","0","諸星すみれ","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","10"
"小小甜心","10","5","117","122901","獸人族","4","O","21","蒐集可愛的東西","唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","美美（夏日）","0","日高里菜","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","3"
"？？？","??","","150","123001","？？？","?","?","???","？？？","以全新樣貌繼續支持騎士冒險的妖精","愛梅斯","0","相坂優歌","","?"
"哞哞自衛隊","16","10","155","123101","獸人族","9","O","42","幻想、蒐集玩偶","真步真步王國的公主","真步（探險家）","0","内田真礼","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","22"
"咲戀育幼院","14","9","148","123201","人族","5","B","38","能在房間裡玩的遊戲","永遠跟噗吉在一起！","綾音（探險家）","0","芹澤優","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","10"
"憤怒‧軍團","19","19","157","123301","魔族？","6","B","55","和可愛的正太玩、購物","超喜歡正太♪辣妹系史萊姆女孩","涅婭","0","和氣杏未","","13"
"王宮騎士團","25","8","171","123401","人族","10","A","50","格鬥技、入浴","看不見面容的沉著女騎士","純（露營）","0","川澄綾子","","25"
"伊麗莎白牧場","17","11","144","123501","獸人族","1","B","42","紅豆麵包","視玩樂與睡眠為第一的懶惰少女","鈴（萬聖節）","0","小岩井ことり","","1"
"王宮騎士團","13","8","149","123601","人族","8","A","43","劍術、戲弄長輩","重情義愛捉弄人的劍術少女","智（萬聖節）","0","茅原実里","","11"
"暮光流星群","18","13","166","123701","魔族","8","O","55","讀書、魔法","宅宅暴走的魔法少女","七七香（萬聖節）","0","佳村はるか","","21"
"王宮騎士團","27","8","165","123801","人族","2","O","??","和強敵之間的競爭","自視甚高的王宮騎士團副團長","克莉絲提娜（狂野）","0","たかはし智秋","","7"
"王宮騎士團","12","8","146","123901","獸人族","11","O","40","英雄扮演遊戲","仰慕英雄的見習騎士少女","茉莉（狂野）","0","下田麻美","","25"
"惡魔偽王國軍","13","7","150","124001","魔族","11","O","42","薩克斯風","愛撒嬌又受大家喜歡","茜里（聖誕節）","0","浅倉杏美","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","22"
"惡魔偽王國軍","13","7","150","124101","魔族","11","O","40","所有遊戲","怕生的任性女孩","依里（聖誕節）","0","原紗友里","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","22"
"王宮騎士團","25","8","171","124201","人族","10","A","50","格鬥技、入浴","看不見面容的沉著女騎士","純（聖誕節）","0","川澄綾子","","25"
"龍族巢穴","25","17","168","124501","龍人族","4","O","???","繪畫、讀書","面帶詭譎的笑容看透一切的臥龍首領。","帆稀（新年）","0","大西沙織","","17"
"森林守衛","21","6","165","124601","精靈族","9","O","54","製作繪本","充滿母性又溫柔，大家的「美里老師」","美里（新年）","0","國府田マリ子","","5"
"暮光流星群","27","13","166","124701","人族","3","A","53","研究、實驗","興趣是實驗的危險科學家","深月（新年）","0","三石琴乃","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","7"
"慈樂之音","17","4","157","124801","人族","1","B","40","看舞台劇，跳舞","能歌善舞的超人氣偶像","望（解放者）","0","日笠陽子","","24"
"龍族巢穴","16","17","156","124901","龍人族","6","B","???","格鬥技","專門用拳頭來交朋友的打手龍少女","嘉夜（解放者）","0","小市眞琴","","25"
"？？？","16","","148","125001","人族","8","O","40","冒險、回憶故事","徬徨的謎樣少女","矛依未（解放者）","0","潘めぐみ","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","11"
"墨丘利財團","19","12","158","125101","獸人族","3","AB","48","與貓咪玩耍","鋤強扶弱的貓娘","珠希（咖啡廳）","0","沼倉愛美","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","1"
"純白之翼 蘭德索爾分部","17","15","140","125201","人族","7","A","33","逛點心店","外表與內心都是孩子的異國軍人","莫妮卡（咖啡廳）","0","辻あゆみ","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","28"
"美食殿堂","11","1","140","125301","精靈族","5","B","35","冥想、養育動植物","仰慕主人，小小嚮導","可可蘿（遊俠）","0","伊藤美来","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"伊麗莎白牧場","14","11","153","125401","獸人族","11","A","40","讀書、散步","喜愛讀書的體弱少女","栞（遊俠）","0","小清水亜美","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","3"
"？？？","17","","156","125501","人族","3","O","45","冒險、聊天","夢想前往天空冒險的騎空士少女","吉塔（術士）","0","金元寿子","","10"
"？？？","14","","145","125601","人族","12","AB","39","製作老鼠耳朵","陰陽之力兼具的鼠神宮巫女","碧卡拉","0","種﨑敦美","","4"
"？？？","24","","152","125701","人族","9","A","43","處理文件、散步、桌遊","擔任【公會管理協會】職員的親切大姐姐","花凜（鍊金術師）","0","洲崎綾","","12"
"幻變少女","15","20","154","125801","人族","4","A","44","花藝、閱讀（經典文學）、東國畫","懷抱贖罪之心，追求力量的妹系大和撫子","莉莉（墮落）","0","鈴木みのり","","29"
"幻變少女","13","20","147","126001","人族","11","O","42","做點心、照顧花朵、演奏小提琴","背負著難以忘懷過錯的黑色翅膀聖女","可璃亞（墮落）","0","前田佳織里","","1"
"幻變少女","10","20","135","126101","獸人族","3","O","34","吃飯","繼承正義靈魂的爆食系天才純真女孩","普蕾西亞（墮落）","0","高尾奏音","","1"
"惡魔偽王國軍","??","7","172","126201","魔族","5","A","50","征服世界","曾經支配黑夜的最強吸血鬼","伊莉亞（祭服）","0","丹下桜","","5"
"純白之翼 蘭德索爾分部","14","15","150","126301","精靈族","10","AB","40","欣賞鏡中的自己","我比任何人都還要美麗","雪（祭服）","0","大空直美","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","10"
"？？？","??","","170","126401","機械人族","11","?","全重量252","午睡，幫助他人","笑容滿溢！精力充沛的機械少女","克蘿茜","0","長谷川育美","","11"
"吉歐‧提格尼亞","??","","162","126501","天使族","1","?","??","午睡、試吃甜點新品。","兼具溫柔與傲慢的公主。","萊拉耶爾","0","河瀨茉希","","17"
"？？？","24","","149","126601","精靈族","3","O","??","模仿、藝術欣賞","隱居在研究所，相當文靜的大姊姊","似似花（夏日）","0","井口裕香","","24"
"墨丘利財團","18","12","157","126701","人族","3","AB","45","慈善事業","目標成為頂尖商人的元氣大小姐","秋乃（夏日）","0","松嵜麗","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","12"
"墨丘利財團","22","12","164","126801","精靈族","3","A","55","隨意逛街","既純情又放心不下的成熟女性","優花梨（夏日）","0","今井麻美","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","16"
"憤怒‧軍團","20","19","165","126901","魔族","12","O","53","唱歌、看書，以及寫詩","歌唱尋求靜寂的陰沉少女","蘭法（夏日）","0","原田彩楓","","28"
"純白之翼 蘭德索爾分部","18","15","157","127001","人族","11","AB","49","閱讀小說","最愛妄想！其實是個害羞少女","空花（夏日）","0","長妻樹里","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","19"
"惡魔偽王國軍","18","7","157","127101","魔族","12","AB","42","占卜","擅長占卜的靈能少女","忍（夏日）","0","大坪由佳","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","22"
"美食殿堂","14","1","152","127201","獸人族","9","A","39","和貓咪玩耍","倒在路旁的謎之貓耳魔法師","凱留（插班生）","0","立花理香","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","2"
"月光學院","17","14","167","127301","魔族","4","O","48","時尚","天真浪漫的人氣超級名模","鈴奈（插班生）","0","上坂すみれ","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","10"
"咲戀育幼院","17","9","156","127501","精靈族","10","A","43","經營、茶會","經營育幼院的庶民派溫柔大小姐","咲戀（薩拉薩利亞）","0","堀江由衣","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","4"
"暮光流星群","25","13","167","127601","人族","7","B","54","釣魚","散發人情味的帥氣「大姐頭」","流夏（薩拉薩利亞）","0","佐藤利奈","","11"
"？？？","12","","145","127701","龍人族","2","?","???","與妹妹一起度過的假日","認真又拼命的龍女僕（姊）","琳德","0","豐田萌繪","","5"
"？？？","12","","145","127801","龍人族","2","?","???","偷懶，與姐姐一起度過的假日","不認真又倦怠的龍女僕（妹）","烏爾姆","0","關根明良","","5"
"美食殿堂","17","1","156","127901","人族","3","O","46","邊走邊吃、料理","元氣滿點的空腹少女","貪吃佩可（聖誕節）","0","M・A・O","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","31"
"里士滿工商會","26","18","160","128001","人族","9","A","57","數錢、打壞主意","醒悟了忠義的女商人","克蕾琪塔（聖誕節）","0","Lynn","","19"
"龍族巢穴","13","17","145","128301","龍人族","9","AB","???","遊戲","嘴上功夫一流的廢材龍娘","祈梨（新年）","0","藤田茜","","29"
"森林守衛","17","6","156","128401","精靈族","12","A","46","和妹妹一起玩、回籠覺、午睡、早睡","為了大家使用超能力的睡美人","初音（新年）","0","大橋彩香","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","24"
"哞哞自衛隊","15","10","152","128501","獸人族","11","AB","41","讀書、推理","頭腦聰明的美少女名偵探","霞（新年）","0","水瀬いのり","","3"
"破曉之星","16","2","155","128701","獸人族","8","A","44","助人、打氣加油","最愛幫助別人！　正向思考的格鬥少女","日和（星素）","0","東山奈央","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","27"
"破曉之星","18","2","163","128801","魔族","1","B","46","讀書、騎馬、茶","冷酷又率直的劍士","怜（星素）","0","早見沙織","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","12"
"破曉之星","17","2","158","128901","人族","4","O","47","料理、觀察人類","擅長支援戰鬥，心地善良的少女","優衣（星素）","0","種田梨沙","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","5"
"？？？","??","","168","129001","人族","2","?","??","聽騎士先生說話","在悲劇的根源盛開的美麗黑薔薇","厄莉絲","0","桑島法子","","15"
"聖德蕾莎女子學院（好朋友社）","18","16","142","129301","人族","2","O","36","讀書","沉睡於書庫的小小賢人","優妮（冬日）","0","小原好美","","28"
"聖德蕾莎女子學院（好朋友社）","17","16","154","129401","精靈族","8","O","42","飛鏢","生長在市區的陰暗系精靈族","克蘿依（冬日）","0","種﨑敦美","","7"
