a7f50810d0d5174ca17324597e11dfadf87b7a16968d4218eeaa634cf86435f8,eb10dd2b90eeebc75032f765a2e200c37827d0dadec9feff11ae99848ad1bf62,31c169219bb5c4f1ce129517cb9f2270d51bd9cc949316cb5b70c6b5937a0720,3d3143fd30be2b08f91f5717a337fc5fea5df9d92e97a86759c09874f9aad111,2e24c6faa8198af0931e431a43ccc3d739edeb7912477d78e8c9964692ef4d1a,06dc69754340129d9909ae83351346edd3efff24fcef885b99dcfc84f351c9b6,afe9f2976e83013af6833e6c7cc65fd2a15d6b5d2e48c1be5bc91c6da1cd492e,32718fd860f2b46de45473d4ce5dd6d082f8aadd3c9df14bca0b26a766e8ff02,51b7ba63d6129246d0c77b905e2546b1ea5e7fbec422be154ef94a8e621ce617,55b38e8bc638c95a2265a953b8a15a9ba22d662b39c15c4d8bdac48eda7aaa07,365959ffffa009d1d943e9f0149dd19ff2123a5d7d9355217d9d454220646ec3
"vo_omp_7007","","","1070050","7","0","","0","","21","vo_omp_7007_007"
"112411","","1","1070051","7","10","","1","","11","小凜……！"
"0","","","1070052","7","","","","","91",""
"112611","","","1070053","7","","","","","4","0"
"112411","","","1070054","7","1","0","","","3","omp_psn_20"
"112611","","","1070055","7","1","0","","","3","omp_talk_joy1"
"vo_omp_7007","","","1070056","7","0","","0","","21","vo_omp_7007_008"
"112611","","1","1070057","7","10","","1","","11","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！"
"10","","","1070058","7","","","","","93","1"
"112611","","","1070059","7","1","","","","4","0"
"112611","","1","1070060","7","-205","","0","","2","120"
"112411","","1","1070061","7","-205","","0","","2","420"
"112611","","1","1070062","7","0","0","omp_psn_13_loop","0.1","3","omp_psn_13"
"112411","","1","1070063","7","0","0","omp_psn_13_loop","0.1","3","omp_psn_13"
"112511","","1","1070064","7","0","0","omp_psn_15_loop","0","3","omp_psn_15"
"1","","","1070065","7","","","","","93","1"
"105831","","1","1070066","7","0","0","omp_idle_surprise1","","3","omp_surprise"
"105931","","1","1070067","7","0","0","omp_idle_surprise1","","3","omp_surprise"
"106031","","1","1070068","7","0","0","omp_idle_surprise2","0.2","3","omp_surprise"
"1070057","","","1070069","7","","","","","91",""
"vo_omp_7007","","","1070070","7","0","","0","","21","vo_omp_7007_009"
"112511","","1","1070071","7","10","","1","","11","等等，快、快住手啦……！"
"0","","","1070072","7","","","","","91",""
"105831","","","1070073","7","1","","","","4","1"
"105831","","","1070074","7","1","0","","","3","omp_talk_joy1"
"vo_omp_7007","","","1070075","7","0","","0","","21","vo_omp_7007_010"
"105831","","1","1070076","7","10","","1","","11","小凱留，\n我們也來抱抱吧♪"
"0","","","1070077","7","","","","","91",""
"105831","","","1070078","7","1","0","","","3","omp_idle_joy1"
"106031","","","1070079","7","1","0","","","3","omp_talk_tsun"
"vo_omp_7007","","","1070080","7","0","","0","","21","vo_omp_7007_011"
"106031","","1","1070081","7","10","","1","","11","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？"
"4","","","1070082","7","","","","","93","1"
"105831","","","1070083","7","1","0","","","3","omp_walk"
"105831","","1","1070084","7","-205","","1","","2","-120"
"0","","","1070085","7","","","","","91",""
"105831","","","1070086","7","1","0.2","","","3","omp_idle_joy1"
"1070081","","","1070087","7","","","","","91",""
"105831","","","1070088","7","1","0","","","3","omp_idle_joy1"
"106031","","","1070089","7","1","0","","","3","omp_idle_tsun"
"105931","","","1070090","7","1","0","","","3","omp_talk_normal"
"vo_omp_7007","","","1070091","7","0","","0","","21","vo_omp_7007_012"
"105931","","1","1070092","7","10","","1","","11","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪"
"0","","","1070093","7","","","","","91",""
"105831","","1","1070094","7","-205","","0","","2","-120"
"105931","","1","1070095","7","-205","","0","","2","-440"
"105831","","1","1070096","7","0","0","omp_psn_14_loop","0.1","3","omp_psn_14"
"105931","","1","1070097","7","0","0","omp_psn_14_loop","0.1","3","omp_psn_14"
"106031","","1","1070098","7","0","0","omp_psn_15_loop","0","3","omp_psn_15"
"vo_omp_7007","","","1070099","7","0","","0","","21","vo_omp_7007_013"
"105831","","1","1070100","7","10","","1","","11","抱抱～♪"
"0","","","1070101","7","","","","","91",""
"106031","","","1070102","7","1","0","","","3","omp_psn_16_loop"
"vo_omp_7007","","","1070103","7","0","","0","","21","vo_omp_7007_014"
"106031","","1","1070104","7","10","","1","","11","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？"
"0","","","1070105","7","","","","","91",""
"112611","","","1070106","7","1","0","","","3","omp_psn_13_loop"
"vo_omp_7007","","","1070107","7","0","","0","","21","vo_omp_7007_015"
"112611","","1","1070108","7","10","","1","","11","哇～！\n凱留凱留～！"
"0","","","1070109","7","","","","","91",""
"112611","","","1070110","7","1","0","","","3","omp_psn_13_loop"
"112411","","","1070111","7","1","0","","","3","omp_psn_13_loop"
"vo_omp_7007","","","1070112","7","0","","0","","21","vo_omp_7007_016"
"112411","","1","1070113","7","10","","1","","11","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！"
"0","","","1070114","7","","","","","91",""
"112411","","","1070115","7","1","0","","","3","omp_psn_13_loop"
"112511","","","1070116","7","1","0","","","3","omp_psn_15_loop"
"vo_omp_7007","","","1070117","7","0","","0","","21","vo_omp_7007_017"
"112511","","1","1070118","7","10","","1","","11","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！"
"5.5","","","1070119","7","","","","","93","1"
"112511","","","1070120","7","1","0.1","","","3","omp_psn_16_loop"
"1070118","","","1070121","7","","","","","91",""
"0.4","","","1070122","7","","","","","93",""
"1","omp_idle_normal","-195","1080001","8","1600","1.8","200","1","1","105831"
"1","omp_talk_normal","-185","1080002","8","1500","1.8","0","0","1","105931"
"1","omp_idle_normal","-205","1080003","8","1600","1.8","-200","0","1","106031"
"1","","1","1080004","8","0","1","0","","31","1"
"1","","","1080005","8","","","","","93",""
"vo_omp_7008","","","1080006","8","0","","0","","21","vo_omp_7008_000"
"105931","","1","1080007","8","10","","1","","11","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。"
"0","","","1080008","8","","","","","91",""
"105931","","","1080009","8","1","0","","","3","omp_idle_normal"
"105831","","","1080010","8","1","0","","","3","omp_talk_joy1"
"vo_omp_7008","","","1080011","8","0","","0","","21","vo_omp_7008_001"
"105831","","1","1080012","8","10","","1","","11","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆"
"0","","","1080013","8","","","","","91",""
"105831","","","1080014","8","1","0","","","3","omp_idle_joy1"
"106031","","","1080015","8","1","0","","","3","omp_talk_sad"
"vo_omp_7008","","","1080016","8","0","","0","","21","vo_omp_7008_002"
"106031","","1","1080017","8","10","","1","","11","唉……妳的腦袋裡\n真的都只想著吃呢。"
"0","","","1080018","8","","","","","91",""
"106031","","","1080019","8","1","0","","","3","omp_idle_sad"
"105931","","","1080020","8","1","0","","","3","omp_talk_normal"
"vo_omp_7008","","","1080021","8","0","","0","","21","vo_omp_7008_003"
"105931","","1","1080022","8","10","","1","","11","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。"
"0","","","1080023","8","","","","","91",""
"105931","","","1080024","8","1","0","","","3","omp_idle_normal"
"106031","","","1080025","8","1","0","","","3","omp_talk_surprise1"
"vo_omp_7008","","","1080026","8","0","","0","","21","vo_omp_7008_004"
"106031","","1","1080027","8","10","","1","","11","連可蘿仔也是！？"
"0","","","1080028","8","","","","","91",""
"106031","","","1080029","8","1","0","","","3","omp_idle_surprise1"
"105831","","","1080030","8","1","0","","","3","omp_talk_normal"
"vo_omp_7008","","","1080031","8","0","","0","","21","vo_omp_7008_005"
"105831","","1","1080032","8","10","","1","","11","小凱留打算怎麼做呢～？"
"0","","","1080033","8","","","","","91",""
"105931","","","1080034","8","","","","","4","1"
"105831","","","1080035","8","1","0","","","3","omp_idle_normal"
"106031","","","1080036","8","1","0","","","3","omp_talk_tsun"
"vo_omp_7008","","","1080037","8","0","","0","","21","vo_omp_7008_006"
"106031","","1","1080038","8","10","","1","","11","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。"
"0","","","1080039","8","","","","","91",""
"106031","","","1080040","8","1","0","","","3","omp_idle_tsun"
"105931","","","1080041","8","1","0","","","3","omp_talk_normal"
"vo_omp_7008","","","1080042","8","0","","0","","21","vo_omp_7008_007"
"105931","","1","1080043","8","10","","1","","11","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪"
"0","","","1080044","8","","","","","91",""
"105931","","","1080045","8","","","","","4","0"
"105931","","","1080046","8","1","0","","","3","omp_idle_normal"
"105831","","","1080047","8","1","0","","","3","omp_talk_joy1"
"vo_omp_7008","","","1080048","8","0","","0","","21","vo_omp_7008_008"
"105831","","1","1080049","8","10","","1","","11","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！"
"0","","","1080050","8","","","","","91",""
"0.4","","","1080051","8","","","","","93",""
"1","omp_idle_normal","-270","1090001","9","1600","1.8","300","1","1","105831"
"1","omp_idle_normal","-285","1090002","9","1700","1.8","450","1","1","105931"
"1","omp_idle_normal","-230","1090003","9","1600","1.8","-310","1","1","106031"
"1","omp_idle_normal","-190","1090004","9","1500","1.8","-45","1","1","112511"
"1","omp_idle_normal","-240","1090005","9","1600","1.8","65","1","1","112411"
"1","omp_idle_normal","-192","1090006","9","1500","1.8","205","1","1","112611"
"1","","1","1090007","9","0","1","0","","31","1"
"0.2","","","1090008","9","","","","","93",""
"112611","","","1090009","9","1","0.1","","","3","omp_idle_normal"
"106031","","","1090010","9","1","0","","","3","omp_talk_sad"
"112511","","","1090011","9","1","0.1","","","3","omp_idle_normal"
"105831","","","1090012","9","1","0.1","","","3","omp_idle_normal"
"0.1","","","1090013","9","","","","","93",""
"1","","","1090014","9","","","","","93",""
"vo_omp_7009","","","1090015","9","0","","0","","21","vo_omp_7009_000"
"106031","","1","1090016","9","10","","1","","11","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！"
"0","","","1090017","9","","","","","91",""
"106031","","","1090018","9","0","0","","","3","omp_psn_17"
"vo_omp_7009","","","1090019","9","0","","0","","21","vo_omp_7009_001"
"106031","","1","1090020","9","10","","1","","11","……凱留凱留\n說笑的喵。"
"2","","","1090021","9","","","","","93","1"
"106031","","","1090022","9","1","0.2","","","3","omp_talk_sad"
"1090020","","","1090023","9","","","","","91",""
"106031","","","1090024","9","1","0","","","3","omp_idle_sad"
"105831","","1","1090025","9","0","0","omp_idle_joy1","0.2","3","omp_psn_17"
"vo_omp_7009","","","1090026","9","0","","0","","21","vo_omp_7009_002"
"105831","","1","1090027","9","10","","1","","11","凱留凱留♪"
"0","","","1090028","9","","","","","91",""
"105931","","","1090029","9","1","0","omp_idle_normal","0.2","3","omp_psn_17"
"vo_omp_7009","","","1090030","9","0","","0","","21","vo_omp_7009_003"
"105931","","1","1090031","9","10","","1","","11","凱留凱留喵。"
"0","","","1090032","9","","","","","91",""
"106031","","","1090033","9","","","","","4","0"
"106031","","1","1090034","9","0","0","omp_idle_surprise1","0","3","omp_surprise"
"vo_omp_7009","","","1090035","9","0","","0","","21","vo_omp_7009_004"
"106031","","1","1090036","9","10","","1","","11","妳、妳們幾個！？\n看、看到剛才的……！？"
"0","","","1090037","9","","","","","91",""
"112611","","","1090038","9","1","0","omp_idle_joy1","0.2","3","omp_psn_17_other"
"vo_omp_7009","","","1090039","9","0","","0","","21","vo_omp_7009_005"
"112611","","1","1090040","9","10","","1","","11","凱留凱留～♪\n華麗登場喵☆"
"0","","","1090041","9","","","","","91",""
"106031","","","1090042","9","1","0","","","3","omp_talk_anger2"
"vo_omp_7009","","","1090043","9","0","","0","","21","vo_omp_7009_006"
"106031","","1","1090044","9","10","","1","","11","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！"
"0","","","1090045","9","","","","","91",""
"106031","","","1090046","9","1","0","","","3","omp_idle_anger2"
"112411","","","1090047","9","1","0","","","3","omp_talk_sad"
"vo_omp_7009","","","1090048","9","0","","0","","21","vo_omp_7009_007"
"112411","","1","1090049","9","10","","1","","11","凱、凱留。呃，那個……"
"0","","","1090050","9","","","","","91",""
"112411","","","1090051","9","1","0","","","3","omp_idle_sad"
"112511","","","1090052","9","1","0","","","3","omp_talk_normal"
"vo_omp_7009","","","1090053","9","0","","0","","21","vo_omp_7009_008"
"112511","","1","1090054","9","10","","1","","11","妳很辛苦呢。"
"0","","","1090055","9","","","","","91",""
"112511","","","1090056","9","1","0","","","3","omp_idle_normal"
"106031","","","1090057","9","1","0","","","3","omp_talk_tsun"
"vo_omp_7009","","","1090058","9","0","","0","","21","vo_omp_7009_009"
"106031","","1","1090059","9","10","","1","","11","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！"
"0","","","1090060","9","","","","","91",""
"106031","","","1090061","9","1","0","","","3","omp_idle_tsun"
"112511","","","1090062","9","1","0","","","3","omp_talk_normal"
"vo_omp_7009","","","1090063","9","0","","0","","21","vo_omp_7009_010"
"112511","","1","1090064","9","10","","1","","11","可是我覺得那個很可愛耶。"
"0","","","1090065","9","","","","","91",""
"112511","","","1090066","9","1","0","","","3","omp_idle_normal"
"112411","","","1090067","9","1","0","","","3","omp_talk_joy2"
"vo_omp_7009","","","1090068","9","0","","0","","21","vo_omp_7009_011"
"112411","","1","1090069","9","10","","1","","11","是啊！　非常棒喔！"
"0","","","1090070","9","","","","","91",""
"112411","","","1090071","9","1","0","","","3","omp_psn_20"
"106031","","","1090072","9","1","0","","","3","omp_talk_tsun"
"vo_omp_7009","","","1090073","9","0","","0","","21","vo_omp_7009_012"
"106031","","1","1090074","9","10","","1","","11","聽到那種話我才不覺得開心啦～！？"
"0","","","1090075","9","","","","","91",""
"106031","","","1090076","9","1","0","","","3","omp_idle_tsun"
"105831","","1","1090077","9","0","0","omp_idle_joy1","0.2","3","omp_psn_17"
"105931","","1","1090078","9","0","0","omp_idle_normal","0.2","3","omp_psn_17"
"112611","","1","1090079","9","0","0","omp_idle_joy1","0.2","3","omp_psn_17_other"
"vo_omp_7009","","","1090080","9","0","","0","","21","vo_omp_7009_013"
"105831","","1","1090081","9","10","","1","","11","凱留凱留♪"
"0","","","1090082","9","","","","","91",""
"106031","","","1090083","9","1","0","","","3","omp_talk_anger2"
"vo_omp_7009","","","1090084","9","0","","0","","21","vo_omp_7009_014"
"106031","","1","1090085","9","10","","1","","11","我一定要宰了妳們～～～～～～～！"
"0","","","1090086","9","","","","","91",""
"0.4","","","1090087","9","","","","","93",""
