56f3126d119576504b5feec5010d578140a3c5012b134f32b20159924836ca47,c50cb7b8286903bc33a0b63250b6f1bd8d963f158cfcdc5c7148ea24410ce01f,abe1ceb14eb7661164e14b9575f1cbbe83253f000aa9500b349a022bf09c9b1e,bdc8a78b0c4e11453cedab471ade6cbc31e870b99114e3596dc06388e424fbac,b9bf09bd9a4cabe18ea8586cfdb9fd60b9db9e21403ade64246ede0195fa8852
"285","82001017","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"286","82001017","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"287","82001017","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"288","82001017","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"289","82001017","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"290","82001017","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"291","82001018","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"292","82001018","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"293","82001018","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"294","82001018","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"295","82001018","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"296","82001018","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"297","82001019","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"298","82001019","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"299","82001019","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"300","82001019","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"301","82001019","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"302","82001019","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"303","82001020","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"304","82001020","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"305","82001020","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"306","82001020","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"307","82001020","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"308","82001020","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"309","82001020","boss_tp_down_cut","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"310","82001020","4","降低行動速度","戰鬥開始時，大幅度降低全體角色的行動速度。"
"311","82001021","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"312","82001021","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"313","82001021","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"314","82001021","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"315","82001021","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"316","82001021","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"317","82001022","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"318","82001022","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"319","82001022","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"320","82001022","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"321","82001022","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"322","82001022","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"323","82001023","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"324","82001023","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"325","82001023","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"326","82001023","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"327","82001023","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"328","82001023","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"329","82001024","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"330","82001024","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"331","82001024","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"332","82001024","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"333","82001024","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"334","82001024","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"335","82001025","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"336","82001025","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"337","82001025","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"338","82001025","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"339","82001025","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"340","82001025","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"341","82001026","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"342","82001026","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"343","82001026","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"344","82001026","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"345","82001026","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"346","82001026","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"347","82001027","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"348","82001027","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"349","82001027","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"350","82001027","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"351","82001027","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"352","82001027","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"353","82001028","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"354","82001028","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"355","82001028","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"356","82001028","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"357","82001028","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"358","82001028","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"359","82001029","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"360","82001029","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"361","82001029","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"362","82001029","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"363","82001029","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"364","82001029","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"365","82001030","13","水屬性獎勵特大幅度提升","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"366","82001030","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"367","82001030","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"368","82001030","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"369","82001030","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"370","82001030","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"371","82001030","boss_tp_down_cut","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"372","82001030","5","降低物理攻擊力","戰鬥開始時，大幅度降低全體角色的物理攻擊力。"
"373","82001030","6","降低魔法攻擊力","戰鬥開始時，大幅度降低全體角色的魔法攻擊力。"
"374","83001001","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"375","83001001","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"376","83001001","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"377","83001001","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"378","83001001","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"379","83001001","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"380","83001002","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"381","83001002","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"382","83001002","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"383","83001002","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"384","83001002","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"385","83001002","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"386","83001003","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"387","83001003","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"388","83001003","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"389","83001003","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"390","83001003","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"391","83001003","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"392","83001004","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"393","83001004","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"394","83001004","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"395","83001004","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"396","83001004","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"397","83001004","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"398","83001005","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"399","83001005","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"400","83001005","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"401","83001005","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"402","83001005","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"403","83001005","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"404","83001006","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"405","83001006","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"406","83001006","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"407","83001006","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"408","83001006","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"409","83001006","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"410","83001007","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"411","83001007","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"412","83001007","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"413","83001007","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"414","83001007","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"415","83001007","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"416","83001008","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"417","83001008","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"418","83001008","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"419","83001008","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"420","83001008","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"421","83001008","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"422","83001009","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"423","83001009","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"424","83001009","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"425","83001009","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"426","83001009","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"427","83001009","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"428","83001010","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"429","83001010","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"430","83001010","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"431","83001010","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"432","83001010","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"433","83001010","9","降低HP吸收","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"434","83001010","boss_tp_down_cut","減少TP下降","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"435","83001011","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"436","83001011","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"437","83001011","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"438","83001011","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"439","83001011","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"440","83001011","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"441","83001012","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"442","83001012","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"443","83001012","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"444","83001012","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"445","83001012","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"446","83001012","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"447","83001013","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"448","83001013","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"449","83001013","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"450","83001013","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"451","83001013","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"452","83001013","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"453","83001014","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"454","83001014","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"455","83001014","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"456","83001014","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"457","83001014","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"458","83001014","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"459","83001015","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"460","83001015","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"461","83001015","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"462","83001015","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"463","83001015","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"464","83001015","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"465","83001016","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"466","83001016","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"467","83001016","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"468","83001016","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"469","83001016","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"470","83001016","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"471","83001017","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"472","83001017","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"473","83001017","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"474","83001017","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"475","83001017","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"476","83001017","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"477","83001018","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"478","83001018","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"479","83001018","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"480","83001018","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"481","83001018","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"482","83001018","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"483","83001019","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"484","83001019","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"485","83001019","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"486","83001019","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"487","83001019","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"488","83001019","9","降低HP吸收","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"489","83001020","14","風屬性獎勵特大幅度提升","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。"
"490","83001020","11","深域怪物","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"491","83001020","17","賦予TP上升上限","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"492","83001020","boss_def_lower_limit","提升物理防禦力（不可降低）","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
