9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8
"親人又多話的妹系少女","A","拉比林斯","3","裁縫","0","人族","8","25","璃乃（奇幻）","156","阿澄佳奈","112901","44","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","15"
"何時都會一見鍾情，純情少女","O","純白之翼 蘭德索爾分部","15","觀察","0","精靈族","4","7","步未（奇幻）","155","大関英里","113001","43","","16"
"散發人情味的帥氣「大姐頭」","B","暮光流星群","13","釣魚","0","人族","7","11","流夏（夏日）","167","佐藤利奈","113101","54","","25"
"相信前世的中二病患「疾風之冥姬」","A","暮光流星群","13","寫小說","0","魔族","7","5","杏奈（夏日）","159","髙野麻美","113201","45","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","17"
"宅宅暴走的魔法少女","O","暮光流星群","13","讀書、魔法","0","魔族","8","21","七七香（夏日）","166","佳村はるか","113301","55","","18"
"為了大家使用超能力的睡美人","A","森林守衛","6","和妹妹一起玩、回籠覺、午睡、早睡","0","精靈族","12","24","初音（夏日）","156","大橋彩香","113401","46","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","17"
"充滿母性又溫柔，大家的「美里老師」","O","森林守衛","6","製作繪本","0","精靈族","9","5","美里（夏日）","165","國府田マリ子","113501","54","","21"
"看不見面容的沉著女騎士","A","王宮騎士團","8","格鬥技、入浴","0","人族","10","25","純（夏日）","171","川澄綾子","113601","50","","25"
"愛撒嬌又受大家喜歡","O","惡魔偽王國軍","7","薩克斯風","0","魔族","11","22","茜里（天使）","150","浅倉杏美","113701","42","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","13"
"怕生的任性女孩","O","惡魔偽王國軍","7","所有遊戲","0","魔族","11","22","依里（天使）","150","原紗友里","113801","40","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","13"
"最愛時尚的可愛女孩","AB","慈樂之音","4","裁縫","0","人族","9","7","紡希（萬聖節）","153","木戸衣吹","113901","45","","14"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜（萬聖節）","163","早見沙織","114001","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"仰慕英雄的見習騎士少女","O","王宮騎士團","8","英雄扮演遊戲","0","獸人族","11","25","茉莉（萬聖節）","146","下田麻美","114101","40","","12"
"外表與內心都是孩子的異國軍人","A","純白之翼 蘭德索爾分部","15","逛點心店","0","人族","7","28","莫妮卡（魔法少女）","140","辻あゆみ","114201","33","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","18"
"重情義愛捉弄人的劍術少女","A","王宮騎士團","8","劍術、戲弄長輩","0","人族","8","11","智（魔法少女）","149","茅原実里","114301","43","","13"
"目標成為頂尖商人的元氣大小姐","AB","墨丘利財團","12","慈善事業","0","人族","3","12","秋乃（聖誕節）","157","松嵜麗","114401","45","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","18"
"經營育幼院的庶民派溫柔大小姐","A","咲戀育幼院","9","經營、茶會","0","精靈族","10","4","咲戀（聖誕節）","156","堀江由衣","114501","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","17"
"既純情又放心不下的成熟女性","A","墨丘利財團","12","隨意逛街","0","精靈族","3","16","優花梨（聖誕節）","164","今井麻美","114601","55","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","22"
"徬徨的謎樣少女","O","？？？","","冒險、回憶故事","0","人族","8","11","矛依未（新年）","148","潘めぐみ","114701","40","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","16"
"隱居在研究所，相當文靜的大姊姊","O","？？？","","模仿、藝術欣賞","0","精靈族","3","24","似似花（新年）","149","井口裕香","115001","??","","24"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿（祭服）","140","伊藤美来","115501","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣（祭服）","158","種田梨沙","115601","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"頭腦聰明的美少女名偵探","AB","哞哞自衛隊","10","讀書、推理","0","獸人族","11","3","霞（夏日）","152","水瀬いのり","115701","41","","15"
"少女心的毛茸茸生物","A","伊麗莎白牧場","11","理毛、聊天","0","獸人族","3","14","莉瑪（灰姑娘）","150","徳井青空","115801","100","我是個很平凡、隨處可見的女孩子喔！\n除、除了外表之外……","18"
"不輸男人的狂野義氣少女","O","哞哞自衛隊","10","做點心","0","獸人族","8","9","真琴（灰姑娘）","168","小松未可子","115901","54","肚子餓了的話就告訴我哦。\n不介意粗茶淡飯的話，\n讓你試試超級好吃的東西吧！","17"
"真步真步王國的公主","O","哞哞自衛隊","10","幻想、蒐集玩偶","0","獸人族","9","22","真步（灰姑娘）","155","内田真礼","116001","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","16"
"生長在市區的陰暗系精靈族","O","聖德蕾莎女子學院（好朋友社）","16","飛鏢","0","精靈族","8","7","克蘿依（聖學祭）","154","種﨑敦美","116201","42","","17"
"天生自由奔放的失禮現代小孩","O","聖德蕾莎女子學院（好朋友社）","16","跳舞、卡拉OK","0","人族","9","15","琪愛兒（聖學祭）","156","佐倉綾音","116301","46","","16"
"沉睡於書庫的小小賢人","O","聖德蕾莎女子學院（好朋友社）","16","讀書","0","人族","2","28","優妮（聖學祭）","142","小原好美","116401","36","","18"
"嘴上功夫一流的廢材龍娘","AB","龍族巢穴","17","遊戲","0","龍人族","9","29","祈梨（時空旅行）","145","藤田茜","116501","???","","13"
"專門用拳頭來交朋友的打手龍少女","B","龍族巢穴","17","格鬥技","0","龍人族","6","25","嘉夜（時空旅行）","156","小市眞琴","116601","???","","16"
"嚮往「朋友」的精靈之森女孩","AB","森林守衛","6","交朋友的想像訓練","0","精靈族","6","6","碧（工作服）","158","花澤香菜","116701","44","","13"
"鋤強扶弱的貓娘","AB","墨丘利財團","12","與貓咪玩耍","0","獸人族","3","1","珠希（工作服）","158","沼倉愛美","116801","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","18"
"公事私事都效率至上的傭兵少女","O","墨丘利財團","12","傭兵等等的打工","0","人族","11","11","美冬（工作服）","163","田所あずさ","116901","49","我來當你的師傅吧！\n當然這可不能是免費的。\n我會算清楚時薪喔。","20"
"專情於命中注定對象的少女","B","暮光流星群","13","實驗、裁縫、料理","0","魔族","7","30","惠理子（夏日）","154","橋本ちなみ","117001","43","我擁有「破壞者」的名號……\n但是，您無須害怕我哦。\n因為您是我重要的命中注定之人呀……","16"
"姐姐會照顧你的呦！","O","拉比林斯","3","所有家事","0","人族","10","24","靜流（夏日）","168","生天目仁美","117101","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","18"
"能歌善舞的超人氣偶像","B","慈樂之音","4","看舞台劇，跳舞","0","人族","1","24","望（夏日）","157","日笠陽子","117201","40","","17"
"守護人們而歌唱的唱喚士少女","O","慈樂之音","4","各種樂器","0","人族","6","3","千歌（夏日）","163","福原綾香","117301","46","為了守護人們的和平，\n我使用唱喚術來戰鬥。……最近，還作為偶、偶像開始了演藝活動，\n雖然還有點不太習慣……","17"
"最愛時尚的可愛女孩","AB","慈樂之音","4","裁縫","0","人族","9","7","紡希（夏日）","153","木戸衣吹","117401","45","","14"
"興趣是實驗的危險科學家","A","暮光流星群","13","研究、實驗","0","人族","3","7","深月（大江戶）","166","三石琴乃","117501","53","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","27"
"我比任何人都還要美麗","AB","純白之翼 蘭德索爾分部","15","欣賞鏡中的自己","0","精靈族","10","10","雪（大江戶）","150","大空直美","117601","40","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","14"
"隨時都「船到橋頭自然直」的天真少女","A","哞哞自衛隊","10","跳舞、空手道","0","獸人族","7","7","香織（萬聖節）","158","高森奈津美","117701","53","嗨呵～！我要又唱又跳\n讓氣氛嗨到最高點喲～！\n來嘛來嘛，你也一起跳吧～！","19"
"東國的神祕，請告訴我！","O","純白之翼 蘭德索爾分部","15","忍法開發","0","人族","8","31","妮諾（萬聖節）","163","佐藤聡美","117801","51","壽司，藝伎，天婦羅……\n嗯~！\n東國的文化真是太美好了~！","16"
"天真浪漫的人氣超級名模","O","月光學院","14","時尚","0","魔族","4","10","鈴奈（萬聖節）","167","上坂すみれ","117901","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","18"
"醒悟了忠義的女商人","A","里士滿工商會","18","數錢、打壞主意","0","人族","9","19","克蕾琪塔","160","Lynn","118001","57","","26"
"歌唱尋求靜寂的陰沉少女","O","憤怒‧軍團","19","唱歌、看書，以及寫詩","0","魔族","12","28","蘭法","165","原田彩楓","118101","53","","20"
"樂觀開朗，卻趨向毀滅的活潑少女","A","憤怒‧軍團","19","無","0","人族","7","2","美空","159","鬼頭明里","118201","??","","16"
"擔任【公會管理協會】職員的親切大姐姐","A","？？？","","處理文件、散步、桌遊","0","人族","9","12","花凜","152","洲崎綾","118501","43","","24"
"在幻霧玩耍的愛惡作劇嚮導小妖精","?","？？？","","惡作劇","0","？？？","?","?","涅比亞","???","相坂優歌","118601","???","","??"
"魅惑眾多男性的純潔女老師","B","月光學院","14","看戀愛小說、戀愛劇、戀愛漫畫","0","魔族","8","14","伊緒（黑暗）","162","伊藤静","119001","52","謝謝你總是幫我喔。\n明明我才是年長的一方，卻老是依賴你，真對不起～","23"
"最愛妄想！其實是個害羞少女","AB","純白之翼 蘭德索爾分部","15","閱讀小說","0","人族","11","19","空花（黑暗）","157","長妻樹里","119101","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","18"
"令大家歡笑的歡樂牧場主人","B","伊麗莎白牧場","11","相聲","0","人族","3","3","真陽（聖誕節）","142","新田恵海","119201","35","我的目標是，\n成為無論何時都能為大家帶來笑容的，最棒的搞笑藝人！\n一起加油的啦！","20"
"親人又多話的妹系少女","A","拉比林斯","3","裁縫","0","人族","8","25","璃乃（聖誕節）","156","阿澄佳奈","119301","44","雖然我想你可能已經不記得了……\n但我是妹妹啊！\n所以可以叫你哥哥嗎？","15"
"最愛布丁的幽靈少女","B","惡魔偽王國軍","7","吃布丁","0","魔族","1","23","宮子（聖誕節）","130","雨宮天","119901","32","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","14"
"姐姐會照顧你的呦！","O","拉比林斯","3","所有家事","0","人族","10","24","靜流（黑暗）","168","生天目仁美","120001","54","就讓姐姐我來照料你的生活起居吧！\n無論是做菜，洗衣，或是打掃都行。\n也可以在浴室裡幫你搓背喔！","18"
"失去記憶的龍人族少女","B","美食殿堂","1","讀書、伸展運動","0","龍人族","12","14","雪菲（新年）","147","近藤玲奈","120701","???","","14"
"散發人情味的帥氣「大姐頭」","B","暮光流星群","13","釣魚","0","人族","7","11","流夏（新年）","167","佐藤利奈","120801","54","","25"
"曾經支配黑夜的最強吸血鬼","A","惡魔偽王國軍","7","征服世界","0","魔族","5","5","伊莉亞（新年）","172","丹下桜","120901","50","","??"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可（超載）","156","M・A・O","121001","46","","17"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留（超載）","152","立花理香","121101","39","","14"
"祕密結社拉比林斯的「迷宮女王」","AB","拉比林斯","3","觀察人類","0","人族","7","25","拉比林斯達（超載）","160","沢城みゆき","121201","??","","25"
"愛哭又膽小，令人想去保護的女孩","B","咲戀育幼院","9","看戲、扮家家酒","0","人族","6","9","胡桃（舞台）","150","植田佳奈","121301","40","這個、那個……我叫胡、胡桃……嗚、嗚嗚嗚……怎、怎麼辦……太、太害羞了……對、對不起──！","12"
"稍微有點差距的少女戀情","A","月光學院","14","閱讀流行雜誌、蒐集化妝品","0","魔族","1","3","美咲（舞台）","120","久野美咲","121401","22","你剛才叫我了對吧？\n我會用成熟淑女的魅力擄獲你的心哦！","11"
"何時都會一見鍾情，純情少女","O","純白之翼 蘭德索爾分部","15","觀察","0","精靈族","4","7","步未（怪盜）","155","大関英里","121501","43","","16"
"嘴上功夫一流的廢材龍娘","AB","龍族巢穴","17","遊戲","0","龍人族","9","29","祈梨（怪盜）","145","藤田茜","121601","???","","13"
"相信前世的中二病患「疾風之冥姬」","A","暮光流星群","13","寫小說","0","魔族","7","5","杏奈（海盜）","159","髙野麻美","121901","45","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","17"
"擅長占卜的靈能少女","AB","惡魔偽王國軍","7","占卜","0","魔族","12","22","忍（海盜）","157","大坪由佳","122001","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","18"
"嚮往「朋友」的精靈之森女孩","AB","森林守衛","6","交朋友的想像訓練","0","精靈族","6","6","碧（露營）","158","花澤香菜","122101","44","","13"
"既純情又放心不下的成熟女性","A","墨丘利財團","12","隨意逛街","0","精靈族","3","16","優花梨（露營）","164","今井麻美","122201","55","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","22"
"僕從親愛的主人","AB","？？？","","散步、做料理","0","魔族","12","6","班比","149","釘宮理惠","122301","41","","??"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和（夏日）","155","東山奈央","122401","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜（夏日）","163","早見沙織","122501","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣（夏日）","158","種田梨沙","122601","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"端莊正直的嬌小優等生","A","小小甜心","5","讀書","0","精靈族","2","2","鏡華（夏日）","118","小倉唯","122701","21","","8"
"愛好冒險的搗蛋鬼","O","小小甜心","5","惡作劇、探險","0","人族","8","10","禊（夏日）","128","諸星すみれ","122801","27","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","9"
"唱歌、紅蘿蔔或是兔子先生，我全都喜歡♪","O","小小甜心","5","蒐集可愛的東西","0","獸人族","4","3","美美（夏日）","117","日高里菜","122901","21","蹦蹦跳，好想變成小兔子呢～♪\n美美如果能變成小兔子，\n會最先來給哥哥看喔！","10"
"以全新樣貌繼續支持騎士冒險的妖精","?","？？？","","？？？","0","？？？","?","?","愛梅斯","150","相坂優歌","123001","???","","??"
"真步真步王國的公主","O","哞哞自衛隊","10","幻想、蒐集玩偶","0","獸人族","9","22","真步（探險家）","155","内田真礼","123101","42","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","16"
"永遠跟噗吉在一起！","B","咲戀育幼院","9","能在房間裡玩的遊戲","0","人族","5","10","綾音（探險家）","148","芹澤優","123201","38","這孩子啊，名叫噗吉。\n雖然是武器，但是會說話呦♪\n是我最重要最重要的朋友～！","14"
"超喜歡正太♪辣妹系史萊姆女孩","B","憤怒‧軍團","19","和可愛的正太玩、購物","0","魔族？","6","13","涅婭","157","和氣杏未","123301","55","","19"
"看不見面容的沉著女騎士","A","王宮騎士團","8","格鬥技、入浴","0","人族","10","25","純（露營）","171","川澄綾子","123401","50","","25"
"視玩樂與睡眠為第一的懶惰少女","B","伊麗莎白牧場","11","紅豆麵包","0","獸人族","1","1","鈴（萬聖節）","144","小岩井ことり","123501","42","","17"
"重情義愛捉弄人的劍術少女","A","王宮騎士團","8","劍術、戲弄長輩","0","人族","8","11","智（萬聖節）","149","茅原実里","123601","43","","13"
"宅宅暴走的魔法少女","O","暮光流星群","13","讀書、魔法","0","魔族","8","21","七七香（萬聖節）","166","佳村はるか","123701","55","","18"
"自視甚高的王宮騎士團副團長","O","王宮騎士團","8","和強敵之間的競爭","0","人族","2","7","克莉絲提娜（狂野）","165","たかはし智秋","123801","??","","27"
"仰慕英雄的見習騎士少女","O","王宮騎士團","8","英雄扮演遊戲","0","獸人族","11","25","茉莉（狂野）","146","下田麻美","123901","40","","12"
"愛撒嬌又受大家喜歡","O","惡魔偽王國軍","7","薩克斯風","0","魔族","11","22","茜里（聖誕節）","150","浅倉杏美","124001","42","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","13"
"怕生的任性女孩","O","惡魔偽王國軍","7","所有遊戲","0","魔族","11","22","依里（聖誕節）","150","原紗友里","124101","40","那、那個……這、這種時候，\n該說什麼才好啊……\n嗚嗚，為什麼我不能好好說話呢。","13"
"看不見面容的沉著女騎士","A","王宮騎士團","8","格鬥技、入浴","0","人族","10","25","純（聖誕節）","171","川澄綾子","124201","50","","25"
"面帶詭譎的笑容看透一切的臥龍首領。","O","龍族巢穴","17","繪畫、讀書","0","龍人族","4","17","帆稀（新年）","168","大西沙織","124501","???","","25"
"充滿母性又溫柔，大家的「美里老師」","O","森林守衛","6","製作繪本","0","精靈族","9","5","美里（新年）","165","國府田マリ子","124601","54","","21"
"興趣是實驗的危險科學家","A","暮光流星群","13","研究、實驗","0","人族","3","7","深月（新年）","166","三石琴乃","124701","53","雖然我是個科學家，\n但平常也有在醫治病人哦。\n生病的時候就讓我來幫你看診吧。","27"
"能歌善舞的超人氣偶像","B","慈樂之音","4","看舞台劇，跳舞","0","人族","1","24","望（解放者）","157","日笠陽子","124801","40","","17"
"專門用拳頭來交朋友的打手龍少女","B","龍族巢穴","17","格鬥技","0","龍人族","6","25","嘉夜（解放者）","156","小市眞琴","124901","???","","16"
"徬徨的謎樣少女","O","？？？","","冒險、回憶故事","0","人族","8","11","矛依未（解放者）","148","潘めぐみ","125001","40","沒關係的，即使……只有我一個人。不要緊的，反正我已經習慣了","16"
"鋤強扶弱的貓娘","AB","墨丘利財團","12","與貓咪玩耍","0","獸人族","3","1","珠希（咖啡廳）","158","沼倉愛美","125101","48","有能賺錢的事，\n務必來找我談喵！能賺的錢即使是１盧幣也不會放過，這就是我的準則喵～♪","18"
"外表與內心都是孩子的異國軍人","A","純白之翼 蘭德索爾分部","15","逛點心店","0","人族","7","28","莫妮卡（咖啡廳）","140","辻あゆみ","125201","33","將「白色翅膀」命名為純白之翼……\n為了不讓這個名字丟臉，\n我會振翅高飛，華麗的打倒敵人！","18"
"仰慕主人，小小嚮導","B","美食殿堂","1","冥想、養育動植物","0","精靈族","5","11","可可蘿（遊俠）","140","伊藤美来","125301","35","在下奉命成為了主人您的嚮導。\n為了讓主人滿意，\n在下將會誠心誠意地侍奉您。","11"
"喜愛讀書的體弱少女","A","伊麗莎白牧場","11","讀書、散步","0","獸人族","11","3","栞（遊俠）","153","小清水亜美","125401","40","咳咳，咳咳……雖、雖然身體孱弱，\n至少在心境上要積極向前……！\n啊，但是不行……一站起來就一陣暈眩……","14"
"夢想前往天空冒險的騎空士少女","O","？？？","","冒險、聊天","0","人族","3","10","吉塔（術士）","156","金元寿子","125501","45","","17"
"陰陽之力兼具的鼠神宮巫女","AB","？？？","","製作老鼠耳朵","0","人族","12","4","碧卡拉","145","種﨑敦美","125601","39","","14"
"擔任【公會管理協會】職員的親切大姐姐","A","？？？","","處理文件、散步、桌遊","0","人族","9","12","花凜（鍊金術師）","152","洲崎綾","125701","43","","24"
"懷抱贖罪之心，追求力量的妹系大和撫子","A","幻變少女","20","花藝、閱讀（經典文學）、東國畫","0","人族","4","29","莉莉（墮落）","154","鈴木みのり","125801","44","","15"
"背負著難以忘懷過錯的黑色翅膀聖女","O","幻變少女","20","做點心、照顧花朵、演奏小提琴","0","人族","11","1","可璃亞（墮落）","147","前田佳織里","126001","42","","13"
"繼承正義靈魂的爆食系天才純真女孩","O","幻變少女","20","吃飯","0","獸人族","3","1","普蕾西亞（墮落）","135","高尾奏音","126101","34","","10"
"曾經支配黑夜的最強吸血鬼","A","惡魔偽王國軍","7","征服世界","0","魔族","5","5","伊莉亞（祭服）","172","丹下桜","126201","50","","??"
"我比任何人都還要美麗","AB","純白之翼 蘭德索爾分部","15","欣賞鏡中的自己","0","精靈族","10","10","雪（祭服）","150","大空直美","126301","40","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","14"
"笑容滿溢！精力充沛的機械少女","?","？？？","","午睡，幫助他人","0","機械人族","11","11","克蘿茜","170","長谷川育美","126401","全重量252","","??"
"兼具溫柔與傲慢的公主。","?","吉歐‧提格尼亞","","午睡、試吃甜點新品。","0","天使族","1","17","萊拉耶爾","162","河瀨茉希","126501","??","","??"
"隱居在研究所，相當文靜的大姊姊","O","？？？","","模仿、藝術欣賞","0","精靈族","3","24","似似花（夏日）","149","井口裕香","126601","??","","24"
"目標成為頂尖商人的元氣大小姐","AB","墨丘利財團","12","慈善事業","0","人族","3","12","秋乃（夏日）","157","松嵜麗","126701","45","只要跟本小姐在一起，\n就絕不會讓你煩惱錢的事情！","18"
"既純情又放心不下的成熟女性","A","墨丘利財團","12","隨意逛街","0","精靈族","3","16","優花梨（夏日）","164","今井麻美","126801","55","雖然總是讓你看到我\n沒用的那一面，但是這些\n可不會讓你之外的人看到喔？","22"
"歌唱尋求靜寂的陰沉少女","O","憤怒‧軍團","19","唱歌、看書，以及寫詩","0","魔族","12","28","蘭法（夏日）","165","原田彩楓","126901","53","","20"
"最愛妄想！其實是個害羞少女","AB","純白之翼 蘭德索爾分部","15","閱讀小說","0","人族","11","19","空花（夏日）","157","長妻樹里","127001","49","空花正在想著你的事。\n……想著你對無法抵抗的空花這樣又那樣、那樣又這樣，嘻嘻、嘻嘻嘻嘻……","18"
"擅長占卜的靈能少女","AB","惡魔偽王國軍","7","占卜","0","魔族","12","22","忍（夏日）","157","大坪由佳","127101","42","我從小就能看見\n其他人看不到的事物。現在你身後也有\n一個人、兩個人、三個人……真熱鬧呢。","18"
"倒在路旁的謎之貓耳魔法師","A","美食殿堂","1","和貓咪玩耍","0","獸人族","9","2","凱留（插班生）","152","立花理香","127201","39","怎麼慢吞吞的啦。\n真沒辦法，我來助你一臂之力吧。　給我好好感謝哦！","14"
"天真浪漫的人氣超級名模","O","月光學院","14","時尚","0","魔族","4","10","鈴奈（插班生）","167","上坂すみれ","127301","48","秀才，哈嚕～！人家對寫字和算數\n有點……不是有點，是超不擅長耶～\n不過不過，時尚流行的事就交給人家吧～！","18"
"經營育幼院的庶民派溫柔大小姐","A","咲戀育幼院","9","經營、茶會","0","精靈族","10","4","咲戀（薩拉薩利亞）","156","堀江由衣","127501","43","吝嗇？　不是的，\n我只是秉持著「不浪費」的精神\n過每一天喔！","17"
"散發人情味的帥氣「大姐頭」","B","暮光流星群","13","釣魚","0","人族","7","11","流夏（薩拉薩利亞）","167","佐藤利奈","127601","54","","25"
"認真又拼命的龍女僕（姊）","?","？？？","","與妹妹一起度過的假日","0","龍人族","2","5","琳德","145","豐田萌繪","127701","???","","12"
"不認真又倦怠的龍女僕（妹）","?","？？？","","偷懶，與姐姐一起度過的假日","0","龍人族","2","5","烏爾姆","145","關根明良","127801","???","","12"
"元氣滿點的空腹少女","O","美食殿堂","1","邊走邊吃、料理","0","人族","3","31","貪吃佩可（聖誕節）","156","M・A・O","127901","46","那、那個……你身上有帶著吃的東西嗎？\n我的肚子餓得咕嚕咕嚕叫了……","17"
"醒悟了忠義的女商人","A","里士滿工商會","18","數錢、打壞主意","0","人族","9","19","克蕾琪塔（聖誕節）","160","Lynn","128001","57","","26"
"嘴上功夫一流的廢材龍娘","AB","龍族巢穴","17","遊戲","0","龍人族","9","29","祈梨（新年）","145","藤田茜","128301","???","","13"
"為了大家使用超能力的睡美人","A","森林守衛","6","和妹妹一起玩、回籠覺、午睡、早睡","0","精靈族","12","24","初音（新年）","156","大橋彩香","128401","46","我是初音！　是遇到麻煩的人的夥伴呦！\n有困擾時，隨時都可以跟我說喔♪\n會用我的超……魔，魔法來幫忙的！","17"
"頭腦聰明的美少女名偵探","AB","哞哞自衛隊","10","讀書、推理","0","獸人族","11","3","霞（新年）","152","水瀬いのり","128501","41","","15"
"最愛幫助別人！　正向思考的格鬥少女","A","破曉之星","2","助人、打氣加油","0","獸人族","8","27","日和（星素）","155","東山奈央","128701","44","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","16"
"冷酷又率直的劍士","B","破曉之星","2","讀書、騎馬、茶","0","魔族","1","12","怜（星素）","163","早見沙織","128801","46","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","18"
"擅長支援戰鬥，心地善良的少女","O","破曉之星","2","料理、觀察人類","0","人族","4","5","優衣（星素）","158","種田梨沙","128901","47","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","17"
"在悲劇的根源盛開的美麗黑薔薇","?","？？？","","聽騎士先生說話","0","人族","2","15","厄莉絲","168","桑島法子","129001","??","","??"
"沉睡於書庫的小小賢人","O","聖德蕾莎女子學院（好朋友社）","16","讀書","0","人族","2","28","優妮（冬日）","142","小原好美","129301","36","","18"
"生長在市區的陰暗系精靈族","O","聖德蕾莎女子學院（好朋友社）","16","飛鏢","0","精靈族","8","7","克蘿依（冬日）","154","種﨑敦美","129401","42","","17"
"天生自由奔放的失禮現代小孩","O","聖德蕾莎女子學院（好朋友社）","16","跳舞、卡拉OK","0","人族","9","15","琪愛兒（冬日）","156","佐倉綾音","129501","46","","16"
