240835c7f2672b555156eadea79c46d059ca262feae2e6230ea0ea8330fc9534,398777fc22d1d929bb4e997e9d313576fd96410b5cb38237d2709d98c45f62a5,ae610bee849e1c19fab7557c9898aef6a3de383c830e1f80e325253246bbe2d2,3d176413b1ca483fe7dc4e478e09bed3f981d1b0bf544bbf0b0144e84c64072f,16cdf464c9d04c370893dda88f513a640627f97c48895fde0072645d82fede99,e9ff56e097e1b19af70d4d7cda7b6bbd6a906ca7d3f8c2f9ed3579dff1cc6146,b49540e2ca12396ae272ec6933a451a97820503a01c1840dc668093ab8b5ff7b
"125","bgm_M370","1:09","角色歌曲\n\n時間 / 01:52\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n　　　雪菲（近藤玲奈）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 東大路憲太","1:52","Mirage Game","bgm_M370"
"126","bgm_M371","0:52","角色歌曲\n\n時間 / 01:48\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","1:48","Yes！ Precious Harmony！","bgm_M371"
"127","bgm_M355_Lofi_juke","0:00","小遊戲\n-｢Heartful Place｣編曲-\n\n時間 / 00:45\n作曲 / 小野貴光\n編曲 / 澤下葵","0:45","啾啾大恐慌！　保衛起司大作戰！","bgm_M355_Lofi"
"128","bgm_M351_juke","0:00","故事劇情主題曲\n-｢Heartful Place｣編曲-\n\n時間 / 01:00\n作曲 / 小野貴光\n編曲 / 淺田美咲（Cygames）","1:00","牧場的四農士　貧窮農場奮鬥記！","bgm_M351"
"129","bgm_M354_juke","0:00","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","1:56","忍者首領半藏","bgm_M354"
"130","bgm_M379","0:46","角色歌曲\n\n時間 / 01:19\n演唱　 / 真陽（新田恵海）\n　　　鈴（小岩井ことり）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","1:19","Heartful Place","bgm_M379"
"131","bgm_M375_juke","0:00","故事劇情主題曲\n-｢童話故事就在夢中｣編曲-\n\n時間 / 00:52\n作曲 / 篠崎あやと\n編曲 / 東大路憲太","0:52","不可思議之國的璃乃 小小愛麗絲與希望的繪本","bgm_M375"
"132","bgm_M378_juke","0:00","故事劇情BOSS戰\n\n時間 / 01:21\n作曲 / 田山里奈\n編曲 / 田山里奈","1:21","暗黑之王賈巴沃克","bgm_M378"
"133","bgm_M389","0:51","角色歌曲\n\n時間 / 01:29\n演唱　 / 璃乃（阿澄佳奈）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","1:29","童話故事就在夢中","bgm_M389"
"134","bgm_M374_juke","0:00","主線冒險\n\n時間 / 01:04\n作曲 / 澤下葵\n編曲 / 澤下葵","1:04","幽靜森林","bgm_M374"
"135","bgm_M380A_juke","0:00","故事劇情主題曲\n-｢黃昏太平旅路歌｣編曲-\n\n時間 / 01:08\n作曲 / 渡部チェル\n編曲 / 中村早織(Cygames)","1:08","七夕劍客旅情譚 天際川流夏之戀","bgm_M380A"
"136","bgm_M384_juke","0:00","故事劇情BOSS戰\n\n時間 / 03:16\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","3:16","覺醒‧花心星","bgm_M384"
"137","bgm_M402","0:49","角色歌曲\n\n時間 / 01:27\n演唱　 / 流夏（佐藤利奈）\n作詞 / 絵伊子、野村イクミ（Cygames）\n作曲 / 渡部チェル\n編曲 / 渡部チェル","1:27","黃昏太平旅路之歌","bgm_M402"
"138","bgm_M393_juke","0:00","故事劇情主題曲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 00:55\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 江原大介","0:55","美里的夏日聲援！　追夢的盛夏棒球隊","bgm_M393"
"139","bgm_M397_juke","0:00","故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","2:25","海岸暴君‧鮫吉","bgm_M397"
"140","bgm_M399_juke","0:00","小遊戲\\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:15\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 長谷部翔(Cygames)","1:15","猛訓打擊道！　美里的全壘打訓練場","bgm_M399"
"141","bgm_M400_juke","0:00","小遊戲\n-｢Lost Princess｣Arrange-\n\n時間 / 01:25\n作曲 / 田中公平\n編曲 / 江原大介","1:25","目標全壘打！","bgm_M400"
"142","bgm_M401_juke","0:00","小遊戲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:05\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 中川峻彰","1:05","夏天的回憶","bgm_M401"
"143","bgm_M412","0:55","角色歌曲\n\n時間 / 01:26\n演唱　 / 美里（國府田マリ子）\n作詞 / Manami（TRYTONELABO）\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 瀧澤俊輔（TRYTONELABO）","1:26","那個夏天的記憶","bgm_M412"
"144","bgm_M392_juke","0:00","主線冒險\n\n時間 / 01:05\n作曲 / 淺田美咲(Cygames)\n編曲 / 淺田美咲(Cygames)","1:05","清澈的河水聲","bgm_M392"
"145","bgm_M403_juke","0:00","故事劇情主題曲\n-｢吶吶Please！｣Arrange-\n\n時間 / 00:55\n作曲 / 山崎真吾\n編曲 / 田山里奈","0:55","Happy‧Change‧Angels","bgm_M403"
"146","bgm_M406_juke","0:00","故事劇情BOSS戰\n\n時間 / 02:20\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","2:20","失控的純潔之弓","bgm_M406"
"147","bgm_M420","0:50","角色歌曲\n\n時間 / 01:18\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","1:18","吶吶Please！","bgm_M420"
"148","bgm_M413_juke","0:00","故事劇情主題曲\n-「Paradox」編曲-\n\n時間 / 00:55\n作曲 / 出口遼\n編曲 / 多田彰文","0:55","迴盪的尖叫！萬聖鬼怪狂歡節","bgm_M413"
"149","bgm_M416_juke","0:00","故事劇情頭目戰\n\n時間 / 02:40\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","2:40","驚叫鬼魂教父","bgm_M416"
"150","bgm_M425","0:48","角色歌曲\n\n時間 / 01:35\n演唱　 / 怜（早見沙織）\n　　　紡希（木戸衣吹）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太、出口遼","1:35","Paradox","bgm_M425"
"151","bgm_M421_juke","0:00","故事劇情主題曲\n-｢閃耀吧！Lovely★Dreamy｣編曲-\n\n時間 / 01:30\n作曲 / 睦月周平\n編曲 / 多田彰文","1:30","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","bgm_M421"
"152","bgm_M424_juke","0:00","故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 松尾早人\n編曲 / 松尾早人","2:35","反逆獸 de M","bgm_M424"
"153","bgm_M439","0:49","角色歌曲\n\n時間 / 01:27\n演唱　/ 莫妮卡（辻あゆみ）\n　　　智（茅原実里）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","1:27","閃耀吧！Lovely★Dreamy","bgm_M439"
"154","bgm_M411_juke","0:00","主線冒險\n\n時間 / 01:35\n作曲 / 関根修平（Cygames）\n編曲 / 加藤慶久（Cygames）","1:35","跨越斷崖　前進山麓","bgm_M411"
"155","bgm_M426_juke","0:00","故事劇情主題曲\n-｢Holy Passion Roses｣編曲-\n\n時間 / 01:20\n作曲 / 小野貴光\n編曲 / 田山里奈","1:20","名媛初登夢想秘境　聖誕夜的戀愛遊戲","bgm_M426"
"156","bgm_M429_juke","0:00","故事劇情Boss戰\n\n時間 / 02:30\n作曲 / 中川峻彰\n編曲 / 中川峻彰","2:30","被操控的雪人","bgm_M429"
"157","bgm_M440","0:59","角色歌曲\n\n時間 / 01:31\n演唱　 / 咲戀（堀江由衣）\n　　　秋乃（松嵜麗）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","1:31","Holy Passion Roses","bgm_M440"
"158","bgm_M435_juke","0:00","故事劇情主題曲\n-｢Brand New Sunrise｣編曲-\n\n時間 / 01:06\n作曲 / 池田健仁（Cygames）\n編曲 / 多田彰文","1:06","新春美食家公主！　賭上關鍵一擲的少女們","bgm_M435"
"159","bgm_M438_juke","0:00","故事劇情Boss戰\n\n時間 / 02:34\n作曲 / 中村博\n編曲 / 中村博","2:34","究極金槍鮪","bgm_M438"
"160","bgm_M441","0:55","角色歌曲\n\n時間 / 01:27\n演唱　 / 矛依未（潘めぐみ）\n　　　似似花（井口裕香）\n作詞 / 野村イクミ（Cygames）\n作曲 / 池田健仁（Cygames）\n編曲 / 池田健仁（Cygames）","1:27","Brand New Sunrise","bgm_M441"
"161","bgm_M442A_juke","0:00","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","1:16","無比珍貴的日常","bgm_M442A"
"162","bgm_M442B_juke","0:00","故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","1:16","離別與決意","bgm_M442B"
"163","bgm_M447_juke","0:00","故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","2:26","黑風之精靈","bgm_M447"
"164","bgm_M456","0:52","角色歌曲\n\n時間 / 01:25\n演唱　 / 可可蘿（伊藤美来）\n作詞 / 亀井博之\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 内海孝彰（TRYTONELABO）","1:25","心的思念 ～心的思念～","bgm_M456"
"165","bgm_M451_juke","0:00","故事劇情主題曲\n-｢戀愛閃亮魔法☆彡｣編曲-\n\n時間 / 00:58\n作曲 / 青柳諒、内田ましろ\n編曲 / 関根修平（Cygames）","0:58","灰姑娘課程　璀璨的日子有著蘋果的滋味","bgm_M451"
"166","bgm_M455_juke","0:00","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","1:47","魔物的公主","bgm_M455"
"167","bgm_M465","0:49","角色歌曲\n\n時間 / 01:29\n歌　 / 莉瑪（徳井青空）\n作詞 / 青柳諒、内田ましろ\n作曲 / 青柳諒、内田ましろ\n編曲 / 青柳諒","1:29","戀愛閃亮魔法☆彡","bgm_M465"
"168","bgm_M457_juke","0:00","故事劇情主題曲\n-｢無敵DREAMING｣編曲-\n\n時間 / 01:01\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 澤下葵","1:01","鋼鐵聖女與神聖學院的問題兒童","bgm_M457"
"169","bgm_M461_juke","0:00","故事劇情Boss戰\n\n時間 / 02:05\n作曲 / 中村博\n編曲 / 中村博","2:05","無名的藝術","bgm_M461"
"170","bgm_M466","0:56","角色歌曲\n\n時間 / 01:32\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種崎敦美）\n　　　優妮（小原好美）\n作詞 / しらゆき美優\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）\n　　　佐藤厚仁（Dream Monster）","1:32","無敵DREAMING","bgm_M466"
"171","bgm_M467_juke","0:00","故事劇情主題曲\n-｢Seize The Day！｣編曲-\n\n時間 / 01:10\n作曲 / 本多友紀（Arte Refact）\n編曲 / 中川峻彰","1:10","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","bgm_M467"
"172","bgm_M470_juke","0:00","故事劇情Boss戰\n\n時間 / 02:12\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","2:12","爆裂‧時間儀","bgm_M470"
"173","bgm_M485","0:52","角色歌曲\n\n時間 / 01:34\n演唱　 / 嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n　　　祈梨（藤田茜）\n作詞 / 野村イクミ（Cygames）\n作曲 / 本多友紀（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","1:34","Seize The Day！","bgm_M485"
"174","bgm_M478_Lofi_juke","0:00","故事劇情主題曲\n-｢邊緣人的朋友進行曲｣編曲-\n\n時間 / 01:46\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 下智子","1:46","心電感應！碧與玩具朋友們","bgm_M478"
"175","bgm_M481_juke","0:00","故事劇情Boss戰\n\n時間 / 02:35\n作曲 / 多田彰文\n編曲 / 多田彰文","2:35","究極機械玩具王","bgm_M481"
"176","bgm_M494","1:01","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 山本真央樹（TRYTONELABO）","1:34","邊緣人的朋友進行曲","bgm_M494"
"177","bgm_M483_E46_juke","0:00","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","1:07","於飛舞的沙塵之中","bgm_M483"
"178","bgm_M486_juke","0:00","故事劇情主題曲\n-「Only Only You」編曲-\n\n時間 / 01:57\n作曲 / ARM（IOSYS）\n編曲 / 下智子","1:57","永不完結的夏日計畫　盛夏的雙人獨佔樂園","bgm_M486"
"179","bgm_M489_juke","0:00","故事劇情Boss戰\n\n時間 / 02:29\n作曲 / 塚越廉\n編曲 / 塚越廉","2:29","暑假作業","bgm_M489"
"180","bgm_M495","0:46","角色歌曲\n\n時間 / 01:28\n歌　 / 惠理子（橋本ちなみ）\n作詞 / 夕野ヨシミ（IOSYS）\n作曲 / ARM（IOSYS）\n編曲 / ARM（IOSYS）","1:28","Only Only You","bgm_M495"
"181","bgm_M496_juke","0:00","故事劇情主題曲\n-｢Just a Moment！｣編曲-\n\n時間 / 01:09\n作曲 / 山口朗彥\n編曲 / 關根修平（Cygames）","1:09","慈樂之音的夏日演唱會　Just a moment！","bgm_M496"
"182","bgm_M499_juke","0:00","故事劇情Boss戰\n\n時間 / 01:30\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","1:30","女王歌唱水母","bgm_M499"
"183","bgm_M518","0:56","角色歌曲\n\n時間 / 01:39\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 野村イクミ（Cygames）\n作曲 / 山口朗彥\n編曲 / 山口朗彥","1:39","Just a Moment！","bgm_M518"
"184","bgm_M519","0:53","角色歌曲\n-「Shining Future」-\n\n時間 / 01:55\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","1:55","Shining Future（Battle Arrange Ver.）","bgm_M519"
"185","bgm_M508_juke","0:00","故事劇情主題曲\n-｢Narcistration♡｣編曲-\n\n時間 / 01:55\n作曲 / 錦織孝宏\n編曲 / 中村博","1:55","大江戶的非法病歷　Dr.深月的診療室","bgm_M508"
"186","bgm_M511_juke","0:00","故事劇情頭目戰\n\n時間 / 01:44\n作曲 / 松尾早人\n編曲 / 松尾早人","1:44","基古魯博士","bgm_M511"
"187","bgm_M524","1:02","角色歌曲\n\n時間 / 01:32\n歌　 / 雪（大空直美）\n作詞 / Manami（TRYTONELABO）\n作曲 / 錦織孝宏\n編曲 / 錦織孝宏","1:32","Narcistration♡","bgm_M524"
"188","bgm_M501_juke","0:00","軍團之戰\n\n時間 / 01:00\n作曲 / 長門千晴（Cygames）\n編曲 / 田山里奈","1:00","軍團之戰","bgm_M501"
"189","bgm_M504_juke","0:00","軍團之戰頭目戰\n\n時間 / 02:19\n作曲 / 中川峻彰、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 中川峻彰","2:19","VS憤怒軍團　與阿澤爾德的戰鬥","bgm_M504"
"190","bgm_M502_juke","0:00","軍團之戰頭目戰\n\n時間 / 01:23\n作曲 / 塚越廉、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 塚越廉","1:23","VS憤怒軍團　與卡里莎的戰鬥","bgm_M502"
"191","bgm_M506_juke","0:00","軍團之戰頭目戰\n\n時間 / 02:48\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","2:48","VS憤怒軍團　與贊恩的戰鬥","bgm_M506"
"192","bgm_M505_juke","0:00","軍團之戰頭目戰\n\n時間 / 01:39\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n　　　関根修平（Cygames）\n編曲 / 関根修平（Cygames）","1:39","VS憤怒軍團　與美空的戰鬥","bgm_M505"
"193","bgm_M503_juke","0:00","軍團之戰頭目戰\n\n時間 / 01:20\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","1:20","VS憤怒軍團　與蘭法的戰鬥","bgm_M503"
"194","bgm_M520_juke","0:00","故事劇情主題曲\n-｢Halloween Monster Jam ！！！｣編曲-\n\n時間 / 01:16\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 下智子","1:16","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","bgm_M520"
"195","bgm_M523_juke","0:00","故事劇情頭目戰\n\n時間 / 01:53\n作曲 / 塚越廉\n編曲 / 塚越廉","1:53","哀暴小棉花糖","bgm_M523"
"196","bgm_M525","0:54","角色歌曲\n\n時間 / 01:34\n歌　 / 香織（高森奈津美）\n　　　鈴奈（上坂すみれ）\n　　　妮諾（佐藤聡美）\n作詞 / 椎名宇伊（Cygames）\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","1:34","Halloween Monster Jam ！！！","bgm_M525"
"197","bgm_M527_juke","0:00","故事劇情主題曲\n-｢GREEDY LOVE｣編曲-\n\n時間 / 00:58\n作曲 / 設楽哲也\n編曲 / 長谷部翔（Cygames）","0:58","魔法少女外傳　黑暗魔法★三人組！","bgm_M527"
"198","bgm_M529_juke","0:00","故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 中村博\n編曲 / 中村博","2:24","反逆獸‧三重","bgm_M529"
"199","bgm_M535","1:05","角色歌曲\n\n時間 / 01:36\n歌　 / 伊緒（伊藤静）\n　　　靜流（生天目仁美）\n　　　空花（長妻樹里）\n作詞 / ミズノゲンキ\n作曲 / 設楽哲也\n編曲 / 設楽哲也","1:36","GREEDY LOVE","bgm_M535"
"200","bgm_M536_juke","0:00","故事劇情主題曲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 01:13\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 中村早織（Cygames）","1:13","聖誕布丁快樂！　飛舞的少女與飽含真心的點心","bgm_M536"
"201","bgm_M539_juke","0:00","故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","1:56","孤伶伶的聖誕夜妖精","bgm_M539"
"202","bgm_M540_juke","0:00","小遊戲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 02:05\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 關根修平（Cygames）","2:05","宮子廚房　通往究極之路","bgm_M540"
"203","bgm_M550","0:57","角色歌曲\n\n時間 / 01:37\n演唱 / 宮子（雨宮天）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 坪田修平（TRYTONELABO）","1:37","布丁‧聖‧代‧聖誕節來的！","bgm_M550"
"204","bgm_M543_juke","0:00","故事劇情主題曲\n-「Ice Wings」編曲-\n\n時間 / 01:04\n作曲 /AJURIKA\n編曲 / 畑田浩孝（Cygames）","1:04","新春美食回憶　雪菲的跑腿大作戰！","bgm_M543"
"205","bgm_M546_juke","0:00","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 塚越廉\n編曲 / 塚越廉","1:59","邪牛神哞猛","bgm_M546"
"206","bgm_M551","1:05","角色歌曲\n\n時間 / 01:36\n歌　 / 雪菲（近藤玲奈）\n作詞 / AJURIKA\n作曲 / AJURIKA\n編曲 / AJURIKA","1:36","Ice Wings","bgm_M551"
"207","bgm_M552_juke","0:00","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:25\n作曲 / 伊藤翼\n編曲 / 關根修平（Cygames）","1:25","尋找線索","bgm_M552"
"208","bgm_M553_juke","0:00","故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:10\n作曲 / 伊藤翼\n編曲 / 中町友洋","1:10","到大家所度過的世界","bgm_M553"
"209","bgm_M559_juke","0:00","故事劇情Boss戰\n\n時間 / 02:08\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","2:08","超載力量","bgm_M559"
"210","bgm_M572","0:46","角色歌曲\n\n時間 / 01:35\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n作詞 / 瀨名航\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:35","Asymmetric World","bgm_M572"
"211","bgm_M558_juke","0:00","故事劇情迷你內容\n-｢Asymmetric World｣編曲-\n\n時間 / 03:27\n作曲 / 伊藤翼\n編曲 / 中川峻彰","3:27","大家的情感","bgm_M558"
"212","bgm_M565_juke","0:00","故事劇情主題曲\n-「聽得見音樂劇嗎？」編曲-\n\n時間 / 01:43\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 下智子","1:43","Sweet Tiny Stage！ 新進女演員與小小淑女","bgm_M565"
"213","bgm_M568_juke","0:00","故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","1:47","仇鼠‧怒髮衝冠的啾二","bgm_M568"
"214","bgm_M548_Top_juke","0:00","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:02\n作曲 / 田中公平\n編曲 / 東大路憲太","1:02","Happy Anniv.特別版 蘭德索爾猜謎連結！","bgm_M548"
"215","bgm_M569_juke","0:00","小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:49\n作曲 / 田中公平\n編曲 / 中村博","1:49","Thinking Time！","bgm_M569"
"216","bgm_M573","0:55","角色歌曲\n\n時間 / 01:27\n演唱　 / 胡桃（植田佳奈）\n作詞 / 藤村鼓乃美、北川勝利（ROUND TABLE）\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 北川勝利（ROUND TABLE）","1:27","聽得見音樂劇嗎？","bgm_M573"
"217","bgm_M581","0:58","角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　雪菲（近藤玲奈）\n作詞 / 磯谷佳江\n作曲 / 中土智博\n編曲 / 中土智博","1:33","Crossing Truth","bgm_M581"
"218","bgm_M574_juke","0:00","故事劇情主題曲\n-「Secret Longing」編曲-\n\n時間 / 01:04\n作曲 / 河合泰志（Arte Refact）\n編曲 / 長谷部翔（Cygames）","1:04","交出寶物！透明怪盜雙人組","bgm_M574"
"219","bgm_M577_juke","0:00","故事劇情Boss戰\n\n時間 / 01:43\n作曲 / 中村博\n編曲 / 中村博","1:43","貪婪暴君‧賭場王","bgm_M577"
"220","bgm_M592","0:55","角色歌曲\n\n時間 / 01:31\n演唱　 / 步未（大関英里）\n作詞 / 真崎エリカ\n作曲 / 河合泰志（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","1:31","Secret Longing","bgm_M592"
"221","bgm_M582_juke","0:00","故事劇情主題曲\n-「無敵海盜」編曲-\n\n時間 / 01:36\n作曲 / 鹽原大貴\n編曲 / 下智子","1:36"," Episode of Pirate　海盜島上被詛咒的遺寶","bgm_M582"
"222","bgm_M585_juke","0:00","故事劇情Boss戰\n\n時間 / 01:53\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","1:53","受解放的寶藏守護者","bgm_M585"
"223","bgm_M593","0:47","角色歌曲\n\n時間 / 01:30\n演唱　 / 杏奈（高野麻美）\n　　　忍（大坪由佳）\n　　　霞（水瀨いのり）\n作詞 / 月丘りあ子\n作曲 / 鹽原大貴\n編曲 / 鹽原大貴","1:30","無敵海盜","bgm_M593"
"224","bgm_M571_juke","0:00","主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","1:07","莊嚴的熱沙","bgm_M571"
"225","bgm_M595_juke","0:00","故事劇情主題曲\n-｢SAN！SHINE PARTY｣編曲-\n\n時間 / 01:26\n作曲 / no_my\n編曲 / 關根修平（Cygames）","1:26","Enjoy＆Refresh！　天差地遠的女孩露營","bgm_M595"
"226","bgm_M598_juke","0:00","故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","1:59","阿斯特賴亞牛肝菌","bgm_M598"
"227","bgm_M594","0:51","角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n　　　優花梨（今井麻美）\n　　　純（川澄綾子）\n作詞 / no_my\n作曲 / no_my\n編曲 / 青柳諒","1:34","SAN！SHINE PARTY","bgm_M594"
"228","bgm_M599A_juke","0:00","主線冒險\n\n時間 / 01:18\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","1:18","出發，前往靈妙的森林深處","bgm_M599A"
"229","bgm_M601_juke","0:00","故事劇情主題曲\n-「Secret Star」編曲-\n\n時間 / 01:14\n作曲 / PandaBoY\n編曲 / 畑田浩孝（Cygames）","1:14","破曉之星的夏日遊戲　於夏海閃耀的三份心意","bgm_M601"
"230","bgm_M604_juke","0:00","故事劇情Boss戰\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","2:31","海將海馬指揮官","bgm_M604"
"231","bgm_M606","0:43","角色歌曲\n\n時間 / 01:30\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","1:30","Secret Star","bgm_M606"
"232","bgm_M605_juke","0:00","小遊戲\n-｢Secret Star｣編曲-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","1:42","飛奔吧常夏！極限沙灘搶旗","bgm_M605"
"233","bgm_M608_juke","0:00","故事劇情主題曲\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","1:08","小小夏日回憶錄　在海邊發現的小小幸福","bgm_M608"
"234","bgm_M611_juke","0:00","故事劇情Boss戰\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","3:10","月光之門","bgm_M611"
"235","bgm_M607","0:48","角色歌曲\n\n時間 / 01:31\n演唱 / 鏡華（小倉唯）\n　　　禊(諸星すみれ)\n　　　美美（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","1:31","滿心期待SUMMER TIME！","bgm_M607"
"236","bgm_M612_juke","0:00","故事劇情迷你內容\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","2:40","小繆快快長大日記","bgm_M612"
