bf5956116eb0ca063abba2680b46cd03e56287027f91a181e0f5ba313595254d,901ca49cc723ac46e4e255c0685d34a73ae71fe90d4c11687de4c1825c9d9e92,596030aa460abc26b38729598ebf435aefb0008501dc899e94e211765176088a,81402571c24e7b0d91d6371f153a56dc9691078442e4d05d974e7ffe11f3f4b7,bcb618cccd42068a6522219214f6da5b8d4cc7c5e3963af13499f746b2cc8a70,0879b8419fa959790d0a74c28f268a2028f773ae908790c381a265b49a08b077,804e98d80f07d15b823b29513749f11104962a2213b0ebb59ee9e6aba1f56e18,2567b0bbee13300e1fd705949dbf532e52ef5e17394d5e659832183269562ac8,c7959de53e8345f239a4910ac81155741972dba9992f6c5eceb74ce83512865f,07f9bf27f74fec26d28389b1e8cf80d14b2518fec5775643e800ae36514a6851,8932594d9365895349bbb0085fb61d4574c06ebff25fce852d7066e5bfb9ddbd
"03_uek_36_suzume_loop","102531","1360004","03_uek_36_suzume","3","0","1","","36","0","0"
"03_uek_36_saren_loop","102831","1360005","03_uek_36_saren","3","0","1","","36","0","0"
"","0","1360006","","91","","","","36","",""
"0","102531","1360007","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","11","","0","","36","","10"
"","0","1360008","","91","","","","36","",""
"0","102831","1360009","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","11","","0","","36","","10"
"-118","1","1370001","112531","1","0","-22","01_uek_cmn_idol_def_N","37","1.3","100"
"0","1","1370002","112431","1","0","0","01_uek_cmn_idol_def_N","37","1.3","100"
"179","1","1370003","112631","1","1","0","01_uek_27_tamaki_loop","37","1.3","100"
"","112631","1370004","01_uek_27_tamaki_loop","3","","0","","37","","0"
"","0","1370005","","91","","","","37","",""
"","112631","1370006","01_uek_27_tamaki_loop","3","","0","","37","","0"
"","0","1370007","","91","","","","37","",""
"","112631","1370008","01_uek_27_tamaki_loop","3","","0","","37","","0"
"","0","1370009","","91","","","","37","",""
"","112631","1370010","01_uek_cmn_pose06","3","","0","","37","0.5","1"
"0","112631","1370011","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","11","","0","","37","","10"
"","0","1370012","","91","","","","37","",""
"01_uek_35_rei_loop","112531","1370013","01_uek_35_rei","3","","1","","37","","0"
"0","112531","1370014","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","11","","0","","37","","10"
"","0","1370015","","91","","","","37","",""
"","112631","1370016","01_uek_cmn_idol_def_N","3","","0","","37","0.2","1"
"01_uek_16_uduki_loop","112431","1370017","01_uek_37_uduki","3","","1","","37","","0"
"0","112431","1370018","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","11","","0","","37","","10"
"","0","1370019","","91","","","","37","",""
"30","101","11010001","14","31","","1","","101","1","0"
"150","111","11110001","11","31","","1","","111","1","0"
"150","112","11120001","12","31","","1","","112","1","0"
"125","113","11130001","13","31","","1","","113","1","0"
