1741db1c718e9f96f899653f7bbba67ff901930f0b55a275a13c57a7991b8cd0,543b771a2feee9d8f4ca180116228963fbdbd4b05e29f22acb3e619317379700,1fa85ae63e4cd8a7209cb53e64f2890fa8eff27986502d8ec6a898f9a4410e27,91d1d5d452876a4643d3bfbc42d939d2f899beded6a2a3d3eae96d6ea9626199,43a3bd1ef32704547b108e65362acb72d2d2fc2413cd2a375f2a3b17c69e8f39,99d497db48a7236c9f6d7993c3732905f00403713cda7e57f5495300e9a89a5e,66fc924fcdd8ca98f61f49600f6c7df26e62710aed45266eeead5bbc50ba352d,6184c2a753557e831fadef38606b911b7528aa69ba928e5a8952f883cacf0e3d,de8ab571e004254d814da6410f188f5d59a09ddd1c46cf453414c60611ec5541,ec8630e00e0317fc09b233f09e8d3d5192656a859e8c3e24d2887c27dc8290fd,7f10cf02c2888d6fce412ffdd42eb82b36cf5a762952ddc7d617d402dfd39c06
"","想在米粒上畫圖。","1009804","","1009804067","1009804064","0","","","","103"
"","想做大玩具。","1009804","","1009804091","1009804065","0","","","","103"
"","想做布偶。","1009804","","1009804114","1009804066","0","","","","103"
"0.2","102011","1009804","0","lsv_choice","1009804067","0","1","","lsv_idle_normal","3"
"0.2","103611","1009804","0","lsv_choice","1009804068","0","1","","lsv_idle_normal","3"
"0.2","100411","1009804","0","lsv_choice","1009804069","0","1","","lsv_idle_normal","3"
"","0.1","1009804","","0","1009804070","","","","","93"
"0.2","102011","1009804","","-200","1009804071","-235","2","","0.33","2"
"0.2","103611","1009804","","100","1009804072","-220","2","","0.33","2"
"0.2","100411","1009804","","270","1009804073","-250","2","","0.33","2"
"","0.7","1009804","","0","1009804074","","","","","93"
"","102011","1009804","0.2","lsv_talk_surprise_R2","1009804075","1","","","","3"
"","vo_lsv","1009804","","vo_lsv_0427","1009804076","0","","","0","21"
"0","102011","1009804","0","咦咦？畫在那麼小的東西上？\n哥哥好厲害～！","1009804077","10","1","0","1","11"
"","0","1009804","","","1009804078","","","","","91"
"","102011","1009804","0.2","lsv_idle_normal_joyR","1009804079","1","","","","3"
"0.2","103611","1009804","0","lsv_talk_arm_crossed_joy","1009804080","0","1","","lsv_talk_arm_crossed_loop_joy","3"
"","vo_lsv","1009804","","vo_lsv_0428","1009804081","0","","","0","21"
"0","103611","1009804","0","這需要巧手，\n以及高度的集中力吧……\n這正是職人的技術啊。","1009804082","10","1","0","1","11"
"","0","1009804","","","1009804083","","","","","91"
"","103611","1009804","0.2","lsv_idle_arm_crossed","1009804084","1","","","","3"
"","100411","1009804","0.2","lsv_talk_bitter","1009804085","1","","","","3"
"","vo_lsv","1009804","","vo_lsv_0429","1009804086","0","","","0","21"
"0","100411","1009804","0","光想就覺得\n對禊來說太難了～\n……所以禊幫忙加油就好了♪","1009804087","10","1","0","1","11"
"","0","1009804","","","1009804088","","","","","91"
"","100411","1009804","0.2","lsv_idle_bitter","1009804089","1","","","","3"
"","1009804137","1009804","","","1009804090","","","","","101"
"0.2","102011","1009804","0","lsv_choice","1009804091","0","1","","lsv_idle_normal","3"
"0.2","103611","1009804","0","lsv_choice","1009804092","0","1","","lsv_idle_normal","3"
"0.2","100411","1009804","0","lsv_choice","1009804093","0","1","","lsv_idle_normal","3"
"","0.1","1009804","","0","1009804094","","","","","93"
"0.2","102011","1009804","","-200","1009804095","-235","2","","0.33","2"
"0.2","103611","1009804","","100","1009804096","-220","2","","0.33","2"
"0.2","100411","1009804","","270","1009804097","-250","2","","0.33","2"
"","0.7","1009804","","0","1009804098","","","","","93"
"0.2","100411","1009804","0","lsv_exactly_joy_in","1009804099","0","1","","lsv_exactly_joy_loop","3"
"","vo_lsv","1009804","","vo_lsv_0430","1009804100","0","","","0","21"
"0","100411","1009804","0","這個好！很好！\n哥哥真懂──！\n這種事很浪漫吧！","1009804101","10","1","0","1","11"
"","0","1009804","","","1009804102","","","","","91"
"","100411","1009804","0.2","lsv_idle_wish_joy","1009804103","1","","","","3"
"","103611","1009804","0.2","lsv_talk_thinking_anger","1009804104","1","","","","3"
"","vo_lsv","1009804","","vo_lsv_0431","1009804105","0","","","0","21"
"0","103611","1009804","0","禊好像很喜歡呢。\n……不過大\n是多大呢？","1009804106","10","1","0","1","11"
"","0","1009804","","","1009804107","","","","","91"
"","103611","1009804","0.2","lsv_idle_thinking_anger","1009804108","1","","","","3"
"","102011","1009804","0.2","lsv_talk_memory_dere2","1009804109","1","","","","3"
"","vo_lsv","1009804","","vo_lsv_0432","1009804110","0","","","0","21"
"0","102011","1009804","0","唔嗯……\n或許比城堡還要大！\n很酷呢～♪","1009804111","10","1","0","1","11"
"","0","1009804","","","1009804112","","","","","91"
"","1009804137","1009804","","","1009804113","","","","","101"
"0.2","102011","1009804","0","lsv_choice","1009804114","0","1","","lsv_idle_normal","3"
"0.2","103611","1009804","0","lsv_choice","1009804115","0","1","","lsv_idle_normal","3"
"0.2","100411","1009804","0","lsv_choice","1009804116","0","1","","lsv_idle_normal","3"
"","0.1","1009804","","0","1009804117","","","","","93"
"0.2","102011","1009804","","-200","1009804118","-235","2","","0.33","2"
"0.2","103611","1009804","","100","1009804119","-220","2","","0.33","2"
"0.2","100411","1009804","","270","1009804120","-250","2","","0.33","2"
"","0.7","1009804","","0","1009804121","","","","","93"
"0.2","103611","1009804","0","lsv_talk_arm_crossed_joy","1009804122","0","1","","lsv_talk_arm_crossed_loop_joy","3"
"","vo_lsv","1009804","","vo_lsv_0433","1009804123","0","","","0","21"
"0","103611","1009804","0","……\n這想法不錯呢。","1009804124","10","1","0","1","11"
"","0","1009804","","","1009804125","","","","","91"
"","103611","1009804","0.2","lsv_idle_arm_crossed_joy","1009804126","1","","","","3"
"0.2","100411","1009804","0","lsv_surprise","1009804127","0","1","","lsv_talk_surprise","3"
"","vo_lsv","1009804","","vo_lsv_0434","1009804128","0","","","0","21"
"0","100411","1009804","0","鏡華好像很同意！？\n嗯，但是可以理解\n布偶哪裡好啦──","1009804129","10","1","0","1","11"
"","0","1009804","","","1009804130","","","","","91"
"","100411","1009804","0.2","lsv_idle_surprise","1009804131","1","","","","3"
"","102011","1009804","0.2","lsv_talk_joy3","1009804132","1","","","","3"
"","vo_lsv","1009804","","vo_lsv_0435","1009804133","0","","","0","21"
"0","102011","1009804","0","那大家現在\n就來做嘛～\n做很可愛的布偶♪","1009804134","10","1","0","1","11"
"","0","1009804","","","1009804135","","","","","91"
"","1009804137","1009804","","","1009804136","","","","","101"
"","0","1009804","","","1009804137","","","","","91"
"","","1009804","","","1009804138","","","","","102"
"","0","1009804","","0.2","1009804139","","","","","22"
"","0.2","1009804","","","1009804140","","","","","93"
"0","102011","1009804","0","8","1009804141","1","0","0","0","12"
"","102011","1009804","0.2","lsv_talk_guts2_joy_loop","1009804142","1","","","","3"
"","3","1009804","","0","1009804143","","","","","93"
"","102011","1009804","0.2","lsv_idle_normal_joyR","1009804144","1","","","","3"
"0","103611","1009804","0","7","1009804145","1","0","0","0","12"
"","103611","1009804","0.2","lsv_talk_surprise_kira","1009804146","1","","","","3"
"","3","1009804","","0","1009804147","","","","","93"
"","103611","1009804","0.2","lsv_idle_joy","1009804148","1","","","","3"
"0","100411","1009804","0","2","1009804149","1","0","0","0","12"
"0.2","100411","1009804","0","lsv_talk_cool_bitter","1009804150","0","1","","lsv_talk_cool_bitter_loop","3"
"","3","1009804","","0","1009804151","","","","","93"
"","100411","1009804","0.2","lsv_idle_cool","1009804152","1","","","","3"
"","1009804141","1009804","","","1009804153","","","","","101"
"0","333","1009804","1","1","1009804154","1","0","","1","6"
"","102011","1009804","","1","1009804155","","","","","4"
"","102011","1009804","0.2","lsv_run","1009804156","1","","","","3"
"","102011","1009804","","-750","1009804157","-235","0","","0.8","2"
"","103611","1009804","","0","1009804158","","","","","4"
"","103611","1009804","0.2","lsv_run","1009804159","1","","","","3"
"","103611","1009804","","750","1009804160","-220","0","","0.8","2"
"","100411","1009804","","0","1009804161","","","","","4"
"","100411","1009804","0.2","lsv_run","1009804162","1","","","","3"
"","100411","1009804","","850","1009804163","-250","0","","0.8","2"
"","0.6","1009804","","","1009804164","","","","","93"
"0","102011","1009804","0.2","1","1009804165","1","0","","1","6"
"0","103611","1009804","0.2","1","1009804166","1","0","","1","6"
"0","100411","1009804","0.2","1","1009804167","1","0","","1","6"
"","0","1009804","","","1009804168","","","","","91"
"0","1","1009805","1.95","100411","1009805001","102","-235","lsv_idle_normal","-650","1"
"1","1","1009805","1.95","102011","1009805002","100","-220","lsv_idle_normal","650","1"
"1","1","1009805","1.95","103611","1009805003","101","-250","lsv_idle_normal","750","1"
"0","1","1009805","1","333","1009805004","0","0","lsv_white_loop","0","5"
"0","333","1009805","0","1","1009805005","1","0","","1","6"
"0","100411","1009805","0","1","1009805006","1","0","","1","6"
"0","102011","1009805","0","1","1009805007","1","0","","1","6"
"0","103611","1009805","0","1","1009805008","1","0","","1","6"
"","1","1009805","","0","1009805009","","","","","93"
"0","333","1009805","0.8","1","1009805010","1","0.4","","1","6"
"","100411","1009805","0.2","lsv_run","1009805011","1","","","","3"
"","100411","1009805","","-200","1009805012","-235","0","","1","2"
"0","100411","1009805","0.4","1","1009805013","1","1","","1","6"
"","102011","1009805","0.2","lsv_walk_surprise","1009805014","1","","","","3"
"","102011","1009805","","100","1009805015","-220","0","","2","2"
"0","102011","1009805","0.4","1","1009805016","1","1","","1","6"
"","103611","1009805","0.2","lsv_walk_surprise","1009805017","1","","","","3"
"","103611","1009805","","270","1009805018","-250","0","","2","2"
"0","103611","1009805","0.4","1","1009805019","1","1","","1","6"
"","1","1009805","","0","1009805020","","","","","93"
"","100411","1009805","0.2","lsv_idle_joy_normal","1009805021","1","","","","3"
"","1","1009805","","0","1009805022","","","","","93"
"","102011","1009805","0.2","lsv_idle_normal","1009805023","1","","","","3"
"","103611","1009805","0.2","lsv_idle_normal","1009805024","1","","","","3"
"","0.6","1009805","","0","1009805025","","","","","93"
"0.2","100411","1009805","0","lsv_talk_guts1","1009805026","0","1","","lsv_talk_guts1_loop","3"
"","vo_lsv","1009805","","vo_lsv_0521","1009805027","0","","","0","21"
"0","100411","1009805","0","來發表設置誘餌的成果──！\n結果是……？","1009805028","10","1","0","1","11"
"","0","1009805","","","1009805029","","","","","91"
"","100411","1009805","0.2","lsv_talk_anger_dead","1009805030","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0522","1009805031","0","","","0","21"
"0","100411","1009805","0","一隻也沒抓到！\n沮喪！","1009805032","10","1","0","1","11"
"","0","1009805","","","1009805033","","","","","91"
"","100411","1009805","0.2","lsv_idle_anger1","1009805034","1","","","","3"
"","102011","1009805","0.2","lsv_talk_normal_sad","1009805035","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0523","1009805036","0","","","0","21"
"0","102011","1009805","0","好可惜喔～\n果然是因為誘餌數量\n太少了嗎？","1009805037","10","1","0","1","11"
"","0","1009805","","","1009805038","","","","","91"
"","102011","1009805","0.2","lsv_idle_normal","1009805039","1","","","","3"
"","103611","1009805","0.2","lsv_talk_joy1_sad","1009805040","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0524","1009805041","0","","","0","21"
"0","103611","1009805","0","不過，抓到獨角仙後，\n要拿來做什麼啊？","1009805042","10","1","0","1","11"
"","0","1009805","","","1009805043","","","","","91"
"","103611","1009805","0.2","lsv_idle_normal","1009805044","1","","","","3"
"0.2","100411","1009805","0","lsv_talk_arm_crossed_anger","1009805045","0","1","","lsv_talk_arm_crossed_loop_anger","3"
"","vo_lsv","1009805","","vo_lsv_0525","1009805046","0","","","0","21"
"0","100411","1009805","0","哼、哼、哼……！\n那當然是！\n……沒想過這問題呢──","1009805047","10","1","0","1","11"
"","0","1009805","","","1009805048","","","","","91"
"","100411","1009805","0.2","lsv_idle_arm_crossed_anger","1009805049","1","","","","3"
"","102011","1009805","0.2","lsv_idle_bitter","1009805050","1","","","","3"
"","103611","1009805","0.2","lsv_talk_tsun_sad","1009805051","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0526","1009805052","0","","","0","21"
"0","103611","1009805","0","咦咦？\n因為禊說是為了自由研究，\n我才奉陪的耶……！","1009805053","10","1","0","1","11"
"","0","1009805","","","1009805054","","","","","91"
"","103611","1009805","0.2","lsv_idle_wish_sad","1009805055","1","","","","3"
"","100411","1009805","0.2","lsv_talk_cool_bitter_loop","1009805056","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0527","1009805057","0","","","0","21"
"0","100411","1009805","0","啊、啊哈哈哈──\n……順便問一下，\n哥哥會想拿來做什麼呢？","1009805058","10","1","0","1","11"
"","0","1009805","","","1009805059","","","","","91"
"","100411","1009805","0.2","lsv_idle_cool","1009805060","1","","","","3"
"0.2","100411","1009805","0","lsv_choice","1009805061","0","1","","lsv_look_idle_normal","3"
"0.2","102011","1009805","0","lsv_choice","1009805062","0","1","","lsv_look_idle_normal","3"
"0.2","103611","1009805","0","lsv_choice","1009805063","0","1","","lsv_look_idle_normal","3"
"","0.1","1009805","","0","1009805064","","","","","93"
"0.2","100411","1009805","","-452","1009805065","-235","2","","0.33","2"
"0.2","102011","1009805","","420","1009805066","-220","2","","0.33","2"
"0.2","103611","1009805","","545","1009805067","-250","2","","0.33","2"
"","0","1009805","0.2","0","1009805068","1","","","","22"
"","鬥獨角仙！","1009805","","1009805072","1009805069","0","","","","103"
"","寫觀察日記。","1009805","","1009805103","1009805070","0","","","","103"
"","抓它們就是一種浪漫。","1009805","","1009805127","1009805071","0","","","","103"
"0.2","100411","1009805","0","lsv_choice","1009805072","0","1","","lsv_idle_normal","3"
"0.2","102011","1009805","0","lsv_choice","1009805073","0","1","","lsv_idle_normal","3"
"0.2","103611","1009805","0","lsv_choice","1009805074","0","1","","lsv_idle_normal","3"
"","0.1","1009805","","0","1009805075","","","","","93"
"0.2","100411","1009805","","-200","1009805076","-235","2","","0.33","2"
"0.2","102011","1009805","","100","1009805077","-220","2","","0.33","2"
"0.2","103611","1009805","","270","1009805078","-250","2","","0.33","2"
"","0.7","1009805","","0","1009805079","","","","","93"
"0.2","100411","1009805","0","lsv_exactly_joy_in","1009805080","0","1","","lsv_exactly_joy_loop","3"
"","103611","1009805","0.2","lsv_idle_normal","1009805081","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0528","1009805082","0","","","0","21"
"0","100411","1009805","0","說到獨角仙，\n果然就是這個呢！","1009805083","10","1","0","1","11"
"","0","1009805","","","1009805084","","","","","91"
"","100411","1009805","0.2","lsv_idle_joy","1009805085","1","","","","3"
"","103611","1009805","0.2","lsv_talk_thinking_anger","1009805086","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0529","1009805087","0","","","0","21"
"0","103611","1009805","0","唔嗯……\n調查獨角仙有多強，\n或許能當自由研究的題目……？","1009805088","10","1","0","1","11"
"","0","1009805","","","1009805089","","","","","91"
"","103611","1009805","0.2","lsv_idle_sad_normal","1009805090","1","","","","3"
"","102011","1009805","0.2","lsv_talk_joy1_normal","1009805091","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0530","1009805092","0","","","0","21"
"0","102011","1009805","0","不過，可不能讓它們\n做太過分的戰鬥喔？\n跟美美約好囉。","1009805093","10","1","0","1","11"
"","0","1009805","","","1009805094","","","","","91"
"","102011","1009805","0.2","lsv_idle_normal_joyR","1009805095","1","","","","3"
"0.2","103611","1009805","0","lsv_handsup_joy2","1009805096","0","1","","lsv_idle_normal","3"
"0.2","100411","1009805","0","lsv_handsup_joy","1009805097","0","1","","lsv_idle_joy","3"
"","vo_lsv","1009805","","vo_lsv_0531","1009805098","0","","","0","21"
"0","103611","1009805","0","好──！","1009805099","10","1","0","1","11"
"0","100411","1009805","0","好──！","1009805100","10","1","0","1","11"
"","0","1009805","","","1009805101","","","","","91"
"","1009805152","1009805","","","1009805102","","","","","101"
"0.2","100411","1009805","0","lsv_choice","1009805103","0","1","","lsv_idle_normal","3"
"0.2","102011","1009805","0","lsv_choice","1009805104","0","1","","lsv_idle_normal","3"
"0.2","103611","1009805","0","lsv_choice","1009805105","0","1","","lsv_idle_normal","3"
"","0.1","1009805","","0","1009805106","","","","","93"
"0.2","100411","1009805","","-200","1009805107","-235","2","","0.33","2"
"0.2","102011","1009805","","100","1009805108","-220","2","","0.33","2"
"0.2","103611","1009805","","270","1009805109","-250","2","","0.33","2"
"","0.7","1009805","","0","1009805110","","","","","93"
"0.2","103611","1009805","0","lsv_talk_arm_crossed_joy","1009805111","0","1","","lsv_talk_arm_crossed_loop_joy","3"
"","vo_lsv","1009805","","vo_lsv_0532","1009805112","0","","","0","21"
"0","103611","1009805","0","這我能理解。\n因為若是仔細觀察，\n自然而然就會學到東西啊。","1009805113","10","1","0","1","11"
"","0","1009805","","","1009805114","","","","","91"
"","103611","1009805","0.2","lsv_idle_arm_crossed_joy","1009805115","1","","","","3"
"","102011","1009805","0.2","lsv_talk_joy3_blink","1009805116","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0533","1009805117","0","","","0","21"
"0","102011","1009805","0","我們去海邊時\n也有進行觀察吧。\n很開心呢～♪","1009805118","10","1","0","1","11"
"","0","1009805","","","1009805119","","","","","91"
"","102011","1009805","0.2","lsv_idle_normal_joyR","1009805120","1","","","","3"
"0.2","100411","1009805","0","lsv_talk_guts2_anger","1009805121","0","1","","lsv_talk_guts2_anger_loop","3"
"","vo_lsv","1009805","","vo_lsv_0534","1009805122","0","","","0","21"
"0","100411","1009805","0","這樣啊，那禊應該做得到！\n好──來寫觀察日記囉──！\n目標：稱霸所有獨角仙！","1009805123","10","1","0","1","11"
"","0","1009805","","","1009805124","","","","","91"
"","100411","1009805","0.2","lsv_idle_guts2_joy","1009805125","1","","","","3"
"","1009805152","1009805","","","1009805126","","","","","101"
"0.2","100411","1009805","0","lsv_choice","1009805127","0","1","","lsv_idle_normal","3"
"0.2","102011","1009805","0","lsv_choice","1009805128","0","1","","lsv_idle_normal","3"
"0.2","103611","1009805","0","lsv_choice","1009805129","0","1","","lsv_idle_normal","3"
"","0.1","1009805","","0","1009805130","","","","","93"
"0.2","100411","1009805","","-200","1009805131","-235","2","","0.33","2"
"0.2","102011","1009805","","100","1009805132","-220","2","","0.33","2"
"0.2","103611","1009805","","270","1009805133","-250","2","","0.33","2"
"","0.7","1009805","","0","1009805134","","","","","93"
"","102011","1009805","0.2","lsv_talk_surprise","1009805135","1","","","","3"
"","103611","1009805","0.2","lsv_idle_normal","1009805136","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0535","1009805137","0","","","0","21"
"0","102011","1009805","0","只要抓到就好了啊～？\n禊也是這樣覺得嗎？","1009805138","10","1","0","1","11"
"","0","1009805","","","1009805139","","","","","91"
"","102011","1009805","0.2","lsv_idle_surprise","1009805140","1","","","","3"
"0.2","100411","1009805","0","lsv_talk_arm_crossed_anger","1009805141","0","1","","lsv_talk_arm_crossed_loop_anger","3"
"","vo_lsv","1009805","","vo_lsv_0536","1009805142","0","","","0","21"
"0","100411","1009805","0","……哼，真有眼光。\n這樣才像\n禊的哥哥嘛。","1009805143","10","1","0","1","11"
"","0","1009805","","","1009805144","","","","","91"
"","100411","1009805","0.2","lsv_idle_arm_crossed_anger","1009805145","1","","","","3"
"","103611","1009805","0.2","lsv_talk_thinking_anger","1009805146","1","","","","3"
"","vo_lsv","1009805","","vo_lsv_0537","1009805147","0","","","0","21"
"0","103611","1009805","0","有種意氣相投的感覺……！\n……浪漫也能作為\n自由研究的主題嗎？","1009805148","10","1","0","1","11"
"","0","1009805","","","1009805149","","","","","91"
"","103611","1009805","0.2","lsv_idle_thinking_anger","1009805150","1","","","","3"
"","1009805152","1009805","","","1009805151","","","","","101"
"","0","1009805","","","1009805152","","","","","91"
"","","1009805","","","1009805153","","","","","102"
"","0","1009805","","0.2","1009805154","","","","","22"
"","0.2","1009805","","","1009805155","","","","","93"
"0","100411","1009805","0","7","1009805156","1","0","0","0","12"
"0.2","100411","1009805","0","lsv_surprise3_kira","1009805157","0","1","","lsv_surprise3_kira_loop","3"
"","3","1009805","","0","1009805158","","","","","93"
"","100411","1009805","0.2","lsv_idle_cool","1009805159","1","","","","3"
"0","103611","1009805","0","11","1009805160","1","0","0","0","12"
"0.2","103611","1009805","0","lsv_talk_guts1","1009805161","0","1","","lsv_talk_guts1_loop","3"
"","3","1009805","","0","1009805162","","","","","93"
"","103611","1009805","0.2","lsv_idle_joy","1009805163","1","","","","3"
"0","102011","1009805","0","5","1009805164","1","0","0","0","12"
"","102011","1009805","0.2","lsv_talk_wish_surprise","1009805165","1","","","","3"
"","3","1009805","","0","1009805166","","","","","93"
"","102011","1009805","0.2","lsv_idle_normal_joyR","1009805167","1","","","","3"
"","1009805156","1009805","","","1009805168","","","","","101"
"0","333","1009805","1","1","1009805169","1","0","","1","6"
"","100411","1009805","","1","1009805170","","","","","4"
"","100411","1009805","0.2","lsv_run","1009805171","1","","","","3"
"","100411","1009805","","-750","1009805172","-235","0","","0.8","2"
"","102011","1009805","","0","1009805173","","","","","4"
"","102011","1009805","0.2","lsv_run","1009805174","1","","","","3"
"","102011","1009805","","750","1009805175","-220","0","","0.8","2"
"","103611","1009805","","0","1009805176","","","","","4"
"","103611","1009805","0.2","lsv_run","1009805177","1","","","","3"
"","103611","1009805","","850","1009805178","-250","0","","0.8","2"
"","0.6","1009805","","","1009805179","","","","","93"
"0","100411","1009805","0.2","1","1009805180","1","0","","1","6"
"0","102011","1009805","0.2","1","1009805181","1","0","","1","6"
"0","103611","1009805","0.2","1","1009805182","1","0","","1","6"
"","0","1009805","","","1009805183","","","","","91"
"0","1","1009806","1.95","122711","1009806001","102","-495","lsv_idle_normal","-200","1"
"1","1","1009806","1.95","122911","1009806002","100","-480","lsv_idle_normal","100","1"
"1","1","1009806","1.95","122811","1009806003","101","-510","lsv_idle_normal","270","1"
"0","1","1009806","1","333","1009806004","0","0","lsv_white_loop","0","5"
"0","333","1009806","0","1","1009806005","1","0","","1","6"
"0","122711","1009806","0","1","1009806006","1","0","","1","6"
"0","122911","1009806","0","1","1009806007","1","0","","1","6"
"0","122811","1009806","0","1","1009806008","1","0","","1","6"
"","1","1009806","","0","1009806009","","","","","93"
"0","333","1009806","0.8","1","1009806010","1","0.4","","1","6"
"0.2","122711","1009806","0.2","lsv_jump2","1009806011","0","1","","lsv_idle_normal","3"
"0.2","122911","1009806","0.2","lsv_jump2","1009806012","0","1","","lsv_idle_normal","3"
"0.2","122811","1009806","0.2","lsv_jump2","1009806013","0","1","","lsv_idle_normal","3"
"","0.3","1009806","","","1009806014","","","","","93"
"","122711","1009806","","-200","1009806015","-235","0","","0.75","2"
"","122911","1009806","","100","1009806016","-220","0","","0.75","2"
"","122811","1009806","","270","1009806017","-250","0","","0.75","2"
"0","122711","1009806","0.4","1","1009806018","1","1","","1","6"
"0","122911","1009806","0.4","1","1009806019","1","1","","1","6"
"0","122811","1009806","0.4","1","1009806020","1","1","","1","6"
"0","122711","1009806","0","6","1009806021","0.2","","","0","12"
"0","122911","1009806","0","6","1009806022","0.2","","","0","12"
"0","122811","1009806","0","6","1009806023","0.2","","","0","12"
"","2","1009806","","0","1009806024","","","","","93"
"","122711","1009806","0.2","lsv_talk_normal","1009806025","1","","","","3"
"","vo_lsv","1009806","","vo_lsv_0621","1009806026","0","","","0","21"
"0","122711","1009806","0","雖然去海邊很棒，\n但在泳池玩也很開心呢。","1009806027","10","1","0","1","11"
"","0","1009806","","","1009806028","","","","","91"
"","122711","1009806","0.2","lsv_idle_normal","1009806029","1","","","","3"
"0.2","122811","1009806","0","lsv_agree1","1009806030","0","1","","lsv_idle_normal","3"
"0.2","122911","1009806","0","lsv_agree2","1009806031","0","1","","lsv_idle_normal_joyR","3"
"","vo_lsv","1009806","","vo_lsv_0622","1009806032","0","","","0","21"
"0","122811","1009806","0","對呀──♪","1009806033","10","1","0","1","11"
"0","122911","1009806","0","對呀──♪","1009806034","10","1","0","1","11"
"","0","1009806","","","1009806035","","","","","91"
"0.2","122711","1009806","0","lsv_talk_arm_crossed_joy","1009806036","0","1","","lsv_talk_arm_crossed_loop_joy","3"
"","vo_lsv","1009806","","vo_lsv_0623","1009806037","0","","","0","21"
"0","122711","1009806","0","既沒有危險性，\n而且也變涼爽了。\n這種程度剛剛好呢。","1009806038","10","1","0","1","11"
"","0","1009806","","","1009806039","","","","","91"
"","122711","1009806","0.2","lsv_idle_arm_crossed_joy","1009806040","1","","","","3"
"","122911","1009806","0.2","lsv_talk_wish_joy","1009806041","1","","","","3"
"","vo_lsv","1009806","","vo_lsv_0624","1009806042","0","","","0","21"
"0","122911","1009806","0","鏡華\n最喜歡泳池了呢～♪","1009806043","10","1","0","1","11"
"","0","1009806","","","1009806044","","","","","91"
"","122911","1009806","0.2","lsv_idle_wish_joy","1009806045","1","","","","3"
"0.2","122811","1009806","0","lsv_talk_cool_normal2","1009806046","0","1","","lsv_talk_cool_normal2_loop","3"
"","vo_lsv","1009806","","vo_lsv_0625","1009806047","0","","","0","21"
"0","122811","1009806","0","下次去大泳池裡\n盡情地游泳也不錯呢！\n那麼，游完泳後……","1009806048","10","1","0","1","11"
"","0","1009806","","","1009806049","","","","","91"
"","122811","1009806","0.2","lsv_idle_cool","1009806050","1","","","","3"
"0.2","122711","1009806","0","lsv_choice","1009806051","0","1","","lsv_look_idle_normal","3"
"0.2","122911","1009806","0","lsv_choice","1009806052","0","1","","lsv_look_idle_normal","3"
"0.2","122811","1009806","0","lsv_choice","1009806053","0","1","","lsv_look_idle_normal","3"
"","0.1","1009806","","0","1009806054","","","","","93"
"0.2","122711","1009806","","-452","1009806055","-235","2","","0.33","2"
"0.2","122911","1009806","","420","1009806056","-220","2","","0.33","2"
"0.2","122811","1009806","","545","1009806057","-250","2","","0.33","2"
"","0","1009806","0.2","0","1009806058","1","","","","22"
"","就來吃冰淇淋吧。","1009806","","1009806062","1009806059","0","","","","103"
"","就來吃炒麵吧。","1009806","","1009806086","1009806060","0","","","","103"
"","就來喝彈珠汽水吧。","1009806","","1009806109","1009806061","0","","","","103"
"0.2","122711","1009806","0","lsv_choice","1009806062","0","1","","lsv_idle_normal","3"
"0.2","122911","1009806","0","lsv_choice","1009806063","0","1","","lsv_idle_normal","3"
"0.2","122811","1009806","0","lsv_choice","1009806064","0","1","","lsv_idle_normal","3"
"","0.1","1009806","","0","1009806065","","","","","93"
"0.2","122711","1009806","","-200","1009806066","-235","2","","0.33","2"
"0.2","122911","1009806","","100","1009806067","-220","2","","0.33","2"
"0.2","122811","1009806","","270","1009806068","-250","2","","0.33","2"
"","0.7","1009806","","0","1009806069","","","","","93"
"","122711","1009806","0.2","lsv_talk_memory_dere2","1009806070","1","","","","3"
"","vo_lsv","1009806","","vo_lsv_0626","1009806071","0","","","0","21"
"0","122711","1009806","0","冰淇淋……！\n很好吃呢，\n冰淇淋……真的好好吃。","1009806072","10","1","0","1","11"
"","0","1009806","","","1009806073","","","","","91"
"","122711","1009806","0.2","lsv_idle_memory2","1009806074","1","","","","3"
"0.2","122811","1009806","0","lsv_talk_guts2_joy","1009806075","0","1","","lsv_talk_guts2_joy_loop","3"
"","vo_lsv","1009806","","vo_lsv_0627","1009806076","0","","","0","21"
"0","122811","1009806","0","啊──講了之後\n就變得好想吃喔！\n我們現在就去吃吧。","1009806077","10","1","0","1","11"
"","0","1009806","","","1009806078","","","","","91"
"","122811","1009806","0.2","lsv_idle_guts2_joy","1009806079","1","","","","3"
"","122911","1009806","0.2","lsv_talk_joy3","1009806080","1","","","","3"
"","vo_lsv","1009806","","vo_lsv_0628","1009806081","0","","","0","21"
"0","122911","1009806","0","嗯。\n小繆也要一起唷♪\n牠會喜歡什麼口味的呢～？","1009806082","10","1","0","1","11"
"","0","1009806","","","1009806083","","","","","91"
