c04d30e4d33b46f49a4d257ce9a8bf02a292a23b94f4a2f3593658c6cab853b9,6fbf1ad5be00e6bc34b60ead04b5dd26e955f2dbbb1049b1c7db8cee3c1b0247,76fcb877f7e4cbd068a3bdc8ed28942098fcff2745f4bb52b30df2cc38fd1bcd,6c2716378f20780916fd606e537b02a0284f1a8acb0b03cca1f0af63610a4b4a,41d993325b43a1e4fe1425a3bd49ca240190f762b95488c95276f3c799ff5429,382f1dbab741bb36893703917206bf7e493740446e188d7e8d4cfa3efb2cd017,5ac215acf241079207f37956512461b66c790e846c3ad3cd48e760febcc0729d,c5fc5c3f2a1c08d9f6f149089f6fef27ed2d4fb355834c2659397c3ade82870b,077c123b2803da935088f07ef987c213a328315d62bfe7124fcaef7a17a94274,292404a1ed74dd8013af6de2b467312cdfa7bdbc44b8d634f27865fe04f540c7,d05ee88139f43f93582e65c3486fc4f78253a59d4d336d9ef98315b4a847d32d
"10","72","0","11","0","0","1","1","72033","也是啦……\n因為我突然間太太太心急了嘛……","1"
"0","72","","91","","","","0","72034","","0"
"0","72","0","3","","0.2","1","clear_guts1_talk","72035","clear_guts1_in","1"
"0","72","","21","","","","0","72036","vo_asb_0727","vo_asb"
"10","72","0","11","0","0","1","1","72037","但是我覺得可不能就這樣放棄呢。\n所以我打算時不時就去一趟森林，\n試著讓300年縮短成３年！","1"
"0","72","","91","","","","0","72038","","0"
"","72","","101","","","","","72039","","72040"
"1","72","0","6","","0.3","0","1","72040","1","1"
"1","72","0","6","","0.3","0","1","72041","1","0"
"-250","72","","2","","","1","0.3","72042","-120","1"
"0","72","","2","","","1","0.3","72043","-100","0"
"","72","","22","","","","","72044","0","0"
"","72","","93","","","","","72045","0","0.4"
"52","82","0","5","riri_idle","2.2","-250","30","82001","1","1"
"1","82","0","6","","0","0","1","82002","1","1"
"29","82","0","5","black","1","0","50","82003","0","0"
"1","82","0","6","","0","0","1","82004","1","0"
"","82","","91","","","","","82005","","0"
"1","82","0","6","","0.2","1","1","82006","1","1"
"1","82","0","6","","0.2","1","1","82007","1","0"
"-250","82","","2","","","2","0.3","82008","-20","1"
"0","82","","2","","","2","0.3","82009","0","0"
"","82","","93","","","","","82010","0","0.6"
"1","82","","3","","0.2","","","82011","riri_talk","1"
"0","82","","21","","","","0","82012","vo_asb_0821","vo_asb"
"10","82","0","11","0","0","1","1","82013","那時候，\n我受到了挖角。\n據美里小姐所說，\n我似乎有當幼教師的「天賦」。","1"
"0","82","","91","","","","0","82014","","0"
"1","82","","3","","0.2","","","82015","sad_talk_surprise","1"
"0","82","","21","","","","0","82016","vo_asb_0822","vo_asb"
"10","82","0","11","0","0","1","1","82017","姑且不說小孩子，\n我確實認知自己深受動物喜歡……\n我也有自知之明，\n知道自己不適合冒險者這份工作……","1"
"0","82","","91","","","","0","82018","","0"
"1","82","","3","","0.2","","","82019","guts2_talk_Ex1","1"
"0","82","","21","","","","0","82020","vo_asb_0823","vo_asb"
"10","82","0","11","0","0","1","1","82021","即使如此……我是個要克服先天優劣，\n往自己的道路勇敢前進的冒險者。\n一旦下定決心，\n就不能輕言放棄……！","1"
"0","82","","91","","","","0","82022","","0"
"1","82","","3","","0.2","","","82023","talk_joy","1"
"0","82","","21","","","","0","82024","vo_asb_0824","vo_asb"
"10","82","0","11","0","0","1","1","82025","當我向美里小姐表示\n我堅定不移的決心後，\n她回應我「好的～♪」\n並馬上理解了我的決心。","1"
"0","82","","91","","","","0","82026","","0"
"1","82","","3","","0.2","","","82027","wish_talk_joyR_riri","1"
"0","82","","21","","","","0","82028","vo_asb_0825","vo_asb"
"10","82","0","11","0","0","1","1","82029","她既溫和又寬容，\n還通情達理……\n她正是真正的幼教師呢。","1"
"0","82","","91","","","","0","82030","","0"
"1","82","","3","","0.2","","","82031","surprise_talk_nervous","1"
"0","82","","21","","","","0","82032","vo_asb_0826","vo_asb"
"10","82","0","11","0","0","1","1","82033","……只不過，和她道別時，\n她依然用同樣溫和的笑容對我說\n「我還會再邀請妳的～♪」\n讓我有些在意就是了……","1"
"0","82","","91","","","","0","82034","","0"
"","82","","101","","","","","82035","","82036"
"1","82","0","6","","0.3","0","1","82036","1","1"
"1","82","0","6","","0.3","0","1","82037","1","0"
"-250","82","","2","","","1","0.3","82038","-120","1"
"0","82","","2","","","1","0.3","82039","-100","0"
"","82","","22","","","","","82040","0","0"
"","82","","93","","","","","82041","0","0.4"
"52","92","0","5","clear_surprise_talk","2.2","-250","30","92001","1","2"
"1","92","0","6","","0","0","1","92002","1","1"
"29","92","0","5","black","1","0","50","92003","0","0"
"1","92","0","6","","0","0","1","92004","1","0"
"","92","","91","","","","","92005","","0"
"1","92","0","6","","0.2","1","1","92006","1","1"
"1","92","0","6","","0.2","1","1","92007","1","0"
"-250","92","","2","","","2","0.3","92008","-20","1"
"0","92","","2","","","2","0.3","92009","0","0"
"","92","","93","","","","","92010","0","0.6"
"0","92","","21","","","","0","92011","vo_asb_0921","vo_asb"
"10","92","0","11","0","0","1","1","92012","洞穴真是不可思議呢……","1"
"0","92","","91","","","","0","92013","","0"
"0","92","","21","","","","0","92014","vo_asb_0922","vo_asb"
"10","92","0","11","0","0","1","1","92015","既昏暗又狹窄，\n既涼爽又安靜。\n該怎麼說，總覺得……能讓人平靜下來。","1"
"0","92","","91","","","","0","92016","","0"
"0","92","0","3","","0.1","1","clear_kohon_loop_normal2","92017","surpriseToKohon","1"
"0","92","","21","","","","0","92018","vo_asb_0923","vo_asb"
"10","92","0","11","0","0","1","1","92019","那些特徵，\n我可能意外地滿喜歡的喔……？\n雖然也不是說，\n看到洞穴就想跳進去……","1"
"0","92","","91","","","","0","92020","","0"
"1","92","","3","","0.2","","","92021","clear_wish_talk_joy_noShy","1"
"0","92","","21","","","","0","92022","vo_asb_0924","vo_asb"
"10","92","0","11","0","0","1","1","92023","但我也學會怎麼挖洞了，\n要不要來挖一個我專用的洞穴呢……？","1"
"0","92","","91","","","","0","92024","","0"
"","92","","101","","","","","92025","","92026"
"1","92","0","6","","0.3","0","1","92026","1","1"
"1","92","0","6","","0.3","0","1","92027","1","0"
"-250","92","","2","","","1","0.3","92028","-120","1"
"0","92","","2","","","1","0.3","92029","-100","0"
"","92","","22","","","","","92030","0","0"
"","92","","93","","","","","92031","0","0.4"
"52","102","0","5","idle_precia","2.2","-250","30","102001","1","3"
"1","102","0","6","","0","0","1","102002","1","1"
"29","102","0","5","black","1","0","50","102003","0","0"
"1","102","0","6","","0","0","1","102004","1","0"
"","102","","91","","","","","102005","","0"
"1","102","0","6","","0.2","1","1","102006","1","1"
"1","102","0","6","","0.2","1","1","102007","1","0"
"-250","102","","2","","","2","0.3","102008","-20","1"
"0","102","","2","","","2","0.3","102009","0","0"
"","102","","93","","","","","102010","0","0.6"
"1","102","","3","","0.3","","","102011","doya_idle_surprise_precia","1"
"0","102","","21","","","","0","102012","vo_asb_1021","vo_asb"
"10","102","0","11","0","0","1","1","102013","「變態可疑分子\n就該掉進陷阱裡。」","1"
"0","102","","91","","","","0","102014","","0"
"1","102","","3","","0.3","","","102015","talk_precia","1"
"0","102","","21","","","","0","102016","vo_asb_1022","vo_asb"
"10","102","0","11","0","0","1","1","102017","鏡華，\n她說的。","1"
"0","102","","91","","","","0","102018","","0"
"1","102","","3","","0.3","","","102019","think_idle_anger_precia","1"
"0","102","","21","","","","0","102020","vo_asb_1023","vo_asb"
"10","102","0","11","0","0","1","1","102021","變態可疑分子，\n是什麼……？","1"
"0","102","","91","","","","0","102022","","0"
"0","102","0","3","","0.2","1","sad_talk_surprise_precia","102023","thinkToSad_precia","1"
"0","102","","21","","","","0","102024","vo_asb_1024","vo_asb"
"10","102","0","11","0","0","1","1","102025","……我不懂的事，\n還有好多。","1"
"0","102","","91","","","","0","102026","","0"
"1","102","","3","","0.3","","","102027","guts2_talk_joy_precia","1"
"0","102","","21","","","","0","102028","vo_asb_1025","vo_asb"
"10","102","0","11","0","0","1","1","102029","我要，\n不停學習，喔。","1"
"0","102","","91","","","","0","102030","","0"
"","102","","101","","","","","102031","","102032"
"1","102","0","6","","0.3","0","1","102032","1","1"
"1","102","0","6","","0.3","0","1","102033","1","0"
"-250","102","","2","","","1","0.3","102034","-120","1"
"0","102","","2","","","1","0.3","102035","-100","0"
"","102","","22","","","","","102036","0","0"
"","102","","93","","","","","102037","0","0.4"
"52","112","0","5","clear_wish_talk_joy","2.2","-250","30","112001","1","2"
"1","112","0","6","","0","0","1","112002","1","1"
"29","112","0","5","black","1","0","50","112003","0","0"
"1","112","0","6","","0","0","1","112004","1","0"
"","112","","91","","","","","112005","","0"
"1","112","0","6","","0.2","1","1","112006","1","1"
"1","112","0","6","","0.2","1","1","112007","1","0"
"-250","112","","2","","","2","0.3","112008","-20","1"
"0","112","","2","","","2","0.3","112009","0","0"
"","112","","93","","","","","112010","0","0.6"
"0","112","","21","","","","0","112011","vo_asb_1121","vo_asb"
"10","112","0","11","0","0","1","1","112012","深月小姐端出來的特調茶，\n有種不可思議的香氣。","1"
"0","112","","91","","","","0","112013","","0"
"1","112","","3","","0.2","","","112014","clear_memoly_talk","1"
"0","112","","21","","","","0","112015","vo_asb_1122","vo_asb"
"10","112","0","11","0","0","1","1","112016","光是聞到就讓人覺得輕飄飄地，\n身體熱了起來。\n據深月小姐所說，\n那有滋養強壯的效果。","1"
"0","112","","91","","","","0","112017","","0"
"1","112","","3","","0.3","","","112018","clear_surprise_talk","1"
"0","112","","21","","","","0","112019","vo_asb_1123","vo_asb"
"10","112","0","11","0","0","1","1","112020","雖然哥哥不知道為什麼難得表現出\n焦急的樣子阻止了我，\n說別喝比較好，\n所以我只有聞聞香氣而已……","1"
"0","112","","91","","","","0","112021","","0"
"1","112","","3","","0.2","","","112022","clear_wish_talk_normal2","1"
"0","112","","21","","","","0","112023","vo_asb_1124","vo_asb"
"10","112","0","11","0","0","1","1","112024","但深月小姐說：\n「下次會讓你們喝\n更有效果的茶，\n要再來喔。」","1"
"","112","","91","","","","0","112025","","0"
"0","112","","21","","","","0","112026","vo_asb_1125","vo_asb"
"10","112","0","11","0","0","1","1","112027","既然她這麼說了，\n我想再去找她玩。","1"
"0","112","","91","","","","0","112028","","0"
"0","112","0","3","","0.2","1","clear_talk_joyR","112029","wishToTalk","1"
"0","112","","21","","","","0","112030","vo_asb_1126","vo_asb"
"10","112","0","11","0","0","1","1","112031","呵呵……雖然公會入口看起來很可怕，\n但不能只用外表判斷呢。\n這也算是在這方面學了一課♪","1"
"0","112","","91","","","","0","112032","","0"
"","112","","101","","","","","112033","","112034"
"1","112","0","6","","0.3","0","1","112034","1","1"
"1","112","0","6","","0.3","0","1","112035","1","0"
"-250","112","","2","","","1","0.3","112036","-120","1"
"0","112","","2","","","1","0.3","112037","-100","0"
"","112","","22","","","","","112038","0","0"
"","112","","93","","","","","112039","0","0.4"
"52","122","0","5","notice_loop","2.2","-250","30","122001","1","3"
"1","122","0","6","","0","0","1","122002","1","1"
"29","122","0","5","black","1","0","50","122003","0","0"
"1","122","0","6","","0","0","1","122004","1","0"
"","122","","91","","","","","122005","","0"
"1","122","0","6","","0.2","1","1","122006","1","1"
"1","122","0","6","","0.2","1","1","122007","1","0"
"-250","122","","2","","","2","0.3","122008","-20","1"
"0","122","","2","","","2","0.3","122009","0","0"
"","122","","93","","","","","122010","0","0.6"
"0","122","","21","","","","0","122011","vo_asb_1221","vo_asb"
"10","122","0","11","0","0","1","1","122012","深月的，\n氣息……","1"
"0","122","","91","","","","0","122013","","0"
"1","122","","3","","0.3","","","122014","sad_idle_surprise","1"
"0","122","","21","","","","0","122015","vo_asb_1222","vo_asb"
"10","122","0","11","0","0","1","1","122016","她不是，\n等閒之輩。","1"
"0","122","","91","","","","0","122017","","0"
"1","122","","3","","0.3","","","122018","surprise_idle_anger_precia","1"
"0","122","","21","","","","0","122019","vo_asb_1223","vo_asb"
"10","122","0","11","0","0","1","1","122020","壞人？\n正義的，夥伴？","1"
"0","122","","91","","","","0","122021","","0"
"0","122","0","3","","0.2","1","think_idle_Ex1_precia","122022","surpriseToThink_precia","1"
"0","122","","21","","","","0","122023","vo_asb_1224","vo_asb"
"10","122","0","11","0","0","1","1","122024","真複雜。","1"
"0","122","","91","","","","0","122025","","0"
"","122","","101","","","","","122026","","122027"
"1","122","0","6","","0.3","0","1","122027","1","1"
"1","122","0","6","","0.3","0","1","122028","1","0"
"-250","122","","2","","","1","0.3","122029","-120","1"
"0","122","","2","","","1","0.3","122030","-100","0"
"","122","","22","","","","","122031","0","0"
"","122","","93","","","","","122032","0","0.4"
"52","132","0","5","lift_down_normal","2.2","-250","30","132001","1","3"
"1","132","0","6","","0","0","1","132002","1","1"
"29","132","0","5","black","1","0","50","132003","0","0"
"1","132","0","6","","0","0","1","132004","1","0"
"","132","","91","","","","","132005","","0"
"1","132","0","6","","0.2","1","1","132006","1","1"
"1","132","0","6","","0.2","1","1","132007","1","0"
"-250","132","","2","","","2","0.3","132008","-20","1"
"0","132","","2","","","2","0.3","132009","0","0"
"","132","","93","","","","","132010","0","0.6"
"0","132","","21","","","","0","132011","vo_asb_1321","vo_asb"
"10","132","0","11","0","0","1","1","132012","冒險的，道具。\n有好多。","1"
"0","132","","91","","","","0","132013","","0"
"0","132","0","3","","0.2","1","lift_down_shy","132014","lift_down_shy_in","1"
"0","132","","21","","","","0","132015","vo_asb_1322","vo_asb"
"10","132","0","11","0","0","1","1","132016","拿不……動。","1"
"0","132","","91","","","","0","132017","","0"
"0","132","0","3","","0.2","1","lift_up_loop","132018","lift_up_in","1"
"0","132","","21","","","","0","132019","vo_asb_1323","vo_asb"
"10","132","0","11","0","0","1","1","132020","但是，\n我會，拿的。","1"
"0","132","","91","","","","0","132021","","0"
"0","132","","21","","","","0","132022","vo_asb_1324","vo_asb"
"10","132","0","11","0","0","1","1","132023","這，就是，\n我想保護的、東西，\n的重量。","1"
"0","132","","91","","","","0","132024","","0"
"","132","","101","","","","","132025","","132026"
"1","132","0","6","","0.3","0","1","132026","1","1"
"1","132","0","6","","0.3","0","1","132027","1","0"
"-250","132","","2","","","1","0.3","132028","-120","1"
"0","132","","2","","","1","0.3","132029","-100","0"
"","132","","22","","","","","132030","0","0"
"","132","","93","","","","","132031","0","0.4"
"52","142","0","5","sad_talk_dere","2.2","-250","30","142001","1","1"
"1","142","0","6","","0","0","1","142002","1","1"
"29","142","0","5","black","1","0","50","142003","0","0"
"1","142","0","6","","0","0","1","142004","1","0"
"","142","","91","","","","","142005","","0"
"1","142","0","6","","0.2","1","1","142006","1","1"
"1","142","0","6","","0.2","1","1","142007","1","0"
"-250","142","","2","","","2","0.3","142008","-20","1"
"0","142","","2","","","2","0.3","142009","0","0"
"","142","","93","","","","","142010","0","0.6"
"0","142","","21","","","","0","142011","vo_asb_1421","vo_asb"
"10","142","0","11","0","0","1","1","142012","做為謝禮收下的便當，\n實在是太美味了……","1"
"0","142","","91","","","","0","142013","","0"
"1","142","","3","","0.3","","","142014","sad_talk_joyR","1"
"0","142","","21","","","","0","142015","vo_asb_1422","vo_asb"
"10","142","0","11","0","0","1","1","142016","總有一天，\n我也想做出那樣飽含心意的便當，\n若能默默交給兄長大人的話就好了，\n說笑的……","1"
"0","142","","91","","","","0","142017","","0"
"1","142","","3","","0.3","","","142018","wish_talk_nervous_riri","1"
"0","142","","21","","","","0","142019","vo_asb_1423","vo_asb"
"10","142","0","11","0","0","1","1","142020","我連做個煎蛋捲\n都能燒焦，\n一不小心就將白日夢\n想得太遠了。","1"
"0","142","","91","","","","0","142021","","0"
"1","142","","3","","0.2","","","142022","wish_talk_normal2_riri","1"
"0","142","","21","","","","0","142023","vo_asb_1424","vo_asb"
"10","142","0","11","0","0","1","1","142024","……不過，\n透過這次的冒險，\n我明白了夢想就是種偉大的力量。","1"
"0","142","","91","","","","0","142025","","0"
"1","142","","3","","0.2","","","142026","guts2_talk_riri","1"
"0","142","","21","","","","0","142027","vo_asb_1425","vo_asb"
"10","142","0","11","0","0","1","1","142028","我不會放棄，總有一天\n要成為能支援兄長大人的冒險者。\n我要帶著這個夢想，\n一步一腳印地往前邁進。","1"
"0","142","","91","","","","0","142029","","0"
"","142","","101","","","","","142030","","142031"
"1","142","0","6","","0.3","0","1","142031","1","1"
"1","142","0","6","","0.3","0","1","142032","1","0"
"-250","142","","2","","","1","0.3","142033","-120","1"
"0","142","","2","","","1","0.3","142034","-100","0"
"","142","","22","","","","","142035","0","0"
"","142","","93","","","","","142036","0","0.4"
