f03d3f91d909def7661cbb22a7f8a4dc71ee17ade8ea053428f46e065f5cbc76,f05542c539cc0b299202598baa54d3ed4800af3e78ee657bab84ecbf95f09ffd,a50c7a59007bed4a041f40cf7b13b85d4c395cc92575abbaaaf9a02d2fe3a136,a504f6c42b487564dc158f68b9d2e55b0f44dca30a2edd0a63be2e735d1401b2,da952b25ad6321add2a06456a6069cdcfab429d15e0f34ee71b898a13e156bf5,1e3a489dfc855f460d96b5ee7de7821aee6eb2f18813bf030556f8123f1fccbe,e2b7f67d3fb6e099153e877379c8921ae5b87381da78a5ed5156f54cf4f1d535,40063eefcf8b292e96d34a624e254f4790d1daf24fad38f5fdb30aa07cddf87a,bc14a4874cf1647f86035313d8153c2193d32a5cf59cdcb05db3b1da831dd4ae,b3500422a059b4e9538ea9e1b29353aff80a36090daf7c0c1fe4103ab8dd1229,453131d96cbb9b66c62cb2be6469250a00a56a1d5e27a9c5c890cb68d960bad4
"0","","","7","","","7008","","","91",""
"1","","","7","psy_fairy_idle","","7009","","1","3","0.2"
"119931","","","7","psy_miyako_talk3","","7010","","1","3","0.2"
"vo_minigame_1008","","","7","vo_minigame_1008_drama_0702","0","7011","","0","21",""
"119931","0","1","7","吵死了！別來妨礙人家！\n宮子正在思考究極的布丁，\n很忙的喲！","1","7012","0","5","11","0"
"3","","","7","1","","7013","","","93",""
"119931","0","","7","psy_miyako_arm_crossed_in","psy_miyako_arm_crossed_loop","7014","1","0","3","0.2"
"7012","","","7","","","7015","","","91",""
"0","","","7","0","","7016","","","22",""
"1","","","7","psy_fairy_talk","","7017","","1","3","0.2"
"vo_minigame_1008","","","7","vo_minigame_1008_drama_9903","0","7018","","0","21",""
"1","0","0.5","7","啾～啾～！","1","7019","0","4","11","0"
"0","","","7","","","7020","","","91",""
"1","","","7","psy_fairy_idle","","7021","","1","3","0.2"
"119931","","","7","psy_miyako_anger2","","7022","","1","3","0.2"
"vo_minigame_1008","","","7","vo_minigame_1008_drama_0704","0","7023","","0","21",""
"119931","0","0.5","7","就算你這麼說，人家也不管喲！","1","7024","0","5","11","0"
"0","","","7","","","7025","","","91",""
"0","","","7","0","","7026","","","22",""
"119931","","","7","psy_miyako_thinking3","","7027","","1","3","0.2"
"vo_minigame_1008","","","7","vo_minigame_1008_drama_0705","0","7028","","0","21",""
"119931","0","0.5","7","嗯～～\n不過，好像可以嘗試看看。\n因為宮子很溫柔\n才聽你的意見的喲！","1","7029","0","3","11","0"
"5","","","7","1","","7030","","","93",""
"119931","0","","7","psy_miyako_doya_in","psy_miyako_doya_loop","7031","1","0","3","0.2"
"7029","","","7","","","7032","","","91",""
"0","","","7","0","","7033","","","22",""
"1","","","7","","","7034","","","93",""
"0","","","7","","","7035","","","91",""
"1","0","psy_miyako_start","8","119931","-300","8001","-200","100","1","1.7"
"1","1","psy_walk2","8","100411","225","8002","-210","100","1","1.7"
"1","1","psy_walk3","8","103631","480","8003","-220","105","1","1.7"
"1","1","psy_walk_glad","8","102011","340","8004","-235","110","1","1.7"
"1","","","8","11","0","8005","1","0","31","1"
"1","0","psy_smoke_start","8","1","-300","8006","-200","101","5","1.7"
"100411","","","8","110","2","8007","0","-210","2",""
"103631","","","8","365","2.2","8008","0","-220","2",""
"102011","","","8","225","2.3","8009","0","-235","2",""
"2","","","8","","","8010","","","93",""
"100411","","","8","psy_idle_normal","","8011","","1","3","0.2"
"0.2","","","8","","","8012","","","93",""
"103631","","","8","psy_idle_normal","","8013","","1","3","0.2"
"0.1","","","8","","","8014","","","93",""
"102011","","","8","psy_talk_joy1","","8015","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0806","0","8016","","0","21",""
"102011","0","0.5","8","哥哥，我們來玩了～\n咦～？沒人在嗎？","1","8017","0","5","11","0"
"0","","","8","","","8018","","","91",""
"102011","","","8","psy_idle_joy1","","8019","","1","3","0.2"
"119931","0.2","","8","psy_miyako_appear","psy_miyako_talk1","8020","1","0","3","0"
"1","0","","8","psy_smoke_appear","psy_smoke_start","8021","0","0","3","0"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0801","0","8022","","0","21",""
"119931","0","0.5","8","嗯？妳們找他幹嘛？","1","8023","0","4","11","0"
"0","","","8","","","8024","","","91",""
"0","","","8","0","","8025","","","22",""
"119931","","","8","psy_miyako_idle","","8026","","1","3","0.2"
"103631","","","8","psy_talk_surprise2","","8027","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0807","0","8028","","0","21",""
"103631","0","0.5","8","呀～！？幽靈！！","1","8029","0","6","11","0"
"0","","","8","","","8030","","","91",""
"103631","","","8","psy_idle_surprise2","","8031","","1","3","0.2"
"100411","","","8","psy_talk_joy2","","8032","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0808","0","8033","","0","21",""
"100411","0","0.5","8","好厲害～！\n是哥哥設下的惡作劇嗎？\n哥哥，不要躲了，趕快出來～","1","8034","0","6","11","0"
"0","","","8","","","8035","","","91",""
"100411","","","8","psy_idle_joy2","","8036","","1","3","0.2"
"119931","","","8","psy_miyako_panic2","","8037","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0802","0","8038","","0","21",""
"119931","0","1","8","宮子才不惡作劇喲，\n是幽靈喲。\n然後那傢伙現在不在喲。","1","8039","0","5","11","0"
"3","","","8","1","","8040","","","93",""
"119931","","","8","psy_miyako_talk2","","8041","","1","3","0.2"
"8039","","","8","","","8042","","","91",""
"0","","","8","0","","8043","","","22",""
"119931","","","8","psy_miyako_idle","","8044","","1","3","0.2"
"100411","","","8","psy_talk_wish","","8045","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0809","0","8046","","0","21",""
"100411","0","0.5","8","不在嗎？\n那就趁現在來惡作劇……","1","8047","0","6","11","0"
"0","","","8","","","8048","","","91",""
"100411","","","8","psy_idle_wish","","8049","","1","3","0.2"
"103631","","","8","psy_talk_anger","","8050","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0810","0","8051","","0","21",""
"103631","0","0.5","8","不能在店裡惡作劇吧！\n話說為什麼禊一點都不害怕？\n幽靈出現了唷？","1","8052","0","6","11","0"
"0","","","8","","","8053","","","91",""
"103631","","","8","psy_idle_anger","","8054","","1","3","0.2"
"100411","","","8","psy_talk_normal","","8055","","1","3","0.2"
"100411","","","8","0","","8056","","","4",""
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0811","0","8057","","0","21",""
"100411","0","0.5","8","因為她就像哥哥的朋友嘛，\n而且一點都不可怕。","1","8058","0","6","11","0"
"0","","","8","","","8059","","","91",""
"100411","","","8","1","","8060","","","4",""
"100411","","","8","psy_idle_normal","","8061","","1","3","0.2"
"102011","","","8","psy_talk_joy1","","8062","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0812","0","8063","","0","21",""
"102011","0","0.5","8","到哥哥回來之前\n一起玩吧～","1","8064","0","5","11","0"
"0","","","8","","","8065","","","91",""
"102011","","","8","psy_idle_joy1","","8066","","1","3","0.2"
"119931","","","8","psy_miyako_anger3","","8067","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0803","0","8068","","0","21",""
"119931","0","0.5","8","不玩。\n宮子要做布丁，很忙的！","1","8069","0","4","11","0"
"0","","","8","","","8070","","","91",""
"0","","","8","0","","8071","","","22",""
"119931","","","8","psy_miyako_idle_anger","","8072","","1","3","0.2"
"102011","","","8","psy_talk_joy2","","8073","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0813","0","8074","","0","21",""
"102011","0","0.5","8","做布丁？哇，感覺很好玩～\n美美也可以一起做嗎？","1","8075","0","7","11","0"
"0","","","8","","","8076","","","91",""
"102011","","","8","psy_idle_joy2","","8077","","1","3","0.2"
"119931","0","","8","psy_miyako_doya_in","psy_miyako_doya_loop","8078","1","0","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0804","0","8079","","0","21",""
"119931","0","0.5","8","如果會聽宮子的話，\n讓妳們幫忙也可以喲。","1","8080","0","5","11","0"
"0","","","8","","","8081","","","91",""
"0","","","8","0","","8082","","","22",""
"119931","","","8","psy_miyako_doya_idle","","8083","","1","3","0.2"
"102011","0.4","","8","psy_jump","psy_idle_joy1","8084","1","0","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0814","0","8085","","0","21",""
"102011","0","0.5","8","哇～！太好了～！","1","8086","0","6","11","0"
"0","","","8","","","8087","","","91",""
"100411","","","8","psy_talk_joy2","","8088","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0815","0","8089","","0","21",""
"100411","0","0.5","8","來做對哥哥惡作劇用的\n布丁吧～！","1","8090","0","5","11","0"
"0","","","8","","","8091","","","91",""
"100411","","","8","psy_idle_joy2","","8092","","1","3","0.2"
"103631","","","8","psy_talk_sad","","8093","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0816","0","8094","","0","21",""
"103631","0","0.5","8","怎、怎麼這樣……\n竟然要與幽靈一起做布丁……","1","8095","0","8","11","0"
"0","","","8","","","8096","","","91",""
"103631","","","8","psy_idle_sad","","8097","","1","3","0.2"
"100411","","","8","psy_talk_normal","","8098","","1","3","0.2"
"100411","","","8","0","","8099","","","4",""
"102011","","","8","0","","8100","","","4",""
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0817","0","8101","","0","21",""
"100411","0","0.5","8","鏡華不做嗎？","1","8102","0","4","11","0"
"0","","","8","","","8103","","","91",""
"100411","","","8","psy_idle_normal","","8104","","1","3","0.2"
"102011","","","8","psy_talk_joy2","","8105","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0818","0","8106","","0","21",""
"102011","0","0.5","8","美美想跟鏡華\n一起做布丁呢～","1","8107","0","5","11","0"
"0","","","8","","","8108","","","91",""
"102011","","","8","psy_idle_joy2","","8109","","1","3","0.2"
"103631","","","8","psy_talk_sad","","8110","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0819","0","8111","","0","21",""
"103631","0","0.5","8","嗚嗚……知道了啦，\n我也一起做。","1","8112","0","6","11","0"
"0","","","8","","","8113","","","91",""
"103631","","","8","psy_idle_sad","","8114","","1","3","0.2"
"119931","","","8","psy_miyako_joy1","","8115","","1","3","0.2"
"vo_minigame_1008","","","8","vo_minigame_1008_drama_0805","0","8116","","0","21",""
"119931","0","0.5","8","太好了！\n一口氣增加了三個手下喲！","1","8117","0","5","11","0"
"0","","","8","","","8118","","","91",""
"0","","","8","0","","8119","","","22",""
"1","","","8","","","8120","","","93",""
"0","","","8","","","8121","","","91",""
"1","0","psy_miyako_idle","9","119931","-300","9001","-200","100","1","1.7"
"1","1","psy_idle_normal","9","1","185","9002","-220","100","5","1.7"
"1","","","9","11","0","9003","1","0","31","1"
"1","","","9","","","9004","","","93",""
"119931","","","9","psy_miyako_thinking4","","9005","","1","3","0.2"
"vo_minigame_1008","","","9","vo_minigame_1008_drama_0901","0","9006","","0","21",""
"119931","0","1","9","嗯……要做出美味的布丁\n還真是難呢。\n宮子的靈感快用完了喲！","1","9007","0","3","11","0"
"6","","","9","1","","9008","","","93",""
"119931","","","9","psy_miyako_sad2","","9009","","1","3","0.2"
"9007","","","9","","","9010","","","91",""
"0","","","9","0","","9011","","","22",""
"119931","","","9","psy_miyako_talk_joy1","","9012","","1","3","0.2"
"vo_minigame_1008","","","9","vo_minigame_1008_drama_0902","0","9013","","0","21",""
"119931","0","0.5","9","你有很多認識的人，\n拿些也許可以成為布丁靈感的\n東西過來吧！","1","9014","0","4","11","0"
"6","","","9","1","","9015","","","93",""
"119931","0","","9","psy_miyako_guts2_in","psy_miyako_guts2_loop","9016","1","0","3","0.2"
"9014","","","9","","","9017","","","91",""
"0","","","9","0","","9018","","","22",""
"1","0","0","9","11","0","9019","0","1","12","0"
"1","0","","9","psy_talk_guts2","psy_idle_guts2","9020","1","0","3","0.2"
"2","","","9","","","9021","","","93",""
"1","","","9","0","","9022","","","4",""
"1","","","9","psy_run","","9023","","1","3","0.2"
"1","","","9","1000","3","9024","0","-220","2",""
"4","","","9","","","9025","","","93",""
"1","","","9","1","","9026","","","4",""
"1","","","9","psy_item01_run","","9027","","1","3","0.2"
"1","","","9","185","3","9028","0","-220","2",""
"3","","","9","","","9029","","","93",""
"1","0","","9","psy_item01_up","psy_item01_up_loop","9030","1","0","3","0.2"
"0.5","","","9","","","9031","","","93",""
"我拿手銬和鞭子來了。","","","9","9033","","9032","","0","103",""
"119931","","","9","psy_miyako_anger2","","9033","","1","3","0.2"
"vo_minigame_1008","","","9","vo_minigame_1008_drama_0903","0","9034","","0","21",""
"119931","0","0.5","9","你、你突然拿什麼東西過來呀！\n你是變態嗎！？\n宮子看錯你了喲！","1","9035","0","5","11","0"
"0","","","9","","","9036","","","91",""
"0","","","9","0","","9037","","","22",""
"1","0","0","9","10","0","9038","0","2","12","0"
"1","","","9","psy_item01_up_loop_talk","","9039","","1","3","0.2"
"3","","","9","","","9040","","","93",""
"1","","","9","psy_item01_up_loop","","9041","","1","3","0.2"
"119931","","","9","psy_miyako_thinking4","","9042","","1","3","0.2"
"vo_minigame_1008","","","9","vo_minigame_1008_drama_0904","0","9043","","0","21",""
"119931","0","0.5","9","…………咦？\n你有認識帶著手銬\n和鞭子的人？\n你真的沒問題嗎？","1","9044","0","4","11","0"
"6","","","9","1","","9045","","","93",""
"119931","","","9","psy_miyako_talk4","","9046","","1","3","0.2"
"9044","","","9","","","9047","","","91",""
"0","","","9","0","","9048","","","22",""
"1","","","9","","","9049","","","93",""
"0","","","9","","","9050","","","91",""
"1","0","psy_miyako_idle","10","119931","-300","10001","-200","100","1","1.7"
"1","1","psy_idle_normal","10","1","1000","10002","-220","100","5","1.7"
"1","","","10","11","0","10003","1","0","31","1"
"2","","","10","","","10004","","","93",""
"1","","","10","psy_item02_run","","10005","","1","3","0.2"
"1","","","10","185","3","10006","0","-220","2",""
"3","","","10","","","10007","","","93",""
"1","0","","10","psy_item02_up","psy_item02_up_loop","10008","1","0","3","0.2"
"0.5","","","10","","","10009","","","93",""
"感覺這個可以給妳靈感唷。","","","10","10011","","10010","","0","103",""
"119931","","","10","psy_miyako_anger3","","10011","","1","3","0.2"
"vo_minigame_1008","","","10","vo_minigame_1008_drama_1001","0","10012","","0","21",""
"119931","0","0.5","10","不准再拿怪東西過來！\n……嗯？樹果？\n你拿了正常的東西過來呢！\n宮子要誇獎你喲！","1","10013","0","4","11","0"
"4","","","10","1","","10014","","","93",""
"119931","","","10","psy_miyako_talk2","","10015","","1","3","0.2"
"2.5","","","10","1","","10016","","","93",""
"119931","","","10","psy_miyako_talk_joy1","","10017","","1","3","0.2"
"10013","","","10","","","10018","","","91",""
"0","","","10","0","","10019","","","22",""
"119931","","","10","psy_miyako_thinking1","","10020","","1","3","0.2"
"vo_minigame_1008","","","10","vo_minigame_1008_drama_1002","0","10021","","0","21",""
"119931","0","0.5","10","不過這是什麼果實來的？\n橡子還認得出來，\n但這個紅色的果實就不認得了。","1","10022","0","5","11","0"
"0","","","10","","","10023","","","91",""
"0","","","10","0","","10024","","","22",""
"1","0","0","10","6","0","10025","0","3","12","0"
"1","","","10","psy_item02_up_loop_talk","","10026","","1","3","0.2"
"3","","","10","","","10027","","","93",""
"1","","","10","psy_item02_up_loop","","10028","","1","3","0.2"
"119931","","","10","psy_miyako_sad1","","10029","","1","3","0.2"
"vo_minigame_1008","","","10","vo_minigame_1008_drama_1003","0","10030","","0","21",""
"119931","0","0.5","10","一吃下去就會噴火的果實？\n為什麼要帶這麼危險的東西過來！\n果然你還是派不上用場～！","1","10031","0","6","11","0"
"3","","","10","1","","10032","","","93",""
"119931","","","10","psy_miyako_anger2","","10033","","1","3","0.2"
"10031","","","10","","","10034","","","91",""
"0","","","10","0","","10035","","","22",""
"1","","","10","","","10036","","","93",""
"0","","","10","","","10037","","","91",""
"1","0","psy_miyako_idle","11","119931","-300","11001","-200","100","1","1.7"
"1","1","psy_idle_normal","11","1","1000","11002","-220","100","5","1.7"
"1","","","11","11","0","11003","1","0","31","1"
"2","","","11","","","11004","","","93",""
"1","","","11","psy_item03_run","","11005","","1","3","0.2"
"1","","","11","185","3","11006","0","-220","2",""
"3","","","11","","","11007","","","93",""
"1","0","","11","psy_item03_up","psy_item03_up_loop","11008","1","0","3","0.2"
"0.5","","","11","","","11009","","","93",""
"感覺這個可以給妳靈感唷。","","","11","11011","","11010","","0","103",""
"119931","","","11","psy_miyako_talk3","","11011","","1","3","0.2"
"vo_minigame_1008","","","11","vo_minigame_1008_drama_1101","0","11012","","0","21",""
"119931","0","1","11","三局定勝負的意思嗎？\n如果這次再不帶正常的東西過來，\n人家就把你變成布丁喲。","1","11013","0","5","11","0"
"4","","","11","1","","11014","","","93",""
"119931","","","11","psy_miyako_panic3","","11015","","1","3","0.2"
"11013","","","11","","","11016","","","91",""
"0","","","11","0","","11017","","","22",""
"119931","","","11","psy_miyako_thinking1","","11018","","1","3","0.2"
"vo_minigame_1008","","","11","vo_minigame_1008_drama_1102","0","11019","","0","21",""
"119931","0","0.5","11","然後呢，你手上拿的紙\n是什麼？\n是美味布丁的食譜嗎？","1","11020","0","4","11","0"
"0","","","11","","","11021","","","91",""
"0","","","11","0","","11022","","","22",""
"劇本和班表","","","11","11024","","11023","","0","103",""
"119931","","","11","psy_miyako_talk4","","11024","","1","3","0.2"
"vo_minigame_1008","","","11","vo_minigame_1008_drama_1103","0","11025","","0","21",""
"119931","0","0.5","11","……在製作布丁上\n完全派不上用場喲。\n宮子不該拜託你的。","1","11026","0","4","11","0"
"0","","","11","","","11027","","","91",""
"0","","","11","0","","11028","","","22",""
"119931","","","11","psy_miyako_sad1","","11029","","1","3","0.2"
"vo_minigame_1008","","","11","vo_minigame_1008_drama_1104","0","11030","","0","21",""
"119931","0","0.5","11","這也跟你認識的人有關係嗎？\n你認識的人\n都是一群怪咖來的！","1","11031","0","4","11","0"
"0","","","11","","","11032","","","91",""
"0","","","11","0","","11033","","","22",""
"119931","","","11","psy_miyako_talk_joy1","","11034","","1","3","0.2"
"vo_minigame_1008","","","11","vo_minigame_1008_drama_1105","0","11035","","0","21",""
"119931","0","0.5","11","不過因為宮子很溫柔，\n就算是你那派不上用場的線索，\n人家也可以做出好吃的布丁喲！\n感恩戴德吧！","1","11036","0","5","11","0"
"5","","","11","1","","11037","","","93",""
"119931","0","","11","psy_miyako_doya_in","psy_miyako_doya_loop","11038","1","0","3","0.2"
"11036","","","11","","","11039","","","91",""
"0","","","11","0","","11040","","","22",""
"1.5","","","11","","","11041","","","93",""
"0","","","11","","","11042","","","91",""
