9df9caac7d3dc4e64d5f2cd1a03e57cf27fa594bb2c3b45f261c952027ddec9e,523a801fd000e9bcf698ca1def4cc380b62f7e2e98eb1ed07fde685378eaccdc,20e329e29ea6d3ce55a251dc9a0e648a8e23e79a6c3a5ab30505565f0d60f459,b13f85f939c988a0298219c689447038fe391f967409007a1ba686dc0b2642fc,8233a5a434066fae0f6c0397988e8942b63ffd91ca10e8ce7e14713effc10b24,fe6e4ada81e535efd6392a6e282ef5640ec394cd1a8766170bc26e089fe91e1c,55aa9556ebabb345c409fb11a97da3594ad89b1b10a1060bdd84e8e82bdafc2a,53bc86d232e82acb7a57d42f0a3768e6b7109d4c8bc1d9de2ed9da0038a03d49,6893191b0625bff6ec810146038cc6247d3f031d358f56f1fe30e4d3597d0a0d,e659d0f1590fdacff2e9a45467302118cc2b062b0d1da3c58e56df7f5b7b35cf,81b22048db4a3eeb77fc382a8a49a34b8c68226de6427cef2720b4e3919f901f
"","","","62156","0","91","","5146062","","",""
"wish_talk_joy","","","62157","131011","3","0.2","5146062","","","1"
"vo_apg_0214","0","","62158","vo_apg","21","","5146062","","","0"
"雖然聽不懂妳在說什麼……\n但要是妳玩得開心就好了～♪","1","1","62159","131011","11","0","5146062","0","0","9"
"","","","62160","0","91","","5146062","","",""
"0","","","62161","0","22","","5146062","","",""
"wish_idle_joy","","","62162","131011","3","0.2","5146062","","","1"
"10","0","0","62163","100911","12","-30","5146062","0","0","2"
"7","0","0","62164","131011","12","0","5146062","0","0","2"
"0","","","62165","2","93","","5146062","","",""
"","","","62166","62167","101","","5146062","","",""
"0.2","","","62167","0","22","","5146062","","",""
"106611","-10","-288","63001","1","1","1.8","5146063","walk_surprise_sad_blue","1","110"
"1066","-10","-288","63002","3","5","1.8","5146063","walk_surprise_sad_blue","1","111"
"130911","260","-288","63003","1","1","1.8","5146063","idle_normal_noface","1","100"
"99","260","-288","63004","1","5","1.8","5146063","idle_normal_kururu","1","101"
"126411","-420","-268","63005","1","1","1.8","5146063","empty","0","103"
"98","-420","-268","63006","1","5","1.8","5146063","empty","0","113"
"210","","","63007","106611","13","","5146063","","",""
"200","","","63008","130911","13","","5146063","","",""
"203","","","63009","126411","13","","5146063","","",""
"7","0","-174","63010","7","5","0.85","5146063","idle","0","15"
"20","0","156","63011","20","5","1","5146063","empty","0","210"
"22","0","66","63012","22","5","1","5146063","empty","0","211"
"211","0","153","63013","21","5","1","5146063","empty","0","60"
"212","0","0","63014","21","5","1","5146063","empty","0","190"
"1","0","1","63015","1","31","1","5146063","","","0"
"2","-57.7","1","63016","2","31","1","5146063","","","0"
"black","","","63017","2","37","","5146063","","",""
"10","0","1","63018","10","31","0","5146063","","","0"
"16","-268","1","63019","16","31","0","5146063","","","-420"
"20","0","1","63020","20","31","1","5146063","","","0"
"20","","","63021","20","36","","5146063","","",""
"22","","","63022","20","36","","5146063","","",""
"0","","","63023","0","91","","5146063","","",""
"0","","","63024","0","102","","5146063","","","0"
"0","","","63025","0.4","93","","5146063","","",""
"iris_out","","","63026","2","37","","5146063","","",""
"-260","2.5","0","63027","106611","2","","5146063","","","-288"
"-260","2.5","0","63028","1066","2","","5146063","","","-288"
"0","","","63029","2.5","93","","5146063","","",""
"sad_idle_blue","","","63030","106611","3","0.2","5146063","","","1"
"sad_idle_blue","","0","63031","1066","3","0.2","5146063","","","1"
"0","","","63032","0.1","93","","5146063","","",""
"tired_talk1","","","63033","106611","3","0.2","5146063","","","1"
"tired_talk1","","","63034","1066","3","0.2","5146063","","","1"
"vo_apg_0301","0","","63035","vo_apg","21","","5146063","","","0"
"嗚嗚嗚嗚嗚……太、太不妙了……\n做出這種恐怖至極的雲霄飛車，\n哪～裡是什麼\n「開心快樂的大夢想樂園♪」嘛！","1","1","63036","106611","11","0","5146063","0","0","10"
"","","","63037","0","91","","5146063","","",""
"tired_talk2","","","63038","106611","3","0.2","5146063","","","1"
"tired_talk2","","","63039","1066","3","0.2","5146063","","","1"
"vo_apg_0302","0","","63040","vo_apg","21","","5146063","","","0"
"我根本沒聽說會這麼刺激……\n害我差點把胃裡的東西\n吐出來了……","1","1","63041","106611","11","0","5146063","0","0","10"
"","","","63042","0","91","","5146063","","",""
"tired_idle","","","63043","106611","3","0.2","5146063","","","1"
"tired_idle","","","63044","1066","3","0.2","5146063","","","1"
"talk_normal","","","63045","130911","3","0.2","5146063","","","1"
"talk_normal","","","63046","99","3","0.2","5146063","","","1"
"vo_apg_0303","0","","63047","vo_apg","21","","5146063","","","0"
"祈梨小姐♪\n本園的遊樂設施如何呢？\n有讓妳玩得盡興嗎？","1","1","63048","130911","11","0","5146063","0","0","10"
"","","","63049","0","91","","5146063","","",""
"idle_normal","","","63050","130911","3","0.2","5146063","","","1"
"coaster_3_in","","","63051","211","3","0","5146063","","","0"
"0","","","63052","106611","4","","5146063","","",""
"0","","","63053","1066","4","","5146063","","",""
"doya_in_nervous_furimuki","doya_talk_nervous_furimuki","1","63054","106611","3","0","5146063","","0","0"
"doya_in_nervous_furimuki","doya_talk_nervous_furimuki","1","63055","1066","3","0","5146063","","0","0"
"vo_apg_0304","0","","63056","vo_apg","21","","5146063","","","0"
"哼……還行啦？只要我出馬，\n這種廢到爆的雲霄飛車，\n就跟小哥一樣好對付啦。","1","1","63057","106611","11","0","5146063","0","0","10"
"","","","63058","0","91","","5146063","","",""
"cool_talk_dere","","","63059","106611","3","0.2","5146063","","","1"
"cool_talk_dere","","","63060","1066","3","0.2","5146063","","","1"
"vo_apg_0305","0","","63061","vo_apg","21","","5146063","","","0"
"雖然我還想要更刺激的體驗，\n不過，看來也就這種程度了吧──！","1","1","63062","106611","11","0","5146063","0","0","10"
"","","","63063","0","91","","5146063","","",""
"cool_idle_doya","","","63064","106611","3","0.2","5146063","","","1"
"cool_idle_doya","","","63065","1066","3","0.2","5146063","","","1"
"coaster_3_out","","","63066","211","3","0","5146063","","","0"
"kururu_sad_talk","","","63067","130911","3","0.2","5146063","","","1"
"kururu_sad_talk","","","63068","99","3","0.2","5146063","","","1"
"vo_apg_0306","0","","63069","vo_apg","21","","5146063","","","0"
"這樣啊～這真是太遺憾了……\n為了讓客人玩得盡興，\n不能挑剔手段……\n克蘿茜小姐～！","1","1","63070","130911","11","0","5146063","0","0","10"
"","","","63071","0","91","","5146063","","",""
"0","","","63072","0","22","","5146063","","",""
"idle_normal_noface","","","63073","130911","3","0.2","5146063","","","1"
"idle_normal_kururu","","","63074","99","3","0.2","5146063","","","1"
"cool_idle_surprise","","","63075","106611","3","0.2","5146063","","","1"
"cool_idle_surprise","","","63076","1066","3","0.2","5146063","","","1"
"kuroche_appear","kuroche_pose_talk_anger","1","63077","126411","3","0","5146063","","0","0"
"kuroche_appear","kuroche_pose_talk_anger","1","63078","98","3","0","5146063","","0","0"
"0","","","63079","0.5","93","","5146063","","",""
"15","","","63080","15","122","","5146063","","","0.5"
"1","","","63081","16","32","","5146063","","",""
"inori_dodge_in","","","63082","106611","3","0","5146063","","","0"
"inori_dodge_in","","","63083","1066","3","0","5146063","","","0"
"0","","","63084","0.6","93","","5146063","","",""
"vo_apg_0307","0","","63085","vo_apg","21","","5146063","","","0"
"好的～！\n……嗯嗯，原來如此……\n事情我已經聽說了！\n這裡請交給我吧！","1","1","63086","126411","11","20","5146063","0","0","10"
"","","","63087","0","91","","5146063","","",""
"kuroche_pose_idle_doya","","","63088","126411","3","0.2","5146063","","","1"
"inori_dodge_out","inori_anger_talk","1","63089","106611","3","0.1","5146063","","0","0"
"inori_dodge_out","inori_anger_talk","1","63090","1066","3","0.1","5146063","","0","0"
"vo_apg_0308","0","","63091","vo_apg","21","","5146063","","","0"
"啥？不是，我完全不懂\n妳們想做什麼……","1","1","63092","106611","11","0","5146063","0","0","10"
"","","","63093","0","91","","5146063","","",""
"inori_anger_idle","","","63094","106611","3","0.2","5146063","","","1"
"inori_anger_idle","","","63095","1066","3","0.2","5146063","","","1"
"kururu_guid_talk","","","63096","130911","3","0.2","5146063","","","1"
"kururu_guid_talk","","","63097","99","3","0.2","5146063","","","1"
"vo_apg_0309","0","","63098","vo_apg","21","","5146063","","","0"
"那麼那麼，我要請\n祈梨小姐享受一場\n充滿刺激感的空中之旅！\n所以說，麻煩妳了！","1","1","63099","130911","11","0","5146063","0","0","10"
"","","","63100","0","91","","5146063","","",""
"idle_normal_noface","","","63101","130911","3","0.2","5146063","","","1"
"idle_normal_kururu","","","63102","99","3","0.2","5146063","","","1"
"low","","","63103","16","37","","5146063","","",""
"se_10055900_chroche_01","","","63104","se_10055900","23","","5146063","","","1"
"inori_jitabata_in","inori_jitabata_loop","1","63105","106611","3","0.2","5146063","","0","0"
"inori_jitabata_in","inori_jitabata_loop","1","63106","1066","3","0.2","5146063","","0","0"
"kuroche_catch_in","kuroche_catch_loop","1","63107","126411","3","0.2","5146063","","0","0"
"kuroche_catch_in","kuroche_catch_loop","1","63108","98","3","0.2","5146063","","0","0"
"vo_apg_0310","0","","63109","vo_apg","21","","5146063","","","0"
"那麼那麼♪\n請牢牢抓住我喔～♪","1","1","63110","126411","11","112","5146063","0","-27","10"
"","","","63111","0","91","","5146063","","",""
"0","","","63112","0","22","","5146063","","",""
"0.2","","","63113","se_10055900_chroche_01","24","","5146063","","",""
"se_10055900_chroche_02","","","63114","se_10055900","23","","5146063","","","0"
"high","","","63115","16","37","","5146063","","",""
"5","","","63116","5","122","","5146063","","","1"
"0","","","63117","1","93","","5146063","","",""
"inori_jitabata_takeoff","","","63118","106611","3","0","5146063","","","0"
"inori_jitabata_takeoff","","","63119","1066","3","0","5146063","","","0"
"kuroche_catch_takeoff","","","63120","126411","3","0","5146063","","","0"
"kuroche_catch_takeoff","","","63121","98","3","0","5146063","","","0"
"100","","","63122","100","122","","5146063","","","0.5"
"0","","","63123","0.4","93","","5146063","","",""
"0","","","63124","130911","4","","5146063","","",""
"kururu_furimuki_watch","","","63125","130911","3","0","5146063","","","0"
"empty","","","63126","99","3","0","5146063","","","0"
"0","","","63127","1.5","93","","5146063","","",""
"fade_in","","","63128","2","37","","5146063","","",""
"0","","","63129","1.5","93","","5146063","","",""
"empty","","","63130","98","3","0","5146063","","","0"
"se_10055900_chroche_03","","","63131","se_10055900","23","","5146063","","","1"
"coaster_4_in","","","63132","212","3","0","5146063","","","0"
"se_10055900_photo","","","63133","se_10055900","23","","5146063","","","0"
"0","","","63134","0.3","93","","5146063","","",""
"30","","","63135","30","122","","5146063","","","0.5"
"vo_apg_0311","0","","63136","vo_apg","21","","5146063","","","0"
"0311_in","","","63137","20","3","0","5146063","","","0"
"1","","","63138","3.6","93","","5146063","","",""
"0311_mid","","","63139","20","3","0","5146063","","","0"
"","","","63140","","92","","5146063","","",""
"0311_out","","","63141","20","3","0","5146063","","","0"
"0","","","63142","0.2","93","","5146063","","",""
"30","","","63143","30","122","","5146063","","","0.5"
"vo_apg_0312","0","","63144","vo_apg","21","","5146063","","","0"
"0312_in","","","63145","20","3","0","5146063","","","0"
"1","","","63146","2.4","93","","5146063","","",""
"0312_mid","","","63147","20","3","0","5146063","","","0"
"","","","63148","","92","","5146063","","",""
"0312_out","","","63149","20","3","0","5146063","","","0"
"0","","","63150","0.2","93","","5146063","","",""
"scale15","","","63151","20","37","","5146063","","",""
"coaster_4_change","","","63152","212","3","0","5146063","","","0"
"vo_apg_0313","0","","63153","vo_apg","21","","5146063","","","0"
"0","0","0","63154","20","2","","5146063","","","76"
"empty","","","63155","20","3","0","5146063","","","1"
"0313_in","","","63156","22","3","0","5146063","","","0"
"1","","","63157","2.4","93","","5146063","","",""
"0313_mid","","","63158","22","3","0","5146063","","","1"
"","","","63159","","92","","5146063","","",""
"0313_out","","","63160","22","3","0","5146063","","","0"
"0","","","63161","0.2","93","","5146063","","",""
"0","","","63162","0","22","","5146063","","",""
"0.5","","","63163","se_10055900_chroche_03","24","","5146063","","",""
"white","","","63164","2","37","","5146063","","",""
"0","","","63165","2","93","","5146063","","",""
"scale1","","","63166","20","37","","5146063","","",""
"empty","","","63167","212","3","0","5146063","","","0"
"kururu_wish_idle_joy","","","63168","130911","3","0.2","5146063","","","1"
"idle_normal","","","63169","99","3","0.2","5146063","","","1"
"see_guru","","","63170","106611","3","0.2","5146063","","","1"
"see_guru","","","63171","1066","3","0.2","5146063","","","1"
"idle_normal_joy","","","63172","126411","3","0.2","5146063","","","1"
"1","","","63173","130911","4","","5146063","","",""
"225","0","0","63174","130911","2","","5146063","","","-278"
"0","0","0","63175","106611","2","","5146063","","","-288"
"0","0","0","63176","1066","2","","5146063","","","-288"
"-225","0","0","63177","126411","2","","5146063","","","-278"
"0","","","63178","2","93","","5146063","","",""
"joy_talk","","","63179","126411","3","0.2","5146063","","","1"
"vo_apg_0314","0","","63180","vo_apg","21","","5146063","","","0"
"好的！\n以刺激滿點而備受好評的\n空中之旅，妳覺得如何呢？","1","1","63181","126411","11","0","5146063","0","0","10"
"","","","63182","0","91","","5146063","","",""
"idle_normal_joy","","","63183","126411","3","0.2","5146063","","","1"
"23","0","0","63184","2","33","","5146063","","","-108"
"iris_end_1","","","63185","2","37","","5146063","","",""
"gakkari","","","63186","106611","3","0.2","5146063","","","0"
"gakkari","","","63187","1066","3","0.2","5146063","","","0"
"vo_apg_0315","0","","63188","vo_apg","21","","5146063","","","0"
"嗚噗……我已經受夠了啦……","0","0","63189","106611","11","23","5146063","1.1","-31","4"
"0","","","63190","6","93","","5146063","","",""
"iris_end_2","","","63191","2","37","","5146063","","",""
"0","","","63192","1","93","","5146063","","",""
"","","","63193","63194","101","","5146063","","",""
"0.2","","","63194","0","22","","5146063","","",""
"105811","-130","-480","64001","1","1","1.8","5146064","walk_normal","1","106"
"1058","-130","-480","64002","6","5","1.8","5146064","walk_normal","1","107"
"131511","130","-480","64003","1","1","1.8","5146064","walk_normal","1","103"
"130911","290","-278","64004","1","1","1.8","5146064","idle_normal_noface","1","100"
"99","290","-278","64005","1","5","1.8","5146064","idle_normal_kururu","1","101"
"206","","","64006","105811","13","","5146064","","",""
"203","","","64007","131511","13","","5146064","","",""
"200","","","64008","130911","13","","5146064","","",""
"8","0","-174","64009","8","5","0.85","5146064","idle","0","15"
"20","-242","-53","64010","20","5","1","5146064","empty","0","210"
"22","-128","-194","64011","22","5","1","5146064","empty","0","211"
"1","0","1","64012","1","31","1","5146064","","","0"
"2","-57.7","1","64013","2","31","0","5146064","","","0"
"12","0","1","64014","12","31","0","5146064","","","0"
"13","0","1","64015","13","31","0","5146064","","","0"
"20","0","1","64016","20","31","1","5146064","","","0"
"105811","","","64017","20","36","","5146064","","",""
"131511","","","64018","20","36","","5146064","","",""
"20","","","64019","20","36","","5146064","","",""
"22","","","64020","20","36","","5146064","","",""
"0","","","64021","0","91","","5146064","","",""
"0","","","64022","0","102","","5146064","","","0"
"1","","","64023","13","32","","5146064","","",""
"scale15","","","64024","20","37","","5146064","","",""
"","","","64025","2","93","","5146064","","",""
"vo_apg_0401","0","","64026","vo_apg","21","","5146064","","","0"
"0401_in","","","64027","22","3","0","5146064","","","0"
"1","","","64028","2.7","93","","5146064","","",""
"0401_mid","","","64029","22","3","0","5146064","","","0"
"","","","64030","","92","","5146064","","",""
"0401_out","","","64031","22","3","0","5146064","","","0"
"0","","","64032","0.2","93","","5146064","","",""
"129","0","0","64033","22","2","","5146064","","","-194"
"vo_apg_0402","0","","64034","vo_apg","21","","5146064","","","0"
"0402_in","","","64035","22","3","0","5146064","","","0"
"1","","","64036","2.9","93","","5146064","","",""
"0402_mid","","","64037","22","3","0","5146064","","","0"
"","","","64038","","92","","5146064","","",""
"0402_out","","","64039","22","3","0","5146064","","","0"
"0","","","64040","0.2","93","","5146064","","",""
"0","","","64041","0","22","","5146064","","",""
"empty","","","64042","22","3","0","5146064","","","1"
"0","","","64043","0.5","93","","5146064","","",""
"1","","","64044","2","32","","5146064","","",""
"fade_in","","","64045","2","37","","5146064","","",""
"0","","","64046","1","93","","5146064","","",""
"0","","","64047","13","32","","5146064","","",""
"scale1","","","64048","20","37","","5146064","","",""
"-194","0","0","64049","105811","2","","5146064","","","-298"
"-194","0","0","64050","1058","2","","5146064","","","-298"
"-34","0","0","64051","131511","2","","5146064","","","-288"
"iris_out","","","64052","2","37","","5146064","","",""
"-385","2","0","64053","105811","2","","5146064","","","-298"
"-385","2","0","64054","1058","2","","5146064","","","-298"
"-225","2","0","64055","131511","2","","5146064","","","-288"
"0","","","64056","2","93","","5146064","","",""
"0","","","64057","105811","4","","5146064","","",""
"0","","","64058","1058","4","","5146064","","",""
"0","","","64059","131511","4","","5146064","","",""
"idle_normal","","","64060","105811","3","0.2","5146064","","","1"
"idle_normal","","0","64061","1058","3","0.2","5146064","","","1"
"idle_normal","","","64062","131511","3","0.2","5146064","","","1"
"0","","","64063","0.5","93","","5146064","","",""
"talk_normal","","","64064","130911","3","0.2","5146064","","","1"
"talk_normal","","","64065","99","3","0.2","5146064","","","1"
"vo_apg_0403","0","","64066","vo_apg","21","","5146064","","","0"
"好的，辛苦了──♪\n兩位有盡情享受摩天輪嗎～？","1","1","64067","130911","11","0","5146064","0","0","7"
"","","","64068","0","91","","5146064","","",""
"kururu_wish_talk_joy","","","64069","130911","3","0.2","5146064","","","1"
"kururu_wish_talk_joy","","","64070","99","3","0.2","5146064","","","1"
"vo_apg_0404","0","","64071","vo_apg","21","","5146064","","","0"
"摩天輪上應該能遠遠看到整個\n吉歐‧提格尼亞的美妙景色♪","1","1","64072","130911","11","0","5146064","0","0","8"
"","","","64073","0","91","","5146064","","",""
"idle_normal_noface","","","64074","130911","3","0.2","5146064","","","1"
"idle_normal_kururu","","","64075","99","3","0.2","5146064","","","1"
"guts2_in_joy","guts2_talk_joy","1","64076","105811","3","0.2","5146064","","0","0"
"guts2_in_joy","guts2_talk_joy","1","64077","1058","3","0.2","5146064","","0","0"
"vo_apg_0405","0","","64078","vo_apg","21","","5146064","","","0"
"是的！看上去\n非常美味☆","1","1","64079","105811","11","0","5146064","0","0","7"
"","","","64080","0","91","","5146064","","",""
"guts2_idle_joy","","","64081","105811","3","0.2","5146064","","","1"
"guts2_idle_joy","","","64082","1058","3","0.2","5146064","","","1"
"memory_talk","","","64083","131511","3","0.5","5146064","","","1"
"vo_apg_0406","0","","64084","vo_apg","21","","5146064","","","0"
"肚子。\n咕嚕嚕……","1","1","64085","131511","11","0","5146064","0","0","10"
"","","","64086","0","91","","5146064","","",""
"memory_idle","","","64087","131511","3","0.2","5146064","","","1"
"joy_talk","","","64088","130911","3","0.2","5146064","","","1"
"joy_talk","","","64089","99","3","0.2","5146064","","","1"
"vo_apg_0407","0","","64090","vo_apg","21","","5146064","","","0"
"就是說啊──♪\n美麗的景色看上去真的\n非常美味……美味？","1","1","64091","130911","11","0","5146064","0","0","9"
"","","","64092","0","91","","5146064","","",""
"kururu_joy_slow","","","64093","130911","3","0.5","5146064","","","1"
"anger_idle_anger","","","64094","131511","3","0.5","5146064","","","1"
"vo_apg_0408","0","","64095","vo_apg","21","","5146064","","","0"
"衝刺。","1","1","64096","131511","11","0","5146064","0","0","8"
"","","","64097","0","91","","5146064","","",""
"walk_jog_dere","","","64098","131511","3","0.2","5146064","","","1"
"1100","3","0","64099","131511","2","","5146064","","","-288"
"0","","","64100","0.5","93","","5146064","","",""
"notice_in_normal2","anger_talk_normal2","1","64101","105811","3","0.2","5146064","","0.2","0"
"notice_in_normal2","anger_talk_normal2","1","64102","1058","3","0.2","5146064","","0.2","0"
"vo_apg_0409","0","","64103","vo_apg","21","","5146064","","","0"
"啊，請等一下\n普蕾西亞～！\n我也要去！","1","1","64104","105811","11","0","5146064","0","0","7"
"","","","64105","0","91","","5146064","","",""
"0","","","64106","0","22","","5146064","","",""
"run_dash_doya","","","64107","105811","3","0.2","5146064","","","1"
"run_dash_doya","","","64108","1058","3","0.2","5146064","","","1"
"1100","1.8","0","64109","105811","2","","5146064","","","-298"
"1100","1.8","0","64110","1058","2","","5146064","","","-298"
"0","","","64111","1.8","93","","5146064","","",""
"0","","","64112","130911","4","","5146064","","",""
"hawawa","anger_talk_surprise2_shy","1","64113","130911","3","0","5146064","","0.2","0"
"vo_apg_0410","0","","64114","vo_apg","21","","5146064","","","0"
"哈哇哇！？原來兩位不是在看景色，\n而是一直在物色美食！？","1","1","64115","130911","11","0","5146064","0","0","9"
"","","","64116","0","91","","5146064","","",""
"0","","","64117","0","22","","5146064","","",""
"0","","","64118","0.1","93","","5146064","","",""
"alter","","","64119","1","37","","5146064","","",""
"1","","","64120","12","32","","5146064","","",""
"0","","","64121","0.4","93","","5146064","","",""
"1","1","0","64122","8","6","0","5146064","","0","1"
"-725","0","0","64123","105811","2","","5146064","","","-278"
"-725","0","0","64124","1058","2","","5146064","","","-278"
"-925","0","0","64125","131511","2","","5146064","","","-278"
"run_dash_peko","","","64126","105811","3","0","5146064","","","1"
"run_dash_peko","","","64127","1058","3","0","5146064","","","1"
"run_dash_presia","","","64128","131511","3","0","5146064","","","1"
"empty","","","64129","130911","3","0","5146064","","","1"
"1185","10","0","64130","105811","2","","5146064","","","-278"
"1185","10","0","64131","1058","2","","5146064","","","-278"
"985","10","0","64132","131511","2","","5146064","","","-278"
"0","","","64133","0.3","93","","5146064","","",""
"0","","","64134","0.8","93","","5146064","","",""
"vo_apg_0411","0","","64135","vo_apg","21","","5146064","","","0"
"首先就從那間攤販開始～☆","0","0","64136","105811","11","40","5146064","1","0","11"
"0","","","64137","3","93","","5146064","","",""
"vo_apg_0412","0","","64138","vo_apg","21","","5146064","","","0"
"全部，\n都要吃喔。","0","0","64139","131511","11","40","5146064","1.3","0","9"
"0","","","64140","0.3","93","","5146064","","",""
"0","","","64141","3.6","93","","5146064","","",""
"","","","64142","64143","101","","5146064","","",""
"0.2","","","64143","0","22","","5146064","","",""
"131011","-225","-278","65001","1","1","1.8","5146065","wish_idle_normal_lookup","0","110"
"99","-225","-278","65002","1","5","1.8","5146065","idle_normal","0","111"
"98","-225","-278","65003","1","5","1.8","5146065","idle_normal","0","109"
"130911","225","-278","65004","1","1","1.8","5146065","idle_normal_noface","1","101"
"97","225","-278","65005","1","5","1.8","5146065","idle_normal_kururu","1","102"
"96","225","-278","65006","1","5","1.8","5146065","idle_normal","1","100"
"106011","-920","-305","65007","1","1","1.85","5146065","empty","0","105"
"1060","-920","-305","65008","4","5","1.85","5146065","empty","0","106"
"210","","","65009","131011","13","","5146065","","",""
"201","","","65010","130911","13","","5146065","","",""
"205","","","65011","106011","13","","5146065","","",""
"8","0","-174","65012","8","5","0.85","5146065","idle","0","15"
"1","0","1","65013","1","31","1","5146065","","","0"
"0","","","65014","0","91","","5146065","","",""
"0","","","65015","0","102","","5146065","","","0"
"0","","","65016","1","93","","5146065","","",""
"wish_idle_joy_lookup","","","65017","131011","3","0.2","5146065","","","1"
"vo_apg_0501","0","","65018","vo_apg","21","","5146065","","","0"
"咕嚕轉～\n咕嚕轉～","1","1","65019","131011","11","0","5146065","0","0","13"
"","","","65020","0","91","","5146065","","",""
"talk_normal_surprise","","","65021","130911","3","0.2","5146065","","","1"
"talk_normal_surprise","","","65022","97","3","0.2","5146065","","","1"
"vo_apg_0502","0","","65023","vo_apg","21","","5146065","","","0"
"真步小小姐，\n怎麼了嗎？","1","1","65024","130911","11","0","5146065","0","0","7"
"","","","65025","0","91","","5146065","","",""
"idle_normal_noface","","","65026","130911","3","0.2","5146065","","","1"
"idle_normal_kururu","","","65027","97","3","0.2","5146065","","","1"
"sad_talk_normalR","","","65028","131011","3","0.2","5146065","","","1"
"vo_apg_0503","0","","65029","vo_apg","21","","5146065","","","0"
"嗯，人家在想摩天輪真可愛呢～\n咕嚕咕嚕轉～","1","1","65030","131011","11","0","5146065","0","0","10"
"","","","65031","0","91","","5146065","","",""
"notice_in_normal2","notice_loop_normal2","1","65032","131011","3","0.2","5146065","","0","0"
"vo_apg_0504","0","","65033","vo_apg","21","","5146065","","","0"
"對了♪","1","1","65034","131011","11","0","5146065","0","0","10"
"","","","65035","0","91","","5146065","","",""
"kururu_wish_idle_light","","","65036","130911","3","0.2","5146065","","","1"
"kururu_wish_idle_light","","","65037","97","3","0.2","5146065","","","1"
"maho_kururinpa_in","maho_kururinpa_loop","1","65038","131011","3","0","5146065","","0","0"
"maho_kururinpa_inF","maho_kururinpa_loopF","1","65039","99","3","0","5146065","","0","0"
"maho_kururinpa_inB","maho_kururinpa_loopB","1","65040","98","3","0","5146065","","0","0"
"vo_apg_0505","0","","65041","vo_apg","21","","5146065","","","0"
"神奇真步魔法靈咕嚕靈波～♪","1","1","65042","131011","11","0","5146065","0","0","9"
"","","","65043","0","91","","5146065","","",""
"kururu_wish_talk_joy","","","65044","130911","3","0.2","5146065","","","1"
"vo_apg_0506","0","","65045","vo_apg","21","","5146065","","","0"
"哇啊♪\n那是什麼那是什麼？\n非常非常可愛的一句話～♪","1","1","65046","130911","11","0","5146065","0","0","8"
"","","","65047","0","91","","5146065","","",""
"maho_kururinpa_out","idle_normal","1","65048","131011","3","0","5146065","","0.2","0"
"maho_kururinpa_outF","idle_normal","1","65049","99","3","0","5146065","","0.2","0"
"maho_kururinpa_outB","idle_normal","1","65050","98","3","0","5146065","","0.2","0"
"kururu_sad_talk_surprise_to_kururinpa","kururu_kururinpa_loop","0","65051","130911","3","0.2","5146065","","0","0"
"kururu_sad_talk_surprise_to_kururinpaF","kururu_kururinpa_loopF","0","65052","97","3","0.2","5146065","","0","0"
"kururu_sad_talk_surprise_to_kururinpaB","kururu_kururinpa_loopB","0","65053","96","3","0.2","5146065","","0","0"
"vo_apg_0507","0","","65054","vo_apg","21","","5146065","","","0"
"我想想我想想，\n神奇真步魔法靈咕嚕靈波～♪\n……是這樣嗎？","1","1","65055","130911","11","0","5146065","0","0","9"
"","","","65056","0","91","","5146065","","",""
"kururu_kururinpa_out","idle_normal_noface","1","65057","130911","3","0","5146065","","0","0"
"kururu_kururinpa_outF","idle_normal_kururu","1","65058","97","3","0","5146065","","0","0"
"kururu_kururinpa_outB","idle_normal","1","65059","96","3","0","5146065","","0","0"
"joy_talk","","","65060","131011","3","0.2","5146065","","","1"
"vo_apg_0508","0","","65061","vo_apg","21","","5146065","","","0"
"妳做得很棒呢♪\n真步魔法靈的部分，\n改成自己的名字再說一次♪","1","1","65062","131011","11","0","5146065","0","0","11"
"","","","65063","0","91","","5146065","","",""
"idle_normal","","","65064","131011","3","0.2","5146065","","","1"
"kururu_hello_fast_to_kururinpa","kururu_kururinpa_loop","0","65065","130911","3","0.2","5146065","","0","0"
"kururu_hello_fast_to_kururinpaF","kururu_kururinpa_loopF","0","65066","97","3","0.2","5146065","","0","0"
"kururu_hello_fast_to_kururinpaB","kururu_kururinpa_loopB","0","65067","96","3","0.2","5146065","","0","0"
"vo_apg_0509","0","","65068","vo_apg","21","","5146065","","","0"
"好的♪\n神奇庫露露魔法靈咕嚕靈波～♪","1","1","65069","130911","11","0","5146065","0","0","9"
"","","","65070","0","91","","5146065","","",""
"kururu_kururinpa_out","idle_normal_noface","1","65071","130911","3","0","5146065","","0","0"
"kururu_kururinpa_outF","idle_normal_kururu","1","65072","97","3","0","5146065","","0","0"
"kururu_kururinpa_outB","idle_normal","1","65073","96","3","0","5146065","","0","0"
"smile2","sad_talk_normalR","1","65074","131011","3","0.2","5146065","","0.2","0"
"smile2","sad_talk_normalR","1","65075","99","3","0.2","5146065","","0.2","0"
"smile2","sad_talk_normalR","1","65076","98","3","0.2","5146065","","0.2","0"
"vo_apg_0510","0","","65077","vo_apg","21","","5146065","","","0"
"呵呵♪\n好像在繞口令呢♪","1","1","65078","131011","11","0","5146065","0","0","10"
"","","","65079","0","91","","5146065","","",""
"maho_kurukuru_in","maho_kurukuru_loop","1","65080","131011","3","0.2","5146065","","0","0"
