d196984187cdd9ee7fc5f57d23ab7aa23e20c05a977eaff2eb582aeea90d90f5,3a8b5323d93b6162a00ea0ecc291f9db1aa569b2fc3bb2bd625a61ffaa0d373c,7a66202544c95e77954db5ce463670f4329cda305396d8b8f7c278e4acc4374f,b6d97668de3ff65afa141d877a01ddb4f449ef2cf60ece49daad5479b3347631,cb469fa63ba6edf8a5560bab28f6689795f1a02760ff960dd4b52ac6bf1f2ca7,e2844ec47de79c2c2823d400a15693975c8ad897cfb3b58548c053f34a6a405a,ac1a2a994743dc2ff309016508a6e59b99fa03df0bf3fae37b26c7dc5ee4198e,17d473ebee82f0c5baff1d56a8bbd6b2066217d83046698cc87467e85be1b779,c0ba4b8e96e79806b7ad3e7b68cee6d85548b25e8247cd0eb1c55ada173dfd87,da28464f3bc7d2acce4ec603090df8d169c8a7580b0a6572c646a95de3d87bbe,0b78568d7d577d0cbce4a8e35ce7e8240eab79b73e781bf0c7a43d32821ea7b1
"112411","7","0","","","1070049","","3","","1","omp_talk_joy1"
"vo_omp_7007","7","","0","","1070050","","21","","0","vo_omp_7007_007"
"112411","7","","1","1","1070051","","11","","10","小凜……！"
"0","7","","","","1070052","","91","","",""
"112611","7","","","","1070053","","4","","","0"
"112411","7","0","","","1070054","","3","","1","omp_psn_20"
"112611","7","0","","","1070055","","3","","1","omp_talk_joy1"
"vo_omp_7007","7","","0","","1070056","","21","","0","vo_omp_7007_008"
"112611","7","","1","1","1070057","","11","","10","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！"
"10","7","","","","1070058","","93","","","1"
"112611","7","","","","1070059","","4","","1","0"
"112611","7","","0","1","1070060","","2","","-205","120"
"112411","7","","0","1","1070061","","2","","-205","420"
"112611","7","0","omp_psn_13_loop","1","1070062","0.1","3","","0","omp_psn_13"
"112411","7","0","omp_psn_13_loop","1","1070063","0.1","3","","0","omp_psn_13"
"112511","7","0","omp_psn_15_loop","1","1070064","0","3","","0","omp_psn_15"
"1","7","","","","1070065","","93","","","1"
"105831","7","0","omp_idle_surprise1","1","1070066","","3","","0","omp_surprise"
"105931","7","0","omp_idle_surprise1","1","1070067","","3","","0","omp_surprise"
"106031","7","0","omp_idle_surprise2","1","1070068","0.2","3","","0","omp_surprise"
"1070057","7","","","","1070069","","91","","",""
"vo_omp_7007","7","","0","","1070070","","21","","0","vo_omp_7007_009"
"112511","7","","1","1","1070071","","11","","10","等等，快、快住手啦……！"
"0","7","","","","1070072","","91","","",""
"105831","7","","","","1070073","","4","","1","1"
"105831","7","0","","","1070074","","3","","1","omp_talk_joy1"
"vo_omp_7007","7","","0","","1070075","","21","","0","vo_omp_7007_010"
"105831","7","","1","1","1070076","","11","","10","小凱留，\n我們也來抱抱吧♪"
"0","7","","","","1070077","","91","","",""
"105831","7","0","","","1070078","","3","","1","omp_idle_joy1"
"106031","7","0","","","1070079","","3","","1","omp_talk_tsun"
"vo_omp_7007","7","","0","","1070080","","21","","0","vo_omp_7007_011"
"106031","7","","1","1","1070081","","11","","10","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？"
"4","7","","","","1070082","","93","","","1"
"105831","7","0","","","1070083","","3","","1","omp_walk"
"105831","7","","1","1","1070084","","2","","-205","-120"
"0","7","","","","1070085","","91","","",""
"105831","7","0.2","","","1070086","","3","","1","omp_idle_joy1"
"1070081","7","","","","1070087","","91","","",""
"105831","7","0","","","1070088","","3","","1","omp_idle_joy1"
"106031","7","0","","","1070089","","3","","1","omp_idle_tsun"
"105931","7","0","","","1070090","","3","","1","omp_talk_normal"
"vo_omp_7007","7","","0","","1070091","","21","","0","vo_omp_7007_012"
"105931","7","","1","1","1070092","","11","","10","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪"
"0","7","","","","1070093","","91","","",""
"105831","7","","0","1","1070094","","2","","-205","-120"
"105931","7","","0","1","1070095","","2","","-205","-440"
"105831","7","0","omp_psn_14_loop","1","1070096","0.1","3","","0","omp_psn_14"
"105931","7","0","omp_psn_14_loop","1","1070097","0.1","3","","0","omp_psn_14"
"106031","7","0","omp_psn_15_loop","1","1070098","0","3","","0","omp_psn_15"
"vo_omp_7007","7","","0","","1070099","","21","","0","vo_omp_7007_013"
"105831","7","","1","1","1070100","","11","","10","抱抱～♪"
"0","7","","","","1070101","","91","","",""
"106031","7","0","","","1070102","","3","","1","omp_psn_16_loop"
"vo_omp_7007","7","","0","","1070103","","21","","0","vo_omp_7007_014"
"106031","7","","1","1","1070104","","11","","10","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？"
"0","7","","","","1070105","","91","","",""
"112611","7","0","","","1070106","","3","","1","omp_psn_13_loop"
"vo_omp_7007","7","","0","","1070107","","21","","0","vo_omp_7007_015"
"112611","7","","1","1","1070108","","11","","10","哇～！\n凱留凱留～！"
"0","7","","","","1070109","","91","","",""
"112611","7","0","","","1070110","","3","","1","omp_psn_13_loop"
"112411","7","0","","","1070111","","3","","1","omp_psn_13_loop"
"vo_omp_7007","7","","0","","1070112","","21","","0","vo_omp_7007_016"
"112411","7","","1","1","1070113","","11","","10","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！"
"0","7","","","","1070114","","91","","",""
"112411","7","0","","","1070115","","3","","1","omp_psn_13_loop"
"112511","7","0","","","1070116","","3","","1","omp_psn_15_loop"
"vo_omp_7007","7","","0","","1070117","","21","","0","vo_omp_7007_017"
"112511","7","","1","1","1070118","","11","","10","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！"
"5.5","7","","","","1070119","","93","","","1"
"112511","7","0.1","","","1070120","","3","","1","omp_psn_16_loop"
"1070118","7","","","","1070121","","91","","",""
"0.4","7","","","","1070122","","93","","",""
"1","8","1.8","200","-195","1080001","1","1","omp_idle_normal","1600","105831"
"1","8","1.8","0","-185","1080002","0","1","omp_talk_normal","1500","105931"
"1","8","1.8","-200","-205","1080003","0","1","omp_idle_normal","1600","106031"
"1","8","1","0","1","1080004","","31","","0","1"
"1","8","","","","1080005","","93","","",""
"vo_omp_7008","8","","0","","1080006","","21","","0","vo_omp_7008_000"
"105931","8","","1","1","1080007","","11","","10","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。"
"0","8","","","","1080008","","91","","",""
"105931","8","0","","","1080009","","3","","1","omp_idle_normal"
"105831","8","0","","","1080010","","3","","1","omp_talk_joy1"
"vo_omp_7008","8","","0","","1080011","","21","","0","vo_omp_7008_001"
"105831","8","","1","1","1080012","","11","","10","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆"
"0","8","","","","1080013","","91","","",""
"105831","8","0","","","1080014","","3","","1","omp_idle_joy1"
"106031","8","0","","","1080015","","3","","1","omp_talk_sad"
"vo_omp_7008","8","","0","","1080016","","21","","0","vo_omp_7008_002"
"106031","8","","1","1","1080017","","11","","10","唉……妳的腦袋裡\n真的都只想著吃呢。"
"0","8","","","","1080018","","91","","",""
"106031","8","0","","","1080019","","3","","1","omp_idle_sad"
"105931","8","0","","","1080020","","3","","1","omp_talk_normal"
"vo_omp_7008","8","","0","","1080021","","21","","0","vo_omp_7008_003"
"105931","8","","1","1","1080022","","11","","10","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。"
"0","8","","","","1080023","","91","","",""
"105931","8","0","","","1080024","","3","","1","omp_idle_normal"
"106031","8","0","","","1080025","","3","","1","omp_talk_surprise1"
"vo_omp_7008","8","","0","","1080026","","21","","0","vo_omp_7008_004"
"106031","8","","1","1","1080027","","11","","10","連可蘿仔也是！？"
"0","8","","","","1080028","","91","","",""
"106031","8","0","","","1080029","","3","","1","omp_idle_surprise1"
"105831","8","0","","","1080030","","3","","1","omp_talk_normal"
"vo_omp_7008","8","","0","","1080031","","21","","0","vo_omp_7008_005"
"105831","8","","1","1","1080032","","11","","10","小凱留打算怎麼做呢～？"
"0","8","","","","1080033","","91","","",""
"105931","8","","","","1080034","","4","","","1"
"105831","8","0","","","1080035","","3","","1","omp_idle_normal"
"106031","8","0","","","1080036","","3","","1","omp_talk_tsun"
"vo_omp_7008","8","","0","","1080037","","21","","0","vo_omp_7008_006"
"106031","8","","1","1","1080038","","11","","10","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。"
"0","8","","","","1080039","","91","","",""
"106031","8","0","","","1080040","","3","","1","omp_idle_tsun"
"105931","8","0","","","1080041","","3","","1","omp_talk_normal"
"vo_omp_7008","8","","0","","1080042","","21","","0","vo_omp_7008_007"
"105931","8","","1","1","1080043","","11","","10","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪"
"0","8","","","","1080044","","91","","",""
"105931","8","","","","1080045","","4","","","0"
"105931","8","0","","","1080046","","3","","1","omp_idle_normal"
"105831","8","0","","","1080047","","3","","1","omp_talk_joy1"
"vo_omp_7008","8","","0","","1080048","","21","","0","vo_omp_7008_008"
"105831","8","","1","1","1080049","","11","","10","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！"
"0","8","","","","1080050","","91","","",""
"0.4","8","","","","1080051","","93","","",""
"1","9","1.8","300","-270","1090001","1","1","omp_idle_normal","1600","105831"
"1","9","1.8","450","-285","1090002","1","1","omp_idle_normal","1700","105931"
"1","9","1.8","-310","-230","1090003","1","1","omp_idle_normal","1600","106031"
"1","9","1.8","-45","-190","1090004","1","1","omp_idle_normal","1500","112511"
"1","9","1.8","65","-240","1090005","1","1","omp_idle_normal","1600","112411"
"1","9","1.8","205","-192","1090006","1","1","omp_idle_normal","1500","112611"
"1","9","1","0","1","1090007","","31","","0","1"
"0.2","9","","","","1090008","","93","","",""
"112611","9","0.1","","","1090009","","3","","1","omp_idle_normal"
"106031","9","0","","","1090010","","3","","1","omp_talk_sad"
"112511","9","0.1","","","1090011","","3","","1","omp_idle_normal"
"105831","9","0.1","","","1090012","","3","","1","omp_idle_normal"
"0.1","9","","","","1090013","","93","","",""
"1","9","","","","1090014","","93","","",""
"vo_omp_7009","9","","0","","1090015","","21","","0","vo_omp_7009_000"
"106031","9","","1","1","1090016","","11","","10","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！"
"0","9","","","","1090017","","91","","",""
"106031","9","0","","","1090018","","3","","0","omp_psn_17"
"vo_omp_7009","9","","0","","1090019","","21","","0","vo_omp_7009_001"
"106031","9","","1","1","1090020","","11","","10","……凱留凱留\n說笑的喵。"
"2","9","","","","1090021","","93","","","1"
"106031","9","0.2","","","1090022","","3","","1","omp_talk_sad"
"1090020","9","","","","1090023","","91","","",""
"106031","9","0","","","1090024","","3","","1","omp_idle_sad"
"105831","9","0","omp_idle_joy1","1","1090025","0.2","3","","0","omp_psn_17"
"vo_omp_7009","9","","0","","1090026","","21","","0","vo_omp_7009_002"
"105831","9","","1","1","1090027","","11","","10","凱留凱留♪"
"0","9","","","","1090028","","91","","",""
"105931","9","0","omp_idle_normal","","1090029","0.2","3","","1","omp_psn_17"
"vo_omp_7009","9","","0","","1090030","","21","","0","vo_omp_7009_003"
"105931","9","","1","1","1090031","","11","","10","凱留凱留喵。"
"0","9","","","","1090032","","91","","",""
"106031","9","","","","1090033","","4","","","0"
"106031","9","0","omp_idle_surprise1","1","1090034","0","3","","0","omp_surprise"
"vo_omp_7009","9","","0","","1090035","","21","","0","vo_omp_7009_004"
"106031","9","","1","1","1090036","","11","","10","妳、妳們幾個！？\n看、看到剛才的……！？"
"0","9","","","","1090037","","91","","",""
"112611","9","0","omp_idle_joy1","","1090038","0.2","3","","1","omp_psn_17_other"
"vo_omp_7009","9","","0","","1090039","","21","","0","vo_omp_7009_005"
"112611","9","","1","1","1090040","","11","","10","凱留凱留～♪\n華麗登場喵☆"
"0","9","","","","1090041","","91","","",""
"106031","9","0","","","1090042","","3","","1","omp_talk_anger2"
"vo_omp_7009","9","","0","","1090043","","21","","0","vo_omp_7009_006"
"106031","9","","1","1","1090044","","11","","10","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！"
"0","9","","","","1090045","","91","","",""
"106031","9","0","","","1090046","","3","","1","omp_idle_anger2"
"112411","9","0","","","1090047","","3","","1","omp_talk_sad"
"vo_omp_7009","9","","0","","1090048","","21","","0","vo_omp_7009_007"
"112411","9","","1","1","1090049","","11","","10","凱、凱留。呃，那個……"
"0","9","","","","1090050","","91","","",""
"112411","9","0","","","1090051","","3","","1","omp_idle_sad"
"112511","9","0","","","1090052","","3","","1","omp_talk_normal"
"vo_omp_7009","9","","0","","1090053","","21","","0","vo_omp_7009_008"
"112511","9","","1","1","1090054","","11","","10","妳很辛苦呢。"
"0","9","","","","1090055","","91","","",""
"112511","9","0","","","1090056","","3","","1","omp_idle_normal"
"106031","9","0","","","1090057","","3","","1","omp_talk_tsun"
"vo_omp_7009","9","","0","","1090058","","21","","0","vo_omp_7009_009"
"106031","9","","1","1","1090059","","11","","10","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！"
"0","9","","","","1090060","","91","","",""
"106031","9","0","","","1090061","","3","","1","omp_idle_tsun"
"112511","9","0","","","1090062","","3","","1","omp_talk_normal"
"vo_omp_7009","9","","0","","1090063","","21","","0","vo_omp_7009_010"
"112511","9","","1","1","1090064","","11","","10","可是我覺得那個很可愛耶。"
"0","9","","","","1090065","","91","","",""
"112511","9","0","","","1090066","","3","","1","omp_idle_normal"
"112411","9","0","","","1090067","","3","","1","omp_talk_joy2"
"vo_omp_7009","9","","0","","1090068","","21","","0","vo_omp_7009_011"
"112411","9","","1","1","1090069","","11","","10","是啊！　非常棒喔！"
"0","9","","","","1090070","","91","","",""
"112411","9","0","","","1090071","","3","","1","omp_psn_20"
"106031","9","0","","","1090072","","3","","1","omp_talk_tsun"
"vo_omp_7009","9","","0","","1090073","","21","","0","vo_omp_7009_012"
"106031","9","","1","1","1090074","","11","","10","聽到那種話我才不覺得開心啦～！？"
"0","9","","","","1090075","","91","","",""
"106031","9","0","","","1090076","","3","","1","omp_idle_tsun"
"105831","9","0","omp_idle_joy1","1","1090077","0.2","3","","0","omp_psn_17"
"105931","9","0","omp_idle_normal","1","1090078","0.2","3","","0","omp_psn_17"
"112611","9","0","omp_idle_joy1","1","1090079","0.2","3","","0","omp_psn_17_other"
"vo_omp_7009","9","","0","","1090080","","21","","0","vo_omp_7009_013"
"105831","9","","1","1","1090081","","11","","10","凱留凱留♪"
"0","9","","","","1090082","","91","","",""
"106031","9","0","","","1090083","","3","","1","omp_talk_anger2"
"vo_omp_7009","9","","0","","1090084","","21","","0","vo_omp_7009_014"
"106031","9","","1","1","1090085","","11","","10","我一定要宰了妳們～～～～～～～！"
"0","9","","","","1090086","","91","","",""
"0.4","9","","","","1090087","","93","","",""
