f4c8ff51ac8c8f4b4ba3d329fefbb84b2261ae796fc10f9fe58a8571d1d3a330,869035e9351346c3d8e00eb40d6f88e4c747e618a9f68568b52aa85743bd15fa,97d02f981fb4176be4bb8fb8e42423d6fa7e2af933cd43ae672ba1f1e95ff851,15d0303059c6298b9fe9982ba9bd5d4ac5eb0c9890b74ab960ff58cfa8733e1d,e37806c93bb259c1523ba07564e6368125b36891ce29c6b79ca25e809fdbed5b
"33","76020008","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","602000801"
"25","76020008","戰鬥中，發動「戰鬥中提升持續物理攻擊力」效果。","危險領域","602000802"
"18","76020008","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000803"
"17","76020008","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000804"
"boss_def_lower_limit","76020008","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000805"
"boss_magic_def_lower_limit","76020008","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000806"
"9","76020008","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000807"
"boss_tp_down_cut","76020008","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000808"
"boss_atk_up","76020008","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","602000809"
"33","76020009","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","602000901"
"25","76020009","戰鬥中，發動「戰鬥中提升持續物理攻擊力」效果。","危險領域","602000902"
"18","76020009","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602000903"
"17","76020009","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602000904"
"boss_def_lower_limit","76020009","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602000905"
"boss_magic_def_lower_limit","76020009","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602000906"
"9","76020009","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602000907"
"boss_tp_down_cut","76020009","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602000908"
"boss_atk_up","76020009","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","602000909"
"33","76020010","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","602001001"
"25","76020010","戰鬥中，發動「戰鬥中提升持續物理攻擊力」效果。","危險領域","602001002"
"18","76020010","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","602001003"
"17","76020010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","602001004"
"boss_def_lower_limit","76020010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","602001005"
"boss_magic_def_lower_limit","76020010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","602001006"
"9","76020010","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","602001007"
"boss_tp_down_cut","76020010","戰鬥開始時，所有怪物的ＴＰ下降為\n減少50％的狀態。","減少降低TP","602001008"
"boss_atk_up","76020010","戰鬥開始後每隔一定時間，全體怪物的物理攻擊力中幅度提升。","戰鬥中提升持續物理攻擊力","602001009"
"33","76030001","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","603000101"
"18","76030001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","603000102"
"17","76030001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","603000103"
"boss_def_lower_limit","76030001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","603000104"
"boss_magic_def_lower_limit","76030001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","603000105"
"boss_tp_down_cut","76030001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","603000106"
"33","76030002","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","603000201"
"18","76030002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","603000202"
"17","76030002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","603000203"
"boss_def_lower_limit","76030002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","603000204"
"boss_magic_def_lower_limit","76030002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","603000205"
"boss_tp_down_cut","76030002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","603000206"
"33","76030003","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","603000301"
"18","76030003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","603000302"
"17","76030003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","603000303"
"boss_def_lower_limit","76030003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","603000304"
"boss_magic_def_lower_limit","76030003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","603000305"
"boss_tp_down_cut","76030003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","603000306"
"33","76030004","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","603000401"
"18","76030004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","603000402"
"17","76030004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","603000403"
"boss_def_lower_limit","76030004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","603000404"
"boss_magic_def_lower_limit","76030004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","603000405"
"boss_tp_down_cut","76030004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","603000406"
"33","76030005","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","603000501"
"18","76030005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","603000502"
"17","76030005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","603000503"
"boss_def_lower_limit","76030005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","603000504"
"boss_magic_def_lower_limit","76030005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","603000505"
"boss_tp_down_cut","76030005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","603000506"
"33","76040001","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","604000101"
"18","76040001","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","604000102"
"17","76040001","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","604000103"
"boss_def_lower_limit","76040001","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","604000104"
"boss_magic_def_lower_limit","76040001","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","604000105"
"9","76040001","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","604000106"
"boss_tp_down_cut","76040001","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","604000107"
"33","76040002","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","604000201"
"18","76040002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","604000202"
"17","76040002","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","604000203"
"boss_def_lower_limit","76040002","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","604000204"
"boss_magic_def_lower_limit","76040002","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","604000205"
"9","76040002","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","604000206"
"boss_tp_down_cut","76040002","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","604000207"
"33","76040003","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","604000301"
"18","76040003","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","604000302"
"17","76040003","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","604000303"
"boss_def_lower_limit","76040003","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","604000304"
"boss_magic_def_lower_limit","76040003","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","604000305"
"9","76040003","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","604000306"
"boss_tp_down_cut","76040003","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","604000307"
"33","76040004","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","604000401"
"18","76040004","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","604000402"
"17","76040004","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","604000403"
"boss_def_lower_limit","76040004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","604000404"
"boss_magic_def_lower_limit","76040004","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","604000405"
"9","76040004","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","604000406"
"boss_tp_down_cut","76040004","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","604000407"
"33","76040005","編組４位以上的同屬性角色時，會強化角色的屬性獎勵。","全屬性獎勵特大幅度提升","604000501"
"18","76040005","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","604000502"
"17","76040005","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","賦予TP上升的上限","604000503"
"boss_def_lower_limit","76040005","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","604000504"
"boss_magic_def_lower_limit","76040005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","604000505"
"9","76040005","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","604000506"
"boss_tp_down_cut","76040005","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","減少降低TP","604000507"
