7e463d1f44a4ca96afb9fa36a874ba14fbe0149b20f0aa4ee00fdc667a8aab84,c5023b8a6f501bf83b7aef405c41d1d6997373ebc0f85417af8fa83d85eb092b,e6548a3466daa08d7c29a4ffb15fa3fa8a01a9d020b6f0aee02393ea34c18f12,1e796daf178b10cc979562016d41e05dc23127e4896c746253bbfdbcb77373f0,eb508df275fc509d15e9ce2bbb391a7eb497d30a652e330b5d030cf771c1b99a
"賦予TP上升上限","100105903","81001059","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100105904","81001059","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100105905","81001059","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100105906","81001059","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106001","81001060","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106002","81001060","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106003","81001060","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106004","81001060","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106005","81001060","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106006","81001060","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","100106007","81001060","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"持續恢復TP","100106008","81001060","戰鬥開始時，對所有怪物施加持續小幅度恢復ＴＰ狀態。","energy_recover"
"火屬性獎勵特大幅度提升","100106101","81001061","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106102","81001061","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106103","81001061","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106104","81001061","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106105","81001061","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106106","81001061","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106201","81001062","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106202","81001062","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106203","81001062","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106204","81001062","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106205","81001062","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106206","81001062","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106301","81001063","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106302","81001063","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106303","81001063","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106304","81001063","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106305","81001063","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106306","81001063","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106401","81001064","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106402","81001064","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106403","81001064","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106404","81001064","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106405","81001064","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106406","81001064","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106501","81001065","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106502","81001065","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106503","81001065","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106504","81001065","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106505","81001065","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106506","81001065","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"危險領域","100106601","81001066","戰鬥中，發動「物理傷害降低」效果。","25"
"火屬性獎勵特大幅度提升","100106602","81001066","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106603","81001066","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106604","81001066","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106605","81001066","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106606","81001066","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106607","81001066","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"物理傷害降低","100106608","81001066","戰鬥開始時，所有怪物的物理傷害為減少100%的狀態。","boss_physics_cut"
"火屬性獎勵特大幅度提升","100106701","81001067","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106702","81001067","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106703","81001067","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106704","81001067","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106705","81001067","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106706","81001067","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106801","81001068","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106802","81001068","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106803","81001068","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106804","81001068","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106805","81001068","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106806","81001068","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100106901","81001069","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100106902","81001069","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100106903","81001069","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100106904","81001069","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100106905","81001069","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100106906","81001069","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"火屬性獎勵特大幅度提升","100107001","81001070","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107002","81001070","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107003","81001070","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107004","81001070","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107005","81001070","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107006","81001070","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","100107007","81001070","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"降低HP恢復量","100107008","81001070","戰鬥開始時，大幅度降低全體角色的HP恢復量。","2"
"火屬性獎勵特大幅度提升","100107101","81001071","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107102","81001071","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107103","81001071","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107104","81001071","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107105","81001071","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107106","81001071","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107107","81001071","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107108","81001071","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107201","81001072","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107202","81001072","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107203","81001072","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107204","81001072","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107205","81001072","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107206","81001072","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107207","81001072","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107208","81001072","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107301","81001073","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107302","81001073","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107303","81001073","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107304","81001073","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107305","81001073","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107306","81001073","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107307","81001073","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107308","81001073","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107401","81001074","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107402","81001074","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107403","81001074","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107404","81001074","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107405","81001074","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107406","81001074","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107407","81001074","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107408","81001074","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107501","81001075","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107502","81001075","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107503","81001075","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107504","81001075","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107505","81001075","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107506","81001075","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107507","81001075","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107508","81001075","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"危險領域","100107601","81001076","戰鬥中，發動「降低魔法防禦力」效果。","25"
"火屬性獎勵特大幅度提升","100107602","81001076","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107603","81001076","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107604","81001076","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107605","81001076","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107606","81001076","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107607","81001076","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107608","81001076","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107609","81001076","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"降低魔法防禦力","100107610","81001076","戰鬥開始時，特大幅度降低全體角色的魔法防禦力。","8"
"火屬性獎勵特大幅度提升","100107701","81001077","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107702","81001077","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107703","81001077","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107704","81001077","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107705","81001077","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107706","81001077","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107707","81001077","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107708","81001077","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107801","81001078","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107802","81001078","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107803","81001078","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107804","81001078","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107805","81001078","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107806","81001078","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107807","81001078","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107808","81001078","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100107901","81001079","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100107902","81001079","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100107903","81001079","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100107904","81001079","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100107905","81001079","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100107906","81001079","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100107907","81001079","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100107908","81001079","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108001","81001080","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108002","81001080","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108003","81001080","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108004","81001080","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108005","81001080","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108006","81001080","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"減少TP下降","100108007","81001080","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"傷害降低","100108008","81001080","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108009","81001080","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"物理傷害降低","100108010","81001080","戰鬥開始時，所有怪物的物理傷害為減少50%的狀態。","boss_physics_cut"
"火屬性獎勵特大幅度提升","100108101","81001081","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108102","81001081","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108103","81001081","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108104","81001081","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108105","81001081","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108106","81001081","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108107","81001081","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108108","81001081","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108201","81001082","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108202","81001082","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108203","81001082","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108204","81001082","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108205","81001082","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108206","81001082","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108207","81001082","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108208","81001082","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108301","81001083","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108302","81001083","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108303","81001083","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108304","81001083","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108305","81001083","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108306","81001083","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108307","81001083","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108308","81001083","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108401","81001084","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108402","81001084","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108403","81001084","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108404","81001084","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108405","81001084","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108406","81001084","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108407","81001084","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108408","81001084","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"火屬性獎勵特大幅度提升","100108501","81001085","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108502","81001085","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108503","81001085","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"提升物理防禦力（不可降低）","100108504","81001085","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"提升魔法防禦力（不可降低）","100108505","81001085","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108506","81001085","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
"傷害降低","100108507","81001085","戰鬥開始時，所有怪物的傷害為\n減少10％的狀態。","boss_damage_cut"
"物理魔法暴擊率降低","100108508","81001085","戰鬥開始時，大幅度降低全體角色的物理與魔法暴擊率。","35"
"危險領域","100108601","81001086","戰鬥中，發動「特大幅度提升物理防禦力（不可降低）」、「特大幅度提升魔法防禦力（不可降低）」效果。","25"
"火屬性獎勵特大幅度提升","100108602","81001086","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12"
"深域怪物","100108603","81001086","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11"
"賦予TP上升上限","100108604","81001086","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"特大幅度提升物理防禦力（不可降低）","100108605","81001086","戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"特大幅度提升魔法防禦力（不可降低）","100108606","81001086","戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"降低HP吸收","100108607","81001086","戰鬥開始時，大幅度降低全體角色的HP吸收。","9"
