ecc970bee923faa6438214b97455d375f22dcb93e589265cc08005afcd702728,57e39a8dd22a8e5d4bf9259ddf9ed0cf2d711febcc9c364b852ea52da5e1ab63,6ac7cf770c4370fa1689fd3e91f068edbbd8b975343a17b123526e414072b372,062bb252eac31bf0a380f871df865b0f6873ddd201fb202029884842b427f8f9,9cd6228b2fa93a4514dbea7b16ed46d2ab6fd0937b6297810dec17fd0b9018a3,fe7ae7b78b1bc8e20d9c4eb7372207dfa7153a2b22f609eb85b3c641772f48ab,8caba80404a972b94a9412ff17312a9f425cfe45c7119aaa1037dc59150ccb4f,8dff3d25615b4ff09191303e88c4ca2f5a15202141848d950348f1c511c5ea3a,f5ff534ea11e99b2c7b00fea83827ce0351da80cfcc8715560040c5a4c318389,3b3fc33b2b237ed2f596b2398eecee1c4d4c1455c413f24b7e728505f1113e61,a3446d80b1b71b749332a54745152ee9972e65274de066ba355d719acdb726af
"1","1","","892","1","18920004","","31","-850","116","-180"
"","1750","","892","","18920005","","2","-180","107911","13.5"
"","1750","","892","","18920006","","2","-180","1","13.5"
"","1750","","892","","18920007","","33","-180","1","13.5"
"","","","892","","18920008","","93","","1.6",""
"","vo_fpc_89201","","892","","18920009","","21","","vo_fpc","0"
"","se_fpc_water_random","","893","","18930001","","23","","se_10053800",""
"-180","107811","0","893","1.75","18930002","cmn_boat_nervous","1","23","1","-850"
"-180","1","0","893","1.75","18930003","cmn_boat_idle_l","5","22","2","-850"
"1","1","","893","1","18930004","","31","-850","116","-180"
"","1750","","893","","18930005","","2","-180","107811","13.5"
"","1750","","893","","18930006","","2","-180","1","13.5"
"","1750","","893","","18930007","","33","-180","1","13.5"
"","","","893","","18930008","","93","","1.6",""
"","vo_fpc_89301","","893","","18930009","","21","","vo_fpc","0"
"","se_fpc_water_random","","894","","18940001","","23","","se_10053800",""
"-180","127011","0","894","1.75","18940002","00_kuka_float","1","22","1","-1100"
"-180","1","0","894","0.3","18940003","idle","5","22","9","-1250"
"-180","2","0","894","0.3","18940004","idle","5","22","9","-950"
"1","1","","894","1","18940005","","31","-1100","6","-180"
"1","2","","894","1","18940006","","31","-1250","125","-180"
"1","3","","894","1","18940007","","31","-950","125","-180"
"","1050","","894","","18940008","","2","-180","127011","10"
"","900","","894","","18940009","","2","-180","1","10"
"","1200","","894","","18940010","","2","-180","2","10"
"","1050","","894","","18940011","","33","-180","1","10"
"","900","","894","","18940012","","33","-180","2","10"
"","1200","","894","","18940013","","33","-180","3","10"
"","","","894","","18940014","","93","","2.1",""
"","vo_fpc_89401","","894","","18940015","","21","","vo_fpc","0"
"","se_fpc_water_random","","895","","18950001","","23","","se_10053800",""
"-180","22","0","895","1.66","18950002","48_kyaru_floatRing","5","22","22","-1100"
"1","1","","895","1","18950003","","31","-1100","102","-180"
"","1050","","895","","18950004","","2","-180","22","10"
"","1050","","895","","18950005","","33","-180","1","10"
"","","","895","","18950006","","93","","2.1",""
"","vo_fpc_89501","","895","","18950007","","21","","vo_fpc","0"
"","se_fpc_water_random","","896","","18960001","","23","","se_10053800",""
"-180","21","0","896","1.66","18960002","02_neneka_floatRing","5","22","21","-1100"
"1","1","","896","1","18960003","","31","-1100","102","-180"
"","1050","","896","","18960004","","2","-180","21","10"
"","1050","","896","","18960005","","33","-180","1","10"
"","","","896","","18960006","","93","","2.5",""
"","vo_fpc_89601","","896","","18960007","","21","","vo_fpc","0"
"-250","126811","0","901","1.75","19010001","01_yukari_idle","1","33","1","-900"
"-250","3","0","901","1.75","19010002","01_yukari_idle","5","34","3","-900"
"-250","2","0","901","1.75","19010003","cmn_boat_idle","5","32","2","-900"
"1","126811","","901","1","19010004","","31","-900","101","-250"
"","se_fpc_water_random","","901","","19010005","","23","1","se_10053800",""
"","0","","901","","19010006","","91","","19010004",""
"12","0","","901","","19010007","","2","-250","126811","5.29411764705882"
"12","0","","901","","19010008","","2","-250","3","5.29411764705882"
"12","0","","901","","19010009","","2","-250","2","5.29411764705882"
"12","0","","901","","19010010","","33","-250","126811","5.29411764705882"
"","","","901","","19010011","","91","","",""
"1","01_yukari_talk","0.1","901","0.1","19010012","","3","0","126811","01_yukari_talk_loop"
"1","01_yukari_talk","0.1","901","0.1","19010013","","3","0","3","01_yukari_talk_loop"
"","cmn_boat_idle","","901","0.1","19010014","","3","1","2",""
"","0","","901","","19010015","","93","","4",""
"","vo_fpc_20100","","901","","19010016","","21","","vo_fpc","0"
"0","噗哈～","0","901","0","19010017","0.5","11","6","126811","1"
"","","","901","","19010018","","91","","0",""
"","0","","901","","19010019","","93","","0.5",""
"","vo_fpc_20101","","901","","19010020","","21","","vo_fpc","0"
"0","雖然在盛夏的海灘上喝酒很棒，\n但寒冬時像這樣在泳池邊喝酒\n也很奢侈，真棒呢……","0","901","0","19010021","0.5","11","8","126811","1"
"","","","901","","19010022","","91","","0",""
"","0","","901","","19010023","","93","","0.5",""
"","vo_fpc_20102","","901","","19010024","","21","","vo_fpc","0"
"0","再去掰託秋乃\n追加進貨一些\n聖騎似麥酒和祕麥酒吧……","0","901","0","19010025","0.5","11","6","126811","1"
"","","","901","","19010026","","91","","0",""
"","0","","901","","19010027","","93","","0.5",""
"","01_yukari_talk2_loop","","901","0.1","19010028","","3","1","126811",""
"","01_yukari_talk2_loop","","901","0.1","19010029","","3","1","3",""
"","cmn_boat_idle","","901","0.1","19010030","","3","1","2",""
"","vo_fpc_20103","","901","","19010031","","21","","vo_fpc","0"
"0","話縮回來，總覺得暈暈的捏～\n明明是泳池卻有巨浪\n打過來嗎……呃，唔噗！","0","901","0","19010032","0.5","11","7","126811","1"
"","","","901","","19010033","","91","","0",""
"1","01_yukari_sick_1","0.1","901","0.1","19010034","","3","0","126811","01_yukari_sick_1_loop"
"1","01_yukari_sick_1","0.1","901","0.1","19010035","","3","0","3","01_yukari_sick_1_loop"
"","cmn_boat_idle","","901","0.1","19010036","","3","1","2",""
"","0","","901","","19010037","","93","","2",""
"1","01_yukari_sick_2","0.1","901","0.1","19010038","","3","0","126811","01_yukari_sick_2_loop"
"1","01_yukari_sick_2","0.1","901","0.1","19010039","","3","0","3","01_yukari_sick_2_loop"
"","cmn_boat_idle","","901","0.1","19010040","","3","1","2",""
"","vo_fpc_20104","","901","","19010041","","21","","vo_fpc","0"
"0","啊，不行……\n我的胃也有波巨浪……\n要、要忍住啊，優花梨……","0","901","0","19010042","0.5","11","9","126811","1"
"","","","901","","19010043","","91","","0",""
"","0","","901","","19010044","","93","","0.5",""
"","1000","","901","","19010045","","2","-250","126811","4.52488687782805"
"","1000","","901","","19010046","","2","-250","3","4.52488687782805"
"","1000","","901","","19010047","","2","-250","2","4.52488687782805"
"","1000","","901","","19010048","","33","-250","126811","4.52488687782805"
"","","","901","","19010049","","91","","0",""
"-180","1","0","902","1.75","19020001","02_neneka_floatRing","5","22","21","-780"
"-125","2","0","902","1.6625","19020002","02_neneka_floatRing","5","12","21","-780"
"-250","3","0","902","1.8375","19020003","02_neneka_floatRing","5","32","21","-780"
"-180","4","0","902","1.75","19020004","02_neneka_floatRing","5","22","21","-780"
"-125","5","0","902","1.6625","19020005","02_neneka_floatRing","5","12","21","-780"
"-250","6","0","902","1.8375","19020006","02_neneka_floatRing","5","32","21","-780"
"1","1","","902","1","19020007","","31","-780","102","-180"
"1","2","","902","1","19020008","","31","-780","102","-125"
"1","3","","902","1","19020009","","31","-780","102","-250"
"1","4","","902","1","19020010","","31","-780","102","-180"
"1","5","","902","1","19020011","","31","-780","102","-125"
"1","6","","902","1","19020012","","31","-780","102","-250"
"","se_fpc_water_random","","902","","19020013","","23","1","se_10053800",""
"","","","902","","19020014","","91","","19020012",""
"12","0","","902","","19020015","","2","-180","1","4.58823529411765"
"12","0","","902","","19020016","","33","-180","1","4.58823529411765"
"","","","902","","19020017","","91","","19020015",""
"","vo_fpc_20200","","902","","19020018","","21","","vo_fpc","0"
"0","嗯……","0","902","0","19020019","0.5","11","10","1","1"
"","","","902","","19020020","","91","","0",""
"","0","","902","","19020021","","93","","0.5",""
"12","150","","902","","19020022","","2","-180","1","3.70588235294118"
"12","150","","902","","19020023","","33","-180","1","3.70588235294118"
"","02_neneka_floatRing","","902","0.1","19020024","","3","1","2",""
"12","-150","","902","","19020025","","2","-125","2","3.70588235294118"
"12","-150","","902","","19020026","","33","-125","2","3.70588235294118"
"","","","902","","19020027","","91","","19020025",""
"","vo_fpc_20201","","902","","19020028","","21","","vo_fpc","0"
"0","雖然我有想過，就只是隨波逐流\n這種世間凡夫俗子般的行為，\n究竟是哪裡好玩了……","0","902","0","19020029","0.5","11","8","2","1"
"","","","902","","19020030","","91","","0",""
"","0","","902","","19020031","","93","","0.5",""
"12","250","","902","","19020032","","2","-180","1","3.11764705882353"
"12","250","","902","","19020033","","33","-180","1","3.11764705882353"
"12","0","","902","","19020034","","2","-125","2","3.11764705882353"
"12","0","","902","","19020035","","33","-125","2","3.11764705882353"
"","02_neneka_floatRing","","902","0.1","19020036","","3","1","3",""
"12","-250","","902","","19020037","","2","-250","3","3.11764705882353"
"12","-250","","902","","19020038","","33","-250","3","3.11764705882353"
"","","","902","","19020039","","91","","19020037",""
"","vo_fpc_20202","","902","","19020040","","21","","vo_fpc","0"
"0","不過這也別有一番趣味呢……\n下次也帶諾維姆過來\n漂流看看吧。","0","902","0","19020041","0.5","11","7","3","1"
"","1","","902","","19020042","","93","","4.5",""
"","0","","902","","19020043","","93","","0.9",""
"","","","902","","19020044","","91","","19020041",""
"","02_neneka_floatRing","","902","0.1","19020045","","3","1","4",""
"","850","","902","","19020046","","2","-180","4","7.37556561085973"
"","850","","902","","19020047","","33","-180","4","7.37556561085973"
"","0","","902","","19020048","","93","","0.2",""
"","02_neneka_floatRing","","902","0.1","19020049","","3","1","5",""
"12","850","","902","","19020050","","2","-180","1","2.71493212669683"
"12","850","","902","","19020051","","33","-180","1","2.71493212669683"
"","0","","902","","19020052","","93","","0.2",""
"12","850","","902","","19020053","","2","-125","2","3.84615384615385"
"12","850","","902","","19020054","","33","-125","2","3.84615384615385"
"","0","","902","","19020055","","93","","0.1",""
"12","850","","902","","19020056","","2","-250","3","4.97737556561086"
"12","850","","902","","19020057","","33","-250","3","4.97737556561086"
"","0","","902","","19020058","","93","","1.5",""
"","850","","902","","19020059","","2","-125","5","6.26923076923077"
"","850","","902","","19020060","","33","-125","5","6.26923076923077"
"","0","","902","","19020061","","93","","1",""
"","02_neneka_floatRing","","902","0.1","19020062","","3","1","6",""
"","850","","902","","19020063","","2","-250","6","6.63800904977376"
"","850","","902","","19020064","","33","-250","6","6.63800904977376"
"","","","902","","19020065","","91","","0",""
"","0","","902","","19020066","","93","","1",""
"","","","902","","19020067","","91","","0",""
"-15","113211","0","903","1.4875","19030001","03_cmn_walk_styk_N2","1","12","1","-750"
"-15","113311","0","903","1.4875","19030002","03_cmn_run_def_N","1","12","1","750"
"","se_fpc_water_random","","903","","19030003","","23","1","se_10053800",""
"","0","","903","","19030004","","91","","19030002",""
"","-150","","903","","19030005","","2","-15","113211","3.52941176470588"
"","0","","903","","19030006","","93","","1.5",""
"","150","","903","","19030007","","2","-15","113311","2.71493212669683"
"","","","903","","19030008","","91","","19030005",""
"","03_cmn_idol_def_N","","903","0.1","19030009","","3","1","113211",""
"","","","903","","19030010","","91","","19030007",""
"","03_nanaka_gufufu","","903","0.3","19030011","","3","1","113311",""
"","0","","903","","19030012","","93","","0.3",""
"","vo_fpc_20300","","903","","19030013","","21","","vo_fpc","0"
"0","唔呵呵，\n不愧是杏奈美眉♪","0","903","0","19030014","0.5","11","8","113311","1"
"","","","903","","19030015","","91","","0",""
"","0","","903","","19030016","","93","","0.5",""
"","vo_fpc_20301","","903","","19030017","","21","","vo_fpc","0"
"0","把七七香精選的傳說學校泳衣\n駕馭得很完美呢！","0","903","0","19030018","0.5","11","6","113311","1"
"","","","903","","19030019","","91","","0",""
"","0","","903","","19030020","","93","","0.5",""
"","03_anna_shy","","903","0.1","19030021","","3","1","113211",""
"","vo_fpc_20302","","903","","19030022","","21","","vo_fpc","0"
"0","什麼，這是因為我沒有其他泳衣\n所以才不得已穿的啦……","0","903","0","19030023","0.5","11","10","113211","1"
"","","","903","","19030024","","91","","0",""
"","0","","903","","19030025","","93","","0.5",""
"","vo_fpc_20303","","903","","19030026","","21","","vo_fpc","0"
"0","沒問題沒問題，\n真的很適合妳啦！","0","903","0","19030027","0.5","11","6","113311","1"
"","","","903","","19030028","","91","","0",""
"","0","","903","","19030029","","93","","0.5",""
"","vo_fpc_20304","","903","","19030030","","21","","vo_fpc","0"
"0","還是說……\n妳要跟我交換泳衣看看？","0","903","0","19030031","0.5","11","8","113311","1"
"","","","903","","19030032","","91","","0",""
"","0","","903","","19030033","","93","","0.5",""
"1","03_anna_pui_in","","903","0.1","19030034","","3","0","113211","03_anna_pui_loop"
"","vo_fpc_20305","","903","","19030035","","21","","vo_fpc","0"
"0","妳那件也有那件的害羞吧！","0","903","0","19030036","0.5","11","7","113211","1"
"","","","903","","19030037","","91","","0",""
"","0","","903","","19030038","","93","","0.5",""
"","vo_fpc_20306","","903","","19030039","","21","","vo_fpc","0"
"0","我、我有好友為我挑的\n這件學校泳衣便足矣！","0","903","0","19030040","0.5","11","8","113211","1"
"","","","903","","19030041","","91","","0",""
"","0","","903","","19030042","","93","","0.5",""
"","1","","903","0.1","19030043","","4","1","113311",""
"","1","","903","0.1","19030044","","4","1","113211",""
"","03_cmn_run_def_N","","903","0.1","19030045","","3","1","113311",""
"","03_cmn_walk_styk_N2","","903","0.1","19030046","","3","1","113211",""
"","750","","903","","19030047","","2","-15","113311","2.71493212669683"
"","-750","","903","","19030048","","2","-15","113211","3.52941176470588"
"","","","903","","19030049","","91","","0",""
"-180","122811","0","904","1.75","19040001","04_misogi_flutterKick_loop","1","22","1","-910"
"-125","122911","0","904","1.75","19040002","04_mimi_flutterKick_loop","1","12","1","-910"
"-180","122711","0","904","1.75","19040003","04_kyouka_flutterKick_loop","1","22","1","-910"
"-180","129311","0","904","1.75","19040004","04_yuni_flutterKick_loop","1","23","1","-910"
"-180","1","0","904","1.75","19040005","cmn_swm_flutterKick_floatBoad","5","22","1","-910"
"-180","3","0","904","1.75","19040006","empty","5","24","3","-50"
"1","1","","904","1","19040007","","31","-910","1","-180"
"1","11","","904","0","19040008","","31","-910","4","-180"
"1","2","","904","1","19040009","","31","-910","7","-125"
"1","21","","904","0","19040010","","31","-910","4","-125"
"1","3","","904","1","19040011","","31","-910","1","-180"
"1","31","","904","0","19040012","","31","-910","4","-180"
"1","4","","904","1","19040013","","31","-910","1","-180"
"1","41","","904","0","19040014","","31","-50","4","-180"
"1","1006","","904","0","19040015","","31","-180","1006","0"
"","se_fpc_water_random","","904","","19040016","","23","1","se_10053800",""
"","0","","904","","19040017","","91","","19040015",""
"12","375","","904","","19040018","","2","-180","122811","5.81447963800905"
"12","375","","904","","19040019","","33","-180","1","5.81447963800905"
"12","375","","904","","19040020","","33","-180","11","5.81447963800905"
"","","","904","","19040021","","91","","",""
"","0","","904","","19040022","","32","","1",""
"","1","","904","","19040023","","32","","11",""
"1","04_misogi_float_in","0.1","904","0.1","19040024","","3","0","122811","04_misogi_float_loop"
"","0","","904","","19040025","","93","","0.9",""
"","vo_fpc_20400","","904","","19040026","","21","","vo_fpc","0"
"0","哇──！禊是第一名──！\n當鬼的人，快來抓我們──！","0","904","0","19040027","0.5","11","9","122811","1"
"","","","904","","19040028","","91","","0",""
"","0","","904","","19040029","","93","","0.5",""
"12","100","","904","","19040030","","2","-125","122911","5.94117647058824"
"12","100","","904","","19040031","","33","-125","2","5.94117647058824"
"12","100","","904","","19040032","","33","-125","21","5.94117647058824"
"","0","","904","","19040033","","93","","2",""
"","vo_fpc_20401","","904","","19040034","","21","","vo_fpc","0"
"0","快逃快逃～！","0","904","0","19040035","0.5","11","8","122911","1"
"","","","904","","19040036","","91","","19040032",""
"","0","","904","","19040037","","32","","2",""
"","1","","904","","19040038","","32","","21",""
"1","04_mimi_float_in","0.1","904","0.1","19040039","","3","0","122911","04_mimi_float_loop"
"12","-175","","904","","19040040","","2","-180","122711","5.40441176470588"
"12","-175","","904","","19040041","","33","-180","3","5.40441176470588"
"12","-175","","904","","19040042","","33","-180","31","5.40441176470588"
"","0","","904","","19040043","","93","","2",""
"","vo_fpc_20402","","904","","19040044","","21","","vo_fpc","0"
"0","真是的～！妳們兩個等一下啦～！","0","904","0","19040045","0","11","11","122711","1"
"","","","904","","19040046","","91","","19040042",""
"","0","","904","","19040047","","32","","3",""
"","1","","904","","19040048","","32","","31",""
"1","04_kyouka_float_in","0.1","904","0.1","19040049","","3","0","122711","04_kyouka_float_loop"
"","0","","904","","19040050","","93","","1.2",""
"","1","","904","","19040051","","32","","1006",""
"","0","","904","","19040052","","93","","0.8",""
"","1","","904","","19040053","","32","","1",""
"","0","","904","","19040054","","32","","11",""
"","1","","904","","19040055","","32","","2",""
"","0","","904","","19040056","","32","","21",""
"","1","","904","","19040057","","32","","3",""
"","0","","904","","19040058","","32","","31",""
"1","04_misogi_flutterKick_in","0.1","904","0.1","19040059","","3","0","122811","04_misogi_flutterKick_loop"
"","1000","","904","","19040060","","2","-180","122811","2.82805429864253"
"","1000","","904","","19040061","","33","-180","1","2.82805429864253"
"","0","","904","","19040062","","93","","0.1",""
"1","04_mimi_flutterKick_in","0.1","904","0.1","19040063","","3","0","122911","04_mimi_flutterKick_loop"
"","1000","","904","","19040064","","2","-125","122911","4.07239819004525"
"","1000","","904","","19040065","","33","-125","2","4.07239819004525"
"","0","","904","","19040066","","93","","0.1",""
"1","04_kyouka_flutterKick_in","0.1","904","0.1","19040067","","3","0","122711","04_kyouka_flutterKick_loop"
"","1000","","904","","19040068","","2","-180","122711","5.31674208144796"
"","1000","","904","","19040069","","33","-180","3","5.31674208144796"
"","0","","904","","19040070","","93","","0.1",""
"","-50","","904","","19040071","","2","-180","129311","5.05882352941176"
"","-50","","904","","19040072","","33","-180","4","5.05882352941176"
"","-50","","904","","19040073","","2","-180","1","5.05882352941176"
"","0","","904","","19040074","","93","","2",""
"","vo_fpc_20403","","904","","19040075","","21","","vo_fpc","0"
"0","哇──♪","0","904","0","19040076","0.5","11","10","129311","1"
"","0","","904","","19040077","","93","","2.75882352941176",""
"1","04_yuni_flutterKick_pause_in","0.1","904","0.1","19040078","","3","0","3","04_yuni_flutterKick_pause_loop"
"1","04_yuni_flutterKick_pause_in","0.1","904","0.1","19040079","","3","0","129311","04_yuni_flutterKick_pause_loop"
"1","04_yuni_flutterKick_pause_in","0.1","904","0.1","19040080","","3","0","1","04_yuni_flutterKick_pause_loop"
"","0","","904","","19040081","","93","","0.3",""
"","vo_fpc_20404","","904","","19040082","","21","","vo_fpc","0"
"","0","","904","","19040083","","32","","4",""
"","1","","904","","19040084","","32","","41",""
"","0","","904","","19040085","","93","","5",""
"","empty","","904","0.1","19040086","","3","0","3",""
"1","04_yuni_flutterKick_in","0.1","904","0.2","19040087","","3","0","129311","04_yuni_flutterKick_loop"
"1","04_yuni_flutterKick_in","0.1","904","0.2","19040088","","3","0","1","cmn_swm_flutterKick_floatBoad"
"","1","","904","","19040089","","32","","4",""
"","0","","904","","19040090","","32","","41",""
"","1000","","904","","19040091","","2","-180","129311","6.17647058823529"
"","1000","","904","","19040092","","2","-180","1","6.17647058823529"
"","1000","","904","","19040093","","33","-180","4","6.17647058823529"
"","0","","904","","19040094","","93","","0.3",""
"","vo_fpc_20405","","904","","19040095","","21","","vo_fpc","0"
"0","哇──哇──♪","0","904","0","19040096","0.5","11","10","129311","1"
"","","","904","","19040097","","91","","19040091",""
"-125","117111","0","905","1.75","19050001","cmn_swm_flutterKick","1","12","1","-910"
"-180","117011","0","905","1.75","19050002","cmn_swm_flutterKick","1","22","1","-910"
"-15","107611","0","905","1.4875","19050003","cmn_walk_r","1","12","1","750"
"1","1","","905","1","19050004","","31","-910","7","-125"
"1","11","","905","0","19050005","","31","-910","4","-125"
"1","2","","905","1","19050006","","31","-910","1","-180"
"1","21","","905","0","19050007","","31","-910","4","-180"
"","se_fpc_water_random","","905","","19050008","","23","1","se_10053800",""
"","0","","905","","19050009","","91","","19050007",""
"12","0","","905","","19050010","","2","-125","117111","5.35294117647059"
"12","0","","905","","19050011","","33","-125","1","5.35294117647059"
"12","0","","905","","19050012","","33","-125","11","5.35294117647059"
"","","","905","","19050013","","91","","",""
"","0","","905","","19050014","","32","","1",""
"","1","","905","","19050015","","32","","11",""
"1","05_shizuru_search_in","0.1","905","0.1","19050016","","3","0","117111","05_shizuru_search_loop"
"","0","","905","","19050017","","93","","1",""
"","vo_fpc_20500","","905","","19050018","","21","","vo_fpc","0"
"0","嗯……真奇怪呢……\n我有在這一帶感受到\n弟弟的「氣息」……","0","905","0","19050019","0.5","11","8","117111","1"
"","1","","905","","19050020","","93","","1.81764705882353",""
"12","-250","","905","","19050021","","2","-180","117011","3.88235294117647"
"12","-250","","905","","19050022","","33","-180","2","3.88235294117647"
"12","-250","","905","","19050023","","33","-180","21","3.88235294117647"
"","0","","905","","19050024","","93","","2.38235294117647",""
"","0","","905","","19050025","","93","","1.5",""
"","","","905","","19050026","","91","","19050019",""
"","","","905","","19050027","","91","","19050021",""
"1","05_eriko_talk_in","0.1","905","0.1","19050028","","3","0","117011","05_eriko_talk_loop"
"","0","","905","","19050029","","32","","2",""
"","1","","905","","19050030","","32","","21",""
"","vo_fpc_20501","","905","","19050031","","21","","vo_fpc","0"
"0","那位大人的氣場殘渣……\n確實就在這附近……","0","905","0","19050032","0.5","11","7","117011","1"
"","1","","905","","19050033","","93","","2.15294117647059",""
"0","300","","905","","19050034","","2","-15","107611","2.64705882352941"
"","0","","905","","19050035","","93","","1.14705882352941",""
"","0","","905","","19050036","","93","","1.5",""
"","","","905","","19050037","","91","","19050032",""
"","","","905","","19050038","","91","","19050034",""
"","05_kokkoro_talk","","905","0.2","19050039","","3","1","107611",""
"","vo_fpc_20502","","905","","19050040","","21","","vo_fpc","0"
"0","靜流小姐、惠理子小姐，\n請問怎麼了嗎？","0","905","0","19050041","0.5","11","8","107611","1"
"","","","905","","19050042","","91","","0",""
"","0","","905","","19050043","","93","","0.5",""
"1","05_shizuru_greet_in","0.1","905","0.1","19050044","","3","0","117111","05_shizuru_greet_loop"
"","vo_fpc_20503","","905","","19050045","","21","","vo_fpc","0"
"0","啊，可可蘿♪\n原來如此──我是感受到殘留在\n可可蘿身上的弟弟「氣息」了呢♪","0","905","0","19050046","0.5","11","8","117111","1"
"","","","905","","19050047","","91","","0",""
"","0","","905","","19050048","","93","","0.5",""
"1","05_eriko_pressure_in","0.1","905","0.1","19050049","","3","0","117011","05_eriko_pressure_loop"
"","vo_fpc_20504","","905","","19050050","","21","","vo_fpc","0"
"0","那噁心的根據是怎麼回事？\n話說回來，妳知道那位大人\n在哪裡嗎？\n可不許隱瞞喔。","0","905","0","19050051","0.5","11","6","117011","1"
"","","","905","","19050052","","91","","0",""
"","0","","905","","19050053","","93","","0.5",""
"","05_kokkoro_talk2","","905","0.3","19050054","","3","1","107611",""
"","vo_fpc_20505","","905","","19050055","","21","","vo_fpc","0"
"0","怎麼會隱瞞呢。","0","905","0","19050056","0.5","11","6","107611","1"
"","","","905","","19050057","","91","","0",""
"","0","","905","","19050058","","93","","0.5",""
"1","05_kokkoro_point_in","0.1","905","0.1","19050059","","3","0","107611","05_kokkoro_point_loop"
"","vo_fpc_20506","","905","","19050060","","21","","vo_fpc","0"
"0","主人他剛剛漂向\n那個方向了……","0","905","0","19050061","0.5","11","6","107611","1"
"","","","905","","19050062","","91","","0",""
"","0","","905","","19050063","","93","","0.5",""
"1","05_shizuru_smile_in","0.1","905","0.1","19050064","","3","0","117111","05_shizuru_smile_loop"
"","vo_fpc_20507","","905","","19050065","","21","","vo_fpc","0"
"0","那邊是吧！\n好──姐姐我現在\n立刻就去救你喔！","0","905","0","19050066","0.5","11","7","117111","1"
"","","","905","","19050067","","91","","0",""
"","0","","905","","19050068","","93","","0.5",""
"1","05_eriko_sad_in","0.1","905","0.1","19050069","","3","0","117011","05_eriko_sad_loop"
"","vo_fpc_20508","","905","","19050070","","21","","vo_fpc","0"
"0","啊啊，怎麼會這樣……\n我現在就前去救助您！","0","905","0","19050071","0.5","11","8","117011","1"
"","","","905","","19050072","","91","","0",""
"","0","","905","","19050073","","93","","0.5",""
"1","05_shizuru_flutterKick_in","0.1","905","0.1","19050074","","3","0","117111","05_shizuru_flutterKick_loop"
"","1000","","905","","19050075","","2","-125","117111","2.66169816342827"
"","1000","","905","","19050076","","33","-125","1","2.66169816342827"
"","1","","905","","19050077","","32","","1",""
"","0","","905","","19050078","","32","","11",""
"","0","","905","","19050079","","93","","0.1",""
"1","05_eriko_flutterKick_in","0.1","905","0.1","19050080","","3","0","117011","05_eriko_flutterKick_loop"
"","1000","","905","","19050081","","2","-180","117011","3.14228255404726"
"","1000","","905","","19050082","","33","-180","2","3.14228255404726"
"","1","","905","","19050083","","32","","2",""
"","0","","905","","19050084","","32","","21",""
"","","","905","","19050085","","91","","19050081",""
"1","05_kokkoro_talk3_in","0.1","905","0.1","19050086","","3","0","107611","05_kokkoro_talk3_loop"
"","vo_fpc_20509","","905","","19050087","","21","","vo_fpc","0"
"0","她們走了……","0","905","0","19050088","0.5","11","5","107611","1"
"","","","905","","19050089","","91","","0",""
"","0","","905","","19050090","","93","","0.5",""
"","vo_fpc_20510","","905","","19050091","","21","","vo_fpc","0"
"0","那兩位在一起的話，不知道會\n發生什麼事，真讓人擔心呢……","0","905","0","19050092","0.5","11","11","107611","1"
"","","","905","","19050093","","91","","0",""
"","0","","905","","19050094","","93","","0.5",""
"","vo_fpc_20511","","905","","19050095","","21","","vo_fpc","0"
"0","為了不讓她們在主人面前失控，\n在下必須要盯著場面才行……！","0","905","0","19050096","0.5","11","10","107611","1"
"","","","905","","19050097","","91","","0",""
"","0","","905","","19050098","","93","","0.5",""
"0","850","","905","","19050099","","2","-15","107611","1.65912518853695"
"","05_kokkoro_run","","905","0.2","19050100","","3","1","107611",""
"","vo_fpc_20512","","905","","19050101","","21","","vo_fpc","0"
"0","主人──！","0","905","0","19050102","0.5","11","10","107611","1"
"","","","905","","19050103","","91","","0",""
"","0","","905","","19050104","","93","","0.5",""
"","","","905","","19050105","","91","","19050099",""
"-180","126911","0","906","1.75","19060001","cmn_float","1","22","1","-850"
"-125","117311","0","906","1.75","19060002","cmn_float","1","12","1","-850"
"1","11","","906","1","19060003","","31","-850","6","-180"
"1","10071","","906","0","19060004","","31","-850","1007","-180"
"1","21","","906","1","19060005","","31","-850","6","-125"
"1","10072","","906","0","19060006","","31","-850","1007","-125"
"1","10081","","906","0","19060007","","31","-850","1008","-125"
"","se_fpc_water_random","","906","","19060008","","23","1","se_10053800",""
"","0","","906","","19060009","","91","","19060007",""
"12","0","","906","","19060010","","2","-180","126911","6.25"
"12","0","","906","","19060011","","33","-180","11","6.25"
"12","0","","906","","19060012","","33","-180","10071","6.25"
"","0","","906","","19060013","","93","","3",""
"","vo_fpc_20600","","906","","19060014","","21","","vo_fpc","0"
"","06_cmn_float_sing","","906","0.2","19060015","","3","1","126911",""
"","1","","906","","19060016","","32","","10071",""
"","","","906","","19060017","","91","","19060010",""
"","cmn_float","","906","0.2","19060018","","3","1","126911",""
"","vo_fpc_20601","","906","","19060019","","21","","vo_fpc","0"
"0","偶爾來這樣的地方，\n或許也不錯……","0","906","0","19060020","0.5","11","9","126911","1"
"","","","906","","19060021","","91","","0",""
"","0","","906","","19060022","","93","","0.5",""
"12","-150","","906","","19060023","","2","-125","117311","5.14705882352941"
"12","-150","","906","","19060024","","33","-125","21","5.14705882352941"
"12","-150","","906","","19060025","","33","-125","10072","5.14705882352941"
