44c1ac02c7798e5fd42c2383e7d5cc249931eafc0feead205010884b840a87b8,43a6fe554fa00d4e57659107bc09354b45f4c6c5bd35c62d80c65a85dbc78260,840dc26b8c95c9a6cb9f895035a4527311cab48c00ea2073e708c88128ea085e,9bda02d4c7f919be1f6e2efb8bd1571038f2ed92fcc97a45df541180163ac0d3,869e6aa2545447003f2a1f9662491b2d721eb26b559d319bcd9cc28b986b5391,6d33e92dfe069040924113cd61943cc787e18f71cf18982d1b20785c658a15f4,5b53e2ac1a163beb68d4e0c87d040ddcce6e735a197737412705a3eae2b0ef8c,4de172de12563dbafa9a2e299a6737f0be255b2c04a5c73269e87695ed4cebb2,9029855558aef591708cf5cd3f4600f27346b46313767ba6b071ad57c286357c,d33c662d9b267ae44dbe6db8d12357f32eb53aa37db10f80997a4b43bb91fbcb,fa57daecf5c8b15e71c7fc25c3549fca5fcc14b0f23e4429d929b8358433b63c
"1","102831","1.3","100","1","1360002","10","0","10","36","03_uek_cmn_idol_def_N"
"1","","","","93","1360003","","","","36",""
"102531","03_uek_36_suzume","0","0","3","1360004","1","0","03_uek_36_suzume_loop","36",""
"102831","03_uek_36_saren","0","0","3","1360005","1","0","03_uek_36_saren_loop","36",""
"0","","","","91","1360006","","","","36",""
"102531","呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","","10","11","1360007","0","","0","36",""
"0","","","","91","1360008","","","","36",""
"102831","鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","","10","11","1360009","0","","0","36",""
"1","112531","1.3","100","1","1370001","-22","0","-118","37","01_uek_cmn_idol_def_N"
"1","112431","1.3","100","1","1370002","0","0","0","37","01_uek_cmn_idol_def_N"
"1","112631","1.3","100","1","1370003","0","1","179","37","01_uek_27_tamaki_loop"
"112631","01_uek_27_tamaki_loop","","0","3","1370004","0","","","37",""
"0","","","","91","1370005","","","","37",""
"112631","01_uek_27_tamaki_loop","","0","3","1370006","0","","","37",""
"0","","","","91","1370007","","","","37",""
"112631","01_uek_27_tamaki_loop","","0","3","1370008","0","","","37",""
"0","","","","91","1370009","","","","37",""
"112631","01_uek_cmn_pose06","0.5","1","3","1370010","0","","","37",""
"112631","啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","","10","11","1370011","0","","0","37",""
"0","","","","91","1370012","","","","37",""
"112531","01_uek_35_rei","","0","3","1370013","1","","01_uek_35_rei_loop","37",""
"112531","……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","","10","11","1370014","0","","0","37",""
"0","","","","91","1370015","","","","37",""
"112631","01_uek_cmn_idol_def_N","0.2","1","3","1370016","0","","","37",""
"112431","01_uek_37_uduki","","0","3","1370017","1","","01_uek_16_uduki_loop","37",""
"112431","希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","","10","11","1370018","0","","0","37",""
"0","","","","91","1370019","","","","37",""
"101","14","1","0","31","11010001","1","","30","101",""
"111","11","1","0","31","11110001","1","","150","111",""
"112","12","1","0","31","11120001","1","","150","112",""
"113","13","1","0","31","11130001","1","","125","113",""
