6261f431f96f1de06cc3b9562aa01eda35c3058d3c70d51a8d3f7cc10442e65f,65afe792ccc538aa3951619782773d2502b9edc857359db279cd167a689a9b2d,4c519ca43c7ace9f17a2237af9360982e5ea01ee161f0c92a4dc508aee1cc1ad,6ea1631a933867a0f0374c8453ac9bfacad4ef24b6daac4787f6408de07b42af,262b7bf562be5a41898c0c94422f15e2984c57b2428f0b56e0f18bdb080dce54,7f94c1372140c474e185ce4c8c9c7a0cccf21795a56f1edcdd0a029c64eaa9e4,23b2e5a5645388348110e5c25f02606974c4ec7a39b716fdd14bb08a1235f0f8,443912d2bb68d1d9e29296191738373318c2034404d8e7e90f42606a3298b445,fa181ff98c4f4cded4e9f49771d4f073bb99908b2d594dd20792a04f012a4927,8efbfefb0f56ca39b2a6e171c38d8f6005931911d10e3a79d8005181e766892c,2f31c36ec3d2640165b65797b667644b54d6947f27d72620c4449e124339afb3
"","3","33","","2","1","1330015","pkb_idle_shock","0.2","0","pkb_shock"
"","91","33","","1330011","","1330016","","","",""
"","3","33","","2","","1330017","","0.2","1","pkb_idle_normal"
"1","1","34","pkb_idle_normal","1","-150","1340001","170","1.6","100","106531"
"0","1","34","pkb_idle_normal","1","-150","1340002","-20","1.6","100","113411"
"0.2","3","34","","106531","1","1340003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","34","","vo_minigame_1006","","1340004","0","","0","vo_minigame_1006_top_talk_13_301"
"0","11","34","-1","106531","0","1340005","0","0","8","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？"
"","93","34","","3.4","","1340006","","","",""
"","3","34","","106531","","1340007","","0.2","1","pkb_talk_normal"
"","91","34","","1340005","","1340008","","","",""
"","3","34","","106531","","1340009","","0.2","1","pkb_idle_normal"
"","3","34","","113411","","1340010","","0.2","1","pkb_talk_normal"
"","21","34","","vo_minigame_1006","","1340011","0","","0","vo_minigame_1006_top_talk_13_202"
"0","11","34","1","113411","0","1340012","0","0","8","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。"
"","93","34","","1.2","","1340013","","","",""
"0.2","3","34","","113411","1","1340014","pkb_talk_surprise1","0.2","0","pkb_surprise"
"","93","34","","1","","1340015","","","",""
"","3","34","","113411","","1340016","","0.2","1","pkb_talk_joy3"
"","91","34","","1340012","","1340017","","","",""
"","3","34","","113411","","1340018","","0.2","1","pkb_idle_normal"
"0","1","35","pkb_idle_normal","1","-150","1350001","-20","1.6","100","113511"
"1","1","35","pkb_idle_normal","1","-150","1350002","170","1.6","100","102311"
"","3","35","","113511","","1350003","","0.2","1","pkb_talk_joy3"
"","21","35","","vo_minigame_1006","","1350004","0","","0","vo_minigame_1006_top_talk_14_101"
"0","11","35","0.5","113511","0","1350005","0","0","6","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！"
"","93","35","","5.2","","1350006","","","",""
"","3","35","","113511","","1350007","","0.2","1","pkb_talk_wish"
"","91","35","","1350005","","1350008","","","",""
"","3","35","","113511","","1350009","","0.2","1","pkb_idle_normal"
"","3","35","","102311","","1350010","","0.2","1","pkb_talk_joy1"
"","21","35","","vo_minigame_1006","","1350011","0","","0","vo_minigame_1006_top_talk_14_402"
"0","11","35","-1","102311","0","1350012","0","0","8","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！"
"","93","35","","3.2","","1350013","","","",""
"","3","35","","102311","1","1350014","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","91","35","","1350012","","1350015","","","",""
"","3","35","","102311","","1350016","","0.2","1","pkb_idle_normal"
"1","5","36","pkb_idle_normal_l","3","-130","1360001","170","55","100","3"
"0","5","36","pkb_idle_normal","1","-130","1360002","-20","55","100","1"
"0.2","3","36","","3","1","1360003","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","36","","vo_minigame_1006","","1360004","0","","0","vo_minigame_1006_top_talk_15_601"
"0","11","36","-0.5","3","0","1360005","0","0","8","喂，旭！\n讓我看看\n你進步了多少！"
"","91","36","","1360005","","1360006","","","",""
"","3","36","","3","","1360007","","0.2","1","pkb_idle_normal_l"
"","3","36","","1","1","1360008","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","21","36","","vo_minigame_1006","","1360009","0","","0","vo_minigame_1006_top_talk_15_702"
"0","11","36","0","1","0","1360010","0","0","8","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！"
"","91","36","","1360010","","1360011","","","",""
"","3","36","","1","","1360012","","0.2","1","pkb_idle_normal"
"0","5","37","pkb_idle_normal","1","-130","1370001","-20","55","100","1"
"1","5","37","pkb_idle_normal_l","3","-130","1370002","170","55","100","3"
"","3","37","","1","1","1370003","pkb_idle_guts","0.2","0","pkb_talk_guts"
"","21","37","","vo_minigame_1006","","1370004","0","","0","vo_minigame_1006_top_talk_16_701"
"0","11","37","-0.5","1","0","1370005","0","0","8","我們絕對要參加\n全國大賽，\n實現我們的夢想！"
"","93","37","","3.2","","1370006","","","",""
"0.2","3","37","","1","1","1370007","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","37","","1370005","","1370008","","","",""
"","3","37","","1","","1370009","","0.2","1","pkb_idle_normal"
"0.2","3","37","","3","1","1370010","pkb_idle_arm_crossed_l","0.2","0","pkb_talk_arm_crossed_l"
"","21","37","","vo_minigame_1006","","1370011","0","","0","vo_minigame_1006_top_talk_16_602"
"0","11","37","1","3","0","1370012","0","0","8","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！"
"","93","37","","4.8","","1370013","","","",""
"","3","37","","3","1","1370014","pkb_idle_guts_l","0.2","0","pkb_talk_guts_l"
"","91","37","","1370012","","1370015","","","",""
"","3","37","","3","","1370016","","0.2","1","pkb_idle_normal_l"
"1","1","38","pkb_idle_normal","1","-150","1380001","170","1.6","100","106531"
"0","5","38","pkb_idle_normal","2","-130","1380002","-20","55","100","2"
"0.2","3","38","","106531","1","1380003","pkb_idle_arm_crossed","0.2","0","pkb_talk_arm_crossed"
"","21","38","","vo_minigame_1006","","1380004","0","","0","vo_minigame_1006_top_talk_17_301"
"0","11","38","-0.5","106531","0","1380005","0","0","8","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！"
"","93","38","","3.6","","1380006","","","",""
"","3","38","","106531","1","1380007","pkb_idle_doya","0.2","0","pkb_talk_doya"
"","93","38","","2","","1380008","","","",""
"0.2","3","38","","106531","1","1380009","pkb_idle_normal","0.2","0","pkb_talk_handsup"
"","91","38","","1380005","","1380010","","","",""
"","93","38","","1","","1380011","","","",""
"","3","38","","106531","","1380012","","0.2","1","pkb_idle_normal"
"","3","38","","2","1","1380013","pkb_idle_shock","0.2","0","pkb_shock"
"","21","38","","vo_minigame_1006","","1380014","0","","0","vo_minigame_1006_top_talk_17_802"
"0","11","38","1","2","0","1380015","0","0","7","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。"
"","91","38","","1380015","","1380016","","","",""
"","3","38","","2","","1380017","","0.2","1","pkb_idle_normal"
