25632ee2f4ad77cb5a9137ba8abf0a37cab064ed85ba3eaca64ab7a7164dc2e6,7099bfc4339807c356277ca04b2511b955a1cf40b94a85bcc8f3b1fb728dd49b,1ba179bfc13d4c63e8434481b17a5ab2dbd29428314dc5413bd15de883cc3046,c7a5676371412fae5063dfba2df0e92742809738fe0800699a42237a97ef7674,bf14afedf2475f94052f0cb9ec3e253e8db35c64997cf67fc96f248d0ff89e89
"82001012","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001012","降低HP吸收","9","200101206","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001013","水屬性獎勵特大幅度提升","13","200101301","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001013","深域怪物","11","200101302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001013","賦予TP上升上限","17","200101303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001013","提升物理防禦力（不可降低）","boss_def_lower_limit","200101304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001013","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001013","降低HP吸收","9","200101306","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001014","水屬性獎勵特大幅度提升","13","200101401","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001014","深域怪物","11","200101402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001014","賦予TP上升上限","17","200101403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001014","提升物理防禦力（不可降低）","boss_def_lower_limit","200101404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001014","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001014","降低HP吸收","9","200101406","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001015","水屬性獎勵特大幅度提升","13","200101501","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001015","深域怪物","11","200101502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001015","賦予TP上升上限","17","200101503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001015","提升物理防禦力（不可降低）","boss_def_lower_limit","200101504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001015","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001015","降低HP吸收","9","200101506","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001016","水屬性獎勵特大幅度提升","13","200101601","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001016","深域怪物","11","200101602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001016","賦予TP上升上限","17","200101603","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001016","提升物理防禦力（不可降低）","boss_def_lower_limit","200101604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001016","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101605","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001016","降低HP吸收","9","200101606","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001017","水屬性獎勵特大幅度提升","13","200101701","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001017","深域怪物","11","200101702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001017","賦予TP上升上限","17","200101703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001017","提升物理防禦力（不可降低）","boss_def_lower_limit","200101704","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001017","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101705","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001017","降低HP吸收","9","200101706","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001018","水屬性獎勵特大幅度提升","13","200101801","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001018","深域怪物","11","200101802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001018","賦予TP上升上限","17","200101803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001018","提升物理防禦力（不可降低）","boss_def_lower_limit","200101804","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001018","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101805","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001018","降低HP吸收","9","200101806","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001019","水屬性獎勵特大幅度提升","13","200101901","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001019","深域怪物","11","200101902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001019","賦予TP上升上限","17","200101903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001019","提升物理防禦力（不可降低）","boss_def_lower_limit","200101904","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001019","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200101905","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001019","降低HP吸收","9","200101906","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001020","水屬性獎勵特大幅度提升","13","200102001","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001020","深域怪物","11","200102002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001020","賦予TP上升上限","17","200102003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001020","提升物理防禦力（不可降低）","boss_def_lower_limit","200102004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001020","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001020","降低HP吸收","9","200102006","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001020","減少TP下降","boss_tp_down_cut","200102007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"82001020","降低行動速度","4","200102008","戰鬥開始時，大幅度降低全體角色的行動速度。"
"82001021","水屬性獎勵特大幅度提升","13","200102101","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001021","深域怪物","11","200102102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001021","賦予TP上升上限","17","200102103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001021","提升物理防禦力（不可降低）","boss_def_lower_limit","200102104","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001021","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102105","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001021","降低HP吸收","9","200102106","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001022","水屬性獎勵特大幅度提升","13","200102201","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001022","深域怪物","11","200102202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001022","賦予TP上升上限","17","200102203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001022","提升物理防禦力（不可降低）","boss_def_lower_limit","200102204","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001022","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001022","降低HP吸收","9","200102206","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001023","水屬性獎勵特大幅度提升","13","200102301","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001023","深域怪物","11","200102302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001023","賦予TP上升上限","17","200102303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001023","提升物理防禦力（不可降低）","boss_def_lower_limit","200102304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001023","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001023","降低HP吸收","9","200102306","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001024","水屬性獎勵特大幅度提升","13","200102401","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001024","深域怪物","11","200102402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001024","賦予TP上升上限","17","200102403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001024","提升物理防禦力（不可降低）","boss_def_lower_limit","200102404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001024","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001024","降低HP吸收","9","200102406","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001025","水屬性獎勵特大幅度提升","13","200102501","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001025","深域怪物","11","200102502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001025","賦予TP上升上限","17","200102503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001025","提升物理防禦力（不可降低）","boss_def_lower_limit","200102504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001025","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001025","降低HP吸收","9","200102506","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001026","水屬性獎勵特大幅度提升","13","200102601","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001026","深域怪物","11","200102602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001026","賦予TP上升上限","17","200102603","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001026","提升物理防禦力（不可降低）","boss_def_lower_limit","200102604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001026","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102605","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001026","降低HP吸收","9","200102606","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001027","水屬性獎勵特大幅度提升","13","200102701","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001027","深域怪物","11","200102702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001027","賦予TP上升上限","17","200102703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001027","提升物理防禦力（不可降低）","boss_def_lower_limit","200102704","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001027","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102705","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001027","降低HP吸收","9","200102706","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001028","水屬性獎勵特大幅度提升","13","200102801","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001028","深域怪物","11","200102802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001028","賦予TP上升上限","17","200102803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001028","提升物理防禦力（不可降低）","boss_def_lower_limit","200102804","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001028","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102805","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001028","降低HP吸收","9","200102806","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001029","水屬性獎勵特大幅度提升","13","200102901","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001029","深域怪物","11","200102902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001029","賦予TP上升上限","17","200102903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001029","提升物理防禦力（不可降低）","boss_def_lower_limit","200102904","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001029","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200102905","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001029","降低HP吸收","9","200102906","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001030","水屬性獎勵特大幅度提升","13","200103001","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001030","深域怪物","11","200103002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001030","賦予TP上升上限","17","200103003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001030","提升物理防禦力（不可降低）","boss_def_lower_limit","200103004","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001030","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103005","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001030","降低HP吸收","9","200103006","戰鬥開始時，大幅度降低全體角色的HP吸收。"
"82001030","減少TP下降","boss_tp_down_cut","200103007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"82001030","降低物理攻擊力","5","200103008","戰鬥開始時，大幅度降低全體角色的物理攻擊力。"
"82001030","降低魔法攻擊力","6","200103009","戰鬥開始時，大幅度降低全體角色的魔法攻擊力。"
"82001031","水屬性獎勵特大幅度提升","13","200103101","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001031","深域怪物","11","200103102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001031","賦予TP上升上限","17","200103103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001031","提升物理防禦力（不可降低）","boss_def_lower_limit","200103104","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001031","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103105","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001031","降低HP吸收","9","200103106","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001032","水屬性獎勵特大幅度提升","13","200103201","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001032","深域怪物","11","200103202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001032","賦予TP上升上限","17","200103203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001032","提升物理防禦力（不可降低）","boss_def_lower_limit","200103204","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001032","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103205","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001032","降低HP吸收","9","200103206","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001033","水屬性獎勵特大幅度提升","13","200103301","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001033","深域怪物","11","200103302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001033","賦予TP上升上限","17","200103303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001033","提升物理防禦力（不可降低）","boss_def_lower_limit","200103304","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001033","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103305","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001033","降低HP吸收","9","200103306","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001034","水屬性獎勵特大幅度提升","13","200103401","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001034","深域怪物","11","200103402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001034","賦予TP上升上限","17","200103403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001034","提升物理防禦力（不可降低）","boss_def_lower_limit","200103404","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001034","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103405","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001034","降低HP吸收","9","200103406","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001035","水屬性獎勵特大幅度提升","13","200103501","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001035","深域怪物","11","200103502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001035","賦予TP上升上限","17","200103503","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001035","提升物理防禦力（不可降低）","boss_def_lower_limit","200103504","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001035","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103505","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001035","降低HP吸收","9","200103506","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001036","危險領域","25","200103601","戰鬥中，發動「降低物理暴擊傷害」、「降低魔法暴擊傷害」、「提升魔法暴擊傷害」效果。"
"82001036","水屬性獎勵特大幅度提升","13","200103602","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001036","深域怪物","11","200103603","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001036","賦予TP上升上限","17","200103604","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001036","提升物理防禦力（不可降低）","boss_def_lower_limit","200103605","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001036","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103606","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001036","降低HP吸收","9","200103607","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001036","降低物理暴擊傷害","22","200103608","戰鬥開始時，超大幅度降低全體角色的物理暴擊傷害。"
"82001036","降低魔法暴擊傷害","23","200103609","戰鬥開始時，超大幅度降低全體角色的魔法暴擊傷害。"
"82001036","提升魔法暴擊傷害","21","200103610","戰鬥開始時，超大幅度提升最遠2名角色的魔法暴擊傷害。"
"82001037","水屬性獎勵特大幅度提升","13","200103701","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001037","深域怪物","11","200103702","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001037","賦予TP上升上限","17","200103703","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001037","提升物理防禦力（不可降低）","boss_def_lower_limit","200103704","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001037","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103705","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001037","降低HP吸收","9","200103706","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001038","水屬性獎勵特大幅度提升","13","200103801","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001038","深域怪物","11","200103802","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001038","賦予TP上升上限","17","200103803","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001038","提升物理防禦力（不可降低）","boss_def_lower_limit","200103804","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001038","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103805","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001038","降低HP吸收","9","200103806","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001039","水屬性獎勵特大幅度提升","13","200103901","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001039","深域怪物","11","200103902","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001039","賦予TP上升上限","17","200103903","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001039","提升物理防禦力（不可降低）","boss_def_lower_limit","200103904","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001039","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200103905","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001039","降低HP吸收","9","200103906","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001040","水屬性獎勵特大幅度提升","13","200104001","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001040","深域怪物","11","200104002","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001040","賦予TP上升上限","17","200104003","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001040","提升物理防禦力（不可降低）","boss_def_lower_limit","200104004","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001040","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200104005","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001040","降低HP吸收","9","200104006","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001040","減少TP下降","boss_tp_down_cut","200104007","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。"
"82001040","降低魔法防禦力","8","200104008","戰鬥開始時，大幅度降低全體角色的魔法防禦力。"
"82001041","水屬性獎勵特大幅度提升","13","200104101","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001041","深域怪物","11","200104102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001041","賦予TP上升上限","17","200104103","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001041","提升物理防禦力（不可降低）","boss_def_lower_limit","200104104","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001041","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200104105","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001041","降低HP吸收","9","200104106","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001042","水屬性獎勵特大幅度提升","13","200104201","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001042","深域怪物","11","200104202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001042","賦予TP上升上限","17","200104203","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001042","提升物理防禦力（不可降低）","boss_def_lower_limit","200104204","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001042","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200104205","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001042","降低HP吸收","9","200104206","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001043","水屬性獎勵特大幅度提升","13","200104301","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001043","深域怪物","11","200104302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001043","賦予TP上升上限","17","200104303","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
"82001043","提升物理防禦力（不可降低）","boss_def_lower_limit","200104304","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"82001043","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit","200104305","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"82001043","降低HP吸收","9","200104306","戰鬥開始時，特大幅度降低全體角色的HP吸收。"
"82001044","水屬性獎勵特大幅度提升","13","200104401","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。"
"82001044","深域怪物","11","200104402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"82001044","賦予TP上升上限","17","200104403","戰鬥開始時，將全體角色TP上升的上限值提升至150。"
