5143b219cf54203d8105e95972ef94ac580158d1c2dac6cf583aa7907d9baafa,2d5ab43154efff6cd83c52009a45554927c70010d316d8d1cbebe62b2846150f,f19ebea471f0ddc3baafc1f6dd707861c988294add1e5a13693d01d2378876b2,5ccd1ff8a8ab93e324c2264bd695d054a87f66b02a057ba2c06c148a3edfad2a,5b00906232b31ba04a257d15285c06de05ae0b7b514fbace1ec1593b725dbb71,ac386f23a857c1cf4124eb95d26ca40d299a3111bd8f3244c6449d8960c7355b,3ebf4bae3d6b26266e49450653ffe96212de7d1e7549f479f18c7d4480a6b37c,e20a5ee84e4472a01be56fc0d86833a07f13d3bfc9a8526efb64fd836c68bcb2
"指環","1006002","10060","1","ㄨㄢ","圓圓的環。","2","ㄓ"
"珠寶","1006003","10060","1","ㄠ","以貴金屬或稀有礦物加工成的奢侈品，通常都是亮晶晶的。","2","ㄨ"
"繩子","1006100","10061","1","ㄗ","以纖維編織而成的工具，用於捆綁。","1","ㄥ"
"麻繩","1006101","10061","1","ㄥ","用麻線等編成的結實的繩子。可以綁起各式各樣的東西。","1","ㄚ"
"草繩","1006102","10061","1","ㄥ","用草編織成的繩子，據說被蛇咬過的人會怕它十年。","2","ㄠ"
"空花的秘密道具","1006103","10061","1","ㄩ","嗚呵呵呵呵。","3","ㄨㄥ"
"絕頂","1006104","10061","1","ㄧㄥ","空花要，空花要～！","3","ㄩㄝ"
"盾牌","1006200","10062","1","ㄞ","用來防止攻擊的板狀的防具。","1","ㄨㄣ"
"護具","1006201","10062","1","ㄩ","拿來防止什麼的東西的總稱。","2","ㄨ"
"防具","1006202","10062","1","ㄩ","保護身體的裝備。","2","ㄤ"
"裝備","1006203","10062","1","ㄟ","配戴在身上的功能性物品或衣物。","2","ㄨㄤ"
"地獄之盾","1006204","10062","1","ㄨㄣ","純的必殺技。能擋下各種攻擊！","3","ㄧ"
"錢幣","1006300","10063","1","ㄧ","貨幣。不是食物。","1","ㄧㄢ"
"金錢","1006301","10063","1","ㄧㄢ","「錢」的別種說法。不是食物。","1","ㄧㄣ"
"寶藏","1006302","10063","1","ㄤ","被藏起來的貴重物品。","2","ㄠ"
"財物","1006303","10063","1","ㄨ","指貨幣或貴重的物品。","2","ㄞ"
"盧幣","1006304","10063","1","ㄧ","在蘭德索爾使用的貨幣單位。不是食物。","3","ㄨ"
"公會小屋購買家具","1006305","10063","1","ㄩ","是盧幣主要的用途。也有可以食用的。","3","ㄨㄥ"
"布丁","1006400","10064","1","ㄧㄥ","雞蛋做成的甜品。","1","ㄨ"
"豪華法式布丁","1006401","10064","1","ㄧㄥ","統率所有點心的點心中的點心。","2","ㄠ"
"甜點","1006402","10064","1","ㄧㄢ","是甜的。也就是布丁。","2","ㄧㄢ"
"宮子的點心","1006403","10064","1","ㄧㄣ","所有的布丁都是宮子一個人的。","3","ㄨㄥ"
"項鍊","1006500","10065","1","ㄧㄢ","裝飾在脖子上的飾品。","1","ㄧㄤ"
"墜飾","1006501","10065","1","ㄕ","掛在脖子上的飾品。","2","ㄨㄟ"
"飾品","1006502","10065","1","ㄧㄣ","飾品。時尚的必備道具。","2","ㄕ"
"首飾","1006503","10065","1","ㄕ","與服裝互相搭配的配件。","2","ㄡ"
"稻米","1006600","10066","1","ㄧ","稻穗。可以篩出米。","1","ㄠ"
"米飯","1006601","10066","1","ㄢ","將水稻精製後的穀物。米飯！","2","ㄧ"
"麥子","1006602","10066","1","ㄗ","麵包原料的穀物。","2","ㄞ"
"穀物","1006603","10066","1","ㄨ","人工種植的可食用植物之一，富含澱粉。","2","ㄨ"
"醬油","1006700","10067","1","ㄧㄡ","由豆類製成的東國特有的醬料。","1","ㄧㄤ"
"豆油","1006701","10067","1","ㄧㄡ","「醬油」的別種說法。豆類的醬料。","2","ㄡ"
"調味料","1006702","10067","1","ㄧㄠ","用來調味。","2","ㄧㄠ"
"柴魚醬油","1006703","10067","1","ㄧㄡ","加入鰹魚風味的醬油。","2","ㄞ"
"輸送帶","1006800","10068","1","ㄞ","用來進行流程作業的機器。","1","ㄨ"
"工廠","1006801","10068","1","ㄤ","大量生產製品的設施。","2","ㄨㄥ"
"生產線","1006802","10068","1","ㄧㄢ","工廠為了提高效率而設置的生產流水線。","2","ㄥ"
"鯛魚燒工廠","1006803","10068","1","ㄤ","賭上了墨丘利財團威望的事業。要是那時候沒有爆炸的話……","3","ㄧㄠ"
"吊燈","1006900","10069","1","ㄥ","炫爛奪目又豪華的照明器具。","1","ㄧㄠ"
"燭臺","1006901","10069","1","ㄞ","照亮黑暗的光。","2","ㄨ"
"燈飾","1006902","10069","1","ㄕ","精心設計的帶有美感的照明裝置。","2","ㄥ"
"鹽","1007000","10070","1","ㄧㄢ","好鹹。","1","ㄧㄢ"
"氯化納","1007001","10070","1","ㄚ","「鹽」的別種說法。","2","ㄩ"
"調味料","1007002","10070","1","ㄧㄠ","用來調味。","2","ㄧㄠ"
"低鈉鹽","1007003","10070","1","ㄧㄢ","鈉離子含量較低的食用鹽，據說比較健康。","2","ㄧ"
"漩渦","1007100","10071","1","ㄨㄛ","會捲起激烈旋渦的潮流。","1","ㄩㄢ"
"咕嚕咕嚕","1007101","10071","1","ㄨ","要、要被捲進去了……咕嚕咕嚕……","2","ㄨ"
"海難","1007102","10071","1","ㄢ","船隻沉沒的事故。","2","ㄞ"
"釣竿","1007200","10072","1","ㄢ","釣魚用的道具。要高明的操作需要技巧。","1","ㄧㄠ"
"魚餌","1007201","10072","1","ㄦ","幾乎是釣竿的必要配備，空有釣竿卻沒有魚餌可不容易啊。","2","ㄩ"
"流夏的興趣","1007202","10072","1","ㄩ","握法跟專業級的一樣。","3","ㄧㄡ"
"鍋子","1007300","10073","1","ㄗ","煮食物用的調理器具。","1","ㄨㄛ"
"咖哩","1007301","10073","1","ㄧ","最愛大家了。聞味道的瞬間就讓人想吃的香料魔法。","2","ㄚ"
"燉菜","1007302","10073","1","ㄞ","放入肉和蔬菜燉煮的料理。能不能以這個當菜來配飯，引起了眾人討論。","2","ㄨㄣ"
"滷汁","1007303","10073","1","ㄓ","為了讓食物入味所用的液體。","2","ㄨ"
"紅酒燉牛肉","1007304","10073","1","ㄡ","加了紅酒的燉牛肉。","2","ㄨㄥ"
"蹺蹺板","1007400","10074","1","ㄢ","坐在兩邊叩咚叩咚的。","1","ㄧㄠ"
"兒童遊樂設施","1007401","10074","1","ㄕ","放在公園裡的遊戲道具。","2","ㄦ"
"去公園玩","1007402","10074","1","ㄨㄢ","在公園集合哦！","2","ㄩ"
"失衡","1007403","10074","1","ㄥ","槓桿兩邊受力不相同的狀態，引申為相關聯的雙方差距過大。","2","ㄕ"
"筆","1007500","10075","1","ㄧ","用來畫圖或寫字的道具。","1","ㄧ"
"書法","1007501","10075","1","ㄚ","是東國的文化！","2","ㄨ"
"毛筆","1007502","10075","1","ㄧ","以動物毛製成的筆。","2","ㄠ"
"寫字","1007503","10075","1","ㄗ","一定得學習。","2","ㄧㄝ"
"硯臺","1007504","10075","1","ㄞ","研墨的道具。","2","ㄧㄢ"
"東國文化","1007505","10075","1","ㄨㄚ","位於蘭德索爾的遙遠東邊的國家的文化。還有忍者、武士、富士、藝妓等。是妮諾的憧憬。","3","ㄨㄥ"
"啞鈴","1007600","10076","1","ㄧㄥ","訓練工具。","1","ㄧㄚ"
"二頭肌","1007601","10076","1","ㄧ","看到隆起來的手臂肌肉了嗎？那就是二頭肌。","1","ㄦ"
"肌肉","1007602","10076","1","ㄡ","肌肉！","2","ㄧ"
"鍛鍊","1007603","10076","1","ㄧㄢ","主要是為了提升力量的訓練。","2","ㄨㄢ"
"重訓","1007604","10076","1","ㄩㄣ","提起重物的訓練。","2","ㄨㄥ"
"鬼魂","1007700","10077","1","ㄨㄣ","是鬼喲。把布丁交出來喲。","1","ㄨㄟ"
"幽靈","1007701","10077","1","ㄧㄥ","是幽靈喲。把布丁交出來喲。","1","ㄧㄡ"
"宮子","1007702","10077","1","ㄗ","是宮子喲！把布丁交出來喲。","3","ㄨㄥ"
"無敵","1007703","10077","1","ㄧ","是無敵的喲！把布丁交出來喲。","3","ㄨ"
"日和","2000100","20001","1","ㄜ","【破曉之星】中最愛助人的格鬥少女。","1","ㄖ"
"放不下心","2000101","20001","1","ㄧㄣ","日和的口頭禪和座右銘。","3","ㄤ"
"優衣","2000200","20002","1","ㄧ","【破曉之星】中專情的純真治療師。","1","ㄧㄡ"
"全體治癒","2000201","20002","1","ㄩ","治癒一切是優衣的特技。","3","ㄩㄢ"
"真琴的兒時玩伴","2000202","20002","1","ㄢ","似乎旁人都對此感到很意外。","3","ㄣ"
"怜","2000300","20003","1","ㄧㄥ","【破曉之星】中的冷酷劍士。釣魚是她的興趣。","1","ㄧㄥ"
"騎馬","2000301","20003","1","ㄚ","怜的隱藏特技。","3","ㄧ"
"劍術","2000302","20003","1","ㄨ","她會教我她的劍術特技。在天氣好時也會去釣魚……","3","ㄧㄢ"
"禊","2000400","20004","1","ㄧ","【小小甜心】中的惡作劇負責人。在３人之中也是活力源頭。","1","ㄧ"
"搗蛋鬼","2000401","20004","1","ㄨㄟ","說到惡作劇的技巧無人能出其右，是惡作劇專家。","3","ㄠ"
"茉莉","2000500","20005","1","ㄧ","隸屬於【王宮騎士團】。憧憬英雄的少女。","1","ㄛ"
"虎虎頭號粉絲","2000501","20005","1","ㄙ","喜愛正義英雄的火熱之心才不會輸給其他人！","3","ㄨ"
"茜里","2000600","20006","1","ㄧ","【惡魔偽王國軍】的雙胞胎中，早熟的妹妹。","1","ㄧㄢ"
"依里的妹妹","2000601","20006","1","ㄟ","雖然長得一模一樣，個性卻完全相反？","3","ㄧ"
"小惡魔","2000602","20006","1","ㄛ","如字面上所述，她的可愛會迷惑人心。","3","ㄧㄠ"
"宮子","2000700","20007","1","ㄗ","【惡魔偽王國軍】中最愛布丁的幽靈。","1","ㄨㄥ"
"幽靈","2000701","20007","1","ㄧㄥ","能夠飄浮或穿越牆壁等，所做之事大概就是去偷吃布丁。","3","ㄧㄡ"
"最喜歡布丁","2000702","20007","1","ㄧㄥ","了喲～！","3","ㄨㄟ"
"雪","2000800","20008","1","ㄩㄝ","【純白之翼 蘭德索爾分部】的美貌代表。","1","ㄩㄝ"
"美麗的我","2000801","20008","1","ㄨㄛ","真是罪過呀。","3","ㄟ"
"自戀","2000802","20008","1","ㄧㄢ","我太美了也有錯嗎？","3","ㄗ"
"杏奈","2000900","20009","1","ㄞ","【暮光流星群】成員的熾炎戰鬼煉獄血盟暗黑團團長。既是暗黑騎士，也是結束終焉之戰的舊世界英雄。","1","ㄧㄥ"
"疾風之冥姬","2000901","20009","1","ㄧ","又名為！","3","ㄧ"
"中二病","2000902","20009","1","ㄧㄥ","由於是青春期，就不要管她了。","3","ㄨㄥ"
"真步","2001000","20010","1","ㄨ","【哞哞自衛隊】中可靠又雍容華貴的公會長。","1","ㄣ"
"公主","2001001","20010","1","ㄨ","據說位於某處的謎之國度，真步真步王國……真步是那裡的公主。","3","ㄨㄥ"
"咕嚕靈波","2001002","20010","1","ㄛ","將手杖轉轉轉的可愛動作喚出的魔法威力不可小看……","3","ㄨ"
"璃乃","2001100","20011","1","ㄞ","隸屬於【拉比林斯】，自稱妹妹。努力的考生。","1","ㄧ"
"妹妹","2001101","20011","1","ㄟ","就是妹妹，儘管只是自稱，還是妹妹。","3","ㄟ"
"小笨蛋","2001102","20011","1","ㄢ","就算有點呆也沒關係，希望她能健康的長大。","3","ㄧㄠ"
"初音","2001200","20012","1","ㄧㄣ","【森林守衛】中沉睡的超能力少女。","1","ㄨ"
"超能力少女","2001201","20012","1","ㄩ","有超能力的事是祕密哦。","3","ㄠ"
"小栞的姊姊","2001202","20012","1","ㄧㄝ","最愛小栞了！","3","ㄧㄠ"
"七七香","2001300","20013","1","ㄧㄤ","【暮光流星群】中可愛到爆的最強魔法少女。","1","ㄧ"
"魔法少女","2001301","20013","1","ㄩ","使用魔法的少女。在知情的人之間，對於到幾歲前能自稱魔法少女，都有著不同的看法。","3","ㄛ"
"最可愛","2001302","20013","1","ㄞ","表示無敵可愛的意思。","3","ㄨㄟ"
"霞","2001400","20014","1","ㄧㄚ","【哞哞自衛隊】中的聰明美少女名偵探。","1","ㄧㄚ"
"名偵探","2001401","20014","1","ㄢ","她解開的謎團數都數不盡，難道是因為事件在呼喚名偵探嗎……","3","ㄧㄥ"
"偵探","2001402","20014","1","ㄢ","追求真實的高尚職業。據說偵探的身邊總會跟著助手。","3","ㄣ"
"美里","2001500","20015","1","ㄧ","【森林守衛】的公會長。不斷湧出母性的姊姊。","1","ㄟ"
"幼稚園的老師","2001501","20015","1","ㄕ","連魔物也會照顧。","3","ㄧㄡ"
"鈴奈","2001600","20016","1","ㄞ","【月光學院】中不擅長讀書，個性天真爛漫的辣妹。好像學會九九乘法表了……？","1","ㄧㄥ"
"超級名模","2001601","20016","1","ㄛ","人氣爆棚的模特兒。","3","ㄠ"
"辣妹","2001602","20016","1","ㄟ","很潮的女孩子。","3","ㄚ"
"香織","2001700","20017","1","ㄓ","【哞哞自衛隊】中熱愛唱歌與舞蹈的南國少女。","1","ㄧㄤ"
"琉球空手道","2001701","20017","1","ㄠ","琉球犬矢之拳！","3","ㄧㄡ"
"嗨―呵","2001702","20017","1","ㄜ","香織故鄉的問候。妳好呀――！","3","ㄞ"
"伊緒","2001800","20018","1","ㄩ","【月光學院】中性感的新進教師。","1","ㄧ"
"老師","2001801","20018","1","ㄕ","雖然是新來的老師，但是跟學生很親近。","3","ㄠ"
"美美","2001900","20019","1","ㄟ","【小小甜心】裡最愛撒嬌的一個。嚕啦啦～嚕啦啦～♪","1","ㄟ"
"最喜歡兔子先生","2001901","20019","1","ㄥ","蹦蹦跳～♪","3","ㄨㄟ"
"胡桃","2002000","20020","1","ㄠ","讓【咲戀育幼院】裡的愛哭鬼、膽小鬼都能打起勇氣努力的女孩。","1","ㄨ"
"知名女演員","2002001","20020","1","ㄩㄢ","雖然年紀尚輕，卻是知名演員。","3","ㄓ"
"依里","2002100","20021","1","ㄧ","【惡魔偽王國軍】中的雙胞胎，是傲嬌害羞的姊姊。","1","ㄧ"
"雙胞胎姊姊","2002101","20021","1","ㄧㄝ","雖然長相相似但個性迥異。","3","ㄨㄤ"
"害羞","2002102","20021","1","ㄧㄡ","害羞的反作用力，會讓她作出更激烈的事……","3","ㄞ"
"天才玩家","2002103","20021","1","ㄧㄚ","有著華麗的操作。","3","ㄧㄢ"
"綾音","2002200","20022","1","ㄧㄣ","隸屬於【咲戀育幼院】。看起來很乖巧，不過她操作的噗吉卻意外的兇暴。","1","ㄧㄥ"
"噗吉的夥伴","2002201","20022","1","ㄢ","一直和噗吉在一起，是一心同體。","3","ㄨ"
"鈴莓","2002300","20023","1","ㄟ","【咲戀育幼院】中讓人喜歡的冒失鬼，奉獻型的女僕。","1","ㄧㄥ"
"女僕","2002301","20023","1","ㄨ","我由衷地服侍主人。","3","ㄩ"
"冒冒失失","2002302","20023","1","ㄕ","弄壞了好多東西，糟糕了。","3","ㄠ"
"鈴","2002400","20024","1","ㄧㄥ","被派遣到【伊麗莎白牧場】的護衛。並沒有在偷懶，只是在盡情享受慢活。","1","ㄧㄥ"
"懶散","2002401","20024","1","ㄢ","雖然很散漫，該做事時還是會做……大概……一定會……","3","ㄢ"
"惠理子","2002500","20025","1","ㄗ","【暮光流星群】成員。愛很沉重，非常沉重。","1","ㄨㄟ"
"破壞者","2002501","20025","1","ㄜ","惠理子的通稱。若是為了愛，可以破壞各式各樣的東西。","3","ㄛ"
"咲戀","2002600","20026","1","ㄧㄢ","【咲戀育幼院】中可靠的公會長。原本是王宮騎士團副團長。","1","ㄧㄠ"
"媽媽","2002601","20026","1","ㄚ","雖然還不到被人稱為媽媽的年紀，也沒有孩子，但媽媽就是媽媽。","3","ㄚ"
"望","2002700","20027","1","ㄨㄤ","【慈樂之音】裡不可動搖的中心。頂尖偶像。","1","ㄨㄤ"
"超人氣偶像","2002701","20027","1","ㄧㄤ","想低調行動時很辛苦。","3","ㄠ"
"妮諾","2002800","20028","1","ㄨㄛ","【純白之翼 蘭德索爾分部】中憧憬東國的戰士，目標是統一天下！","1","ㄧ"
"憧憬東國","2002801","20028","1","ㄨㄛ","最喜歡東國文化，但時常會記錯內容。","3","ㄨㄥ"
"冒牌忍者","2002802","20028","1","ㄜ","愛讀的書是《武士道》！","3","ㄠ"
"忍","2002900","20029","1","ㄣ","隸屬於【惡魔偽王國軍】的占卜師。身邊的骷髏頭其實是她的父親。","1","ㄣ"
"占卜師","2002901","20029","1","ㄕ","說中是占卜，說不中也是占卜。","3","ㄢ"
"秋乃","2003000","20030","1","ㄞ","設立【墨丘利財團】的公會長，她的經商能力能改變世界。","1","ㄧㄡ"
"大小姐","2003001","20030","1","ㄧㄝ","充滿做生意才能的大小姐。","3","ㄚ"
"真陽","2003100","20031","1","ㄧㄤ","【伊麗莎白牧場】的會長。能夠溫和統率個性多元的公會成員的姐姐。","1","ㄣ"
"牧場主人","2003101","20031","1","ㄣ","經營牧場就交給我吧。","3","ㄨ"
"搞笑藝人之路","2003102","20031","1","ㄨ","那條路風險很高。","3","ㄠ"
"優花梨","2003200","20032","1","ㄧ","【墨丘利財團】中負責財務的能幹姐姐……平常是這樣沒錯。","1","ㄧㄡ"
"女中酒豪","2003201","20032","1","ㄠ","像優花梨那樣的大人。","3","ㄩ"
"鏡華","2003300","20033","1","ㄨㄚ","【小小甜心】中年紀最小的。很努力唸書，腦袋也很聰明。不敢吃紅蘿蔔和青椒。","1","ㄧㄥ"
"資優生","2003301","20033","1","ㄥ","是小小甜心中最認真可靠的人。","3","ㄗ"
"智","2003400","20034","1","ㄓ","【王宮騎士團】團員。是團長的親信？","1","ㄓ"
"御久間流","2003401","20034","1","ㄧㄡ","智的家裡相傳著神速劍技。奧義是阿修羅。","3","ㄩ"
"栞","2003500","20035","1","ㄢ","【伊麗莎白牧場】的成員。儘管體弱仍一心一意努力的少女。","1","ㄢ"
"初音的妹妹","2003501","20035","1","ㄟ","最喜歡姊姊了。","3","ㄨ"
"碧","2003600","20036","1","ㄧ","【森林守衛】的孤單弓箭手。雖然能和植物對話，但那樣還是很孤單。","1","ㄧ"
"邊緣人","2003601","20036","1","ㄣ","孤單的一個人，咳嗽也一個人。","3","ㄧㄢ"
"千歌","2003700","20037","1","ㄜ","【慈樂之音】成員。能和精靈當朋友的風之唱喚歌姬。","1","ㄧㄢ"
"唱喚士","2003701","20037","1","ㄕ","唱喚術師。會使用能以歌聲唱喚出精靈的幻之祕術。小心不要搞錯字。","3","ㄤ"
"歌姬","2003702","20037","1","ㄧ","演唱出的歌曲能夠使所有人著迷。","3","ㄜ"
"真琴","2003800","20038","1","ㄧㄣ","【哞哞自衛隊】的突擊隊長。愛照顧人的獸人族少女。","1","ㄣ"
"優衣的兒時玩伴","2003801","20038","1","ㄢ","似乎旁人都對此感到很意外。","3","ㄧㄡ"
"伊莉亞","2003900","20039","1","ㄧㄚ","【惡魔偽王國軍】的會長，也是傳說中的吸血鬼。為了征服世界，今天也會加油。","1","ㄧ"
"傳說的吸血鬼","2003901","20039","1","ㄨㄟ","據說以前被推進了蘭德索爾裡的可怕熔爐中。","3","ㄨㄢ"
"統領黑夜之人","2003902","20039","1","ㄣ","似乎統治著夜晚。","3","ㄨㄥ"
"空花","2004000","20040","1","ㄨㄚ","【純白之翼 蘭德索爾分部】的妄想負責人。","1","ㄨㄥ"
"被虐狂","2004001","20040","1","ㄨㄤ","淑女的嗜好……？","3","ㄟ"
"珠希","2004100","20041","1","ㄧ","【墨丘利財團】中的鯛魚燒店。但是其本尊是……喵！喵喵！","1","ㄨ"
"貓娘","2004101","20041","1","ㄧㄤ","外表像貓一樣的女孩。","3","ㄠ"
"幻影貓","2004102","20041","1","ㄠ","在蘭德索爾造成騷動的謎之義賊。其真面目滿是謎團。","3","ㄨㄢ"
"純","2004200","20042","1","ㄨㄣ","【王宮騎士團】團長。其面具之下，無人可知，也無法為人所知。","1","ㄨㄣ"
"團長","2004201","20042","1","ㄤ","是非常強大的團長。","3","ㄨㄢ"
"美冬","2004300","20043","1","ㄨㄥ","隸屬於【墨丘利財團】的打工戰士。其實是龍殺手。","1","ㄟ"
"師傅","2004301","20043","1","ㄨ","會一步步地教你哦。當然是要收費的哦。","3","ㄕ"
"效率至上","2004302","20043","1","ㄤ","是個貫徹始終講究效率的人。","3","ㄧㄠ"
"靜流","2004400","20044","1","ㄧㄡ","隸屬於【拉比林斯】，自稱姐姐。交給姐姐吧。","1","ㄧㄥ"
"是姐姐喔","2004401","20044","1","ㄛ","我是姐姐喔！！","3","ㄕ"
"美咲","2004500","20045","1","ㄧㄠ","【月光學院】的學生。好像是位成熟的淑女，也是個罪惡的女人。","1","ㄟ"
"成熟的淑女","2004501","20045","1","ㄩ","我說是成熟淑女，就是成熟淑女！","3","ㄥ"
"深月","2004600","20046","1","ㄩㄝ","隸屬於【暮光流星群】的危險科學家。熱衷於實驗。","1","ㄣ"
"瘋狂科學家","2004601","20046","1","ㄧㄚ","因實驗而犧牲的人，不計其數。","3","ㄥ"
"獨眼惡魔","2004602","20046","1","ㄛ","獨眼惡魔，不接近她才是好事。","3","ㄨ"
"莉瑪","2004700","20047","1","ㄚ","【伊麗莎白牧場】的莉瑪。其實是全公會裡最有少女心的人。","1","ㄧ"
"毛茸茸","2004701","20047","1","ㄨㄥ","有魅惑效果的毛髮。","3","ㄠ"
"莫妮卡","2004800","20048","1","ㄚ","是【純白之翼 蘭德索爾分部】的公會長也是軍人。總是被成員耍著玩的苦幹之人，是白翼的指揮官。","1","ㄛ"
"小鬼頭","2004801","20048","1","ㄡ","才，才不是小孩呢！","3","ㄧㄠ"
"紡希","2004900","20049","1","ㄧ","【慈樂之音】的成員，本業是裁縫師。她華麗的用線技巧能夠綁起各種東西。","1","ㄤ"
"裁縫師","2004901","20049","1","ㄕ","裁縫就交給我吧。","3","ㄞ"
"怜大人粉絲俱樂部","2004902","20049","1","ㄨ","不會讓壞蟲子靠近怜大人的。","3","ㄧㄥ"
"步未","2005000","20050","1","ㄨㄟ","【純白之翼 蘭德索爾分部】的祕密負責人。到處都在，卻到處都不見人影。","1","ㄨ"
"跟蹤狂","2005001","20050","1","ㄨㄤ","我、我才不是跟蹤狂呢……！","3","ㄣ"
"流夏","2005100","20051","1","ㄧㄚ","【暮光流星群】的公會長。十分大方的釣客。劍術技巧也很棒。","1","ㄧㄡ"
"大姐頭","2005101","20051","1","ㄡ","魔物也很仰慕大姐頭。","3","ㄚ"
"吉塔","2005200","20052","1","ㄚ","以成為蒼空的騎空士為目標的女孩。","1","ㄧ"
"蒼空的騎空士","2005201","20052","1","ㄕ","加入我所成立的騎空團吧！跟騎空士們一同在空中巡遊！","3","ㄤ"
"貪吃佩可","2005300","20053","1","ㄜ","【美食殿堂】的公會長。什麼都能吃得很美味。太讚了吧☆","1","ㄢ"
"皇家裝備","2005301","20053","1","ㄟ","裝備後威力會大幅提升，但是好像肚子會餓。","3","ㄨㄤ"
"太讚了吧","2005302","20053","1","ㄚ","太讚了吧☆","3","ㄞ"
"公主","2005303","20053","1","ㄨ","阿斯特賴亞王家的王女。","3","ㄨㄥ"
"可可蘿","2005400","20054","1","ㄨㄛ","隸屬於【美食殿堂】的精靈族少女。主人優先。","1","ㄜ"
"嚮導","2005401","20054","1","ㄠ","接受了女神愛梅斯神諭的引路人。","3","ㄧㄤ"
"巫女","2005402","20054","1","ㄩ","侍奉神明的女性。","3","ㄨ"
"凱留","2005500","20055","1","ㄧㄡ","順其自然地加入【美食殿堂】的謎樣貓耳少女。很不妙吧！","1","ㄞ"
"傲嬌","2005501","20055","1","ㄧㄠ","啥？完全聽不懂你在說什麼！","3","ㄠ"
"矛依未","2005600","20056","1","ㄨㄟ","與世界為敵抗戰，自稱是大罪人。天樓霸斷劍可以斬斷一切！","1","ㄠ"
"諾維姆","2005601","20056","1","ㄨ","我是諾維姆！","3","ㄨㄛ"
"亞里莎","2005700","20057","1","ㄚ","發誓總有一天要成為森林守護者的精靈族少女。","1","ㄧㄚ"
"精靈女","2005701","20057","1","ㄩ","女性精靈族。","3","ㄧㄥ"
"見習森林守衛","2005702","20057","1","ㄨㄟ","要作為森林守護者獨當一面，得儘量每天投入修行。","3","ㄧㄢ"
"似似花","2005800","20058","1","ㄨㄚ","七冠之一。千變萬化的變貌大妃。","1","ㄙ"
"變貌大妃","2005801","20058","1","ㄟ","似似花的另一個名字。變貌大妃。","3","ㄧㄢ"
"分身","2005802","20058","1","ㄣ","另一個我。","3","ㄣ"
"克莉絲提娜","2005900","20059","1","ㄚ","【王宮騎士團】的副團長，也是七冠之一。極端的享樂主義者。","1","ㄜ"
"誓約女君","2005901","20059","1","ㄩㄣ","克莉絲提娜的別名。","3","ㄕ"
"副團長","2005902","20059","1","ㄤ","又名為問題兒童。","3","ㄨ"
"祈梨","2006000","20060","1","ㄧ","隸屬於【龍族巢穴】的龍人族。臉長的很可愛，卻意外的毒舌。","1","ㄧ"
"龍之吐息","2006001","20060","1","ㄧ","祈梨的特技。","3","ㄨㄥ"
"幹部","2006002","20060","1","ㄨ","我是【龍族巢穴】的幹部，對我伏首稱臣吧！","3","ㄢ"
"嘉夜","2006100","20061","1","ㄧㄝ","隸屬於【龍族巢穴】的龍人族打手。","1","ㄧㄚ"
"笨蛋打架狂","2006101","20061","1","ㄨㄤ","幹架最行。","3","ㄣ"
"帆稀","2006200","20062","1","ㄧ","充滿謎團的【龍族巢穴】公會長、老大。","1","ㄢ"
"幫派老大","2006201","20062","1","ㄚ","頭目、首領的意思。","3","ㄤ"
"克蘿依","2006300","20063","1","ㄧ","【聖德蕾莎女子學院（好朋友社）】的一員。散發著一股認真的氣息。","1","ㄜ"
"陰暗系","2006301","20063","1","ㄧ","好像並不是在生氣或是心情不好。","3","ㄧㄣ"
"聖德蕾女的狂人","2006302","20063","1","ㄣ","聖德蕾女的狂人。那就是克蘿依。","3","ㄥ"
"琪愛兒","2006400","20064","1","ㄦ","【聖德蕾莎女子學院（好朋友社）】中負責切嚕～☆的人。","1","ㄧ"
"咧切嚕切嚕啵啪嗶","2006401","20064","1","ㄧ","切嚕唎咧咧囉唎囉唎囉。","3","ㄧㄝ"
"聖德蕾女的狂人","2006402","20064","1","ㄣ","聖德蕾女的狂人。那就是琪愛兒。","3","ㄥ"
"優妮","2006500","20065","1","ㄧ","【優妮們】的公會長。天才都是孤獨的。","1","ㄧㄡ"
"繭居族","2006501","20065","1","ㄨ","躲在象牙之塔裡，每天勤奮學習。","3","ㄧㄢ"
"聖德蕾女的狂人","2006502","20065","1","ㄣ","聖德蕾女的狂人。那就是優妮。","3","ㄥ"
"人型機器","3007800","10078","2","ㄧ","代替人類勞動的機械，人型是浪漫的表現。","1","ㄣ"
"魔法機械工具","3007801","10078","2","ㄩ","以魔法驅動的機械，可以幫助人類和戰鬥。","2","ㄛ"
"機關","3007802","10078","2","ㄨㄢ","用齒輪等零件組合而成，能進行複雜動作的架構。","2","ㄧ"
"超級優妮號","3007803","10078","2","ㄠ","喂，那個學姊又把在地獄裡焚化的名字拿出來用了。那東西明明叫好朋友X。","3","ㄠ"
"優妮的力作","3007804","10078","2","ㄨㄛ","你說醜八怪臭遜廢鐵丸我可不能當作沒聽見……適可而止啊。","3","ㄧㄡ"
"菌菇","3007900","10079","2","ㄨ","生長在潮濕地區，是真菌類而不是植物。","1","ㄩㄣ"
"真菌","3007901","10079","2","ㄩㄣ","真核生物中的一大類群，包含酵母等微生物及耳熟能詳的菇類。","2","ㄣ"
"蘑菇","3007902","10079","2","ㄨ","適合加進披薩和義大利麵的美味菇類。","2","ㄛ"
