e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005502","提升物理防禦力（不可降低）","254","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005502","提升魔法防禦力（不可降低）","255","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005502","降低HP吸收","256","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005502","減少降低TP","257","boss_tp_down_cut"
"追加宮子、碧。","74005503","追加怪物","258","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005503","傷害值衰減","259","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005503","賦予TP上升的上限","260","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005503","提升物理防禦力（不可降低）","261","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005503","提升魔法防禦力（不可降低）","262","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005503","降低HP吸收","263","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005503","減少降低TP","264","boss_tp_down_cut"
"追加露娜聚光燈。","74005504","追加怪物","265","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005504","傷害值衰減","266","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005504","賦予TP上升的上限","267","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005504","提升物理防禦力（不可降低）","268","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005504","提升魔法防禦力（不可降低）","269","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005504","降低HP吸收","270","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005504","減少降低TP","271","boss_tp_down_cut"
"戰鬥時間變成60秒。","74005505","戰鬥時間限制","272","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005505","傷害值衰減","273","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005505","賦予TP上升的上限","274","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005505","提升物理防禦力（不可降低）","275","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005505","提升魔法防禦力（不可降低）","276","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005505","降低HP吸收","277","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005505","減少降低TP","278","boss_tp_down_cut"
"對初音（夏日）、咲戀（夏日）、鈴奈鏡華的闇影追加專用裝備。","74006102","強化闇影","279","star6_shadow"
"鈴奈、鏡華的闇影變成★6。","74006103","強化闇影","280","star6_shadow"
"可以編組的角色變成4個。","74006103","編組角色人數限制","281","limit_chara_num"
"可以編組的角色變成4個。","74006104","編組角色人數限制","282","limit_chara_num"
"戰鬥開始時，對所有的闇影展開物理無效的護盾。","74006104","物理無效護盾","283","27"
"戰鬥開始時，對所有的闇影展開魔法無效的護盾。","74006104","魔法無效護盾","284","28"
"可以編組的角色變成4個。","74006105","編組角色人數限制","285","limit_chara_num"
"戰鬥開始時，對所有的闇影展開物理無效的護盾。","74006105","物理無效護盾","286","27"
"戰鬥開始時，對所有的闇影展開魔法無效的護盾。","74006105","魔法無效護盾","287","28"
"對怜（新年）、靜流（黑暗）、靜流、涅婭的闇影追加專用裝備。","74006202","強化闇影","288","star6_shadow"
"怜（新年）、靜流的闇影變成★6。","74006203","強化闇影","289","star6_shadow"
"可以編組的角色變成4個。","74006203","編組角色人數限制","290","limit_chara_num"
"可以編組的角色變成4個。","74006204","編組角色人數限制","291","limit_chara_num"
"戰鬥開始時，所有闇影特大幅度恢復自身的TP。","74006204","TP恢復","292","energy_recover"
"可以編組的角色變成4個。","74006205","編組角色人數限制","293","limit_chara_num"
"戰鬥開始時，所有闇影特大幅度恢復自身的TP並賦予持續恢復TP的狀態。","74006205","TP恢復","294","energy_recover"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006301","提升物理防禦力（不可降低）","295","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006301","提升魔法防禦力（不可降低）","296","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006301","減少降低TP","297","boss_tp_down_cut"
"戰鬥開始時，所有怪物的魔法傷害為減少30％的狀態。","74006302","魔法傷害降低","298","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006302","提升物理防禦力（不可降低）","299","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006302","提升魔法防禦力（不可降低）","300","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006302","減少降低TP","301","boss_tp_down_cut"
"戰鬥開始時，所有怪物的魔法傷害為減少60％的狀態。","74006303","魔法傷害降低","302","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006303","提升物理防禦力（不可降低）","303","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006303","提升魔法防禦力（不可降低）","304","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006303","減少降低TP","305","boss_tp_down_cut"
"Boss怪物的行動模式發生變化。","74006304","Boss行動模式變化","306","boss_ub_enhance"
"戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","74006304","魔法傷害降低","307","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006304","提升物理防禦力（不可降低）","308","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006304","提升魔法防禦力（不可降低）","309","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006304","減少降低TP","310","boss_tp_down_cut"
"Boss怪物的行動模式發生變化。","74006305","Boss行動模式變化","311","boss_ub_enhance"
"戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","74006305","魔法傷害降低","312","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006305","提升物理防禦力（不可降低）","313","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006305","提升魔法防禦力（不可降低）","314","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006305","減少降低TP","315","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006401","提升物理防禦力（不可降低）","316","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006401","提升魔法防禦力（不可降低）","317","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的物理傷害為減少30％的狀態。","74006402","物理傷害降低","318","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006402","提升物理防禦力（不可降低）","319","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006402","提升魔法防禦力（不可降低）","320","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的物理傷害為減少60％的狀態。","74006403","物理傷害降低","321","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006403","提升物理防禦力（不可降低）","322","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006403","提升魔法防禦力（不可降低）","323","boss_magic_def_lower_limit"
"追加叢林護衛、真琴的闇影、惠理子的闇影、樹精。","74006404","追加怪物","324","add_shadow"
"Boss怪物的行動模式發生變化。","74006404","Boss行動模式變化","325","boss_ub_enhance"
"戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","74006404","物理傷害降低","326","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006404","提升物理防禦力（不可降低）","327","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006404","提升魔法防禦力（不可降低）","328","boss_magic_def_lower_limit"
"Boss怪物的行動模式發生變化。","74006405","Boss行動模式變化","329","boss_ub_enhance"
"戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","74006405","物理傷害降低","330","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006405","提升物理防禦力（不可降低）","331","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006405","提升魔法防禦力（不可降低）","332","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006405","減少降低TP","333","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006501","傷害值衰減","334","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006501","賦予TP上升的上限","335","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006501","提升物理防禦力（不可降低）","336","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006501","提升魔法防禦力（不可降低）","337","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006501","降低HP吸收","338","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006501","減少降低TP","339","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006502","全屬性獎勵特大幅度提升","340","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006502","傷害值衰減","341","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006502","賦予TP上升的上限","342","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006502","提升物理防禦力（不可降低）","343","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006502","提升魔法防禦力（不可降低）","344","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006502","降低HP吸收","345","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006502","減少降低TP","346","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006503","全屬性獎勵特大幅度提升","347","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006503","傷害值衰減","348","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006503","賦予TP上升的上限","349","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006503","提升物理防禦力（不可降低）","350","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006503","提升魔法防禦力（不可降低）","351","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006503","降低HP吸收","352","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006503","減少降低TP","353","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006504","全屬性獎勵特大幅度提升","354","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006504","傷害值衰減","355","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006504","賦予TP上升的上限","356","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006504","提升物理防禦力（不可降低）","357","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006504","提升魔法防禦力（不可降低）","358","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006504","降低HP吸收","359","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006504","減少降低TP","360","boss_tp_down_cut"
"戰鬥時間變成60秒。","74006505","戰鬥時間限制","361","limit_time"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006505","全屬性獎勵特大幅度提升","362","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006505","傷害值衰減","363","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006505","賦予TP上升的上限","364","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006505","提升物理防禦力（不可降低）","365","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006505","提升魔法防禦力（不可降低）","366","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006505","降低HP吸收","367","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006505","減少降低TP","368","boss_tp_down_cut"
