dfb276dbe83da1cbbedc670960e476fb7d0f46abf850bd8386f178e39aa2dff6,a413713a022ee724dcf06c56ff1d2f41ba5dd488b3c522b790fed1aa0f592cf2,fb7e1aca4adf94ab4fb00b597855c531f0c866cd6b55005903dcf58287574a1e,2dccb81e1f9e2dbb512c2d0c22c8dd4bfbb974fc574f2938ec7b8a414c500582,e35c0491c16b0bf6d375fc002d1f804fcc776cdfff262628352c18ba33780659,f32f7e2dc8c07223fea5e25aea8536b92cb09ce7b463bf16db2348d32b4192da,b59f682ee54d538673b34a550126d17c049f032bfb6de21da0bebc4c104aad90,ea6d54c88e1b10200cdd0e4211c9583ff0e309864c26913c46f2039df3c42dd8,d0d6ee73745a1cd955e05a7562132fb1b3669f233f3b08484a620480b149720e,ba112f7da71414e1be243d88274b6dec1f3fea66440c806d7b4c78a49832b492,6661bdac27f0744eeb2df2b7e5ec8c8b860eaf58028be48a08b18528c2969d98,50527bbc84c461688ca0c67cfa3ab11254c1a1a047701d79405f4df2167b6cf5
"0","vo_lsv","100981402","2","0","vo_lsv_1401","2","0","0","0","0","1009814"
"0.677","0","100981403","3","84","0","1","1","0","0","0","1009814"
"0","0","100981404","4","0","0","4","0","1","0.7","0","1009814"
"1.677","0","100981405","5","300","0","1","1","0","0","84","1009814"
"0","0","100981406","6","0","0","4","0","1","3.5","0","1009814"
"0","vo_lsv","100981407","7","0","vo_lsv_1402","2","0","0","0","0","1009814"
"1.099","0","100981408","8","300","0","1","3","0","0","0","1009814"
"0","0","100981409","9","0","0","4","0","1","1.13","0","1009814"
"1.234","0","100981410","10","158","0","1","4","0","0","0","1009814"
"0","0","100981411","11","0","0","4","0","1","2.2","0","1009814"
"0","vo_lsv","100981412","12","0","vo_lsv_1403","2","0","0","0","0","1009814"
"1.37","0","100981413","13","300","0","1","4","0","0","158","1009814"
"0","0","100981414","14","0","0","4","0","1","2.5","0","1009814"
"0","vo_lsv","100981415","15","0","vo_lsv_1404","2","0","0","0","0","1009814"
"1","0","100981416","16","300","0","1","6","0","0","0","1009814"
"0","0","100981417","17","0","0","4","0","1","1.3","0","1009814"
"1.661","0","100981418","18","350","0","1","7","0","0","0","1009814"
"0","0","100981419","19","0","0","4","0","1","1.7","0","1009814"
"1.344","0","100981420","20","180","0","1","8","0","0","0","1009814"
"0","0","100981421","21","0","0","4","0","1","2.5","0","1009814"
"0","vo_lsv","100981422","22","0","vo_lsv_1405","2","0","0","0","0","1009814"
"0.82","0","100981423","23","80","0","1","10","0","0","0","1009814"
"0","0","100981424","24","0","0","4","0","1","1.4","0","1009814"
"1.83","0","100981425","25","300","0","1","10","0","0","80","1009814"
"0","0","100981501","1","0","0","4","0","1","0.8","0","1009815"
"0","vo_lsv","100981502","2","0","vo_lsv_1501","2","0","0","0","0","1009815"
"2.384","0","100981503","3","300","0","1","1","0","0","0","1009815"
"0","0","100981504","4","0","0","4","0","1","2.41","0","1009815"
"1","0","100981505","5","250","0","1","2","0","0","0","1009815"
"0","0","100981506","6","0","0","4","0","1","2","0","1009815"
"0","vo_lsv","100981507","7","0","vo_lsv_1502","2","0","0","0","0","1009815"
"1.71","0","100981508","8","300","0","1","3","0","0","0","1009815"
"0","0","100981509","9","0","0","4","0","1","2","0","1009815"
"1.369","0","100981510","10","300","0","1","4","0","0","0","1009815"
"0","0","100981511","11","0","0","4","0","1","1.39","0","1009815"
"2.431","0","100981512","12","327","0","1","5","0","0","0","1009815"
"0","0","100981513","13","0","0","4","0","1","2.432","0","1009815"
"1.164","0","100981514","14","327","0","1","6","0","0","0","1009815"
"0","0","100981515","15","0","0","4","0","1","2.5","0","1009815"
"0","vo_lsv","100981516","16","0","vo_lsv_1503","2","0","0","0","0","1009815"
"3.101","0","100981517","17","327","0","1","7","0","0","0","1009815"
"0","0","100981518","18","0","0","4","0","1","4.5","0","1009815"
"0","vo_lsv","100981519","19","0","vo_lsv_1504","2","0","0","0","0","1009815"
"2.454","0","100981520","20","327","0","1","8","0","0","0","1009815"
"0","0","100981521","21","0","0","4","0","1","2.484","0","1009815"
"0.727","0","100981522","22","300","0","1","9","0","0","0","1009815"
"0","0","100981523","23","0","0","4","0","1","2","0","1009815"
"0","vo_lsv","100981524","24","0","vo_lsv_1505","2","0","0","0","0","1009815"
"1.984","0","100981525","25","300","0","1","10","0","0","0","1009815"
"0","0","100981526","26","0","0","4","0","1","3","0","1009815"
"0","vo_lsv","100981527","27","0","vo_lsv_1506","2","0","0","0","0","1009815"
"2.1","0","100981528","28","327","0","1","12","0","0","0","1009815"
