a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"102531","1","110","0","1","5","36","1.3","105","03_uek_cmn_idol_def_N","1360001"
"102831","1","100","0","1","10","36","1.3","10","03_uek_cmn_idol_def_N","1360002"
"","93","","","1","","36","","","","1360003"
"03_uek_36_suzume","3","0","0","102531","1","36","0","03_uek_36_suzume_loop","","1360004"
"03_uek_36_saren","3","0","0","102831","1","36","0","03_uek_36_saren_loop","","1360005"
"","91","","","0","","36","","","","1360006"
"呀！？要要要、\n要掉下去了～！\n大小姐～！！？？","11","10","","102531","0","36","","0","","1360007"
"","91","","","0","","36","","","","1360008"
"鈴莓，妳沒事吧！？\n這裡很高的，\n妳要小心哦。","11","10","","102831","0","36","","0","","1360009"
"112531","1","100","0","1","-22","37","1.3","-118","01_uek_cmn_idol_def_N","1370001"
"112431","1","100","0","1","0","37","1.3","0","01_uek_cmn_idol_def_N","1370002"
"112631","1","100","1","1","0","37","1.3","179","01_uek_27_tamaki_loop","1370003"
"01_uek_27_tamaki_loop","3","0","","112631","0","37","","","","1370004"
"","91","","","0","","37","","","","1370005"
"01_uek_27_tamaki_loop","3","0","","112631","0","37","","","","1370006"
"","91","","","0","","37","","","","1370007"
"01_uek_27_tamaki_loop","3","0","","112631","0","37","","","","1370008"
"","91","","","0","","37","","","","1370009"
"01_uek_cmn_pose06","3","1","","112631","0","37","0.5","","","1370010"
"啊！島村村、\n澀凜凜，妳們快看！\n星星好漂亮喔！","11","10","","112631","0","37","","0","","1370011"
"","91","","","0","","37","","","","1370012"
"01_uek_35_rei","3","0","","112531","1","37","","01_uek_35_rei_loop","","1370013"
"……成為頂尖偶像時\n所能夠見到的光景\n就是這種感覺嗎？","11","10","","112531","0","37","","0","","1370014"
"","91","","","0","","37","","","","1370015"
"01_uek_cmn_idol_def_N","3","1","","112631","0","37","0.2","","","1370016"
"01_uek_37_uduki","3","0","","112431","1","37","","01_uek_16_uduki_loop","","1370017"
"希望我們也能夠\n像那些星星一樣\n閃閃發光呢！","11","10","","112431","0","37","","0","","1370018"
"","91","","","0","","37","","","","1370019"
"14","31","0","","101","1","101","1","30","","11010001"
"11","31","0","","111","1","111","1","150","","11110001"
"12","31","0","","112","1","112","1","150","","11120001"
"13","31","0","","113","1","113","1","125","","11130001"
