af6c68fda9c48d07937971784e0ee7a4417d4072b2cc8ca5646bbdda4109c6e9,b6645f91b5af7b45beaf83d4577dc6da04e1450290264caef523e324ab5268af,4753651fa26d51e6824db2d5063947710bd974f21fa9f61c58a1864038eaf98c,3c4257e15be27ac12482c55357b85f091089878c7cb2b2bc73ce78be65d8303f,58bcb7ec4f904fe591806632d921bf813c753fa1b1b97d4e8951d6f6d30640f7,bfddf2c90d6874b9293721da459135a248fbdfdbd6fd681affc08184626e93dd,fc6c3e5ad508583596af4ca59b02ced1641ae1a1fd432cf54c926f1465a605dc,359c04d86b702642f98316543fad6dc0a88abae9868e3758846345a40c1ef965,6153b59df48ed0ce0c5979b8d7bca15b667a09dd852f77771c0f311b91d25849,5c4b5914e3d2a582ebdbdca78c4a1b7e434bb4d8ed7cac58ba4882c4bdae6ce4,af697cce7f94e208e0891f21ae6cf939816741a3511bb780948ac19ac2145b0c
"0.2","1","1330015","0","2","","pkb_shock","3","pkb_idle_shock","33",""
"","","1330016","","1330011","","","91","","33",""
"0.2","","1330017","1","2","","pkb_idle_normal","3","","33",""
"1.6","-150","1340001","100","1","pkb_idle_normal","106531","1","170","34","1"
"1.6","-150","1340002","100","1","pkb_idle_normal","113411","1","-20","34","0"
"0.2","1","1340003","0","106531","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","34","0.2"
"","","1340004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_13_301","21","0","34",""
"0","0","1340005","8","106531","-1","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","11","0","34","0"
"","","1340006","","3.4","","","93","","34",""
"0.2","","1340007","1","106531","","pkb_talk_normal","3","","34",""
"","","1340008","","1340005","","","91","","34",""
"0.2","","1340009","1","106531","","pkb_idle_normal","3","","34",""
"0.2","","1340010","1","113411","","pkb_talk_normal","3","","34",""
"","","1340011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_13_202","21","0","34",""
"0","0","1340012","8","113411","1","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","11","0","34","0"
"","","1340013","","1.2","","","93","","34",""
"0.2","1","1340014","0","113411","","pkb_surprise","3","pkb_talk_surprise1","34","0.2"
"","","1340015","","1","","","93","","34",""
"0.2","","1340016","1","113411","","pkb_talk_joy3","3","","34",""
"","","1340017","","1340012","","","91","","34",""
"0.2","","1340018","1","113411","","pkb_idle_normal","3","","34",""
"1.6","-150","1350001","100","1","pkb_idle_normal","113511","1","-20","35","0"
"1.6","-150","1350002","100","1","pkb_idle_normal","102311","1","170","35","1"
"0.2","","1350003","1","113511","","pkb_talk_joy3","3","","35",""
"","","1350004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_14_101","21","0","35",""
"0","0","1350005","6","113511","0.5","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","11","0","35","0"
"","","1350006","","5.2","","","93","","35",""
"0.2","","1350007","1","113511","","pkb_talk_wish","3","","35",""
"","","1350008","","1350005","","","91","","35",""
"0.2","","1350009","1","113511","","pkb_idle_normal","3","","35",""
"0.2","","1350010","1","102311","","pkb_talk_joy1","3","","35",""
"","","1350011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_14_402","21","0","35",""
"0","0","1350012","8","102311","-1","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","11","0","35","0"
"","","1350013","","3.2","","","93","","35",""
"0.2","1","1350014","0","102311","","pkb_talk_doya","3","pkb_idle_doya","35",""
"","","1350015","","1350012","","","91","","35",""
"0.2","","1350016","1","102311","","pkb_idle_normal","3","","35",""
"55","-130","1360001","100","3","pkb_idle_normal_l","3","5","170","36","1"
"55","-130","1360002","100","1","pkb_idle_normal","1","5","-20","36","0"
"0.2","1","1360003","0","3","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","36","0.2"
"","","1360004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_15_601","21","0","36",""
"0","0","1360005","8","3","-0.5","喂，旭！\n讓我看看\n你進步了多少！","11","0","36","0"
"","","1360006","","1360005","","","91","","36",""
"0.2","","1360007","1","3","","pkb_idle_normal_l","3","","36",""
"0.2","1","1360008","0","1","","pkb_talk_guts","3","pkb_idle_guts","36",""
"","","1360009","0","vo_minigame_1006","","vo_minigame_1006_top_talk_15_702","21","0","36",""
"0","0","1360010","8","1","0","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","11","0","36","0"
"","","1360011","","1360010","","","91","","36",""
"0.2","","1360012","1","1","","pkb_idle_normal","3","","36",""
"55","-130","1370001","100","1","pkb_idle_normal","1","5","-20","37","0"
"55","-130","1370002","100","3","pkb_idle_normal_l","3","5","170","37","1"
"0.2","1","1370003","0","1","","pkb_talk_guts","3","pkb_idle_guts","37",""
"","","1370004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_16_701","21","0","37",""
"0","0","1370005","8","1","-0.5","我們絕對要參加\n全國大賽，\n實現我們的夢想！","11","0","37","0"
"","","1370006","","3.2","","","93","","37",""
"0.2","1","1370007","0","1","","pkb_talk_handsup","3","pkb_idle_normal","37","0.2"
"","","1370008","","1370005","","","91","","37",""
"0.2","","1370009","1","1","","pkb_idle_normal","3","","37",""
"0.2","1","1370010","0","3","","pkb_talk_arm_crossed_l","3","pkb_idle_arm_crossed_l","37","0.2"
"","","1370011","0","vo_minigame_1006","","vo_minigame_1006_top_talk_16_602","21","0","37",""
"0","0","1370012","8","3","1","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","11","0","37","0"
"","","1370013","","4.8","","","93","","37",""
"0.2","1","1370014","0","3","","pkb_talk_guts_l","3","pkb_idle_guts_l","37",""
"","","1370015","","1370012","","","91","","37",""
"0.2","","1370016","1","3","","pkb_idle_normal_l","3","","37",""
"1.6","-150","1380001","100","1","pkb_idle_normal","106531","1","170","38","1"
"55","-130","1380002","100","2","pkb_idle_normal","2","5","-20","38","0"
"0.2","1","1380003","0","106531","","pkb_talk_arm_crossed","3","pkb_idle_arm_crossed","38","0.2"
"","","1380004","0","vo_minigame_1006","","vo_minigame_1006_top_talk_17_301","21","0","38",""
"0","0","1380005","8","106531","-0.5","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","11","0","38","0"
"","","1380006","","3.6","","","93","","38",""
"0.2","1","1380007","0","106531","","pkb_talk_doya","3","pkb_idle_doya","38",""
"","","1380008","","2","","","93","","38",""
"0.2","1","1380009","0","106531","","pkb_talk_handsup","3","pkb_idle_normal","38","0.2"
"","","1380010","","1380005","","","91","","38",""
"","","1380011","","1","","","93","","38",""
"0.2","","1380012","1","106531","","pkb_idle_normal","3","","38",""
"0.2","1","1380013","0","2","","pkb_shock","3","pkb_idle_shock","38",""
"","","1380014","0","vo_minigame_1006","","vo_minigame_1006_top_talk_17_802","21","0","38",""
"0","0","1380015","7","2","1","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","11","0","38","0"
"","","1380016","","1380015","","","91","","38",""
"0.2","","1380017","1","2","","pkb_idle_normal","3","","38",""
