2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc
"角色歌曲\n\n時間 / 01:52\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n　　　雪菲（近藤玲奈）\n作詞 / しほり\n作曲 / 田中公平\n編曲 / 東大路憲太","bgm_M370","1:09","1:52","125","Mirage Game","bgm_M370"
"角色歌曲\n\n時間 / 01:48\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 奈良悠樹","bgm_M371","0:52","1:48","126","Yes！ Precious Harmony！","bgm_M371"
"小遊戲\n-｢Heartful Place｣編曲-\n\n時間 / 00:45\n作曲 / 小野貴光\n編曲 / 澤下葵","bgm_M355_Lofi","0:00","0:45","127","啾啾大恐慌！　保衛起司大作戰！","bgm_M355_Lofi_juke"
"故事劇情主題曲\n-｢Heartful Place｣編曲-\n\n時間 / 01:00\n作曲 / 小野貴光\n編曲 / 淺田美咲（Cygames）","bgm_M351","0:00","1:00","128","牧場的四農士　貧窮農場奮鬥記！","bgm_M351_juke"
"故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M354","0:00","1:56","129","忍者首領半藏","bgm_M354_juke"
"角色歌曲\n\n時間 / 01:19\n演唱　 / 真陽（新田恵海）\n　　　鈴（小岩井ことり）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M379","0:46","1:19","130","Heartful Place","bgm_M379"
"故事劇情主題曲\n-｢童話故事就在夢中｣編曲-\n\n時間 / 00:52\n作曲 / 篠崎あやと\n編曲 / 東大路憲太","bgm_M375","0:00","0:52","131","不可思議之國的璃乃 小小愛麗絲與希望的繪本","bgm_M375_juke"
"故事劇情BOSS戰\n\n時間 / 01:21\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_M378","0:00","1:21","132","暗黑之王賈巴沃克","bgm_M378_juke"
"角色歌曲\n\n時間 / 01:29\n演唱　 / 璃乃（阿澄佳奈）\n作詞 / 篠崎あやと\n作曲 / 篠崎あやと\n編曲 / 篠崎あやと","bgm_M389","0:51","1:29","133","童話故事就在夢中","bgm_M389"
"主線冒險\n\n時間 / 01:04\n作曲 / 澤下葵\n編曲 / 澤下葵","bgm_M374","0:00","1:04","134","幽靜森林","bgm_M374_juke"
"故事劇情主題曲\n-｢黃昏太平旅路歌｣編曲-\n\n時間 / 01:08\n作曲 / 渡部チェル\n編曲 / 中村早織(Cygames)","bgm_M380A","0:00","1:08","135","七夕劍客旅情譚 天際川流夏之戀","bgm_M380A_juke"
"故事劇情BOSS戰\n\n時間 / 03:16\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","bgm_M384","0:00","3:16","136","覺醒‧花心星","bgm_M384_juke"
"角色歌曲\n\n時間 / 01:27\n演唱　 / 流夏（佐藤利奈）\n作詞 / 絵伊子、野村イクミ（Cygames）\n作曲 / 渡部チェル\n編曲 / 渡部チェル","bgm_M402","0:49","1:27","137","黃昏太平旅路之歌","bgm_M402"
"故事劇情主題曲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 00:55\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 江原大介","bgm_M393","0:00","0:55","138","美里的夏日聲援！　追夢的盛夏棒球隊","bgm_M393_juke"
"故事劇情BOSS戰\n\n時間 / 02:25\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M397","0:00","2:25","139","海岸暴君‧鮫吉","bgm_M397_juke"
"小遊戲\\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:15\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 長谷部翔(Cygames)","bgm_M399","0:00","1:15","140","猛訓打擊道！　美里的全壘打訓練場","bgm_M399_juke"
"小遊戲\n-｢Lost Princess｣Arrange-\n\n時間 / 01:25\n作曲 / 田中公平\n編曲 / 江原大介","bgm_M400","0:00","1:25","141","目標全壘打！","bgm_M400_juke"
"小遊戲\n-｢那個夏天的記憶｣Arrange-\n\n時間 / 01:05\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 中川峻彰","bgm_M401","0:00","1:05","142","夏天的回憶","bgm_M401_juke"
"角色歌曲\n\n時間 / 01:26\n演唱　 / 美里（國府田マリ子）\n作詞 / Manami（TRYTONELABO）\n作曲 / 瀧澤俊輔（TRYTONELABO）\n編曲 / 瀧澤俊輔（TRYTONELABO）","bgm_M412","0:55","1:26","143","那個夏天的記憶","bgm_M412"
"主線冒險\n\n時間 / 01:05\n作曲 / 淺田美咲(Cygames)\n編曲 / 淺田美咲(Cygames)","bgm_M392","0:00","1:05","144","清澈的河水聲","bgm_M392_juke"
"故事劇情主題曲\n-｢吶吶Please！｣Arrange-\n\n時間 / 00:55\n作曲 / 山崎真吾\n編曲 / 田山里奈","bgm_M403","0:00","0:55","145","Happy‧Change‧Angels","bgm_M403_juke"
"故事劇情BOSS戰\n\n時間 / 02:20\n作曲 / 千葉梓(Cygames)\n編曲 / 千葉梓(Cygames)","bgm_M406","0:00","2:20","146","失控的純潔之弓","bgm_M406_juke"
"角色歌曲\n\n時間 / 01:18\n演唱　 /依里（原紗友里）\n　　　茜里（浅倉杏美）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","bgm_M420","0:50","1:18","147","吶吶Please！","bgm_M420"
"故事劇情主題曲\n-「Paradox」編曲-\n\n時間 / 00:55\n作曲 / 出口遼\n編曲 / 多田彰文","bgm_M413","0:00","0:55","148","迴盪的尖叫！萬聖鬼怪狂歡節","bgm_M413_juke"
"故事劇情頭目戰\n\n時間 / 02:40\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M416","0:00","2:40","149","驚叫鬼魂教父","bgm_M416_juke"
"角色歌曲\n\n時間 / 01:35\n演唱　 / 怜（早見沙織）\n　　　紡希（木戸衣吹）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太、出口遼","bgm_M425","0:48","1:35","150","Paradox","bgm_M425"
"故事劇情主題曲\n-｢閃耀吧！Lovely★Dreamy｣編曲-\n\n時間 / 01:30\n作曲 / 睦月周平\n編曲 / 多田彰文","bgm_M421","0:00","1:30","151","魔法提督Lovely★莫妮卡　Let's Go！魔法的四重奏！","bgm_M421_juke"
"故事劇情頭目戰\n\n時間 / 02:35\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M424","0:00","2:35","152","反逆獸 de M","bgm_M424_juke"
"角色歌曲\n\n時間 / 01:27\n演唱　/ 莫妮卡（辻あゆみ）\n　　　智（茅原実里）\n作詞 / ミズノゲンキ\n作曲 / 睦月周平\n編曲 / 睦月周平","bgm_M439","0:49","1:27","153","閃耀吧！Lovely★Dreamy","bgm_M439"
"主線冒險\n\n時間 / 01:35\n作曲 / 関根修平（Cygames）\n編曲 / 加藤慶久（Cygames）","bgm_M411","0:00","1:35","154","跨越斷崖　前進山麓","bgm_M411_juke"
"故事劇情主題曲\n-｢Holy Passion Roses｣編曲-\n\n時間 / 01:20\n作曲 / 小野貴光\n編曲 / 田山里奈","bgm_M426","0:00","1:20","155","名媛初登夢想秘境　聖誕夜的戀愛遊戲","bgm_M426_juke"
"故事劇情Boss戰\n\n時間 / 02:30\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M429","0:00","2:30","156","被操控的雪人","bgm_M429_juke"
"角色歌曲\n\n時間 / 01:31\n演唱　 / 咲戀（堀江由衣）\n　　　秋乃（松嵜麗）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","bgm_M440","0:59","1:31","157","Holy Passion Roses","bgm_M440"
"故事劇情主題曲\n-｢Brand New Sunrise｣編曲-\n\n時間 / 01:06\n作曲 / 池田健仁（Cygames）\n編曲 / 多田彰文","bgm_M435","0:00","1:06","158","新春美食家公主！　賭上關鍵一擲的少女們","bgm_M435_juke"
"故事劇情Boss戰\n\n時間 / 02:34\n作曲 / 中村博\n編曲 / 中村博","bgm_M438","0:00","2:34","159","究極金槍鮪","bgm_M438_juke"
"角色歌曲\n\n時間 / 01:27\n演唱　 / 矛依未（潘めぐみ）\n　　　似似花（井口裕香）\n作詞 / 野村イクミ（Cygames）\n作曲 / 池田健仁（Cygames）\n編曲 / 池田健仁（Cygames）","bgm_M441","0:55","1:27","160","Brand New Sunrise","bgm_M441"
"故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","bgm_M442A","0:00","1:16","161","無比珍貴的日常","bgm_M442A_juke"
"故事劇情主題曲\n-｢心的思念 ～心的思念～｣編曲-\n\n時間 / 01:16\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 長谷部翔（Cygames）","bgm_M442B","0:00","1:16","162","離別與決意","bgm_M442B_juke"
"故事劇情頭目戰\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M447","0:00","2:26","163","黑風之精靈","bgm_M447_juke"
"角色歌曲\n\n時間 / 01:25\n演唱　 / 可可蘿（伊藤美来）\n作詞 / 亀井博之\n作曲 / 内海孝彰（TRYTONELABO）\n編曲 / 内海孝彰（TRYTONELABO）","bgm_M456","0:52","1:25","164","心的思念 ～心的思念～","bgm_M456"
"故事劇情主題曲\n-｢戀愛閃亮魔法☆彡｣編曲-\n\n時間 / 00:58\n作曲 / 青柳諒、内田ましろ\n編曲 / 関根修平（Cygames）","bgm_M451","0:00","0:58","165","灰姑娘課程　璀璨的日子有著蘋果的滋味","bgm_M451_juke"
"故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M455","0:00","1:47","166","魔物的公主","bgm_M455_juke"
"角色歌曲\n\n時間 / 01:29\n歌　 / 莉瑪（徳井青空）\n作詞 / 青柳諒、内田ましろ\n作曲 / 青柳諒、内田ましろ\n編曲 / 青柳諒","bgm_M465","0:49","1:29","167","戀愛閃亮魔法☆彡","bgm_M465"
"故事劇情主題曲\n-｢無敵DREAMING｣編曲-\n\n時間 / 01:01\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 澤下葵","bgm_M457","0:00","1:01","168","鋼鐵聖女與神聖學院的問題兒童","bgm_M457_juke"
"故事劇情Boss戰\n\n時間 / 02:05\n作曲 / 中村博\n編曲 / 中村博","bgm_M461","0:00","2:05","169","無名的藝術","bgm_M461_juke"
"角色歌曲\n\n時間 / 01:32\n歌　 / 琪愛兒（佐倉綾音）\n　　　克蘿依（種崎敦美）\n　　　優妮（小原好美）\n作詞 / しらゆき美優\n作曲 / 白戸佑輔（Dream Monster）\n編曲 / 白戸佑輔（Dream Monster）\n　　　佐藤厚仁（Dream Monster）","bgm_M466","0:56","1:32","170","無敵DREAMING","bgm_M466"
"故事劇情主題曲\n-｢Seize The Day！｣編曲-\n\n時間 / 01:10\n作曲 / 本多友紀（Arte Refact）\n編曲 / 中川峻彰","bgm_M467","0:00","1:10","171","祈梨ＳＯＳ！！　踏上時空旅行的龍人族","bgm_M467_juke"
"故事劇情Boss戰\n\n時間 / 02:12\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M470","0:00","2:12","172","爆裂‧時間儀","bgm_M470_juke"
"角色歌曲\n\n時間 / 01:34\n演唱　 / 嘉夜（小市眞琴）\n　　　帆稀（大西沙織）\n　　　祈梨（藤田茜）\n作詞 / 野村イクミ（Cygames）\n作曲 / 本多友紀（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","bgm_M485","0:52","1:34","173","Seize The Day！","bgm_M485"
"故事劇情主題曲\n-｢邊緣人的朋友進行曲｣編曲-\n\n時間 / 01:46\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 下智子","bgm_M478","0:00","1:46","174","心電感應！碧與玩具朋友們","bgm_M478_Lofi_juke"
"故事劇情Boss戰\n\n時間 / 02:35\n作曲 / 多田彰文\n編曲 / 多田彰文","bgm_M481","0:00","2:35","175","究極機械玩具王","bgm_M481_juke"
"角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 山本真央樹（TRYTONELABO）\n編曲 / 山本真央樹（TRYTONELABO）","bgm_M494","1:01","1:34","176","邊緣人的朋友進行曲","bgm_M494"
"主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","bgm_M483","0:00","1:07","177","於飛舞的沙塵之中","bgm_M483_E46_juke"
"故事劇情主題曲\n-「Only Only You」編曲-\n\n時間 / 01:57\n作曲 / ARM（IOSYS）\n編曲 / 下智子","bgm_M486","0:00","1:57","178","永不完結的夏日計畫　盛夏的雙人獨佔樂園","bgm_M486_juke"
"故事劇情Boss戰\n\n時間 / 02:29\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M489","0:00","2:29","179","暑假作業","bgm_M489_juke"
"角色歌曲\n\n時間 / 01:28\n歌　 / 惠理子（橋本ちなみ）\n作詞 / 夕野ヨシミ（IOSYS）\n作曲 / ARM（IOSYS）\n編曲 / ARM（IOSYS）","bgm_M495","0:46","1:28","180","Only Only You","bgm_M495"
"故事劇情主題曲\n-｢Just a Moment！｣編曲-\n\n時間 / 01:09\n作曲 / 山口朗彥\n編曲 / 關根修平（Cygames）","bgm_M496","0:00","1:09","181","慈樂之音的夏日演唱會　Just a moment！","bgm_M496_juke"
"故事劇情Boss戰\n\n時間 / 01:30\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","bgm_M499","0:00","1:30","182","女王歌唱水母","bgm_M499_juke"
"角色歌曲\n\n時間 / 01:39\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 野村イクミ（Cygames）\n作曲 / 山口朗彥\n編曲 / 山口朗彥","bgm_M518","0:56","1:39","183","Just a Moment！","bgm_M518"
"角色歌曲\n-「Shining Future」-\n\n時間 / 01:55\n演唱　 / 望（日笠陽子）\n　　　千歌（福原綾香）\n　　　紡希（木戶衣吹）\n作詞 / 莊野ジュリ\n作曲 / 武田城以\n編曲 / 坪田修平（TRYTONELABO）","bgm_M519","0:53","1:55","184","Shining Future（Battle Arrange Ver.）","bgm_M519"
"故事劇情主題曲\n-｢Narcistration♡｣編曲-\n\n時間 / 01:55\n作曲 / 錦織孝宏\n編曲 / 中村博","bgm_M508","0:00","1:55","185","大江戶的非法病歷　Dr.深月的診療室","bgm_M508_juke"
"故事劇情頭目戰\n\n時間 / 01:44\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_M511","0:00","1:44","186","基古魯博士","bgm_M511_juke"
"角色歌曲\n\n時間 / 01:32\n歌　 / 雪（大空直美）\n作詞 / Manami（TRYTONELABO）\n作曲 / 錦織孝宏\n編曲 / 錦織孝宏","bgm_M524","1:02","1:32","187","Narcistration♡","bgm_M524"
"軍團之戰\n\n時間 / 01:00\n作曲 / 長門千晴（Cygames）\n編曲 / 田山里奈","bgm_M501","0:00","1:00","188","軍團之戰","bgm_M501_juke"
"軍團之戰頭目戰\n\n時間 / 02:19\n作曲 / 中川峻彰、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 中川峻彰","bgm_M504","0:00","2:19","189","VS憤怒軍團　與阿澤爾德的戰鬥","bgm_M504_juke"
"軍團之戰頭目戰\n\n時間 / 01:23\n作曲 / 塚越廉、伊禮完（Cygames）\n　　　長門千晴（Cygames）\n編曲 / 塚越廉","bgm_M502","0:00","1:23","190","VS憤怒軍團　與卡里莎的戰鬥","bgm_M502_juke"
"軍團之戰頭目戰\n\n時間 / 02:48\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M506","0:00","2:48","191","VS憤怒軍團　與贊恩的戰鬥","bgm_M506_juke"
"軍團之戰頭目戰\n\n時間 / 01:39\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n　　　関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_M505","0:00","1:39","192","VS憤怒軍團　與美空的戰鬥","bgm_M505_juke"
"軍團之戰頭目戰\n\n時間 / 01:20\n作曲 / 伊禮完（Cygames）、長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M503","0:00","1:20","193","VS憤怒軍團　與蘭法的戰鬥","bgm_M503_juke"
"故事劇情主題曲\n-｢Halloween Monster Jam ！！！｣編曲-\n\n時間 / 01:16\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 下智子","bgm_M520","0:00","1:16","194","萬聖節拯救隊大亂鬥！　捕獲毛茸茸大作戰","bgm_M520_juke"
"故事劇情頭目戰\n\n時間 / 01:53\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M523","0:00","1:53","195","哀暴小棉花糖","bgm_M523_juke"
"角色歌曲\n\n時間 / 01:34\n歌　 / 香織（高森奈津美）\n　　　鈴奈（上坂すみれ）\n　　　妮諾（佐藤聡美）\n作詞 / 椎名宇伊（Cygames）\n作曲 / 中村早織（Cygames）、長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M525","0:54","1:34","196","Halloween Monster Jam ！！！","bgm_M525"
"故事劇情主題曲\n-｢GREEDY LOVE｣編曲-\n\n時間 / 00:58\n作曲 / 設楽哲也\n編曲 / 長谷部翔（Cygames）","bgm_M527","0:00","0:58","197","魔法少女外傳　黑暗魔法★三人組！","bgm_M527_juke"
"故事劇情頭目戰\n\n時間 / 02:24\n作曲 / 中村博\n編曲 / 中村博","bgm_M529","0:00","2:24","198","反逆獸‧三重","bgm_M529_juke"
"角色歌曲\n\n時間 / 01:36\n歌　 / 伊緒（伊藤静）\n　　　靜流（生天目仁美）\n　　　空花（長妻樹里）\n作詞 / ミズノゲンキ\n作曲 / 設楽哲也\n編曲 / 設楽哲也","bgm_M535","1:05","1:36","199","GREEDY LOVE","bgm_M535"
"故事劇情主題曲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 01:13\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 中村早織（Cygames）","bgm_M536","0:00","1:13","200","聖誕布丁快樂！　飛舞的少女與飽含真心的點心","bgm_M536_juke"
"故事劇情Boss戰\n\n時間 / 01:56\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M539","0:00","1:56","201","孤伶伶的聖誕夜妖精","bgm_M539_juke"
"小遊戲\n-｢布丁‧聖‧代‧聖誕節來的！｣編曲-\n\n時間 / 02:05\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 關根修平（Cygames）","bgm_M540","0:00","2:05","202","宮子廚房　通往究極之路","bgm_M540_juke"
"角色歌曲\n\n時間 / 01:37\n演唱 / 宮子（雨宮天）\n作詞 / 山本真央樹（TRYTONELABO）\n作曲 / 坪田修平（TRYTONELABO）\n編曲 / 坪田修平（TRYTONELABO）","bgm_M550","0:57","1:37","203","布丁‧聖‧代‧聖誕節來的！","bgm_M550"
"故事劇情主題曲\n-「Ice Wings」編曲-\n\n時間 / 01:04\n作曲 /AJURIKA\n編曲 / 畑田浩孝（Cygames）","bgm_M543","0:00","1:04","204","新春美食回憶　雪菲的跑腿大作戰！","bgm_M543_juke"
"故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 塚越廉\n編曲 / 塚越廉","bgm_M546","0:00","1:59","205","邪牛神哞猛","bgm_M546_juke"
"角色歌曲\n\n時間 / 01:36\n歌　 / 雪菲（近藤玲奈）\n作詞 / AJURIKA\n作曲 / AJURIKA\n編曲 / AJURIKA","bgm_M551","1:05","1:36","206","Ice Wings","bgm_M551"
"故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:25\n作曲 / 伊藤翼\n編曲 / 關根修平（Cygames）","bgm_M552","0:00","1:25","207","尋找線索","bgm_M552_juke"
"故事劇情主題曲\n-｢Asymmetric World｣編曲-\n\n時間 / 01:10\n作曲 / 伊藤翼\n編曲 / 中町友洋","bgm_M553","0:00","1:10","208","到大家所度過的世界","bgm_M553_juke"
"故事劇情Boss戰\n\n時間 / 02:08\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M559","0:00","2:08","209","超載力量","bgm_M559_juke"
"角色歌曲\n\n時間 / 01:35\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　凱留（立花理香）\n作詞 / 瀨名航\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M572","0:46","1:35","210","Asymmetric World","bgm_M572"
"故事劇情迷你內容\n-｢Asymmetric World｣編曲-\n\n時間 / 03:27\n作曲 / 伊藤翼\n編曲 / 中川峻彰","bgm_M558","0:00","3:27","211","大家的情感","bgm_M558_juke"
"故事劇情主題曲\n-「聽得見音樂劇嗎？」編曲-\n\n時間 / 01:43\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 下智子","bgm_M565","0:00","1:43","212","Sweet Tiny Stage！ 新進女演員與小小淑女","bgm_M565_juke"
"故事劇情Boss戰\n\n時間 / 01:47\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M568","0:00","1:47","213","仇鼠‧怒髮衝冠的啾二","bgm_M568_juke"
"小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:02\n作曲 / 田中公平\n編曲 / 東大路憲太","bgm_M548","0:00","1:02","214","Happy Anniv.特別版 蘭德索爾猜謎連結！","bgm_M548_Top_juke"
"小遊戲\n-「Mirage Game」編曲-\n\n時間 / 01:49\n作曲 / 田中公平\n編曲 / 中村博","bgm_M569","0:00","1:49","215","Thinking Time！","bgm_M569_juke"
"角色歌曲\n\n時間 / 01:27\n演唱　 / 胡桃（植田佳奈）\n作詞 / 藤村鼓乃美、北川勝利（ROUND TABLE）\n作曲 / 北川勝利（ROUND TABLE）\n編曲 / 北川勝利（ROUND TABLE）","bgm_M573","0:55","1:27","216","聽得見音樂劇嗎？","bgm_M573"
"角色歌曲\n\n時間 / 01:33\n演唱　 / 貪吃佩可（M‧A‧O）\n　　　可可蘿（伊藤美来）\n　　　凱留（立花理香）\n　　　雪菲（近藤玲奈）\n作詞 / 磯谷佳江\n作曲 / 中土智博\n編曲 / 中土智博","bgm_M581","0:58","1:33","217","Crossing Truth","bgm_M581"
"故事劇情主題曲\n-「Secret Longing」編曲-\n\n時間 / 01:04\n作曲 / 河合泰志（Arte Refact）\n編曲 / 長谷部翔（Cygames）","bgm_M574","0:00","1:04","218","交出寶物！透明怪盜雙人組","bgm_M574_juke"
"故事劇情Boss戰\n\n時間 / 01:43\n作曲 / 中村博\n編曲 / 中村博","bgm_M577","0:00","1:43","219","貪婪暴君‧賭場王","bgm_M577_juke"
"角色歌曲\n\n時間 / 01:31\n演唱　 / 步未（大関英里）\n作詞 / 真崎エリカ\n作曲 / 河合泰志（Arte Refact）\n編曲 / 河合泰志（Arte Refact）","bgm_M592","0:55","1:31","220","Secret Longing","bgm_M592"
"故事劇情主題曲\n-「無敵海盜」編曲-\n\n時間 / 01:36\n作曲 / 鹽原大貴\n編曲 / 下智子","bgm_M582","0:00","1:36","221"," Episode of Pirate　海盜島上被詛咒的遺寶","bgm_M582_juke"
"故事劇情Boss戰\n\n時間 / 01:53\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_M585","0:00","1:53","222","受解放的寶藏守護者","bgm_M585_juke"
"角色歌曲\n\n時間 / 01:30\n演唱　 / 杏奈（高野麻美）\n　　　忍（大坪由佳）\n　　　霞（水瀨いのり）\n作詞 / 月丘りあ子\n作曲 / 鹽原大貴\n編曲 / 鹽原大貴","bgm_M593","0:47","1:30","223","無敵海盜","bgm_M593"
"主線冒險\n\n時間 / 01:07\n作曲 / 中村博\n編曲 / 中村博","bgm_M571","0:00","1:07","224","莊嚴的熱沙","bgm_M571_juke"
"故事劇情主題曲\n-｢SAN！SHINE PARTY｣編曲-\n\n時間 / 01:26\n作曲 / no_my\n編曲 / 關根修平（Cygames）","bgm_M595","0:00","1:26","225","Enjoy＆Refresh！　天差地遠的女孩露營","bgm_M595_juke"
"故事劇情Boss戰\n\n時間 / 01:59\n作曲 / 長谷部翔（Cygames）\n編曲 / 長谷部翔（Cygames）","bgm_M598","0:00","1:59","226","阿斯特賴亞牛肝菌","bgm_M598_juke"
"角色歌曲\n\n時間 / 01:34\n演唱　 / 碧（花澤香菜）\n　　　優花梨（今井麻美）\n　　　純（川澄綾子）\n作詞 / no_my\n作曲 / no_my\n編曲 / 青柳諒","bgm_M594","0:51","1:34","227","SAN！SHINE PARTY","bgm_M594"
"主線冒險\n\n時間 / 01:18\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","bgm_M599A","0:00","1:18","228","出發，前往靈妙的森林深處","bgm_M599A_juke"
"故事劇情主題曲\n-「Secret Star」編曲-\n\n時間 / 01:14\n作曲 / PandaBoY\n編曲 / 畑田浩孝（Cygames）","bgm_M601","0:00","1:14","229","破曉之星的夏日遊戲　於夏海閃耀的三份心意","bgm_M601_juke"
"故事劇情Boss戰\n\n時間 / 02:31\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M604","0:00","2:31","230","海將海馬指揮官","bgm_M604_juke"
"角色歌曲\n\n時間 / 01:30\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / PandaBoY\n作曲 / PandaBoY\n編曲 / PandaBoY","bgm_M606","0:43","1:30","231","Secret Star","bgm_M606"
"小遊戲\n-｢Secret Star｣編曲-\n\n時間 / 01:42\n作曲 / PandaBoY\n編曲 / 関根修平（Cygames）","bgm_M605","0:00","1:42","232","飛奔吧常夏！極限沙灘搶旗","bgm_M605_juke"
"故事劇情主題曲\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 01:08\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_M608","0:00","1:08","233","小小夏日回憶錄　在海邊發現的小小幸福","bgm_M608_juke"
"故事劇情Boss戰\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 03:10\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 市橋卓也（Cygames）","bgm_M611","0:00","3:10","234","月光之門","bgm_M611_juke"
"角色歌曲\n\n時間 / 01:31\n演唱 / 鏡華（小倉唯）\n　　　禊(諸星すみれ)\n　　　美美（日高里菜）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_M607","0:48","1:31","235","滿心期待SUMMER TIME！","bgm_M607"
"故事劇情迷你內容\n-｢滿心期待SUMMER TIME！｣編曲-\n\n時間 / 02:40\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 畑田浩孝（Cygames）","bgm_M612","0:00","2:40","236","小繆快快長大日記","bgm_M612_juke"
