eee743833681bb9d33a0d1d77b3d13840132040cb9deb1e10da6ff349cc4821e,fa207cc632e6c10cf82f06190a5f0f9aea9064db547c1f971c67146b5b937d03,2b698e1e871601be613cc979908d1377f047f692563fc19d414244bb495decd9,0b80a2abb9537ade2fe2becab799cdb7b68c32919c2797b5bc68e8a8e5efb7ef,196824c81086b0702e806813d767da4b10d1ec96fc8afd7915f84d8aebe97084
"292","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001018","11"
"293","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001018","17"
"294","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001018","boss_def_lower_limit"
"295","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001018","boss_magic_def_lower_limit"
"296","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001018","9"
"297","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001019","13"
"298","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001019","11"
"299","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001019","17"
"300","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001019","boss_def_lower_limit"
"301","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001019","boss_magic_def_lower_limit"
"302","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001019","9"
"303","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001020","13"
"304","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001020","11"
"305","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001020","17"
"306","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001020","boss_def_lower_limit"
"307","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001020","boss_magic_def_lower_limit"
"308","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001020","9"
"309","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","82001020","boss_tp_down_cut"
"310","戰鬥開始時，大幅度降低全體角色的行動速度。","降低行動速度","82001020","4"
"311","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001021","13"
"312","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001021","11"
"313","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001021","17"
"314","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001021","boss_def_lower_limit"
"315","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001021","boss_magic_def_lower_limit"
"316","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001021","9"
"317","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001022","13"
"318","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001022","11"
"319","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001022","17"
"320","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001022","boss_def_lower_limit"
"321","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001022","boss_magic_def_lower_limit"
"322","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001022","9"
"323","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001023","13"
"324","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001023","11"
"325","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001023","17"
"326","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001023","boss_def_lower_limit"
"327","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001023","boss_magic_def_lower_limit"
"328","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001023","9"
"329","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001024","13"
"330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001024","11"
"331","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001024","17"
"332","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001024","boss_def_lower_limit"
"333","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001024","boss_magic_def_lower_limit"
"334","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001024","9"
"335","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001025","13"
"336","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001025","11"
"337","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001025","17"
"338","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001025","boss_def_lower_limit"
"339","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001025","boss_magic_def_lower_limit"
"340","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001025","9"
"341","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001026","13"
"342","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001026","11"
"343","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001026","17"
"344","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001026","boss_def_lower_limit"
"345","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001026","boss_magic_def_lower_limit"
"346","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001026","9"
"347","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001027","13"
"348","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001027","11"
"349","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001027","17"
"350","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001027","boss_def_lower_limit"
"351","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001027","boss_magic_def_lower_limit"
"352","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001027","9"
"353","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001028","13"
"354","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001028","11"
"355","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001028","17"
"356","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001028","boss_def_lower_limit"
"357","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001028","boss_magic_def_lower_limit"
"358","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001028","9"
"359","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001029","13"
"360","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001029","11"
"361","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001029","17"
"362","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001029","boss_def_lower_limit"
"363","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001029","boss_magic_def_lower_limit"
"364","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001029","9"
"365","當編成4名以上水屬性角色時，屬性獎勵數值將會強化，水屬性以外的屬性獎勵將會無效。","水屬性獎勵特大幅度提升","82001030","13"
"366","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","82001030","11"
"367","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","82001030","17"
"368","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","82001030","boss_def_lower_limit"
"369","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","82001030","boss_magic_def_lower_limit"
"370","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","82001030","9"
"371","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","82001030","boss_tp_down_cut"
"372","戰鬥開始時，大幅度降低全體角色的物理攻擊力。","降低物理攻擊力","82001030","5"
"373","戰鬥開始時，大幅度降低全體角色的魔法攻擊力。","降低魔法攻擊力","82001030","6"
"374","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001001","14"
"375","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001001","11"
"376","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001001","17"
"377","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001001","boss_def_lower_limit"
"378","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001001","boss_magic_def_lower_limit"
"379","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001001","9"
"380","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001002","14"
"381","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001002","11"
"382","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001002","17"
"383","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001002","boss_def_lower_limit"
"384","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001002","boss_magic_def_lower_limit"
"385","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001002","9"
"386","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001003","14"
"387","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001003","11"
"388","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001003","17"
"389","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001003","boss_def_lower_limit"
"390","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001003","boss_magic_def_lower_limit"
"391","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001003","9"
"392","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001004","14"
"393","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001004","11"
"394","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001004","17"
"395","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001004","boss_def_lower_limit"
"396","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001004","boss_magic_def_lower_limit"
"397","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001004","9"
"398","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001005","14"
"399","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001005","11"
"400","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001005","17"
"401","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001005","boss_def_lower_limit"
"402","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001005","boss_magic_def_lower_limit"
"403","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001005","9"
"404","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001006","14"
"405","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001006","11"
"406","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001006","17"
"407","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001006","boss_def_lower_limit"
"408","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001006","boss_magic_def_lower_limit"
"409","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001006","9"
"410","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001007","14"
"411","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001007","11"
"412","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001007","17"
"413","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001007","boss_def_lower_limit"
"414","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001007","boss_magic_def_lower_limit"
"415","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001007","9"
"416","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001008","14"
"417","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001008","11"
"418","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001008","17"
"419","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001008","boss_def_lower_limit"
"420","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001008","boss_magic_def_lower_limit"
"421","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001008","9"
"422","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001009","14"
"423","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001009","11"
"424","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001009","17"
"425","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001009","boss_def_lower_limit"
"426","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001009","boss_magic_def_lower_limit"
"427","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001009","9"
"428","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001010","14"
"429","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001010","11"
"430","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001010","17"
"431","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001010","boss_def_lower_limit"
"432","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001010","boss_magic_def_lower_limit"
"433","戰鬥開始時，特大幅度降低全體角色的HP吸收。","降低HP吸收","83001010","9"
"434","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","83001010","boss_tp_down_cut"
"435","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001011","14"
"436","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001011","11"
"437","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001011","17"
"438","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001011","boss_def_lower_limit"
"439","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001011","boss_magic_def_lower_limit"
"440","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001011","9"
"441","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001012","14"
"442","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001012","11"
"443","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001012","17"
"444","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001012","boss_def_lower_limit"
"445","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001012","boss_magic_def_lower_limit"
"446","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001012","9"
"447","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001013","14"
"448","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001013","11"
"449","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001013","17"
"450","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001013","boss_def_lower_limit"
"451","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001013","boss_magic_def_lower_limit"
"452","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001013","9"
"453","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001014","14"
"454","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001014","11"
"455","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001014","17"
"456","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001014","boss_def_lower_limit"
"457","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001014","boss_magic_def_lower_limit"
"458","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001014","9"
"459","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001015","14"
"460","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001015","11"
"461","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001015","17"
"462","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001015","boss_def_lower_limit"
"463","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001015","boss_magic_def_lower_limit"
"464","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001015","9"
"465","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001016","14"
"466","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001016","11"
"467","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001016","17"
"468","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001016","boss_def_lower_limit"
"469","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001016","boss_magic_def_lower_limit"
"470","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001016","9"
"471","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001017","14"
"472","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001017","11"
"473","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001017","17"
"474","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001017","boss_def_lower_limit"
"475","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001017","boss_magic_def_lower_limit"
"476","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001017","9"
"477","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001018","14"
"478","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001018","11"
"479","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001018","17"
"480","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001018","boss_def_lower_limit"
"481","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001018","boss_magic_def_lower_limit"
"482","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001018","9"
"483","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001019","14"
"484","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001019","11"
"485","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001019","17"
"486","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001019","boss_def_lower_limit"
"487","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001019","boss_magic_def_lower_limit"
"488","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001019","9"
"489","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001020","14"
"490","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001020","11"
"491","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001020","17"
"492","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","提升物理防禦力（不可降低）","83001020","boss_def_lower_limit"
"493","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","提升魔法防禦力（不可降低）","83001020","boss_magic_def_lower_limit"
"494","戰鬥開始時，大幅度降低全體角色的HP吸收。","降低HP吸收","83001020","9"
"495","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","減少TP下降","83001020","boss_tp_down_cut"
"496","戰鬥開始時，大幅度提升所有怪物的行動速度。","提升行動速度","83001020","boss_haste"
"497","當編成4名以上風屬性角色時，屬性獎勵數值將會強化，風屬性以外的屬性獎勵將會無效。","風屬性獎勵特大幅度提升","83001021","14"
"498","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","深域怪物","83001021","11"
"499","戰鬥開始時，將全體角色TP上升的上限值提升至150。","賦予TP上升上限","83001021","17"
