ec7a11f98e21643d127e94098757add0b6fad8f422ff647aefe9c43902f38e49,8a6380526600f13a4c58260a62ee16c111d4e414f1365b3084dbac66107bf308,1b43d9fbff6ec98457f29c164857afa0c1464b432e58a50f8d9f21d7cab84bd4,072491247dec5bb3cdaeb0ca21bb9efb8e1b4fd799ef6ebba3666c74c3502f29,a6ab99a57dc82b38257ee34b6c5e65d2751722f55a4075890c35b8611f9580d8
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005502","254","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005502","255","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005502","256","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005502","257","減少降低TP","boss_tp_down_cut"
"追加宮子、碧。","74005503","258","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005503","259","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005503","260","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005503","261","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005503","262","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005503","263","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005503","264","減少降低TP","boss_tp_down_cut"
"追加露娜聚光燈。","74005504","265","追加怪物","add_shadow"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005504","266","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005504","267","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005504","268","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005504","269","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005504","270","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005504","271","減少降低TP","boss_tp_down_cut"
"戰鬥時間變成60秒。","74005505","272","戰鬥時間限制","limit_time"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74005505","273","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74005505","274","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74005505","275","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74005505","276","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74005505","277","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74005505","278","減少降低TP","boss_tp_down_cut"
"對初音（夏日）、咲戀（夏日）、鈴奈鏡華的闇影追加專用裝備。","74006102","279","強化闇影","star6_shadow"
"鈴奈、鏡華的闇影變成★6。","74006103","280","強化闇影","star6_shadow"
"可以編組的角色變成4個。","74006103","281","編組角色人數限制","limit_chara_num"
"可以編組的角色變成4個。","74006104","282","編組角色人數限制","limit_chara_num"
"戰鬥開始時，對所有的闇影展開物理無效的護盾。","74006104","283","物理無效護盾","27"
"戰鬥開始時，對所有的闇影展開魔法無效的護盾。","74006104","284","魔法無效護盾","28"
"可以編組的角色變成4個。","74006105","285","編組角色人數限制","limit_chara_num"
"戰鬥開始時，對所有的闇影展開物理無效的護盾。","74006105","286","物理無效護盾","27"
"戰鬥開始時，對所有的闇影展開魔法無效的護盾。","74006105","287","魔法無效護盾","28"
"對怜（新年）、靜流（黑暗）、靜流、涅婭的闇影追加專用裝備。","74006202","288","強化闇影","star6_shadow"
"怜（新年）、靜流的闇影變成★6。","74006203","289","強化闇影","star6_shadow"
"可以編組的角色變成4個。","74006203","290","編組角色人數限制","limit_chara_num"
"可以編組的角色變成4個。","74006204","291","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有闇影特大幅度恢復自身的TP。","74006204","292","TP恢復","energy_recover"
"可以編組的角色變成4個。","74006205","293","編組角色人數限制","limit_chara_num"
"戰鬥開始時，所有闇影特大幅度恢復自身的TP並賦予持續恢復TP的狀態。","74006205","294","TP恢復","energy_recover"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006301","295","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006301","296","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006301","297","減少降低TP","boss_tp_down_cut"
"戰鬥開始時，所有怪物的魔法傷害為減少30％的狀態。","74006302","298","魔法傷害降低","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006302","299","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006302","300","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006302","301","減少降低TP","boss_tp_down_cut"
"戰鬥開始時，所有怪物的魔法傷害為減少60％的狀態。","74006303","302","魔法傷害降低","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006303","303","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006303","304","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006303","305","減少降低TP","boss_tp_down_cut"
"Boss怪物的行動模式發生變化。","74006304","306","Boss行動模式變化","boss_ub_enhance"
"戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","74006304","307","魔法傷害降低","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006304","308","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006304","309","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006304","310","減少降低TP","boss_tp_down_cut"
"Boss怪物的行動模式發生變化。","74006305","311","Boss行動模式變化","boss_ub_enhance"
"戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","74006305","312","魔法傷害降低","boss_magic_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006305","313","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006305","314","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006305","315","減少降低TP","boss_tp_down_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006401","316","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006401","317","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的物理傷害為減少30％的狀態。","74006402","318","物理傷害降低","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006402","319","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006402","320","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，所有怪物的物理傷害為減少60％的狀態。","74006403","321","物理傷害降低","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006403","322","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006403","323","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"追加叢林護衛、真琴的闇影、惠理子的闇影、樹精。","74006404","324","追加怪物","add_shadow"
"Boss怪物的行動模式發生變化。","74006404","325","Boss行動模式變化","boss_ub_enhance"
"戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","74006404","326","物理傷害降低","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006404","327","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006404","328","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"Boss怪物的行動模式發生變化。","74006405","329","Boss行動模式變化","boss_ub_enhance"
"戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","74006405","330","物理傷害降低","boss_physics_cut"
"戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006405","331","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006405","332","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","74006405","333","減少降低TP","boss_tp_down_cut"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006501","334","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006501","335","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006501","336","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006501","337","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006501","338","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006501","339","減少降低TP","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006502","340","全屬性獎勵特大幅度提升","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006502","341","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006502","342","賦予TP上升的上限","17"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006502","343","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006502","344","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006502","345","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006502","346","減少降低TP","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006503","347","全屬性獎勵特大幅度提升","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006503","348","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006503","349","賦予TP上升的上限","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006503","350","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006503","351","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006503","352","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006503","353","減少降低TP","boss_tp_down_cut"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006504","354","全屬性獎勵特大幅度提升","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006504","355","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006504","356","賦予TP上升的上限","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006504","357","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006504","358","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006504","359","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006504","360","減少降低TP","boss_tp_down_cut"
"戰鬥時間變成60秒。","74006505","361","戰鬥時間限制","limit_time"
"編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","74006505","362","全屬性獎勵特大幅度提升","33"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74006505","363","傷害值衰減","18"
"戰鬥開始時，將全體角色TP上升的上限值提升至150。","74006505","364","賦予TP上升的上限","17"
"戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","74006505","365","提升物理防禦力（不可降低）","boss_def_lower_limit"
"戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","74006505","366","提升魔法防禦力（不可降低）","boss_magic_def_lower_limit"
"戰鬥開始時，特大幅度降低全體角色的HP吸收。","74006505","367","降低HP吸收","9"
"戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","74006505","368","減少降低TP","boss_tp_down_cut"
