1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011
"pkb_idle_shock","3","","2","pkb_shock","33","","1330015","0.2","0","1"
"","91","","1330011","","33","","1330016","","",""
"","3","","2","pkb_idle_normal","33","","1330017","0.2","1",""
"170","1","pkb_idle_normal","1","106531","34","1","1340001","1.6","100","-150"
"-20","1","pkb_idle_normal","1","113411","34","0","1340002","1.6","100","-150"
"pkb_idle_arm_crossed","3","","106531","pkb_talk_arm_crossed","34","0.2","1340003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_13_301","34","","1340004","","0",""
"0","11","-1","106531","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？","34","0","1340005","0","8","0"
"","93","","3.4","","34","","1340006","","",""
"","3","","106531","pkb_talk_normal","34","","1340007","0.2","1",""
"","91","","1340005","","34","","1340008","","",""
"","3","","106531","pkb_idle_normal","34","","1340009","0.2","1",""
"","3","","113411","pkb_talk_normal","34","","1340010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_13_202","34","","1340011","","0",""
"0","11","1","113411","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。","34","0","1340012","0","8","0"
"","93","","1.2","","34","","1340013","","",""
"pkb_talk_surprise1","3","","113411","pkb_surprise","34","0.2","1340014","0.2","0","1"
"","93","","1","","34","","1340015","","",""
"","3","","113411","pkb_talk_joy3","34","","1340016","0.2","1",""
"","91","","1340012","","34","","1340017","","",""
"","3","","113411","pkb_idle_normal","34","","1340018","0.2","1",""
"-20","1","pkb_idle_normal","1","113511","35","0","1350001","1.6","100","-150"
"170","1","pkb_idle_normal","1","102311","35","1","1350002","1.6","100","-150"
"","3","","113511","pkb_talk_joy3","35","","1350003","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_14_101","35","","1350004","","0",""
"0","11","0.5","113511","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！","35","0","1350005","0","6","0"
"","93","","5.2","","35","","1350006","","",""
"","3","","113511","pkb_talk_wish","35","","1350007","0.2","1",""
"","91","","1350005","","35","","1350008","","",""
"","3","","113511","pkb_idle_normal","35","","1350009","0.2","1",""
"","3","","102311","pkb_talk_joy1","35","","1350010","0.2","1",""
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_14_402","35","","1350011","","0",""
"0","11","-1","102311","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！","35","0","1350012","0","8","0"
"","93","","3.2","","35","","1350013","","",""
"pkb_idle_doya","3","","102311","pkb_talk_doya","35","","1350014","0.2","0","1"
"","91","","1350012","","35","","1350015","","",""
"","3","","102311","pkb_idle_normal","35","","1350016","0.2","1",""
"170","5","pkb_idle_normal_l","3","3","36","1","1360001","55","100","-130"
"-20","5","pkb_idle_normal","1","1","36","0","1360002","55","100","-130"
"pkb_idle_arm_crossed_l","3","","3","pkb_talk_arm_crossed_l","36","0.2","1360003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_15_601","36","","1360004","","0",""
"0","11","-0.5","3","喂，旭！\n讓我看看\n你進步了多少！","36","0","1360005","0","8","0"
"","91","","1360005","","36","","1360006","","",""
"","3","","3","pkb_idle_normal_l","36","","1360007","0.2","1",""
"pkb_idle_guts","3","","1","pkb_talk_guts","36","","1360008","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_15_702","36","","1360009","","0",""
"0","11","0","1","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！","36","0","1360010","0","8","0"
"","91","","1360010","","36","","1360011","","",""
"","3","","1","pkb_idle_normal","36","","1360012","0.2","1",""
"-20","5","pkb_idle_normal","1","1","37","0","1370001","55","100","-130"
"170","5","pkb_idle_normal_l","3","3","37","1","1370002","55","100","-130"
"pkb_idle_guts","3","","1","pkb_talk_guts","37","","1370003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_16_701","37","","1370004","","0",""
"0","11","-0.5","1","我們絕對要參加\n全國大賽，\n實現我們的夢想！","37","0","1370005","0","8","0"
"","93","","3.2","","37","","1370006","","",""
"pkb_idle_normal","3","","1","pkb_talk_handsup","37","0.2","1370007","0.2","0","1"
"","91","","1370005","","37","","1370008","","",""
"","3","","1","pkb_idle_normal","37","","1370009","0.2","1",""
"pkb_idle_arm_crossed_l","3","","3","pkb_talk_arm_crossed_l","37","0.2","1370010","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_16_602","37","","1370011","","0",""
"0","11","1","3","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！","37","0","1370012","0","8","0"
"","93","","4.8","","37","","1370013","","",""
"pkb_idle_guts_l","3","","3","pkb_talk_guts_l","37","","1370014","0.2","0","1"
"","91","","1370012","","37","","1370015","","",""
"","3","","3","pkb_idle_normal_l","37","","1370016","0.2","1",""
"170","1","pkb_idle_normal","1","106531","38","1","1380001","1.6","100","-150"
"-20","5","pkb_idle_normal","2","2","38","0","1380002","55","100","-130"
"pkb_idle_arm_crossed","3","","106531","pkb_talk_arm_crossed","38","0.2","1380003","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_17_301","38","","1380004","","0",""
"0","11","-0.5","106531","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！","38","0","1380005","0","8","0"
"","93","","3.6","","38","","1380006","","",""
"pkb_idle_doya","3","","106531","pkb_talk_doya","38","","1380007","0.2","0","1"
"","93","","2","","38","","1380008","","",""
"pkb_idle_normal","3","","106531","pkb_talk_handsup","38","0.2","1380009","0.2","0","1"
"","91","","1380005","","38","","1380010","","",""
"","93","","1","","38","","1380011","","",""
"","3","","106531","pkb_idle_normal","38","","1380012","0.2","1",""
"pkb_idle_shock","3","","2","pkb_shock","38","","1380013","0.2","0","1"
"0","21","","vo_minigame_1006","vo_minigame_1006_top_talk_17_802","38","","1380014","","0",""
"0","11","1","2","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。","38","0","1380015","0","7","0"
"","91","","1380015","","38","","1380016","","",""
"","3","","2","pkb_idle_normal","38","","1380017","0.2","1",""
