07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"","","0.5","901","","","93","","0","","19010019"
"","","vo_fpc","901","0","","21","","vo_fpc_20101","","19010020"
"0","0.5","126811","901","1","8","11","0","雖然在盛夏的海灘上喝酒很棒，\n但寒冬時像這樣在泳池邊喝酒\n也很奢侈，真棒呢……","0","19010021"
"","","0","901","","","91","","","","19010022"
"","","0.5","901","","","93","","0","","19010023"
"","","vo_fpc","901","0","","21","","vo_fpc_20102","","19010024"
"0","0.5","126811","901","1","6","11","0","再去掰託秋乃\n追加進貨一些\n聖騎似麥酒和祕麥酒吧……","0","19010025"
"","","0","901","","","91","","","","19010026"
"","","0.5","901","","","93","","0","","19010027"
"0.1","","126811","901","","1","3","","01_yukari_talk2_loop","","19010028"
"0.1","","3","901","","1","3","","01_yukari_talk2_loop","","19010029"
"0.1","","2","901","","1","3","","cmn_boat_idle","","19010030"
"","","vo_fpc","901","0","","21","","vo_fpc_20103","","19010031"
"0","0.5","126811","901","1","7","11","0","話縮回來，總覺得暈暈的捏～\n明明是泳池卻有巨浪\n打過來嗎……呃，唔噗！","0","19010032"
"","","0","901","","","91","","","","19010033"
"0.1","","126811","901","01_yukari_sick_1_loop","0","3","1","01_yukari_sick_1","0.1","19010034"
"0.1","","3","901","01_yukari_sick_1_loop","0","3","1","01_yukari_sick_1","0.1","19010035"
"0.1","","2","901","","1","3","","cmn_boat_idle","","19010036"
"","","2","901","","","93","","0","","19010037"
"0.1","","126811","901","01_yukari_sick_2_loop","0","3","1","01_yukari_sick_2","0.1","19010038"
"0.1","","3","901","01_yukari_sick_2_loop","0","3","1","01_yukari_sick_2","0.1","19010039"
"0.1","","2","901","","1","3","","cmn_boat_idle","","19010040"
"","","vo_fpc","901","0","","21","","vo_fpc_20104","","19010041"
"0","0.5","126811","901","1","9","11","0","啊，不行……\n我的胃也有波巨浪……\n要、要忍住啊，優花梨……","0","19010042"
"","","0","901","","","91","","","","19010043"
"","","0.5","901","","","93","","0","","19010044"
"","","126811","901","4.52488687782805","-250","2","","1000","","19010045"
"","","3","901","4.52488687782805","-250","2","","1000","","19010046"
"","","2","901","4.52488687782805","-250","2","","1000","","19010047"
"","","126811","901","4.52488687782805","-250","33","","1000","","19010048"
"","","0","901","","","91","","","","19010049"
"1.75","02_neneka_floatRing","21","902","-780","22","5","-180","1","0","19020001"
"1.6625","02_neneka_floatRing","21","902","-780","12","5","-125","2","0","19020002"
"1.8375","02_neneka_floatRing","21","902","-780","32","5","-250","3","0","19020003"
"1.75","02_neneka_floatRing","21","902","-780","22","5","-180","4","0","19020004"
"1.6625","02_neneka_floatRing","21","902","-780","12","5","-125","5","0","19020005"
"1.8375","02_neneka_floatRing","21","902","-780","32","5","-250","6","0","19020006"
"1","","102","902","-180","-780","31","1","1","","19020007"
"1","","102","902","-125","-780","31","1","2","","19020008"
"1","","102","902","-250","-780","31","1","3","","19020009"
"1","","102","902","-180","-780","31","1","4","","19020010"
"1","","102","902","-125","-780","31","1","5","","19020011"
"1","","102","902","-250","-780","31","1","6","","19020012"
"","","se_10053800","902","","1","23","","se_fpc_water_random","","19020013"
"","","19020012","902","","","91","","","","19020014"
"","","1","902","4.58823529411765","-180","2","12","0","","19020015"
"","","1","902","4.58823529411765","-180","33","12","0","","19020016"
"","","19020015","902","","","91","","","","19020017"
"","","vo_fpc","902","0","","21","","vo_fpc_20200","","19020018"
"0","0.5","1","902","1","10","11","0","嗯……","0","19020019"
"","","0","902","","","91","","","","19020020"
"","","0.5","902","","","93","","0","","19020021"
"","","1","902","3.70588235294118","-180","2","12","150","","19020022"
"","","1","902","3.70588235294118","-180","33","12","150","","19020023"
"0.1","","2","902","","1","3","","02_neneka_floatRing","","19020024"
"","","2","902","3.70588235294118","-125","2","12","-150","","19020025"
"","","2","902","3.70588235294118","-125","33","12","-150","","19020026"
"","","19020025","902","","","91","","","","19020027"
"","","vo_fpc","902","0","","21","","vo_fpc_20201","","19020028"
"0","0.5","2","902","1","8","11","0","雖然我有想過，就只是隨波逐流\n這種世間凡夫俗子般的行為，\n究竟是哪裡好玩了……","0","19020029"
"","","0","902","","","91","","","","19020030"
"","","0.5","902","","","93","","0","","19020031"
"","","1","902","3.11764705882353","-180","2","12","250","","19020032"
"","","1","902","3.11764705882353","-180","33","12","250","","19020033"
"","","2","902","3.11764705882353","-125","2","12","0","","19020034"
"","","2","902","3.11764705882353","-125","33","12","0","","19020035"
"0.1","","3","902","","1","3","","02_neneka_floatRing","","19020036"
"","","3","902","3.11764705882353","-250","2","12","-250","","19020037"
"","","3","902","3.11764705882353","-250","33","12","-250","","19020038"
"","","19020037","902","","","91","","","","19020039"
"","","vo_fpc","902","0","","21","","vo_fpc_20202","","19020040"
"0","0.5","3","902","1","7","11","0","不過這也別有一番趣味呢……\n下次也帶諾維姆過來\n漂流看看吧。","0","19020041"
"","","4.5","902","","","93","","1","","19020042"
"","","0.9","902","","","93","","0","","19020043"
"","","19020041","902","","","91","","","","19020044"
"0.1","","4","902","","1","3","","02_neneka_floatRing","","19020045"
"","","4","902","7.37556561085973","-180","2","","850","","19020046"
"","","4","902","7.37556561085973","-180","33","","850","","19020047"
"","","0.2","902","","","93","","0","","19020048"
"0.1","","5","902","","1","3","","02_neneka_floatRing","","19020049"
"","","1","902","2.71493212669683","-180","2","12","850","","19020050"
"","","1","902","2.71493212669683","-180","33","12","850","","19020051"
"","","0.2","902","","","93","","0","","19020052"
"","","2","902","3.84615384615385","-125","2","12","850","","19020053"
"","","2","902","3.84615384615385","-125","33","12","850","","19020054"
"","","0.1","902","","","93","","0","","19020055"
"","","3","902","4.97737556561086","-250","2","12","850","","19020056"
"","","3","902","4.97737556561086","-250","33","12","850","","19020057"
"","","1.5","902","","","93","","0","","19020058"
"","","5","902","6.26923076923077","-125","2","","850","","19020059"
"","","5","902","6.26923076923077","-125","33","","850","","19020060"
"","","1","902","","","93","","0","","19020061"
"0.1","","6","902","","1","3","","02_neneka_floatRing","","19020062"
"","","6","902","6.63800904977376","-250","2","","850","","19020063"
"","","6","902","6.63800904977376","-250","33","","850","","19020064"
"","","0","902","","","91","","","","19020065"
"","","1","902","","","93","","0","","19020066"
"","","0","902","","","91","","","","19020067"
"1.4875","03_cmn_walk_styk_N2","1","903","-750","12","1","-15","113211","0","19030001"
"1.4875","03_cmn_run_def_N","1","903","750","12","1","-15","113311","0","19030002"
"","","se_10053800","903","","1","23","","se_fpc_water_random","","19030003"
"","","19030002","903","","","91","","0","","19030004"
"","","113211","903","3.52941176470588","-15","2","","-150","","19030005"
"","","1.5","903","","","93","","0","","19030006"
"","","113311","903","2.71493212669683","-15","2","","150","","19030007"
"","","19030005","903","","","91","","","","19030008"
"0.1","","113211","903","","1","3","","03_cmn_idol_def_N","","19030009"
"","","19030007","903","","","91","","","","19030010"
"0.3","","113311","903","","1","3","","03_nanaka_gufufu","","19030011"
"","","0.3","903","","","93","","0","","19030012"
"","","vo_fpc","903","0","","21","","vo_fpc_20300","","19030013"
"0","0.5","113311","903","1","8","11","0","唔呵呵，\n不愧是杏奈美眉♪","0","19030014"
"","","0","903","","","91","","","","19030015"
"","","0.5","903","","","93","","0","","19030016"
"","","vo_fpc","903","0","","21","","vo_fpc_20301","","19030017"
"0","0.5","113311","903","1","6","11","0","把七七香精選的傳說學校泳衣\n駕馭得很完美呢！","0","19030018"
"","","0","903","","","91","","","","19030019"
"","","0.5","903","","","93","","0","","19030020"
"0.1","","113211","903","","1","3","","03_anna_shy","","19030021"
"","","vo_fpc","903","0","","21","","vo_fpc_20302","","19030022"
"0","0.5","113211","903","1","10","11","0","什麼，這是因為我沒有其他泳衣\n所以才不得已穿的啦……","0","19030023"
"","","0","903","","","91","","","","19030024"
"","","0.5","903","","","93","","0","","19030025"
"","","vo_fpc","903","0","","21","","vo_fpc_20303","","19030026"
"0","0.5","113311","903","1","6","11","0","沒問題沒問題，\n真的很適合妳啦！","0","19030027"
"","","0","903","","","91","","","","19030028"
"","","0.5","903","","","93","","0","","19030029"
"","","vo_fpc","903","0","","21","","vo_fpc_20304","","19030030"
"0","0.5","113311","903","1","8","11","0","還是說……\n妳要跟我交換泳衣看看？","0","19030031"
"","","0","903","","","91","","","","19030032"
"","","0.5","903","","","93","","0","","19030033"
"0.1","","113211","903","03_anna_pui_loop","0","3","1","03_anna_pui_in","","19030034"
"","","vo_fpc","903","0","","21","","vo_fpc_20305","","19030035"
"0","0.5","113211","903","1","7","11","0","妳那件也有那件的害羞吧！","0","19030036"
"","","0","903","","","91","","","","19030037"
"","","0.5","903","","","93","","0","","19030038"
"","","vo_fpc","903","0","","21","","vo_fpc_20306","","19030039"
"0","0.5","113211","903","1","8","11","0","我、我有好友為我挑的\n這件學校泳衣便足矣！","0","19030040"
"","","0","903","","","91","","","","19030041"
"","","0.5","903","","","93","","0","","19030042"
"0.1","","113311","903","","1","4","","1","","19030043"
"0.1","","113211","903","","1","4","","1","","19030044"
"0.1","","113311","903","","1","3","","03_cmn_run_def_N","","19030045"
"0.1","","113211","903","","1","3","","03_cmn_walk_styk_N2","","19030046"
"","","113311","903","2.71493212669683","-15","2","","750","","19030047"
"","","113211","903","3.52941176470588","-15","2","","-750","","19030048"
"","","0","903","","","91","","","","19030049"
"1.75","04_misogi_flutterKick_loop","1","904","-910","22","1","-180","122811","0","19040001"
"1.75","04_mimi_flutterKick_loop","1","904","-910","12","1","-125","122911","0","19040002"
"1.75","04_kyouka_flutterKick_loop","1","904","-910","22","1","-180","122711","0","19040003"
"1.75","04_yuni_flutterKick_loop","1","904","-910","23","1","-180","129311","0","19040004"
"1.75","cmn_swm_flutterKick_floatBoad","1","904","-910","22","5","-180","1","0","19040005"
"1.75","empty","3","904","-50","24","5","-180","3","0","19040006"
"1","","1","904","-180","-910","31","1","1","","19040007"
"0","","4","904","-180","-910","31","1","11","","19040008"
"1","","7","904","-125","-910","31","1","2","","19040009"
"0","","4","904","-125","-910","31","1","21","","19040010"
"1","","1","904","-180","-910","31","1","3","","19040011"
"0","","4","904","-180","-910","31","1","31","","19040012"
"1","","1","904","-180","-910","31","1","4","","19040013"
"0","","4","904","-180","-50","31","1","41","","19040014"
"0","","1006","904","0","-180","31","1","1006","","19040015"
"","","se_10053800","904","","1","23","","se_fpc_water_random","","19040016"
"","","19040015","904","","","91","","0","","19040017"
"","","122811","904","5.81447963800905","-180","2","12","375","","19040018"
"","","1","904","5.81447963800905","-180","33","12","375","","19040019"
"","","11","904","5.81447963800905","-180","33","12","375","","19040020"
"","","","904","","","91","","","","19040021"
"","","1","904","","","32","","0","","19040022"
"","","11","904","","","32","","1","","19040023"
"0.1","","122811","904","04_misogi_float_loop","0","3","1","04_misogi_float_in","0.1","19040024"
"","","0.9","904","","","93","","0","","19040025"
"","","vo_fpc","904","0","","21","","vo_fpc_20400","","19040026"
"0","0.5","122811","904","1","9","11","0","哇──！禊是第一名──！\n當鬼的人，快來抓我們──！","0","19040027"
"","","0","904","","","91","","","","19040028"
"","","0.5","904","","","93","","0","","19040029"
"","","122911","904","5.94117647058824","-125","2","12","100","","19040030"
"","","2","904","5.94117647058824","-125","33","12","100","","19040031"
"","","21","904","5.94117647058824","-125","33","12","100","","19040032"
"","","2","904","","","93","","0","","19040033"
"","","vo_fpc","904","0","","21","","vo_fpc_20401","","19040034"
"0","0.5","122911","904","1","8","11","0","快逃快逃～！","0","19040035"
"","","19040032","904","","","91","","","","19040036"
"","","2","904","","","32","","0","","19040037"
"","","21","904","","","32","","1","","19040038"
"0.1","","122911","904","04_mimi_float_loop","0","3","1","04_mimi_float_in","0.1","19040039"
"","","122711","904","5.40441176470588","-180","2","12","-175","","19040040"
"","","3","904","5.40441176470588","-180","33","12","-175","","19040041"
"","","31","904","5.40441176470588","-180","33","12","-175","","19040042"
"","","2","904","","","93","","0","","19040043"
"","","vo_fpc","904","0","","21","","vo_fpc_20402","","19040044"
"0","0","122711","904","1","11","11","0","真是的～！妳們兩個等一下啦～！","0","19040045"
"","","19040042","904","","","91","","","","19040046"
"","","3","904","","","32","","0","","19040047"
"","","31","904","","","32","","1","","19040048"
"0.1","","122711","904","04_kyouka_float_loop","0","3","1","04_kyouka_float_in","0.1","19040049"
"","","1.2","904","","","93","","0","","19040050"
"","","1006","904","","","32","","1","","19040051"
"","","0.8","904","","","93","","0","","19040052"
"","","1","904","","","32","","1","","19040053"
"","","11","904","","","32","","0","","19040054"
"","","2","904","","","32","","1","","19040055"
"","","21","904","","","32","","0","","19040056"
"","","3","904","","","32","","1","","19040057"
"","","31","904","","","32","","0","","19040058"
"0.1","","122811","904","04_misogi_flutterKick_loop","0","3","1","04_misogi_flutterKick_in","0.1","19040059"
"","","122811","904","2.82805429864253","-180","2","","1000","","19040060"
"","","1","904","2.82805429864253","-180","33","","1000","","19040061"
"","","0.1","904","","","93","","0","","19040062"
"0.1","","122911","904","04_mimi_flutterKick_loop","0","3","1","04_mimi_flutterKick_in","0.1","19040063"
"","","122911","904","4.07239819004525","-125","2","","1000","","19040064"
"","","2","904","4.07239819004525","-125","33","","1000","","19040065"
"","","0.1","904","","","93","","0","","19040066"
"0.1","","122711","904","04_kyouka_flutterKick_loop","0","3","1","04_kyouka_flutterKick_in","0.1","19040067"
"","","122711","904","5.31674208144796","-180","2","","1000","","19040068"
"","","3","904","5.31674208144796","-180","33","","1000","","19040069"
"","","0.1","904","","","93","","0","","19040070"
"","","129311","904","5.05882352941176","-180","2","","-50","","19040071"
"","","4","904","5.05882352941176","-180","33","","-50","","19040072"
"","","1","904","5.05882352941176","-180","2","","-50","","19040073"
"","","2","904","","","93","","0","","19040074"
"","","vo_fpc","904","0","","21","","vo_fpc_20403","","19040075"
"0","0.5","129311","904","1","10","11","0","哇──♪","0","19040076"
"","","2.75882352941176","904","","","93","","0","","19040077"
"0.1","","3","904","04_yuni_flutterKick_pause_loop","0","3","1","04_yuni_flutterKick_pause_in","0.1","19040078"
"0.1","","129311","904","04_yuni_flutterKick_pause_loop","0","3","1","04_yuni_flutterKick_pause_in","0.1","19040079"
"0.1","","1","904","04_yuni_flutterKick_pause_loop","0","3","1","04_yuni_flutterKick_pause_in","0.1","19040080"
"","","0.3","904","","","93","","0","","19040081"
"","","vo_fpc","904","0","","21","","vo_fpc_20404","","19040082"
"","","4","904","","","32","","0","","19040083"
"","","41","904","","","32","","1","","19040084"
"","","5","904","","","93","","0","","19040085"
"0.1","","3","904","","0","3","","empty","","19040086"
"0.2","","129311","904","04_yuni_flutterKick_loop","0","3","1","04_yuni_flutterKick_in","0.1","19040087"
"0.2","","1","904","cmn_swm_flutterKick_floatBoad","0","3","1","04_yuni_flutterKick_in","0.1","19040088"
"","","4","904","","","32","","1","","19040089"
"","","41","904","","","32","","0","","19040090"
"","","129311","904","6.17647058823529","-180","2","","1000","","19040091"
"","","1","904","6.17647058823529","-180","2","","1000","","19040092"
"","","4","904","6.17647058823529","-180","33","","1000","","19040093"
"","","0.3","904","","","93","","0","","19040094"
"","","vo_fpc","904","0","","21","","vo_fpc_20405","","19040095"
"0","0.5","129311","904","1","10","11","0","哇──哇──♪","0","19040096"
"","","19040091","904","","","91","","","","19040097"
"1.75","cmn_swm_flutterKick","1","905","-910","12","1","-125","117111","0","19050001"
"1.75","cmn_swm_flutterKick","1","905","-910","22","1","-180","117011","0","19050002"
"1.4875","cmn_walk_r","1","905","750","12","1","-15","107611","0","19050003"
"1","","7","905","-125","-910","31","1","1","","19050004"
"0","","4","905","-125","-910","31","1","11","","19050005"
"1","","1","905","-180","-910","31","1","2","","19050006"
"0","","4","905","-180","-910","31","1","21","","19050007"
"","","se_10053800","905","","1","23","","se_fpc_water_random","","19050008"
"","","19050007","905","","","91","","0","","19050009"
"","","117111","905","5.35294117647059","-125","2","12","0","","19050010"
"","","1","905","5.35294117647059","-125","33","12","0","","19050011"
"","","11","905","5.35294117647059","-125","33","12","0","","19050012"
"","","","905","","","91","","","","19050013"
"","","1","905","","","32","","0","","19050014"
"","","11","905","","","32","","1","","19050015"
"0.1","","117111","905","05_shizuru_search_loop","0","3","1","05_shizuru_search_in","0.1","19050016"
"","","1","905","","","93","","0","","19050017"
"","","vo_fpc","905","0","","21","","vo_fpc_20500","","19050018"
"0","0.5","117111","905","1","8","11","0","嗯……真奇怪呢……\n我有在這一帶感受到\n弟弟的「氣息」……","0","19050019"
"","","1.81764705882353","905","","","93","","1","","19050020"
"","","117011","905","3.88235294117647","-180","2","12","-250","","19050021"
"","","2","905","3.88235294117647","-180","33","12","-250","","19050022"
"","","21","905","3.88235294117647","-180","33","12","-250","","19050023"
"","","2.38235294117647","905","","","93","","0","","19050024"
"","","1.5","905","","","93","","0","","19050025"
"","","19050019","905","","","91","","","","19050026"
"","","19050021","905","","","91","","","","19050027"
"0.1","","117011","905","05_eriko_talk_loop","0","3","1","05_eriko_talk_in","0.1","19050028"
"","","2","905","","","32","","0","","19050029"
"","","21","905","","","32","","1","","19050030"
"","","vo_fpc","905","0","","21","","vo_fpc_20501","","19050031"
"0","0.5","117011","905","1","7","11","0","那位大人的氣場殘渣……\n確實就在這附近……","0","19050032"
"","","2.15294117647059","905","","","93","","1","","19050033"
"","","107611","905","2.64705882352941","-15","2","0","300","","19050034"
"","","1.14705882352941","905","","","93","","0","","19050035"
"","","1.5","905","","","93","","0","","19050036"
"","","19050032","905","","","91","","","","19050037"
"","","19050034","905","","","91","","","","19050038"
"0.2","","107611","905","","1","3","","05_kokkoro_talk","","19050039"
"","","vo_fpc","905","0","","21","","vo_fpc_20502","","19050040"
"0","0.5","107611","905","1","8","11","0","靜流小姐、惠理子小姐，\n請問怎麼了嗎？","0","19050041"
"","","0","905","","","91","","","","19050042"
"","","0.5","905","","","93","","0","","19050043"
"0.1","","117111","905","05_shizuru_greet_loop","0","3","1","05_shizuru_greet_in","0.1","19050044"
"","","vo_fpc","905","0","","21","","vo_fpc_20503","","19050045"
"0","0.5","117111","905","1","8","11","0","啊，可可蘿♪\n原來如此──我是感受到殘留在\n可可蘿身上的弟弟「氣息」了呢♪","0","19050046"
"","","0","905","","","91","","","","19050047"
"","","0.5","905","","","93","","0","","19050048"
"0.1","","117011","905","05_eriko_pressure_loop","0","3","1","05_eriko_pressure_in","0.1","19050049"
"","","vo_fpc","905","0","","21","","vo_fpc_20504","","19050050"
"0","0.5","117011","905","1","6","11","0","那噁心的根據是怎麼回事？\n話說回來，妳知道那位大人\n在哪裡嗎？\n可不許隱瞞喔。","0","19050051"
"","","0","905","","","91","","","","19050052"
"","","0.5","905","","","93","","0","","19050053"
"0.3","","107611","905","","1","3","","05_kokkoro_talk2","","19050054"
"","","vo_fpc","905","0","","21","","vo_fpc_20505","","19050055"
"0","0.5","107611","905","1","6","11","0","怎麼會隱瞞呢。","0","19050056"
"","","0","905","","","91","","","","19050057"
"","","0.5","905","","","93","","0","","19050058"
"0.1","","107611","905","05_kokkoro_point_loop","0","3","1","05_kokkoro_point_in","0.1","19050059"
"","","vo_fpc","905","0","","21","","vo_fpc_20506","","19050060"
"0","0.5","107611","905","1","6","11","0","主人他剛剛漂向\n那個方向了……","0","19050061"
"","","0","905","","","91","","","","19050062"
"","","0.5","905","","","93","","0","","19050063"
"0.1","","117111","905","05_shizuru_smile_loop","0","3","1","05_shizuru_smile_in","0.1","19050064"
"","","vo_fpc","905","0","","21","","vo_fpc_20507","","19050065"
"0","0.5","117111","905","1","7","11","0","那邊是吧！\n好──姐姐我現在\n立刻就去救你喔！","0","19050066"
"","","0","905","","","91","","","","19050067"
"","","0.5","905","","","93","","0","","19050068"
"0.1","","117011","905","05_eriko_sad_loop","0","3","1","05_eriko_sad_in","0.1","19050069"
"","","vo_fpc","905","0","","21","","vo_fpc_20508","","19050070"
"0","0.5","117011","905","1","8","11","0","啊啊，怎麼會這樣……\n我現在就前去救助您！","0","19050071"
"","","0","905","","","91","","","","19050072"
"","","0.5","905","","","93","","0","","19050073"
"0.1","","117111","905","05_shizuru_flutterKick_loop","0","3","1","05_shizuru_flutterKick_in","0.1","19050074"
"","","117111","905","2.66169816342827","-125","2","","1000","","19050075"
"","","1","905","2.66169816342827","-125","33","","1000","","19050076"
"","","1","905","","","32","","1","","19050077"
"","","11","905","","","32","","0","","19050078"
"","","0.1","905","","","93","","0","","19050079"
"0.1","","117011","905","05_eriko_flutterKick_loop","0","3","1","05_eriko_flutterKick_in","0.1","19050080"
"","","117011","905","3.14228255404726","-180","2","","1000","","19050081"
"","","2","905","3.14228255404726","-180","33","","1000","","19050082"
"","","2","905","","","32","","1","","19050083"
"","","21","905","","","32","","0","","19050084"
"","","19050081","905","","","91","","","","19050085"
"0.1","","107611","905","05_kokkoro_talk3_loop","0","3","1","05_kokkoro_talk3_in","0.1","19050086"
"","","vo_fpc","905","0","","21","","vo_fpc_20509","","19050087"
"0","0.5","107611","905","1","5","11","0","她們走了……","0","19050088"
"","","0","905","","","91","","","","19050089"
"","","0.5","905","","","93","","0","","19050090"
"","","vo_fpc","905","0","","21","","vo_fpc_20510","","19050091"
"0","0.5","107611","905","1","11","11","0","那兩位在一起的話，不知道會\n發生什麼事，真讓人擔心呢……","0","19050092"
"","","0","905","","","91","","","","19050093"
"","","0.5","905","","","93","","0","","19050094"
"","","vo_fpc","905","0","","21","","vo_fpc_20511","","19050095"
"0","0.5","107611","905","1","10","11","0","為了不讓她們在主人面前失控，\n在下必須要盯著場面才行……！","0","19050096"
"","","0","905","","","91","","","","19050097"
"","","0.5","905","","","93","","0","","19050098"
"","","107611","905","1.65912518853695","-15","2","0","850","","19050099"
"0.2","","107611","905","","1","3","","05_kokkoro_run","","19050100"
"","","vo_fpc","905","0","","21","","vo_fpc_20512","","19050101"
"0","0.5","107611","905","1","10","11","0","主人──！","0","19050102"
"","","0","905","","","91","","","","19050103"
"","","0.5","905","","","93","","0","","19050104"
"","","19050099","905","","","91","","","","19050105"
"1.75","cmn_float","1","906","-850","22","1","-180","126911","0","19060001"
"1.75","cmn_float","1","906","-850","12","1","-125","117311","0","19060002"
"1","","6","906","-180","-850","31","1","11","","19060003"
"0","","1007","906","-180","-850","31","1","10071","","19060004"
"1","","6","906","-125","-850","31","1","21","","19060005"
"0","","1007","906","-125","-850","31","1","10072","","19060006"
"0","","1008","906","-125","-850","31","1","10081","","19060007"
"","","se_10053800","906","","1","23","","se_fpc_water_random","","19060008"
"","","19060007","906","","","91","","0","","19060009"
"","","126911","906","6.25","-180","2","12","0","","19060010"
"","","11","906","6.25","-180","33","12","0","","19060011"
"","","10071","906","6.25","-180","33","12","0","","19060012"
"","","3","906","","","93","","0","","19060013"
"","","vo_fpc","906","0","","21","","vo_fpc_20600","","19060014"
"0.2","","126911","906","","1","3","","06_cmn_float_sing","","19060015"
"","","10071","906","","","32","","1","","19060016"
"","","19060010","906","","","91","","","","19060017"
"0.2","","126911","906","","1","3","","cmn_float","","19060018"
"","","vo_fpc","906","0","","21","","vo_fpc_20601","","19060019"
"0","0.5","126911","906","1","9","11","0","偶爾來這樣的地方，\n或許也不錯……","0","19060020"
"","","0","906","","","91","","","","19060021"
"","","0.5","906","","","93","","0","","19060022"
"","","117311","906","5.14705882352941","-125","2","12","-150","","19060023"
"","","21","906","5.14705882352941","-125","33","12","-150","","19060024"
"","","10072","906","5.14705882352941","-125","33","12","-150","","19060025"
"","","10081","906","5.14705882352941","-125","33","12","-150","","19060026"
"","","126911","906","5.14705882352941","-180","2","12","150","","19060027"
"","","11","906","5.14705882352941","-180","33","12","150","","19060028"
"","","10071","906","5.14705882352941","-180","33","12","150","","19060029"
"","","2.5","906","","","93","","0","","19060030"
"","","vo_fpc","906","0","","21","","vo_fpc_20602","","19060031"
"0.2","","126911","906","","1","3","","06_cmn_float_sing","","19060032"
"0.2","","117311","906","","1","3","","06_cmn_float_sing","","19060033"
"","","10071","906","","","32","","0","","19060034"
"","","10071","906","","","32","","1","","19060035"
"","","10072","906","","","32","","1","","19060036"
"","","19060029","906","","","91","","","","19060037"
"","","126911","906","","","4","","1","","19060038"
"","","11","906","0","-180","33","","180","","19060039"
"0.1","","126911","906","06_ranpha_float_shy","0","3","1","06_ranpha_float_notice","0.1","19060040"
"","","117311","906","","1","3","","cmn_float","0.1","19060041"
"","","vo_fpc","906","0","","21","","vo_fpc_20603","","19060042"
"0","0.5","126911","906","1","10","11","0","啊……","0","19060043"
"","","0","906","","","91","","","","19060044"
"","","0.5","906","","","93","","0","","19060045"
"0.1","","117311","906","06_chika_float_notice","0","3","1","06_chika_float_notice_in","0.1","19060046"
"","","vo_fpc","906","0","","21","","vo_fpc_20604","","19060047"
"0","0.5","117311","906","1","9","11","0","對不起，因為妳唱歌很好聽，\n所以我忍不住唱起和聲了……\n打擾到妳了吧。","0","19060048"
"","","0","906","","","91","","","","19060049"
"","","0.5","906","","","93","","0","","19060050"
"","","vo_fpc","906","0","","21","","vo_fpc_20605","","19060051"
"0","0.5","126911","906","1","8","11","0","不會……\n妳唱歌也很好聽……\n所以，要是可以的話，\n繼續唱吧……","0","19060052"
"","","0","906","","","91","","","","19060053"
"","","0.5","906","","","93","","0","","19060054"
"0.2","","117311","906","","1","3","","06_chika_float_smile","","19060055"
"","","vo_fpc","906","0","","21","","vo_fpc_20606","","19060056"
"0","0.5","117311","906","1","10","11","0","好的。","0","19060057"
"","","0","906","","","91","","","","19060058"
"","","0.5","906","","","93","","0","","19060059"
"","","vo_fpc","906","0","","21","","vo_fpc_20607","","19060060"
"0.2","","126911","906","","1","3","","06_cmn_float_sing","","19060061"
"0.2","","117311","906","","1","3","","06_cmn_float_sing","","19060062"
"","","10071","906","","","32","","0","","19060063"
"","","10071","906","","","32","","1","","19060064"
"","","10081","906","","","32","","1","","19060065"
"","","2","906","","","93","","0","","19060066"
"","","126911","906","4.11764705882353","-180","2","","850","","19060067"
"","","11","906","4.11764705882353","-180","33","","880","","19060068"
"","","10071","906","4.11764705882353","-180","33","","880","","19060069"
"","","117311","906","5.88235294117647","-125","2","","850","","19060070"
"","","21","906","5.88235294117647","-125","33","","850","","19060071"
"","","10081","906","5.88235294117647","-125","33","","850","","19060072"
"","","1.5","906","","","93","","0","","19060073"
"","","10071","906","","","32","","0","","19060074"
"","","10071","906","","","32","","1","","19060075"
"","","10081","906","","","32","","0","","19060076"
"","","10081","906","","","32","","1","","19060077"
"","","19060070","906","","","91","","","","19060078"
"1.75","07_shinobu_search","1","907","-850","12","1","-125","127111","0","19070001"
"1.75","07_ruka_float","1","907","-850","22","1","-180","113111","0","19070002"
"1.75","07_dokuro_float","4","907","-850","22","5","-180","4","0","19070003"
"1","","5","907","-125","-850","31","1","11","","19070004"
"1","","4","907","-180","-850","31","1","21","","19070005"
"1","","4","907","-180","-850","31","1","31","","19070006"
"","","se_10053800","907","","1","23","","se_fpc_water_random","","19070007"
"","","19070006","907","","","91","","0","","19070008"
"0.1","","127111","907","","1","3","","07_shinobu_search","","19070009"
"","","127111","907","8.38806396344946","-125","2","12","325","","19070010"
