cd5175f51ea6642007ebd9baffaabbc26705ead81e5b6722556f9f7ac1bfa03c,f7f6be411ec4885e00cdf1d27b251fca0064da7447aad6399a2671c049f87613,4ace847080fd5094187edb76ec30594c386eba70b93c47bde434666f27678770,6bdd7aac322550bef69debf31a1a3c1219dfca052aa52f182075f9091d262723,5b87ddf1e033ab4e4ed7f3e478347b2ab8ff947c6fc6d6aca358d9ee26d543ce,2c015d3c928292c88f994e4b0676ebb4ccb57c4076a5243439d4a0776a792537,a581dba2140b107f7a3f867928f10a0bacf33c683b2589c397277eea85cc006c,5d0abc830bbf3fd2966d37b94895e2c669b972dc1f4ad0ba6e58917344f4a36d,5693b07139648a270809618cdd8f5087ca5d8a98895a383f3323fa629b31b832,d721d194dad6eb53038fb6980b2a7b7910bc4d28940b88b4e3e7b776a96bf6f6,27610513fce19e13888ff749ec307cfbfd12b38d2518648228ffeda16ce2fa82
"wac_birthday_wish_02","106511","","13114","1","3","0.2","13114034","wac_birthday_blowout_01","0","0.2"
"0.01","106511","","13114","","2","","13114035","-200","-330",""
"","106611","","13114","","3","","13114036","wac_birthday_idle_doya","1","0.2"
"0.01","106611","","13114","","2","","13114037","180","-320",""
"","106711","","13114","","3","","13114038","wac_birthday_idle_normal","1","0.2"
"0.01","106711","","13114","","2","","13114039","320","-340",""
"","0","","13114","","93","","13114040","","",""
"","800","","13114","","32","","13114041","1","",""
"","0.7","","13114","","93","","13114042","","",""
"","702","","13114","","32","","13114043","1","",""
"","0.5","","13114","","93","","13114044","","",""
"","se_common","","13114","","23","","13114045","se_sys_login_birthday_blow_candle","0",""
"","701","","13114","","32","","13114046","0","",""
"","0.4","","13114","","93","","13114047","","",""
"","se_common","","13114","","23","","13114048","se_sys_login_birthday_cracker","0",""
"","700","","13114","","32","","13114049","1","",""
"","se_common","","13114","","23","","13114050","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_doya","106611","","13114","1","3","0.2","13114051","wac_birthday_clap","0","0.2"
"","0.1","","13114","","93","","13114052","","",""
"wac_birthday_idle_normal","106711","","13114","1","3","0.2","13114053","wac_birthday_clap","0","0.2"
"","2","","13114","","93","","13114054","","",""
"","1","","13114","","131","","13114055","","",""
"0","vo_wac_13114","","13114","","21","","13114056","vo_wac_13114_000","0",""
"1","106511","0.5","13114","1","11","0","13114057","喂喂，\n這蛋糕真是相當精緻耶。\n這該不會是為了我的生日\n特地準備的吧？","10","0"
"","0","","13114","","91","","13114058","","",""
"","106511","","13114","","3","","13114059","wac_birthday_idle_smile","1","0.2"
"","106611","","13114","","3","","13114060","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_13114","","13114","","21","","13114061","vo_wac_13114_001","0",""
"1","106611","0.5","13114","1","11","0","13114062","呵呵呵，這當然啊！\n好了好了，嘉夜夜！\n妳就儘管好好感謝我吧！","10","0"
"","0","","13114","","91","","13114063","","",""
"","106611","","13114","","3","","13114064","wac_birthday_idle_doya","1","0.2"
"","106711","","13114","","3","","13114065","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_13114","","13114","","21","","13114066","vo_wac_13114_002","0",""
"1","106711","0.5","13114","1","11","0","13114067","祈梨妳不是只有\n偷吃他準備的東西，\n還有在旁邊看而已嗎？","10","0"
"","0","","13114","","91","","13114068","","",""
"","106711","","13114","","3","","13114069","wac_birthday_idle_smile","1","0.2"
"","106511","","13114","","3","","13114070","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_13114","","13114","","21","","13114071","vo_wac_13114_003","0",""
"1","106511","0.5","13114","1","11","0","13114072","哈哈，\n不過老大和祈梨也都有幫忙吧？\n也謝謝你了。託大家的福，\n我似乎能有個難忘的生日。","10","0"
"","0","","13114","","91","","13114073","","",""
"","0","","13114","","22","","13114074","","",""
"","bgm_M321","","14114","","25","","14114001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","14114","-70","1","0","14114002","100911","250","2"
"170","1","wac_birthday_idle_smile","14114","-260","1","1","14114003","105611","256","2"
"270","1","wac_birthday_idle_normal","14114","-310","1","1","14114004","102711","259","2"
"390","1","wac_birthday_idle_kyapi","14114","-270","1","1","14114005","101311","257","2"
"500","1","wac_birthday_idle_wish","14114","-310","1","1","14114006","105111","258","2"
"","100911","","14114","","13","","14114007","300","",""
"","105611","","14114","","13","","14114008","300","",""
"0","501","","14114","1","31","","14114009","501","0","0"
"0","600","","14114","1","31","","14114010","600","0","1"
"0","602","","14114","1","31","","14114011","602","0","0"
"0","603","","14114","1","31","","14114012","603","0","0"
"60","604","","14114","1","31","","14114013","604","30","1"
"0","613","","14114","1","31","","14114014","613","0","1"
"0","700","","14114","1","31","","14114015","700","0","0"
"0","701","","14114","1","31","","14114016","701","0","0"
"0","702","","14114","1","31","","14114017","702","0","0"
"0","800","","14114","1","31","","14114018","800","0","0"
"60","914","","14114","1","31","","14114019","914","30","1"
"","1","","14114","","93","","14114020","","",""
"wac_birthday_reaction_05","102711","","14114","1","3","0.2","14114021","wac_birthday_reaction_03","0","0.2"
"wac_birthday_reaction_03","105611","","14114","1","3","0.2","14114022","wac_birthday_reaction_01","0","0.2"
"","0.1","","14114","","93","","14114023","","",""
"wac_birthday_reaction_03","101311","","14114","1","3","0.2","14114024","wac_birthday_reaction_05","0","0.2"
"wac_birthday_reaction_05","105111","","14114","1","3","0.2","14114025","wac_birthday_reaction_04","0","0.2"
"","0.3","","14114","","93","","14114026","","",""
"","100911","","14114","","3","","14114027","wac_birthday_anna_run_01","1","0.2"
"3","100911","","14114","","2","","14114028","0","-70",""
"","2.5","","14114","","93","","14114029","","",""
"","602","","14114","","32","","14114030","1","",""
"","0.6","","14114","","93","","14114031","","",""
"","501","","14114","","32","","14114032","1","",""
"","600","","14114","","32","","14114033","0","",""
"","613","","14114","","32","","14114034","0","",""
"","604","","14114","","32","","14114035","0","",""
"","701","","14114","","32","","14114036","1","",""
"0.01","914","","14114","","33","","14114037","0","0",""
"wac_birthday_anna_wish_02","100911","","14114","1","3","0.2","14114038","wac_birthday_blowout_01","0","0.2"
"0.01","100911","","14114","","2","","14114039","-200","-330",""
"","105611","","14114","","3","","14114040","wac_birthday_idle_smile","1","0.2"
"0.01","105611","","14114","","2","","14114041","150","-320",""
"","102711","","14114","","3","","14114042","wac_birthday_idle_normal","1","0.2"
"0.01","102711","","14114","","2","","14114043","260","-360",""
"","101311","","14114","","3","","14114044","wac_birthday_idle_kyapi","1","0.2"
"0.01","101311","","14114","","2","","14114045","380","-320",""
"","105111","","14114","","3","","14114046","wac_birthday_idle_wish","1","0.2"
"0.01","105111","","14114","","2","","14114047","480","-340",""
"","0","","14114","","93","","14114048","","",""
"","800","","14114","","32","","14114049","1","",""
"","0.7","","14114","","93","","14114050","","",""
"","702","","14114","","32","","14114051","1","",""
"","0.5","","14114","","93","","14114052","","",""
"","se_common","","14114","","23","","14114053","se_sys_login_birthday_blow_candle","0",""
"","701","","14114","","32","","14114054","0","",""
"","0.4","","14114","","93","","14114055","","",""
"","se_common","","14114","","23","","14114056","se_sys_login_birthday_cracker","0",""
"","700","","14114","","32","","14114057","1","",""
"","se_common","","14114","","23","","14114058","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_smile","105611","","14114","1","3","0.2","14114059","wac_birthday_clap","0","0.2"
"wac_birthday_idle_kyapi","101311","","14114","1","3","0.2","14114060","wac_birthday_clap","0","0.2"
"","0.1","","14114","","93","","14114061","","",""
"wac_birthday_idle_normal","102711","","14114","1","3","0.2","14114062","wac_birthday_clap","0","0.2"
"","0.1","","14114","","93","","14114063","","",""
"wac_birthday_idle_wish","105111","","14114","1","3","0.2","14114064","wac_birthday_clap_to_wish","0","0.2"
"","2","","14114","","93","","14114065","","",""
"","1","","14114","","131","","14114066","","",""
"0","vo_wac_14114","","14114","","21","","14114067","vo_wac_14114_000","0",""
"1","100911","0.5","14114","1","11","0","14114068","這是給我的生日禮物……！？\n唔，被這樣對待的話，\n魔瞳的封印會解開的！\n平、平靜，給我平靜下來……！","10","0"
"","0","","14114","","91","","14114069","","",""
"","100911","","14114","","3","","14114070","wac_birthday_idle_sad","1","0.2"
"","105611","","14114","","3","","14114071","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_14114","","14114","","21","","14114072","vo_wac_14114_001","0",""
"1","105611","0.5","14114","1","11","0","14114073","哈哈，封印在那隻眼裡\n某人，也高興到流淚了吧？\n這樣費時費力地準備蛋糕\n也值得了呢。","10","0"
"","0","","14114","","91","","14114074","","",""
"","105611","","14114","","3","","14114075","wac_birthday_idle_smile","1","0.2"
"","100911","","14114","","3","","14114076","wac_birthday_talk_anger","1","0.2"
"0","vo_wac_14114","","14114","","21","","14114077","vo_wac_14114_002","0",""
"1","100911","0.5","14114","1","11","0","14114078","我、我可沒在哭喔！？\n剛剛只是稍微把\n沾到臉上的顏料擦掉而已……！\n才不是因為覺得被看到很丟臉……","10","0"
"","0","","14114","","91","","14114079","","",""
"","100911","","14114","","3","","14114080","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_14114","","14114","","21","","14114081","vo_wac_14114_003","0",""
"1","100911","0.5","14114","1","11","0","14114082","但、但是那個……謝謝你們大家！\n這真的是幾乎要使我內在封印解開的……\n意外驚喜！所以……\n我會用心品嚐的！我要吃囉！","10","0"
"","0","","14114","","91","","14114083","","",""
"","0","","14114","","22","","14114084","","",""
"","bgm_M321","","14314","","25","","14314001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","14314","-70","1","0","14314002","101711","250","2"
"200","1","wac_birthday_idle_normal","14314","-270","1","1","14314003","104311","256","2"
"320","1","wac_birthday_idle_wish","14314","-310","1","1","14314004","101011","258","2"
"450","1","wac_birthday_idle_smile","14314","-290","1","1","14314005","101411","257","2"
"","101711","","14314","","13","","14314006","300","",""
"","104311","","14314","","13","","14314007","300","",""
"0","501","","14314","1","31","","14314008","501","0","0"
"0","600","","14314","1","31","","14314009","600","0","1"
"0","602","","14314","1","31","","14314010","602","0","0"
"0","603","","14314","1","31","","14314011","603","0","0"
"60","604","","14314","1","31","","14314012","604","30","1"
"0","613","","14314","1","31","","14314013","613","0","1"
"0","700","","14314","1","31","","14314014","700","0","0"
"0","701","","14314","1","31","","14314015","701","0","0"
"0","702","","14314","1","31","","14314016","702","0","0"
"0","800","","14314","1","31","","14314017","800","0","0"
"60","915","","14314","1","31","","14314018","915","30","1"
"","1","","14314","","93","","14314019","","",""
"wac_birthday_reaction_05","101011","","14314","1","3","0.2","14314020","wac_birthday_reaction_03","0","0.2"
"","0.1","","14314","","93","","14314021","","",""
"wac_birthday_reaction_03","104311","","14314","1","3","0.2","14314022","wac_birthday_reaction_02","0","0.2"
"wac_birthday_reaction_03","101411","","14314","1","3","0.2","14314023","wac_birthday_reaction_01","0","0.2"
"","0.3","","14314","","93","","14314024","","",""
"","101711","","14314","","3","","14314025","wac_birthday_run_01","1","0.2"
"3","101711","","14314","","2","","14314026","0","-70",""
"","2.5","","14314","","93","","14314027","","",""
"","602","","14314","","32","","14314028","1","",""
"","0.6","","14314","","93","","14314029","","",""
"","501","","14314","","32","","14314030","1","",""
"","600","","14314","","32","","14314031","0","",""
"","613","","14314","","32","","14314032","0","",""
"","604","","14314","","32","","14314033","0","",""
"","701","","14314","","32","","14314034","1","",""
"0.01","915","","14314","","33","","14314035","0","0",""
"wac_birthday_wish_02","101711","","14314","1","3","0.2","14314036","wac_birthday_blowout_02","0","0.2"
"0.01","101711","","14314","","2","","14314037","-200","-330",""
"","104311","","14314","","3","","14314038","wac_birthday_idle_normal","1","0.2"
"0.01","104311","","14314","","2","","14314039","180","-320",""
"","101011","","14314","","3","","14314040","wac_birthday_idle_wish","1","0.2"
"0.01","101011","","14314","","2","","14314041","300","-360",""
"","101411","","14314","","3","","14314042","wac_birthday_idle_smile","1","0.2"
"0.01","101411","","14314","","2","","14314043","430","-340",""
"","0","","14314","","93","","14314044","","",""
"","800","","14314","","32","","14314045","1","",""
"","0.7","","14314","","93","","14314046","","",""
"","702","","14314","","32","","14314047","1","",""
"","0.5","","14314","","93","","14314048","","",""
"","se_common","","14314","","23","","14314049","se_sys_login_birthday_blow_candle","0",""
"","701","","14314","","32","","14314050","0","",""
"","0.4","","14314","","93","","14314051","","",""
"","se_common","","14314","","23","","14314052","se_sys_login_birthday_cracker","0",""
"","700","","14314","","32","","14314053","1","",""
"","se_common","","14314","","23","","14314054","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_normal","104311","","14314","1","3","0.2","14314055","wac_birthday_clap","0","0.2"
"","0.1","","14314","","93","","14314056","","",""
"wac_birthday_idle_wish","101011","","14314","1","3","0.2","14314057","wac_birthday_clap_to_wish","0","0.2"
"","0.1","","14314","","93","","14314058","","",""
"wac_birthday_idle_smile","101411","","14314","1","3","0.2","14314059","wac_birthday_clap","0","0.2"
"","2","","14314","","93","","14314060","","",""
"","1","","14314","","131","","14314061","","",""
"0","vo_wac_14314","","14314","","21","","14314062","vo_wac_14314_000","0",""
"1","101711","0.5","14314","1","11","0","14314063","哇啊，這個生日蛋糕……！\n是大家一起做給我的呀～？\n我從沒看過\n這麼大的蛋糕耶──！","10","0"
"","0","","14314","","91","","14314064","","",""
"","101711","","14314","","3","","14314065","wac_birthday_idle_kyapi","1","0.2"
"","104311","","14314","","3","","14314066","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_14314","","14314","","21","","14314067","vo_wac_14314_001","0",""
"1","104311","0.5","14314","1","11","0","14314068","嘿嘿，做了不習慣的事，\n但我也有幫了一點忙喔。\n那個、像切草莓之類的……\n真的只有幫到一點點就是了！","10","0"
"","0","","14314","","91","","14314069","","",""
"","104311","","14314","","3","","14314070","wac_birthday_idle_doya","1","0.2"
"","101711","","14314","","3","","14314071","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_14314","","14314","","21","","14314072","vo_wac_14314_002","0",""
"1","101711","0.5","14314","1","11","0","14314073","欸嘿嘿，我真的是說不出的\n開心～！若要將這份心情\n傳達給大家……\n就只能唱歌跳舞了──！","10","0"
"","0","","14314","","91","","14314074","","",""
"","101711","","14314","","3","","14314075","wac_birthday_talk_kyapi","1","0.2"
"0","vo_wac_14314","","14314","","21","","14314076","vo_wac_14314_003","0",""
"1","101711","0.5","14314","1","11","0","14314077","好，大家也一起來唱歌嘛～！\n這麼一來，\n我就會展現前所未有的\n最棒舞姿給你們看喔！","10","0"
"","0","","14314","","91","","14314078","","",""
"","0","","14314","","22","","14314079","","",""
"","bgm_M321","","14714","","25","","14714001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","14714","-70","1","0","14714002","105611","250","2"
"170","1","wac_birthday_idle_doya","14714","-260","1","1","14714003","100911","256","2"
"250","1","wac_birthday_idle_normal","14714","-310","1","1","14714004","105111","259","2"
"370","1","wac_birthday_idle_wish","14714","-270","1","1","14714005","102711","257","2"
"500","1","wac_birthday_idle_smile","14714","-310","1","1","14714006","101311","258","2"
"","105611","","14714","","13","","14714007","300","",""
"","100911","","14714","","13","","14714008","300","",""
"0","501","","14714","1","31","","14714009","501","0","0"
"0","600","","14714","1","31","","14714010","600","0","1"
"0","602","","14714","1","31","","14714011","602","0","0"
"0","603","","14714","1","31","","14714012","603","0","0"
"60","604","","14714","1","31","","14714013","604","30","1"
"0","613","","14714","1","31","","14714014","613","0","1"
"0","700","","14714","1","31","","14714015","700","0","0"
"0","701","","14714","1","31","","14714016","701","0","0"
"0","702","","14714","1","31","","14714017","702","0","0"
"0","800","","14714","1","31","","14714018","800","0","0"
"60","916","","14714","1","31","","14714019","916","30","1"
"","1","","14714","","93","","14714020","","",""
"wac_birthday_reaction_04","105111","","14714","1","3","0.2","14714021","wac_birthday_reaction_01","0","0.2"
"wac_birthday_reaction_03","100911","","14714","1","3","0.2","14714022","wac_birthday_reaction_02","0","0.2"
"","0.1","","14714","","93","","14714023","","",""
"wac_birthday_reaction_03","102711","","14714","1","3","0.2","14714024","wac_birthday_reaction_05","0","0.2"
"wac_birthday_reaction_05","101311","","14714","1","3","0.2","14714025","wac_birthday_reaction_03","0","0.2"
"","0.3","","14714","","93","","14714026","","",""
"","105611","","14714","","3","","14714027","wac_birthday_run_01","1","0.2"
"3","105611","","14714","","2","","14714028","0","-70",""
"","2.5","","14714","","93","","14714029","","",""
"","602","","14714","","32","","14714030","1","",""
"","0.6","","14714","","93","","14714031","","",""
"","501","","14714","","32","","14714032","1","",""
"","600","","14714","","32","","14714033","0","",""
"","613","","14714","","32","","14714034","0","",""
"","604","","14714","","32","","14714035","0","",""
"","701","","14714","","32","","14714036","1","",""
"0.01","916","","14714","","33","","14714037","0","0",""
"wac_birthday_wish_01","105611","","14714","1","3","0.2","14714038","wac_birthday_blowout_01","0","0.2"
"0.01","105611","","14714","","2","","14714039","-200","-330",""
"","100911","","14714","","3","","14714040","wac_birthday_idle_doya","1","0.2"
"0.01","100911","","14714","","2","","14714041","150","-320",""
"","105111","","14714","","3","","14714042","wac_birthday_idle_normal","1","0.2"
"0.01","105111","","14714","","2","","14714043","260","-360",""
"","102711","","14714","","3","","14714044","wac_birthday_idle_wish","1","0.2"
"0.01","102711","","14714","","2","","14714045","380","-320",""
"","101311","","14714","","3","","14714046","wac_birthday_idle_smile","1","0.2"
"0.01","101311","","14714","","2","","14714047","500","-340",""
"","0","","14714","","93","","14714048","","",""
"","800","","14714","","32","","14714049","1","",""
"","0.7","","14714","","93","","14714050","","",""
"","702","","14714","","32","","14714051","1","",""
"","0.5","","14714","","93","","14714052","","",""
"","se_common","","14714","","23","","14714053","se_sys_login_birthday_blow_candle","0",""
"","701","","14714","","32","","14714054","0","",""
"","0.4","","14714","","93","","14714055","","",""
"","se_common","","14714","","23","","14714056","se_sys_login_birthday_cracker","0",""
"","700","","14714","","32","","14714057","1","",""
"","se_common","","14714","","23","","14714058","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_doya","100911","","14714","1","3","0.2","14714059","wac_birthday_clap","0","0.2"
"wac_birthday_idle_wish","102711","","14714","1","3","0.2","14714060","wac_birthday_clap_to_wish","0","0.2"
"","0.1","","14714","","93","","14714061","","",""
"wac_birthday_idle_normal","105111","","14714","1","3","0.2","14714062","wac_birthday_clap","0","0.2"
"","0.1","","14714","","93","","14714063","","",""
"wac_birthday_idle_smile","101311","","14714","1","3","0.2","14714064","wac_birthday_clap","0","0.2"
"","2","","14714","","93","","14714065","","",""
"","1","","14714","","131","","14714066","","",""
"0","vo_wac_14714","","14714","","21","","14714067","vo_wac_14714_000","0",""
"1","105611","0.5","14714","1","11","0","14714068","哦……這可真是嚇了我一跳。\n沒想到你們竟然做了這種準備。\n我雖然記得你們的生日，\n卻完全忘了自己的呢。","10","0"
"","0","","14714","","91","","14714069","","",""
"","105611","","14714","","3","","14714070","wac_birthday_idle_smile","1","0.2"
"","100911","","14714","","3","","14714071","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_14714","","14714","","21","","14714072","vo_wac_14714_001","0",""
"1","100911","0.5","14714","1","11","0","14714073","嗯，因為平常受了流夏很多照顧嘛！\n當然要好好為妳慶祝生日囉！\n順帶一提，蠟燭是我擺的喔！\n瞧，很完美的平衡對吧！？","10","0"
"","0","","14714","","91","","14714074","","",""
"","100911","","14714","","3","","14714075","wac_birthday_idle_doya","1","0.2"
"","105611","","14714","","3","","14714076","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_14714","","14714","","21","","14714077","vo_wac_14714_002","0",""
"1","105611","0.5","14714","1","11","0","14714078","是啊，的確很厲害。\n看起來就像從畫中\n跑出來的一樣……謝謝。\n我會用心品嚐的。","10","0"
"","0","","14714","","91","","14714079","","",""
"","105611","","14714","","3","","14714080","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_14714","","14714","","21","","14714081","vo_wac_14714_003","0",""
"1","105611","0.5","14714","1","11","0","14714082","好了，你們也吃吧。\n難得你們為我\n準備了美食，大家一起\n開心地享受吧♪","10","0"
"","0","","14714","","91","","14714083","","",""
"","0","","14714","","22","","14714084","","",""
"","bgm_M321","","16114","","25","","16114001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","16114","-70","1","0","16114002","106811","250","2"
"230","1","wac_birthday_idle_smile","16114","-270","1","1","16114003","101111","256","2"
"410","1","wac_birthday_idle_normal","16114","-310","1","1","16114004","104911","257","2"
"","106811","","16114","","13","","16114005","300","",""
"","101111","","16114","","13","","16114006","300","",""
"","104911","","16114","","13","","16114007","300","",""
"0","501","","16114","1","31","","16114008","501","0","0"
"0","600","","16114","1","31","","16114009","600","0","1"
"0","602","","16114","1","31","","16114010","602","0","0"
"0","603","","16114","1","31","","16114011","603","0","0"
"60","604","","16114","1","31","","16114012","604","30","1"
"0","613","","16114","1","31","","16114013","613","0","1"
"0","700","","16114","1","31","","16114014","700","0","0"
"0","701","","16114","1","31","","16114015","701","0","0"
"0","702","","16114","1","31","","16114016","702","0","0"
"0","800","","16114","1","31","","16114017","800","0","0"
"60","917","","16114","1","31","","16114018","917","30","1"
"","1","","16114","","93","","16114019","","",""
"wac_birthday_reaction_03","104911","","16114","1","3","0.2","16114020","wac_birthday_reaction_05","0","0.2"
"","0.1","","16114","","93","","16114021","","",""
"wac_birthday_reaction_05","101111","","16114","1","3","0.2","16114022","wac_birthday_reaction_03","0","0.2"
"","0.3","","16114","","93","","16114023","","",""
"","106811","","16114","","3","","16114024","wac_birthday_run_01","1","0.2"
"3","106811","","16114","","2","","16114025","0","-70",""
"","2.5","","16114","","93","","16114026","","",""
"","602","","16114","","32","","16114027","1","",""
"","0.6","","16114","","93","","16114028","","",""
"","501","","16114","","32","","16114029","1","",""
"","600","","16114","","32","","16114030","0","",""
"","613","","16114","","32","","16114031","0","",""
"","604","","16114","","32","","16114032","0","",""
"","701","","16114","","32","","16114033","1","",""
"0.01","917","","16114","","33","","16114034","0","0",""
"wac_birthday_wish_01","106811","","16114","1","3","0.2","16114035","wac_birthday_blowout_01","0","0.2"
"0.01","106811","","16114","","2","","16114036","-200","-330",""
"","101111","","16114","","3","","16114037","wac_birthday_idle_smile","1","0.2"
"0.01","101111","","16114","","2","","16114038","180","-320",""
"","104911","","16114","","3","","16114039","wac_birthday_idle_normal","1","0.2"
"0.01","104911","","16114","","2","","16114040","320","-340",""
"","0","","16114","","93","","16114041","","",""
"","800","","16114","","32","","16114042","1","",""
"","0.7","","16114","","93","","16114043","","",""
"","702","","16114","","32","","16114044","1","",""
"","0.5","","16114","","93","","16114045","","",""
"","se_common","","16114","","23","","16114046","se_sys_login_birthday_blow_candle","0",""
"","701","","16114","","32","","16114047","0","",""
"","0.4","","16114","","93","","16114048","","",""
"","se_common","","16114","","23","","16114049","se_sys_login_birthday_cracker","0",""
"","700","","16114","","32","","16114050","1","",""
"","se_common","","16114","","23","","16114051","se_sys_login_birthday_calendar_applause","0",""
"wac_birthday_idle_smile","101111","","16114","1","3","0.2","16114052","wac_birthday_clap","0","0.2"
"","0.1","","16114","","93","","16114053","","",""
"wac_birthday_idle_normal","104911","","16114","1","3","0.2","16114054","wac_birthday_clap","0","0.2"
"","2","","16114","","93","","16114055","","",""
"","1","","16114","","131","","16114056","","",""
"0","vo_wac_16114","","16114","","21","","16114057","vo_wac_16114_000","0",""
"1","106811","0.5","16114","1","11","0","16114058","這可真是……嚇了我一跳。\n這蛋糕真壯觀耶。\n是特地為我準備的？\n真令人開心啊。","10","0"
"","0","","16114","","91","","16114059","","",""
"","106811","","16114","","3","","16114060","wac_birthday_idle_normal","1","0.2"
"","101111","","16114","","3","","16114061","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_16114","","16114","","21","","16114062","vo_wac_16114_001","0",""
"1","101111","0.5","16114","1","11","0","16114063","畢竟一直都受會長\n照顧了呀♪\n是哥哥和我們大家\n一起做的喔！","10","0"
"","0","","16114","","91","","16114064","","",""
"","101111","","16114","","3","","16114065","wac_birthday_idle_smile","1","0.2"
"","104911","","16114","","3","","16114066","wac_birthday_talk_wish","1","0.2"
"0","vo_wac_16114","","16114","","21","","16114067","vo_wac_16114_002","0",""
"1","104911","0.5","16114","1","11","0","16114068","這裡頭傾注了大量\n在可麗餅店培養的技術，\n是姐姐與弟弟的愛之傑作唷！\n來，會長，吃吧吃吧。","10","0"
"","0","","16114","","91","","16114069","","",""
"","104911","","16114","","3","","16114070","wac_birthday_idle_wish","1","0.2"
"","101111","","16114","","3","","16114071","wac_birthday_talk_doya","1","0.2"
"0","vo_wac_16114","","16114","","21","","16114072","vo_wac_16114_003","0",""
"1","101111","0.5","16114","1","11","0","16114073","妹妹！妹妹也在喔！\n姐姐！","10","0"
"","0","","16114","","91","","16114074","","",""
"","101111","","16114","","3","","16114075","wac_birthday_idle_doya","1","0.2"
"","106811","","16114","","3","","16114076","wac_birthday_talk_smile","1","0.2"
"0","vo_wac_16114","","16114","","21","","16114077","vo_wac_16114_004","0",""
"1","106811","0.5","16114","1","11","0","16114078","哈哈，這我自己一個人\n可吃不完呢。\n你當然會幫我一起吃\n對吧？少年？","10","0"
"","0","","16114","","91","","16114079","","",""
"","0","","16114","","22","","16114080","","",""
"","bgm_M321","","16414","","25","","16414001","bgm_M321_2C","",""
"-1000","1","wac_birthday_idle_normal","16414","-70","1","0","16414002","105311","250","2"
"170","1","wac_birthday_idle_doya","16414","-260","1","1","16414003","103011","256","2"
"270","1","wac_birthday_idle_smile","16414","-310","1","1","16414004","100811","259","2"
"400","1","wac_birthday_idle_normal","16414","-270","1","1","16414005","104511","257","2"
"500","1","wac_birthday_idle_wish","16414","-310","1","1","16414006","105511","258","2"
"","105311","","16414","","13","","16414007","300","",""
"","103011","","16414","","13","","16414008","300","",""
"0","501","","16414","1","31","","16414009","501","0","0"
"0","600","","16414","1","31","","16414010","600","0","1"
"0","602","","16414","1","31","","16414011","602","0","0"
"0","603","","16414","1","31","","16414012","603","0","0"
"60","604","","16414","1","31","","16414013","604","30","1"
"0","613","","16414","1","31","","16414014","613","0","1"
"0","700","","16414","1","31","","16414015","700","0","0"
"0","701","","16414","1","31","","16414016","701","0","0"
"0","702","","16414","1","31","","16414017","702","0","0"
"0","800","","16414","1","31","","16414018","800","0","0"
"60","918","","16414","1","31","","16414019","918","30","1"
"","1","","16414","","93","","16414020","","",""
"wac_birthday_reaction_05","100811","","16414","1","3","0.2","16414021","wac_birthday_reaction_03","0","0.2"
"wac_birthday_reaction_03","103011","","16414","1","3","0.2","16414022","wac_birthday_reaction_01","0","0.2"
"","0.1","","16414","","93","","16414023","","",""
"wac_birthday_reaction_04","104511","","16414","1","3","0.2","16414024","wac_birthday_reaction_01","0","0.2"
"wac_birthday_reaction_03","105511","","16414","1","3","0.2","16414025","wac_birthday_reaction_05","0","0.2"
"","0.3","","16414","","93","","16414026","","",""
"","105311","","16414","","3","","16414027","wac_birthday_run_01","1","0.2"
"3","105311","","16414","","2","","16414028","0","-70",""
"","2.5","","16414","","93","","16414029","","",""
"","602","","16414","","32","","16414030","1","",""
"","0.6","","16414","","93","","16414031","","",""
"","501","","16414","","32","","16414032","1","",""
"","600","","16414","","32","","16414033","0","",""
"","613","","16414","","32","","16414034","0","",""
"","604","","16414","","32","","16414035","0","",""
"","701","","16414","","32","","16414036","1","",""
"0.01","918","","16414","","33","","16414037","0","0",""
"wac_birthday_wish_01","105311","","16414","1","3","0.2","16414038","wac_birthday_blowout_03","0","0.2"
"0.01","105311","","16414","","2","","16414039","-200","-330",""
"","103011","","16414","","3","","16414040","wac_birthday_idle_doya","1","0.2"
"0.01","103011","","16414","","2","","16414041","150","-320",""
"","100811","","16414","","3","","16414042","wac_birthday_idle_smile","1","0.2"
"0.01","100811","","16414","","2","","16414043","260","-360",""
"","104511","","16414","","3","","16414044","wac_birthday_idle_normal","1","0.2"
"0.01","104511","","16414","","2","","16414045","390","-320",""
