3629a4e6b4600be2edb629b685e165598f5ebb5019b82d9f3f7fa01b4d29dba2,9e705d0a42bf769dc12ff19b3a9cdb192c2cf25632591e66d50c344ee4ba4230,fc0b2a1e48d8b44d948fbe81c9fb37a33ed18a398df5dec18d082ff5e19de92d,81e00ea312fbc27fdc60a1dd15b976ff200db81df9021977285aca859a364cb0,d2130ad12b1fbb0baa31a82a48a6a7f6762958c8d565d1e5b400377e6cf00140,be7b5f495685a35281c3675aaa500281a2764d5d543abb2c5ffcf7e582f13c5f,203a03fb00fefcea1e9f98007bf78a83b42b6c0cde72a35c93e91f9e9c0cb480,0a7bfbcc1c6c03b56f76bd0f0fd5a01c9bf4bc90f65b4459ae65a5c4bd5d3ba5,67a603451dd91042122c9f174c49cbc277e7d43db3216fff9e4bbc31127ebc76,1df6bc84a7027cb3bd9dcca5117a0beab51cb7c061618d94d248c9b78e4eb1f8,d63a16e1de3af1bf5eed34c7d491199ff2fc2d199db3705306fd2d23ba548000
"1070048","","0","3","","112511","7","omp_idle_calm","","1",""
"1070049","","0","3","","112411","7","omp_talk_joy1","","1",""
"1070050","","","21","0","vo_omp_7007","7","vo_omp_7007_007","","0",""
"1070051","","","11","1","112411","7","小凜……！","1","10",""
"1070052","","","91","","0","7","","","",""
"1070053","","","4","","112611","7","0","","",""
"1070054","","0","3","","112411","7","omp_psn_20","","1",""
"1070055","","0","3","","112611","7","omp_talk_joy1","","1",""
"1070056","","","21","0","vo_omp_7007","7","vo_omp_7007_008","","0",""
"1070057","","","11","1","112611","7","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！","1","10",""
"1070058","","","93","","10","7","1","","",""
"1070059","","","4","","112611","7","0","","1",""
"1070060","","","2","0","112611","7","120","1","-205",""
"1070061","","","2","0","112411","7","420","1","-205",""
"1070062","","0","3","omp_psn_13_loop","112611","7","omp_psn_13","1","0","0.1"
"1070063","","0","3","omp_psn_13_loop","112411","7","omp_psn_13","1","0","0.1"
"1070064","","0","3","omp_psn_15_loop","112511","7","omp_psn_15","1","0","0"
"1070065","","","93","","1","7","1","","",""
"1070066","","0","3","omp_idle_surprise1","105831","7","omp_surprise","1","0",""
"1070067","","0","3","omp_idle_surprise1","105931","7","omp_surprise","1","0",""
"1070068","","0","3","omp_idle_surprise2","106031","7","omp_surprise","1","0","0.2"
"1070069","","","91","","1070057","7","","","",""
"1070070","","","21","0","vo_omp_7007","7","vo_omp_7007_009","","0",""
"1070071","","","11","1","112511","7","等等，快、快住手啦……！","1","10",""
"1070072","","","91","","0","7","","","",""
"1070073","","","4","","105831","7","1","","1",""
"1070074","","0","3","","105831","7","omp_talk_joy1","","1",""
"1070075","","","21","0","vo_omp_7007","7","vo_omp_7007_010","","0",""
"1070076","","","11","1","105831","7","小凱留，\n我們也來抱抱吧♪","1","10",""
"1070077","","","91","","0","7","","","",""
"1070078","","0","3","","105831","7","omp_idle_joy1","","1",""
"1070079","","0","3","","106031","7","omp_talk_tsun","","1",""
"1070080","","","21","0","vo_omp_7007","7","vo_omp_7007_011","","0",""
"1070081","","","11","1","106031","7","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？","1","10",""
"1070082","","","93","","4","7","1","","",""
"1070083","","0","3","","105831","7","omp_walk","","1",""
"1070084","","","2","1","105831","7","-120","1","-205",""
"1070085","","","91","","0","7","","","",""
"1070086","","0.2","3","","105831","7","omp_idle_joy1","","1",""
"1070087","","","91","","1070081","7","","","",""
"1070088","","0","3","","105831","7","omp_idle_joy1","","1",""
"1070089","","0","3","","106031","7","omp_idle_tsun","","1",""
"1070090","","0","3","","105931","7","omp_talk_normal","","1",""
"1070091","","","21","0","vo_omp_7007","7","vo_omp_7007_012","","0",""
"1070092","","","11","1","105931","7","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪","1","10",""
"1070093","","","91","","0","7","","","",""
"1070094","","","2","0","105831","7","-120","1","-205",""
"1070095","","","2","0","105931","7","-440","1","-205",""
"1070096","","0","3","omp_psn_14_loop","105831","7","omp_psn_14","1","0","0.1"
"1070097","","0","3","omp_psn_14_loop","105931","7","omp_psn_14","1","0","0.1"
"1070098","","0","3","omp_psn_15_loop","106031","7","omp_psn_15","1","0","0"
"1070099","","","21","0","vo_omp_7007","7","vo_omp_7007_013","","0",""
"1070100","","","11","1","105831","7","抱抱～♪","1","10",""
"1070101","","","91","","0","7","","","",""
"1070102","","0","3","","106031","7","omp_psn_16_loop","","1",""
"1070103","","","21","0","vo_omp_7007","7","vo_omp_7007_014","","0",""
"1070104","","","11","1","106031","7","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？","1","10",""
"1070105","","","91","","0","7","","","",""
"1070106","","0","3","","112611","7","omp_psn_13_loop","","1",""
"1070107","","","21","0","vo_omp_7007","7","vo_omp_7007_015","","0",""
"1070108","","","11","1","112611","7","哇～！\n凱留凱留～！","1","10",""
"1070109","","","91","","0","7","","","",""
"1070110","","0","3","","112611","7","omp_psn_13_loop","","1",""
"1070111","","0","3","","112411","7","omp_psn_13_loop","","1",""
"1070112","","","21","0","vo_omp_7007","7","vo_omp_7007_016","","0",""
"1070113","","","11","1","112411","7","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！","1","10",""
"1070114","","","91","","0","7","","","",""
"1070115","","0","3","","112411","7","omp_psn_13_loop","","1",""
"1070116","","0","3","","112511","7","omp_psn_15_loop","","1",""
"1070117","","","21","0","vo_omp_7007","7","vo_omp_7007_017","","0",""
"1070118","","","11","1","112511","7","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！","1","10",""
"1070119","","","93","","5.5","7","1","","",""
"1070120","","0.1","3","","112511","7","omp_psn_16_loop","","1",""
"1070121","","","91","","1070118","7","","","",""
"1070122","","","93","","0.4","7","","","",""
"1080001","omp_idle_normal","1.8","1","200","1","8","105831","-195","1600","1"
"1080002","omp_talk_normal","1.8","1","0","1","8","105931","-185","1500","0"
"1080003","omp_idle_normal","1.8","1","-200","1","8","106031","-205","1600","0"
"1080004","","1","31","0","1","8","1","1","0",""
"1080005","","","93","","1","8","","","",""
"1080006","","","21","0","vo_omp_7008","8","vo_omp_7008_000","","0",""
"1080007","","","11","1","105931","8","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。","1","10",""
"1080008","","","91","","0","8","","","",""
"1080009","","0","3","","105931","8","omp_idle_normal","","1",""
"1080010","","0","3","","105831","8","omp_talk_joy1","","1",""
"1080011","","","21","0","vo_omp_7008","8","vo_omp_7008_001","","0",""
"1080012","","","11","1","105831","8","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆","1","10",""
"1080013","","","91","","0","8","","","",""
"1080014","","0","3","","105831","8","omp_idle_joy1","","1",""
"1080015","","0","3","","106031","8","omp_talk_sad","","1",""
"1080016","","","21","0","vo_omp_7008","8","vo_omp_7008_002","","0",""
"1080017","","","11","1","106031","8","唉……妳的腦袋裡\n真的都只想著吃呢。","1","10",""
"1080018","","","91","","0","8","","","",""
"1080019","","0","3","","106031","8","omp_idle_sad","","1",""
"1080020","","0","3","","105931","8","omp_talk_normal","","1",""
"1080021","","","21","0","vo_omp_7008","8","vo_omp_7008_003","","0",""
"1080022","","","11","1","105931","8","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。","1","10",""
"1080023","","","91","","0","8","","","",""
"1080024","","0","3","","105931","8","omp_idle_normal","","1",""
"1080025","","0","3","","106031","8","omp_talk_surprise1","","1",""
"1080026","","","21","0","vo_omp_7008","8","vo_omp_7008_004","","0",""
"1080027","","","11","1","106031","8","連可蘿仔也是！？","1","10",""
"1080028","","","91","","0","8","","","",""
"1080029","","0","3","","106031","8","omp_idle_surprise1","","1",""
"1080030","","0","3","","105831","8","omp_talk_normal","","1",""
"1080031","","","21","0","vo_omp_7008","8","vo_omp_7008_005","","0",""
"1080032","","","11","1","105831","8","小凱留打算怎麼做呢～？","1","10",""
"1080033","","","91","","0","8","","","",""
"1080034","","","4","","105931","8","1","","",""
"1080035","","0","3","","105831","8","omp_idle_normal","","1",""
"1080036","","0","3","","106031","8","omp_talk_tsun","","1",""
"1080037","","","21","0","vo_omp_7008","8","vo_omp_7008_006","","0",""
"1080038","","","11","1","106031","8","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。","1","10",""
"1080039","","","91","","0","8","","","",""
"1080040","","0","3","","106031","8","omp_idle_tsun","","1",""
"1080041","","0","3","","105931","8","omp_talk_normal","","1",""
"1080042","","","21","0","vo_omp_7008","8","vo_omp_7008_007","","0",""
"1080043","","","11","1","105931","8","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪","1","10",""
"1080044","","","91","","0","8","","","",""
"1080045","","","4","","105931","8","0","","",""
"1080046","","0","3","","105931","8","omp_idle_normal","","1",""
"1080047","","0","3","","105831","8","omp_talk_joy1","","1",""
"1080048","","","21","0","vo_omp_7008","8","vo_omp_7008_008","","0",""
"1080049","","","11","1","105831","8","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！","1","10",""
"1080050","","","91","","0","8","","","",""
"1080051","","","93","","0.4","8","","","",""
"1090001","omp_idle_normal","1.8","1","300","1","9","105831","-270","1600","1"
"1090002","omp_idle_normal","1.8","1","450","1","9","105931","-285","1700","1"
"1090003","omp_idle_normal","1.8","1","-310","1","9","106031","-230","1600","1"
"1090004","omp_idle_normal","1.8","1","-45","1","9","112511","-190","1500","1"
"1090005","omp_idle_normal","1.8","1","65","1","9","112411","-240","1600","1"
"1090006","omp_idle_normal","1.8","1","205","1","9","112611","-192","1500","1"
"1090007","","1","31","0","1","9","1","1","0",""
"1090008","","","93","","0.2","9","","","",""
"1090009","","0.1","3","","112611","9","omp_idle_normal","","1",""
"1090010","","0","3","","106031","9","omp_talk_sad","","1",""
"1090011","","0.1","3","","112511","9","omp_idle_normal","","1",""
"1090012","","0.1","3","","105831","9","omp_idle_normal","","1",""
"1090013","","","93","","0.1","9","","","",""
"1090014","","","93","","1","9","","","",""
"1090015","","","21","0","vo_omp_7009","9","vo_omp_7009_000","","0",""
"1090016","","","11","1","106031","9","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！","1","10",""
"1090017","","","91","","0","9","","","",""
"1090018","","0","3","","106031","9","omp_psn_17","","0",""
"1090019","","","21","0","vo_omp_7009","9","vo_omp_7009_001","","0",""
"1090020","","","11","1","106031","9","……凱留凱留\n說笑的喵。","1","10",""
"1090021","","","93","","2","9","1","","",""
"1090022","","0.2","3","","106031","9","omp_talk_sad","","1",""
"1090023","","","91","","1090020","9","","","",""
"1090024","","0","3","","106031","9","omp_idle_sad","","1",""
"1090025","","0","3","omp_idle_joy1","105831","9","omp_psn_17","1","0","0.2"
"1090026","","","21","0","vo_omp_7009","9","vo_omp_7009_002","","0",""
"1090027","","","11","1","105831","9","凱留凱留♪","1","10",""
"1090028","","","91","","0","9","","","",""
"1090029","","0","3","omp_idle_normal","105931","9","omp_psn_17","","1","0.2"
"1090030","","","21","0","vo_omp_7009","9","vo_omp_7009_003","","0",""
"1090031","","","11","1","105931","9","凱留凱留喵。","1","10",""
"1090032","","","91","","0","9","","","",""
"1090033","","","4","","106031","9","0","","",""
"1090034","","0","3","omp_idle_surprise1","106031","9","omp_surprise","1","0","0"
"1090035","","","21","0","vo_omp_7009","9","vo_omp_7009_004","","0",""
"1090036","","","11","1","106031","9","妳、妳們幾個！？\n看、看到剛才的……！？","1","10",""
"1090037","","","91","","0","9","","","",""
"1090038","","0","3","omp_idle_joy1","112611","9","omp_psn_17_other","","1","0.2"
"1090039","","","21","0","vo_omp_7009","9","vo_omp_7009_005","","0",""
"1090040","","","11","1","112611","9","凱留凱留～♪\n華麗登場喵☆","1","10",""
"1090041","","","91","","0","9","","","",""
"1090042","","0","3","","106031","9","omp_talk_anger2","","1",""
"1090043","","","21","0","vo_omp_7009","9","vo_omp_7009_006","","0",""
"1090044","","","11","1","106031","9","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！","1","10",""
"1090045","","","91","","0","9","","","",""
"1090046","","0","3","","106031","9","omp_idle_anger2","","1",""
"1090047","","0","3","","112411","9","omp_talk_sad","","1",""
"1090048","","","21","0","vo_omp_7009","9","vo_omp_7009_007","","0",""
"1090049","","","11","1","112411","9","凱、凱留。呃，那個……","1","10",""
"1090050","","","91","","0","9","","","",""
"1090051","","0","3","","112411","9","omp_idle_sad","","1",""
"1090052","","0","3","","112511","9","omp_talk_normal","","1",""
"1090053","","","21","0","vo_omp_7009","9","vo_omp_7009_008","","0",""
"1090054","","","11","1","112511","9","妳很辛苦呢。","1","10",""
"1090055","","","91","","0","9","","","",""
"1090056","","0","3","","112511","9","omp_idle_normal","","1",""
"1090057","","0","3","","106031","9","omp_talk_tsun","","1",""
"1090058","","","21","0","vo_omp_7009","9","vo_omp_7009_009","","0",""
"1090059","","","11","1","106031","9","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！","1","10",""
"1090060","","","91","","0","9","","","",""
"1090061","","0","3","","106031","9","omp_idle_tsun","","1",""
"1090062","","0","3","","112511","9","omp_talk_normal","","1",""
"1090063","","","21","0","vo_omp_7009","9","vo_omp_7009_010","","0",""
"1090064","","","11","1","112511","9","可是我覺得那個很可愛耶。","1","10",""
"1090065","","","91","","0","9","","","",""
"1090066","","0","3","","112511","9","omp_idle_normal","","1",""
"1090067","","0","3","","112411","9","omp_talk_joy2","","1",""
"1090068","","","21","0","vo_omp_7009","9","vo_omp_7009_011","","0",""
"1090069","","","11","1","112411","9","是啊！　非常棒喔！","1","10",""
"1090070","","","91","","0","9","","","",""
"1090071","","0","3","","112411","9","omp_psn_20","","1",""
"1090072","","0","3","","106031","9","omp_talk_tsun","","1",""
"1090073","","","21","0","vo_omp_7009","9","vo_omp_7009_012","","0",""
"1090074","","","11","1","106031","9","聽到那種話我才不覺得開心啦～！？","1","10",""
"1090075","","","91","","0","9","","","",""
"1090076","","0","3","","106031","9","omp_idle_tsun","","1",""
"1090077","","0","3","omp_idle_joy1","105831","9","omp_psn_17","1","0","0.2"
"1090078","","0","3","omp_idle_normal","105931","9","omp_psn_17","1","0","0.2"
"1090079","","0","3","omp_idle_joy1","112611","9","omp_psn_17_other","1","0","0.2"
"1090080","","","21","0","vo_omp_7009","9","vo_omp_7009_013","","0",""
"1090081","","","11","1","105831","9","凱留凱留♪","1","10",""
"1090082","","","91","","0","9","","","",""
"1090083","","0","3","","106031","9","omp_talk_anger2","","1",""
"1090084","","","21","0","vo_omp_7009","9","vo_omp_7009_014","","0",""
"1090085","","","11","1","106031","9","我一定要宰了妳們～～～～～～～！","1","10",""
"1090086","","","91","","0","9","","","",""
"1090087","","","93","","0.4","9","","","",""
