30396ae1496460d7582e58e5b4ec89bb50cb987544d7821d202b9c8f55db2190,e97256940d89e57581083de18e36a5af1c0543bd378d949b75c235be753b344c,422cc46635f30d2934bd09ededf86583b9f53ed51fd1a02b3ef8e0869cf86320,f1e6ad28a2df800bad94ab6ed2e8dbfc9a8773dc6d2075148e768eb9502d362e,f7d17443dfee3a5e3a1e8db39ea445858351323fab72c731645242cb56c580d7,b756d5f0383c0abee124b18f10ca2eb767e713a4c296432587794d1e5a376d81,0ff2e6eef4354b051ff7599ce37be5906bdedc1c3c52cc617c654ad80a9620be,048547a3668167dea42088b5ef26e979ae2f2c9664fb7e74310676e04ae52715
"ㄓ","10060","2","1006002","ㄨㄢ","1","指環","圓圓的環。"
"ㄨ","10060","2","1006003","ㄠ","1","珠寶","以貴金屬或稀有礦物加工成的奢侈品，通常都是亮晶晶的。"
"ㄥ","10061","1","1006100","ㄗ","1","繩子","以纖維編織而成的工具，用於捆綁。"
"ㄚ","10061","1","1006101","ㄥ","1","麻繩","用麻線等編成的結實的繩子。可以綁起各式各樣的東西。"
"ㄠ","10061","2","1006102","ㄥ","1","草繩","用草編織成的繩子，據說被蛇咬過的人會怕它十年。"
"ㄨㄥ","10061","3","1006103","ㄩ","1","空花的秘密道具","嗚呵呵呵呵。"
"ㄩㄝ","10061","3","1006104","ㄧㄥ","1","絕頂","空花要，空花要～！"
"ㄨㄣ","10062","1","1006200","ㄞ","1","盾牌","用來防止攻擊的板狀的防具。"
"ㄨ","10062","2","1006201","ㄩ","1","護具","拿來防止什麼的東西的總稱。"
"ㄤ","10062","2","1006202","ㄩ","1","防具","保護身體的裝備。"
"ㄨㄤ","10062","2","1006203","ㄟ","1","裝備","配戴在身上的功能性物品或衣物。"
"ㄧ","10062","3","1006204","ㄨㄣ","1","地獄之盾","純的必殺技。能擋下各種攻擊！"
"ㄧㄢ","10063","1","1006300","ㄧ","1","錢幣","貨幣。不是食物。"
"ㄧㄣ","10063","1","1006301","ㄧㄢ","1","金錢","「錢」的別種說法。不是食物。"
"ㄠ","10063","2","1006302","ㄤ","1","寶藏","被藏起來的貴重物品。"
"ㄞ","10063","2","1006303","ㄨ","1","財物","指貨幣或貴重的物品。"
"ㄨ","10063","3","1006304","ㄧ","1","盧幣","在蘭德索爾使用的貨幣單位。不是食物。"
"ㄨㄥ","10063","3","1006305","ㄩ","1","公會小屋購買家具","是盧幣主要的用途。也有可以食用的。"
"ㄨ","10064","1","1006400","ㄧㄥ","1","布丁","雞蛋做成的甜品。"
"ㄠ","10064","2","1006401","ㄧㄥ","1","豪華法式布丁","統率所有點心的點心中的點心。"
"ㄧㄢ","10064","2","1006402","ㄧㄢ","1","甜點","是甜的。也就是布丁。"
"ㄨㄥ","10064","3","1006403","ㄧㄣ","1","宮子的點心","所有的布丁都是宮子一個人的。"
"ㄧㄤ","10065","1","1006500","ㄧㄢ","1","項鍊","裝飾在脖子上的飾品。"
"ㄨㄟ","10065","2","1006501","ㄕ","1","墜飾","掛在脖子上的飾品。"
"ㄕ","10065","2","1006502","ㄧㄣ","1","飾品","飾品。時尚的必備道具。"
"ㄡ","10065","2","1006503","ㄕ","1","首飾","與服裝互相搭配的配件。"
"ㄠ","10066","1","1006600","ㄧ","1","稻米","稻穗。可以篩出米。"
"ㄧ","10066","2","1006601","ㄢ","1","米飯","將水稻精製後的穀物。米飯！"
"ㄞ","10066","2","1006602","ㄗ","1","麥子","麵包原料的穀物。"
"ㄨ","10066","2","1006603","ㄨ","1","穀物","人工種植的可食用植物之一，富含澱粉。"
"ㄧㄤ","10067","1","1006700","ㄧㄡ","1","醬油","由豆類製成的東國特有的醬料。"
"ㄡ","10067","2","1006701","ㄧㄡ","1","豆油","「醬油」的別種說法。豆類的醬料。"
"ㄧㄠ","10067","2","1006702","ㄧㄠ","1","調味料","用來調味。"
"ㄞ","10067","2","1006703","ㄧㄡ","1","柴魚醬油","加入鰹魚風味的醬油。"
"ㄨ","10068","1","1006800","ㄞ","1","輸送帶","用來進行流程作業的機器。"
"ㄨㄥ","10068","2","1006801","ㄤ","1","工廠","大量生產製品的設施。"
"ㄥ","10068","2","1006802","ㄧㄢ","1","生產線","工廠為了提高效率而設置的生產流水線。"
"ㄧㄠ","10068","3","1006803","ㄤ","1","鯛魚燒工廠","賭上了墨丘利財團威望的事業。要是那時候沒有爆炸的話……"
"ㄧㄠ","10069","1","1006900","ㄥ","1","吊燈","炫爛奪目又豪華的照明器具。"
"ㄨ","10069","2","1006901","ㄞ","1","燭臺","照亮黑暗的光。"
"ㄥ","10069","2","1006902","ㄕ","1","燈飾","精心設計的帶有美感的照明裝置。"
"ㄧㄢ","10070","1","1007000","ㄧㄢ","1","鹽","好鹹。"
"ㄩ","10070","2","1007001","ㄚ","1","氯化納","「鹽」的別種說法。"
"ㄧㄠ","10070","2","1007002","ㄧㄠ","1","調味料","用來調味。"
"ㄧ","10070","2","1007003","ㄧㄢ","1","低鈉鹽","鈉離子含量較低的食用鹽，據說比較健康。"
"ㄩㄢ","10071","1","1007100","ㄨㄛ","1","漩渦","會捲起激烈旋渦的潮流。"
"ㄨ","10071","2","1007101","ㄨ","1","咕嚕咕嚕","要、要被捲進去了……咕嚕咕嚕……"
"ㄞ","10071","2","1007102","ㄢ","1","海難","船隻沉沒的事故。"
"ㄧㄠ","10072","1","1007200","ㄢ","1","釣竿","釣魚用的道具。要高明的操作需要技巧。"
"ㄩ","10072","2","1007201","ㄦ","1","魚餌","幾乎是釣竿的必要配備，空有釣竿卻沒有魚餌可不容易啊。"
"ㄧㄡ","10072","3","1007202","ㄩ","1","流夏的興趣","握法跟專業級的一樣。"
"ㄨㄛ","10073","1","1007300","ㄗ","1","鍋子","煮食物用的調理器具。"
"ㄚ","10073","2","1007301","ㄧ","1","咖哩","最愛大家了。聞味道的瞬間就讓人想吃的香料魔法。"
"ㄨㄣ","10073","2","1007302","ㄞ","1","燉菜","放入肉和蔬菜燉煮的料理。能不能以這個當菜來配飯，引起了眾人討論。"
"ㄨ","10073","2","1007303","ㄓ","1","滷汁","為了讓食物入味所用的液體。"
"ㄨㄥ","10073","2","1007304","ㄡ","1","紅酒燉牛肉","加了紅酒的燉牛肉。"
"ㄧㄠ","10074","1","1007400","ㄢ","1","蹺蹺板","坐在兩邊叩咚叩咚的。"
"ㄦ","10074","2","1007401","ㄕ","1","兒童遊樂設施","放在公園裡的遊戲道具。"
"ㄩ","10074","2","1007402","ㄨㄢ","1","去公園玩","在公園集合哦！"
"ㄕ","10074","2","1007403","ㄥ","1","失衡","槓桿兩邊受力不相同的狀態，引申為相關聯的雙方差距過大。"
"ㄧ","10075","1","1007500","ㄧ","1","筆","用來畫圖或寫字的道具。"
"ㄨ","10075","2","1007501","ㄚ","1","書法","是東國的文化！"
"ㄠ","10075","2","1007502","ㄧ","1","毛筆","以動物毛製成的筆。"
"ㄧㄝ","10075","2","1007503","ㄗ","1","寫字","一定得學習。"
"ㄧㄢ","10075","2","1007504","ㄞ","1","硯臺","研墨的道具。"
"ㄨㄥ","10075","3","1007505","ㄨㄚ","1","東國文化","位於蘭德索爾的遙遠東邊的國家的文化。還有忍者、武士、富士、藝妓等。是妮諾的憧憬。"
"ㄧㄚ","10076","1","1007600","ㄧㄥ","1","啞鈴","訓練工具。"
"ㄦ","10076","1","1007601","ㄧ","1","二頭肌","看到隆起來的手臂肌肉了嗎？那就是二頭肌。"
"ㄧ","10076","2","1007602","ㄡ","1","肌肉","肌肉！"
"ㄨㄢ","10076","2","1007603","ㄧㄢ","1","鍛鍊","主要是為了提升力量的訓練。"
"ㄨㄥ","10076","2","1007604","ㄩㄣ","1","重訓","提起重物的訓練。"
"ㄨㄟ","10077","1","1007700","ㄨㄣ","1","鬼魂","是鬼喲。把布丁交出來喲。"
"ㄧㄡ","10077","1","1007701","ㄧㄥ","1","幽靈","是幽靈喲。把布丁交出來喲。"
"ㄨㄥ","10077","3","1007702","ㄗ","1","宮子","是宮子喲！把布丁交出來喲。"
"ㄨ","10077","3","1007703","ㄧ","1","無敵","是無敵的喲！把布丁交出來喲。"
"ㄖ","20001","1","2000100","ㄜ","1","日和","【破曉之星】中最愛助人的格鬥少女。"
"ㄤ","20001","3","2000101","ㄧㄣ","1","放不下心","日和的口頭禪和座右銘。"
"ㄧㄡ","20002","1","2000200","ㄧ","1","優衣","【破曉之星】中專情的純真治療師。"
"ㄩㄢ","20002","3","2000201","ㄩ","1","全體治癒","治癒一切是優衣的特技。"
"ㄣ","20002","3","2000202","ㄢ","1","真琴的兒時玩伴","似乎旁人都對此感到很意外。"
"ㄧㄥ","20003","1","2000300","ㄧㄥ","1","怜","【破曉之星】中的冷酷劍士。釣魚是她的興趣。"
"ㄧ","20003","3","2000301","ㄚ","1","騎馬","怜的隱藏特技。"
"ㄧㄢ","20003","3","2000302","ㄨ","1","劍術","她會教我她的劍術特技。在天氣好時也會去釣魚……"
"ㄧ","20004","1","2000400","ㄧ","1","禊","【小小甜心】中的惡作劇負責人。在３人之中也是活力源頭。"
"ㄠ","20004","3","2000401","ㄨㄟ","1","搗蛋鬼","說到惡作劇的技巧無人能出其右，是惡作劇專家。"
"ㄛ","20005","1","2000500","ㄧ","1","茉莉","隸屬於【王宮騎士團】。憧憬英雄的少女。"
"ㄨ","20005","3","2000501","ㄙ","1","虎虎頭號粉絲","喜愛正義英雄的火熱之心才不會輸給其他人！"
"ㄧㄢ","20006","1","2000600","ㄧ","1","茜里","【惡魔偽王國軍】的雙胞胎中，早熟的妹妹。"
"ㄧ","20006","3","2000601","ㄟ","1","依里的妹妹","雖然長得一模一樣，個性卻完全相反？"
"ㄧㄠ","20006","3","2000602","ㄛ","1","小惡魔","如字面上所述，她的可愛會迷惑人心。"
"ㄨㄥ","20007","1","2000700","ㄗ","1","宮子","【惡魔偽王國軍】中最愛布丁的幽靈。"
"ㄧㄡ","20007","3","2000701","ㄧㄥ","1","幽靈","能夠飄浮或穿越牆壁等，所做之事大概就是去偷吃布丁。"
"ㄨㄟ","20007","3","2000702","ㄧㄥ","1","最喜歡布丁","了喲～！"
"ㄩㄝ","20008","1","2000800","ㄩㄝ","1","雪","【純白之翼 蘭德索爾分部】的美貌代表。"
"ㄟ","20008","3","2000801","ㄨㄛ","1","美麗的我","真是罪過呀。"
"ㄗ","20008","3","2000802","ㄧㄢ","1","自戀","我太美了也有錯嗎？"
"ㄧㄥ","20009","1","2000900","ㄞ","1","杏奈","【暮光流星群】成員的熾炎戰鬼煉獄血盟暗黑團團長。既是暗黑騎士，也是結束終焉之戰的舊世界英雄。"
"ㄧ","20009","3","2000901","ㄧ","1","疾風之冥姬","又名為！"
"ㄨㄥ","20009","3","2000902","ㄧㄥ","1","中二病","由於是青春期，就不要管她了。"
"ㄣ","20010","1","2001000","ㄨ","1","真步","【哞哞自衛隊】中可靠又雍容華貴的公會長。"
"ㄨㄥ","20010","3","2001001","ㄨ","1","公主","據說位於某處的謎之國度，真步真步王國……真步是那裡的公主。"
"ㄨ","20010","3","2001002","ㄛ","1","咕嚕靈波","將手杖轉轉轉的可愛動作喚出的魔法威力不可小看……"
"ㄧ","20011","1","2001100","ㄞ","1","璃乃","隸屬於【拉比林斯】，自稱妹妹。努力的考生。"
"ㄟ","20011","3","2001101","ㄟ","1","妹妹","就是妹妹，儘管只是自稱，還是妹妹。"
"ㄧㄠ","20011","3","2001102","ㄢ","1","小笨蛋","就算有點呆也沒關係，希望她能健康的長大。"
"ㄨ","20012","1","2001200","ㄧㄣ","1","初音","【森林守衛】中沉睡的超能力少女。"
"ㄠ","20012","3","2001201","ㄩ","1","超能力少女","有超能力的事是祕密哦。"
"ㄧㄠ","20012","3","2001202","ㄧㄝ","1","小栞的姊姊","最愛小栞了！"
"ㄧ","20013","1","2001300","ㄧㄤ","1","七七香","【暮光流星群】中可愛到爆的最強魔法少女。"
"ㄛ","20013","3","2001301","ㄩ","1","魔法少女","使用魔法的少女。在知情的人之間，對於到幾歲前能自稱魔法少女，都有著不同的看法。"
"ㄨㄟ","20013","3","2001302","ㄞ","1","最可愛","表示無敵可愛的意思。"
"ㄧㄚ","20014","1","2001400","ㄧㄚ","1","霞","【哞哞自衛隊】中的聰明美少女名偵探。"
"ㄧㄥ","20014","3","2001401","ㄢ","1","名偵探","她解開的謎團數都數不盡，難道是因為事件在呼喚名偵探嗎……"
"ㄣ","20014","3","2001402","ㄢ","1","偵探","追求真實的高尚職業。據說偵探的身邊總會跟著助手。"
"ㄟ","20015","1","2001500","ㄧ","1","美里","【森林守衛】的公會長。不斷湧出母性的姊姊。"
"ㄧㄡ","20015","3","2001501","ㄕ","1","幼稚園的老師","連魔物也會照顧。"
"ㄧㄥ","20016","1","2001600","ㄞ","1","鈴奈","【月光學院】中不擅長讀書，個性天真爛漫的辣妹。好像學會九九乘法表了……？"
"ㄠ","20016","3","2001601","ㄛ","1","超級名模","人氣爆棚的模特兒。"
"ㄚ","20016","3","2001602","ㄟ","1","辣妹","很潮的女孩子。"
"ㄧㄤ","20017","1","2001700","ㄓ","1","香織","【哞哞自衛隊】中熱愛唱歌與舞蹈的南國少女。"
"ㄧㄡ","20017","3","2001701","ㄠ","1","琉球空手道","琉球犬矢之拳！"
"ㄞ","20017","3","2001702","ㄜ","1","嗨―呵","香織故鄉的問候。妳好呀――！"
"ㄧ","20018","1","2001800","ㄩ","1","伊緒","【月光學院】中性感的新進教師。"
"ㄠ","20018","3","2001801","ㄕ","1","老師","雖然是新來的老師，但是跟學生很親近。"
"ㄟ","20019","1","2001900","ㄟ","1","美美","【小小甜心】裡最愛撒嬌的一個。嚕啦啦～嚕啦啦～♪"
"ㄨㄟ","20019","3","2001901","ㄥ","1","最喜歡兔子先生","蹦蹦跳～♪"
"ㄨ","20020","1","2002000","ㄠ","1","胡桃","讓【咲戀育幼院】裡的愛哭鬼、膽小鬼都能打起勇氣努力的女孩。"
"ㄓ","20020","3","2002001","ㄩㄢ","1","知名女演員","雖然年紀尚輕，卻是知名演員。"
"ㄧ","20021","1","2002100","ㄧ","1","依里","【惡魔偽王國軍】中的雙胞胎，是傲嬌害羞的姊姊。"
"ㄨㄤ","20021","3","2002101","ㄧㄝ","1","雙胞胎姊姊","雖然長相相似但個性迥異。"
"ㄞ","20021","3","2002102","ㄧㄡ","1","害羞","害羞的反作用力，會讓她作出更激烈的事……"
"ㄧㄢ","20021","3","2002103","ㄧㄚ","1","天才玩家","有著華麗的操作。"
"ㄧㄥ","20022","1","2002200","ㄧㄣ","1","綾音","隸屬於【咲戀育幼院】。看起來很乖巧，不過她操作的噗吉卻意外的兇暴。"
"ㄨ","20022","3","2002201","ㄢ","1","噗吉的夥伴","一直和噗吉在一起，是一心同體。"
"ㄧㄥ","20023","1","2002300","ㄟ","1","鈴莓","【咲戀育幼院】中讓人喜歡的冒失鬼，奉獻型的女僕。"
"ㄩ","20023","3","2002301","ㄨ","1","女僕","我由衷地服侍主人。"
"ㄠ","20023","3","2002302","ㄕ","1","冒冒失失","弄壞了好多東西，糟糕了。"
"ㄧㄥ","20024","1","2002400","ㄧㄥ","1","鈴","被派遣到【伊麗莎白牧場】的護衛。並沒有在偷懶，只是在盡情享受慢活。"
"ㄢ","20024","3","2002401","ㄢ","1","懶散","雖然很散漫，該做事時還是會做……大概……一定會……"
"ㄨㄟ","20025","1","2002500","ㄗ","1","惠理子","【暮光流星群】成員。愛很沉重，非常沉重。"
"ㄛ","20025","3","2002501","ㄜ","1","破壞者","惠理子的通稱。若是為了愛，可以破壞各式各樣的東西。"
"ㄧㄠ","20026","1","2002600","ㄧㄢ","1","咲戀","【咲戀育幼院】中可靠的公會長。原本是王宮騎士團副團長。"
"ㄚ","20026","3","2002601","ㄚ","1","媽媽","雖然還不到被人稱為媽媽的年紀，也沒有孩子，但媽媽就是媽媽。"
"ㄨㄤ","20027","1","2002700","ㄨㄤ","1","望","【慈樂之音】裡不可動搖的中心。頂尖偶像。"
"ㄠ","20027","3","2002701","ㄧㄤ","1","超人氣偶像","想低調行動時很辛苦。"
"ㄧ","20028","1","2002800","ㄨㄛ","1","妮諾","【純白之翼 蘭德索爾分部】中憧憬東國的戰士，目標是統一天下！"
"ㄨㄥ","20028","3","2002801","ㄨㄛ","1","憧憬東國","最喜歡東國文化，但時常會記錯內容。"
"ㄠ","20028","3","2002802","ㄜ","1","冒牌忍者","愛讀的書是《武士道》！"
"ㄣ","20029","1","2002900","ㄣ","1","忍","隸屬於【惡魔偽王國軍】的占卜師。身邊的骷髏頭其實是她的父親。"
"ㄢ","20029","3","2002901","ㄕ","1","占卜師","說中是占卜，說不中也是占卜。"
"ㄧㄡ","20030","1","2003000","ㄞ","1","秋乃","設立【墨丘利財團】的公會長，她的經商能力能改變世界。"
"ㄚ","20030","3","2003001","ㄧㄝ","1","大小姐","充滿做生意才能的大小姐。"
"ㄣ","20031","1","2003100","ㄧㄤ","1","真陽","【伊麗莎白牧場】的會長。能夠溫和統率個性多元的公會成員的姐姐。"
"ㄨ","20031","3","2003101","ㄣ","1","牧場主人","經營牧場就交給我吧。"
"ㄠ","20031","3","2003102","ㄨ","1","搞笑藝人之路","那條路風險很高。"
"ㄧㄡ","20032","1","2003200","ㄧ","1","優花梨","【墨丘利財團】中負責財務的能幹姐姐……平常是這樣沒錯。"
"ㄩ","20032","3","2003201","ㄠ","1","女中酒豪","像優花梨那樣的大人。"
"ㄧㄥ","20033","1","2003300","ㄨㄚ","1","鏡華","【小小甜心】中年紀最小的。很努力唸書，腦袋也很聰明。不敢吃紅蘿蔔和青椒。"
"ㄗ","20033","3","2003301","ㄥ","1","資優生","是小小甜心中最認真可靠的人。"
"ㄓ","20034","1","2003400","ㄓ","1","智","【王宮騎士團】團員。是團長的親信？"
"ㄩ","20034","3","2003401","ㄧㄡ","1","御久間流","智的家裡相傳著神速劍技。奧義是阿修羅。"
"ㄢ","20035","1","2003500","ㄢ","1","栞","【伊麗莎白牧場】的成員。儘管體弱仍一心一意努力的少女。"
"ㄨ","20035","3","2003501","ㄟ","1","初音的妹妹","最喜歡姊姊了。"
"ㄧ","20036","1","2003600","ㄧ","1","碧","【森林守衛】的孤單弓箭手。雖然能和植物對話，但那樣還是很孤單。"
"ㄧㄢ","20036","3","2003601","ㄣ","1","邊緣人","孤單的一個人，咳嗽也一個人。"
"ㄧㄢ","20037","1","2003700","ㄜ","1","千歌","【慈樂之音】成員。能和精靈當朋友的風之唱喚歌姬。"
"ㄤ","20037","3","2003701","ㄕ","1","唱喚士","唱喚術師。會使用能以歌聲唱喚出精靈的幻之祕術。小心不要搞錯字。"
"ㄜ","20037","3","2003702","ㄧ","1","歌姬","演唱出的歌曲能夠使所有人著迷。"
"ㄣ","20038","1","2003800","ㄧㄣ","1","真琴","【哞哞自衛隊】的突擊隊長。愛照顧人的獸人族少女。"
"ㄧㄡ","20038","3","2003801","ㄢ","1","優衣的兒時玩伴","似乎旁人都對此感到很意外。"
"ㄧ","20039","1","2003900","ㄧㄚ","1","伊莉亞","【惡魔偽王國軍】的會長，也是傳說中的吸血鬼。為了征服世界，今天也會加油。"
"ㄨㄢ","20039","3","2003901","ㄨㄟ","1","傳說的吸血鬼","據說以前被推進了蘭德索爾裡的可怕熔爐中。"
"ㄨㄥ","20039","3","2003902","ㄣ","1","統領黑夜之人","似乎統治著夜晚。"
"ㄨㄥ","20040","1","2004000","ㄨㄚ","1","空花","【純白之翼 蘭德索爾分部】的妄想負責人。"
"ㄟ","20040","3","2004001","ㄨㄤ","1","被虐狂","淑女的嗜好……？"
"ㄨ","20041","1","2004100","ㄧ","1","珠希","【墨丘利財團】中的鯛魚燒店。但是其本尊是……喵！喵喵！"
"ㄠ","20041","3","2004101","ㄧㄤ","1","貓娘","外表像貓一樣的女孩。"
"ㄨㄢ","20041","3","2004102","ㄠ","1","幻影貓","在蘭德索爾造成騷動的謎之義賊。其真面目滿是謎團。"
"ㄨㄣ","20042","1","2004200","ㄨㄣ","1","純","【王宮騎士團】團長。其面具之下，無人可知，也無法為人所知。"
"ㄨㄢ","20042","3","2004201","ㄤ","1","團長","是非常強大的團長。"
"ㄟ","20043","1","2004300","ㄨㄥ","1","美冬","隸屬於【墨丘利財團】的打工戰士。其實是龍殺手。"
"ㄕ","20043","3","2004301","ㄨ","1","師傅","會一步步地教你哦。當然是要收費的哦。"
"ㄧㄠ","20043","3","2004302","ㄤ","1","效率至上","是個貫徹始終講究效率的人。"
"ㄧㄥ","20044","1","2004400","ㄧㄡ","1","靜流","隸屬於【拉比林斯】，自稱姐姐。交給姐姐吧。"
"ㄕ","20044","3","2004401","ㄛ","1","是姐姐喔","我是姐姐喔！！"
"ㄟ","20045","1","2004500","ㄧㄠ","1","美咲","【月光學院】的學生。好像是位成熟的淑女，也是個罪惡的女人。"
"ㄥ","20045","3","2004501","ㄩ","1","成熟的淑女","我說是成熟淑女，就是成熟淑女！"
"ㄣ","20046","1","2004600","ㄩㄝ","1","深月","隸屬於【暮光流星群】的危險科學家。熱衷於實驗。"
"ㄥ","20046","3","2004601","ㄧㄚ","1","瘋狂科學家","因實驗而犧牲的人，不計其數。"
"ㄨ","20046","3","2004602","ㄛ","1","獨眼惡魔","獨眼惡魔，不接近她才是好事。"
"ㄧ","20047","1","2004700","ㄚ","1","莉瑪","【伊麗莎白牧場】的莉瑪。其實是全公會裡最有少女心的人。"
"ㄠ","20047","3","2004701","ㄨㄥ","1","毛茸茸","有魅惑效果的毛髮。"
"ㄛ","20048","1","2004800","ㄚ","1","莫妮卡","是【純白之翼 蘭德索爾分部】的公會長也是軍人。總是被成員耍著玩的苦幹之人，是白翼的指揮官。"
"ㄧㄠ","20048","3","2004801","ㄡ","1","小鬼頭","才，才不是小孩呢！"
"ㄤ","20049","1","2004900","ㄧ","1","紡希","【慈樂之音】的成員，本業是裁縫師。她華麗的用線技巧能夠綁起各種東西。"
"ㄞ","20049","3","2004901","ㄕ","1","裁縫師","裁縫就交給我吧。"
"ㄧㄥ","20049","3","2004902","ㄨ","1","怜大人粉絲俱樂部","不會讓壞蟲子靠近怜大人的。"
"ㄨ","20050","1","2005000","ㄨㄟ","1","步未","【純白之翼 蘭德索爾分部】的祕密負責人。到處都在，卻到處都不見人影。"
"ㄣ","20050","3","2005001","ㄨㄤ","1","跟蹤狂","我、我才不是跟蹤狂呢……！"
"ㄧㄡ","20051","1","2005100","ㄧㄚ","1","流夏","【暮光流星群】的公會長。十分大方的釣客。劍術技巧也很棒。"
"ㄚ","20051","3","2005101","ㄡ","1","大姐頭","魔物也很仰慕大姐頭。"
"ㄧ","20052","1","2005200","ㄚ","1","吉塔","以成為蒼空的騎空士為目標的女孩。"
"ㄤ","20052","3","2005201","ㄕ","1","蒼空的騎空士","加入我所成立的騎空團吧！跟騎空士們一同在空中巡遊！"
"ㄢ","20053","1","2005300","ㄜ","1","貪吃佩可","【美食殿堂】的公會長。什麼都能吃得很美味。太讚了吧☆"
"ㄨㄤ","20053","3","2005301","ㄟ","1","皇家裝備","裝備後威力會大幅提升，但是好像肚子會餓。"
"ㄞ","20053","3","2005302","ㄚ","1","太讚了吧","太讚了吧☆"
"ㄨㄥ","20053","3","2005303","ㄨ","1","公主","阿斯特賴亞王家的王女。"
"ㄜ","20054","1","2005400","ㄨㄛ","1","可可蘿","隸屬於【美食殿堂】的精靈族少女。主人優先。"
"ㄧㄤ","20054","3","2005401","ㄠ","1","嚮導","接受了女神愛梅斯神諭的引路人。"
"ㄨ","20054","3","2005402","ㄩ","1","巫女","侍奉神明的女性。"
"ㄞ","20055","1","2005500","ㄧㄡ","1","凱留","順其自然地加入【美食殿堂】的謎樣貓耳少女。很不妙吧！"
"ㄠ","20055","3","2005501","ㄧㄠ","1","傲嬌","啥？完全聽不懂你在說什麼！"
"ㄠ","20056","1","2005600","ㄨㄟ","1","矛依未","與世界為敵抗戰，自稱是大罪人。天樓霸斷劍可以斬斷一切！"
"ㄨㄛ","20056","3","2005601","ㄨ","1","諾維姆","我是諾維姆！"
"ㄧㄚ","20057","1","2005700","ㄚ","1","亞里莎","發誓總有一天要成為森林守護者的精靈族少女。"
"ㄧㄥ","20057","3","2005701","ㄩ","1","精靈女","女性精靈族。"
"ㄧㄢ","20057","3","2005702","ㄨㄟ","1","見習森林守衛","要作為森林守護者獨當一面，得儘量每天投入修行。"
"ㄙ","20058","1","2005800","ㄨㄚ","1","似似花","七冠之一。千變萬化的變貌大妃。"
"ㄧㄢ","20058","3","2005801","ㄟ","1","變貌大妃","似似花的另一個名字。變貌大妃。"
"ㄣ","20058","3","2005802","ㄣ","1","分身","另一個我。"
"ㄜ","20059","1","2005900","ㄚ","1","克莉絲提娜","【王宮騎士團】的副團長，也是七冠之一。極端的享樂主義者。"
"ㄕ","20059","3","2005901","ㄩㄣ","1","誓約女君","克莉絲提娜的別名。"
"ㄨ","20059","3","2005902","ㄤ","1","副團長","又名為問題兒童。"
"ㄧ","20060","1","2006000","ㄧ","1","祈梨","隸屬於【龍族巢穴】的龍人族。臉長的很可愛，卻意外的毒舌。"
"ㄨㄥ","20060","3","2006001","ㄧ","1","龍之吐息","祈梨的特技。"
"ㄢ","20060","3","2006002","ㄨ","1","幹部","我是【龍族巢穴】的幹部，對我伏首稱臣吧！"
"ㄧㄚ","20061","1","2006100","ㄧㄝ","1","嘉夜","隸屬於【龍族巢穴】的龍人族打手。"
"ㄣ","20061","3","2006101","ㄨㄤ","1","笨蛋打架狂","幹架最行。"
"ㄢ","20062","1","2006200","ㄧ","1","帆稀","充滿謎團的【龍族巢穴】公會長、老大。"
"ㄤ","20062","3","2006201","ㄚ","1","幫派老大","頭目、首領的意思。"
"ㄜ","20063","1","2006300","ㄧ","1","克蘿依","【聖德蕾莎女子學院（好朋友社）】的一員。散發著一股認真的氣息。"
"ㄧㄣ","20063","3","2006301","ㄧ","1","陰暗系","好像並不是在生氣或是心情不好。"
"ㄥ","20063","3","2006302","ㄣ","1","聖德蕾女的狂人","聖德蕾女的狂人。那就是克蘿依。"
"ㄧ","20064","1","2006400","ㄦ","1","琪愛兒","【聖德蕾莎女子學院（好朋友社）】中負責切嚕～☆的人。"
"ㄧㄝ","20064","3","2006401","ㄧ","1","咧切嚕切嚕啵啪嗶","切嚕唎咧咧囉唎囉唎囉。"
"ㄥ","20064","3","2006402","ㄣ","1","聖德蕾女的狂人","聖德蕾女的狂人。那就是琪愛兒。"
"ㄧㄡ","20065","1","2006500","ㄧ","1","優妮","【優妮們】的公會長。天才都是孤獨的。"
"ㄧㄢ","20065","3","2006501","ㄨ","1","繭居族","躲在象牙之塔裡，每天勤奮學習。"
"ㄥ","20065","3","2006502","ㄣ","1","聖德蕾女的狂人","聖德蕾女的狂人。那就是優妮。"
"ㄣ","10078","1","3007800","ㄧ","2","人型機器","代替人類勞動的機械，人型是浪漫的表現。"
"ㄛ","10078","2","3007801","ㄩ","2","魔法機械工具","以魔法驅動的機械，可以幫助人類和戰鬥。"
"ㄧ","10078","2","3007802","ㄨㄢ","2","機關","用齒輪等零件組合而成，能進行複雜動作的架構。"
"ㄠ","10078","3","3007803","ㄠ","2","超級優妮號","喂，那個學姊又把在地獄裡焚化的名字拿出來用了。那東西明明叫好朋友X。"
"ㄧㄡ","10078","3","3007804","ㄨㄛ","2","優妮的力作","你說醜八怪臭遜廢鐵丸我可不能當作沒聽見……適可而止啊。"
"ㄩㄣ","10079","1","3007900","ㄨ","2","菌菇","生長在潮濕地區，是真菌類而不是植物。"
"ㄣ","10079","2","3007901","ㄩㄣ","2","真菌","真核生物中的一大類群，包含酵母等微生物及耳熟能詳的菇類。"
"ㄛ","10079","2","3007902","ㄨ","2","蘑菇","適合加進披薩和義大利麵的美味菇類。"
"ㄨㄥ","10079","3","3007903","ㄨ","2","紅蕈菇","會走路的菇類。據貪吃佩可所言，燉煮後似乎意外地美味。"
