e4af8cbd9a081c6f83a9a5c4e6da445707663aae06f8ab740d0082b8334c21a8,adfca8b45739638dad6ef9881c6c8275b6f5c054af919cc3e905f6be45dfeea2,9d399c0a7cae78e90c5c4c583f37e868c84c297a95437f817a56dc18b268e44b,6d9e4e0cc2d4df47a6e4fda63757f3ae7fd1cd79344104e369d4ae209d0c772a,20d0e94cb87a9ab78b896f1f08cbd4cb83b1850e86d6aa7f1a09aeec6e80b786
"623","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"624","boss_tp_down_cut","減少降低TP","92501130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"625","18","傷害值衰減","92501130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"626","17","賦予TP上升的上限","92501130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"627","9","降低HP吸收","92501130","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"628","16","闇屬性獎勵特大幅度提升","92501140","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"629","boss_def_lower_limit","提升物理防禦力（不可降低）","92501140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"630","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"631","boss_tp_down_cut","減少降低TP","92501140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"632","18","傷害值衰減","92501140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"633","17","賦予TP上升的上限","92501140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"634","9","降低HP吸收","92501140","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"635","16","闇屬性獎勵特大幅度提升","92501210","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"636","boss_def_lower_limit","提升物理防禦力（不可降低）","92501210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"637","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"638","boss_tp_down_cut","減少降低TP","92501210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"639","18","傷害值衰減","92501210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"640","17","賦予TP上升的上限","92501210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"641","9","降低HP吸收","92501210","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"642","16","闇屬性獎勵特大幅度提升","92501220","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"643","boss_def_lower_limit","提升物理防禦力（不可降低）","92501220","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"644","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501220","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"645","boss_tp_down_cut","減少降低TP","92501220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"646","18","傷害值衰減","92501220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"647","17","賦予TP上升的上限","92501220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"648","9","降低HP吸收","92501220","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"649","16","闇屬性獎勵特大幅度提升","92501230","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"650","boss_def_lower_limit","提升物理防禦力（不可降低）","92501230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"651","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"652","boss_tp_down_cut","減少降低TP","92501230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"653","18","傷害值衰減","92501230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"654","17","賦予TP上升的上限","92501230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"655","9","降低HP吸收","92501230","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"656","16","闇屬性獎勵特大幅度提升","92501240","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"657","boss_def_lower_limit","提升物理防禦力（不可降低）","92501240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"658","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"659","boss_tp_down_cut","減少降低TP","92501240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"660","18","傷害值衰減","92501240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"661","17","賦予TP上升的上限","92501240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"662","9","降低HP吸收","92501240","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"663","16","闇屬性獎勵特大幅度提升","92501310","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"664","boss_def_lower_limit","提升物理防禦力（不可降低）","92501310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"665","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"666","boss_tp_down_cut","減少降低TP","92501310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"667","18","傷害值衰減","92501310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"668","17","賦予TP上升的上限","92501310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"669","9","降低HP吸收","92501310","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"670","16","闇屬性獎勵特大幅度提升","92501320","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"671","boss_def_lower_limit","提升物理防禦力（不可降低）","92501320","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"672","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"673","boss_tp_down_cut","減少降低TP","92501320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"674","18","傷害值衰減","92501320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"675","17","賦予TP上升的上限","92501320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"676","9","降低HP吸收","92501320","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"677","16","闇屬性獎勵特大幅度提升","92501330","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"678","boss_def_lower_limit","提升物理防禦力（不可降低）","92501330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"679","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"680","boss_tp_down_cut","減少降低TP","92501330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"681","18","傷害值衰減","92501330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"682","17","賦予TP上升的上限","92501330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"683","9","降低HP吸收","92501330","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"684","16","闇屬性獎勵特大幅度提升","92501340","編組4位以上的闇屬性角色時，會強化角色的屬性獎勵。闇屬性以外的屬性獎勵無效。"
"685","boss_def_lower_limit","提升物理防禦力（不可降低）","92501340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"686","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92501340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"687","boss_tp_down_cut","減少降低TP","92501340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"688","18","傷害值衰減","92501340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"689","17","賦予TP上升的上限","92501340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"690","9","降低HP吸收","92501340","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"691","13","水屬性獎勵特大幅度提升","92414010","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"692","boss_def_lower_limit","提升物理防禦力（不可降低）","92414010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"693","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"694","17","賦予TP上升的上限","92414010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"695","9","降低HP吸收","92414010","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"696","13","水屬性獎勵特大幅度提升","92414020","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"697","boss_def_lower_limit","提升物理防禦力（不可降低）","92414020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"698","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"699","17","賦予TP上升的上限","92414020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"700","9","降低HP吸收","92414020","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"701","13","水屬性獎勵特大幅度提升","92414030","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"702","boss_def_lower_limit","提升物理防禦力（不可降低）","92414030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"703","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"704","17","賦予TP上升的上限","92414030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"705","9","降低HP吸收","92414030","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"706","13","水屬性獎勵特大幅度提升","92414110","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"707","boss_def_lower_limit","提升物理防禦力（不可降低）","92414110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"708","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"709","boss_tp_down_cut","減少降低TP","92414110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"710","18","傷害值衰減","92414110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"711","17","賦予TP上升的上限","92414110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"712","9","降低HP吸收","92414110","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"713","13","水屬性獎勵特大幅度提升","92414120","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"714","boss_def_lower_limit","提升物理防禦力（不可降低）","92414120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"715","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"716","boss_tp_down_cut","減少降低TP","92414120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"717","18","傷害值衰減","92414120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"718","17","賦予TP上升的上限","92414120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"719","9","降低HP吸收","92414120","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"720","13","水屬性獎勵特大幅度提升","92414130","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"721","boss_def_lower_limit","提升物理防禦力（不可降低）","92414130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"722","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"723","boss_tp_down_cut","減少降低TP","92414130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"724","18","傷害值衰減","92414130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"725","17","賦予TP上升的上限","92414130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"726","9","降低HP吸收","92414130","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"727","13","水屬性獎勵特大幅度提升","92414140","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"728","boss_def_lower_limit","提升物理防禦力（不可降低）","92414140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"729","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414140","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"730","boss_tp_down_cut","減少降低TP","92414140","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"731","18","傷害值衰減","92414140","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"732","17","賦予TP上升的上限","92414140","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"733","9","降低HP吸收","92414140","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"734","13","水屬性獎勵特大幅度提升","92414210","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"735","boss_def_lower_limit","提升物理防禦力（不可降低）","92414210","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"736","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414210","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"737","boss_tp_down_cut","減少降低TP","92414210","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"738","18","傷害值衰減","92414210","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"739","17","賦予TP上升的上限","92414210","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"740","9","降低HP吸收","92414210","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"741","13","水屬性獎勵特大幅度提升","92414220","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"742","boss_def_lower_limit","提升物理防禦力（不可降低）","92414220","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"743","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414220","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"744","boss_tp_down_cut","減少降低TP","92414220","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"745","18","傷害值衰減","92414220","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"746","17","賦予TP上升的上限","92414220","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"747","9","降低HP吸收","92414220","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"748","13","水屬性獎勵特大幅度提升","92414230","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"749","boss_def_lower_limit","提升物理防禦力（不可降低）","92414230","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"750","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414230","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"751","boss_tp_down_cut","減少降低TP","92414230","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"752","18","傷害值衰減","92414230","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"753","17","賦予TP上升的上限","92414230","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"754","9","降低HP吸收","92414230","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"755","13","水屬性獎勵特大幅度提升","92414240","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"756","boss_def_lower_limit","提升物理防禦力（不可降低）","92414240","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"757","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414240","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"758","boss_tp_down_cut","減少降低TP","92414240","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"759","18","傷害值衰減","92414240","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"760","17","賦予TP上升的上限","92414240","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"761","9","降低HP吸收","92414240","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"762","13","水屬性獎勵特大幅度提升","92414310","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"763","boss_def_lower_limit","提升物理防禦力（不可降低）","92414310","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"764","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414310","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"765","boss_tp_down_cut","減少降低TP","92414310","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"766","18","傷害值衰減","92414310","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"767","17","賦予TP上升的上限","92414310","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"768","9","降低HP吸收","92414310","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"769","13","水屬性獎勵特大幅度提升","92414320","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"770","boss_def_lower_limit","提升物理防禦力（不可降低）","92414320","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"771","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414320","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"772","boss_tp_down_cut","減少降低TP","92414320","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"773","18","傷害值衰減","92414320","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"774","17","賦予TP上升的上限","92414320","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"775","9","降低HP吸收","92414320","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"776","13","水屬性獎勵特大幅度提升","92414330","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"777","boss_def_lower_limit","提升物理防禦力（不可降低）","92414330","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"778","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414330","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"779","boss_tp_down_cut","減少降低TP","92414330","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"780","18","傷害值衰減","92414330","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"781","17","賦予TP上升的上限","92414330","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"782","9","降低HP吸收","92414330","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"783","13","水屬性獎勵特大幅度提升","92414340","編組4位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性以外的屬性獎勵無效。"
"784","boss_def_lower_limit","提升物理防禦力（不可降低）","92414340","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"785","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92414340","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"786","boss_tp_down_cut","減少降低TP","92414340","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"787","18","傷害值衰減","92414340","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"788","17","賦予TP上升的上限","92414340","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"789","9","降低HP吸收","92414340","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"790","14","風屬性獎勵特大幅度提升","92415010","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"791","boss_def_lower_limit","提升物理防禦力（不可降低）","92415010","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"792","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415010","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"793","17","賦予TP上升的上限","92415010","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"794","9","降低HP吸收","92415010","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"795","14","風屬性獎勵特大幅度提升","92415020","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"796","boss_def_lower_limit","提升物理防禦力（不可降低）","92415020","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"797","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415020","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"798","17","賦予TP上升的上限","92415020","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"799","9","降低HP吸收","92415020","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"800","14","風屬性獎勵特大幅度提升","92415030","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"801","boss_def_lower_limit","提升物理防禦力（不可降低）","92415030","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"802","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415030","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"803","17","賦予TP上升的上限","92415030","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"804","9","降低HP吸收","92415030","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"805","14","風屬性獎勵特大幅度提升","92415110","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"806","boss_def_lower_limit","提升物理防禦力（不可降低）","92415110","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"807","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415110","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"808","boss_tp_down_cut","減少降低TP","92415110","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"809","18","傷害值衰減","92415110","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"810","17","賦予TP上升的上限","92415110","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"811","9","降低HP吸收","92415110","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"812","14","風屬性獎勵特大幅度提升","92415120","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"813","boss_def_lower_limit","提升物理防禦力（不可降低）","92415120","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"814","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415120","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"815","boss_tp_down_cut","減少降低TP","92415120","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"816","18","傷害值衰減","92415120","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"817","17","賦予TP上升的上限","92415120","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"818","9","降低HP吸收","92415120","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"819","14","風屬性獎勵特大幅度提升","92415130","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"820","boss_def_lower_limit","提升物理防禦力（不可降低）","92415130","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"821","boss_magic_def_lower_limit","提升魔法防禦力（不可降低）","92415130","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"822","boss_tp_down_cut","減少降低TP","92415130","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"823","18","傷害值衰減","92415130","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"824","17","賦予TP上升的上限","92415130","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"825","9","降低HP吸收","92415130","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"826","14","風屬性獎勵特大幅度提升","92415140","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"827","boss_def_lower_limit","提升物理防禦力（不可降低）","92415140","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
