182935b54fa755be86b74cec9e57e67eb44c637367782648806d1b4e1966e089,35797bcc0bfe4a1031c384a82f2f964be69983ad310aa7ce0d5026683e53753d,64d54eee6d6e0bd8754e580da0fdd2abda3a638e84d4391677824ebe7f3dd56f,07fb06ae5fc7c164d1878d2c19f7378fe2de63ebdb11bb2e15d826459ff10170,ad70698b9827e374c90b3531b074ebb95f07038a7a8dfb3437e11e195c69b1b6
"254","提升物理防禦力（不可降低）","74005502","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"255","提升魔法防禦力（不可降低）","74005502","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"256","降低HP吸收","74005502","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"257","減少降低TP","74005502","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"258","追加怪物","74005503","追加宮子、碧。","add_shadow"
"259","傷害值衰減","74005503","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"260","賦予TP上升的上限","74005503","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"261","提升物理防禦力（不可降低）","74005503","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"262","提升魔法防禦力（不可降低）","74005503","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"263","降低HP吸收","74005503","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"264","減少降低TP","74005503","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"265","追加怪物","74005504","追加露娜聚光燈。","add_shadow"
"266","傷害值衰減","74005504","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"267","賦予TP上升的上限","74005504","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"268","提升物理防禦力（不可降低）","74005504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"269","提升魔法防禦力（不可降低）","74005504","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"270","降低HP吸收","74005504","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"271","減少降低TP","74005504","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"272","戰鬥時間限制","74005505","戰鬥時間變成60秒。","limit_time"
"273","傷害值衰減","74005505","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"274","賦予TP上升的上限","74005505","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"275","提升物理防禦力（不可降低）","74005505","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"276","提升魔法防禦力（不可降低）","74005505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"277","降低HP吸收","74005505","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"278","減少降低TP","74005505","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"279","強化闇影","74006102","對初音（夏日）、咲戀（夏日）、鈴奈鏡華的闇影追加專用裝備。","star6_shadow"
"280","強化闇影","74006103","鈴奈、鏡華的闇影變成★6。","star6_shadow"
"281","編組角色人數限制","74006103","可以編組的角色變成4個。","limit_chara_num"
"282","編組角色人數限制","74006104","可以編組的角色變成4個。","limit_chara_num"
"283","物理無效護盾","74006104","戰鬥開始時，對所有的闇影展開物理無效的護盾。","27"
"284","魔法無效護盾","74006104","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","28"
"285","編組角色人數限制","74006105","可以編組的角色變成4個。","limit_chara_num"
"286","物理無效護盾","74006105","戰鬥開始時，對所有的闇影展開物理無效的護盾。","27"
"287","魔法無效護盾","74006105","戰鬥開始時，對所有的闇影展開魔法無效的護盾。","28"
"288","強化闇影","74006202","對怜（新年）、靜流（黑暗）、靜流、涅婭的闇影追加專用裝備。","star6_shadow"
"289","強化闇影","74006203","怜（新年）、靜流的闇影變成★6。","star6_shadow"
"290","編組角色人數限制","74006203","可以編組的角色變成4個。","limit_chara_num"
"291","編組角色人數限制","74006204","可以編組的角色變成4個。","limit_chara_num"
"292","TP恢復","74006204","戰鬥開始時，所有闇影特大幅度恢復自身的TP。","energy_recover"
"293","編組角色人數限制","74006205","可以編組的角色變成4個。","limit_chara_num"
"294","TP恢復","74006205","戰鬥開始時，所有闇影特大幅度恢復自身的TP並賦予持續恢復TP的狀態。","energy_recover"
"295","提升物理防禦力（不可降低）","74006301","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"296","提升魔法防禦力（不可降低）","74006301","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"297","減少降低TP","74006301","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"298","魔法傷害降低","74006302","戰鬥開始時，所有怪物的魔法傷害為減少30％的狀態。","boss_magic_cut"
"299","提升物理防禦力（不可降低）","74006302","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"300","提升魔法防禦力（不可降低）","74006302","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"301","減少降低TP","74006302","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"302","魔法傷害降低","74006303","戰鬥開始時，所有怪物的魔法傷害為減少60％的狀態。","boss_magic_cut"
"303","提升物理防禦力（不可降低）","74006303","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"304","提升魔法防禦力（不可降低）","74006303","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"305","減少降低TP","74006303","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"306","Boss行動模式變化","74006304","Boss怪物的行動模式發生變化。","boss_ub_enhance"
"307","魔法傷害降低","74006304","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","boss_magic_cut"
"308","提升物理防禦力（不可降低）","74006304","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"309","提升魔法防禦力（不可降低）","74006304","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"310","減少降低TP","74006304","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"311","Boss行動模式變化","74006305","Boss怪物的行動模式發生變化。","boss_ub_enhance"
"312","魔法傷害降低","74006305","戰鬥開始時，所有怪物的魔法傷害為減少90％的狀態。","boss_magic_cut"
"313","提升物理防禦力（不可降低）","74006305","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"314","提升魔法防禦力（不可降低）","74006305","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"315","減少降低TP","74006305","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"316","提升物理防禦力（不可降低）","74006401","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"317","提升魔法防禦力（不可降低）","74006401","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"318","物理傷害降低","74006402","戰鬥開始時，所有怪物的物理傷害為減少30％的狀態。","boss_physics_cut"
"319","提升物理防禦力（不可降低）","74006402","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"320","提升魔法防禦力（不可降低）","74006402","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"321","物理傷害降低","74006403","戰鬥開始時，所有怪物的物理傷害為減少60％的狀態。","boss_physics_cut"
"322","提升物理防禦力（不可降低）","74006403","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"323","提升魔法防禦力（不可降低）","74006403","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"324","追加怪物","74006404","追加叢林護衛、真琴的闇影、惠理子的闇影、樹精。","add_shadow"
"325","Boss行動模式變化","74006404","Boss怪物的行動模式發生變化。","boss_ub_enhance"
"326","物理傷害降低","74006404","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","boss_physics_cut"
"327","提升物理防禦力（不可降低）","74006404","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"328","提升魔法防禦力（不可降低）","74006404","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"329","Boss行動模式變化","74006405","Boss怪物的行動模式發生變化。","boss_ub_enhance"
"330","物理傷害降低","74006405","戰鬥開始時，所有怪物的物理傷害為減少90％的狀態。","boss_physics_cut"
"331","提升物理防禦力（不可降低）","74006405","戰鬥開始時，中幅度提升Boss怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"332","提升魔法防禦力（不可降低）","74006405","戰鬥開始時，中幅度提升Boss怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"333","減少降低TP","74006405","戰鬥開始時，Boss怪物的TP下降為減少50%的狀態。","boss_tp_down_cut"
"334","傷害值衰減","74006501","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"335","賦予TP上升的上限","74006501","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"336","提升物理防禦力（不可降低）","74006501","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"337","提升魔法防禦力（不可降低）","74006501","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"338","降低HP吸收","74006501","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"339","減少降低TP","74006501","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"340","全屬性獎勵特大幅度提升","74006502","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"341","傷害值衰減","74006502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"342","賦予TP上升的上限","74006502","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"343","提升物理防禦力（不可降低）","74006502","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"344","提升魔法防禦力（不可降低）","74006502","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"345","降低HP吸收","74006502","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"346","減少降低TP","74006502","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"347","全屬性獎勵特大幅度提升","74006503","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"348","傷害值衰減","74006503","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"349","賦予TP上升的上限","74006503","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"350","提升物理防禦力（不可降低）","74006503","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"351","提升魔法防禦力（不可降低）","74006503","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"352","降低HP吸收","74006503","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"353","減少降低TP","74006503","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"354","全屬性獎勵特大幅度提升","74006504","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"355","傷害值衰減","74006504","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"356","賦予TP上升的上限","74006504","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"357","提升物理防禦力（不可降低）","74006504","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"358","提升魔法防禦力（不可降低）","74006504","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"359","降低HP吸收","74006504","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"360","減少降低TP","74006504","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
"361","戰鬥時間限制","74006505","戰鬥時間變成60秒。","limit_time"
"362","全屬性獎勵特大幅度提升","74006505","編組4位以上的同屬性角色時，會強化角色的屬性獎勵。","33"
"363","傷害值衰減","74006505","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","18"
"364","賦予TP上升的上限","74006505","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17"
"365","提升物理防禦力（不可降低）","74006505","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit"
"366","提升魔法防禦力（不可降低）","74006505","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit"
"367","降低HP吸收","74006505","戰鬥開始時，特大幅度降低全體角色的HP吸收。","9"
"368","減少降低TP","74006505","戰鬥開始時，所有怪物的TP下降為\n減少100％的狀態。","boss_tp_down_cut"
