9cabeff58d1781446f30c3b9624c92a426d843c5d7528f7cbdaab1316adf542d,e18126caf048a16ca61484d698ea6fbacaaf0636b81bb26a835eac07c705b706,8ed65a4a9ad00c19530fb0d9f16a6b11730af07d26b15ab4a1572266fd4dafb7,3b19b79cbbf41b22ecf306e668a6dcdc2041f3dc93f0463e17392aa84d56e3c4,eee4efe3e720aec1ed0c634be03c62facd8a2223387e5c4935f9f811a1ecc3ca,2ef562a44edbebc3cf6a615eac8bafa60019487afbdc8e34f0d45e6d3bedc169,bd747a8215e29b60d3317505cc727e79f3861f29a835402758dceebe0e2c8e86,9acd864872198c952d7c08d5d8633e740610d5a6d5af4eaca6c93ee9cd323baf,a33d65ba2e4fe1487db1665415cc051eaf630df699ae7b52badfa096d7f714d1,1aadb6a8ba6604d53f5330a29705244faec03036ea1fe24ebc035e6f7fba4942,91a40c2f23f81346a498430e5fd833b681bf3d3cfdecacf4ec4a4242b6cc1cd0
"","","","","1070049","7","0","omp_talk_joy1","1","112411","3"
"0","","","","1070050","7","","vo_omp_7007_007","0","vo_omp_7007","21"
"1","1","","","1070051","7","","小凜……！","10","112411","11"
"","","","","1070052","7","","","","0","91"
"","","","","1070053","7","","0","","112611","4"
"","","","","1070054","7","0","omp_psn_20","1","112411","3"
"","","","","1070055","7","0","omp_talk_joy1","1","112611","3"
"0","","","","1070056","7","","vo_omp_7007_008","0","vo_omp_7007","21"
"1","1","","","1070057","7","","嘿嘿，澀凜凜真是的，\n裝得那麼酷，卻很熱血呢♪\n我和島村村要給這樣的澀凜凜\n緊～緊地抱一個哦～！","10","112611","11"
"","","","","1070058","7","","1","","10","93"
"","","","","1070059","7","","0","1","112611","4"
"0","1","","","1070060","7","","120","-205","112611","2"
"0","1","","","1070061","7","","420","-205","112411","2"
"omp_psn_13_loop","1","0.1","","1070062","7","0","omp_psn_13","0","112611","3"
"omp_psn_13_loop","1","0.1","","1070063","7","0","omp_psn_13","0","112411","3"
"omp_psn_15_loop","1","0","","1070064","7","0","omp_psn_15","0","112511","3"
"","","","","1070065","7","","1","","1","93"
"omp_idle_surprise1","1","","","1070066","7","0","omp_surprise","0","105831","3"
"omp_idle_surprise1","1","","","1070067","7","0","omp_surprise","0","105931","3"
"omp_idle_surprise2","1","0.2","","1070068","7","0","omp_surprise","0","106031","3"
"","","","","1070069","7","","","","1070057","91"
"0","","","","1070070","7","","vo_omp_7007_009","0","vo_omp_7007","21"
"1","1","","","1070071","7","","等等，快、快住手啦……！","10","112511","11"
"","","","","1070072","7","","","","0","91"
"","","","","1070073","7","","1","1","105831","4"
"","","","","1070074","7","0","omp_talk_joy1","1","105831","3"
"0","","","","1070075","7","","vo_omp_7007_010","0","vo_omp_7007","21"
"1","1","","","1070076","7","","小凱留，\n我們也來抱抱吧♪","10","105831","11"
"","","","","1070077","7","","","","0","91"
"","","","","1070078","7","0","omp_idle_joy1","1","105831","3"
"","","","","1070079","7","0","omp_talk_tsun","1","106031","3"
"0","","","","1070080","7","","vo_omp_7007_011","0","vo_omp_7007","21"
"1","1","","","1070081","7","","啊！？為什麼啊，不要，我拒絕啦！\n喂，為什麼要靠過來啊！？\n可蘿仔，快救我啊！？","10","106031","11"
"","","","","1070082","7","","1","","4","93"
"","","","","1070083","7","0","omp_walk","1","105831","3"
"1","1","","","1070084","7","","-120","-205","105831","2"
"","","","","1070085","7","","","","0","91"
"","","","","1070086","7","0.2","omp_idle_joy1","1","105831","3"
"","","","","1070087","7","","","","1070081","91"
"","","","","1070088","7","0","omp_idle_joy1","1","105831","3"
"","","","","1070089","7","0","omp_idle_tsun","1","106031","3"
"","","","","1070090","7","0","omp_talk_normal","1","105931","3"
"0","","","","1070091","7","","vo_omp_7007_012","0","vo_omp_7007","21"
"1","1","","","1070092","7","","凱留小姐，\n您無處可逃了。\n雖然有些冒味，\n但在下也要加入了……♪","10","105931","11"
"","","","","1070093","7","","","","0","91"
"0","1","","","1070094","7","","-120","-205","105831","2"
"0","1","","","1070095","7","","-440","-205","105931","2"
"omp_psn_14_loop","1","0.1","","1070096","7","0","omp_psn_14","0","105831","3"
"omp_psn_14_loop","1","0.1","","1070097","7","0","omp_psn_14","0","105931","3"
"omp_psn_15_loop","1","0","","1070098","7","0","omp_psn_15","0","106031","3"
"0","","","","1070099","7","","vo_omp_7007_013","0","vo_omp_7007","21"
"1","1","","","1070100","7","","抱抱～♪","10","105831","11"
"","","","","1070101","7","","","","0","91"
"","","","","1070102","7","0","omp_psn_16_loop","1","106031","3"
"0","","","","1070103","7","","vo_omp_7007_014","0","vo_omp_7007","21"
"1","1","","","1070104","7","","喂，別鬧……呃唔！？\n貪吃佩可……妳的力道！\n是想把我絞成一半嗎！？\n等一下，搞什麼啦～！？","10","106031","11"
"","","","","1070105","7","","","","0","91"
"","","","","1070106","7","0","omp_psn_13_loop","1","112611","3"
"0","","","","1070107","7","","vo_omp_7007_015","0","vo_omp_7007","21"
"1","1","","","1070108","7","","哇～！\n凱留凱留～！","10","112611","11"
"","","","","1070109","7","","","","0","91"
"","","","","1070110","7","0","omp_psn_13_loop","1","112611","3"
"","","","","1070111","7","0","omp_psn_13_loop","1","112411","3"
"0","","","","1070112","7","","vo_omp_7007_016","0","vo_omp_7007","21"
"1","1","","","1070113","7","","哈哈哈♪\n【美食殿堂】的各位\n肢體接觸還真大膽呢！","10","112411","11"
"","","","","1070114","7","","","","0","91"
"","","","","1070115","7","0","omp_psn_13_loop","1","112411","3"
"","","","","1070116","7","0","omp_psn_15_loop","1","112511","3"
"0","","","","1070117","7","","vo_omp_7007_017","0","vo_omp_7007","21"
"1","1","","","1070118","7","","我倒覺得已經超越\n大膽的程度了……！？\n等等，快住手……呀啊啊！","10","112511","11"
"","","","","1070119","7","","1","","5.5","93"
"","","","","1070120","7","0.1","omp_psn_16_loop","1","112511","3"
"","","","","1070121","7","","","","1070118","91"
"","","","","1070122","7","","","","0.4","93"
"200","-195","1","omp_idle_normal","1080001","8","1.8","105831","1600","1","1"
"0","-185","0","omp_talk_normal","1080002","8","1.8","105931","1500","1","1"
"-200","-205","0","omp_idle_normal","1080003","8","1.8","106031","1600","1","1"
"0","1","","","1080004","8","1","1","0","1","31"
"","","","","1080005","8","","","","1","93"
"0","","","","1080006","8","","vo_omp_7008_000","0","vo_omp_7008","21"
"1","1","","","1080007","8","","繆思小鎮……雖然是初次造訪，\n不過是一座很棒的城市呢。","10","105931","11"
"","","","","1080008","8","","","","0","91"
"","","","","1080009","8","0","omp_idle_normal","1","105931","3"
"","","","","1080010","8","0","omp_talk_joy1","1","105831","3"
"0","","","","1080011","8","","vo_omp_7008_001","0","vo_omp_7008","21"
"1","1","","","1080012","8","","是的♪整座城市不僅充滿了活力，\n更重要的是有很多美味的特產品，\n太讚了吧☆","10","105831","11"
"","","","","1080013","8","","","","0","91"
"","","","","1080014","8","0","omp_idle_joy1","1","105831","3"
"","","","","1080015","8","0","omp_talk_sad","1","106031","3"
"0","","","","1080016","8","","vo_omp_7008_002","0","vo_omp_7008","21"
"1","1","","","1080017","8","","唉……妳的腦袋裡\n真的都只想著吃呢。","10","106031","11"
"","","","","1080018","8","","","","0","91"
"","","","","1080019","8","0","omp_idle_sad","1","106031","3"
"","","","","1080020","8","0","omp_talk_normal","1","105931","3"
"0","","","","1080021","8","","vo_omp_7008_003","0","vo_omp_7008","21"
"1","1","","","1080022","8","","呵呵，那麼等一下\n要不要來邊走邊吃呢？\n在下也覺得餓了。","10","105931","11"
"","","","","1080023","8","","","","0","91"
"","","","","1080024","8","0","omp_idle_normal","1","105931","3"
"","","","","1080025","8","0","omp_talk_surprise1","1","106031","3"
"0","","","","1080026","8","","vo_omp_7008_004","0","vo_omp_7008","21"
"1","1","","","1080027","8","","連可蘿仔也是！？","10","106031","11"
"","","","","1080028","8","","","","0","91"
"","","","","1080029","8","0","omp_idle_surprise1","1","106031","3"
"","","","","1080030","8","0","omp_talk_normal","1","105831","3"
"0","","","","1080031","8","","vo_omp_7008_005","0","vo_omp_7008","21"
"1","1","","","1080032","8","","小凱留打算怎麼做呢～？","10","105831","11"
"","","","","1080033","8","","","","0","91"
"","","","","1080034","8","","1","","105931","4"
"","","","","1080035","8","0","omp_idle_normal","1","105831","3"
"","","","","1080036","8","0","omp_talk_tsun","1","106031","3"
"0","","","","1080037","8","","vo_omp_7008_006","0","vo_omp_7008","21"
"1","1","","","1080038","8","","我也想吃\n美味的食物啊！\n……不要是魔物料理就好。","10","106031","11"
"","","","","1080039","8","","","","0","91"
"","","","","1080040","8","0","omp_idle_tsun","1","106031","3"
"","","","","1080041","8","0","omp_talk_normal","1","105931","3"
"0","","","","1080042","8","","vo_omp_7008_007","0","vo_omp_7008","21"
"1","1","","","1080043","8","","呵呵，我們都想著同一件事情，\n真不愧是【美食殿堂】呢♪","10","105931","11"
"","","","","1080044","8","","","","0","91"
"","","","","1080045","8","","0","","105931","4"
"","","","","1080046","8","0","omp_idle_normal","1","105931","3"
"","","","","1080047","8","0","omp_talk_joy1","1","105831","3"
"0","","","","1080048","8","","vo_omp_7008_008","0","vo_omp_7008","21"
"1","1","","","1080049","8","","欸嘿嘿～♪\n那麼，我們出發吧！\n小可蘿！小凱留！","10","105831","11"
"","","","","1080050","8","","","","0","91"
"","","","","1080051","8","","","","0.4","93"
"300","-270","1","omp_idle_normal","1090001","9","1.8","105831","1600","1","1"
"450","-285","1","omp_idle_normal","1090002","9","1.8","105931","1700","1","1"
"-310","-230","1","omp_idle_normal","1090003","9","1.8","106031","1600","1","1"
"-45","-190","1","omp_idle_normal","1090004","9","1.8","112511","1500","1","1"
"65","-240","1","omp_idle_normal","1090005","9","1.8","112411","1600","1","1"
"205","-192","1","omp_idle_normal","1090006","9","1.8","112611","1500","1","1"
"0","1","","","1090007","9","1","1","0","1","31"
"","","","","1090008","9","","","","0.2","93"
"","","","","1090009","9","0.1","omp_idle_normal","1","112611","3"
"","","","","1090010","9","0","omp_talk_sad","1","106031","3"
"","","","","1090011","9","0.1","omp_idle_normal","1","112511","3"
"","","","","1090012","9","0.1","omp_idle_normal","1","105831","3"
"","","","","1090013","9","","","","0.1","93"
"","","","","1090014","9","","","","1","93"
"0","","","","1090015","9","","vo_omp_7009_000","0","vo_omp_7009","21"
"1","1","","","1090016","9","","我實在不願想起在這裡發生的事，\n為什麼會做出那種事呢……\n唉。真的是糟透了！","10","106031","11"
"","","","","1090017","9","","","","0","91"
"","","","","1090018","9","0","omp_psn_17","0","106031","3"
"0","","","","1090019","9","","vo_omp_7009_001","0","vo_omp_7009","21"
"1","1","","","1090020","9","","……凱留凱留\n說笑的喵。","10","106031","11"
"","","","","1090021","9","","1","","2","93"
"","","","","1090022","9","0.2","omp_talk_sad","1","106031","3"
"","","","","1090023","9","","","","1090020","91"
"","","","","1090024","9","0","omp_idle_sad","1","106031","3"
"omp_idle_joy1","1","0.2","","1090025","9","0","omp_psn_17","0","105831","3"
"0","","","","1090026","9","","vo_omp_7009_002","0","vo_omp_7009","21"
"1","1","","","1090027","9","","凱留凱留♪","10","105831","11"
"","","","","1090028","9","","","","0","91"
"omp_idle_normal","","0.2","","1090029","9","0","omp_psn_17","1","105931","3"
"0","","","","1090030","9","","vo_omp_7009_003","0","vo_omp_7009","21"
"1","1","","","1090031","9","","凱留凱留喵。","10","105931","11"
"","","","","1090032","9","","","","0","91"
"","","","","1090033","9","","0","","106031","4"
"omp_idle_surprise1","1","0","","1090034","9","0","omp_surprise","0","106031","3"
"0","","","","1090035","9","","vo_omp_7009_004","0","vo_omp_7009","21"
"1","1","","","1090036","9","","妳、妳們幾個！？\n看、看到剛才的……！？","10","106031","11"
"","","","","1090037","9","","","","0","91"
"omp_idle_joy1","","0.2","","1090038","9","0","omp_psn_17_other","1","112611","3"
"0","","","","1090039","9","","vo_omp_7009_005","0","vo_omp_7009","21"
"1","1","","","1090040","9","","凱留凱留～♪\n華麗登場喵☆","10","112611","11"
"","","","","1090041","9","","","","0","91"
"","","","","1090042","9","0","omp_talk_anger2","1","106031","3"
"0","","","","1090043","9","","vo_omp_7009_006","0","vo_omp_7009","21"
"1","1","","","1090044","9","","宰了妳們！我要宰了妳們！\n我要宰了所有看到人，\n也要宰了做出那種事的我！\n我要讓大家都消失～！","10","106031","11"
"","","","","1090045","9","","","","0","91"
"","","","","1090046","9","0","omp_idle_anger2","1","106031","3"
"","","","","1090047","9","0","omp_talk_sad","1","112411","3"
"0","","","","1090048","9","","vo_omp_7009_007","0","vo_omp_7009","21"
"1","1","","","1090049","9","","凱、凱留。呃，那個……","10","112411","11"
"","","","","1090050","9","","","","0","91"
"","","","","1090051","9","0","omp_idle_sad","1","112411","3"
"","","","","1090052","9","0","omp_talk_normal","1","112511","3"
"0","","","","1090053","9","","vo_omp_7009_008","0","vo_omp_7009","21"
"1","1","","","1090054","9","","妳很辛苦呢。","10","112511","11"
"","","","","1090055","9","","","","0","91"
"","","","","1090056","9","0","omp_idle_normal","1","112511","3"
"","","","","1090057","9","0","omp_talk_tsun","1","106031","3"
"0","","","","1090058","9","","vo_omp_7009_009","0","vo_omp_7009","21"
"1","1","","","1090059","9","","我、我饒妳們一命……！\n可是她們不行！\n不讓她們從世上消失，\n我就無法放心……！","10","106031","11"
"","","","","1090060","9","","","","0","91"
"","","","","1090061","9","0","omp_idle_tsun","1","106031","3"
"","","","","1090062","9","0","omp_talk_normal","1","112511","3"
"0","","","","1090063","9","","vo_omp_7009_010","0","vo_omp_7009","21"
"1","1","","","1090064","9","","可是我覺得那個很可愛耶。","10","112511","11"
"","","","","1090065","9","","","","0","91"
"","","","","1090066","9","0","omp_idle_normal","1","112511","3"
"","","","","1090067","9","0","omp_talk_joy2","1","112411","3"
"0","","","","1090068","9","","vo_omp_7009_011","0","vo_omp_7009","21"
"1","1","","","1090069","9","","是啊！　非常棒喔！","10","112411","11"
"","","","","1090070","9","","","","0","91"
"","","","","1090071","9","0","omp_psn_20","1","112411","3"
"","","","","1090072","9","0","omp_talk_tsun","1","106031","3"
"0","","","","1090073","9","","vo_omp_7009_012","0","vo_omp_7009","21"
"1","1","","","1090074","9","","聽到那種話我才不覺得開心啦～！？","10","106031","11"
"","","","","1090075","9","","","","0","91"
"","","","","1090076","9","0","omp_idle_tsun","1","106031","3"
"omp_idle_joy1","1","0.2","","1090077","9","0","omp_psn_17","0","105831","3"
"omp_idle_normal","1","0.2","","1090078","9","0","omp_psn_17","0","105931","3"
"omp_idle_joy1","1","0.2","","1090079","9","0","omp_psn_17_other","0","112611","3"
"0","","","","1090080","9","","vo_omp_7009_013","0","vo_omp_7009","21"
"1","1","","","1090081","9","","凱留凱留♪","10","105831","11"
"","","","","1090082","9","","","","0","91"
"","","","","1090083","9","0","omp_talk_anger2","1","106031","3"
"0","","","","1090084","9","","vo_omp_7009_014","0","vo_omp_7009","21"
"1","1","","","1090085","9","","我一定要宰了妳們～～～～～～～！","10","106031","11"
"","","","","1090086","9","","","","0","91"
"","","","","1090087","9","","","","0.4","93"
