f63c11bf8a4cd5cfb6b1f004fdff651a166f36e83bf135da3fadc56f3fe16fb9,8e6d5410f262090b8e65614be78e0c3ae2b48bd47248bef08e9c2ff623607fa0,9dd178aa8bb42867194d3a0324a56bc769376ae5fd75b05af73dc18604438c21,f5d47964f8ea80f8da885f1718c21ffe30fe2ced0389024fcde4f8e47bd870c2,a085259a2e5c7bf0aa43c03cefaa773f82af11d7455910bfeda65f10985e3607,65d027cb506d4a4a0b043c0fd24bee6e9696ba7920ac29c88abede3f8dc5a3a8,83c2e62faece11552c929cdc5ba6f4014637fabe8f125af01bd79e3d7577345c,a9e1d7077b756fbac337319c48545860743b4311774c6700d1125896ab4c9ad1,445c284319f32d636bcbbbf41d32c1830b27d9ca1c26dcbf4c769bd9afef78b6,885f1b4fda841a8714f877a8562f83cac0b47ec4047798d1c75c802009f680cf,b8ca8a68321f9f6707d3753d8ab1c016f00c83f6ae979666dd04dc8e042a5c90
"3","33","","","","93","1330014","","","",""
"2","33","0","pkb_idle_shock","","3","1330015","0.2","","1","pkb_shock"
"1330011","33","","","","91","1330016","","","",""
"2","33","1","","","3","1330017","0.2","","","pkb_idle_normal"
"1","34","100","170","1","1","1340001","1.6","pkb_idle_normal","-150","106531"
"1","34","100","-20","0","1","1340002","1.6","pkb_idle_normal","-150","113411"
"106531","34","0","pkb_idle_arm_crossed","0.2","3","1340003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","34","0","0","","21","1340004","","","","vo_minigame_1006_top_talk_13_301"
"106531","34","8","0","0","11","1340005","0","-1","0","妳也很會\n投強力的球嘛，\n那是用什麼方式\n在丟的啊？"
"3.4","34","","","","93","1340006","","","",""
"106531","34","1","","","3","1340007","0.2","","","pkb_talk_normal"
"1340005","34","","","","91","1340008","","","",""
"106531","34","1","","","3","1340009","0.2","","","pkb_idle_normal"
"113411","34","1","","","3","1340010","0.2","","","pkb_talk_normal"
"vo_minigame_1006","34","0","0","","21","1340011","","","","vo_minigame_1006_top_talk_13_202"
"113411","34","8","0","0","11","1340012","0","1","0","用超能……不對！\n我是用了特別的\n魔法啦～嘿嘿。"
"1.2","34","","","","93","1340013","","","",""
"113411","34","0","pkb_talk_surprise1","0.2","3","1340014","0.2","","1","pkb_surprise"
"1","34","","","","93","1340015","","","",""
"113411","34","1","","","3","1340016","0.2","","","pkb_talk_joy3"
"1340012","34","","","","91","1340017","","","",""
"113411","34","1","","","3","1340018","0.2","","","pkb_idle_normal"
"1","35","100","-20","0","1","1350001","1.6","pkb_idle_normal","-150","113511"
"1","35","100","170","1","1","1350002","1.6","pkb_idle_normal","-150","102311"
"113511","35","1","","","3","1350003","0.2","","","pkb_talk_joy3"
"vo_minigame_1006","35","0","0","","21","1350004","","","","vo_minigame_1006_top_talk_14_101"
"113511","35","6","0","0","11","1350005","0","0.5","0","綾音，\n今天也麻煩妳當\n擊球教練囉～\n我很信賴妳的～！"
"5.2","35","","","","93","1350006","","","",""
"113511","35","1","","","3","1350007","0.2","","","pkb_talk_wish"
"1350005","35","","","","91","1350008","","","",""
"113511","35","1","","","3","1350009","0.2","","","pkb_idle_normal"
"102311","35","1","","","3","1350010","0.2","","","pkb_talk_joy1"
"vo_minigame_1006","35","0","0","","21","1350011","","","","vo_minigame_1006_top_talk_14_402"
"102311","35","8","0","0","11","1350012","0","-1","0","為了讓哥哥他們\n可以打出很多全壘打，\n我會努力的！"
"3.2","35","","","","93","1350013","","","",""
"102311","35","0","pkb_idle_doya","","3","1350014","0.2","","1","pkb_talk_doya"
"1350012","35","","","","91","1350015","","","",""
"102311","35","1","","","3","1350016","0.2","","","pkb_idle_normal"
"3","36","100","170","1","5","1360001","55","pkb_idle_normal_l","-130","3"
"1","36","100","-20","0","5","1360002","55","pkb_idle_normal","-130","1"
"3","36","0","pkb_idle_arm_crossed_l","0.2","3","1360003","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","36","0","0","","21","1360004","","","","vo_minigame_1006_top_talk_15_601"
"3","36","8","0","0","11","1360005","0","-0.5","0","喂，旭！\n讓我看看\n你進步了多少！"
"1360005","36","","","","91","1360006","","","",""
"3","36","1","","","3","1360007","0.2","","","pkb_idle_normal_l"
"1","36","0","pkb_idle_guts","","3","1360008","0.2","","1","pkb_talk_guts"
"vo_minigame_1006","36","0","0","","21","1360009","","","","vo_minigame_1006_top_talk_15_702"
"1","36","8","0","0","11","1360010","0","0","0","好！大地你才是，\n不用客氣放馬過來，\n認真一決勝負吧！"
"1360010","36","","","","91","1360011","","","",""
"1","36","1","","","3","1360012","0.2","","","pkb_idle_normal"
"1","37","100","-20","0","5","1370001","55","pkb_idle_normal","-130","1"
"3","37","100","170","1","5","1370002","55","pkb_idle_normal_l","-130","3"
"1","37","0","pkb_idle_guts","","3","1370003","0.2","","1","pkb_talk_guts"
"vo_minigame_1006","37","0","0","","21","1370004","","","","vo_minigame_1006_top_talk_16_701"
"1","37","8","0","0","11","1370005","0","-0.5","0","我們絕對要參加\n全國大賽，\n實現我們的夢想！"
"3.2","37","","","","93","1370006","","","",""
"1","37","0","pkb_idle_normal","0.2","3","1370007","0.2","","1","pkb_talk_handsup"
"1370005","37","","","","91","1370008","","","",""
"1","37","1","","","3","1370009","0.2","","","pkb_idle_normal"
"3","37","0","pkb_idle_arm_crossed_l","0.2","3","1370010","0.2","","1","pkb_talk_arm_crossed_l"
"vo_minigame_1006","37","0","0","","21","1370011","","","","vo_minigame_1006_top_talk_16_602"
"3","37","8","0","0","11","1370012","0","1","0","哼，那當然啊，\n憑我們的實力，\n連全國大賽優勝\n也不是夢啊！"
"4.8","37","","","","93","1370013","","","",""
"3","37","0","pkb_idle_guts_l","","3","1370014","0.2","","1","pkb_talk_guts_l"
"1370012","37","","","","91","1370015","","","",""
"3","37","1","","","3","1370016","0.2","","","pkb_idle_normal_l"
"1","38","100","170","1","1","1380001","1.6","pkb_idle_normal","-150","106531"
"2","38","100","-20","0","5","1380002","55","pkb_idle_normal","-130","2"
"106531","38","0","pkb_idle_arm_crossed","0.2","3","1380003","0.2","","1","pkb_talk_arm_crossed"
"vo_minigame_1006","38","0","0","","21","1380004","","","","vo_minigame_1006_top_talk_17_301"
"106531","38","8","0","0","11","1380005","0","-0.5","0","我看你們變得\n滿能打的嘛。\n今後老娘也要\n拿出真本領上了！！"
"3.6","38","","","","93","1380006","","","",""
"106531","38","0","pkb_idle_doya","","3","1380007","0.2","","1","pkb_talk_doya"
"2","38","","","","93","1380008","","","",""
"106531","38","0","pkb_idle_normal","0.2","3","1380009","0.2","","1","pkb_talk_handsup"
"1380005","38","","","","91","1380010","","","",""
"1","38","","","","93","1380011","","","",""
"106531","38","1","","","3","1380012","0.2","","","pkb_idle_normal"
"2","38","0","pkb_idle_shock","","3","1380013","0.2","","1","pkb_shock"
"vo_minigame_1006","38","0","0","","21","1380014","","","","vo_minigame_1006_top_talk_17_802"
"2","38","7","0","0","11","1380015","0","1","0","真的假的……\n那樣居然\n還不是真本領喔。\n……要出人命啦。"
"1380015","38","","","","91","1380016","","","",""
"2","38","1","","","3","1380017","0.2","","","pkb_idle_normal"
