2ec8f489418fbf4a0d91360ccae806fc51ab149a40e7640cf47332b802f00ca4,60b4b161f382b590e15b7c9f92a4728f4ed20dddcbfbd4664ff4d5b0b5534881,14f410fa4e2c98b6b25d384e6d7fe4bf8d342f3d456b3cc5d78e125b0ef2fe88,687b48287f08434be091716d105c961e82a03814bbd7b80fd7e58f6dabb9e8fb,03b6eb72b2378d8eb135ac01100e105619ec5a5adbb85a413c6e714b799d31d0,faff49b727758d5df1fc1a35993d946e07605045b120abce1b32ada6ee14d81e,f0f2bdad87f9a7f0e58dcba91aa5be86f777505c8bed88b4c30c30c1fa59dc25,5260172e655bb5e25a65125c66b989d2af91354fd510ed19b5efbc9082014c5e,609209ee4b56bf70dfe32effa5f18185ede96a47b7e9a9eec667a555a0660d16,34d8686735aeb435f833ef208363d683016b7f3f380fa721fb061b2b157f1431,c6630ae68ffd0e3f49fbc94e54597e03a700508e8a3182e70e32253d218de97f
"3","2","","0","pkb_talk_yell","0.2","33","","","","1330013"
"93","3","","","","","33","","","","1330014"
"3","2","pkb_idle_shock","0","pkb_shock","0.2","33","1","","","1330015"
"91","1330011","","","","","33","","","","1330016"
"3","2","","1","pkb_idle_normal","0.2","33","","","","1330017"
"1","1","170","100","106531","1.6","34","-150","pkb_idle_normal","1","1340001"
"1","1","-20","100","113411","1.6","34","-150","pkb_idle_normal","0","1340002"
"3","106531","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","34","1","","0.2","1340003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_13_301","","34","","","","1340004"
"11","106531","0","8","キミもすげえボール\n投げるじゃねえか\nどうやって\n投げてんだ？","0","34","0","-1","0","1340005"
"93","3.4","","","","","34","","","","1340006"
"3","106531","","1","pkb_talk_normal","0.2","34","","","","1340007"
"91","1340005","","","","","34","","","","1340008"
"3","106531","","1","pkb_idle_normal","0.2","34","","","","1340009"
"3","113411","","1","pkb_talk_normal","0.2","34","","","","1340010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_13_202","","34","","","","1340011"
"11","113411","0","8","超能りょ……\nじゃなくて！\n特別な魔法を\n使ってるんだ～えへへ","0","34","0","1","0","1340012"
"93","1.2","","","","","34","","","","1340013"
"3","113411","pkb_talk_surprise1","0","pkb_surprise","0.2","34","1","","0.2","1340014"
"93","1","","","","","34","","","","1340015"
"3","113411","","1","pkb_talk_joy3","0.2","34","","","","1340016"
"91","1340012","","","","","34","","","","1340017"
"3","113411","","1","pkb_idle_normal","0.2","34","","","","1340018"
"1","1","-20","100","113511","1.6","35","-150","pkb_idle_normal","0","1350001"
"1","1","170","100","102311","1.6","35","-150","pkb_idle_normal","1","1350002"
"3","113511","","1","pkb_talk_joy3","0.2","35","","","","1350003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_14_101","","35","","","","1350004"
"11","113511","0","6","アヤネちゃん\n今日も打撃コーチを\nよろしくね～\n頼りにしてるから～！","0","35","0","0.5","0","1350005"
"93","5.2","","","","","35","","","","1350006"
"3","113511","","1","pkb_talk_wish","0.2","35","","","","1350007"
"91","1350005","","","","","35","","","","1350008"
"3","113511","","1","pkb_idle_normal","0.2","35","","","","1350009"
"3","102311","","1","pkb_talk_joy1","0.2","35","","","","1350010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_14_402","","35","","","","1350011"
"11","102311","0","8","お兄ちゃんたちが\nいっぱいホームラン\n打てるように\nがんばるね！","0","35","0","-1","0","1350012"
"93","3.2","","","","","35","","","","1350013"
"3","102311","pkb_idle_doya","0","pkb_talk_doya","0.2","35","1","","","1350014"
"91","1350012","","","","","35","","","","1350015"
"3","102311","","1","pkb_idle_normal","0.2","35","","","","1350016"
"5","3","170","100","3","55","36","-130","pkb_idle_normal_l","1","1360001"
"5","1","-20","100","1","55","36","-130","pkb_idle_normal","0","1360002"
"3","3","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","36","1","","0.2","1360003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_15_601","","36","","","","1360004"
"11","3","0","8","おい、アサヒ！\nどんくらい上達したか\n見せてみろ！","0","36","0","-0.5","0","1360005"
"91","1360005","","","","","36","","","","1360006"
"3","3","","1","pkb_idle_normal_l","0.2","36","","","","1360007"
"3","1","pkb_idle_guts","0","pkb_talk_guts","0.2","36","1","","","1360008"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_15_702","","36","","","","1360009"
"11","1","0","8","ああ！　ダイチこそ\n手加減なしで頼むよ\n真剣勝負だ！","0","36","0","0","0","1360010"
"91","1360010","","","","","36","","","","1360011"
"3","1","","1","pkb_idle_normal","0.2","36","","","","1360012"
"5","1","-20","100","1","55","37","-130","pkb_idle_normal","0","1370001"
"5","3","170","100","3","55","37","-130","pkb_idle_normal_l","1","1370002"
"3","1","pkb_idle_guts","0","pkb_talk_guts","0.2","37","1","","","1370003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_16_701","","37","","","","1370004"
"11","1","0","8","全国大会に絶対行こう\n俺たちの夢を\n叶えるんだ！","0","37","0","-0.5","0","1370005"
"93","3.2","","","","","37","","","","1370006"
"3","1","pkb_idle_normal","0","pkb_talk_handsup","0.2","37","1","","0.2","1370007"
"91","1370005","","","","","37","","","","1370008"
"3","1","","1","pkb_idle_normal","0.2","37","","","","1370009"
"3","3","pkb_idle_arm_crossed_l","0","pkb_talk_arm_crossed_l","0.2","37","1","","0.2","1370010"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_16_602","","37","","","","1370011"
"11","3","0","8","ふん、当然だろ\n俺たちなら\n全国優勝だって\n夢じゃねえぜ！","0","37","0","1","0","1370012"
"93","4.8","","","","","37","","","","1370013"
"3","3","pkb_idle_guts_l","0","pkb_talk_guts_l","0.2","37","1","","","1370014"
"91","1370012","","","","","37","","","","1370015"
"3","3","","1","pkb_idle_normal_l","0.2","37","","","","1370016"
"1","1","170","100","106531","1.6","38","-150","pkb_idle_normal","1","1380001"
"5","2","-20","100","2","55","38","-130","pkb_idle_normal","0","1380002"
"3","106531","pkb_idle_arm_crossed","0","pkb_talk_arm_crossed","0.2","38","1","","0.2","1380003"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_17_301","","38","","","","1380004"
"11","106531","0","8","結構やるように\nなってきたじゃねえか\nこっからはオレ様も\n本気でいくぜぇ！！","0","38","0","-0.5","0","1380005"
"93","3.6","","","","","38","","","","1380006"
"3","106531","pkb_idle_doya","0","pkb_talk_doya","0.2","38","1","","","1380007"
"93","2","","","","","38","","","","1380008"
"3","106531","pkb_idle_normal","0","pkb_talk_handsup","0.2","38","1","","0.2","1380009"
"91","1380005","","","","","38","","","","1380010"
"93","1","","","","","38","","","","1380011"
"3","106531","","1","pkb_idle_normal","0.2","38","","","","1380012"
"3","2","pkb_idle_shock","0","pkb_shock","0.2","38","1","","","1380013"
"21","vo_minigame_1006","0","0","vo_minigame_1006_top_talk_17_802","","38","","","","1380014"
"11","2","0","7","マジか……\nまだ本気じゃ\nなかったのかよ\n…何人か死ぬな","0","38","0","1","0","1380015"
"91","1380015","","","","","38","","","","1380016"
"3","2","","1","pkb_idle_normal","0.2","38","","","","1380017"
