85477d8b1f14c398a2a3ea20468501c4af32b8c1b3812a4f5fd3259437761135,7269b5c78f815a7fd810c28c24e04e7f610708fb7192dfa42db3a7930e06ddbe,843e8036f6ca7b82e31a2764a505acdc623659e7cebb2647775dbeba60fb722f,dd35ea0b3a17ca7c0008f9ff95435308d874cbd905b0505730843dd6a7a811fe,a428688bbae11cb8ceaadbb053d3579c5337a1d572a7a6b43520e1175e57631a,cb432587d9348df3d72202c6cb24d08ae4123acd66c49af1958ab99ea01b6a23,b96754452f3b917c9ae6369ab4506b66ea3ccaa83079e9ef6ff0800af24b189a,9ac7a74e3519bc439b5e0815a1376b5422141df3c84bc7e9af7a6f95d9facf24,2286b748a5eb3dafec0bd265bf143a3a1f258411a4cb8b436cb7e0b97d08ee10,cb6d20383a922a4c1c73d71c60ee7abdf00625d0b939ef2d2b780a5d47a58175,da9803ec9889e0321862406d3053f70e99f96f280df137edcd83174ec026dbb6
"lsv_talk_joy3_blink","","100411","3","","0.2","1","","1009804","","1009804051"
"vo_lsv_0426","","vo_lsv","21","0","","0","","1009804","","1009804052"
"確かに！\nにいちゃんだったら、\nどんなものを作りたい？","1","100411","11","1","0","10","0","1009804","0","1009804053"
"","","0","91","","","","","1009804","","1009804054"
"lsv_idle_joy","","100411","3","","0.2","1","","1009804","","1009804055"
"lsv_choice","1","102011","3","lsv_look_idle_normal","0","0","","1009804","0.2","1009804056"
"lsv_choice","1","103611","3","lsv_look_idle_normal","0","0","","1009804","0.2","1009804057"
"lsv_choice","1","100411","3","lsv_look_idle_normal","0","0","","1009804","0.2","1009804058"
"0","","0.1","93","","","","","1009804","","1009804059"
"-452","2","102011","2","0.33","","-235","","1009804","0.2","1009804060"
"420","2","103611","2","0.33","","-220","","1009804","0.2","1009804061"
"545","2","100411","2","0.33","","-250","","1009804","0.2","1009804062"
"0","","0","22","","0.2","1","","1009804","","1009804063"
"1009804067","","米粒に絵を描きたい。","103","","","0","","1009804","","1009804064"
"1009804091","","おっきなオモチャを作りたい。","103","","","0","","1009804","","1009804065"
"1009804114","","ぬいぐるみを作りたい。","103","","","0","","1009804","","1009804066"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009804","0.2","1009804067"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009804","0.2","1009804068"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009804","0.2","1009804069"
"0","","0.1","93","","","","","1009804","","1009804070"
"-200","2","102011","2","0.33","","-235","","1009804","0.2","1009804071"
"100","2","103611","2","0.33","","-220","","1009804","0.2","1009804072"
"270","2","100411","2","0.33","","-250","","1009804","0.2","1009804073"
"0","","0.7","93","","","","","1009804","","1009804074"
"lsv_talk_surprise_R2","","102011","3","","0.2","1","","1009804","","1009804075"
"vo_lsv_0427","","vo_lsv","21","0","","0","","1009804","","1009804076"
"ええっ、そんなにちっちゃく？\nおにいちゃん、すっご～い！","1","102011","11","1","0","10","0","1009804","0","1009804077"
"","","0","91","","","","","1009804","","1009804078"
"lsv_idle_normal_joyR","","102011","3","","0.2","1","","1009804","","1009804079"
"lsv_talk_arm_crossed_joy","1","103611","3","lsv_talk_arm_crossed_loop_joy","0","0","","1009804","0.2","1009804080"
"vo_lsv_0428","","vo_lsv","21","0","","0","","1009804","","1009804081"
"かなりの手先の器用さと\n集中力を求められますね…\nまさに職人技です。","1","103611","11","1","0","10","0","1009804","0","1009804082"
"","","0","91","","","","","1009804","","1009804083"
"lsv_idle_arm_crossed","","103611","3","","0.2","1","","1009804","","1009804084"
"lsv_talk_bitter","","100411","3","","0.2","1","","1009804","","1009804085"
"vo_lsv_0429","","vo_lsv","21","0","","0","","1009804","","1009804086"
"考えただけでミソギには\n難しそうだな～\n…だから応援だけにするねっ♪","1","100411","11","1","0","10","0","1009804","0","1009804087"
"","","0","91","","","","","1009804","","1009804088"
"lsv_idle_bitter","","100411","3","","0.2","1","","1009804","","1009804089"
"","","1009804137","101","","","","","1009804","","1009804090"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009804","0.2","1009804091"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009804","0.2","1009804092"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009804","0.2","1009804093"
"0","","0.1","93","","","","","1009804","","1009804094"
"-200","2","102011","2","0.33","","-235","","1009804","0.2","1009804095"
"100","2","103611","2","0.33","","-220","","1009804","0.2","1009804096"
"270","2","100411","2","0.33","","-250","","1009804","0.2","1009804097"
"0","","0.7","93","","","","","1009804","","1009804098"
"lsv_exactly_joy_in","1","100411","3","lsv_exactly_joy_loop","0","0","","1009804","0.2","1009804099"
"vo_lsv_0430","","vo_lsv","21","0","","0","","1009804","","1009804100"
"それ、いいっ！　いいよ！\nにいちゃん、わかってるー！\nそういうのロマンだよね！","1","100411","11","1","0","10","0","1009804","0","1009804101"
"","","0","91","","","","","1009804","","1009804102"
"lsv_idle_wish_joy","","100411","3","","0.2","1","","1009804","","1009804103"
"lsv_talk_thinking_anger","","103611","3","","0.2","1","","1009804","","1009804104"
"vo_lsv_0431","","vo_lsv","21","0","","0","","1009804","","1009804105"
"ミソギ、好きそうだよね。\n…でも、どれくらい\n大きいのかな？","1","103611","11","1","0","10","0","1009804","0","1009804106"
"","","0","91","","","","","1009804","","1009804107"
"lsv_idle_thinking_anger","","103611","3","","0.2","1","","1009804","","1009804108"
"lsv_talk_memory_dere2","","102011","3","","0.2","1","","1009804","","1009804109"
"vo_lsv_0432","","vo_lsv","21","0","","0","","1009804","","1009804110"
"う～ん…\nお城よりおっきいかも！\nかっこいいね～♪","1","102011","11","1","0","10","0","1009804","0","1009804111"
"","","0","91","","","","","1009804","","1009804112"
"","","1009804137","101","","","","","1009804","","1009804113"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009804","0.2","1009804114"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009804","0.2","1009804115"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009804","0.2","1009804116"
"0","","0.1","93","","","","","1009804","","1009804117"
"-200","2","102011","2","0.33","","-235","","1009804","0.2","1009804118"
"100","2","103611","2","0.33","","-220","","1009804","0.2","1009804119"
"270","2","100411","2","0.33","","-250","","1009804","0.2","1009804120"
"0","","0.7","93","","","","","1009804","","1009804121"
"lsv_talk_arm_crossed_joy","1","103611","3","lsv_talk_arm_crossed_loop_joy","0","0","","1009804","0.2","1009804122"
"vo_lsv_0433","","vo_lsv","21","0","","0","","1009804","","1009804123"
"……\nいい着眼点ですね。","1","103611","11","1","0","10","0","1009804","0","1009804124"
"","","0","91","","","","","1009804","","1009804125"
"lsv_idle_arm_crossed_joy","","103611","3","","0.2","1","","1009804","","1009804126"
"lsv_surprise","1","100411","3","lsv_talk_surprise","0","0","","1009804","0.2","1009804127"
"vo_lsv_0434","","vo_lsv","21","0","","0","","1009804","","1009804128"
"なんか、すごい納得してる！？\nま、ぬいぐるみがいいのは\nなんとなくわかるけどねー","1","100411","11","1","0","10","0","1009804","0","1009804129"
"","","0","91","","","","","1009804","","1009804130"
"lsv_idle_surprise","","100411","3","","0.2","1","","1009804","","1009804131"
"lsv_talk_joy3","","102011","3","","0.2","1","","1009804","","1009804132"
"vo_lsv_0435","","vo_lsv","21","0","","0","","1009804","","1009804133"
"じゃあ、今からみんなで\n作ってみようよ～\nとってもかわいいぬいぐるみ♪","1","102011","11","1","0","10","0","1009804","0","1009804134"
"","","0","91","","","","","1009804","","1009804135"
"","","1009804137","101","","","","","1009804","","1009804136"
"","","0","91","","","","","1009804","","1009804137"
"","","","102","","","","","1009804","","1009804138"
"0.2","","0","22","","","","","1009804","","1009804139"
"","","0.2","93","","","","","1009804","","1009804140"
"8","0","102011","12","0","0","1","0","1009804","0","1009804141"
"lsv_talk_guts2_joy_loop","","102011","3","","0.2","1","","1009804","","1009804142"
"0","","3","93","","","","","1009804","","1009804143"
"lsv_idle_normal_joyR","","102011","3","","0.2","1","","1009804","","1009804144"
"7","0","103611","12","0","0","1","0","1009804","0","1009804145"
"lsv_talk_surprise_kira","","103611","3","","0.2","1","","1009804","","1009804146"
"0","","3","93","","","","","1009804","","1009804147"
"lsv_idle_joy","","103611","3","","0.2","1","","1009804","","1009804148"
"2","0","100411","12","0","0","1","0","1009804","0","1009804149"
"lsv_talk_cool_bitter","1","100411","3","lsv_talk_cool_bitter_loop","0","0","","1009804","0.2","1009804150"
"0","","3","93","","","","","1009804","","1009804151"
"lsv_idle_cool","","100411","3","","0.2","1","","1009804","","1009804152"
"","","1009804141","101","","","","","1009804","","1009804153"
"1","0","333","6","1","1","1","","1009804","0","1009804154"
"1","","102011","4","","","","","1009804","","1009804155"
"lsv_run","","102011","3","","0.2","1","","1009804","","1009804156"
"-750","0","102011","2","0.8","","-235","","1009804","","1009804157"
"0","","103611","4","","","","","1009804","","1009804158"
"lsv_run","","103611","3","","0.2","1","","1009804","","1009804159"
"750","0","103611","2","0.8","","-220","","1009804","","1009804160"
"0","","100411","4","","","","","1009804","","1009804161"
"lsv_run","","100411","3","","0.2","1","","1009804","","1009804162"
"850","0","100411","2","0.8","","-250","","1009804","","1009804163"
"","","0.6","93","","","","","1009804","","1009804164"
"1","0","102011","6","1","0.2","1","","1009804","0","1009804165"
"1","0","103611","6","1","0.2","1","","1009804","0","1009804166"
"1","0","100411","6","1","0.2","1","","1009804","0","1009804167"
"","","0","91","","","","","1009804","","1009804168"
"100411","-235","1","1","-650","1.95","102","lsv_idle_normal","1009805","0","1009805001"
"102011","-220","1","1","650","1.95","100","lsv_idle_normal","1009805","1","1009805002"
"103611","-250","1","1","750","1.95","101","lsv_idle_normal","1009805","1","1009805003"
"333","0","1","5","0","1","0","lsv_white_loop","1009805","0","1009805004"
"1","0","333","6","1","0","1","","1009805","0","1009805005"
"1","0","100411","6","1","0","1","","1009805","0","1009805006"
"1","0","102011","6","1","0","1","","1009805","0","1009805007"
"1","0","103611","6","1","0","1","","1009805","0","1009805008"
"0","","1","93","","","","","1009805","","1009805009"
"1","0.4","333","6","1","0.8","1","","1009805","0","1009805010"
"lsv_run","","100411","3","","0.2","1","","1009805","","1009805011"
"-200","0","100411","2","1","","-235","","1009805","","1009805012"
"1","1","100411","6","1","0.4","1","","1009805","0","1009805013"
"lsv_walk_surprise","","102011","3","","0.2","1","","1009805","","1009805014"
"100","0","102011","2","2","","-220","","1009805","","1009805015"
"1","1","102011","6","1","0.4","1","","1009805","0","1009805016"
"lsv_walk_surprise","","103611","3","","0.2","1","","1009805","","1009805017"
"270","0","103611","2","2","","-250","","1009805","","1009805018"
"1","1","103611","6","1","0.4","1","","1009805","0","1009805019"
"0","","1","93","","","","","1009805","","1009805020"
"lsv_idle_joy_normal","","100411","3","","0.2","1","","1009805","","1009805021"
"0","","1","93","","","","","1009805","","1009805022"
"lsv_idle_normal","","102011","3","","0.2","1","","1009805","","1009805023"
"lsv_idle_normal","","103611","3","","0.2","1","","1009805","","1009805024"
"0","","0.6","93","","","","","1009805","","1009805025"
"lsv_talk_guts1","1","100411","3","lsv_talk_guts1_loop","0","0","","1009805","0.2","1009805026"
"vo_lsv_0521","","vo_lsv","21","0","","0","","1009805","","1009805027"
"罠をしかけた結果はっぴょー！\n結果は～…？","1","100411","11","1","0","10","0","1009805","0","1009805028"
"","","0","91","","","","","1009805","","1009805029"
"lsv_talk_anger_dead","","100411","3","","0.2","1","","1009805","","1009805030"
"vo_lsv_0522","","vo_lsv","21","0","","0","","1009805","","1009805031"
"一匹も\n捕まえられませんでした！\nがっくし！","1","100411","11","1","0","10","0","1009805","0","1009805032"
"","","0","91","","","","","1009805","","1009805033"
"lsv_idle_anger1","","100411","3","","0.2","1","","1009805","","1009805034"
"lsv_talk_normal_sad","","102011","3","","0.2","1","","1009805","","1009805035"
"vo_lsv_0523","","vo_lsv","21","0","","0","","1009805","","1009805036"
"残念だったね～\nやっぱり罠が少なかったの\nかなぁ？","1","102011","11","1","0","10","0","1009805","0","1009805037"
"","","0","91","","","","","1009805","","1009805038"
"lsv_idle_normal","","102011","3","","0.2","1","","1009805","","1009805039"
"lsv_talk_joy1_sad","","103611","3","","0.2","1","","1009805","","1009805040"
"vo_lsv_0524","","vo_lsv","21","0","","0","","1009805","","1009805041"
"というか、カブトムシを\n捕まえたら\n何をするつもりだったの？","1","103611","11","1","0","10","0","1009805","0","1009805042"
"","","0","91","","","","","1009805","","1009805043"
"lsv_idle_normal","","103611","3","","0.2","1","","1009805","","1009805044"
"lsv_talk_arm_crossed_anger","1","100411","3","lsv_talk_arm_crossed_loop_anger","0","0","","1009805","0.2","1009805045"
"vo_lsv_0525","","vo_lsv","21","0","","0","","1009805","","1009805046"
"ふっふっふ…！\nそれはもちろん！\n…考えてなかったなー","1","100411","11","1","0","10","0","1009805","0","1009805047"
"","","0","91","","","","","1009805","","1009805048"
"lsv_idle_arm_crossed_anger","","100411","3","","0.2","1","","1009805","","1009805049"
"lsv_idle_bitter","","102011","3","","0.2","1","","1009805","","1009805050"
"lsv_talk_tsun_sad","","103611","3","","0.2","1","","1009805","","1009805051"
"vo_lsv_0526","","vo_lsv","21","0","","0","","1009805","","1009805052"
"ええっ？\n一応、自由研究だって\nいうから付き合ったのに…！","1","103611","11","1","0","10","0","1009805","0","1009805053"
"","","0","91","","","","","1009805","","1009805054"
"lsv_idle_wish_sad","","103611","3","","0.2","1","","1009805","","1009805055"
"lsv_talk_cool_bitter_loop","","100411","3","","0.2","1","","1009805","","1009805056"
"vo_lsv_0527","","vo_lsv","21","0","","0","","1009805","","1009805057"
"あ、あはははー\n…ちなみに、にいちゃんなら\nどんなことをしたい？","1","100411","11","1","0","10","0","1009805","0","1009805058"
"","","0","91","","","","","1009805","","1009805059"
"lsv_idle_cool","","100411","3","","0.2","1","","1009805","","1009805060"
"lsv_choice","1","100411","3","lsv_look_idle_normal","0","0","","1009805","0.2","1009805061"
"lsv_choice","1","102011","3","lsv_look_idle_normal","0","0","","1009805","0.2","1009805062"
"lsv_choice","1","103611","3","lsv_look_idle_normal","0","0","","1009805","0.2","1009805063"
"0","","0.1","93","","","","","1009805","","1009805064"
"-452","2","100411","2","0.33","","-235","","1009805","0.2","1009805065"
"420","2","102011","2","0.33","","-220","","1009805","0.2","1009805066"
"545","2","103611","2","0.33","","-250","","1009805","0.2","1009805067"
"0","","0","22","","0.2","1","","1009805","","1009805068"
"1009805072","","カブトムシバトル！","103","","","0","","1009805","","1009805069"
"1009805103","","観察日記を書く。","103","","","0","","1009805","","1009805070"
"1009805127","","捕まえることがロマン。","103","","","0","","1009805","","1009805071"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009805","0.2","1009805072"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009805","0.2","1009805073"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009805","0.2","1009805074"
"0","","0.1","93","","","","","1009805","","1009805075"
"-200","2","100411","2","0.33","","-235","","1009805","0.2","1009805076"
"100","2","102011","2","0.33","","-220","","1009805","0.2","1009805077"
"270","2","103611","2","0.33","","-250","","1009805","0.2","1009805078"
"0","","0.7","93","","","","","1009805","","1009805079"
"lsv_exactly_joy_in","1","100411","3","lsv_exactly_joy_loop","0","0","","1009805","0.2","1009805080"
"lsv_idle_normal","","103611","3","","0.2","1","","1009805","","1009805081"
"vo_lsv_0528","","vo_lsv","21","0","","0","","1009805","","1009805082"
"カブトムシといえば\nそれだよね！","1","100411","11","1","0","10","0","1009805","0","1009805083"
"","","0","91","","","","","1009805","","1009805084"
"lsv_idle_joy","","100411","3","","0.2","1","","1009805","","1009805085"
"lsv_talk_thinking_anger","","103611","3","","0.2","1","","1009805","","1009805086"
"vo_lsv_0529","","vo_lsv","21","0","","0","","1009805","","1009805087"
"うーん…カブトムシの\n強さを調べるとかなら\n自由研究になりそう…かも？","1","103611","11","1","0","10","0","1009805","0","1009805088"
"","","0","91","","","","","1009805","","1009805089"
"lsv_idle_sad_normal","","103611","3","","0.2","1","","1009805","","1009805090"
"lsv_talk_joy1_normal","","102011","3","","0.2","1","","1009805","","1009805091"
"vo_lsv_0530","","vo_lsv","21","0","","0","","1009805","","1009805092"
"でも、あんまり\n無茶なバトルはさせちゃ\nダメだよ？　ミミと約束ねっ。","1","102011","11","1","0","10","0","1009805","0","1009805093"
"","","0","91","","","","","1009805","","1009805094"
"lsv_idle_normal_joyR","","102011","3","","0.2","1","","1009805","","1009805095"
"lsv_handsup_joy2","1","103611","3","lsv_idle_normal","0","0","","1009805","0.2","1009805096"
"lsv_handsup_joy","1","100411","3","lsv_idle_joy","0","0","","1009805","0.2","1009805097"
"vo_lsv_0531","","vo_lsv","21","0","","0","","1009805","","1009805098"
"はーい！","1","103611","11","1","0","10","0","1009805","0","1009805099"
"はーい！","1","100411","11","1","0","10","0","1009805","0","1009805100"
"","","0","91","","","","","1009805","","1009805101"
"","","1009805152","101","","","","","1009805","","1009805102"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009805","0.2","1009805103"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009805","0.2","1009805104"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009805","0.2","1009805105"
"0","","0.1","93","","","","","1009805","","1009805106"
"-200","2","100411","2","0.33","","-235","","1009805","0.2","1009805107"
"100","2","102011","2","0.33","","-220","","1009805","0.2","1009805108"
"270","2","103611","2","0.33","","-250","","1009805","0.2","1009805109"
"0","","0.7","93","","","","","1009805","","1009805110"
"lsv_talk_arm_crossed_joy","1","103611","3","lsv_talk_arm_crossed_loop_joy","0","0","","1009805","0.2","1009805111"
"vo_lsv_0532","","vo_lsv","21","0","","0","","1009805","","1009805112"
"それならわかります。\nきちんとした観察をすれば\n自然とお勉強になりますし。","1","103611","11","1","0","10","0","1009805","0","1009805113"
"","","0","91","","","","","1009805","","1009805114"
"lsv_idle_arm_crossed_joy","","103611","3","","0.2","1","","1009805","","1009805115"
"lsv_talk_joy3_blink","","102011","3","","0.2","1","","1009805","","1009805116"
"vo_lsv_0533","","vo_lsv","21","0","","0","","1009805","","1009805117"
"観察だったら\n海でもやったよね。\n楽しかったな～♪","1","102011","11","1","0","10","0","1009805","0","1009805118"
"","","0","91","","","","","1009805","","1009805119"
"lsv_idle_normal_joyR","","102011","3","","0.2","1","","1009805","","1009805120"
"lsv_talk_guts2_anger","1","100411","3","lsv_talk_guts2_anger_loop","0","0","","1009805","0.2","1009805121"
"vo_lsv_0534","","vo_lsv","21","0","","0","","1009805","","1009805122"
"そっか、あれならできそう！\nよーし、観察日記書くぞー！\n目指せっ、全カブトムシ制覇！","1","100411","11","1","0","10","0","1009805","0","1009805123"
"","","0","91","","","","","1009805","","1009805124"
"lsv_idle_guts2_joy","","100411","3","","0.2","1","","1009805","","1009805125"
"","","1009805152","101","","","","","1009805","","1009805126"
"lsv_choice","1","100411","3","lsv_idle_normal","0","0","","1009805","0.2","1009805127"
"lsv_choice","1","102011","3","lsv_idle_normal","0","0","","1009805","0.2","1009805128"
"lsv_choice","1","103611","3","lsv_idle_normal","0","0","","1009805","0.2","1009805129"
"0","","0.1","93","","","","","1009805","","1009805130"
"-200","2","100411","2","0.33","","-235","","1009805","0.2","1009805131"
"100","2","102011","2","0.33","","-220","","1009805","0.2","1009805132"
"270","2","103611","2","0.33","","-250","","1009805","0.2","1009805133"
"0","","0.7","93","","","","","1009805","","1009805134"
"lsv_talk_surprise","","102011","3","","0.2","1","","1009805","","1009805135"
"lsv_idle_normal","","103611","3","","0.2","1","","1009805","","1009805136"
"vo_lsv_0535","","vo_lsv","21","0","","0","","1009805","","1009805137"
"捕まえるのがいいんだ～\nミソギちゃんもそうなの？","1","102011","11","1","0","10","0","1009805","0","1009805138"
"","","0","91","","","","","1009805","","1009805139"
"lsv_idle_surprise","","102011","3","","0.2","1","","1009805","","1009805140"
"lsv_talk_arm_crossed_anger","1","100411","3","lsv_talk_arm_crossed_loop_anger","0","0","","1009805","0.2","1009805141"
"vo_lsv_0536","","vo_lsv","21","0","","0","","1009805","","1009805142"
"…ふっ、やるね。\nそれでこそ、\nミソギのにいちゃんだよ。","1","100411","11","1","0","10","0","1009805","0","1009805143"
"","","0","91","","","","","1009805","","1009805144"
"lsv_idle_arm_crossed_anger","","100411","3","","0.2","1","","1009805","","1009805145"
"lsv_talk_thinking_anger","","103611","3","","0.2","1","","1009805","","1009805146"
"vo_lsv_0537","","vo_lsv","21","0","","0","","1009805","","1009805147"
"なんだか通じ合ってる…！\n…ロマンも自由研究の\nテーマになるのかな？","1","103611","11","1","0","10","0","1009805","0","1009805148"
"","","0","91","","","","","1009805","","1009805149"
"lsv_idle_thinking_anger","","103611","3","","0.2","1","","1009805","","1009805150"
"","","1009805152","101","","","","","1009805","","1009805151"
"","","0","91","","","","","1009805","","1009805152"
"","","","102","","","","","1009805","","1009805153"
"0.2","","0","22","","","","","1009805","","1009805154"
"","","0.2","93","","","","","1009805","","1009805155"
"7","0","100411","12","0","0","1","0","1009805","0","1009805156"
"lsv_surprise3_kira","1","100411","3","lsv_surprise3_kira_loop","0","0","","1009805","0.2","1009805157"
"0","","3","93","","","","","1009805","","1009805158"
"lsv_idle_cool","","100411","3","","0.2","1","","1009805","","1009805159"
"11","0","103611","12","0","0","1","0","1009805","0","1009805160"
"lsv_talk_guts1","1","103611","3","lsv_talk_guts1_loop","0","0","","1009805","0.2","1009805161"
"0","","3","93","","","","","1009805","","1009805162"
"lsv_idle_joy","","103611","3","","0.2","1","","1009805","","1009805163"
"5","0","102011","12","0","0","1","0","1009805","0","1009805164"
"lsv_talk_wish_surprise","","102011","3","","0.2","1","","1009805","","1009805165"
"0","","3","93","","","","","1009805","","1009805166"
"lsv_idle_normal_joyR","","102011","3","","0.2","1","","1009805","","1009805167"
"","","1009805156","101","","","","","1009805","","1009805168"
"1","0","333","6","1","1","1","","1009805","0","1009805169"
"1","","100411","4","","","","","1009805","","1009805170"
"lsv_run","","100411","3","","0.2","1","","1009805","","1009805171"
"-750","0","100411","2","0.8","","-235","","1009805","","1009805172"
"0","","102011","4","","","","","1009805","","1009805173"
"lsv_run","","102011","3","","0.2","1","","1009805","","1009805174"
"750","0","102011","2","0.8","","-220","","1009805","","1009805175"
"0","","103611","4","","","","","1009805","","1009805176"
"lsv_run","","103611","3","","0.2","1","","1009805","","1009805177"
"850","0","103611","2","0.8","","-250","","1009805","","1009805178"
"","","0.6","93","","","","","1009805","","1009805179"
"1","0","100411","6","1","0.2","1","","1009805","0","1009805180"
"1","0","102011","6","1","0.2","1","","1009805","0","1009805181"
"1","0","103611","6","1","0.2","1","","1009805","0","1009805182"
"","","0","91","","","","","1009805","","1009805183"
"122711","-495","1","1","-200","1.95","102","lsv_idle_normal","1009806","0","1009806001"
"122911","-480","1","1","100","1.95","100","lsv_idle_normal","1009806","1","1009806002"
"122811","-510","1","1","270","1.95","101","lsv_idle_normal","1009806","1","1009806003"
"333","0","1","5","0","1","0","lsv_white_loop","1009806","0","1009806004"
"1","0","333","6","1","0","1","","1009806","0","1009806005"
"1","0","122711","6","1","0","1","","1009806","0","1009806006"
"1","0","122911","6","1","0","1","","1009806","0","1009806007"
"1","0","122811","6","1","0","1","","1009806","0","1009806008"
"0","","1","93","","","","","1009806","","1009806009"
"1","0.4","333","6","1","0.8","1","","1009806","0","1009806010"
"lsv_jump2","1","122711","3","lsv_idle_normal","0.2","0","","1009806","0.2","1009806011"
"lsv_jump2","1","122911","3","lsv_idle_normal","0.2","0","","1009806","0.2","1009806012"
"lsv_jump2","1","122811","3","lsv_idle_normal","0.2","0","","1009806","0.2","1009806013"
"","","0.3","93","","","","","1009806","","1009806014"
"-200","0","122711","2","0.75","","-235","","1009806","","1009806015"
"100","0","122911","2","0.75","","-220","","1009806","","1009806016"
"270","0","122811","2","0.75","","-250","","1009806","","1009806017"
"1","1","122711","6","1","0.4","1","","1009806","0","1009806018"
"1","1","122911","6","1","0.4","1","","1009806","0","1009806019"
"1","1","122811","6","1","0.4","1","","1009806","0","1009806020"
"6","","122711","12","0","0","0.2","","1009806","0","1009806021"
"6","","122911","12","0","0","0.2","","1009806","0","1009806022"
"6","","122811","12","0","0","0.2","","1009806","0","1009806023"
"0","","2","93","","","","","1009806","","1009806024"
"lsv_talk_normal","","122711","3","","0.2","1","","1009806","","1009806025"
"vo_lsv_0621","","vo_lsv","21","0","","0","","1009806","","1009806026"
"海もよかったけど、\nプールはプールで楽しいよね。","1","122711","11","1","0","10","0","1009806","0","1009806027"
"","","0","91","","","","","1009806","","1009806028"
"lsv_idle_normal","","122711","3","","0.2","1","","1009806","","1009806029"
"lsv_agree1","1","122811","3","lsv_idle_normal","0","0","","1009806","0.2","1009806030"
"lsv_agree2","1","122911","3","lsv_idle_normal_joyR","0","0","","1009806","0.2","1009806031"
"vo_lsv_0622","","vo_lsv","21","0","","0","","1009806","","1009806032"
"ねー♪","1","122811","11","1","0","10","0","1009806","0","1009806033"
"ねー♪","1","122911","11","1","0","10","0","1009806","0","1009806034"
"","","0","91","","","","","1009806","","1009806035"
"lsv_talk_arm_crossed_joy","1","122711","3","lsv_talk_arm_crossed_loop_joy","0","0","","1009806","0.2","1009806036"
"vo_lsv_0623","","vo_lsv","21","0","","0","","1009806","","1009806037"
"危険はないし、\n涼しくなれたし。\nあれくらいがちょうどいいよ。","1","122711","11","1","0","10","0","1009806","0","1009806038"
"","","0","91","","","","","1009806","","1009806039"
"lsv_idle_arm_crossed_joy","","122711","3","","0.2","1","","1009806","","1009806040"
"lsv_talk_wish_joy","","122911","3","","0.2","1","","1009806","","1009806041"
"vo_lsv_0624","","vo_lsv","21","0","","0","","1009806","","1009806042"
"キョウカちゃん、\nプールが大好きなんだね～♪","1","122911","11","1","0","10","0","1009806","0","1009806043"
"","","0","91","","","","","1009806","","1009806044"
"lsv_idle_wish_joy","","122911","3","","0.2","1","","1009806","","1009806045"
"lsv_talk_cool_normal2","1","122811","3","lsv_talk_cool_normal2_loop","0","0","","1009806","0.2","1009806046"
"vo_lsv_0625","","vo_lsv","21","0","","0","","1009806","","1009806047"
"次は大きいプールで\n思いっきり泳ぐのもいいよね！\nで、泳いだあとには～…","1","122811","11","1","0","10","0","1009806","0","1009806048"
"","","0","91","","","","","1009806","","1009806049"
"lsv_idle_cool","","122811","3","","0.2","1","","1009806","","1009806050"
"lsv_choice","1","122711","3","lsv_look_idle_normal","0","0","","1009806","0.2","1009806051"
"lsv_choice","1","122911","3","lsv_look_idle_normal","0","0","","1009806","0.2","1009806052"
"lsv_choice","1","122811","3","lsv_look_idle_normal","0","0","","1009806","0.2","1009806053"
"0","","0.1","93","","","","","1009806","","1009806054"
"-452","2","122711","2","0.33","","-235","","1009806","0.2","1009806055"
"420","2","122911","2","0.33","","-220","","1009806","0.2","1009806056"
"545","2","122811","2","0.33","","-250","","1009806","0.2","1009806057"
"0","","0","22","","0.2","1","","1009806","","1009806058"
"1009806062","","アイスを食べよう。","103","","","0","","1009806","","1009806059"
"1009806086","","焼きそばを食べよう。","103","","","0","","1009806","","1009806060"
"1009806109","","ラムネを飲もう。","103","","","0","","1009806","","1009806061"
"lsv_choice","1","122711","3","lsv_idle_normal","0","0","","1009806","0.2","1009806062"
"lsv_choice","1","122911","3","lsv_idle_normal","0","0","","1009806","0.2","1009806063"
"lsv_choice","1","122811","3","lsv_idle_normal","0","0","","1009806","0.2","1009806064"
"0","","0.1","93","","","","","1009806","","1009806065"
"-200","2","122711","2","0.33","","-235","","1009806","0.2","1009806066"
"100","2","122911","2","0.33","","-220","","1009806","0.2","1009806067"
"270","2","122811","2","0.33","","-250","","1009806","0.2","1009806068"
"0","","0.7","93","","","","","1009806","","1009806069"
"lsv_talk_memory_dere2","","122711","3","","0.2","1","","1009806","","1009806070"
